变量名,name,languages,name_tw,name_en,name_vn,name_kr,name_pt,name_th,_beizhu,_rare,cardID,type,gate,gatePos,group,weight,cd,time,limitPos,exp,rate1,rate2,rate3,weightFix1,weightFix2,weightFix3,sceneTimes,totalTimes
1015,露力丽,,露力麗,Azurill,Azurill,루리리,Azulão,อาซูริล,,B,891,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1016,莲叶童子,,蓮葉童子,Lotad,Lotad,연꽃몬,Lotado,โลทัด,,B,1351,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1017,小木灵,,小木靈,Phantump,Phantump,나목령,Fantasma,แฟนทัมป์,,B,3561,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1018,妙蛙种子,,妙蛙種子,Bulbasaur,Bulbasaur,이상해씨,Bulbasauro,บูลบาซอร์,,A,1,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1019,小火龙,,小火龍,Charmander,Charmander,파이리,Charmander,ชาร์แมนเดอร์,,A,11,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1020,杰尼龟,,傑尼龜,Squirtle,Squirtle,꼬부기,Esguicho,สควิร์ทเทิล,,A,21,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1021,波波,,波波,Pidgey,Pidgey,구구,Porquinho,พิดจ์กี้,,A,51,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1022,皮丘,,皮丘,Pichu,Pichu,피츄,Pichu,ปิชู,,A,91,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1023,皮宝宝,,皮寶寶,Cleffa,Cleffa,삐,Cleffa,เคลฟฟา,,A,131,2,10810,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1024,腕力,,腕力,Machop,Machop,알통몬,Machop,มาชอพ,,A,271,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1025,喇叭芽,,喇叭芽,Bellsprout,Bellsprout,모다피,Bellsprout,เบลล์สราวท์,,A,281,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1026,小拳石,,小拳石,Geodude,Geodude,꼬마돌,Geodude,จีโอดู๊ด,,A,301,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1027,臭泥,,臭泥,Grimer,Grimer,질퍽이,Mais sombrio,กริเมอร์,,A,371,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1028,无畏小子,,無畏小子,Tyrogue,Tyrogue,배루키,Tyrogue,ไทโร้ก,,A,461,2,10910,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1029,大舌头,,大舌頭,Lickitung,Lickitung,내루미,Lambendo,ลิคกิทุง,,A,471,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1030,瓦斯弹,,瓦斯彈,Koffing,Koffing,또가스,Koffing,คอฟฟิ่ง,,A,481,2,11310,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1031,海星星,,海星星,Staryu,Staryu,별가사리,Staryu,สตาริว,,A,551,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1032,化石盔,,化石盔,Kabuto,Kabuto,투구,Kabuto,คาบูโตะ,,A,691,2,11410,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1033,菊草叶,,菊草葉,Chikorita,Chikorita,치코리타,Chikorita,ชิโคริต้า,,A,781,2,10306,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1034,火球鼠,,火球鼠,Cyndaquil,Cyndaquil,브케인,Cyndaquil,ซินดาควิล,,A,791,2,10306,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1035,小锯鳄,,小鋸鱷,Totodile,Totodile,리아코,Totodile,โตโตไดล์,,A,801,2,11210,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1036,宝宝丁,,寶寶丁,Igglybuff,Igglybuff,푸푸린,Igglybuff,อิ๊กลี่บัฟ,,A,151,2,11410,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1037,咕妞妞,,咕妞妞,Whismur,Whismur,소곤룡,Sussurro,วิสมัวร์,,A,1441,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1038,呆火驼,,呆火駝,Numel,Numel,둔타,Número,นูเมล,,A,1611,2,10408,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1039,海豹球,,海豹球,Spheal,Spheal,대굴레오,Esférico,สเฟียล,,A,1861,2,11110,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1040,草苗龟,,草苗龜,Turtwig,Turtwig,모부기,Turtwig,เทอร์วิก,,A,2011,2,10510,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1041,小猫怪,,小貓怪,Shinx,Shinx,꼬링크,Shinx,ชินซ์,,A,2071,2,10510,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1042,不良蛙,,不良蛙,Croagunk,Croagunk,삐딱구리,Croagunk,ครอกกัง,,A,2271,2,10710,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1043,雪笠怪,,雪笠怪,Snover,Snover,눈쓰개,Snover,สโนว์เวอร์,,A,2301,2,11510,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1044,暖暖猪,,暖暖豬,Tepig,Tepig,뚜꾸리,Tepig,เตปิก,,A,2481,2,10408,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1045,石丸子,,石丸子,Roggenrola,Roggenrola,단굴,Roggenrola,ร็อกเกนโรลา,,A,2591,2,11610,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1046,螺钉地鼠,,螺釘地鼠,Drilbur,Drilbur,두더류,Broca,ดริลบัวร์,,A,2611,2,11710,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1047,搬运小匠,,搬運小匠,Timburr,Timburr,으랏차,Timburr,ทิมเบอร์,,A,2631,2,10810,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1048,百足蜈蚣,,百足蜈蚣,Venipede,Venipede,마디네,Venipede,เวนิพีเด,,A,2681,2,11210,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1049,迷你冰,,迷你冰,Vanillite,Vanillite,바닐프티,Vanilita,วานิลลา,,A,2871,2,11610,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1050,电飞鼠,,電飛鼠,Emolga,Emolga,에몽가,Emolga,เอมอลกา,,A,2891,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1051,轻飘飘·雌,,輕飄飄·雌,Frillish - Female,Frillish - Female,탱그릴: 암컷,Frillish - Feminino,ฟริลลิช - หญิง,,A,2921,2,10610,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1052,轻飘飘·雄,,輕飄飄·雄,Frillish - Male,Frillish - Male,탱그릴: 수컷,Frillish - Masculino,ฟริลลิช - ชาย,,A,2922,2,10610,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1053,齿轮儿,,齒輪兒,Klink,Klink,기어르,Clique,คลิงค์,,A,2961,2,11510,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1054,喷嚏熊,,噴嚏熊,Cubchoo,Cubchoo,코고미,Cubo,คุ๊กชู,,A,3011,2,10910,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1055,哈力栗,,哈力栗,Chespin,Chespin,도치마론,Chespin,เชสปิน,,A,3281,2,11710,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1056,火狐狸,,火狐狸,Fennekin,Fennekin,푸호꼬,Fennekin,เฟนเนคิน,,A,3291,2,10710,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1057,小狮狮,,小獅獅,Litleo,Litleo,레오꼬,Pequeno,ลิตเติ้ลโอ,,A,3341,2,11010,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1058,绵绵泡芙,,綿綿泡芙,Swirlix,Swirlix,나룸퍼프,Redemoinho,สเวิร์ลลิกซ์,,A,3431,2,11010,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1059,铁臂枪虾,,鐵臂槍蝦,Clauncher,Clauncher,완철포,Clauncher,แคลนเชอร์,,A,3471,2,11110,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1060,冰雪龙,,冰雪龍,Amaura,Amaura,아마루스,Amaura,อามัวรา,,A,3501,2,11310,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1061,摔角鹰人,,摔角鷹人,Hawlucha,Hawlucha,루차불,Hawlucha,ฮาวลูชา,,A,3511,2,11810,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1062,凯西,,凱西,Abra,Abra,캐이시,Abra,อับรา,,S,261,2,11110,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1063,小磁怪,,小磁怪,Magnemite,Magnemite,코일,Magnemite,แมกเนไมต์,,S,331,2,11410,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1064,鬼斯,,鬼斯,Gastly,Gastly,고오스,Gastosamente,กัสตี้,,S,391,2,,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1065,独角犀牛,,獨角犀牛,Rhyhorn,Rhyhorn,뿔카노,Rhyhorn,ไรฮอร์น,,S,491,2,11710,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1066,咩利羊,,咩利羊,Mareep,Mareep,메리프,Mareep,มารีป,,S,881,2,10510,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1067,赫拉克罗斯,,赫拉克羅斯,Heracross,Heracross,헤라크로스,Heracross,เฮราครอส,,S,1071,2,11210,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1068,戴鲁比,,戴魯比,Houndour,Houndour,델빌,Honra,ฮาวน์ดัวร์,,S,1171,2,10610,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1069,木守宫,,木守宮,Treecko,Treecko,나무지기,Árvore de Natal,ทรีโค,,S,1291,2,10710,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1070,拉鲁拉丝,,拉魯拉絲,Lapras,Lapras,랄토스,Lapras,ลาปราส,,S,1391,2,10810,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1071,夜巡灵,,夜巡靈,Duskull,Duskull,해골몽,Crânio do Crepúsculo,ดัสกัลล์,,S,1811,2,11510,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1072,阿勃梭鲁,,阿勃梭魯,Absol,Absol,앱솔,Absol,แอบโซล,,S,1841,2,11310,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1073,黑眼鳄,,黑眼鱷,Sandile,Sandile,깜눈크,Sandil,ซานดิล,,S,2721,2,12010,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1074,牙牙,,牙牙,Axew,Axew,터검니,Machado,ขวาน,,S,3001,2,,{},3,0,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1075,几何雪花,,幾何雪花,Cryogonal,Cryogonal,프리지오,Criogonal,คริโอโกนัล,,S,3021,2,11610,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1076,单首龙,,單首龍,Deino,Deino,모노두,Deino,ดีโน่,,S,3141,2,11010,{},3,60,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1077,花蓓蓓,,花蓓蓓,Flabébé,Flabébé,플라베베,Flabebé,ฟลาเบเบ,,S,3351,2,,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1078,独剑鞘,,獨劍鞘,Honedge,Honedge,단칼빙,Honedge,ฮอนเอจ,,S,3411,2,10910,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1079,飞天螳螂,,飛天螳螂,Scyther,Scyther,스라크,Foice,เคียว,,S,571,2,11810,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1080,哥德宝宝,,哥德寶寶,Gothita,Gothita,고디탱,Gothita,โกธิตา,,A,2841,2,11810,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1081,电击怪,,電擊怪,Elekid,Elekid,에레키드,Elekid,เอเลคิด,,S,591,2,11910,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1082,可达鸭,,可達鴨,Psyduck,Psyduck,고라파덕,Pato Psíquico,ไซดั๊ก,,A,221,2,11910,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1083,雪童子,,雪童子,Snorunt,Snorunt,눈꼬마,Snorunt (Respirador),สโนรันท์,,A,1851,2,11910,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1084,大岩蛇,,大岩蛇,Onix,Onix,롱스톤,Ônix,โอนิกซ์,,S,401,2,12110,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1085,大葱鸭,,大蔥鴨,Farfetch'd,Farfetch'd,파오리,Exagerado,ฟาร์เฟตช์,,A,341,2,12010,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1086,怨影娃娃,,怨影娃娃,Shuppet,Shuppet,어둠대신,Shuppet,ชูเป็ต,,A,1801,2,12110,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1087,狃拉,,狃拉,Sneasel,Sneasel,404,Espreguiçadeira,สนีเซล,,S,1081,2,12210,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
