变量名,serverOpenDays,fightPointLimit,vipLimit
141,141,220000,11
142,142,220000,11
143,143,220000,11
144,144,220000,11
145,145,220000,11
146,146,220000,11
147,147,220000,11
148,148,220000,11
149,149,220000,11
150,150,220000,11
151,151,230000,11
152,152,230000,11
153,153,230000,11
154,154,230000,11
155,155,230000,11
156,156,230000,11
157,157,230000,11
158,158,230000,11
159,159,230000,11
160,160,230000,11
161,161,240000,11
162,162,240000,11
163,163,240000,11
164,164,240000,11
165,165,240000,11
166,166,240000,11
167,167,240000,11
168,168,240000,11
169,169,240000,11
170,170,240000,11
171,171,250000,11
172,172,250000,11
173,173,250000,11
174,174,250000,11
175,175,250000,11
176,176,250000,11
177,177,250000,11
178,178,250000,11
179,179,250000,11
180,180,250000,11
181,181,260000,11
182,182,260000,11
183,183,260000,11
184,184,260000,11
185,185,260000,11
186,186,260000,11
187,187,260000,11
188,188,260000,11
189,189,260000,11
190,190,260000,11
191,191,270000,11
192,192,270000,11
193,193,270000,11
194,194,270000,11
195,195,270000,11
196,196,270000,11
197,197,270000,11
198,198,270000,11
199,199,270000,11
200,200,270000,11
201,201,280000,11
202,202,280000,11
203,203,280000,11
204,204,280000,11
205,205,280000,11
206,206,280000,11
207,207,280000,11
208,208,280000,11
209,209,280000,11
210,210,280000,11
211,211,290000,11
212,212,290000,11
213,213,290000,11
214,214,290000,11
215,215,290000,11
216,216,290000,11
217,217,290000,11
218,218,290000,11
219,219,290000,11
220,220,290000,11
221,221,300000,11
222,222,300000,11
223,223,300000,11
224,224,300000,11
225,225,300000,11
226,226,300000,11
227,227,300000,11
228,228,300000,11
229,229,300000,11
230,230,300000,11
231,231,310000,11
232,232,310000,11
233,233,310000,11
234,234,310000,11
235,235,310000,11
236,236,310000,11
237,237,310000,11
238,238,310000,11
239,239,310000,11
240,240,310000,11
241,241,320000,11
242,242,320000,11
243,243,320000,11
244,244,320000,11
245,245,320000,11
246,246,320000,11
247,247,320000,11
248,248,320000,11
249,249,320000,11
250,250,320000,11
251,251,330000,11
252,252,330000,11
253,253,330000,11
254,254,330000,11
255,255,330000,11
256,256,330000,11
257,257,330000,11
258,258,330000,11
259,259,330000,11
260,260,330000,11
261,261,340000,11
262,262,340000,11
263,263,340000,11
264,264,340000,11
265,265,340000,11
266,266,340000,11
267,267,340000,11
268,268,340000,11
269,269,340000,11
270,270,340000,11
271,271,350000,11
272,272,350000,11
273,273,350000,11
274,274,350000,11
275,275,350000,11
276,276,350000,11
277,277,350000,11
278,278,350000,11
279,279,350000,11
280,280,350000,11
281,281,360000,11
282,282,360000,11
283,283,360000,11
284,284,360000,11
285,285,360000,11
286,286,360000,11
287,287,360000,11
288,288,360000,11
289,289,360000,11
290,290,360000,11
291,291,370000,11
292,292,370000,11
293,293,370000,11
294,294,370000,11
295,295,370000,11
296,296,370000,11
297,297,370000,11
298,298,370000,11
299,299,370000,11
300,300,370000,11
301,301,380000,11
302,302,380000,11
303,303,380000,11
304,304,380000,11
305,305,380000,11
306,306,380000,11
307,307,380000,11
308,308,380000,11
309,309,380000,11
310,310,380000,11
311,311,390000,11
312,312,390000,11
313,313,390000,11
314,314,390000,11
315,315,390000,11
316,316,390000,11
317,317,390000,11
318,318,390000,11
319,319,390000,11
320,320,390000,11
321,321,400000,11
322,322,400000,11
323,323,400000,11
324,324,400000,11
325,325,400000,11
326,326,400000,11
327,327,400000,11
328,328,400000,11
329,329,400000,11
330,330,400000,11
331,331,410000,11
332,332,410000,11
333,333,410000,11
334,334,410000,11
335,335,410000,11
336,336,410000,11
337,337,410000,11
338,338,410000,11
339,339,410000,11
340,340,410000,11
341,341,420000,11
342,342,420000,11
343,343,420000,11
344,344,420000,11
345,345,420000,11
346,346,420000,11
347,347,420000,11
348,348,420000,11
349,349,420000,11
350,350,420000,11
351,351,430000,11
352,352,430000,11
353,353,430000,11
354,354,430000,11
355,355,430000,11
356,356,430000,11
357,357,430000,11
358,358,430000,11
359,359,430000,11
360,360,430000,11
361,361,440000,11
362,362,440000,11
363,363,440000,11
364,364,440000,11
365,365,440000,11
366,366,440000,11
367,367,440000,11
368,368,440000,11
369,369,440000,11
370,370,440000,11
371,371,450000,11
372,372,450000,11
373,373,450000,11
374,374,450000,11
375,375,450000,11
376,376,450000,11
377,377,450000,11
378,378,450000,11
379,379,450000,11
380,380,450000,11
381,381,460000,11
382,382,460000,11
383,383,460000,11
384,384,460000,11
385,385,460000,11
386,386,460000,11
387,387,460000,11
388,388,460000,11
389,389,460000,11
390,390,460000,11
391,391,470000,11
392,392,470000,11
393,393,470000,11
394,394,470000,11
395,395,470000,11
396,396,470000,11
397,397,470000,11
398,398,470000,11
399,399,470000,11
400,400,470000,11
401,401,480000,11
402,402,480000,11
403,403,480000,11
404,404,480000,11
405,405,480000,11
406,406,480000,11
407,407,480000,11
408,408,480000,11
409,409,480000,11
410,410,480000,11
411,411,490000,11
412,412,490000,11
413,413,490000,11
414,414,490000,11
415,415,490000,11
416,416,490000,11
417,417,490000,11
418,418,490000,11
419,419,490000,11
420,420,490000,11
421,421,500000,11
422,422,500000,11
423,423,500000,11
424,424,500000,11
425,425,500000,11
426,426,500000,11
427,427,500000,11
428,428,500000,11
429,429,500000,11
430,430,500000,11
431,431,510000,11
432,432,510000,11
433,433,510000,11
434,434,510000,11
435,435,510000,11
436,436,510000,11
437,437,510000,11
438,438,510000,11
439,439,510000,11
440,440,510000,11
441,441,520000,11
442,442,520000,11
443,443,520000,11
444,444,520000,11
445,445,520000,11
446,446,520000,11
447,447,520000,11
448,448,520000,11
449,449,520000,11
450,450,520000,11
451,451,530000,11
452,452,530000,11
453,453,530000,11
454,454,530000,11
455,455,530000,11
456,456,530000,11
457,457,530000,11
458,458,530000,11
459,459,530000,11
460,460,530000,11
461,461,540000,11
462,462,540000,11
463,463,540000,11
464,464,540000,11
465,465,540000,11
466,466,540000,11
467,467,540000,11
468,468,540000,11
469,469,540000,11
470,470,540000,11
471,471,550000,11
472,472,550000,11
473,473,550000,11
474,474,550000,11
475,475,550000,11
476,476,550000,11
477,477,550000,11
478,478,550000,11
479,479,550000,11
480,480,550000,11
481,481,560000,11
482,482,560000,11
483,483,560000,11
484,484,560000,11
485,485,560000,11
486,486,560000,11
487,487,560000,11
488,488,560000,11
489,489,560000,11
490,490,560000,11
491,491,570000,11
492,492,570000,11
493,493,570000,11
494,494,570000,11
495,495,570000,11
496,496,570000,11
497,497,570000,11
498,498,570000,11
499,499,570000,11
500,500,570000,11
501,501,580000,11
502,502,580000,11
503,503,580000,11
504,504,580000,11
505,505,580000,11
506,506,580000,11
507,507,580000,11
508,508,580000,11
509,509,580000,11
510,510,580000,11
511,511,590000,11
512,512,590000,11
513,513,590000,11
514,514,590000,11
515,515,590000,11
516,516,590000,11
517,517,590000,11
518,518,590000,11
519,519,590000,11
520,520,590000,11
521,521,600000,11
522,522,600000,11
523,523,600000,11
524,524,600000,11
525,525,600000,11
526,526,600000,11
527,527,600000,11
528,528,600000,11
529,529,600000,11
530,530,600000,11
531,531,1000000,11
532,532,1000000,11
533,533,1000000,11
534,534,1000000,11
535,535,1000000,11
536,536,1000000,11
537,537,1000000,11
538,538,1000000,11
539,539,1000000,11
540,540,1000000,11
541,541,1000000,11
542,542,1000000,11
543,543,1000000,11
544,544,1000000,11
545,545,1000000,11
546,546,1000000,11
547,547,1000000,11
548,548,1000000,11
549,549,1000000,11
550,550,1000000,11
551,551,1000000,11
552,552,1000000,11
553,553,1000000,11
554,554,1000000,11
555,555,1000000,11
556,556,1000000,11
557,557,1000000,11
558,558,1000000,11
559,559,1000000,11
560,560,1000000,11
561,561,1000000,11
562,562,1000000,11
563,563,1000000,11
564,564,1000000,11
565,565,1000000,11
566,566,1000000,11
567,567,1000000,11
568,568,1000000,11
569,569,1000000,11
570,570,1000000,11
571,571,1000000,11
572,572,1000000,11
573,573,1000000,11
574,574,1000000,11
575,575,1000000,11
576,576,1000000,11
577,577,1000000,11
578,578,1000000,11
579,579,1000000,11
580,580,1000000,11
581,581,1000000,11
582,582,1000000,11
583,583,1000000,11
584,584,1000000,11
585,585,1000000,11
586,586,1000000,11
587,587,1000000,11
588,588,1000000,11
589,589,1000000,11
590,590,1000000,11
591,591,1000000,11
592,592,1000000,11
593,593,1000000,11
594,594,1000000,11
595,595,1000000,11
596,596,1000000,11
597,597,1000000,11
598,598,1000000,11
599,599,1000000,11
600,600,1000000,11
601,601,1000000,11
602,602,1000000,11
603,603,1000000,11
604,604,1000000,11
605,605,1000000,11
606,606,1000000,11
607,607,1000000,11
608,608,1000000,11
609,609,1000000,11
610,610,1000000,11
611,611,1000000,11
612,612,1000000,11
613,613,1000000,11
614,614,1000000,11
615,615,1000000,11
616,616,1000000,11
617,617,1000000,11
618,618,1000000,11
619,619,1000000,11
620,620,1000000,11
621,621,1000000,11
622,622,1000000,11
623,623,1000000,11
624,624,1000000,11
625,625,1000000,11
626,626,1000000,11
627,627,1000000,11
628,628,1000000,11
629,629,1000000,11
630,630,1000000,11
631,631,1000000,11
632,632,1000000,11
633,633,1000000,11
634,634,1000000,11
635,635,1000000,11
636,636,1000000,11
637,637,1000000,11
638,638,1000000,11
639,639,1000000,11
640,640,1000000,11
641,641,1000000,11
642,642,1000000,11
643,643,1000000,11
644,644,1000000,11
645,645,1000000,11
646,646,1000000,11
647,647,1000000,11
648,648,1000000,11
649,649,1000000,11
650,650,1000000,11
651,651,1000000,11
652,652,1000000,11
653,653,1000000,11
654,654,1000000,11
655,655,1000000,11
656,656,1000000,11
657,657,1000000,11
658,658,1000000,11
659,659,1000000,11
660,660,1000000,11
661,661,1000000,11
662,662,1000000,11
663,663,1000000,11
664,664,1000000,11
665,665,1000000,11
666,666,1000000,11
667,667,1000000,11
668,668,1000000,11
669,669,1000000,11
670,670,1000000,11
671,671,1000000,11
672,672,1000000,11
673,673,1000000,11
674,674,1000000,11
675,675,1000000,11
676,676,1000000,11
677,677,1000000,11
678,678,1000000,11
679,679,1000000,11
680,680,1000000,11
681,681,1000000,11
682,682,1000000,11
683,683,1000000,11
684,684,1000000,11
685,685,1000000,11
686,686,1000000,11
687,687,1000000,11
688,688,1000000,11
689,689,1000000,11
690,690,1000000,11
691,691,1000000,11
692,692,1000000,11
693,693,1000000,11
694,694,1000000,11
695,695,1000000,11
696,696,1000000,11
697,697,1000000,11
698,698,1000000,11
699,699,1000000,11
700,700,1000000,11
701,701,1000000,11
702,702,1000000,11
703,703,1000000,11
704,704,1000000,11
705,705,1000000,11
706,706,1000000,11
707,707,1000000,11
708,708,1000000,11
709,709,1000000,11
710,710,1000000,11
711,711,1000000,11
712,712,1000000,11
713,713,1000000,11
714,714,1000000,11
715,715,1000000,11
716,716,1000000,11
717,717,1000000,11
718,718,1000000,11
719,719,1000000,11
720,720,1000000,11
721,721,1000000,11
722,722,1000000,11
723,723,1000000,11
724,724,1000000,11
725,725,1000000,11
726,726,1000000,11
727,727,1000000,11
728,728,1000000,11
729,729,1000000,11
730,730,1000000,11
731,731,1000000,11
732,732,1000000,11
733,733,1000000,11
734,734,1000000,11
735,735,1000000,11
736,736,1000000,11
737,737,1000000,11
738,738,1000000,11
739,739,1000000,11
740,740,1000000,11
741,741,1000000,11
742,742,1000000,11
743,743,1000000,11
744,744,1000000,11
745,745,1000000,11
746,746,1000000,11
747,747,1000000,11
748,748,1000000,11
749,749,1000000,11
750,750,1000000,11
751,751,1000000,11
752,752,1000000,11
753,753,1000000,11
754,754,1000000,11
755,755,1000000,11
756,756,1000000,11
757,757,1000000,11
758,758,1000000,11
759,759,1000000,11
760,760,1000000,11
761,761,1000000,11
762,762,1000000,11
763,763,1000000,11
764,764,1000000,11
765,765,1000000,11
766,766,1000000,11
767,767,1000000,11
768,768,1000000,11
769,769,1000000,11
770,770,1000000,11
771,771,1000000,11
772,772,1000000,11
773,773,1000000,11
774,774,1000000,11
775,775,1000000,11
776,776,1000000,11
777,777,1000000,11
778,778,1000000,11
779,779,1000000,11
780,780,1000000,11
781,781,1000000,11
782,782,1000000,11
783,783,1000000,11
784,784,1000000,11
785,785,1000000,11
786,786,1000000,11
787,787,1000000,11
788,788,1000000,11
789,789,1000000,11
790,790,1000000,11
791,791,1000000,11
792,792,1000000,11
793,793,1000000,11
794,794,1000000,11
795,795,1000000,11
796,796,1000000,11
797,797,1000000,11
798,798,1000000,11
799,799,1000000,11
800,800,1000000,11
801,801,1000000,11
802,802,1000000,11
803,803,1000000,11
804,804,1000000,11
805,805,1000000,11
806,806,1000000,11
807,807,1000000,11
808,808,1000000,11
809,809,1000000,11
810,810,1000000,11
811,811,1000000,11
812,812,1000000,11
813,813,1000000,11
814,814,1000000,11
815,815,1000000,11
816,816,1000000,11
817,817,1000000,11
818,818,1000000,11
819,819,1000000,11
820,820,1000000,11
821,821,1000000,11
822,822,1000000,11
823,823,1000000,11
824,824,1000000,11
825,825,1000000,11
826,826,1000000,11
827,827,1000000,11
828,828,1000000,11
829,829,1000000,11
830,830,1000000,11
831,831,1000000,11
832,832,1000000,11
833,833,1000000,11
834,834,1000000,11
835,835,1000000,11
836,836,1000000,11
837,837,1000000,11
838,838,1000000,11
839,839,1000000,11
840,840,1000000,11
841,841,1000000,11
842,842,1000000,11
843,843,1000000,11
844,844,1000000,11
845,845,1000000,11
846,846,1000000,11
847,847,1000000,11
848,848,1000000,11
849,849,1000000,11
850,850,1000000,11
851,851,1000000,11
852,852,1000000,11
853,853,1000000,11
854,854,1000000,11
855,855,1000000,11
856,856,1000000,11
857,857,1000000,11
858,858,1000000,11
859,859,1000000,11
860,860,1000000,11
861,861,1000000,11
862,862,1000000,11
863,863,1000000,11
864,864,1000000,11
865,865,1000000,11
866,866,1000000,11
867,867,1000000,11
868,868,1000000,11
869,869,1000000,11
870,870,1000000,11
871,871,1000000,11
872,872,1000000,11
873,873,1000000,11
874,874,1000000,11
875,875,1000000,11
876,876,1000000,11
877,877,1000000,11
878,878,1000000,11
879,879,1000000,11
880,880,1000000,11
881,881,1000000,11
882,882,1000000,11
883,883,1000000,11
884,884,1000000,11
885,885,1000000,11
886,886,1000000,11
887,887,1000000,11
888,888,1000000,11
889,889,1000000,11
890,890,1000000,11
891,891,1000000,11
892,892,1000000,11
893,893,1000000,11
894,894,1000000,11
895,895,1000000,11
896,896,1000000,11
897,897,1000000,11
898,898,1000000,11
899,899,1000000,11
900,900,1000000,11
901,901,1000000,11
902,902,1000000,11
903,903,1000000,11
904,904,1000000,11
905,905,1000000,11
906,906,1000000,11
907,907,1000000,11
908,908,1000000,11
909,909,1000000,11
910,910,1000000,11
911,911,1000000,11
912,912,1000000,11
913,913,1000000,11
914,914,1000000,11
915,915,1000000,11
916,916,1000000,11
917,917,1000000,11
918,918,1000000,11
919,919,1000000,11
920,920,1000000,11
921,921,1000000,11
922,922,1000000,11
923,923,1000000,11
924,924,1000000,11
925,925,1000000,11
926,926,1000000,11
927,927,1000000,11
928,928,1000000,11
929,929,1000000,11
930,930,1000000,11
931,931,1000000,11
932,932,1000000,11
933,933,1000000,11
934,934,1000000,11
935,935,1000000,11
936,936,1000000,11
937,937,1000000,11
938,938,1000000,11
939,939,1000000,11
940,940,1000000,11
941,941,1000000,11
942,942,1000000,11
943,943,1000000,11
944,944,1000000,11
945,945,1000000,11
946,946,1000000,11
947,947,1000000,11
948,948,1000000,11
949,949,1000000,11
950,950,1000000,11
951,951,1000000,11
952,952,1000000,11
953,953,1000000,11
954,954,1000000,11
955,955,1000000,11
956,956,1000000,11
957,957,1000000,11
958,958,1000000,11
959,959,1000000,11
960,960,1000000,11
961,961,1000000,11
962,962,1000000,11
963,963,1000000,11
964,964,1000000,11
965,965,1000000,11
966,966,1000000,11
967,967,1000000,11
968,968,1000000,11
969,969,1000000,11
970,970,1000000,11
971,971,1000000,11
972,972,1000000,11
973,973,1000000,11
974,974,1000000,11
975,975,1000000,11
976,976,1000000,11
977,977,1000000,11
978,978,1000000,11
979,979,1000000,11
980,980,1000000,11
981,981,1000000,11
982,982,1000000,11
983,983,1000000,11
984,984,1000000,11
985,985,1000000,11
986,986,1000000,11
987,987,1000000,11
988,988,1000000,11
989,989,1000000,11
990,990,1000000,11
991,991,1000000,11
992,992,1000000,11
993,993,1000000,11
994,994,1000000,11
995,995,1000000,11
996,996,1000000,11
997,997,1000000,11
998,998,1000000,11
999,999,1000000,11
1000,1000,1000000,11
1001,1001,1000000,11
1002,1002,1000000,11
1003,1003,1000000,11
1004,1004,1000000,11
1005,1005,1000000,11
1006,1006,1000000,11
1007,1007,1000000,11
1008,1008,1000000,11
1009,1009,1000000,11
1010,1010,1000000,11
1011,1011,1000000,11
1012,1012,1000000,11
1013,1013,1000000,11
1014,1014,1000000,11
1015,1015,1000000,11
1016,1016,1000000,11
1017,1017,1000000,11
1018,1018,1000000,11
1019,1019,1000000,11
1020,1020,1000000,11
1021,1021,1000000,11
1022,1022,1000000,11
1023,1023,1000000,11
1024,1024,1000000,11
1025,1025,1000000,11
1026,1026,1000000,11
1027,1027,1000000,11
1028,1028,1000000,11
1029,1029,1000000,11
1030,1030,1000000,11
1031,1031,1000000,11
1032,1032,1000000,11
1033,1033,1000000,11
1034,1034,1000000,11
1035,1035,1000000,11
1036,1036,1000000,11
1037,1037,1000000,11
1038,1038,1000000,11
1039,1039,1000000,11
1040,1040,1000000,11
1041,1041,1000000,11
1042,1042,1000000,11
1043,1043,1000000,11
1044,1044,1000000,11
1045,1045,1000000,11
1046,1046,1000000,11
1047,1047,1000000,11
1048,1048,1000000,11
1049,1049,1000000,11
1050,1050,1000000,11
1051,1051,1000000,11
1052,1052,1000000,11
1053,1053,1000000,11
1054,1054,1000000,11
1055,1055,1000000,11
1056,1056,1000000,11
1057,1057,1000000,11
1058,1058,1000000,11
1059,1059,1000000,11
1060,1060,1000000,11
1061,1061,1000000,11
1062,1062,1000000,11
1063,1063,1000000,11
1064,1064,1000000,11
1065,1065,1000000,11
1066,1066,1000000,11
1067,1067,1000000,11
1068,1068,1000000,11
1069,1069,1000000,11
1070,1070,1000000,11
1071,1071,1000000,11
1072,1072,1000000,11
1073,1073,1000000,11
1074,1074,1000000,11
1075,1075,1000000,11
1076,1076,1000000,11
1077,1077,1000000,11
1078,1078,1000000,11
1079,1079,1000000,11
1080,1080,1000000,11
1081,1081,1000000,11
1082,1082,1000000,11
1083,1083,1000000,11
1084,1084,1000000,11
1085,1085,1000000,11
1086,1086,1000000,11
1087,1087,1000000,11
1088,1088,1000000,11
1089,1089,1000000,11
1090,1090,1000000,11
1091,1091,1000000,11
1092,1092,1000000,11
1093,1093,1000000,11
1094,1094,1000000,11
1095,1095,1000000,11
1096,1096,1000000,11
1097,1097,1000000,11
1098,1098,1000000,11
1099,1099,1000000,11
1100,1100,1000000,11
1101,1101,1000000,11
1102,1102,1000000,11
1103,1103,1000000,11
1104,1104,1000000,11
1105,1105,1000000,11
1106,1106,1000000,11
1107,1107,1000000,11
1108,1108,1000000,11
1109,1109,1000000,11
1110,1110,1000000,11
1111,1111,1000000,11
1112,1112,1000000,11
1113,1113,1000000,11
1114,1114,1000000,11
1115,1115,1000000,11
1116,1116,1000000,11
1117,1117,1000000,11
1118,1118,1000000,11
1119,1119,1000000,11
1120,1120,1000000,11
1121,1121,1000000,11
1122,1122,1000000,11
1123,1123,1000000,11
1124,1124,1000000,11
1125,1125,1000000,11
1126,1126,1000000,11
1127,1127,1000000,11
1128,1128,1000000,11
1129,1129,1000000,11
1130,1130,1000000,11
1131,1131,1000000,11
1132,1132,1000000,11
1133,1133,1000000,11
1134,1134,1000000,11
1135,1135,1000000,11
1136,1136,1000000,11
1137,1137,1000000,11
1138,1138,1000000,11
1139,1139,1000000,11
1140,1140,1000000,11
1141,1141,1000000,11
1142,1142,1000000,11
1143,1143,1000000,11
1144,1144,1000000,11
1145,1145,1000000,11
1146,1146,1000000,11
1147,1147,1000000,11
1148,1148,1000000,11
1149,1149,1000000,11
1150,1150,1000000,11
1151,1151,1000000,11
1152,1152,1000000,11
1153,1153,1000000,11
1154,1154,1000000,11
1155,1155,1000000,11
1156,1156,1000000,11
1157,1157,1000000,11
1158,1158,1000000,11
1159,1159,1000000,11
1160,1160,1000000,11
1161,1161,1000000,11
1162,1162,1000000,11
1163,1163,1000000,11
1164,1164,1000000,11
1165,1165,1000000,11
1166,1166,1000000,11
1167,1167,1000000,11
1168,1168,1000000,11
1169,1169,1000000,11
1170,1170,1000000,11
1171,1171,1000000,11
1172,1172,1000000,11
1173,1173,1000000,11
1174,1174,1000000,11
1175,1175,1000000,11
1176,1176,1000000,11
1177,1177,1000000,11
1178,1178,1000000,11
1179,1179,1000000,11
1180,1180,1000000,11
1181,1181,1000000,11
1182,1182,1000000,11
1183,1183,1000000,11
1184,1184,1000000,11
1185,1185,1000000,11
1186,1186,1000000,11
1187,1187,1000000,11
1188,1188,1000000,11
1189,1189,1000000,11
1190,1190,1000000,11
1191,1191,1000000,11
1192,1192,1000000,11
1193,1193,1000000,11
1194,1194,1000000,11
1195,1195,1000000,11
1196,1196,1000000,11
1197,1197,1000000,11
1198,1198,1000000,11
1199,1199,1000000,11
1200,1200,1000000,11
1201,1201,1000000,11
1202,1202,1000000,11
1203,1203,1000000,11
1204,1204,1000000,11
1205,1205,1000000,11
1206,1206,1000000,11
1207,1207,1000000,11
1208,1208,1000000,11
1209,1209,1000000,11
1210,1210,1000000,11
1211,1211,1000000,11
1212,1212,1000000,11
1213,1213,1000000,11
1214,1214,1000000,11
1215,1215,1000000,11
1216,1216,1000000,11
1217,1217,1000000,11
1218,1218,1000000,11
1219,1219,1000000,11
1220,1220,1000000,11
1221,1221,1000000,11
1222,1222,1000000,11
1223,1223,1000000,11
1224,1224,1000000,11
1225,1225,1000000,11
1226,1226,1000000,11
1227,1227,1000000,11
1228,1228,1000000,11
1229,1229,1000000,11
1230,1230,1000000,11
1231,1231,1000000,11
1232,1232,1000000,11
1233,1233,1000000,11
1234,1234,1000000,11
1235,1235,1000000,11
1236,1236,1000000,11
1237,1237,1000000,11
1238,1238,1000000,11
1239,1239,1000000,11
1240,1240,1000000,11
1241,1241,1000000,11
1242,1242,1000000,11
1243,1243,1000000,11
1244,1244,1000000,11
1245,1245,1000000,11
1246,1246,1000000,11
1247,1247,1000000,11
1248,1248,1000000,11
1249,1249,1000000,11
1250,1250,1000000,11
1251,1251,1000000,11
1252,1252,1000000,11
1253,1253,1000000,11
1254,1254,1000000,11
1255,1255,1000000,11
1256,1256,1000000,11
1257,1257,1000000,11
1258,1258,1000000,11
1259,1259,1000000,11
1260,1260,1000000,11
1261,1261,1000000,11
1262,1262,1000000,11
1263,1263,1000000,11
1264,1264,1000000,11
1265,1265,1000000,11
1266,1266,1000000,11
1267,1267,1000000,11
1268,1268,1000000,11
1269,1269,1000000,11
1270,1270,1000000,11
1271,1271,1000000,11
1272,1272,1000000,11
1273,1273,1000000,11
1274,1274,1000000,11
1275,1275,1000000,11
1276,1276,1000000,11
1277,1277,1000000,11
1278,1278,1000000,11
1279,1279,1000000,11
1280,1280,1000000,11
1281,1281,1000000,11
1282,1282,1000000,11
1283,1283,1000000,11
1284,1284,1000000,11
1285,1285,1000000,11
1286,1286,1000000,11
1287,1287,1000000,11
1288,1288,1000000,11
1289,1289,1000000,11
1290,1290,1000000,11
1291,1291,1000000,11
1292,1292,1000000,11
1293,1293,1000000,11
1294,1294,1000000,11
1295,1295,1000000,11
1296,1296,1000000,11
1297,1297,1000000,11
1298,1298,1000000,11
1299,1299,1000000,11
1300,1300,1000000,11
1301,1301,1000000,11
1302,1302,1000000,11
1303,1303,1000000,11
1304,1304,1000000,11
1305,1305,1000000,11
1306,1306,1000000,11
1307,1307,1000000,11
1308,1308,1000000,11
1309,1309,1000000,11
1310,1310,1000000,11
1311,1311,1000000,11
1312,1312,1000000,11
1313,1313,1000000,11
1314,1314,1000000,11
1315,1315,1000000,11
1316,1316,1000000,11
1317,1317,1000000,11
1318,1318,1000000,11
1319,1319,1000000,11
1320,1320,1000000,11
1321,1321,1000000,11
1322,1322,1000000,11
1323,1323,1000000,11
1324,1324,1000000,11
1325,1325,1000000,11
1326,1326,1000000,11
1327,1327,1000000,11
1328,1328,1000000,11
1329,1329,1000000,11
1330,1330,1000000,11
1331,1331,1000000,11
1332,1332,1000000,11
1333,1333,1000000,11
1334,1334,1000000,11
1335,1335,1000000,11
1336,1336,1000000,11
1337,1337,1000000,11
1338,1338,1000000,11
1339,1339,1000000,11
1340,1340,1000000,11
1341,1341,1000000,11
1342,1342,1000000,11
1343,1343,1000000,11
1344,1344,1000000,11
1345,1345,1000000,11
1346,1346,1000000,11
1347,1347,1000000,11
1348,1348,1000000,11
1349,1349,1000000,11
1350,1350,1000000,11
1351,1351,1000000,11
1352,1352,1000000,11
1353,1353,1000000,11
1354,1354,1000000,11
1355,1355,1000000,11
1356,1356,1000000,11
1357,1357,1000000,11
1358,1358,1000000,11
1359,1359,1000000,11
1360,1360,1000000,11
1361,1361,1000000,11
1362,1362,1000000,11
1363,1363,1000000,11
1364,1364,1000000,11
1365,1365,1000000,11
1366,1366,1000000,11
1367,1367,1000000,11
1368,1368,1000000,11
1369,1369,1000000,11
1370,1370,1000000,11
