变量名,huodongID,_beizhu,daySum,amount,desc,desc_tw,desc_en,desc_vn,desc_kr,award,special
1071,4108,-1,1,300,累计充值300钻石,,,,,{2103=2;20601=10;gold=60000},{}
1072,4108,-1,2,300,累计充值300钻石,,,,,{2103=2;20601=10;gold=70000},{}
1073,4108,-1,3,300,累计充值300钻石,,,,,{2103=2;20601=10;gold=80000},{}
1074,4108,-1,4,300,累计充值300钻石,,,,,{2103=2;20601=10;gold=90000},{}
1075,4108,-1,5,300,累计充值300钻石,,,,,{2103=2;card={id=9002};20601=10;gold=100000},{card={id=9002}}
1081,4109,-1,1,300,累计充值300钻石,,,,,{2103=2;20571=10;gold=60000},{}
1082,4109,-1,2,300,累计充值300钻石,,,,,{2103=2;20571=10;gold=70000},{}
1083,4109,-1,3,300,累计充值300钻石,,,,,{2103=2;20571=10;gold=80000},{}
1084,4109,-1,4,300,累计充值300钻石,,,,,{2103=2;20571=10;gold=90000},{}
1085,4109,-1,5,300,累计充值300钻石,,,,,{2103=2;card={id=9002};20571=10;gold=100000},{card={id=9002}}
1091,4110,-1,1,300,累计充值300钻石,,,,,{20241=10;2103=2;gold=60000},{}
1092,4110,-1,2,300,累计充值300钻石,,,,,{20241=10;2103=2;gold=70000},{}
1093,4110,-1,3,300,累计充值300钻石,,,,,{20241=10;2103=2;gold=80000},{}
1094,4110,-1,4,300,累计充值300钻石,,,,,{20241=10;2103=2;gold=90000},{}
1095,4110,-1,5,300,累计充值300钻石,,,,,{20241=10;card={id=9002};2103=2;gold=100000},{card={id=9002}}
1101,4111,-1,1,300,累计充值300钻石,,,,,{20741=10;2103=2;gold=60000},{}
1102,4111,-1,2,300,累计充值300钻石,,,,,{20741=10;2103=2;gold=70000},{}
1103,4111,-1,3,300,累计充值300钻石,,,,,{20741=10;2103=2;gold=80000},{}
1104,4111,-1,4,300,累计充值300钻石,,,,,{20741=10;2103=2;gold=90000},{}
1105,4111,-1,5,300,累计充值300钻石,,,,,{card={id=9002};20741=10;2103=2;gold=100000},{card={id=9002}}
1111,4112,-1,1,300,累计充值300钻石,,,,,{2103=2;21081=10;gold=60000},{}
1112,4112,-1,2,300,累计充值300钻石,,,,,{2103=2;21081=10;gold=70000},{}
1113,4112,-1,3,300,累计充值300钻石,,,,,{2103=2;21081=10;gold=80000},{}
1114,4112,-1,4,300,累计充值300钻石,,,,,{2103=2;21081=10;gold=90000},{}
1115,4112,-1,5,300,累计充值300钻石,,,,,{2103=2;card={id=9002};21081=10;gold=100000},{card={id=9002}}
1121,4113,-1,1,300,累计充值300钻石,,,,,{21221=10;2103=2;gold=60000},{}
1122,4113,-1,2,300,累计充值300钻石,,,,,{21221=10;2103=2;gold=70000},{}
1123,4113,-1,3,300,累计充值300钻石,,,,,{21221=10;2103=2;gold=80000},{}
1124,4113,-1,4,300,累计充值300钻石,,,,,{21221=10;2103=2;gold=90000},{}
1125,4113,-1,5,300,累计充值300钻石,,,,,{21221=10;card={id=9002};2103=2;gold=100000},{card={id=9002}}
1131,4114,-1,1,300,累计充值300钻石,,,,,{2103=2;20491=10;gold=60000},{}
1132,4114,-1,2,300,累计充值300钻石,,,,,{2103=2;20491=10;gold=70000},{}
1133,4114,-1,3,300,累计充值300钻石,,,,,{2103=2;20491=10;gold=80000},{}
1134,4114,-1,4,300,累计充值300钻石,,,,,{2103=2;20491=10;gold=90000},{}
1135,4114,-1,5,300,累计充值300钻石,,,,,{2103=2;card={id=9002};20491=10;gold=100000},{card={id=9002}}
1141,4115,-1,1,300,累计充值300钻石,,,,,{21501=10;2103=2;gold=60000},{}
1142,4115,-1,2,300,累计充值300钻石,,,,,{21501=10;2103=2;gold=70000},{}
1143,4115,-1,3,300,累计充值300钻石,,,,,{21501=10;2103=2;gold=80000},{}
1144,4115,-1,4,300,累计充值300钻石,,,,,{21501=10;2103=2;gold=90000},{}
1145,4115,-1,5,300,累计充值300钻石,,,,,{21501=10;card={id=9002};2103=2;gold=100000},{card={id=9002}}
1151,4116,-1,1,300,累计充值300钻石,,,,,{23001=10;2103=2;gold=60000},{}
1152,4116,-1,2,300,累计充值300钻石,,,,,{23001=10;2103=2;gold=70000},{}
1153,4116,-1,3,300,累计充值300钻石,,,,,{23001=10;2103=2;gold=80000},{}
1154,4116,-1,4,300,累计充值300钻石,,,,,{23001=10;2103=2;gold=90000},{}
1155,4116,-1,5,300,累计充值300钻石,,,,,{card={id=9002};23001=10;2103=2;gold=100000},{card={id=9002}}
1161,4117,-1,1,300,累计充值300钻石,,,,,{21251=10;2103=2;gold=60000},{}
1162,4117,-1,2,300,累计充值300钻石,,,,,{21251=10;2103=2;gold=70000},{}
1163,4117,-1,3,300,累计充值300钻石,,,,,{21251=10;2103=2;gold=80000},{}
1164,4117,-1,4,300,累计充值300钻石,,,,,{21251=10;2103=2;gold=90000},{}
1165,4117,-1,5,300,累计充值300钻石,,,,,{card={id=9002};21251=10;2103=2;gold=100000},{card={id=9002}}
1171,4118,-1,1,300,累计充值300钻石,,,,,{23021=10;2103=2;gold=60000},{}
1172,4118,-1,2,300,累计充值300钻石,,,,,{23021=10;2103=2;gold=70000},{}
1173,4118,-1,3,300,累计充值300钻石,,,,,{23021=10;2103=2;gold=80000},{}
1174,4118,-1,4,300,累计充值300钻石,,,,,{23021=10;2103=2;gold=90000},{}
1175,4118,-1,5,300,累计充值300钻石,,,,,{card={id=9002};23021=10;2103=2;gold=100000},{card={id=9002}}
1181,4119,-1,1,300,累计充值300钻石,,,,,{20631=10;2103=2;gold=60000},{}
1182,4119,-1,2,300,累计充值300钻石,,,,,{20631=10;2103=2;gold=70000},{}
1183,4119,-1,3,300,累计充值300钻石,,,,,{20631=10;2103=2;gold=80000},{}
1184,4119,-1,4,300,累计充值300钻石,,,,,{20631=10;2103=2;gold=90000},{}
1185,4119,-1,5,300,累计充值300钻石,,,,,{20631=10;card={id=9002};2103=2;gold=100000},{card={id=9002}}
2001,4201,-1,1,300,累计充值300钻石,,,,,{7400=10;2103=2;gold=60000},{}
2002,4201,-1,2,300,累计充值300钻石,,,,,{7400=10;2103=2;gold=70000},{}
2003,4201,-1,3,300,累计充值300钻石,,,,,{7400=10;2103=2;gold=80000},{}
2004,4201,-1,4,300,累计充值300钻石,,,,,{7400=10;2103=2;gold=90000},{}
2005,4201,-1,5,300,累计充值300钻石,,,,,{card={id=9002};7400=10;2103=2;gold=100000},{card={id=9002}}
2011,4202,-1,1,300,累计充值300钻石,,,,,{7401=10;2103=2;gold=60000},{}
2012,4202,-1,2,300,累计充值300钻石,,,,,{7401=10;2103=2;gold=70000},{}
2013,4202,-1,3,300,累计充值300钻石,,,,,{7401=10;2103=2;gold=80000},{}
2014,4202,-1,4,300,累计充值300钻石,,,,,{7401=10;2103=2;gold=90000},{}
2015,4202,-1,5,300,累计充值300钻石,,,,,{card={id=9002};7401=10;2103=2;gold=100000},{card={id=9002}}
2021,4203,-1,1,300,累计充值300钻石,,,,,{7402=10;2103=2;gold=60000},{}
2022,4203,-1,2,300,累计充值300钻石,,,,,{7402=10;2103=2;gold=70000},{}
2023,4203,-1,3,300,累计充值300钻石,,,,,{7402=10;2103=2;gold=80000},{}
2024,4203,-1,4,300,累计充值300钻石,,,,,{7402=10;2103=2;gold=90000},{}
2025,4203,-1,5,300,累计充值300钻石,,,,,{card={id=9002};7402=10;2103=2;gold=100000},{card={id=9002}}
2031,4204,-1,1,300,累计充值300钻石,,,,,{7403=10;2103=2;gold=60000},{}
2032,4204,-1,2,300,累计充值300钻石,,,,,{7403=10;2103=2;gold=70000},{}
2033,4204,-1,3,300,累计充值300钻石,,,,,{7403=10;2103=2;gold=80000},{}
2034,4204,-1,4,300,累计充值300钻石,,,,,{7403=10;2103=2;gold=90000},{}
2035,4204,-1,5,300,累计充值300钻石,,,,,{card={id=9002};7403=10;2103=2;gold=100000},{card={id=9002}}
2041,4205,-1,1,300,累计充值300钻石,,,,,{7404=10;2103=2;gold=60000},{}
2042,4205,-1,2,300,累计充值300钻石,,,,,{7404=10;2103=2;gold=70000},{}
2043,4205,-1,3,300,累计充值300钻石,,,,,{7404=10;2103=2;gold=80000},{}
2044,4205,-1,4,300,累计充值300钻石,,,,,{7404=10;2103=2;gold=90000},{}
2045,4205,-1,5,300,累计充值300钻石,,,,,{card={id=9002};7404=10;2103=2;gold=100000},{card={id=9002}}
2051,4206,-1,1,300,累计充值300钻石,,,,,{7405=10;2103=2;gold=60000},{}
2052,4206,-1,2,300,累计充值300钻石,,,,,{7405=10;2103=2;gold=70000},{}
2053,4206,-1,3,300,累计充值300钻石,,,,,{7405=10;2103=2;gold=80000},{}
2054,4206,-1,4,300,累计充值300钻石,,,,,{7405=10;2103=2;gold=90000},{}
2055,4206,-1,5,300,累计充值300钻石,,,,,{card={id=9002};7405=10;2103=2;gold=100000},{}
2061,4207,-1,1,300,累计充值300钻石,,,,,{7406=10;2103=2;gold=60000},{}
2062,4207,-1,2,300,累计充值300钻石,,,,,{7406=10;2103=2;gold=70000},{}
2063,4207,-1,3,300,累计充值300钻石,,,,,{7406=10;2103=2;gold=80000},{}
2064,4207,-1,4,300,累计充值300钻石,,,,,{7406=10;2103=2;gold=90000},{}
2065,4207,-1,5,300,累计充值300钻石,,,,,{card={id=9002};7406=10;2103=2;gold=100000},{}
2071,4208,-1,1,300,累计充值300钻石,,,,,{7407=10;2103=2;gold=60000},{}
2072,4208,-1,2,300,累计充值300钻石,,,,,{7407=10;2103=2;gold=70000},{}
2073,4208,-1,3,300,累计充值300钻石,,,,,{7407=10;2103=2;gold=80000},{}
2074,4208,-1,4,300,累计充值300钻石,,,,,{7407=10;2103=2;gold=90000},{}
2075,4208,-1,5,300,累计充值300钻石,,,,,{card={id=9002};7407=10;2103=2;gold=100000},{}
2081,4209,-1,1,300,累计充值300钻石,,,,,{2103=2;7408=10;gold=60000},{}
2082,4209,-1,2,300,累计充值300钻石,,,,,{2103=2;7408=10;gold=70000},{}
2083,4209,-1,3,300,累计充值300钻石,,,,,{2103=2;7408=10;gold=80000},{}
2084,4209,-1,4,300,累计充值300钻石,,,,,{2103=2;7408=10;gold=90000},{}
2085,4209,-1,5,300,累计充值300钻石,,,,,{2103=2;card={id=9002};7408=10;gold=100000},{}
2091,4210,-1,1,300,累计充值300钻石,,,,,{2103=2;7409=10;gold=60000},{}
2092,4210,-1,2,300,累计充值300钻石,,,,,{2103=2;7409=10;gold=70000},{}
2093,4210,-1,3,300,累计充值300钻石,,,,,{2103=2;7409=10;gold=80000},{}
2094,4210,-1,4,300,累计充值300钻石,,,,,{2103=2;7409=10;gold=90000},{}
2095,4210,-1,5,300,累计充值300钻石,,,,,{2103=2;card={id=9002};7409=10;gold=100000},{}
2101,4211,-1,1,300,累计充值300钻石,,,,,{2103=2;7410=10;gold=60000},{}
2102,4211,-1,2,300,累计充值300钻石,,,,,{2103=2;7410=10;gold=70000},{}
2103,4211,-1,3,300,累计充值300钻石,,,,,{2103=2;7410=10;gold=80000},{}
2104,4211,-1,4,300,累计充值300钻石,,,,,{2103=2;7410=10;gold=90000},{}
2105,4211,-1,5,300,累计充值300钻石,,,,,{2103=2;card={id=9002};7410=10;gold=100000},{}
2111,4212,-1,1,300,累计充值300钻石,,,,,{2103=2;7411=10;gold=60000},{}
2112,4212,-1,2,300,累计充值300钻石,,,,,{2103=2;7411=10;gold=70000},{}
2113,4212,-1,3,300,累计充值300钻石,,,,,{2103=2;7411=10;gold=80000},{}
2114,4212,-1,4,300,累计充值300钻石,,,,,{2103=2;7411=10;gold=90000},{}
2115,4212,-1,5,300,累计充值300钻石,,,,,{2103=2;card={id=9002};7411=10;gold=100000},{}
2116,4213,-1,1,300,累计充值300钻石,,,,,{521=20;6200=1;2103=20;539=20},{}
2117,4213,-1,2,300,累计充值300钻石,,,,,{521=30;6200=1;2103=30;539=30},{}
2118,4213,-1,3,300,累计充值300钻石,,,,,{521=40;6200=1;2103=40;539=40},{}
2119,4213,-1,4,300,累计充值300钻石,,,,,{521=50;6200=1;2103=50;539=50},{}
2120,4213,-1,5,300,累计充值300钻石,,,,,{521=50;539=50;6199=1;card={id=9002}},{}
2200,4214,-1,1,300,累计充值300钻石,,,,,{521=20;539=20;2103=20;9100=2},{}
2201,4214,-1,2,300,累计充值300钻石,,,,,{521=30;539=30;2103=30;9100=2},{}
2202,4214,-1,3,300,累计充值300钻石,,,,,{521=40;539=40;2103=40;9100=2},{}
2203,4214,-1,4,300,累计充值300钻石,,,,,{521=50;539=50;2103=50;9100=2},{}
2204,4214,-1,5,300,累计充值300钻石,,,,,{521=50;539=50;9100=5;card={id=9002}},{}
2300,4215,-1,1,300,累计充值300钻石,,,,,{521=20;539=20;2103=20;9101=1},{}
2301,4215,-1,2,300,累计充值300钻石,,,,,{521=30;539=30;2103=30;9101=2},{}
2302,4215,-1,3,300,累计充值300钻石,,,,,{521=40;539=40;2103=40;9101=3},{}
2303,4215,-1,4,300,累计充值300钻石,,,,,{521=50;539=50;2103=50;9101=4},{}
2304,4215,-1,5,300,累计充值300钻石,,,,,{521=80;539=100;2103=80;9101=5},{}
2400,4216,-1,1,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2401,4216,-1,2,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2402,4216,-1,3,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2403,4216,-1,4,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2404,4216,-1,5,300,累计充值300钻石,,,,,{card={id=9121};501=50;6059=4;talent_point=100},{card={id=9121}}
2500,4217,-1,1,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2501,4217,-1,2,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2502,4217,-1,3,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2503,4217,-1,4,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2504,4217,-1,5,300,累计充值300钻石,,,,,{card={id=9101};501=50;6059=4;talent_point=100},{card={id=9101}}
2600,4218,-1,1,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2601,4218,-1,2,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2602,4218,-1,3,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2603,4218,-1,4,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2604,4218,-1,5,300,累计充值300钻石,,,,,{card={id=9111};501=50;6059=4;talent_point=100},{card={id=9111}}
2700,4219,-1,1,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2701,4219,-1,2,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2702,4219,-1,3,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2703,4219,-1,4,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2704,4219,-1,5,300,累计充值300钻石,,,,,{card={id=9131};501=50;6059=4;talent_point=100},{card={id=9131}}
2800,4220,-1,1,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2801,4220,-1,2,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2802,4220,-1,3,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2803,4220,-1,4,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2804,4220,-1,5,300,累计充值300钻石,,,,,{card={id=9141};501=50;6059=4;talent_point=100},{card={id=9141}}
2900,4221,-1,1,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2901,4221,-1,2,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2902,4221,-1,3,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2903,4221,-1,4,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
2904,4221,-1,5,300,累计充值300钻石,,,,,{card={id=3601};501=50;6059=4;talent_point=100},{card={id=3601}}
3000,4222,-1,1,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3001,4222,-1,2,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3002,4222,-1,3,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3003,4222,-1,4,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3004,4222,-1,5,300,累计充值300钻石,,,,,{card={id=7081};501=50;6059=4;talent_point=100},{card={id=7081}}
3100,4223,-1,1,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3101,4223,-1,2,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3102,4223,-1,3,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3103,4223,-1,4,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3104,4223,-1,5,300,累计充值300钻石,,,,,{card={id=7091};501=50;6059=4;talent_point=100},{card={id=7091}}
3200,4224,-1,1,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3201,4224,-1,2,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3202,4224,-1,3,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3203,4224,-1,4,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3204,4224,-1,5,300,累计充值300钻石,,,,,{card={id=9081};501=50;6059=4;talent_point=100},{card={id=9081}}
3300,4225,-1,1,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3301,4225,-1,2,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3302,4225,-1,3,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3303,4225,-1,4,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3304,4225,-1,5,300,累计充值300钻石,,,,,{card={id=9051};501=50;6059=4;talent_point=100},{card={id=9051}}
3400,4226,-1,1,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3401,4226,-1,2,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3402,4226,-1,3,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3403,4226,-1,4,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3404,4226,-1,5,300,累计充值300钻石,,,,,{card={id=9061};501=50;6059=4;talent_point=100},{card={id=9061}}
3500,4227,-1,1,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3501,4227,-1,2,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3502,4227,-1,3,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3503,4227,-1,4,300,累计充值300钻石,,,,,{501=50;9016=10;6059=4;talent_point=100},{}
3504,4227,-1,5,300,累计充值300钻石,,,,,{card={id=9071};501=50;6059=4;talent_point=100},{card={id=9071}}
