变量名,huodongID,costMap,items,exchangeTimes,limit,desc,desc_tw,desc_en
1026,10102,{rmb=100},{20601=3},2,{},鸭嘴宝宝碎片,,
1027,10102,{rmb=100},{20491=3},2,{},独角犀牛碎片,,
1028,10102,{rmb=100},{21501=3},2,{},可可多拉碎片,,
1029,10102,{rmb=100},{23411=3},2,{},独剑鞘碎片,,
1030,10102,{rmb=100},{20331=3},2,{},小磁怪碎片,,
1031,10102,{rmb=100},{20591=3},2,{},电击怪碎片,,
1032,10102,{rmb=100},{20881=3},2,{},咩利羊碎片,,
1033,10102,{rmb=100},{20731=3},2,{},闪电鸟碎片,,
1034,10102,{rmb=100},{21221=3},2,{},雷公碎片,,
1035,10102,{rmb=100},{20711=3},2,{},卡比兽碎片,,
1036,10102,{rmb=100},{21311=3},2,{},水跃鱼碎片,,
1037,10102,{rmb=100},{23661=3},2,{},木木枭碎片,,
1038,10102,{rmb=100},{22231=3},2,{},圆陆鲨碎片,,
1501,10501,{200=1},{6060=100},1,{},200\t翡翠护符,,
1502,10501,{201=1},{6060=100},1,{},201\t精致护符,,
1503,10501,{202=1},{6060=100},1,{},202\t通讯护符,,
1504,10501,{203=1},{6060=100},1,{},203\t酒红护符,,
1505,10501,{204=1},{6060=100},1,{},204\t六芒星护符,,
1506,10501,{205=1},{6060=100},1,{},205\t闪耀护符,,
1509,10501,{rmb=388},{6060=50},2,{},钻石*388   兑换   护符能量精华*50,,
1510,10501,{rmb=188;6060=150},{200=1},1,{},200\t翡翠护符,,
1511,10501,{rmb=188;6060=150},{201=1},1,{},201\t精致护符,,
1512,10501,{rmb=188;6060=150},{202=1},1,{},202\t通讯护符,,
1513,10501,{rmb=188;6060=150},{203=1},1,{},203\t酒红护符,,
1514,10501,{rmb=188;6060=150},{204=1},1,{},204\t六芒星护符,,
1515,10501,{rmb=188;6060=150},{205=1},1,{},205\t闪耀护符,,
1521,10502,{210=1},{6061=100},1,{},210\t翡翠耳环,,
1522,10502,{211=1},{6061=100},1,{},211\t真质耳环,,
1523,10502,{212=1},{6061=100},1,{},212\t星月耳环,,
1524,10502,{213=1},{6061=100},1,{},213\t胭脂耳环,,
1525,10502,{214=1},{6061=100},1,{},214\t海洋耳环,,
1526,10502,{215=1},{6061=100},1,{},215\t名贵耳环,,
1527,10502,{rmb=388},{6061=50},2,{},钻石*388   兑换   耳环能量精华*50,,
1528,10502,{rmb=188;6061=150},{210=1},1,{},210\t翡翠耳环,,
1529,10502,{rmb=188;6061=150},{211=1},1,{},211\t真质耳环,,
1530,10502,{rmb=188;6061=150},{212=1},1,{},212\t星月耳环,,
1531,10502,{rmb=188;6061=150},{213=1},1,{},213\t胭脂耳环,,
1532,10502,{rmb=188;6061=150},{214=1},1,{},214\t海洋耳环,,
1533,10502,{rmb=188;6061=150},{215=1},1,{},215\t名贵耳环,,
1540,10503,{220=1},{6062=100},1,{},220\t四叶草戒指,,
1541,10503,{221=1},{6062=100},1,{},221\t精致梏戒,,
1542,10503,{222=1},{6062=100},1,{},222\t星月光戒,,
1543,10503,{223=1},{6062=100},1,{},223\t胭脂戒指,,
1544,10503,{224=1},{6062=100},1,{},224\t海洋钻戒,,
1545,10503,{225=1},{6062=100},1,{},225\t璀璨秘戒,,
1546,10503,{rmb=388},{6062=50},2,{},钻石*388   兑换   戒指能量精华*50,,
1547,10503,{rmb=188;6062=150},{220=1},1,{},220\t四叶草戒指,,
1548,10503,{rmb=188;6062=150},{221=1},1,{},221\t精致梏戒,,
1549,10503,{rmb=188;6062=150},{222=1},1,{},222\t星月光戒,,
1550,10503,{rmb=188;6062=150},{223=1},1,{},223\t胭脂戒指,,
1551,10503,{rmb=188;6062=150},{224=1},1,{},224\t海洋钻戒,,
1552,10503,{rmb=188;6062=150},{225=1},1,{},225\t璀璨秘戒,,
1560,10504,{230=1},{6063=100},1,{},230\t四叶草项链,,
1561,10504,{231=1},{6063=100},1,{},231\t精致项链,,
1562,10504,{232=1},{6063=100},1,{},232\t神秘骨质项链,,
1563,10504,{233=1},{6063=100},1,{},233\t红日丝项链,,
1564,10504,{234=1},{6063=100},1,{},234\t海洋心项链,,
1565,10504,{235=1},{6063=100},1,{},235\t璀璨星项链,,
1566,10504,{rmb=388},{6063=50},2,{},钻石*388   兑换   项链能量精华*50,,
1567,10504,{rmb=188;6063=150},{230=1},1,{},230\t四叶草项链,,
1568,10504,{rmb=188;6063=150},{231=1},1,{},231\t精致项链,,
1569,10504,{rmb=188;6063=150},{232=1},1,{},232\t神秘骨质项链,,
1570,10504,{rmb=188;6063=150},{233=1},1,{},233\t红日丝项链,,
1571,10504,{rmb=188;6063=150},{234=1},1,{},234\t海洋心项链,,
1572,10504,{rmb=188;6063=150},{235=1},1,{},235\t璀璨星项链,,
2001,10201,{6301=2},{502=1},2,{},蓝色购物券*2   兑换   普通万能碎片*1,,
2002,10201,{6302=4},{502=2},3,{},紫色购物券*4   兑换   普通万能碎片*2,,
2003,10201,{6301=2},{talent_point=1},2,{},蓝色购物券*2   兑换   天赋点*1,,
2004,10201,{6302=4},{talent_point=2},3,{},紫色购物券*4   兑换   天赋点*2,,
2005,10201,{6302=6},{21231=5},50,{},紫色购物券*6   兑换   炎帝碎片*5,,
2006,10201,{6302=6},{21251=5},50,{},紫色购物券*6   兑换   班吉拉斯碎片*5,,
2007,10201,{6302=3;6301=3},{21171=3},50,{},蓝色购物券*3 紫色购物券*3   兑换   戴鲁比碎片*3,,
2008,10201,{6302=3;6301=3},{21501=3},50,{},蓝色购物券*3 紫色购物券*3   兑换   可可多拉碎片*3,,
2009,10201,{6301=5},{20801=3},50,{},蓝色购物券*5   兑换   小锯鳄碎片*3,,
2010,10201,{6301=5},{22301=3},50,{},蓝色购物券*5   兑换   雪笠怪碎片*3,,
2011,10201,{6301=5},{22631=3},50,{},蓝色购物券*5   兑换   搬运小匠碎片*3,,
2012,10201,{6301=5},{23431=3},50,{},蓝色购物券*5   兑换   绵绵泡芙碎片*3,,
2013,10201,{6301=2},{19=1},5,{},蓝色购物券*2   兑换   神奇胶囊*1,,
2014,10201,{6302=2},{19=2},5,{},紫色购物券*2   兑换   神奇胶囊*2,,
2015,10201,{6302=8;6301=8},{503=10},1,{},蓝色购物券*8 紫色购物券*8   兑换   金钥匙*10,,
2016,10201,{6301=6},{2103=3},5,{},蓝色购物券*6   兑换   紫色携带强化*3,,
2017,10201,{6301=6},{5000=30},5,{},蓝色购物券*6   兑换   能量药剂*30,,
2018,10201,{6301=2},{gold=100000},10,{},蓝色购物券*2   兑换   金币*100000,,
2019,10201,{6302=5;6301=2},{501=1},3,{},蓝色购物券*2 紫色购物券*5   兑换   质朴配饰*1,,
2020,10201,{6302=75;6301=30},{942=1},2,{},蓝色购物券*30 紫色购物券*75   兑换   紫色携带道具礼箱*1,,
2021,10201,{6302=45;6301=15},{6050=1},2,{},蓝色购物券*15 紫色购物券*45   兑换   饰品觉醒随机箱子*1,,
2030,10202,{6312=3;6313=3},{2300=1},1,{},汤圆*3 灯笼*3   兑换  圣诞节专属头像,,
2031,10202,{6312=10;6313=10},{2008=1},1,{},汤圆*10 灯笼*10   兑换  圣诞节专属称号框,,
2032,10202,{6312=20;6313=20},{2400=1},1,{},汤圆*20 灯笼*20   兑换  圣诞节称号,,
2033,10202,{6312=2;6313=2},{talent_point=2},3,{},汤圆*2 灯笼*2   兑换  天赋点*2,,
2034,10202,{6312=2;6313=2},{515=1},5,{},汤圆*2 灯笼*2   兑换  体力药水(中)*1,,
2035,10202,{6312=2;6313=2},{502=1},8,{},汤圆*2 灯笼*2   兑换  万能升星碎片*1,,
2036,10202,{6312=3;6313=3},{501=1},3,{},汤圆*3 灯笼*3   兑换  觉醒合金*1,,
2037,10202,{6312=5;6313=5},{rmb=388},1,{},汤圆*5 灯笼*5   兑换  钻石*388,,
2038,10202,{6312=30;6313=30},{519=10},1,{},汤圆*30 灯笼*30   兑换  抽卡券*10,,
2039,10202,{6312=10;6313=10},{503=10},1,{},汤圆*10 灯笼*10   兑换  饰品钥匙*5,,
2040,10202,{6312=10;6313=10},{520=5},1,{},汤圆*10 灯笼*10   兑换  探险器抽卡*5,,
2041,10202,{6312=1},{gold=100000},30,{},汤圆*1   兑换  金币*10w,,
2042,10202,{6312=1},{930=8},30,{},汤圆*1   兑换  晶石盒子*5,,
2043,10202,{6312=1},{2102=2},30,{},汤圆*1   兑换  蓝携带强化*2,,
2044,10202,{6313=1},{5000=8},30,{},灯笼*1   兑换  能量药剂*5,,
2045,10202,{6313=1},{902=1},30,{},灯笼*1   兑换  紫色好感度礼物*1,,
2046,10202,{6313=1},{850=20},30,{},灯笼*1   兑换  蓝色潜能石*30,,
2050,10203,{6301=2},{502=1},2,{},蓝色购物券*2   兑换   普通万能碎片*1,,
2051,10203,{6302=4},{502=2},3,{},紫色购物券*4   兑换   普通万能碎片*2,,
2052,10203,{6301=2},{talent_point=1},2,{},蓝色购物券*2   兑换   天赋点*1,,
2053,10203,{6302=4},{talent_point=2},3,{},紫色购物券*4   兑换   天赋点*2,,
2054,10203,{6302=6},{20491=5},50,{},紫色购物券*6   兑换   独角犀牛碎片*5,,
2055,10203,{6302=6},{21071=5},50,{},紫色购物券*6   兑换   赫拉克罗斯碎片*5,,
2056,10203,{6302=3;6301=3},{20571=3},50,{},蓝色购物券*3 紫色购物券*3   兑换   飞天螳螂碎片*3,,
2057,10203,{6302=3;6301=3},{20261=3},50,{},蓝色购物券*3 紫色购物券*3   兑换   凯西碎片*3,,
2058,10203,{6301=5},{23011=3},50,{},蓝色购物券*5   兑换   喷嚏熊碎片*3,,
2059,10203,{6301=5},{23501=3},50,{},蓝色购物券*5   兑换   冰雪龙碎片*3,,
2060,10203,{6301=5},{20461=3},50,{},蓝色购物券*5   兑换   无畏小子碎片*3,,
2061,10203,{6301=5},{23291=3},50,{},蓝色购物券*5   兑换   火狐狸碎片*3,,
2062,10203,{6301=2},{19=1},5,{},蓝色购物券*2   兑换   神奇胶囊*1,,
2063,10203,{6302=2},{19=2},5,{},紫色购物券*2   兑换   神奇胶囊*2,,
2064,10203,{6302=8;6301=8},{503=10},1,{},蓝色购物券*8 紫色购物券*8   兑换   金钥匙*10,,
2065,10203,{6301=6},{2103=3},5,{},蓝色购物券*6   兑换   紫色携带强化*3,,
2066,10203,{6301=6},{5000=30},5,{},蓝色购物券*6   兑换   能量药剂*30,,
2067,10203,{6301=2},{gold=100000},10,{},蓝色购物券*2   兑换   金币*100000,,
2068,10203,{6302=5;6301=2},{501=1},3,{},蓝色购物券*2 紫色购物券*5   兑换   质朴配饰*1,,
2069,10203,{6302=75;6301=30},{942=1},2,{},蓝色购物券*30 紫色购物券*75   兑换   紫色携带道具礼箱*1,,
2070,10203,{6302=45;6301=15},{6050=1},2,{},蓝色购物券*15 紫色购物券*45   兑换   饰品觉醒随机箱子*1,,
2080,10204,{6301=2},{502=1},2,{},蓝色购物券*2   兑换   普通万能碎片*1,,
2081,10204,{6302=4},{502=2},3,{},紫色购物券*4   兑换   普通万能碎片*2,,
2082,10204,{6301=2},{talent_point=1},2,{},蓝色购物券*2   兑换   天赋点*1,,
2083,10204,{6302=4},{talent_point=2},3,{},紫色购物券*4   兑换   天赋点*2,,
2084,10204,{6302=6},{21421=5},50,{},紫色购物券*6   兑换   懒人獭碎片*5,,
2085,10204,{6302=6},{20741=5},50,{},紫色购物券*6   兑换   火焰鸟碎片*5,,
2086,10204,{6302=3;6301=3},{20601=3},50,{},蓝色购物券*3 紫色购物券*3   兑换   鸭嘴宝宝碎片*3,,
2087,10204,{6302=3;6301=3},{21841=3},50,{},蓝色购物券*3 紫色购物券*3   兑换   阿勃梭鲁碎片*3,,
2088,10204,{6301=5},{23281=3},50,{},蓝色购物券*5   兑换   哈力栗碎片*3,,
2089,10204,{6301=5},{22011=3},50,{},蓝色购物券*5   兑换   草苗龟碎片*3,,
2090,10204,{6301=5},{22871=3},50,{},蓝色购物券*5   兑换   迷你冰碎片*3,,
2091,10204,{6301=5},{20481=3},50,{},蓝色购物券*5   兑换   瓦斯弹碎片*3,,
2092,10204,{6301=2},{19=1},5,{},蓝色购物券*2   兑换   神奇胶囊*1,,
2093,10204,{6302=2},{19=2},5,{},紫色购物券*2   兑换   神奇胶囊*2,,
2094,10204,{6302=8;6301=8},{503=10},1,{},蓝色购物券*8 紫色购物券*8   兑换   金钥匙*10,,
2095,10204,{6301=6},{2103=3},5,{},蓝色购物券*6   兑换   紫色携带强化*3,,
2096,10204,{6301=6},{5000=30},5,{},蓝色购物券*6   兑换   能量药剂*30,,
2097,10204,{6301=2},{gold=100000},10,{},蓝色购物券*2   兑换   金币*100000,,
2098,10204,{6302=5;6301=2},{501=1},3,{},蓝色购物券*2 紫色购物券*5   兑换   质朴配饰*1,,
2099,10204,{6302=75;6301=30},{942=1},2,{},蓝色购物券*30 紫色购物券*75   兑换   紫色携带道具礼箱*1,,
2100,10204,{6302=45;6301=15},{6050=1},2,{},蓝色购物券*15 紫色购物券*45   兑换   饰品觉醒随机箱子*1,,
2111,10205,{6322=30},{922=1},1,{},S级精灵球*1,,
2112,10205,{6322=15},{921=1},5,{},A级精灵球*1,,
2113,10205,{6322=2},{602=1},10,{},银项链*1,,
2114,10205,{6322=3},{2103=2},10,{},紫强化*1,,
2115,10205,{6322=3},{519=1},5,{},抽卡券*1,,
2116,10205,{6322=1},{503=1},5,{},饰品抽卡券*1,,
2117,10205,{6322=2},{520=1},5,{},探险器抽卡券*1,,
2118,10205,{6322=3},{502=1},2,{},万能碎片*1,,
2119,10205,{6322=5},{501=1},3,{},饰品升星道具*1,,
2120,10205,{6322=1},{850=20},20,{},蓝色潜能石*20,,
2121,10205,{6322=1},{gold=50000},30,{},金币*5W,,
2122,10205,{6322=1},{5000=5},30,{},晶石盒子*5,,
2123,10205,{6322=1},{930=5},30,{},能量药剂*5,,
2150,10206,{6301=2},{502=1},2,{},蓝色购物券*2   兑换   普通万能碎片*1,,
2151,10206,{6302=4},{502=2},3,{},紫色购物券*4   兑换   普通万能碎片*2,,
2152,10206,{6301=2},{talent_point=1},2,{},蓝色购物券*2   兑换   天赋点*1,,
2153,10206,{6302=4},{talent_point=2},3,{},紫色购物券*4   兑换   天赋点*2,,
2154,10206,{6302=6},{20721=5},50,{},紫色购物券*6   兑换   急冻鸟碎片*5,,
2155,10206,{6302=6},{23021=5},50,{},紫色购物券*6   兑换   几何雪花碎片*5,,
2156,10206,{6302=3;6301=3},{20391=3},50,{},蓝色购物券*3 紫色购物券*3   兑换   鬼斯碎片*3,,
2157,10206,{6302=3;6301=3},{21811=3},50,{},蓝色购物券*3 紫色购物券*3   兑换   夜巡灵碎片*3,,
2158,10206,{6301=5},{21851=3},50,{},蓝色购物券*5   兑换   雪童子碎片*3,,
2159,10206,{6301=5},{22591=3},50,{},蓝色购物券*5   兑换   石丸子碎片*3,,
2160,10206,{6301=5},{20471=3},50,{},蓝色购物券*5   兑换   大舌舔碎片*3,,
2161,10206,{6301=5},{20051=3},50,{},蓝色购物券*5   兑换   大比鸟碎片*3,,
2162,10206,{6301=2},{19=1},5,{},蓝色购物券*2   兑换   神奇胶囊*1,,
2163,10206,{6302=2},{19=2},5,{},紫色购物券*2   兑换   神奇胶囊*2,,
2164,10206,{6302=8;6301=8},{503=10},1,{},蓝色购物券*8 紫色购物券*8   兑换   金钥匙*10,,
2165,10206,{6301=6},{2103=3},5,{},蓝色购物券*6   兑换   紫色携带强化*3,,
2166,10206,{6301=6},{5000=30},5,{},蓝色购物券*6   兑换   能量药剂*30,,
2167,10206,{6301=2},{gold=100000},10,{},蓝色购物券*2   兑换   金币*100000,,
2168,10206,{6302=5;6301=2},{501=1},3,{},蓝色购物券*2 紫色购物券*5   兑换   质朴配饰*1,,
2169,10206,{6302=75;6301=30},{942=1},2,{},蓝色购物券*30 紫色购物券*75   兑换   紫色携带道具礼箱*1,,
2170,10206,{6302=45;6301=15},{6050=1},2,{},蓝色购物券*15 紫色购物券*45   兑换   饰品觉醒随机箱子*1,,
2180,10207,{6301=2},{502=1},2,{},蓝色购物券*2   兑换   普通万能碎片*1,,
2181,10207,{6302=4},{502=2},3,{},紫色购物券*4   兑换   普通万能碎片*2,,
2182,10207,{6301=2},{talent_point=1},2,{},蓝色购物券*2   兑换   天赋点*1,,
2183,10207,{6302=4},{talent_point=2},3,{},紫色购物券*4   兑换   天赋点*2,,
2184,10207,{6302=6},{23001=5},50,{},紫色购物券*6   兑换   双斧战龙碎片*5,,
2185,10207,{6302=6},{20571=5},50,{},紫色购物券*6   兑换   巨钳螳螂碎片*5,,
2186,10207,{6302=3;6301=3},{20401=3},50,{},蓝色购物券*3 紫色购物券*3   兑换   大钢蛇碎片*3,,
2187,10207,{6302=3;6301=3},{21811=3},50,{},蓝色购物券*3 紫色购物券*3   兑换   夜巡灵碎片*3,,
2188,10207,{6301=5},{20781=3},50,{},蓝色购物券*5   兑换   菊叶草碎片*3,,
2189,10207,{6301=5},{23431=3},50,{},蓝色购物券*5   兑换   胖甜妮碎片*3,,
2190,10207,{6301=5},{20271=3},50,{},蓝色购物券*5   兑换   怪力碎片*3,,
2191,10207,{6301=5},{20461=3},50,{},蓝色购物券*5   兑换   无畏小子碎片*3,,
2192,10207,{6301=2},{19=1},5,{},蓝色购物券*2   兑换   神奇胶囊*1,,
2193,10207,{6302=2},{19=2},5,{},紫色购物券*2   兑换   神奇胶囊*2,,
2194,10207,{6302=8;6301=8},{503=10},1,{},蓝色购物券*8 紫色购物券*8   兑换   金钥匙*10,,
2195,10207,{6301=6},{2103=3},5,{},蓝色购物券*6   兑换   紫色携带强化*3,,
2196,10207,{6301=6},{5000=30},5,{},蓝色购物券*6   兑换   能量药剂*30,,
2197,10207,{6301=2},{gold=100000},10,{},蓝色购物券*2   兑换   金币*100000,,
2198,10207,{6302=5;6301=2},{501=1},3,{},蓝色购物券*2 紫色购物券*5   兑换   质朴配饰*1,,
2199,10207,{6302=60;6301=20},{942=1},2,{},蓝色购物券*30 紫色购物券*75   兑换   紫色携带道具礼箱*1,,
2200,10207,{6302=45;6301=15},{6059=1},1,{},蓝色购物券*15 紫色购物券*45   兑换   饰品觉醒选择箱子*1,,
2201,10207,{6302=40;6301=10},{6050=1},1,{},蓝色购物券*15 紫色购物券*45   兑换   饰品觉醒随机箱子*1,,
2211,10208,{6341=20},{6344=1},1,{},踏青礼盒*1,,
2212,10208,{6341=20},{2001=1},1,{},头像框*1,,
2213,10208,{6341=2},{6343=1},100,{},柳叶草盒*1,,
2221,10209,{6071=20},{2152=1},88,{},紫携带万能*1,,
2222,10209,{6071=60},{945=1},88,{},紫携带任选*1,,
2223,10209,{6071=120},{2153=1},88,{},橙携带万能*1,,
2224,10209,{6071=240},{30407=1},1,{},橙携带*1,,
2225,10209,{6071=240},{30402=1},1,{},橙携带*1,,
2226,10209,{6071=2000},{30433=1},1,{},鬼手全套*1,,
2227,10209,{6071=2000},{30432=1},1,{},咸鱼龙刺*1,,
2228,10209,{6071=2000},{30431=1},1,{},基因多面体*1,,
2229,10209,{6071=2000},{30430=1},1,{},羁绊铃铛*1,,
2230,10209,{6071=6000},{30455=1},2,{},神·机巧魄心*1,,
2231,10210,{6346=20},{2012=1},1,{},五一头像框*1,,
2232,10210,{6346=20},{2403=1},1,{},五一称号*1,,
2233,10210,{6346=5},{521=1},3,{},神兽万能碎片*1,,
2234,10210,{6346=3},{602=1},10,{},银项链*1,,
2235,10210,{6346=3},{2103=2},10,{},紫强化*1,,
2236,10210,{6346=3},{851=8},20,{},紫色潜能石*8,,
2237,10210,{6346=2},{850=20},20,{},蓝色潜能石*20,,
2238,10210,{6346=2},{5000=5},30,{},晶石盒子*5,,
2239,10210,{6346=2},{930=5},30,{},能量药剂*5,,
2240,10210,{6346=2},{gold=50000},30,{},金币*5W,,
2250,10211,{6301=2},{502=1},2,{},蓝色购物券*2   兑换   普通万能碎片*1,,
2251,10211,{6302=4},{502=2},3,{},紫色购物券*4   兑换   普通万能碎片*2,,
2252,10211,{6301=2},{talent_point=1},2,{},蓝色购物券*2   兑换   天赋点*1,,
2253,10211,{6302=4},{talent_point=2},3,{},紫色购物券*4   兑换   天赋点*2,,
2254,10211,{6302=6},{20731=5},50,{},紫色购物券*6   兑换   闪电鸟碎片*5,,
2255,10211,{6302=6},{23411=5},50,{},紫色购物券*6   兑换   独剑鞘碎片*5,,
2256,10211,{6302=3;6301=3},{20391=3},50,{},蓝色购物券*3 紫色购物券*3   兑换   鬼斯碎片*3,,
2257,10211,{6302=3;6301=3},{23591=3},50,{},蓝色购物券*3 紫色购物券*3   兑换   音波龙碎片*3,,
2258,10211,{6301=5},{22611=3},50,{},蓝色购物券*5   兑换   螺钉地鼠碎片*3,,
2259,10211,{6301=5},{22841=3},50,{},蓝色购物券*5   兑换   歌德宝宝碎片*3,,
2260,10211,{6301=5},{22961=3},50,{},蓝色购物券*5   兑换   齿轮儿碎片*3,,
2261,10211,{6301=5},{21851=3},50,{},蓝色购物券*5   兑换   雪童子碎片*3,,
2262,10211,{6301=2},{19=1},5,{},蓝色购物券*2   兑换   神奇胶囊*1,,
2263,10211,{6302=2},{19=2},5,{},紫色购物券*2   兑换   神奇胶囊*2,,
2264,10211,{6302=8;6301=8},{503=10},1,{},蓝色购物券*8 紫色购物券*8   兑换   金钥匙*10,,
2265,10211,{6301=6},{2103=3},5,{},蓝色购物券*6   兑换   紫色携带强化*3,,
2266,10211,{6301=6},{5000=30},5,{},蓝色购物券*6   兑换   能量药剂*30,,
2267,10211,{6301=2},{gold=100000},10,{},蓝色购物券*2   兑换   金币*100000,,
