变量名,huodongID,_beizhu,name,name_tw,name_en,name_kr,item,rmbCost,rechargeID,duration,sort,group,sumRechargeRMB,targetType1,targetArg1_1,targetArg1_2,targetType2,targetArg2_1,targetArg2_2,bgPath,countPath
2005,20001,,80级限时礼包,,,,{503=10;rmb=600;452=100},1000,106,240,0,5,<0;100>,1,80,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2006,20001,,90级限时礼包,,,,{503=10;rmb=600;452=100},1000,106,240,0,6,<0;100>,1,90,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2007,20001,,100级限时礼包,,,,{503=10;rmb=600;452=100},1000,106,240,0,7,<0;100>,1,100,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2021,20001,,30级豪华礼包,,,,{519=10;942=1;rmb=3280;card={id=9002}},1000,112,240,0,1,<101;999999999>,1,30,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2022,20001,,50级豪华礼包,,,,{519=10;942=1;rmb=3280;card={id=9002}},1000,112,240,0,2,<101;999999999>,1,50,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2023,20001,,60级豪华礼包,,,,{519=10;942=1;rmb=3280;card={id=9002}},1000,112,240,0,3,<101;999999999>,1,60,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2024,20001,,70级豪华礼包,,,,{519=10;942=1;rmb=3280;card={id=9002}},1000,112,240,0,4,<101;999999999>,1,70,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2025,20001,,80级豪华礼包,,,,{519=10;942=1;rmb=3280;card={id=9002}},1000,112,240,0,5,<101;999999999>,1,80,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2026,20001,,90级豪华礼包,,,,{519=10;942=1;rmb=3280;card={id=9002}},1000,112,240,0,6,<101;999999999>,1,90,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2027,20001,,100级豪华礼包,,,,{519=10;942=1;rmb=3280;card={id=9002}},1000,112,240,0,7,<101;999999999>,1,100,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2101,20001,,满月限时礼包,,,,{602=30;6211=1;rmb=980;gold=300000},1000,108,240,0,0,<>,4,2,0,0,0,0,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
2111,20001,,神兽成长礼包,,,,{521=80;rmb=6480;gold=1000000},1000,113,240,0,0,<>,6,1,5,0,0,0,activity/limit_buy_gift/bg_xslb_sstp.png,activity/limit_buy_gift/bg_sstp_1.png
3001,20011,,30级限时礼包,,,,{930=50;519=10;rmb=1200;5000=50},1000,107,360,0,101,<0;1000>,1,30,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3002,20011,,40级限时礼包,,,,{930=50;519=10;rmb=1200;5000=50},1000,107,360,0,102,<0;1000>,1,40,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3003,20011,,50级限时礼包,,,,{930=50;519=10;rmb=1200;5000=50},1000,107,360,0,103,<0;1000>,1,50,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3004,20011,,55级限时礼包,,,,{930=50;519=10;rmb=1200;5000=50},1000,107,360,0,104,<0;1000>,1,55,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3005,20011,,60级限时礼包,,,,{930=50;519=10;rmb=1200;5000=50},1000,107,360,0,105,<0;1000>,1,60,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3006,20011,,65级限时礼包,,,,{930=50;519=10;rmb=1200;5000=50},1000,107,360,0,106,<0;1000>,1,65,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3007,20011,,70级限时礼包,,,,{930=50;519=10;rmb=1200;5000=50},1000,107,360,0,107,<0;1000>,1,70,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3008,20011,,75级限时礼包,,,,{930=50;519=10;rmb=1200;5000=50},1000,107,360,0,108,<0;1000>,1,75,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3009,20011,,80级限时礼包,,,,{930=50;519=10;rmb=1200;5000=50},1000,107,360,0,109,<0;1000>,1,80,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3010,20011,,85级限时礼包,,,,{930=50;519=10;rmb=1200;5000=50},1000,107,360,0,110,<0;1000>,1,85,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3011,20011,,90级限时礼包,,,,{930=50;519=10;rmb=1200;5000=50},1000,107,360,0,111,<0;1000>,1,90,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3012,20011,,95级限时礼包,,,,{930=50;519=10;rmb=1200;5000=50},1000,107,360,0,112,<0;1000>,1,95,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3013,20011,,100级限时礼包,,,,{930=50;519=10;rmb=1200;5000=50},1000,107,360,0,113,<0;1000>,1,100,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3101,20011,,30级限时礼包,,,,{930=100;5000=100;519=20;rmb=2680;502=50},1000,111,360,0,101,<1001;6000>,1,30,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3102,20011,,40级限时礼包,,,,{930=100;5000=100;519=20;rmb=2680;502=50},1000,111,360,0,102,<1001;6000>,1,40,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3103,20011,,50级限时礼包,,,,{930=100;5000=100;519=20;rmb=2680;502=50},1000,111,360,0,103,<1001;6000>,1,50,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3104,20011,,55级限时礼包,,,,{930=100;5000=100;519=20;rmb=2680;502=50},1000,111,360,0,104,<1001;6000>,1,55,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3105,20011,,60级限时礼包,,,,{930=100;5000=100;519=20;rmb=2680;502=50},1000,111,360,0,105,<1001;6000>,1,60,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3106,20011,,65级限时礼包,,,,{930=100;5000=100;519=20;rmb=2680;502=50},1000,111,360,0,106,<1001;6000>,1,65,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3107,20011,,70级限时礼包,,,,{930=100;5000=100;519=20;rmb=2680;502=50},1000,111,360,0,107,<1001;6000>,1,70,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3108,20011,,75级限时礼包,,,,{930=100;5000=100;519=20;rmb=2680;502=50},1000,111,360,0,108,<1001;6000>,1,75,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3109,20011,,80级限时礼包,,,,{930=100;5000=100;519=20;rmb=2680;502=50},1000,111,360,0,109,<1001;6000>,1,80,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3110,20011,,85级限时礼包,,,,{930=100;5000=100;519=20;rmb=2680;502=50},1000,111,360,0,110,<1001;6000>,1,85,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3111,20011,,90级限时礼包,,,,{930=100;5000=100;519=20;rmb=2680;502=50},1000,111,360,0,111,<1001;6000>,1,90,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3112,20011,,95级限时礼包,,,,{930=100;5000=100;519=20;rmb=2680;502=50},1000,111,360,0,112,<1001;6000>,1,95,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3113,20011,,100级限时礼包,,,,{930=100;5000=100;519=20;rmb=2680;502=50},1000,111,360,0,113,<1001;6000>,1,100,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3201,20011,,30级限时礼包,,,,{930=200;5000=200;519=30;rmb=8880;502=150},1000,113,360,0,101,<6001;99999999>,1,30,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3202,20011,,40级限时礼包,,,,{930=200;5000=200;519=30;rmb=8880;502=150},1000,113,360,0,102,<6001;99999999>,1,40,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3203,20011,,50级限时礼包,,,,{930=200;5000=200;519=30;rmb=8880;502=150},1000,113,360,0,103,<6001;99999999>,1,50,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3204,20011,,55级限时礼包,,,,{930=200;5000=200;519=30;rmb=8880;502=150},1000,113,360,0,104,<6001;99999999>,1,55,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3205,20011,,60级限时礼包,,,,{930=200;5000=200;519=30;rmb=8880;502=150},1000,113,360,0,105,<6001;99999999>,1,60,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3206,20011,,65级限时礼包,,,,{930=200;5000=200;519=30;rmb=8880;502=150},1000,113,360,0,106,<6001;99999999>,1,65,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3207,20011,,70级限时礼包,,,,{930=200;5000=200;519=30;rmb=8880;502=150},1000,113,360,0,107,<6001;99999999>,1,70,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3208,20011,,75级限时礼包,,,,{930=200;5000=200;519=30;rmb=8880;502=150},1000,113,360,0,108,<6001;99999999>,1,75,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3209,20011,,80级限时礼包,,,,{930=200;5000=200;519=30;rmb=8880;502=150},1000,113,360,0,109,<6001;99999999>,1,80,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3210,20011,,85级限时礼包,,,,{930=200;5000=200;519=30;rmb=8880;502=150},1000,113,360,0,110,<6001;99999999>,1,85,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3211,20011,,90级限时礼包,,,,{930=200;5000=200;519=30;rmb=8880;502=150},1000,113,360,0,111,<6001;99999999>,1,90,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3212,20011,,95级限时礼包,,,,{930=200;5000=200;519=30;rmb=8880;502=150},1000,113,360,0,112,<6001;99999999>,1,95,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3213,20011,,100级限时礼包,,,,{930=200;5000=200;519=30;rmb=8880;502=150},1000,113,360,0,113,<6001;99999999>,1,100,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3501,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,1971,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3502,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,1261,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3503,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3631,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3504,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,1981,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3505,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,1961,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3506,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,2431,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3507,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,2381,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3508,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,2351,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3509,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,2361,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3510,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,2391,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3511,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,2441,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3512,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3641,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3513,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3211,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3514,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3221,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3515,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3241,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3516,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3261,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3517,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,1991,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3518,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,4171,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3519,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3611,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3520,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,1281,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3521,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3271,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3522,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3601,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3523,20011,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,4161,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10001,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,1971,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10002,20101,,凤王成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,1271,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10003,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3631,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10004,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,1981,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10005,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,1961,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10006,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,2431,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10007,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,2381,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10008,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,2351,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10009,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,2361,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10010,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,2391,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10011,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,2441,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10012,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3641,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10013,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3211,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10014,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3221,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10015,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3241,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10016,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3261,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10017,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,1991,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10018,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,4171,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10019,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3611,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10020,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,1281,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10021,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3271,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10022,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,3601,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
10023,20101,,神兽成长礼包,,,,{604=100;19=100;card={id=9003};rmb=6480;452=300},1000,113,1080,0,0,<>,3,1,4161,0,0,0,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
11000,20200,,30级礼包-60元,,,,{502=888;gold=20000000;521=588;rmb=300000;500=300},1000,107,4320,0,101,<>,1,30,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
