变量名,_beizhu,huodongID,items,costMap,position,limitTimes
9003,,1015,{27081=80},{533=200},3,1
9004,,1015,{27091=80},{533=200},4,1
9005,,1015,{521=10},{533=1},5,999
9006,,1015,{539=5},{533=1},6,999
9007,,1015,{2103=10},{532=1},7,999
9008,,1015,{902=1},{532=1},8,999
9009,,1015,{851=100},{532=1},9,999
9010,,1015,{111=20},{532=1},10,999
9101,,1016,{6199=1},{533=200},1,1
9102,,1016,{9016=10},{533=20},2,10
9103,,1016,{500=20},{533=10},3,10
9104,,1016,{521=10},{533=1},4,100
9105,,1016,{539=5},{533=1},5,100
9106,,1016,{6200=1},{532=20},6,5
9107,,1016,{2103=100},{532=10},7,10
9108,,1016,{453=200},{532=10},8,10
9109,,1016,{452=1000},{532=10},9,10
9110,,1016,{talent_point=100},{532=10},10,10
9201,,1017,{6199=1},{533=200},1,1
9202,,1017,{9016=10},{533=20},2,10
9203,,1017,{500=20},{533=10},3,10
9204,,1017,{521=10},{533=1},4,100
9205,,1017,{539=5},{533=1},5,100
9206,,1017,{6200=1},{532=20},6,5
9207,,1017,{2103=100},{532=10},7,10
9208,,1017,{453=200},{532=10},8,10
9209,,1017,{452=1000},{532=10},9,10
9210,,1017,{talent_point=100},{532=10},10,10
9301,,1018,{6199=1},{533=200},1,1
9302,,1018,{9016=10},{533=20},2,10
9303,,1018,{500=20},{533=10},3,10
9304,,1018,{521=10},{533=1},4,100
9305,,1018,{539=5},{533=1},5,100
9306,,1018,{6200=1},{532=20},6,5
9307,,1018,{2103=100},{532=10},7,10
9308,,1018,{453=200},{532=10},8,10
9309,,1018,{452=1000},{532=10},9,10
9310,,1018,{talent_point=100},{532=10},10,10
9401,,1019,{6199=1},{533=200},1,1
9402,,1019,{9016=10},{533=20},2,10
9403,,1019,{500=20},{533=10},3,10
9404,,1019,{521=10},{533=1},4,100
9405,,1019,{539=5},{533=1},5,100
9406,,1019,{6200=1},{532=20},6,5
9407,,1019,{2103=100},{532=10},7,10
9408,,1019,{453=200},{532=10},8,10
9409,,1019,{452=1000},{532=10},9,10
9410,,1019,{talent_point=100},{532=10},10,10
