变量名,huodongID,_beizhu,titleName,titleName_tw,titleName_en,titleName_kr,name,name_tw,name_en,name_kr,targetType,targetArg,item,limit,rechargeID,rmbCost,discount,icon
28,1002,,专属等级礼包,,,,30+礼包,,,,1,<30;39>,{gold=5000;rmb=300000;12=5},1,104,-1,100,activity/exclusive_limit/box_zsdj.png
29,1002,,专属等级礼包,,,,40+礼包,,,,1,<40;49>,{gold=10004},1,105,-1,100,activity/exclusive_limit/box_zsdj.png
30,1002,,专属等级礼包,,,,50+礼包,,,,1,<50;59>,{13=1;12=5;11=3;rmb=5000;gold=300000},1,106,-1,100,activity/exclusive_limit/box_zsdj.png
31,1002,,专属等级礼包,,,,60+礼包,,,,1,<60;69>,{13=3;12=5;11=1;rmb=5000;gold=300000},1,107,-1,100,activity/exclusive_limit/box_zsdj.png
32,1002,,专属等级礼包,,,,70+礼包,,,,1,<70;79>,{gold=300000;rmb=5000;12=5},1,108,-1,100,activity/exclusive_limit/box_zsdj.png
33,1002,,专属等级礼包,,,,80+礼包,,,,1,<80;89>,{gold=5000;rmb=300000;12=5},1,109,-1,100,activity/exclusive_limit/box_zsdj.png
34,1002,,专属等级礼包,,,,90+礼包,,,,1,<90;99>,{gold=10004},1,110,-1,100,activity/exclusive_limit/box_zsdj.png
35,1002,,专属等级礼包,,,,100+礼包,,,,1,<100;103>,{13=1;12=5;11=3;rmb=5000;gold=300000},1,111,-1,100,activity/exclusive_limit/box_zsdj.png
36,1002,,专属满级礼包,,,,满级礼包,,,,1,<104;104>,{13=3;12=5;11=1;rmb=5000;gold=300000},1,112,-1,100,activity/exclusive_limit/box_zsdj.png
37,1002,,专属贵族礼包,,,,青铜vip之星,,,,2,<1;3>,{519=10;942=1;rmb=3280;card={id=9002}},1,-1,2000,100,activity/exclusive_limit/box_zsvip.png
38,1002,,专属贵族礼包,,,,白银vip之星,,,,2,<4;6>,{519=10;942=1;rmb=3280;card={id=9002}},1,108,-1,100,activity/exclusive_limit/box_zsvip.png
39,1002,,专属贵族礼包,,,,黄金vip之星,,,,2,<7;9>,{519=10;942=1;rmb=3280;card={id=9002}},1,-1,4000,100,activity/exclusive_limit/box_zsvip.png
40,1002,,专属贵族礼包,,,,白金vip之星,,,,2,<10;12>,{519=10;942=1;rmb=3280;card={id=9002}},1,110,-1,100,activity/exclusive_limit/box_zsvip.png
41,1002,,专属贵族礼包,,,,钻石vip之星,,,,2,<13;15>,{519=10;942=1;rmb=3280;card={id=9002}},1,111,-1,100,activity/exclusive_limit/box_zsvip.png
42,1002,,专属贵族礼包,,,,王者vip之星,,,,2,<16;18>,{519=10;942=1;rmb=3280;card={id=9002}},1,112,-1,100,activity/exclusive_limit/box_zsvip.png
43,1002,,专属神兽礼包,,,,1级神兽掌握者,,,,3,<1;4>,{card={id=9003};604=10;rmb=1280;19=10},1,-1,3000,100,activity/exclusive_limit/box_zsss.png
44,1002,,专属神兽礼包,,,,2级神兽掌握者,,,,3,<5;8>,{604=50;19=50;card={id=9003};rmb=3280;452=100},1,107,-1,100,activity/exclusive_limit/box_zsss.png
45,1002,,专属神兽礼包,,,,3级神兽掌握者,,,,3,<9;12>,{604=100;19=100;card={id=9003};rmb=4880;452=200},1,-1,6000,100,activity/exclusive_limit/box_zsss.png
46,1002,,专属神兽礼包,,,,4级神兽掌握者,,,,3,<13;15>,{604=100;19=100;card={id=9003};rmb=6480;452=300},1,109,-1,100,activity/exclusive_limit/box_zsss.png
47,1002,,专属神兽礼包,,,,5级神兽掌握者,,,,3,<16;19>,{604=100;19=100;card={id=9003};rmb=6480;452=300},1,110,-1,100,activity/exclusive_limit/box_zsss.png
48,1002,,专属神兽礼包,,,,6级神兽掌握者,,,,3,<20;30>,{604=100;19=100;card={id=9003};rmb=6480;452=300},1,111,-1,100,activity/exclusive_limit/box_zsss.png
