变量名,huodongID,level,needExp,normalAward,eliteAward,specialAward,texiao
3001030,3001,30,60,{coin4=503},{520=4;coin4=2000},1,<1;2;3>
3001031,3001,31,62,{532=23},{533=13},0,<>
3001032,3001,32,64,{940=8},{942=8;941=5},0,<>
3001033,3001,33,66,{gold=1000004},{rmb=204},0,<>
3001034,3001,34,68,{coin4=34},{520=6},0,<>
3001035,3001,35,70,{14=54},{15=20;16=34},0,<>
3001036,3001,36,72,{19=6},{801=5;19=10},0,<>
3001037,3001,37,74,{gold=1000000},{gold=3000000},0,<>
3001038,3001,38,76,{coin4=504},{520=5;coin4=2000},0,<>
3001039,3001,39,78,{532=24},{533=14},0,<>
3001040,3001,40,80,{940=9},{942=9;941=5},1,<1;2;3>
4001001,4001,1,2,{gold=1000000},{rmb=200},0,<>
4001002,4001,2,4,{coin4=30},{520=2},0,<>
4001003,4001,3,6,{14=50},{15=20;16=30},0,<>
4001004,4001,4,8,{19=2},{801=1;19=10},0,<>
4001005,4001,5,10,{gold=1000000},{gold=3000000},0,<>
4001006,4001,6,12,{coin4=500},{520=1;coin4=2000},0,<>
4001007,4001,7,14,{532=20},{533=10},0,<>
4001008,4001,8,16,{940=5},{942=5;941=5},0,<>
4001009,4001,9,18,{gold=1000001},{rmb=201},0,<>
4001010,4001,10,20,{coin4=31},{520=3},1,<1;2;3>
4001011,4001,11,22,{14=51},{15=20;16=31},0,<>
4001012,4001,12,24,{19=3},{801=2;19=10},0,<>
4001013,4001,13,26,{gold=1000000},{gold=3000000},0,<>
4001014,4001,14,28,{coin4=501},{520=2;coin4=2000},0,<>
4001015,4001,15,30,{532=21},{533=11},0,<>
4001016,4001,16,32,{940=6},{942=6;941=5},0,<>
4001017,4001,17,34,{gold=1000002},{rmb=202},0,<>
4001018,4001,18,36,{coin4=32},{520=4},0,<>
4001019,4001,19,38,{14=52},{15=20;16=32},0,<>
4001020,4001,20,40,{19=4},{801=3;19=10},1,<1;2;3>
4001021,4001,21,42,{gold=1000000},{gold=3000000},0,<>
4001022,4001,22,44,{coin4=502},{520=3;coin4=2000},0,<>
4001023,4001,23,46,{532=22},{533=12},0,<>
4001024,4001,24,48,{940=7},{942=7;941=5},0,<>
4001025,4001,25,50,{gold=1000003},{rmb=203},0,<>
4001026,4001,26,52,{coin4=33},{520=5},0,<>
4001027,4001,27,54,{14=53},{15=20;16=33},0,<>
4001028,4001,28,56,{19=5},{801=4;19=10},0,<>
4001029,4001,29,58,{gold=1000000},{gold=3000000},0,<>
4001030,4001,30,60,{coin4=503},{520=4;coin4=2000},1,<1;2;3>
4001031,4001,31,62,{532=23},{533=13},0,<>
4001032,4001,32,64,{940=8},{942=8;941=5},0,<>
4001033,4001,33,66,{gold=1000004},{rmb=204},0,<>
4001034,4001,34,68,{coin4=34},{520=6},0,<>
4001035,4001,35,70,{14=54},{15=20;16=34},0,<>
4001036,4001,36,72,{19=6},{801=5;19=10},0,<>
4001037,4001,37,74,{gold=1000000},{gold=3000000},0,<>
4001038,4001,38,76,{coin4=504},{520=5;coin4=2000},0,<>
4001039,4001,39,78,{532=24},{533=14},0,<>
4001040,4001,40,80,{940=9},{942=9;941=5},1,<1;2;3>
4010001,4010,1,1,{151=30},{151=70;gold=200000},0,<>
4010002,4010,2,1,{151=30},{151=70;gold=200000},0,<>
4010003,4010,3,1,{151=30},{151=70;gold=200000},0,<>
4010004,4010,4,1,{151=30},{151=70;gold=200000},0,<>
4010005,4010,5,1,{151=50},{151=200;gold=500000},0,<1;2;3>
4010006,4010,6,2,{151=30},{151=70;gold=200000},0,<>
4010007,4010,7,2,{151=30},{151=70;gold=200000},0,<>
4010008,4010,8,2,{151=30},{151=70;gold=200000},0,<>
4010009,4010,9,2,{151=30},{151=70;gold=200000},0,<>
4010010,4010,10,2,{152=30},{rmb=150;152=90},1,<1;2;3>
4010011,4010,11,2,{151=30},{151=70;gold=200000},0,<>
4010012,4010,12,2,{151=30},{151=70;gold=200000},0,<>
4010013,4010,13,2,{151=30},{151=70;gold=200000},0,<>
4010014,4010,14,2,{151=30},{151=70;gold=200000},0,<>
4010015,4010,15,2,{151=50},{151=200;gold=500000},0,<1;2;3>
4010016,4010,16,2,{151=30},{151=70;gold=200000},0,<>
4010017,4010,17,2,{151=30},{151=70;gold=200000},0,<>
4010018,4010,18,2,{151=30},{151=70;gold=200000},0,<>
4010019,4010,19,2,{151=30},{151=70;gold=200000},0,<>
4010020,4010,20,2,{152=30},{rmb=150;152=90},1,<1;2;3>
4010021,4010,21,2,{151=30},{151=70;gold=200000},0,<>
4010022,4010,22,2,{151=30},{151=70;gold=200000},0,<>
4010023,4010,23,2,{151=30},{151=70;gold=200000},0,<>
4010024,4010,24,2,{151=30},{151=70;gold=200000},0,<>
4010025,4010,25,2,{151=50},{151=200;gold=500000},0,<1;2;3>
4010026,4010,26,2,{151=30},{151=70;gold=200000},0,<>
4010027,4010,27,2,{151=30},{151=70;gold=200000},0,<>
4010028,4010,28,2,{151=30},{151=70;gold=200000},0,<>
4010029,4010,29,2,{151=30},{151=70;gold=200000},0,<>
4010030,4010,30,2,{152=30},{rmb=150;152=90},1,<1;2;3>
4010031,4010,31,2,{151=30},{151=70;gold=200000},0,<>
4010032,4010,32,2,{151=30},{151=70;gold=200000},0,<>
4010033,4010,33,2,{151=30},{151=70;gold=200000},0,<>
4010034,4010,34,2,{151=30},{151=70;gold=200000},0,<>
4010035,4010,35,2,{151=50},{151=200;gold=500000},0,<1;2;3>
4010036,4010,36,2,{151=30},{151=70;gold=200000},0,<>
4010037,4010,37,2,{151=30},{151=70;gold=200000},0,<>
4010038,4010,38,2,{151=30},{151=70;gold=200000},0,<>
4010039,4010,39,2,{151=30},{151=70;gold=200000},0,<>
4010040,4010,40,2,{152=30},{rmb=150;152=90},1,<1;2;3>
4010041,4010,41,2,{151=30},{151=70;gold=200000},0,<>
4010042,4010,42,2,{151=30},{151=70;gold=200000},0,<>
4010043,4010,43,2,{151=30},{151=70;gold=200000},0,<>
4010044,4010,44,2,{151=30},{151=70;gold=200000},0,<>
4010045,4010,45,3,{151=50},{151=200;gold=500000},1,<1;2;3>
4010046,4010,46,3,{151=30},{151=70;gold=200000},0,<>
4010047,4010,47,3,{151=30},{151=70;gold=200000},0,<>
4010048,4010,48,3,{151=30},{151=70;gold=200000},0,<>
4010049,4010,49,3,{151=30},{151=70;gold=200000},0,<>
4010050,4010,50,3,{152=30},{rmb=150;152=90},1,<1;2;3>
4011001,4011,1,1,{gold=100000000},{rmb=500000;151=1000},0,<>
4011002,4011,2,2,{151=500},{151=1000;9016=10},0,<>
4011003,4011,3,2,{151=500},{151=1000;9016=10},0,<>
4011004,4011,4,2,{151=500},{151=1000;9016=10},0,<>
4011005,4011,5,2,{151=500},{talent_point=200;152=100},1,<1;2;3>
4011006,4011,6,2,{151=500},{151=1000;9016=10},0,<>
4011007,4011,7,2,{151=500},{151=1000;9016=10},0,<>
4011008,4011,8,2,{151=500},{151=1000;9016=10},0,<>
4011009,4011,9,2,{151=500},{151=1000;9016=10},0,<>
4011010,4011,10,2,{151=500},{453=500;152=100},1,<1;2;3>
4011011,4011,11,2,{151=500},{151=1000;9016=10},0,<>
4011012,4011,12,2,{151=500},{151=1000;9016=10},0,<>
4011013,4011,13,2,{151=500},{151=1000;9016=10},0,<>
4011014,4011,14,2,{151=500},{151=1000;9016=10},0,<>
4011015,4011,15,2,{151=500},{452=500;152=100},1,<1;2;3>
4011016,4011,16,2,{151=500},{151=1000;9016=10},0,<>
4011017,4011,17,2,{151=500},{151=1000;9016=10},0,<>
4011018,4011,18,2,{151=500},{151=1000;9016=10},0,<>
4011019,4011,19,2,{151=500},{151=1000;9016=10},0,<>
4011020,4011,20,2,{151=500},{talent_point=200;152=100},1,<1;2;3>
4011021,4011,21,2,{151=500},{151=1000;9016=10},0,<>
4011022,4011,22,2,{151=500},{151=1000;9016=10},0,<>
4011023,4011,23,2,{151=500},{151=1000;9016=10},0,<>
4011024,4011,24,2,{151=500},{151=1000;9016=10},0,<>
4011025,4011,25,2,{151=500},{453=500;152=100},1,<1;2;3>
4011026,4011,26,2,{151=500},{151=1000;9016=10},0,<>
4011027,4011,27,2,{151=500},{151=1000;9016=10},0,<>
4011028,4011,28,2,{151=500},{151=1000;9016=10},0,<>
4011029,4011,29,2,{151=500},{151=1000;9016=10},0,<>
4011030,4011,30,2,{151=500},{452=500;152=100},1,<1;2;3>
4011031,4011,31,2,{151=500},{151=1000;9016=10},0,<>
4011032,4011,32,2,{151=500},{151=1000;9016=10},0,<>
4011033,4011,33,2,{151=500},{151=1000;9016=10},0,<>
4011034,4011,34,2,{151=500},{151=1000;9016=10},0,<>
4011035,4011,35,2,{151=500},{talent_point=200;152=100},1,<1;2;3>
4011036,4011,36,2,{151=500},{151=1000;9016=10},0,<>
4011037,4011,37,2,{151=500},{151=1000;9016=10},0,<>
4011038,4011,38,2,{151=500},{151=1000;9016=10},0,<>
4011039,4011,39,2,{151=500},{151=1000;9016=10},0,<>
4011040,4011,40,2,{151=500},{453=500;152=100},1,<1;2;3>
4011041,4011,41,2,{151=500},{151=1000;9016=10},0,<>
4011042,4011,42,2,{151=500},{151=1000;9016=10},0,<>
4011043,4011,43,2,{151=500},{151=1000;9016=10},0,<>
4011044,4011,44,2,{151=500},{151=1000;9016=10},0,<>
4011045,4011,45,2,{151=500},{452=500;152=100},1,<1;2;3>
4011046,4011,46,2,{151=500},{151=1000;9016=10},0,<>
4011047,4011,47,2,{151=500},{151=1000;9016=10},0,<>
4011048,4011,48,2,{151=500},{151=1000;9016=10},0,<>
4011049,4011,49,2,{151=500},{151=1000;9016=10},0,<>
4011050,4011,50,2,{151=500},{talent_point=200;152=100},1,<1;2;3>
4011051,4011,51,2,{151=500},{151=1000;9016=10},0,<>
4011052,4011,52,2,{151=500},{151=1000;9016=10},0,<>
4011053,4011,53,2,{151=500},{151=1000;9016=10},0,<>
4011054,4011,54,2,{151=500},{151=1000;9016=10},0,<>
4011055,4011,55,2,{151=500},{453=500;152=100},1,<1;2;3>
4011056,4011,56,2,{151=500},{151=1000;9016=10},0,<>
4011057,4011,57,2,{151=500},{151=1000;9016=10},0,<>
4011058,4011,58,2,{151=500},{151=1000;9016=10},0,<>
4011059,4011,59,2,{151=500},{151=1000;9016=10},0,<>
4011060,4011,60,2,{151=500},{452=500;152=100},1,<1;2;3>
4011061,4011,61,2,{151=500},{151=1000;9016=10},0,<>
4011062,4011,62,2,{151=500},{151=1000;9016=10},0,<>
4011063,4011,63,2,{151=500},{151=1000;9016=10},0,<>
4011064,4011,64,2,{151=500},{151=1000;9016=10},0,<>
4011065,4011,65,2,{151=500},{talent_point=200;152=100},1,<1;2;3>
4011066,4011,66,2,{151=500},{151=1000;9016=10},0,<>
4011067,4011,67,2,{151=500},{151=1000;9016=10},0,<>
4011068,4011,68,2,{151=500},{151=1000;9016=10},0,<>
4011069,4011,69,5,{151=500},{151=1000;9016=10},0,<>
4011070,4011,70,5,{151=500},{9100=20;9016=50},1,<1;2;3>
4012001,4012,1,2,{gold=100000000},{4000=1000;rmb=500000},0,<>
4012002,4012,2,2,{4000=500},{4000=1000;9016=10},0,<>
4012003,4012,3,2,{4000=500},{4000=1000;9016=10},0,<>
4012004,4012,4,2,{4000=500},{4000=1000;9016=10},0,<>
4012005,4012,5,2,{4000=500},{4000=1000;9016=10},0,<>
4012006,4012,6,2,{4000=500},{4000=1000;9016=10},0,<>
4012007,4012,7,2,{4000=500},{4000=1000;9016=10},0,<>
4012008,4012,8,2,{4000=500},{4000=1000;9016=10},0,<>
4012009,4012,9,2,{4000=500},{4000=1000;9016=10},0,<>
4012010,4012,10,2,{4000=500},{4000=1000;453=500},1,<1;2;3>
4012011,4012,11,2,{4000=500},{4000=1000;9016=10},0,<>
4012012,4012,12,2,{4000=500},{4000=1000;9016=10},0,<>
4012013,4012,13,2,{4000=500},{4000=1000;9016=10},0,<>
4012014,4012,14,2,{4000=500},{4000=1000;9016=10},0,<>
4012015,4012,15,2,{4000=500},{4000=1000;9016=10},0,<>
4012016,4012,16,2,{4000=500},{4000=1000;9016=10},0,<>
4012017,4012,17,2,{4000=500},{4000=1000;9016=10},0,<>
4012018,4012,18,2,{4000=500},{4000=1000;9016=10},0,<>
4012019,4012,19,2,{4000=500},{4000=1000;9016=10},0,<>
4012020,4012,20,2,{4000=500},{4000=1000;talent_point=200},1,<1;2;3>
4012021,4012,21,2,{4000=500},{4000=1000;9016=10},0,<>
4012022,4012,22,2,{4000=500},{4000=1000;9016=10},0,<>
4012023,4012,23,2,{4000=500},{4000=1000;9016=10},0,<>
4012024,4012,24,2,{4000=500},{4000=1000;9016=10},0,<>
4012025,4012,25,2,{4000=500},{4000=1000;9016=10},0,<>
4012026,4012,26,2,{4000=500},{4000=1000;9016=10},0,<>
4012027,4012,27,2,{4000=500},{4000=1000;9016=10},0,<>
4012028,4012,28,2,{4000=500},{4000=1000;9016=10},0,<>
4012029,4012,29,2,{4000=500},{4000=1000;9016=10},0,<>
4012030,4012,30,2,{4000=500},{4000=1000;452=500},1,<1;2;3>
4012031,4012,31,2,{4000=500},{4000=1000;9016=10},0,<>
4012032,4012,32,2,{4000=500},{4000=1000;9016=10},0,<>
4012033,4012,33,2,{4000=500},{4000=1000;9016=10},0,<>
4012034,4012,34,2,{4000=500},{4000=1000;9016=10},0,<>
4012035,4012,35,2,{4000=500},{4000=1000;9016=10},0,<>
4012036,4012,36,2,{4000=500},{4000=1000;9016=10},0,<>
4012037,4012,37,2,{4000=500},{4000=1000;9016=10},0,<>
4012038,4012,38,3,{4000=500},{4000=1000;9016=10},0,<>
4012039,4012,39,3,{4000=500},{4000=1000;9016=10},0,<>
4012040,4012,40,3,{4000=500},{4000=1000;453=500},1,<1;2;3>
4012041,4012,41,3,{4000=500},{4000=1000;9016=10},0,<>
4012042,4012,42,3,{4000=500},{4000=1000;9016=10},0,<>
4012043,4012,43,3,{4000=500},{4000=1000;9016=10},0,<>
4012044,4012,44,3,{4000=500},{4000=1000;9016=10},0,<>
4012045,4012,45,3,{4000=500},{4000=1000;9016=10},0,<>
4012046,4012,46,3,{4000=500},{4000=1000;9016=10},0,<>
4012047,4012,47,3,{4000=500},{4000=1000;9016=10},0,<>
4012048,4012,48,3,{4000=500},{4000=1000;9016=10},0,<>
4012049,4012,49,3,{4000=500},{4000=1000;9016=10},0,<>
4012050,4012,50,3,{4000=500},{4000=1000;talent_point=200},1,<1;2;3>
4012051,4012,51,3,{4000=500},{4000=1000;9016=10},0,<>
4012052,4012,52,3,{4000=500},{4000=1000;9016=10},0,<>
4012053,4012,53,3,{4000=500},{4000=1000;9016=10},0,<>
4012054,4012,54,3,{4000=500},{4000=1000;9016=10},0,<>
4012055,4012,55,3,{4000=500},{4000=1000;9016=10},0,<>
4012056,4012,56,3,{4000=500},{4000=1000;9016=10},0,<>
4012057,4012,57,3,{4000=500},{4000=1000;9016=10},0,<>
4012058,4012,58,3,{4000=500},{4000=1000;9016=10},0,<>
4012059,4012,59,3,{4000=500},{4000=1000;9016=10},0,<>
4012060,4012,60,3,{4000=500},{4000=1000;452=500},1,<1;2;3>
4012061,4012,61,3,{4000=500},{4000=1000;9016=10},0,<>
4012062,4012,62,3,{4000=500},{4000=1000;9016=10},0,<>
4012063,4012,63,3,{4000=500},{4000=1000;9016=10},0,<>
4012064,4012,64,3,{4000=500},{4000=1000;9016=10},0,<>
4012065,4012,65,3,{4000=500},{4000=1000;9016=10},0,<>
4012066,4012,66,3,{4000=500},{4000=1000;9016=10},0,<>
4012067,4012,67,3,{4000=500},{4000=1000;9016=10},0,<>
4012068,4012,68,3,{4000=500},{4000=1000;9016=10},0,<>
4012069,4012,69,3,{4000=500},{4000=1000;9016=10},0,<>
4012070,4012,70,3,{4000=500},{9100=20;9016=50},1,<1;2;3>
4013001,4013,1,100,{gold=100000000},{rmb=500000;521=60},0,<>
4013002,4013,2,50,{521=20},{521=60;9016=10},0,<>
4013003,4013,3,50,{521=20},{521=60;9016=10},0,<>
4013004,4013,4,50,{521=20},{521=60;9016=10},0,<>
4013005,4013,5,50,{521=20},{521=60;9016=10},0,<>
4013006,4013,6,50,{521=20},{521=60;9016=10},0,<>
4013007,4013,7,50,{521=20},{521=60;9016=10},0,<>
4013008,4013,8,50,{521=20},{521=60;9016=10},0,<>
4013009,4013,9,50,{521=20},{521=60;9016=10},0,<>
4013010,4013,10,50,{521=20},{521=60;539=30},1,<1;2;3>
4013011,4013,11,50,{521=20},{521=60;9016=10},0,<>
4013012,4013,12,50,{521=20},{521=60;9016=10},0,<>
4013013,4013,13,50,{521=20},{521=60;9016=10},0,<>
4013014,4013,14,50,{521=20},{521=60;9016=10},0,<>
4013015,4013,15,50,{521=20},{521=60;9016=10},0,<>
4013016,4013,16,50,{521=20},{521=60;9016=10},0,<>
4013017,4013,17,50,{521=20},{521=60;9016=10},0,<>
4013018,4013,18,50,{521=20},{521=60;9016=10},0,<>
4013019,4013,19,50,{521=20},{521=60;9016=10},0,<>
4013020,4013,20,50,{521=20},{521=60;539=30},1,<1;2;3>
4013021,4013,21,50,{521=20},{521=60;9016=10},0,<>
4013022,4013,22,50,{521=20},{521=60;9016=10},0,<>
4013023,4013,23,50,{521=20},{521=60;9016=10},0,<>
4013024,4013,24,50,{521=20},{521=60;9016=10},0,<>
4013025,4013,25,50,{521=20},{521=60;9016=10},0,<>
4013026,4013,26,50,{521=20},{521=60;9016=10},0,<>
4013027,4013,27,50,{521=20},{521=60;9016=10},0,<>
4013028,4013,28,50,{521=20},{521=60;9016=10},0,<>
4013029,4013,29,50,{521=20},{521=60;9016=10},0,<>
4013030,4013,30,100,{521=20},{521=60;539=30},1,<1;2;3>
4013031,4013,31,100,{521=20},{521=60;9016=10},0,<>
4013032,4013,32,100,{521=20},{521=60;9016=10},0,<>
4013033,4013,33,100,{521=20},{521=60;9016=10},0,<>
4013034,4013,34,100,{521=20},{521=60;9016=10},0,<>
4013035,4013,35,100,{521=20},{521=60;6199=1},1,<1;2;3>
4014001,4014,1,1,{gold=100000000},{rmb=500000;151=1000},0,<>
4014002,4014,2,2,{151=500},{151=1000;9016=10},0,<>
4014003,4014,3,2,{151=500},{151=1000;9016=10},0,<>
4014004,4014,4,2,{151=500},{151=1000;9016=10},0,<>
4014005,4014,5,2,{151=500},{talent_point=200;152=100},1,<1;2;3>
4014006,4014,6,2,{151=500},{151=1000;9016=10},0,<>
4014007,4014,7,2,{151=500},{151=1000;9016=10},0,<>
4014008,4014,8,2,{151=500},{151=1000;9016=10},0,<>
4014009,4014,9,2,{151=500},{151=1000;9016=10},0,<>
4014010,4014,10,2,{151=500},{453=500;152=100},1,<1;2;3>
4014011,4014,11,2,{151=500},{151=1000;9016=10},0,<>
4014012,4014,12,2,{151=500},{151=1000;9016=10},0,<>
4014013,4014,13,2,{151=500},{151=1000;9016=10},0,<>
4014014,4014,14,2,{151=500},{151=1000;9016=10},0,<>
4014015,4014,15,2,{151=500},{452=500;152=100},1,<1;2;3>
4014016,4014,16,2,{151=500},{151=1000;9016=10},0,<>
4014017,4014,17,2,{151=500},{151=1000;9016=10},0,<>
4014018,4014,18,2,{151=500},{151=1000;9016=10},0,<>
4014019,4014,19,2,{151=500},{151=1000;9016=10},0,<>
4014020,4014,20,2,{151=500},{talent_point=200;152=100},1,<1;2;3>
4014021,4014,21,2,{151=500},{151=1000;9016=10},0,<>
4014022,4014,22,2,{151=500},{151=1000;9016=10},0,<>
4014023,4014,23,2,{151=500},{151=1000;9016=10},0,<>
4014024,4014,24,2,{151=500},{151=1000;9016=10},0,<>
4014025,4014,25,2,{151=500},{453=500;152=100},1,<1;2;3>
4014026,4014,26,2,{151=500},{151=1000;9016=10},0,<>
4014027,4014,27,2,{151=500},{151=1000;9016=10},0,<>
4014028,4014,28,2,{151=500},{151=1000;9016=10},0,<>
4014029,4014,29,2,{151=500},{151=1000;9016=10},0,<>
4014030,4014,30,2,{151=500},{452=500;152=100},1,<1;2;3>
4014031,4014,31,2,{151=500},{151=1000;9016=10},0,<>
4014032,4014,32,2,{151=500},{151=1000;9016=10},0,<>
4014033,4014,33,2,{151=500},{151=1000;9016=10},0,<>
4014034,4014,34,2,{151=500},{151=1000;9016=10},0,<>
4014035,4014,35,2,{151=500},{talent_point=200;152=100},1,<1;2;3>
4014036,4014,36,2,{151=500},{151=1000;9016=10},0,<>
4014037,4014,37,2,{151=500},{151=1000;9016=10},0,<>
4014038,4014,38,2,{151=500},{151=1000;9016=10},0,<>
4014039,4014,39,2,{151=500},{151=1000;9016=10},0,<>
4014040,4014,40,2,{151=500},{453=500;152=100},1,<1;2;3>
4014041,4014,41,2,{151=500},{151=1000;9016=10},0,<>
4014042,4014,42,2,{151=500},{151=1000;9016=10},0,<>
4014043,4014,43,2,{151=500},{151=1000;9016=10},0,<>
4014044,4014,44,2,{151=500},{151=1000;9016=10},0,<>
