变量名,hp,mp1,initMp1,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,hit,dodge,damageHit,damageDodge,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint,controlPer,immuneControl
15,167,1000,0,0,0,0,170,170,19,19,0,0,25,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,179,1000,0,0,0,0,177,177,20,20,0,0,26,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,193,1000,0,0,0,0,184,184,21,21,0,0,27,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,207,1000,0,0,0,0,192,192,22,22,0,0,28,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,220,1000,0,0,0,0,199,199,22,22,0,0,30,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,234,1000,0,0,0,0,207,207,23,23,0,0,31,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,248,1000,0,0,0,0,214,214,24,24,0,0,32,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,264,1000,0,0,0,0,222,222,25,25,0,0,33,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,279,1000,0,0,0,0,230,230,26,26,0,0,34,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,295,1000,0,0,0,0,237,237,27,27,0,0,36,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,310,1000,0,0,0,0,245,245,28,28,0,0,37,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,326,1000,0,0,0,0,253,253,29,29,0,0,38,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,344,1000,0,0,0,0,261,261,30,30,0,0,39,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,362,1000,0,0,0,0,269,269,31,31,0,0,40,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,379,1000,0,0,0,0,278,278,31,31,0,0,42,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,397,1000,0,0,0,0,286,286,32,32,0,0,43,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,415,1000,0,0,0,0,294,294,33,33,0,0,44,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,435,1000,0,0,0,0,302,302,34,34,0,0,45,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,455,1000,0,0,0,0,311,311,35,35,0,0,46,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,475,1000,0,0,0,0,319,319,36,36,0,0,48,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,495,1000,0,0,0,0,328,328,37,37,0,0,49,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,515,1000,0,0,0,0,336,336,38,38,0,0,50,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,538,1000,0,0,0,0,345,345,39,39,0,0,51,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,560,1000,0,0,0,0,354,354,40,40,0,0,53,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,583,1000,0,0,0,0,363,363,41,41,0,0,54,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,605,1000,0,0,0,0,372,372,42,42,0,0,56,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,628,1000,0,0,0,0,381,381,43,43,0,0,57,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,653,1000,0,0,0,0,390,390,44,44,0,0,58,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,678,1000,0,0,0,0,400,400,45,45,0,0,60,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,704,1000,0,0,0,0,409,409,46,46,0,0,61,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,729,1000,0,0,0,0,419,419,47,47,0,0,63,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,754,1000,0,0,0,0,428,428,48,48,0,0,64,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,782,1000,0,0,0,0,438,438,49,49,0,0,66,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,810,1000,0,0,0,0,448,448,50,50,0,0,67,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,838,1000,0,0,0,0,458,458,52,52,0,0,69,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,866,1000,0,0,0,0,468,468,53,53,0,0,70,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,894,1000,0,0,0,0,478,478,54,54,0,0,72,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,925,1000,0,0,0,0,488,488,55,55,0,0,74,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,956,1000,0,0,0,0,499,499,56,56,0,0,75,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,986,1000,0,0,0,0,509,509,58,58,0,0,77,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,1017,1000,0,0,0,0,520,520,59,59,0,0,78,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,1048,1000,0,0,0,0,530,530,60,60,0,0,80,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,1082,1000,0,0,0,0,541,541,61,61,0,0,82,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,1116,1000,0,0,0,0,552,552,62,62,0,0,83,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,1150,1000,0,0,0,0,564,564,64,64,0,0,85,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,1184,1000,0,0,0,0,575,575,65,65,0,0,86,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,1218,1000,0,0,0,0,586,586,66,66,0,0,88,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,1255,1000,0,0,0,0,598,598,67,67,0,0,90,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,1293,1000,0,0,0,0,610,610,69,69,0,0,92,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,1330,1000,0,0,0,0,621,621,70,70,0,0,93,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,1368,1000,0,0,0,0,633,633,72,72,0,0,95,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,1405,1000,0,0,0,0,645,645,73,73,0,0,97,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,1446,1000,0,0,0,0,657,657,74,74,0,0,99,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,1487,1000,0,0,0,0,670,670,76,76,0,0,101,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,1527,1000,0,0,0,0,682,682,77,77,0,0,102,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,1568,1000,0,0,0,0,695,695,79,79,0,0,104,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,1609,1000,0,0,0,0,707,707,80,80,0,0,106,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,1653,1000,0,0,0,0,720,720,81,81,0,0,108,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,1697,1000,0,0,0,0,733,733,83,83,0,0,110,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,1742,1000,0,0,0,0,747,747,84,84,0,0,112,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,1786,1000,0,0,0,0,760,760,86,86,0,0,114,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,1830,1000,0,0,0,0,773,773,87,87,0,0,116,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,1878,1000,0,0,0,0,787,787,89,89,0,0,118,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,1926,1000,0,0,0,0,801,801,90,90,0,0,120,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,1975,1000,0,0,0,0,815,815,92,92,0,0,122,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,2023,1000,0,0,0,0,829,829,93,93,0,0,124,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2071,1000,0,0,0,0,843,843,95,95,0,0,126,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,2123,1000,0,0,0,0,858,858,97,97,0,0,128,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,2175,1000,0,0,0,0,873,873,98,98,0,0,131,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,2227,1000,0,0,0,0,887,887,100,100,0,0,133,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,2279,1000,0,0,0,0,902,902,101,101,0,0,136,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,2331,1000,0,0,0,0,917,917,103,103,0,0,138,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,2387,1000,0,0,0,0,933,933,105,105,0,0,140,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,2443,1000,0,0,0,0,949,949,107,107,0,0,142,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,2500,1000,0,0,0,0,964,964,108,108,0,0,145,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,2556,1000,0,0,0,0,980,980,110,110,0,0,147,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,2612,1000,0,0,0,0,996,996,112,112,0,0,149,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,2672,1000,0,0,0,0,1013,1013,114,114,0,0,152,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,2733,1000,0,0,0,0,1029,1029,116,116,0,0,154,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,2793,1000,0,0,0,0,1046,1046,118,118,0,0,157,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,2854,1000,0,0,0,0,1062,1062,120,120,0,0,159,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,2914,1000,0,0,0,0,1079,1079,122,122,0,0,162,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,2979,1000,0,0,0,0,1097,1097,124,124,0,0,165,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,3044,1000,0,0,0,0,1114,1114,126,126,0,0,167,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,3108,1000,0,0,0,0,1132,1132,127,127,0,0,170,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,3173,1000,0,0,0,0,1149,1149,129,129,0,0,172,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,3238,1000,0,0,0,0,1167,1167,131,131,0,0,175,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,3307,1000,0,0,0,0,1186,1186,133,133,0,0,178,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,3376,1000,0,0,0,0,1204,1204,135,135,0,0,181,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,3446,1000,0,0,0,0,1223,1223,138,138,0,0,183,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,3515,1000,0,0,0,0,1241,1241,140,140,0,0,186,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,3584,1000,0,0,0,0,1260,1260,142,142,0,0,189,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,3658,1000,0,0,0,0,1280,1280,144,144,0,0,192,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,3732,1000,0,0,0,0,1299,1299,146,146,0,0,195,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,3807,1000,0,0,0,0,1319,1319,149,149,0,0,198,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,3881,1000,0,0,0,0,1338,1338,151,151,0,0,201,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,3955,1000,0,0,0,0,1358,1358,153,153,0,0,204,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,4034,1000,0,0,0,0,1379,1379,155,155,0,0,207,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,4113,1000,0,0,0,0,1400,1400,157,157,0,0,210,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,4192,1000,0,0,0,0,1420,1420,160,160,0,0,213,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,4271,1000,0,0,0,0,1441,1441,162,162,0,0,216,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,4350,1000,0,0,0,0,1462,1462,164,164,0,0,219,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,4434,1000,0,0,0,0,1484,1484,167,167,0,0,222,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,4518,1000,0,0,0,0,1506,1506,169,169,0,0,226,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,4602,1000,0,0,0,0,1528,1528,172,172,0,0,229,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,4686,1000,0,0,0,0,1550,1550,174,174,0,0,233,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,4770,1000,0,0,0,0,1572,1572,177,177,0,0,236,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,4859,1000,0,0,0,0,1595,1595,180,180,0,0,239,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,4948,1000,0,0,0,0,1618,1618,182,182,0,0,243,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,5038,1000,0,0,0,0,1641,1641,185,185,0,0,246,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,5127,1000,0,0,0,0,1664,1664,187,187,0,0,250,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,5216,1000,0,0,0,0,1687,1687,190,190,0,0,253,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,5311,1000,0,0,0,0,1711,1711,193,193,0,0,257,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128,5406,1000,0,0,0,0,1736,1736,195,195,0,0,260,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,5500,1000,0,0,0,0,1760,1760,198,198,0,0,264,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130,5595,1000,0,0,0,0,1785,1785,200,200,0,0,267,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,5690,1000,0,0,0,0,1809,1809,203,203,0,0,271,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,5790,1000,0,0,0,0,1835,1835,206,206,0,0,275,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,5890,1000,0,0,0,0,1860,1860,209,209,0,0,279,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,5991,1000,0,0,0,0,1886,1886,212,212,0,0,283,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
135,6091,1000,0,0,0,0,1911,1911,215,215,0,0,287,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136,6191,1000,0,0,0,0,1937,1937,218,218,0,0,291,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
137,6297,1000,0,0,0,0,1964,1964,221,221,0,0,295,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,6403,1000,0,0,0,0,1991,1991,224,224,0,0,299,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,6508,1000,0,0,0,0,2018,2018,227,227,0,0,303,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,6614,1000,0,0,0,0,2045,2045,230,230,0,0,307,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,6720,1000,0,0,0,0,2072,2072,233,233,0,0,311,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,6832,1000,0,0,0,0,2100,2100,236,236,0,0,315,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,6944,1000,0,0,0,0,2129,2129,239,239,0,0,319,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,7055,1000,0,0,0,0,2157,2157,243,243,0,0,324,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,7167,1000,0,0,0,0,2186,2186,246,246,0,0,328,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,7279,1000,0,0,0,0,2214,2214,249,249,0,0,332,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,7397,1000,0,0,0,0,2244,2244,252,252,0,0,336,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,7515,1000,0,0,0,0,2273,2273,256,256,0,0,341,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,7632,1000,0,0,0,0,2303,2303,259,259,0,0,345,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,7750,1000,0,0,0,0,2332,2332,263,263,0,0,350,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,7868,1000,0,0,0,0,2362,2362,266,266,0,0,354,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,7992,1000,0,0,0,0,2393,2393,269,269,0,0,359,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,8116,1000,0,0,0,0,2424,2424,273,273,0,0,364,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154,8240,1000,0,0,0,0,2456,2456,276,276,0,0,368,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,8364,1000,0,0,0,0,2487,2487,280,280,0,0,373,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156,8488,1000,0,0,0,0,2518,2518,283,283,0,0,378,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157,8618,1000,0,0,0,0,2551,2551,287,287,0,0,383,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
158,8748,1000,0,0,0,0,2584,2584,291,291,0,0,388,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159,8879,1000,0,0,0,0,2616,2616,294,294,0,0,392,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160,9009,1000,0,0,0,0,2649,2649,298,298,0,0,397,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
161,9139,1000,0,0,0,0,2682,2682,302,302,0,0,402,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,9276,1000,0,0,0,0,2716,2716,306,306,0,0,407,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,9413,1000,0,0,0,0,2750,2750,310,310,0,0,412,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,9550,1000,0,0,0,0,2785,2785,313,313,0,0,418,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,9687,1000,0,0,0,0,2819,2819,317,317,0,0,423,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,9824,1000,0,0,0,0,2853,2853,321,321,0,0,428,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,9967,1000,0,0,0,0,2889,2889,325,325,0,0,433,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168,10111,1000,0,0,0,0,2925,2925,329,329,0,0,439,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,10254,1000,0,0,0,0,2960,2960,333,333,0,0,444,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,10398,1000,0,0,0,0,2996,2996,337,337,0,0,450,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171,10541,1000,0,0,0,0,3032,3032,341,341,0,0,455,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172,10691,1000,0,0,0,0,3069,3069,345,345,0,0,461,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,10842,1000,0,0,0,0,3107,3107,349,349,0,0,466,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
