变量名,needLevel,needStar,needAdvance,cost,preDialog,afterDialog
2962,16,0,3,{gold=3000},,
2963,36,0,6,{gold=6000},,
2992,16,0,3,{gold=3000},,
2993,36,0,6,{gold=6000},,
3002,16,0,3,{gold=3000},,
3003,36,0,6,{gold=6000},,
3012,36,0,6,{gold=6000},,
3052,36,0,6,{gold=6000},,
3142,16,0,3,{gold=3000},,
3143,36,0,6,{gold=6000},,
3152,36,0,6,{gold=6000},,
3282,16,0,3,{gold=3000},,
3283,36,0,6,{gold=6000},,
3292,16,0,3,{gold=3000},,
3293,36,0,6,{gold=6000},,
3302,16,0,3,{gold=3000},,
3303,36,0,6,{gold=6000},,
3342,36,0,6,{gold=6000},,
3352,16,0,3,{gold=3000},,
3353,36,0,6,{gold=6000},,
3412,16,0,3,{gold=3000},,
3413,36,0,6,{gold=6000},,
3432,36,0,6,{gold=6000},,
3472,36,0,6,{gold=6000},,
3502,36,0,6,{gold=6000},,
3542,16,0,3,{gold=3000},,
3543,36,0,6,{gold=6000},,
3562,36,0,6,{gold=6000},,
3592,36,0,6,{gold=6000},,
3622,16,0,3,{gold=3000},,
3623,36,0,6,{gold=6000},,
3642,36,0,6,{gold=6000},,
3662,16,0,3,{gold=3000},,
3663,36,0,6,{gold=6000},,
3672,16,0,3,{gold=3000},,
3673,36,0,6,{gold=6000},,
3682,16,0,3,{gold=3000},,
3683,36,0,6,{gold=6000},,
3772,36,0,6,{gold=6000},,
3842,16,0,3,{gold=3000},,
3843,36,0,6,{gold=6000},,
4132,36,0,6,{gold=6000},,
4172,36,0,6,{gold=6000},,
4182,36,0,6,{gold=6000},,
4192,36,0,6,{gold=6000},,
4252,16,0,3,{gold=3000},,
4253,36,0,6,{gold=6000},,
4302,16,0,3,{gold=3000},,
4303,36,0,6,{gold=6000},,
4312,16,0,3,{gold=3000},,
4313,36,0,6,{gold=6000},,
4322,16,0,3,{gold=3000},,
4323,36,0,6,{gold=6000},,
4342,16,0,3,{gold=3000},,
4343,36,0,6,{gold=6000},,
4372,16,0,3,{gold=3000},,
4373,36,0,6,{gold=6000},,
4382,36,0,6,{gold=6000},,
4383,36,0,6,{gold=6000},,
4432,16,0,3,{gold=3000},,
4433,36,0,6,{gold=6000},,
4442,16,0,3,{gold=3000},,
4443,36,0,6,{gold=6000},,
4492,16,0,3,{gold=3000},,
4493,36,0,6,{gold=6000},,
9121,70,0,15,{3133=500;21301=40;gold=60000000},,
