变量名,costGold1,costItemMap1,costExp1,costGold2,costItemMap2,costExp2,costGold3,costItemMap3,costExp3,costGold4,costItemMap4,costExp4,costGold5,costItemMap5,costExp5,costGold6,costItemMap6,costExp6,costGold7,costItemMap7,costExp7,costGold8,costItemMap8,costExp8,costGold9,costItemMap9,costExp9,costGold10,costItemMap10,costExp10,costGold11,costItemMap11,costExp11,costGold12,costItemMap12,costExp12,costGold13,costItemMap13,costExp13
9,1600,{},0,1200,{},0,1000,{},0,2400,{},0,1600,{},0,1200,{},0,3000,{},0,2000,{},0,1500,{},0,4500,{},0,3000,{},0,2250,{},0,0,{},65
10,1760,{},0,1320,{},0,1100,{},0,2640,{},0,1760,{},0,1320,{},0,3300,{},0,2200,{},0,1650,{},0,4950,{},0,3300,{},0,2475,{},0,0,{},70
11,1920,{},0,1440,{},0,1200,{},0,2880,{},0,1920,{},0,1440,{},0,3600,{},0,2400,{},0,1800,{},0,5400,{},0,3600,{},0,2700,{},0,0,{},80
12,2080,{},0,1560,{},0,1300,{},0,3120,{},0,2080,{},0,1560,{},0,3900,{},0,2600,{},0,1950,{},0,5850,{},0,3900,{},0,2925,{},0,0,{},85
13,2240,{},0,1680,{},0,1400,{},0,3360,{},0,2240,{},0,1680,{},0,4200,{},0,2800,{},0,2100,{},0,6300,{},0,4200,{},0,3150,{},0,0,{},90
14,2400,{},0,1800,{},0,1500,{},0,3600,{},0,2400,{},0,1800,{},0,4500,{},0,3000,{},0,2250,{},0,6750,{},0,4500,{},0,3375,{},0,0,{},95
15,2560,{},0,1920,{},0,1600,{},0,3840,{},0,2560,{},0,1920,{},0,4800,{},0,3200,{},0,2400,{},0,7200,{},0,4800,{},0,3600,{},0,0,{},105
16,2720,{},0,2040,{},0,1700,{},0,4080,{},0,2720,{},0,2040,{},0,5100,{},0,3400,{},0,2550,{},0,7650,{},0,5100,{},0,3825,{},0,0,{},110
17,2880,{},0,2160,{},0,1800,{},0,4320,{},0,2880,{},0,2160,{},0,5400,{},0,3600,{},0,2700,{},0,8100,{},0,5400,{},0,4050,{},0,0,{},115
18,3040,{},0,2280,{},0,1900,{},0,4560,{},0,3040,{},0,2280,{},0,5700,{},0,3800,{},0,2850,{},0,8550,{},0,5700,{},0,4275,{},0,0,{},120
19,3200,{},0,2400,{},0,2000,{},0,4800,{},0,3200,{},0,2400,{},0,6000,{},0,4000,{},0,3000,{},0,9000,{},0,6000,{},0,4500,{},0,0,{},125
20,3360,{},0,2520,{},0,2100,{},0,5040,{},0,3360,{},0,2520,{},0,6300,{},0,4200,{},0,3150,{},0,9450,{},0,6300,{},0,4725,{},0,0,{},130
21,3520,{},0,2640,{},0,2200,{},0,5280,{},0,3520,{},0,2640,{},0,6600,{},0,4400,{},0,3300,{},0,9900,{},0,6600,{},0,4950,{},0,0,{},135
22,3680,{},0,2760,{},0,2300,{},0,5520,{},0,3680,{},0,2760,{},0,6900,{},0,4600,{},0,3450,{},0,10350,{},0,6900,{},0,5175,{},0,0,{},140
23,3840,{},0,2880,{},0,2400,{},0,5760,{},0,3840,{},0,2880,{},0,7200,{},0,4800,{},0,3600,{},0,10800,{},0,7200,{},0,5400,{},0,0,{},145
24,4000,{},0,3000,{},0,2500,{},0,6000,{},0,4000,{},0,3000,{},0,7500,{},0,5000,{},0,3750,{},0,11250,{},0,7500,{},0,5625,{},0,0,{},150
25,4160,{},0,3120,{},0,2600,{},0,6240,{},0,4160,{},0,3120,{},0,7800,{},0,5200,{},0,3900,{},0,11700,{},0,7800,{},0,5850,{},0,0,{},155
26,4320,{},0,3240,{},0,2700,{},0,6480,{},0,4320,{},0,3240,{},0,8100,{},0,5400,{},0,4050,{},0,12150,{},0,8100,{},0,6075,{},0,0,{},160
27,4480,{},0,3360,{},0,2800,{},0,6720,{},0,4480,{},0,3360,{},0,8400,{},0,5600,{},0,4200,{},0,12600,{},0,8400,{},0,6300,{},0,0,{},170
28,4640,{},0,3480,{},0,2900,{},0,6960,{},0,4640,{},0,3480,{},0,8700,{},0,5800,{},0,4350,{},0,13050,{},0,8700,{},0,6525,{},0,0,{},180
29,4800,{},0,3600,{},0,3000,{},0,7200,{},0,4800,{},0,3600,{},0,9000,{},0,6000,{},0,4500,{},0,13500,{},0,9000,{},0,6750,{},0,0,{},190
30,8000,{},0,6000,{},0,5000,{},0,12000,{},0,8000,{},0,6000,{},0,15000,{},0,10000,{},0,7500,{},0,22500,{},0,15000,{},0,11250,{},0,0,{},200
31,8320,{},0,6240,{},0,5200,{},0,12480,{},0,8320,{},0,6240,{},0,15600,{},0,10400,{},0,7800,{},0,23400,{},0,15600,{},0,11700,{},0,0,{},220
32,8640,{},0,6480,{},0,5400,{},0,12960,{},0,8640,{},0,6480,{},0,16200,{},0,10800,{},0,8100,{},0,24300,{},0,16200,{},0,12150,{},0,0,{},240
33,8960,{},0,6720,{},0,5600,{},0,13440,{},0,8960,{},0,6720,{},0,16800,{},0,11200,{},0,8400,{},0,25200,{},0,16800,{},0,12600,{},0,0,{},260
34,9280,{},0,6960,{},0,5800,{},0,13920,{},0,9280,{},0,6960,{},0,17400,{},0,11600,{},0,8700,{},0,26100,{},0,17400,{},0,13050,{},0,0,{},280
35,9600,{},0,7200,{},0,6000,{},0,14400,{},0,9600,{},0,7200,{},0,18000,{},0,12000,{},0,9000,{},0,27000,{},0,18000,{},0,13500,{},0,0,{},300
36,9920,{},0,7440,{},0,6200,{},0,14880,{},0,9920,{},0,7440,{},0,18600,{},0,12400,{},0,9300,{},0,27900,{},0,18600,{},0,13950,{},0,0,{},320
37,10240,{},0,7680,{},0,6400,{},0,15360,{},0,10240,{},0,7680,{},0,19200,{},0,12800,{},0,9600,{},0,28800,{},0,19200,{},0,14400,{},0,0,{},340
38,11520,{},0,8640,{},0,7200,{},0,17280,{},0,11520,{},0,8640,{},0,21600,{},0,14400,{},0,10800,{},0,32400,{},0,21600,{},0,16200,{},0,0,{},360
39,12960,{},0,9720,{},0,8100,{},0,19440,{},0,12960,{},0,9720,{},0,24300,{},0,16200,{},0,12150,{},0,36450,{},0,24300,{},0,18225,{},0,0,{},380
40,14240,{},0,10680,{},0,8900,{},0,21360,{},0,14240,{},0,10680,{},0,26700,{},0,17800,{},0,13350,{},0,40050,{},0,26700,{},0,20025,{},0,0,{},400
41,15680,{},0,11760,{},0,9800,{},0,23520,{},0,15680,{},0,11760,{},0,29400,{},0,19600,{},0,14700,{},0,44100,{},0,29400,{},0,22050,{},0,0,{},420
42,17600,{},0,13200,{},0,11000,{},0,26400,{},0,17600,{},0,13200,{},0,33000,{},0,22000,{},0,16500,{},0,49500,{},0,33000,{},0,24750,{},0,0,{},440
43,19200,{},0,14400,{},0,12000,{},0,28800,{},0,19200,{},0,14400,{},0,36000,{},0,24000,{},0,18000,{},0,54000,{},0,36000,{},0,27000,{},0,0,{},480
44,20800,{},0,15600,{},0,13000,{},0,31200,{},0,20800,{},0,15600,{},0,39000,{},0,26000,{},0,19500,{},0,58500,{},0,39000,{},0,29250,{},0,0,{},520
45,20800,{},0,15600,{},0,13000,{},0,31200,{},0,20800,{},0,15600,{},0,39000,{},0,26000,{},0,19500,{},0,58500,{},0,39000,{},0,29250,{},0,0,{},560
46,22400,{},0,16800,{},0,14000,{},0,33600,{},0,22400,{},0,16800,{},0,42000,{},0,28000,{},0,21000,{},0,63000,{},0,42000,{},0,31500,{},0,0,{},600
47,24000,{},0,18000,{},0,15000,{},0,36000,{},0,24000,{},0,18000,{},0,45000,{},0,30000,{},0,22500,{},0,67500,{},0,45000,{},0,33750,{},0,0,{},640
48,25600,{},0,19200,{},0,16000,{},0,38400,{},0,25600,{},0,19200,{},0,48000,{},0,32000,{},0,24000,{},0,72000,{},0,48000,{},0,36000,{},0,0,{},680
49,28800,{},0,21600,{},0,18000,{},0,43200,{},0,28800,{},0,21600,{},0,54000,{},0,36000,{},0,27000,{},0,81000,{},0,54000,{},0,40500,{},0,0,{},720
50,30400,{},0,22800,{},0,19000,{},0,45600,{},0,30400,{},0,22800,{},0,57000,{},0,38000,{},0,28500,{},0,85500,{},0,57000,{},0,42750,{},0,0,{},760
51,32000,{},0,24000,{},0,20000,{},0,48000,{},0,32000,{},0,24000,{},0,60000,{},0,40000,{},0,30000,{},0,90000,{},0,60000,{},0,45000,{},0,0,{},800
52,33600,{},0,25200,{},0,21000,{},0,50400,{},0,33600,{},0,25200,{},0,63000,{},0,42000,{},0,31500,{},0,94500,{},0,63000,{},0,47250,{},0,0,{},840
53,36800,{},0,27600,{},0,23000,{},0,55200,{},0,36800,{},0,27600,{},0,69000,{},0,46000,{},0,34500,{},0,103500,{},0,69000,{},0,51750,{},0,0,{},880
54,40000,{},0,30000,{},0,25000,{},0,60000,{},0,40000,{},0,30000,{},0,75000,{},0,50000,{},0,37500,{},0,112500,{},0,75000,{},0,56250,{},0,0,{},920
55,43200,{},0,32400,{},0,27000,{},0,64800,{},0,43200,{},0,32400,{},0,81000,{},0,54000,{},0,40500,{},0,121500,{},0,81000,{},0,60750,{},0,0,{},960
56,46400,{},0,34800,{},0,29000,{},0,69600,{},0,46400,{},0,34800,{},0,87000,{},0,58000,{},0,43500,{},0,130500,{},0,87000,{},0,65250,{},0,0,{},1020
57,49600,{},0,37200,{},0,31000,{},0,74400,{},0,49600,{},0,37200,{},0,93000,{},0,62000,{},0,46500,{},0,139500,{},0,93000,{},0,69750,{},0,0,{},1080
58,52800,{},0,39600,{},0,33000,{},0,79200,{},0,52800,{},0,39600,{},0,99000,{},0,66000,{},0,49500,{},0,148500,{},0,99000,{},0,74250,{},0,0,{},1160
59,57600,{},0,43200,{},0,36000,{},0,86400,{},0,57600,{},0,43200,{},0,108000,{},0,72000,{},0,54000,{},0,162000,{},0,108000,{},0,81000,{},0,0,{},1240
60,62400,{},0,46800,{},0,39000,{},0,93600,{},0,62400,{},0,46800,{},0,117000,{},0,78000,{},0,58500,{},0,175500,{},0,117000,{},0,87750,{},0,0,{},1320
61,67200,{},0,50400,{},0,42000,{},0,100800,{},0,67200,{},0,50400,{},0,126000,{},0,84000,{},0,63000,{},0,189000,{},0,126000,{},0,94500,{},0,0,{},1380
62,72000,{},0,54000,{},0,45000,{},0,108000,{},0,72000,{},0,54000,{},0,135000,{},0,90000,{},0,67500,{},0,202500,{},0,135000,{},0,101250,{},0,0,{},1480
63,76800,{},0,57600,{},0,48000,{},0,115200,{},0,76800,{},0,57600,{},0,144000,{},0,96000,{},0,72000,{},0,216000,{},0,144000,{},0,108000,{},0,0,{},1560
64,81600,{},0,61200,{},0,51000,{},0,122400,{},0,81600,{},0,61200,{},0,153000,{},0,102000,{},0,76500,{},0,229500,{},0,153000,{},0,114750,{},0,0,{},1640
65,88000,{},0,66000,{},0,55000,{},0,132000,{},0,88000,{},0,66000,{},0,165000,{},0,110000,{},0,82500,{},0,247500,{},0,165000,{},0,123750,{},0,0,{},1720
66,92800,{},0,69600,{},0,58000,{},0,139200,{},0,92800,{},0,69600,{},0,174000,{},0,116000,{},0,87000,{},0,261000,{},0,174000,{},0,130500,{},0,0,{},1800
67,97600,{},0,73200,{},0,61000,{},0,146400,{},0,97600,{},0,73200,{},0,183000,{},0,122000,{},0,91500,{},0,274500,{},0,183000,{},0,137250,{},0,0,{},1920
68,107200,{},0,80400,{},0,67000,{},0,160800,{},0,107200,{},0,80400,{},0,201000,{},0,134000,{},0,100500,{},0,301500,{},0,201000,{},0,150750,{},0,0,{},2040
69,116800,{},0,87600,{},0,73000,{},0,175200,{},0,116800,{},0,87600,{},0,219000,{},0,146000,{},0,109500,{},0,328500,{},0,219000,{},0,164250,{},0,0,{},2160
70,128000,{},0,96000,{},0,80000,{},0,192000,{},0,128000,{},0,96000,{},0,240000,{},0,160000,{},0,120000,{},0,360000,{},0,240000,{},0,180000,{},0,0,{},2280
71,139200,{},0,104400,{},0,87000,{},0,208800,{},0,139200,{},0,104400,{},0,261000,{},0,174000,{},0,130500,{},0,391500,{},0,261000,{},0,195750,{},0,0,{},2400
72,152000,{},0,114000,{},0,95000,{},0,228000,{},0,152000,{},0,114000,{},0,285000,{},0,190000,{},0,142500,{},0,427500,{},0,285000,{},0,213750,{},0,0,{},2520
73,160000,{},0,120000,{},0,100000,{},0,240000,{},0,160000,{},0,120000,{},0,300000,{},0,200000,{},0,150000,{},0,450000,{},0,300000,{},0,225000,{},0,0,{},2640
74,256000,{},0,192000,{},0,160000,{},0,384000,{},0,256000,{},0,192000,{},0,480000,{},0,320000,{},0,240000,{},0,720000,{},0,480000,{},0,360000,{},0,0,{},2760
75,272000,{},0,204000,{},0,170000,{},0,408000,{},0,272000,{},0,204000,{},0,510000,{},0,340000,{},0,255000,{},0,765000,{},0,510000,{},0,382500,{},0,0,{},2880
76,288000,{},0,216000,{},0,180000,{},0,432000,{},0,288000,{},0,216000,{},0,540000,{},0,360000,{},0,270000,{},0,810000,{},0,540000,{},0,405000,{},0,0,{},3000
77,304000,{},0,228000,{},0,190000,{},0,456000,{},0,304000,{},0,228000,{},0,570000,{},0,380000,{},0,285000,{},0,855000,{},0,570000,{},0,427500,{},0,0,{},3200
78,336000,{},0,252000,{},0,210000,{},0,504000,{},0,336000,{},0,252000,{},0,630000,{},0,420000,{},0,315000,{},0,945000,{},0,630000,{},0,472500,{},0,0,{},3400
79,352000,{},0,264000,{},0,220000,{},0,528000,{},0,352000,{},0,264000,{},0,660000,{},0,440000,{},0,330000,{},0,990000,{},0,660000,{},0,495000,{},0,0,{},3600
80,368000,{},0,276000,{},0,230000,{},0,552000,{},0,368000,{},0,276000,{},0,690000,{},0,460000,{},0,345000,{},0,1035000,{},0,690000,{},0,517500,{},0,0,{},3800
81,384000,{},0,288000,{},0,240000,{},0,576000,{},0,384000,{},0,288000,{},0,720000,{},0,480000,{},0,360000,{},0,1080000,{},0,720000,{},0,540000,{},0,0,{},4000
82,400000,{},0,300000,{},0,250000,{},0,600000,{},0,400000,{},0,300000,{},0,750000,{},0,500000,{},0,375000,{},0,1125000,{},0,750000,{},0,562500,{},0,0,{},4200
83,416000,{},0,312000,{},0,260000,{},0,624000,{},0,416000,{},0,312000,{},0,780000,{},0,520000,{},0,390000,{},0,1170000,{},0,780000,{},0,585000,{},0,0,{},4400
84,432000,{},0,324000,{},0,270000,{},0,648000,{},0,432000,{},0,324000,{},0,810000,{},0,540000,{},0,405000,{},0,1215000,{},0,810000,{},0,607500,{},0,0,{},4600
85,448000,{},0,336000,{},0,280000,{},0,672000,{},0,448000,{},0,336000,{},0,840000,{},0,560000,{},0,420000,{},0,1260000,{},0,840000,{},0,630000,{},0,0,{},4800
86,464000,{},0,348000,{},0,290000,{},0,696000,{},0,464000,{},0,348000,{},0,870000,{},0,580000,{},0,435000,{},0,1305000,{},0,870000,{},0,652500,{},0,0,{},5000
87,480000,{},0,360000,{},0,300000,{},0,720000,{},0,480000,{},0,360000,{},0,900000,{},0,600000,{},0,450000,{},0,1350000,{},0,900000,{},0,675000,{},0,0,{},5200
88,496000,{},0,372000,{},0,310000,{},0,744000,{},0,496000,{},0,372000,{},0,930000,{},0,620000,{},0,465000,{},0,1395000,{},0,930000,{},0,697500,{},0,0,{},5400
89,512000,{},0,384000,{},0,320000,{},0,768000,{},0,512000,{},0,384000,{},0,960000,{},0,640000,{},0,480000,{},0,1440000,{},0,960000,{},0,720000,{},0,0,{},5600
90,528000,{},0,396000,{},0,330000,{},0,792000,{},0,528000,{},0,396000,{},0,990000,{},0,660000,{},0,495000,{},0,1485000,{},0,990000,{},0,742500,{},0,0,{},5800
91,544000,{},0,408000,{},0,340000,{},0,816000,{},0,544000,{},0,408000,{},0,1020000,{},0,680000,{},0,510000,{},0,1530000,{},0,1020000,{},0,765000,{},0,0,{},6000
92,560000,{},0,420000,{},0,350000,{},0,840000,{},0,560000,{},0,420000,{},0,1050000,{},0,700000,{},0,525000,{},0,1575000,{},0,1050000,{},0,787500,{},0,0,{},6200
93,576000,{},0,432000,{},0,360000,{},0,864000,{},0,576000,{},0,432000,{},0,1080000,{},0,720000,{},0,540000,{},0,1620000,{},0,1080000,{},0,810000,{},0,0,{},6400
94,592000,{},0,444000,{},0,370000,{},0,888000,{},0,592000,{},0,444000,{},0,1110000,{},0,740000,{},0,555000,{},0,1665000,{},0,1110000,{},0,832500,{},0,0,{},6600
95,608000,{},0,456000,{},0,380000,{},0,912000,{},0,608000,{},0,456000,{},0,1140000,{},0,760000,{},0,570000,{},0,1710000,{},0,1140000,{},0,855000,{},0,0,{},6800
96,624000,{},0,468000,{},0,390000,{},0,936000,{},0,624000,{},0,468000,{},0,1170000,{},0,780000,{},0,585000,{},0,1755000,{},0,1170000,{},0,877500,{},0,0,{},7000
97,640000,{},0,480000,{},0,400000,{},0,960000,{},0,640000,{},0,480000,{},0,1200000,{},0,800000,{},0,600000,{},0,1800000,{},0,1200000,{},0,900000,{},0,0,{},7200
98,656000,{},0,492000,{},0,410000,{},0,984000,{},0,656000,{},0,492000,{},0,1230000,{},0,820000,{},0,615000,{},0,1845000,{},0,1230000,{},0,922500,{},0,0,{},7400
99,672000,{},0,504000,{},0,420000,{},0,1008000,{},0,672000,{},0,504000,{},0,1260000,{},0,840000,{},0,630000,{},0,1890000,{},0,1260000,{},0,945000,{},0,0,{},7600
100,688000,{},0,516000,{},0,430000,{},0,1032000,{},0,688000,{},0,516000,{},0,1290000,{},0,860000,{},0,645000,{},0,1935000,{},0,1290000,{},0,967500,{},0,0,{},7800
101,704000,{},0,528000,{},0,440000,{},0,1056000,{},0,704000,{},0,528000,{},0,1320000,{},0,880000,{},0,660000,{},0,1980000,{},0,1320000,{},0,990000,{},0,0,{},8000
102,720000,{},0,540000,{},0,450000,{},0,1080000,{},0,720000,{},0,540000,{},0,1350000,{},0,900000,{},0,675000,{},0,2025000,{},0,1350000,{},0,1012500,{},0,0,{},8200
103,736000,{},0,552000,{},0,460000,{},0,1104000,{},0,736000,{},0,552000,{},0,1380000,{},0,920000,{},0,690000,{},0,2070000,{},0,1380000,{},0,1035000,{},0,0,{},8400
104,752000,{},0,564000,{},0,470000,{},0,1128000,{},0,752000,{},0,564000,{},0,1410000,{},0,940000,{},0,705000,{},0,2115000,{},0,1410000,{},0,1057500,{},0,0,{},8600
105,768000,{},0,576000,{},0,480000,{},0,1152000,{},0,768000,{},0,576000,{},0,1440000,{},0,960000,{},0,720000,{},0,2160000,{},0,1440000,{},0,1080000,{},0,0,{},8800
106,784000,{},0,588000,{},0,490000,{},0,1176000,{},0,784000,{},0,588000,{},0,1470000,{},0,980000,{},0,735000,{},0,2205000,{},0,1470000,{},0,1102500,{},0,0,{},9000
107,800000,{},0,600000,{},0,500000,{},0,1200000,{},0,800000,{},0,600000,{},0,1500000,{},0,1000000,{},0,750000,{},0,2250000,{},0,1500000,{},0,1125000,{},0,0,{},9200
108,816000,{},0,612000,{},0,510000,{},0,1224000,{},0,816000,{},0,612000,{},0,1530000,{},0,1020000,{},0,765000,{},0,2295000,{},0,1530000,{},0,1147500,{},0,0,{},9400
109,832000,{},0,624000,{},0,520000,{},0,1248000,{},0,832000,{},0,624000,{},0,1560000,{},0,1040000,{},0,780000,{},0,2340000,{},0,1560000,{},0,1170000,{},0,0,{},9600
110,848000,{},0,636000,{},0,530000,{},0,1272000,{},0,848000,{},0,636000,{},0,1590000,{},0,1060000,{},0,795000,{},0,2385000,{},0,1590000,{},0,1192500,{},0,0,{},9800
111,864000,{},0,648000,{},0,540000,{},0,1296000,{},0,864000,{},0,648000,{},0,1620000,{},0,1080000,{},0,810000,{},0,2430000,{},0,1620000,{},0,1215000,{},0,0,{},10000
112,880000,{},0,660000,{},0,550000,{},0,1320000,{},0,880000,{},0,660000,{},0,1650000,{},0,1100000,{},0,825000,{},0,2475000,{},0,1650000,{},0,1237500,{},0,0,{},10200
113,896000,{},0,672000,{},0,560000,{},0,1344000,{},0,896000,{},0,672000,{},0,1680000,{},0,1120000,{},0,840000,{},0,2520000,{},0,1680000,{},0,1260000,{},0,0,{},10400
114,912000,{},0,684000,{},0,570000,{},0,1368000,{},0,912000,{},0,684000,{},0,1710000,{},0,1140000,{},0,855000,{},0,2565000,{},0,1710000,{},0,1282500,{},0,0,{},10600
115,928000,{},0,696000,{},0,580000,{},0,1392000,{},0,928000,{},0,696000,{},0,1740000,{},0,1160000,{},0,870000,{},0,2610000,{},0,1740000,{},0,1305000,{},0,0,{},10800
116,944000,{},0,708000,{},0,590000,{},0,1416000,{},0,944000,{},0,708000,{},0,1770000,{},0,1180000,{},0,885000,{},0,2655000,{},0,1770000,{},0,1327500,{},0,0,{},11000
117,960000,{},0,720000,{},0,600000,{},0,1440000,{},0,960000,{},0,720000,{},0,1800000,{},0,1200000,{},0,900000,{},0,2700000,{},0,1800000,{},0,1350000,{},0,0,{},11200
118,976000,{},0,732000,{},0,610000,{},0,1464000,{},0,976000,{},0,732000,{},0,1830000,{},0,1220000,{},0,915000,{},0,2745000,{},0,1830000,{},0,1372500,{},0,0,{},11400
119,992000,{},0,744000,{},0,620000,{},0,1488000,{},0,992000,{},0,744000,{},0,1860000,{},0,1240000,{},0,930000,{},0,2790000,{},0,1860000,{},0,1395000,{},0,0,{},11600
120,1008000,{},0,756000,{},0,630000,{},0,1512000,{},0,1008000,{},0,756000,{},0,1890000,{},0,1260000,{},0,945000,{},0,2835000,{},0,1890000,{},0,1417500,{},0,0,{},11800
121,1024000,{},0,768000,{},0,640000,{},0,1536000,{},0,1024000,{},0,768000,{},0,1920000,{},0,1280000,{},0,960000,{},0,2880000,{},0,1920000,{},0,1440000,{},0,0,{},12000
122,1040000,{},0,780000,{},0,650000,{},0,1560000,{},0,1040000,{},0,780000,{},0,1950000,{},0,1300000,{},0,975000,{},0,2925000,{},0,1950000,{},0,1462500,{},0,0,{},12200
123,1056000,{},0,792000,{},0,660000,{},0,1584000,{},0,1056000,{},0,792000,{},0,1980000,{},0,1320000,{},0,990000,{},0,2970000,{},0,1980000,{},0,1485000,{},0,0,{},12400
124,1072000,{},0,804000,{},0,670000,{},0,1608000,{},0,1072000,{},0,804000,{},0,2010000,{},0,1340000,{},0,1005000,{},0,3015000,{},0,2010000,{},0,1507500,{},0,0,{},12600
125,1088000,{},0,816000,{},0,680000,{},0,1632000,{},0,1088000,{},0,816000,{},0,2040000,{},0,1360000,{},0,1020000,{},0,3060000,{},0,2040000,{},0,1530000,{},0,0,{},12800
126,1104000,{},0,828000,{},0,690000,{},0,1656000,{},0,1104000,{},0,828000,{},0,2070000,{},0,1380000,{},0,1035000,{},0,3105000,{},0,2070000,{},0,1552500,{},0,0,{},13000
127,1120000,{},0,840000,{},0,700000,{},0,1680000,{},0,1120000,{},0,840000,{},0,2100000,{},0,1400000,{},0,1050000,{},0,3150000,{},0,2100000,{},0,1575000,{},0,0,{},13200
128,1136000,{},0,852000,{},0,710000,{},0,1704000,{},0,1136000,{},0,852000,{},0,2130000,{},0,1420000,{},0,1065000,{},0,3195000,{},0,2130000,{},0,1597500,{},0,0,{},13400
129,1152000,{},0,864000,{},0,720000,{},0,1728000,{},0,1152000,{},0,864000,{},0,2160000,{},0,1440000,{},0,1080000,{},0,3240000,{},0,2160000,{},0,1620000,{},0,0,{},13600
130,1168000,{},0,876000,{},0,730000,{},0,1752000,{},0,1168000,{},0,876000,{},0,2190000,{},0,1460000,{},0,1095000,{},0,3285000,{},0,2190000,{},0,1642500,{},0,0,{},13800
131,1184000,{},0,888000,{},0,740000,{},0,1776000,{},0,1184000,{},0,888000,{},0,2220000,{},0,1480000,{},0,1110000,{},0,3330000,{},0,2220000,{},0,1665000,{},0,0,{},14000
132,1200000,{},0,900000,{},0,750000,{},0,1800000,{},0,1200000,{},0,900000,{},0,2250000,{},0,1500000,{},0,1125000,{},0,3375000,{},0,2250000,{},0,1687500,{},0,0,{},14200
133,1216000,{},0,912000,{},0,760000,{},0,1824000,{},0,1216000,{},0,912000,{},0,2280000,{},0,1520000,{},0,1140000,{},0,3420000,{},0,2280000,{},0,1710000,{},0,0,{},14400
134,1232000,{},0,924000,{},0,770000,{},0,1848000,{},0,1232000,{},0,924000,{},0,2310000,{},0,1540000,{},0,1155000,{},0,3465000,{},0,2310000,{},0,1732500,{},0,0,{},14600
135,1248000,{},0,936000,{},0,780000,{},0,1872000,{},0,1248000,{},0,936000,{},0,2340000,{},0,1560000,{},0,1170000,{},0,3510000,{},0,2340000,{},0,1755000,{},0,0,{},14800
136,1264000,{},0,948000,{},0,790000,{},0,1896000,{},0,1264000,{},0,948000,{},0,2370000,{},0,1580000,{},0,1185000,{},0,3555000,{},0,2370000,{},0,1777500,{},0,0,{},15000
137,1280000,{},0,960000,{},0,800000,{},0,1920000,{},0,1280000,{},0,960000,{},0,2400000,{},0,1600000,{},0,1200000,{},0,3600000,{},0,2400000,{},0,1800000,{},0,0,{},15200
138,1296000,{},0,972000,{},0,810000,{},0,1944000,{},0,1296000,{},0,972000,{},0,2430000,{},0,1620000,{},0,1215000,{},0,3645000,{},0,2430000,{},0,1822500,{},0,0,{},15400
