变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20
默认值,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
等级,道具消耗序列1,道具消耗序列2,道具消耗序列3,道具消耗序列4,道具消耗序列5,道具消耗序列6,道具消耗序列7,道具消耗序列8,道具消耗序列9,道具消耗序列10,道具消耗序列11,道具消耗序列12,道具消耗序列13,道具消耗序列14,道具消耗序列15,道具消耗序列16,道具消耗序列17,道具消耗序列18,道具消耗序列19,道具消耗序列20
16,{111=92;gold=200000;coin10=200},{111=138;gold=300000;coin10=300},{111=138;gold=300000;coin10=300},{111=184;gold=400000;coin10=400},{111=184;gold=400000;coin10=400},{coin2=200;111=92;gold=200000},{coin2=300;111=138;gold=300000},{coin2=300;111=138;gold=300000},{coin2=400;111=184;gold=400000},{coin2=400;111=184;gold=400000},{gold=200000;111=92;coin1=200},{gold=300000;111=138;coin1=300},{gold=300000;111=138;coin1=300},{gold=400000;111=184;coin1=400},{gold=400000;111=184;coin1=400},{coin6=200;111=92;gold=200000},{coin6=300;111=138;gold=300000},{coin6=300;111=138;gold=300000},{coin6=400;111=184;gold=400000},{coin6=400;111=184;gold=400000}
17,{111=92;gold=200000;coin10=200},{111=138;gold=300000;coin10=300},{111=138;gold=300000;coin10=300},{111=184;gold=400000;coin10=400},{111=184;gold=400000;coin10=400},{coin2=200;111=92;gold=200000},{coin2=300;111=138;gold=300000},{coin2=300;111=138;gold=300000},{coin2=400;111=184;gold=400000},{coin2=400;111=184;gold=400000},{gold=200000;111=92;coin1=200},{gold=300000;111=138;coin1=300},{gold=300000;111=138;coin1=300},{gold=400000;111=184;coin1=400},{gold=400000;111=184;coin1=400},{coin6=200;111=92;gold=200000},{coin6=300;111=138;gold=300000},{coin6=300;111=138;gold=300000},{coin6=400;111=184;gold=400000},{coin6=400;111=184;gold=400000}
18,{111=92;gold=200000;coin10=200},{111=138;gold=300000;coin10=300},{111=138;gold=300000;coin10=300},{111=184;gold=400000;coin10=400},{111=184;gold=400000;coin10=400},{coin2=200;111=92;gold=200000},{coin2=300;111=138;gold=300000},{coin2=300;111=138;gold=300000},{coin2=400;111=184;gold=400000},{coin2=400;111=184;gold=400000},{gold=200000;111=92;coin1=200},{gold=300000;111=138;coin1=300},{gold=300000;111=138;coin1=300},{gold=400000;111=184;coin1=400},{gold=400000;111=184;coin1=400},{coin6=200;111=92;gold=200000},{coin6=300;111=138;gold=300000},{coin6=300;111=138;gold=300000},{coin6=400;111=184;gold=400000},{coin6=400;111=184;gold=400000}
19,{111=92;gold=200000;coin10=200},{111=138;gold=300000;coin10=300},{111=138;gold=300000;coin10=300},{111=184;gold=400000;coin10=400},{111=184;gold=400000;coin10=400},{coin2=200;111=92;gold=200000},{coin2=300;111=138;gold=300000},{coin2=300;111=138;gold=300000},{coin2=400;111=184;gold=400000},{coin2=400;111=184;gold=400000},{gold=200000;111=92;coin1=200},{gold=300000;111=138;coin1=300},{gold=300000;111=138;coin1=300},{gold=400000;111=184;coin1=400},{gold=400000;111=184;coin1=400},{coin6=200;111=92;gold=200000},{coin6=300;111=138;gold=300000},{coin6=300;111=138;gold=300000},{coin6=400;111=184;gold=400000},{coin6=400;111=184;gold=400000}
20,{111=96;gold=240000;coin10=240},{111=144;gold=360000;coin10=360},{111=144;gold=360000;coin10=360},{111=192;gold=480000;coin10=480},{111=192;gold=480000;coin10=480},{coin2=240;111=96;gold=240000},{coin2=360;111=144;gold=360000},{coin2=360;111=144;gold=360000},{coin2=480;111=192;gold=480000},{coin2=480;111=192;gold=480000},{gold=240000;111=96;coin1=240},{gold=360000;111=144;coin1=360},{gold=360000;111=144;coin1=360},{gold=480000;111=192;coin1=480},{gold=480000;111=192;coin1=480},{coin6=240;111=96;gold=240000},{coin6=360;111=144;gold=360000},{coin6=360;111=144;gold=360000},{coin6=480;111=192;gold=480000},{coin6=480;111=192;gold=480000}
21,{111=96;gold=240000;coin10=240},{111=144;gold=360000;coin10=360},{111=144;gold=360000;coin10=360},{111=192;gold=480000;coin10=480},{111=192;gold=480000;coin10=480},{coin2=240;111=96;gold=240000},{coin2=360;111=144;gold=360000},{coin2=360;111=144;gold=360000},{coin2=480;111=192;gold=480000},{coin2=480;111=192;gold=480000},{gold=240000;111=96;coin1=240},{gold=360000;111=144;coin1=360},{gold=360000;111=144;coin1=360},{gold=480000;111=192;coin1=480},{gold=480000;111=192;coin1=480},{coin6=240;111=96;gold=240000},{coin6=360;111=144;gold=360000},{coin6=360;111=144;gold=360000},{coin6=480;111=192;gold=480000},{coin6=480;111=192;gold=480000}
22,{111=96;gold=240000;coin10=240},{111=144;gold=360000;coin10=360},{111=144;gold=360000;coin10=360},{111=192;gold=480000;coin10=480},{111=192;gold=480000;coin10=480},{coin2=240;111=96;gold=240000},{coin2=360;111=144;gold=360000},{coin2=360;111=144;gold=360000},{coin2=480;111=192;gold=480000},{coin2=480;111=192;gold=480000},{gold=240000;111=96;coin1=240},{gold=360000;111=144;coin1=360},{gold=360000;111=144;coin1=360},{gold=480000;111=192;coin1=480},{gold=480000;111=192;coin1=480},{coin6=240;111=96;gold=240000},{coin6=360;111=144;gold=360000},{coin6=360;111=144;gold=360000},{coin6=480;111=192;gold=480000},{coin6=480;111=192;gold=480000}
23,{111=96;gold=240000;coin10=240},{111=144;gold=360000;coin10=360},{111=144;gold=360000;coin10=360},{111=192;gold=480000;coin10=480},{111=192;gold=480000;coin10=480},{coin2=240;111=96;gold=240000},{coin2=360;111=144;gold=360000},{coin2=360;111=144;gold=360000},{coin2=480;111=192;gold=480000},{coin2=480;111=192;gold=480000},{gold=240000;111=96;coin1=240},{gold=360000;111=144;coin1=360},{gold=360000;111=144;coin1=360},{gold=480000;111=192;coin1=480},{gold=480000;111=192;coin1=480},{coin6=240;111=96;gold=240000},{coin6=360;111=144;gold=360000},{coin6=360;111=144;gold=360000},{coin6=480;111=192;gold=480000},{coin6=480;111=192;gold=480000}
24,{111=96;gold=240000;coin10=240},{111=144;gold=360000;coin10=360},{111=144;gold=360000;coin10=360},{111=192;gold=480000;coin10=480},{111=192;gold=480000;coin10=480},{coin2=240;111=96;gold=240000},{coin2=360;111=144;gold=360000},{coin2=360;111=144;gold=360000},{coin2=480;111=192;gold=480000},{coin2=480;111=192;gold=480000},{gold=240000;111=96;coin1=240},{gold=360000;111=144;coin1=360},{gold=360000;111=144;coin1=360},{gold=480000;111=192;coin1=480},{gold=480000;111=192;coin1=480},{coin6=240;111=96;gold=240000},{coin6=360;111=144;gold=360000},{coin6=360;111=144;gold=360000},{coin6=480;111=192;gold=480000},{coin6=480;111=192;gold=480000}
25,{111=100;gold=320000;coin10=280},{111=150;gold=480000;coin10=420},{111=150;gold=480000;coin10=420},{111=200;gold=640000;coin10=560},{111=200;gold=640000;coin10=560},{coin2=280;111=100;gold=320000},{coin2=420;111=150;gold=480000},{coin2=420;111=150;gold=480000},{coin2=560;111=200;gold=640000},{coin2=560;111=200;gold=640000},{gold=320000;111=100;coin1=280},{gold=480000;111=150;coin1=420},{gold=480000;111=150;coin1=420},{gold=640000;111=200;coin1=560},{gold=640000;111=200;coin1=560},{coin6=280;111=100;gold=320000},{coin6=420;111=150;gold=480000},{coin6=420;111=150;gold=480000},{coin6=560;111=200;gold=640000},{coin6=560;111=200;gold=640000}
26,{111=100;gold=320000;coin10=280},{111=150;gold=480000;coin10=420},{111=150;gold=480000;coin10=420},{111=200;gold=640000;coin10=560},{111=200;gold=640000;coin10=560},{coin2=280;111=100;gold=320000},{coin2=420;111=150;gold=480000},{coin2=420;111=150;gold=480000},{coin2=560;111=200;gold=640000},{coin2=560;111=200;gold=640000},{gold=320000;111=100;coin1=280},{gold=480000;111=150;coin1=420},{gold=480000;111=150;coin1=420},{gold=640000;111=200;coin1=560},{gold=640000;111=200;coin1=560},{coin6=280;111=100;gold=320000},{coin6=420;111=150;gold=480000},{coin6=420;111=150;gold=480000},{coin6=560;111=200;gold=640000},{coin6=560;111=200;gold=640000}
27,{111=100;gold=320000;coin10=280},{111=150;gold=480000;coin10=420},{111=150;gold=480000;coin10=420},{111=200;gold=640000;coin10=560},{111=200;gold=640000;coin10=560},{coin2=280;111=100;gold=320000},{coin2=420;111=150;gold=480000},{coin2=420;111=150;gold=480000},{coin2=560;111=200;gold=640000},{coin2=560;111=200;gold=640000},{gold=320000;111=100;coin1=280},{gold=480000;111=150;coin1=420},{gold=480000;111=150;coin1=420},{gold=640000;111=200;coin1=560},{gold=640000;111=200;coin1=560},{coin6=280;111=100;gold=320000},{coin6=420;111=150;gold=480000},{coin6=420;111=150;gold=480000},{coin6=560;111=200;gold=640000},{coin6=560;111=200;gold=640000}
28,{111=100;gold=320000;coin10=280},{111=150;gold=480000;coin10=420},{111=150;gold=480000;coin10=420},{111=200;gold=640000;coin10=560},{111=200;gold=640000;coin10=560},{coin2=280;111=100;gold=320000},{coin2=420;111=150;gold=480000},{coin2=420;111=150;gold=480000},{coin2=560;111=200;gold=640000},{coin2=560;111=200;gold=640000},{gold=320000;111=100;coin1=280},{gold=480000;111=150;coin1=420},{gold=480000;111=150;coin1=420},{gold=640000;111=200;coin1=560},{gold=640000;111=200;coin1=560},{coin6=280;111=100;gold=320000},{coin6=420;111=150;gold=480000},{coin6=420;111=150;gold=480000},{coin6=560;111=200;gold=640000},{coin6=560;111=200;gold=640000}
29,{111=100;gold=320000;coin10=280},{111=150;gold=480000;coin10=420},{111=150;gold=480000;coin10=420},{111=200;gold=640000;coin10=560},{111=200;gold=640000;coin10=560},{coin2=280;111=100;gold=320000},{coin2=420;111=150;gold=480000},{coin2=420;111=150;gold=480000},{coin2=560;111=200;gold=640000},{coin2=560;111=200;gold=640000},{gold=320000;111=100;coin1=280},{gold=480000;111=150;coin1=420},{gold=480000;111=150;coin1=420},{gold=640000;111=200;coin1=560},{gold=640000;111=200;coin1=560},{coin6=280;111=100;gold=320000},{coin6=420;111=150;gold=480000},{coin6=420;111=150;gold=480000},{coin6=560;111=200;gold=640000},{coin6=560;111=200;gold=640000}
30,{111=104;gold=400000;coin10=320},{111=156;gold=600000;coin10=480},{111=156;gold=600000;coin10=480},{111=208;gold=800000;coin10=640},{111=208;gold=800000;coin10=640},{coin2=320;111=104;gold=400000},{coin2=480;111=156;gold=600000},{coin2=480;111=156;gold=600000},{coin2=640;111=208;gold=800000},{coin2=640;111=208;gold=800000},{gold=400000;111=104;coin1=320},{gold=600000;111=156;coin1=480},{gold=600000;111=156;coin1=480},{gold=800000;111=208;coin1=640},{gold=800000;111=208;coin1=640},{coin6=320;111=104;gold=400000},{coin6=480;111=156;gold=600000},{coin6=480;111=156;gold=600000},{coin6=640;111=208;gold=800000},{coin6=640;111=208;gold=800000}
31,{111=104;gold=400000;coin10=320},{111=156;gold=600000;coin10=480},{111=156;gold=600000;coin10=480},{111=208;gold=800000;coin10=640},{111=208;gold=800000;coin10=640},{coin2=320;111=104;gold=400000},{coin2=480;111=156;gold=600000},{coin2=480;111=156;gold=600000},{coin2=640;111=208;gold=800000},{coin2=640;111=208;gold=800000},{gold=400000;111=104;coin1=320},{gold=600000;111=156;coin1=480},{gold=600000;111=156;coin1=480},{gold=800000;111=208;coin1=640},{gold=800000;111=208;coin1=640},{coin6=320;111=104;gold=400000},{coin6=480;111=156;gold=600000},{coin6=480;111=156;gold=600000},{coin6=640;111=208;gold=800000},{coin6=640;111=208;gold=800000}
32,{111=104;gold=400000;coin10=320},{111=156;gold=600000;coin10=480},{111=156;gold=600000;coin10=480},{111=208;gold=800000;coin10=640},{111=208;gold=800000;coin10=640},{coin2=320;111=104;gold=400000},{coin2=480;111=156;gold=600000},{coin2=480;111=156;gold=600000},{coin2=640;111=208;gold=800000},{coin2=640;111=208;gold=800000},{gold=400000;111=104;coin1=320},{gold=600000;111=156;coin1=480},{gold=600000;111=156;coin1=480},{gold=800000;111=208;coin1=640},{gold=800000;111=208;coin1=640},{coin6=320;111=104;gold=400000},{coin6=480;111=156;gold=600000},{coin6=480;111=156;gold=600000},{coin6=640;111=208;gold=800000},{coin6=640;111=208;gold=800000}
33,{111=104;gold=400000;coin10=320},{111=156;gold=600000;coin10=480},{111=156;gold=600000;coin10=480},{111=208;gold=800000;coin10=640},{111=208;gold=800000;coin10=640},{coin2=320;111=104;gold=400000},{coin2=480;111=156;gold=600000},{coin2=480;111=156;gold=600000},{coin2=640;111=208;gold=800000},{coin2=640;111=208;gold=800000},{gold=400000;111=104;coin1=320},{gold=600000;111=156;coin1=480},{gold=600000;111=156;coin1=480},{gold=800000;111=208;coin1=640},{gold=800000;111=208;coin1=640},{coin6=320;111=104;gold=400000},{coin6=480;111=156;gold=600000},{coin6=480;111=156;gold=600000},{coin6=640;111=208;gold=800000},{coin6=640;111=208;gold=800000}
34,{111=104;gold=400000;coin10=320},{111=156;gold=600000;coin10=480},{111=156;gold=600000;coin10=480},{111=208;gold=800000;coin10=640},{111=208;gold=800000;coin10=640},{coin2=320;111=104;gold=400000},{coin2=480;111=156;gold=600000},{coin2=480;111=156;gold=600000},{coin2=640;111=208;gold=800000},{coin2=640;111=208;gold=800000},{gold=400000;111=104;coin1=320},{gold=600000;111=156;coin1=480},{gold=600000;111=156;coin1=480},{gold=800000;111=208;coin1=640},{gold=800000;111=208;coin1=640},{coin6=320;111=104;gold=400000},{coin6=480;111=156;gold=600000},{coin6=480;111=156;gold=600000},{coin6=640;111=208;gold=800000},{coin6=640;111=208;gold=800000}
35,{111=108;gold=480000;coin10=360},{111=162;gold=720000;coin10=540},{111=162;gold=720000;coin10=540},{111=216;gold=960000;coin10=720},{111=216;gold=960000;coin10=720},{coin2=360;111=108;gold=480000},{coin2=540;111=162;gold=720000},{coin2=540;111=162;gold=720000},{coin2=720;111=216;gold=960000},{coin2=720;111=216;gold=960000},{gold=480000;111=108;coin1=360},{gold=720000;111=162;coin1=540},{gold=720000;111=162;coin1=540},{gold=960000;111=216;coin1=720},{gold=960000;111=216;coin1=720},{coin6=360;111=108;gold=480000},{coin6=540;111=162;gold=720000},{coin6=540;111=162;gold=720000},{coin6=720;111=216;gold=960000},{coin6=720;111=216;gold=960000}
36,{111=108;gold=480000;coin10=360},{111=162;gold=720000;coin10=540},{111=162;gold=720000;coin10=540},{111=216;gold=960000;coin10=720},{111=216;gold=960000;coin10=720},{coin2=360;111=108;gold=480000},{coin2=540;111=162;gold=720000},{coin2=540;111=162;gold=720000},{coin2=720;111=216;gold=960000},{coin2=720;111=216;gold=960000},{gold=480000;111=108;coin1=360},{gold=720000;111=162;coin1=540},{gold=720000;111=162;coin1=540},{gold=960000;111=216;coin1=720},{gold=960000;111=216;coin1=720},{coin6=360;111=108;gold=480000},{coin6=540;111=162;gold=720000},{coin6=540;111=162;gold=720000},{coin6=720;111=216;gold=960000},{coin6=720;111=216;gold=960000}
37,{111=108;gold=480000;coin10=360},{111=162;gold=720000;coin10=540},{111=162;gold=720000;coin10=540},{111=216;gold=960000;coin10=720},{111=216;gold=960000;coin10=720},{coin2=360;111=108;gold=480000},{coin2=540;111=162;gold=720000},{coin2=540;111=162;gold=720000},{coin2=720;111=216;gold=960000},{coin2=720;111=216;gold=960000},{gold=480000;111=108;coin1=360},{gold=720000;111=162;coin1=540},{gold=720000;111=162;coin1=540},{gold=960000;111=216;coin1=720},{gold=960000;111=216;coin1=720},{coin6=360;111=108;gold=480000},{coin6=540;111=162;gold=720000},{coin6=540;111=162;gold=720000},{coin6=720;111=216;gold=960000},{coin6=720;111=216;gold=960000}
