变量名,gold1,itemMap1,gold2,itemMap2,gold3,itemMap3,gold4,itemMap4,gold5,itemMap5,gold6,itemMap6,gold7,itemMap7,needLevel,fragNum1,fragNum2,fragNum3,itemNum1,itemNum2,itemNum3,itemNum4,itemNum5
22,1550,{},2325,{},3875,{},3100,{},4650,{},7750,{},6200,{},23,10,10,10,15,15,15,15,15
23,1600,{},2400,{},4000,{},3200,{},4800,{},8000,{},6400,{},24,10,10,10,15,15,15,15,15
24,1650,{},2475,{},4125,{},3300,{},4950,{},8250,{},6600,{},25,10,10,10,15,15,15,15,15
25,1700,{},2550,{},4250,{},3400,{},5100,{},8500,{},6800,{},26,10,10,10,15,15,15,15,15
26,1750,{},2625,{},4375,{},3500,{},5250,{},8750,{},7000,{},27,10,10,10,15,15,15,15,15
27,1800,{},2700,{},4500,{},3600,{},5400,{},9000,{},7200,{},28,10,10,10,15,15,15,15,15
28,1850,{},2775,{},4625,{},3700,{},5550,{},9250,{},7400,{},29,15,15,15,15,15,15,15,15
29,1900,{},2850,{},4750,{},3800,{},5700,{},9500,{},7600,{},30,15,15,15,15,15,15,15,15
30,1950,{},2925,{},4875,{},3900,{},5850,{},9750,{},7800,{},31,15,15,15,20,20,20,20,20
31,2000,{},3000,{},5000,{},4000,{},6000,{},10000,{},8000,{},32,15,15,15,20,20,20,20,20
32,5000,{},7500,{},12500,{},10000,{},15000,{},25000,{},20000,{},33,15,15,15,20,20,20,20,20
33,5200,{},7800,{},13000,{},10400,{},15600,{},26000,{},20800,{},34,15,15,15,20,20,20,20,20
34,5400,{},8100,{},13500,{},10800,{},16200,{},27000,{},21600,{},35,15,15,15,20,20,20,20,20
35,5600,{},8400,{},14000,{},11200,{},16800,{},28000,{},22400,{},36,15,15,15,20,20,20,20,20
36,5800,{},8700,{},14500,{},11600,{},17400,{},29000,{},23200,{},37,15,15,15,20,20,20,20,20
37,6000,{},9000,{},15000,{},12000,{},18000,{},30000,{},24000,{},38,15,15,15,20,20,20,20,20
38,6200,{},9300,{},15500,{},12400,{},18600,{},31000,{},24800,{},39,20,20,20,20,20,20,20,20
39,6400,{},9600,{},16000,{},12800,{},19200,{},32000,{},25600,{},40,20,20,20,20,20,20,20,20
40,6600,{},9900,{},16500,{},13200,{},19800,{},33000,{},26400,{},41,20,20,20,25,25,25,25,25
41,6800,{},10200,{},17000,{},13600,{},20400,{},34000,{},27200,{},42,20,20,20,25,25,25,25,25
42,7000,{},10500,{},17500,{},14000,{},21000,{},35000,{},28000,{},43,20,20,20,25,25,25,25,25
43,7600,{},11400,{},19000,{},15200,{},22800,{},38000,{},30400,{},44,20,20,20,25,25,25,25,25
44,8300,{},12450,{},20750,{},16600,{},24900,{},41500,{},33200,{},45,20,20,20,25,25,25,25,25
45,8900,{},13350,{},22250,{},17800,{},26700,{},44500,{},35600,{},46,20,20,20,25,25,25,25,25
46,9600,{},14400,{},24000,{},19200,{},28800,{},48000,{},38400,{},47,20,20,20,25,25,25,25,25
47,10000,{},15000,{},25000,{},20000,{},30000,{},50000,{},40000,{},48,20,20,20,25,25,25,25,25
48,11000,{},16500,{},27500,{},22000,{},33000,{},55000,{},44000,{},49,25,25,25,25,25,25,25,25
49,12000,{},18000,{},30000,{},24000,{},36000,{},60000,{},48000,{},50,25,25,25,25,25,25,25,25
50,12000,{},18000,{},30000,{},24000,{},36000,{},60000,{},48000,{},51,25,25,25,30,30,30,30,30
51,13000,{},19500,{},32500,{},26000,{},39000,{},65000,{},52000,{},52,25,25,25,30,30,30,30,30
52,14000,{},21000,{},35000,{},28000,{},42000,{},70000,{},56000,{},53,25,25,25,30,30,30,30,30
53,15000,{},22500,{},37500,{},30000,{},45000,{},75000,{},60000,{},54,25,25,25,30,30,30,30,30
54,16000,{},24000,{},40000,{},32000,{},48000,{},80000,{},64000,{},55,25,25,25,30,30,30,30,30
55,18000,{},27000,{},45000,{},36000,{},54000,{},90000,{},72000,{},56,25,25,25,30,30,30,30,30
56,19000,{},28500,{},47500,{},38000,{},57000,{},95000,{},76000,{},57,25,25,25,30,30,30,30,30
57,20000,{},30000,{},50000,{},40000,{},60000,{},100000,{},80000,{},58,25,25,25,30,30,30,30,30
58,22000,{},33000,{},55000,{},44000,{},66000,{},110000,{},88000,{},59,30,30,30,30,30,30,30,30
59,24000,{},36000,{},60000,{},48000,{},72000,{},120000,{},96000,{},60,30,30,30,30,30,30,30,30
60,26000,{},39000,{},65000,{},52000,{},78000,{},130000,{},104000,{},61,30,30,30,35,35,35,35,35
61,28000,{},42000,{},70000,{},56000,{},84000,{},140000,{},112000,{},62,30,30,30,35,35,35,35,35
62,30000,{},45000,{},75000,{},60000,{},90000,{},150000,{},120000,{},63,30,30,30,35,35,35,35,35
63,32000,{},48000,{},80000,{},64000,{},96000,{},160000,{},128000,{},64,30,30,30,35,35,35,35,35
64,34000,{},51000,{},85000,{},68000,{},102000,{},170000,{},136000,{},65,30,30,30,35,35,35,35,35
65,37000,{},55500,{},92500,{},74000,{},111000,{},185000,{},148000,{},66,30,30,30,35,35,35,35,35
66,39000,{},58500,{},97500,{},78000,{},117000,{},195000,{},156000,{},67,30,30,30,35,35,35,35,35
67,41000,{},61500,{},102500,{},82000,{},123000,{},205000,{},164000,{},68,30,30,30,35,35,35,35,35
68,43000,{},64500,{},107500,{},86000,{},129000,{},215000,{},172000,{},69,35,35,35,35,35,35,35,35
69,48000,{},72000,{},120000,{},96000,{},144000,{},240000,{},192000,{},70,35,35,35,35,35,35,35,35
70,52000,{},78000,{},130000,{},104000,{},156000,{},260000,{},208000,{},71,35,35,35,40,40,40,40,40
71,57000,{},85500,{},142500,{},114000,{},171000,{},285000,{},228000,{},72,35,35,35,40,40,40,40,40
72,62000,{},93000,{},155000,{},124000,{},186000,{},310000,{},248000,{},73,35,35,35,40,40,40,40,40
73,67000,{},100500,{},167500,{},134000,{},201000,{},335000,{},268000,{},74,35,35,35,40,40,40,40,40
74,73000,{},109500,{},182500,{},146000,{},219000,{},365000,{},292000,{},75,35,35,35,40,40,40,40,40
75,110000,{},165000,{},275000,{},220000,{},330000,{},550000,{},440000,{},76,35,35,35,40,40,40,40,40
76,120000,{},180000,{},300000,{},240000,{},360000,{},600000,{},480000,{},77,35,35,35,40,40,40,40,40
77,130000,{},195000,{},325000,{},260000,{},390000,{},650000,{},520000,{},78,35,35,35,40,40,40,40,40
78,140000,{},210000,{},350000,{},280000,{},420000,{},700000,{},560000,{},79,40,40,40,40,40,40,40,40
79,150000,{},225000,{},375000,{},300000,{},450000,{},750000,{},600000,{},80,40,40,40,40,40,40,40,40
80,150000,{},225000,{},375000,{},300000,{},450000,{},750000,{},600000,{},81,40,40,40,50,50,50,50,50
81,160000,{},240000,{},400000,{},320000,{},480000,{},800000,{},640000,{},82,40,40,40,50,50,50,50,50
82,170000,{},255000,{},425000,{},340000,{},510000,{},850000,{},680000,{},83,40,40,40,50,50,50,50,50
83,180000,{},270000,{},450000,{},360000,{},540000,{},900000,{},720000,{},84,40,40,40,50,50,50,50,50
84,190000,{},285000,{},475000,{},380000,{},570000,{},950000,{},760000,{},85,40,40,40,50,50,50,50,50
85,190000,{},285000,{},475000,{},380000,{},570000,{},950000,{},760000,{},86,40,40,40,50,50,50,50,50
86,200000,{},300000,{},500000,{},400000,{},600000,{},1000000,{},800000,{},87,40,40,40,50,50,50,50,50
87,210000,{},315000,{},525000,{},420000,{},630000,{},1050000,{},840000,{},88,40,40,40,50,50,50,50,50
88,220000,{},330000,{},550000,{},440000,{},660000,{},1100000,{},880000,{},89,45,45,45,50,50,50,50,50
89,230000,{},345000,{},575000,{},460000,{},690000,{},1150000,{},920000,{},90,45,45,45,50,50,50,50,50
90,230000,{},345000,{},575000,{},460000,{},690000,{},1150000,{},920000,{},91,45,45,45,60,60,60,60,60
91,240000,{},360000,{},600000,{},480000,{},720000,{},1200000,{},960000,{},92,45,45,45,60,60,60,60,60
92,250000,{},375000,{},625000,{},500000,{},750000,{},1250000,{},1000000,{},93,45,45,45,60,60,60,60,60
93,260000,{},390000,{},650000,{},520000,{},780000,{},1300000,{},1040000,{},94,45,45,45,60,60,60,60,60
94,270000,{},405000,{},675000,{},540000,{},810000,{},1350000,{},1080000,{},95,45,45,45,60,60,60,60,60
95,270000,{},405000,{},675000,{},540000,{},810000,{},1350000,{},1080000,{},96,45,45,45,60,60,60,60,60
96,280000,{},420000,{},700000,{},560000,{},840000,{},1400000,{},1120000,{},97,45,45,45,60,60,60,60,60
97,290000,{},435000,{},725000,{},580000,{},870000,{},1450000,{},1160000,{},98,45,45,45,60,60,60,60,60
98,300000,{},450000,{},750000,{},600000,{},900000,{},1500000,{},1200000,{},99,50,50,50,60,60,60,60,60
99,310000,{},465000,{},775000,{},620000,{},930000,{},1550000,{},1240000,{},100,50,50,50,60,60,60,60,60
100,320000,{},480000,{},800000,{},640000,{},960000,{},1600000,{},1280000,{},101,50,50,50,60,60,60,60,60
101,330000,{},495000,{},825000,{},660000,{},990000,{},1650000,{},1320000,{},102,50,50,50,60,60,60,60,60
102,340000,{},510000,{},850000,{},680000,{},1020000,{},1700000,{},1360000,{},103,50,50,50,60,60,60,60,60
103,350000,{},525000,{},875000,{},700000,{},1050000,{},1750000,{},1400000,{},104,50,50,50,60,60,60,60,60
104,360000,{},540000,{},900000,{},720000,{},1080000,{},1800000,{},1440000,{},105,50,50,50,60,60,60,60,60
105,370000,{},555000,{},925000,{},740000,{},1110000,{},1850000,{},1480000,{},106,50,50,50,60,60,60,60,60
106,380000,{},570000,{},950000,{},760000,{},1140000,{},1900000,{},1520000,{},107,50,50,50,60,60,60,60,60
107,390000,{},585000,{},975000,{},780000,{},1170000,{},1950000,{},1560000,{},108,50,50,50,60,60,60,60,60
108,400000,{},600000,{},1000000,{},800000,{},1200000,{},2000000,{},1600000,{},109,50,50,50,60,60,60,60,60
109,410000,{},615000,{},1025000,{},820000,{},1230000,{},2050000,{},1640000,{},110,50,50,50,60,60,60,60,60
110,420000,{},630000,{},1050000,{},840000,{},1260000,{},2100000,{},1680000,{},111,50,50,50,60,60,60,60,60
111,430000,{},645000,{},1075000,{},860000,{},1290000,{},2150000,{},1720000,{},112,50,50,50,60,60,60,60,60
112,440000,{},660000,{},1100000,{},880000,{},1320000,{},2200000,{},1760000,{},113,50,50,50,60,60,60,60,60
113,450000,{},675000,{},1125000,{},900000,{},1350000,{},2250000,{},1800000,{},114,50,50,50,60,60,60,60,60
114,460000,{},690000,{},1150000,{},920000,{},1380000,{},2300000,{},1840000,{},115,50,50,50,60,60,60,60,60
115,470000,{},705000,{},1175000,{},940000,{},1410000,{},2350000,{},1880000,{},116,50,50,50,60,60,60,60,60
116,480000,{},720000,{},1200000,{},960000,{},1440000,{},2400000,{},1920000,{},117,50,50,50,60,60,60,60,60
117,490000,{},735000,{},1225000,{},980000,{},1470000,{},2450000,{},1960000,{},118,50,50,50,60,60,60,60,60
118,500000,{},750000,{},1250000,{},1000000,{},1500000,{},2500000,{},2000000,{},119,50,50,50,60,60,60,60,60
119,510000,{},765000,{},1275000,{},1020000,{},1530000,{},2550000,{},2040000,{},120,50,50,50,60,60,60,60,60
120,520000,{},780000,{},1300000,{},1040000,{},1560000,{},2600000,{},2080000,{},121,50,50,50,60,60,60,60,60
121,530000,{},795000,{},1325000,{},1060000,{},1590000,{},2650000,{},2120000,{},122,50,50,50,60,60,60,60,60
122,540000,{},810000,{},1350000,{},1080000,{},1620000,{},2700000,{},2160000,{},123,50,50,50,60,60,60,60,60
123,550000,{},825000,{},1375000,{},1100000,{},1650000,{},2750000,{},2200000,{},124,50,50,50,60,60,60,60,60
124,560000,{},840000,{},1400000,{},1120000,{},1680000,{},2800000,{},2240000,{},125,50,50,50,60,60,60,60,60
,570000,{},855000,{},1425000,{},1140000,{},1710000,{},2850000,{},2280000,{},126,50,50,50,60,60,60,60,60
,580000,{},870000,{},1450000,{},1160000,{},1740000,{},2900000,{},2320000,{},127,50,50,50,60,60,60,60,60
,590000,{},885000,{},1475000,{},1180000,{},1770000,{},2950000,{},2360000,{},128,50,50,50,60,60,60,60,60
,600000,{},900000,{},1500000,{},1200000,{},1800000,{},3000000,{},2400000,{},129,50,50,50,60,60,60,60,60
,610000,{},915000,{},1525000,{},1220000,{},1830000,{},3050000,{},2440000,{},130,50,50,50,60,60,60,60,60
,620000,{},930000,{},1550000,{},1240000,{},1860000,{},3100000,{},2480000,{},131,50,50,50,60,60,60,60,60
,630000,{},945000,{},1575000,{},1260000,{},1890000,{},3150000,{},2520000,{},132,50,50,50,60,60,60,60,60
,640000,{},960000,{},1600000,{},1280000,{},1920000,{},3200000,{},2560000,{},133,50,50,50,60,60,60,60,60
,650000,{},975000,{},1625000,{},1300000,{},1950000,{},3250000,{},2600000,{},134,50,50,50,60,60,60,60,60
,660000,{},990000,{},1650000,{},1320000,{},1980000,{},3300000,{},2640000,{},135,50,50,50,60,60,60,60,60
,670000,{},1005000,{},1675000,{},1340000,{},2010000,{},3350000,{},2680000,{},136,50,50,50,60,60,60,60,60
,680000,{},1020000,{},1700000,{},1360000,{},2040000,{},3400000,{},2720000,{},137,50,50,50,60,60,60,60,60
,690000,{},1035000,{},1725000,{},1380000,{},2070000,{},3450000,{},2760000,{},138,50,50,50,60,60,60,60,60
,700000,{},1050000,{},1750000,{},1400000,{},2100000,{},3500000,{},2800000,{},139,50,50,50,60,60,60,60,60
,710000,{},1065000,{},1775000,{},1420000,{},2130000,{},3550000,{},2840000,{},140,50,50,50,60,60,60,60,60
,720000,{},1080000,{},1800000,{},1440000,{},2160000,{},3600000,{},2880000,{},141,50,50,50,60,60,60,60,60
,730000,{},1095000,{},1825000,{},1460000,{},2190000,{},3650000,{},2920000,{},142,50,50,50,60,60,60,60,60
,740000,{},1110000,{},1850000,{},1480000,{},2220000,{},3700000,{},2960000,{},143,50,50,50,60,60,60,60,60
,750000,{},1125000,{},1875000,{},1500000,{},2250000,{},3750000,{},3000000,{},144,50,50,50,60,60,60,60,60
,760000,{},1140000,{},1900000,{},1520000,{},2280000,{},3800000,{},3040000,{},145,50,50,50,60,60,60,60,60
,770000,{},1155000,{},1925000,{},1540000,{},2310000,{},3850000,{},3080000,{},146,50,50,50,60,60,60,60,60
,780000,{},1170000,{},1950000,{},1560000,{},2340000,{},3900000,{},3120000,{},147,50,50,50,60,60,60,60,60
,790000,{},1185000,{},1975000,{},1580000,{},2370000,{},3950000,{},3160000,{},148,50,50,50,60,60,60,60,60
,800000,{},1200000,{},2000000,{},1600000,{},2400000,{},4000000,{},3200000,{},149,50,50,50,60,60,60,60,60
,810000,{},1215000,{},2025000,{},1620000,{},2430000,{},4050000,{},3240000,{},150,50,50,50,60,60,60,60,60
,820000,{},1230000,{},2050000,{},1640000,{},2460000,{},4100000,{},3280000,{},151,50,50,50,60,60,60,60,60
,830000,{},1245000,{},2075000,{},1660000,{},2490000,{},4150000,{},3320000,{},152,50,50,50,60,60,60,60,60
,840000,{},1260000,{},2100000,{},1680000,{},2520000,{},4200000,{},3360000,{},153,50,50,50,60,60,60,60,60
,850000,{},1275000,{},2125000,{},1700000,{},2550000,{},4250000,{},3400000,{},154,50,50,50,60,60,60,60,60
,860000,{},1290000,{},2150000,{},1720000,{},2580000,{},4300000,{},3440000,{},155,50,50,50,60,60,60,60,60
,870000,{},1305000,{},2175000,{},1740000,{},2610000,{},4350000,{},3480000,{},156,50,50,50,60,60,60,60,60
,880000,{},1320000,{},2200000,{},1760000,{},2640000,{},4400000,{},3520000,{},157,50,50,50,60,60,60,60,60
,890000,{},1335000,{},2225000,{},1780000,{},2670000,{},4450000,{},3560000,{},158,50,50,50,60,60,60,60,60
,900000,{},1350000,{},2250000,{},1800000,{},2700000,{},4500000,{},3600000,{},159,50,50,50,60,60,60,60,60
,910000,{},1365000,{},2275000,{},1820000,{},2730000,{},4550000,{},3640000,{},160,50,50,50,60,60,60,60,60
,920000,{},1380000,{},2300000,{},1840000,{},2760000,{},4600000,{},3680000,{},161,50,50,50,60,60,60,60,60
,930000,{},1395000,{},2325000,{},1860000,{},2790000,{},4650000,{},3720000,{},162,50,50,50,60,60,60,60,60
,940000,{},1410000,{},2350000,{},1880000,{},2820000,{},4700000,{},3760000,{},163,50,50,50,60,60,60,60,60
,950000,{},1425000,{},2375000,{},1900000,{},2850000,{},4750000,{},3800000,{},164,50,50,50,60,60,60,60,60
,960000,{},1440000,{},2400000,{},1920000,{},2880000,{},4800000,{},3840000,{},165,50,50,50,60,60,60,60,60
,970000,{},1455000,{},2425000,{},1940000,{},2910000,{},4850000,{},3880000,{},166,50,50,50,60,60,60,60,60
,980000,{},1470000,{},2450000,{},1960000,{},2940000,{},4900000,{},3920000,{},167,50,50,50,60,60,60,60,60
,990000,{},1485000,{},2475000,{},1980000,{},2970000,{},4950000,{},3960000,{},168,50,50,50,60,60,60,60,60
,1000000,{},1500000,{},2500000,{},2000000,{},3000000,{},5000000,{},4000000,{},169,50,50,50,60,60,60,60,60
,1010000,{},1515000,{},2525000,{},2020000,{},3030000,{},5050000,{},4040000,{},170,50,50,50,60,60,60,60,60
,1020000,{},1530000,{},2550000,{},2040000,{},3060000,{},5100000,{},4080000,{},171,50,50,50,60,60,60,60,60
,1030000,{},1545000,{},2575000,{},2060000,{},3090000,{},5150000,{},4120000,{},172,50,50,50,60,60,60,60,60
,1040000,{},1560000,{},2600000,{},2080000,{},3120000,{},5200000,{},4160000,{},173,50,50,50,60,60,60,60,60
,1050000,{},1575000,{},2625000,{},2100000,{},3150000,{},5250000,{},4200000,{},174,50,50,50,60,60,60,60,60
,1060000,{},1590000,{},2650000,{},2120000,{},3180000,{},5300000,{},4240000,{},175,50,50,50,60,60,60,60,60
,1070000,{},1605000,{},2675000,{},2140000,{},3210000,{},5350000,{},4280000,{},176,50,50,50,60,60,60,60,60
,1080000,{},1620000,{},2700000,{},2160000,{},3240000,{},5400000,{},4320000,{},177,50,50,50,60,60,60,60,60
,1090000,{},1635000,{},2725000,{},2180000,{},3270000,{},5450000,{},4360000,{},178,50,50,50,60,60,60,60,60
,1100000,{},1650000,{},2750000,{},2200000,{},3300000,{},5500000,{},4400000,{},179,50,50,50,60,60,60,60,60
,1110000,{},1665000,{},2775000,{},2220000,{},3330000,{},5550000,{},4440000,{},180,50,50,50,60,60,60,60,60
,1120000,{},1680000,{},2800000,{},2240000,{},3360000,{},5600000,{},4480000,{},181,50,50,50,60,60,60,60,60
,1130000,{},1695000,{},2825000,{},2260000,{},3390000,{},5650000,{},4520000,{},182,50,50,50,60,60,60,60,60
,1140000,{},1710000,{},2850000,{},2280000,{},3420000,{},5700000,{},4560000,{},183,50,50,50,60,60,60,60,60
,1150000,{},1725000,{},2875000,{},2300000,{},3450000,{},5750000,{},4600000,{},184,50,50,50,60,60,60,60,60
,1160000,{},1740000,{},2900000,{},2320000,{},3480000,{},5800000,{},4640000,{},185,50,50,50,60,60,60,60,60
,1170000,{},1755000,{},2925000,{},2340000,{},3510000,{},5850000,{},4680000,{},186,50,50,50,60,60,60,60,60
,1180000,{},1770000,{},2950000,{},2360000,{},3540000,{},5900000,{},4720000,{},187,50,50,50,60,60,60,60,60
,1190000,{},1785000,{},2975000,{},2380000,{},3570000,{},5950000,{},4760000,{},188,50,50,50,60,60,60,60,60
,1200000,{},1800000,{},3000000,{},2400000,{},3600000,{},6000000,{},4800000,{},189,50,50,50,60,60,60,60,60
,1210000,{},1815000,{},3025000,{},2420000,{},3630000,{},6050000,{},4840000,{},190,50,50,50,60,60,60,60,60
,1220000,{},1830000,{},3050000,{},2440000,{},3660000,{},6100000,{},4880000,{},191,50,50,50,60,60,60,60,60
,1230000,{},1845000,{},3075000,{},2460000,{},3690000,{},6150000,{},4920000,{},192,50,50,50,60,60,60,60,60
,1240000,{},1860000,{},3100000,{},2480000,{},3720000,{},6200000,{},4960000,{},193,50,50,50,60,60,60,60,60
,1250000,{},1875000,{},3125000,{},2500000,{},3750000,{},6250000,{},5000000,{},194,50,50,50,60,60,60,60,60
,1260000,{},1890000,{},3150000,{},2520000,{},3780000,{},6300000,{},5040000,{},195,50,50,50,60,60,60,60,60
,1270000,{},1905000,{},3175000,{},2540000,{},3810000,{},6350000,{},5080000,{},196,50,50,50,60,60,60,60,60
,1280000,{},1920000,{},3200000,{},2560000,{},3840000,{},6400000,{},5120000,{},197,50,50,50,60,60,60,60,60
,1290000,{},1935000,{},3225000,{},2580000,{},3870000,{},6450000,{},5160000,{},198,50,50,50,60,60,60,60,60
,1300000,{},1950000,{},3250000,{},2600000,{},3900000,{},6500000,{},5200000,{},199,50,50,50,60,60,60,60,60
,1310000,{},1965000,{},3275000,{},2620000,{},3930000,{},6550000,{},5240000,{},200,50,50,50,60,60,60,60,60
,1320000,{},1980000,{},3300000,{},2640000,{},3960000,{},6600000,{},5280000,{},201,50,50,50,60,60,60,60,60
,1330000,{},1995000,{},3325000,{},2660000,{},3990000,{},6650000,{},5380000,{},202,50,50,50,60,60,60,60,60
,1340000,{},2010000,{},3350000,{},2680000,{},4020000,{},6700000,{},5480000,{},203,50,50,50,60,60,60,60,60
,1350000,{},2025000,{},3375000,{},2700000,{},4050000,{},6750000,{},5580000,{},204,50,50,50,60,60,60,60,60
,1360000,{},2040000,{},3400000,{},2720000,{},4080000,{},6800000,{},5680000,{},205,50,50,50,60,60,60,60,60
,1370000,{},2055000,{},3425000,{},2740000,{},4110000,{},6850000,{},5780000,{},206,50,50,50,60,60,60,60,60
,1380000,{},2070000,{},3450000,{},2760000,{},4140000,{},6900000,{},5880000,{},207,50,50,50,60,60,60,60,60
,1390000,{},2085000,{},3475000,{},2780000,{},4170000,{},6950000,{},5980000,{},208,50,50,50,60,60,60,60,60
,1400000,{},2100000,{},3500000,{},2800000,{},4200000,{},7000000,{},6080000,{},209,50,50,50,60,60,60,60,60
,1410000,{},2115000,{},3525000,{},2820000,{},4230000,{},7050000,{},6180000,{},210,50,50,50,60,60,60,60,60
,1420000,{},2130000,{},3550000,{},2840000,{},4260000,{},7100000,{},6280000,{},211,50,50,50,60,60,60,60,60
,1430000,{},2145000,{},3575000,{},2860000,{},4290000,{},7150000,{},6380000,{},212,50,50,50,60,60,60,60,60
,1440000,{},2160000,{},3600000,{},2880000,{},4320000,{},7200000,{},6480000,{},213,50,50,50,60,60,60,60,60
,1450000,{},2175000,{},3625000,{},2900000,{},4350000,{},7250000,{},6580000,{},214,50,50,50,60,60,60,60,60
,1460000,{},2190000,{},3650000,{},2920000,{},4380000,{},7300000,{},6680000,{},215,50,50,50,60,60,60,60,60
,1470000,{},2205000,{},3675000,{},2940000,{},4410000,{},7350000,{},6780000,{},216,50,50,50,60,60,60,60,60
,1480000,{},2220000,{},3700000,{},2960000,{},4440000,{},7400000,{},6880000,{},217,50,50,50,60,60,60,60,60
,1490000,{},2235000,{},3725000,{},2980000,{},4470000,{},7450000,{},6980000,{},218,50,50,50,60,60,60,60,60
,1500000,{},2250000,{},3750000,{},3000000,{},4500000,{},7500000,{},7080000,{},219,50,50,50,60,60,60,60,60
,1510000,{},2265000,{},3775000,{},3020000,{},4530000,{},7550000,{},7180000,{},220,50,50,50,60,60,60,60,60
,1520000,{},2280000,{},3800000,{},3040000,{},4560000,{},7600000,{},7280000,{},221,50,50,50,60,60,60,60,60
,1530000,{},2295000,{},3825000,{},3060000,{},4590000,{},7650000,{},7380000,{},222,50,50,50,60,60,60,60,60
,1540000,{},2310000,{},3850000,{},3080000,{},4620000,{},7700000,{},7480000,{},223,50,50,50,60,60,60,60,60
,1550000,{},2325000,{},3875000,{},3100000,{},4650000,{},7750000,{},7580000,{},224,50,50,50,60,60,60,60,60
,1560000,{},2340000,{},3900000,{},3120000,{},4680000,{},7800000,{},7680000,{},225,50,50,50,60,60,60,60,60
,1570000,{},2355000,{},3925000,{},3140000,{},4710000,{},7850000,{},7780000,{},226,50,50,50,60,60,60,60,60
,1580000,{},2370000,{},3950000,{},3160000,{},4740000,{},7900000,{},7880000,{},227,50,50,50,60,60,60,60,60
,1590000,{},2385000,{},3975000,{},3180000,{},4770000,{},7950000,{},7980000,{},228,50,50,50,60,60,60,60,60
,1600000,{},2400000,{},4000000,{},3200000,{},4800000,{},8000000,{},8080000,{},229,50,50,50,60,60,60,60,60
,1610000,{},2415000,{},4025000,{},3220000,{},4830000,{},8050000,{},8180000,{},230,50,50,50,60,60,60,60,60
,1620000,{},2430000,{},4050000,{},3240000,{},4860000,{},8100000,{},8280000,{},231,50,50,50,60,60,60,60,60
,1630000,{},2445000,{},4075000,{},3260000,{},4890000,{},8150000,{},8380000,{},232,50,50,50,60,60,60,60,60
