变量名,gateID,extraVersion,_beizhu,itemMap,count,probability,probability_tw,probability_kr,itemCount
107,11210,2,,{6349=100},1,30,30,30,1
108,11301,2,,{6349=100},1,30,30,30,1
109,11302,2,,{6349=100},1,30,30,30,1
110,11303,2,,{6349=100},1,30,30,30,1
111,11304,2,,{6349=100},1,30,30,30,1
112,11305,2,,{6349=100},1,30,30,30,1
113,11306,2,,{6349=100},1,30,30,30,1
114,11307,2,,{6349=100},1,30,30,30,1
115,11308,2,,{6349=100},1,30,30,30,1
116,11309,2,,{6349=100},1,30,30,30,1
117,11310,2,,{6349=100},1,30,30,30,1
118,11401,2,,{6349=100},1,30,30,30,1
119,11402,2,,{6349=100},1,30,30,30,1
120,11403,2,,{6349=100},1,30,30,30,1
121,11404,2,,{6349=100},1,30,30,30,1
122,11405,2,,{6349=100},1,30,30,30,1
123,11406,2,,{6349=100},1,30,30,30,1
124,11407,2,,{6349=100},1,30,30,30,1
125,11408,2,,{6349=100},1,30,30,30,1
126,11409,2,,{6349=100},1,30,30,30,1
127,11410,2,,{6349=100},1,30,30,30,1
128,11501,2,,{6349=100},1,30,30,30,1
129,11502,2,,{6349=100},1,30,30,30,1
130,11503,2,,{6349=100},1,30,30,30,1
131,11504,2,,{6349=100},1,30,30,30,1
132,11505,2,,{6349=100},1,30,30,30,1
133,11506,2,,{6349=100},1,30,30,30,1
134,11507,2,,{6349=100},1,30,30,30,1
135,11508,2,,{6349=100},1,30,30,30,1
136,11509,2,,{6349=100},1,30,30,30,1
137,11510,2,,{6349=100},1,30,30,30,1
138,11601,2,,{6349=100},1,30,30,30,1
139,11602,2,,{6349=100},1,30,30,30,1
140,11603,2,,{6349=100},1,30,30,30,1
141,11604,2,,{6349=100},1,30,30,30,1
142,11605,2,,{6349=100},1,30,30,30,1
143,11606,2,,{6349=100},1,30,30,30,1
144,11607,2,,{6349=100},1,30,30,30,1
145,11608,2,,{6349=100},1,30,30,30,1
146,11609,2,,{6349=100},1,30,30,30,1
147,11610,2,,{6349=100},1,30,30,30,1
148,11701,2,,{6349=100},1,30,30,30,1
149,11702,2,,{6349=100},1,30,30,30,1
150,11703,2,,{6349=100},1,30,30,30,1
151,11704,2,,{6349=100},1,30,30,30,1
152,11705,2,,{6349=100},1,30,30,30,1
153,11706,2,,{6349=100},1,30,30,30,1
154,11707,2,,{6349=100},1,30,30,30,1
155,11708,2,,{6349=100},1,30,30,30,1
156,11709,2,,{6349=100},1,30,30,30,1
157,11710,2,,{6349=100},1,30,30,30,1
158,11801,2,,{6349=100},1,30,30,30,1
159,11802,2,,{6349=100},1,30,30,30,1
160,11803,2,,{6349=100},1,30,30,30,1
161,11804,2,,{6349=100},1,30,30,30,1
162,11805,2,,{6349=100},1,30,30,30,1
163,11806,2,,{6349=100},1,30,30,30,1
164,11807,2,,{6349=100},1,30,30,30,1
165,11808,2,,{6349=100},1,30,30,30,1
166,11809,2,,{6349=100},1,30,30,30,1
167,11810,2,,{6349=100},1,30,30,30,1
168,11901,2,,{6349=100},1,30,30,30,1
169,11902,2,,{6349=100},1,30,30,30,1
170,11903,2,,{6349=100},1,30,30,30,1
171,11904,2,,{6349=100},1,30,30,30,1
172,11905,2,,{6349=100},1,30,30,30,1
173,11906,2,,{6349=100},1,30,30,30,1
174,11907,2,,{6349=100},1,30,30,30,1
175,11908,2,,{6349=100},1,30,30,30,1
176,11909,2,,{6349=100},1,30,30,30,1
177,11910,2,,{6349=100},1,30,30,30,1
178,12001,2,,{6349=100},1,30,30,30,1
179,12002,2,,{6349=100},1,30,30,30,1
180,12003,2,,{6349=100},1,30,30,30,1
181,12004,2,,{6349=100},1,30,30,30,1
182,12005,2,,{6349=100},1,30,30,30,1
183,12006,2,,{6349=100},1,30,30,30,1
184,12007,2,,{6349=100},1,30,30,30,1
185,12008,2,,{6349=100},1,30,30,30,1
186,12009,2,,{6349=100},1,30,30,30,1
187,12010,2,,{6349=100},1,30,30,30,1
188,12101,2,,{6349=100},1,30,30,30,1
189,12102,2,,{6349=100},1,30,30,30,1
190,12103,2,,{6349=100},1,30,30,30,1
191,12104,2,,{6349=100},1,30,30,30,1
192,12105,2,,{6349=100},1,30,30,30,1
193,12106,2,,{6349=100},1,30,30,30,1
194,12107,2,,{6349=100},1,30,30,30,1
195,12108,2,,{6349=100},1,30,30,30,1
196,12109,2,,{6349=100},1,30,30,30,1
197,12110,2,,{6349=100},1,30,30,30,1
198,12201,2,,{6349=100},1,30,30,30,1
199,12202,2,,{6349=100},1,30,30,30,1
200,12203,2,,{6349=100},1,30,30,30,1
201,12204,2,,{6349=100},1,30,30,30,1
202,12205,2,,{6349=100},1,30,30,30,1
203,12206,2,,{6349=100},1,30,30,30,1
204,12207,2,,{6349=100},1,30,30,30,1
205,12208,2,,{6349=100},1,30,30,30,1
206,12209,2,,{6349=100},1,30,30,30,1
207,12210,2,,{6349=100},1,30,30,30,1
208,12301,2,,{6349=100},1,30,30,30,1
209,12302,2,,{6349=100},1,30,30,30,1
210,12303,2,,{6349=100},1,30,30,30,1
211,12304,2,,{6349=100},1,30,30,30,1
212,12305,2,,{6349=100},1,30,30,30,1
213,12306,2,,{6349=100},1,30,30,30,1
214,12307,2,,{6349=100},1,30,30,30,1
215,12308,2,,{6349=100},1,30,30,30,1
216,12309,2,,{6349=100},1,30,30,30,1
217,12310,2,,{6349=100},1,30,30,30,1
218,12401,2,,{6349=100},1,30,30,30,1
219,12402,2,,{6349=100},1,30,30,30,1
220,12403,2,,{6349=100},1,30,30,30,1
221,12404,2,,{6349=100},1,30,30,30,1
222,12405,2,,{6349=100},1,30,30,30,1
223,12406,2,,{6349=100},1,30,30,30,1
224,12407,2,,{6349=100},1,30,30,30,1
225,12408,2,,{6349=100},1,30,30,30,1
226,12409,2,,{6349=100},1,30,30,30,1
227,12410,2,,{6349=100},1,30,30,30,1
228,12501,2,,{6349=100},1,30,30,30,1
229,12502,2,,{6349=100},1,30,30,30,1
230,12503,2,,{6349=100},1,30,30,30,1
231,12504,2,,{6349=100},1,30,30,30,1
232,12505,2,,{6349=100},1,30,30,30,1
233,12506,2,,{6349=100},1,30,30,30,1
234,12507,2,,{6349=100},1,30,30,30,1
235,12508,2,,{6349=100},1,30,30,30,1
236,12509,2,,{6349=100},1,30,30,30,1
237,12510,2,,{6349=100},1,30,30,30,1
238,12601,2,,{6349=100},1,30,30,30,1
239,12602,2,,{6349=100},1,30,30,30,1
240,12603,2,,{6349=100},1,30,30,30,1
241,12604,2,,{6349=100},1,30,30,30,1
242,12605,2,,{6349=100},1,30,30,30,1
243,12606,2,,{6349=100},1,30,30,30,1
244,12607,2,,{6349=100},1,30,30,30,1
245,12608,2,,{6349=100},1,30,30,30,1
246,12609,2,,{6349=100},1,30,30,30,1
247,12610,2,,{6349=100},1,30,30,30,1
248,12701,2,,{6349=100},1,30,30,30,1
249,12702,2,,{6349=100},1,30,30,30,1
250,12703,2,,{6349=100},1,30,30,30,1
251,12704,2,,{6349=100},1,30,30,30,1
252,12705,2,,{6349=100},1,30,30,30,1
253,12706,2,,{6349=100},1,30,30,30,1
254,12707,2,,{6349=100},1,30,30,30,1
255,12708,2,,{6349=100},1,30,30,30,1
256,12709,2,,{6349=100},1,30,30,30,1
257,12710,2,,{6349=100},1,30,30,30,1
258,12801,2,,{6349=100},1,30,30,30,1
259,12802,2,,{6349=100},1,30,30,30,1
260,12803,2,,{6349=100},1,30,30,30,1
261,12804,2,,{6349=100},1,30,30,30,1
262,12805,2,,{6349=100},1,30,30,30,1
263,12806,2,,{6349=100},1,30,30,30,1
264,12807,2,,{6349=100},1,30,30,30,1
265,12808,2,,{6349=100},1,30,30,30,1
266,12809,2,,{6349=100},1,30,30,30,1
267,12810,2,,{6349=100},1,30,30,30,1
268,12901,2,,{6349=100},1,30,30,30,1
269,12902,2,,{6349=100},1,30,30,30,1
270,12903,2,,{6349=100},1,30,30,30,1
271,12904,2,,{6349=100},1,30,30,30,1
272,12905,2,,{6349=100},1,30,30,30,1
273,12906,2,,{6349=100},1,30,30,30,1
274,12907,2,,{6349=100},1,30,30,30,1
275,12908,2,,{6349=100},1,30,30,30,1
276,12909,2,,{6349=100},1,30,30,30,1
277,12910,2,,{6349=100},1,30,30,30,1
278,13001,2,,{6349=100},1,30,30,30,1
279,13002,2,,{6349=100},1,30,30,30,1
280,13003,2,,{6349=100},1,30,30,30,1
281,13004,2,,{6349=100},1,30,30,30,1
282,13005,2,,{6349=100},1,30,30,30,1
283,13006,2,,{6349=100},1,30,30,30,1
284,13007,2,,{6349=100},1,30,30,30,1
285,13008,2,,{6349=100},1,30,30,30,1
286,13009,2,,{6349=100},1,30,30,30,1
287,13010,2,,{6349=100},1,30,30,30,1
288,13101,2,,{6349=100},1,30,30,30,1
289,13102,2,,{6349=100},1,30,30,30,1
290,13103,2,,{6349=100},1,30,30,30,1
291,13104,2,,{6349=100},1,30,30,30,1
292,13105,2,,{6349=100},1,30,30,30,1
293,13106,2,,{6349=100},1,30,30,30,1
294,13107,2,,{6349=100},1,30,30,30,1
295,13108,2,,{6349=100},1,30,30,30,1
296,13109,2,,{6349=100},1,30,30,30,1
297,13110,2,,{6349=100},1,30,30,30,1
298,13201,2,,{6349=100},1,30,30,30,1
299,13202,2,,{6349=100},1,30,30,30,1
300,13203,2,,{6349=100},1,30,30,30,1
301,13204,2,,{6349=100},1,30,30,30,1
302,13205,2,,{6349=100},1,30,30,30,1
303,13206,2,,{6349=100},1,30,30,30,1
304,13207,2,,{6349=100},1,30,30,30,1
305,13208,2,,{6349=100},1,30,30,30,1
306,13209,2,,{6349=100},1,30,30,30,1
307,13210,2,,{6349=100},1,30,30,30,1
308,13301,2,,{6349=100},1,30,30,30,1
309,13302,2,,{6349=100},1,30,30,30,1
310,13303,2,,{6349=100},1,30,30,30,1
311,13304,2,,{6349=100},1,30,30,30,1
312,13305,2,,{6349=100},1,30,30,30,1
313,13306,2,,{6349=100},1,30,30,30,1
314,13307,2,,{6349=100},1,30,30,30,1
315,13308,2,,{6349=100},1,30,30,30,1
316,13309,2,,{6349=100},1,30,30,30,1
317,13310,2,,{6349=100},1,30,30,30,1
318,13401,2,,{6349=100},1,30,30,30,1
319,13402,2,,{6349=100},1,30,30,30,1
320,13403,2,,{6349=100},1,30,30,30,1
321,13404,2,,{6349=100},1,30,30,30,1
322,13405,2,,{6349=100},1,30,30,30,1
323,13406,2,,{6349=100},1,30,30,30,1
324,13407,2,,{6349=100},1,30,30,30,1
325,13408,2,,{6349=100},1,30,30,30,1
326,13409,2,,{6349=100},1,30,30,30,1
327,13410,2,,{6349=100},1,30,30,30,1
328,13501,2,,{6349=100},1,30,30,30,1
329,13502,2,,{6349=100},1,30,30,30,1
330,13503,2,,{6349=100},1,30,30,30,1
331,13504,2,,{6349=100},1,30,30,30,1
332,13505,2,,{6349=100},1,30,30,30,1
333,13506,2,,{6349=100},1,30,30,30,1
334,13507,2,,{6349=100},1,30,30,30,1
335,13508,2,,{6349=100},1,30,30,30,1
336,13509,2,,{6349=100},1,30,30,30,1
337,13510,2,,{6349=100},1,30,30,30,1
338,13601,2,,{6349=100},1,30,30,30,1
339,13602,2,,{6349=100},1,30,30,30,1
340,13603,2,,{6349=100},1,30,30,30,1
341,13604,2,,{6349=100},1,30,30,30,1
342,13605,2,,{6349=100},1,30,30,30,1
343,13606,2,,{6349=100},1,30,30,30,1
344,13607,2,,{6349=100},1,30,30,30,1
345,13608,2,,{6349=100},1,30,30,30,1
346,13609,2,,{6349=100},1,30,30,30,1
347,13610,2,,{6349=100},1,30,30,30,1
348,13701,2,,{6349=100},1,30,30,30,1
349,13702,2,,{6349=100},1,30,30,30,1
350,13703,2,,{6349=100},1,30,30,30,1
351,13704,2,,{6349=100},1,30,30,30,1
352,13705,2,,{6349=100},1,30,30,30,1
353,13706,2,,{6349=100},1,30,30,30,1
354,13707,2,,{6349=100},1,30,30,30,1
355,13708,2,,{6349=100},1,30,30,30,1
356,13709,2,,{6349=100},1,30,30,30,1
357,13710,2,,{6349=100},1,30,30,30,1
358,13801,2,,{6349=100},1,30,30,30,1
359,13802,2,,{6349=100},1,30,30,30,1
360,13803,2,,{6349=100},1,30,30,30,1
361,13804,2,,{6349=100},1,30,30,30,1
362,13805,2,,{6349=100},1,30,30,30,1
363,13806,2,,{6349=100},1,30,30,30,1
364,13807,2,,{6349=100},1,30,30,30,1
365,13808,2,,{6349=100},1,30,30,30,1
366,13809,2,,{6349=100},1,30,30,30,1
367,13810,2,,{6349=100},1,30,30,30,1
368,13901,2,,{6349=100},1,30,30,30,1
369,13902,2,,{6349=100},1,30,30,30,1
370,13903,2,,{6349=100},1,30,30,30,1
371,13904,2,,{6349=100},1,30,30,30,1
372,13905,2,,{6349=100},1,30,30,30,1
373,13906,2,,{6349=100},1,30,30,30,1
374,13907,2,,{6349=100},1,30,30,30,1
375,13908,2,,{6349=100},1,30,30,30,1
376,13909,2,,{6349=100},1,30,30,30,1
377,13910,2,,{6349=100},1,30,30,30,1
378,14001,2,,{6349=100},1,30,30,30,1
379,14002,2,,{6349=100},1,30,30,30,1
380,14003,2,,{6349=100},1,30,30,30,1
381,14004,2,,{6349=100},1,30,30,30,1
382,14005,2,,{6349=100},1,30,30,30,1
383,14006,2,,{6349=100},1,30,30,30,1
384,14007,2,,{6349=100},1,30,30,30,1
385,14008,2,,{6349=100},1,30,30,30,1
386,14009,2,,{6349=100},1,30,30,30,1
387,14010,2,,{6349=100},1,30,30,30,1
388,14101,2,,{6349=100},1,30,30,30,1
389,14102,2,,{6349=100},1,30,30,30,1
390,14103,2,,{6349=100},1,30,30,30,1
391,14104,2,,{6349=100},1,30,30,30,1
392,14105,2,,{6349=100},1,30,30,30,1
393,14106,2,,{6349=100},1,30,30,30,1
394,14107,2,,{6349=100},1,30,30,30,1
395,14108,2,,{6349=100},1,30,30,30,1
396,14109,2,,{6349=100},1,30,30,30,1
397,14110,2,,{6349=100},1,30,30,30,1
398,14201,2,,{6349=100},1,30,30,30,1
399,14202,2,,{6349=100},1,30,30,30,1
400,14203,2,,{6349=100},1,30,30,30,1
401,14204,2,,{6349=100},1,30,30,30,1
402,14205,2,,{6349=100},1,30,30,30,1
403,14206,2,,{6349=100},1,30,30,30,1
404,14207,2,,{6349=100},1,30,30,30,1
405,14208,2,,{6349=100},1,30,30,30,1
406,14209,2,,{6349=100},1,30,30,30,1
407,14210,2,,{6349=100},1,30,30,30,1
408,14301,2,,{6349=100},1,30,30,30,1
409,14302,2,,{6349=100},1,30,30,30,1
410,14303,2,,{6349=100},1,30,30,30,1
411,14304,2,,{6349=100},1,30,30,30,1
412,14305,2,,{6349=100},1,30,30,30,1
413,14306,2,,{6349=100},1,30,30,30,1
414,14307,2,,{6349=100},1,30,30,30,1
415,14308,2,,{6349=100},1,30,30,30,1
416,14309,2,,{6349=100},1,30,30,30,1
417,14310,2,,{6349=100},1,30,30,30,1
418,14401,2,,{6349=100},1,30,30,30,1
419,14402,2,,{6349=100},1,30,30,30,1
420,14403,2,,{6349=100},1,30,30,30,1
421,14404,2,,{6349=100},1,30,30,30,1
422,14405,2,,{6349=100},1,30,30,30,1
423,14406,2,,{6349=100},1,30,30,30,1
424,14407,2,,{6349=100},1,30,30,30,1
425,14408,2,,{6349=100},1,30,30,30,1
426,14409,2,,{6349=100},1,30,30,30,1
427,14410,2,,{6349=100},1,30,30,30,1
428,14501,2,,{6349=100},1,30,30,30,1
429,14502,2,,{6349=100},1,30,30,30,1
430,14503,2,,{6349=100},1,30,30,30,1
431,14504,2,,{6349=100},1,30,30,30,1
432,14505,2,,{6349=100},1,30,30,30,1
433,14506,2,,{6349=100},1,30,30,30,1
434,14507,2,,{6349=100},1,30,30,30,1
435,14508,2,,{6349=100},1,30,30,30,1
436,14509,2,,{6349=100},1,30,30,30,1
437,14510,2,,{6349=100},1,30,30,30,1
438,20101,2,,{6349=100},1,60,60,60,1
439,20102,2,,{6349=100},1,60,60,60,1
440,20103,2,,{6349=100},1,60,60,60,1
441,20201,2,,{6349=100},1,60,60,60,1
442,20202,2,,{6349=100},1,60,60,60,1
443,20203,2,,{6349=100},1,60,60,60,1
444,20301,2,,{6349=100},1,60,60,60,1
445,20302,2,,{6349=100},1,60,60,60,1
446,20303,2,,{6349=100},1,60,60,60,1
447,20304,2,,{6349=100},1,60,60,60,1
448,20401,2,,{6349=100},1,60,60,60,1
449,20402,2,,{6349=100},1,60,60,60,1
450,20403,2,,{6349=100},1,60,60,60,1
451,20404,2,,{6349=100},1,60,60,60,1
452,20501,2,,{6349=100},1,60,60,60,1
453,20502,2,,{6349=100},1,60,60,60,1
454,20503,2,,{6349=100},1,60,60,60,1
455,20504,2,,{6349=100},1,60,60,60,1
456,20505,2,,{6349=100},1,60,60,60,1
457,20601,2,,{6349=100},1,60,60,60,1
458,20602,2,,{6349=100},1,60,60,60,1
459,20603,2,,{6349=100},1,60,60,60,1
460,20604,2,,{6349=100},1,60,60,60,1
461,20605,2,,{6349=100},1,60,60,60,1
462,20701,2,,{6349=100},1,60,60,60,1
463,20702,2,,{6349=100},1,60,60,60,1
464,20703,2,,{6349=100},1,60,60,60,1
465,20704,2,,{6349=100},1,60,60,60,1
466,20705,2,,{6349=100},1,60,60,60,1
467,20801,2,,{6349=100},1,60,60,60,1
468,20802,2,,{6349=100},1,60,60,60,1
469,20803,2,,{6349=100},1,60,60,60,1
470,20804,2,,{6349=100},1,60,60,60,1
471,20805,2,,{6349=100},1,60,60,60,1
472,20901,2,,{6349=100},1,60,60,60,1
473,20902,2,,{6349=100},1,60,60,60,1
474,20903,2,,{6349=100},1,60,60,60,1
475,20904,2,,{6349=100},1,60,60,60,1
476,20905,2,,{6349=100},1,60,60,60,1
477,21001,2,,{6349=100},1,60,60,60,1
478,21002,2,,{6349=100},1,60,60,60,1
479,21003,2,,{6349=100},1,60,60,60,1
480,21004,2,,{6349=100},1,60,60,60,1
481,21005,2,,{6349=100},1,60,60,60,1
482,21101,2,,{6349=100},1,60,60,60,1
483,21102,2,,{6349=100},1,60,60,60,1
484,21103,2,,{6349=100},1,60,60,60,1
485,21104,2,,{6349=100},1,60,60,60,1
486,21105,2,,{6349=100},1,60,60,60,1
487,21201,2,,{6349=100},1,60,60,60,1
488,21202,2,,{6349=100},1,60,60,60,1
489,21203,2,,{6349=100},1,60,60,60,1
490,21204,2,,{6349=100},1,60,60,60,1
491,21205,2,,{6349=100},1,60,60,60,1
492,21301,2,,{6349=100},1,60,60,60,1
493,21302,2,,{6349=100},1,60,60,60,1
494,21303,2,,{6349=100},1,60,60,60,1
495,21304,2,,{6349=100},1,60,60,60,1
496,21305,2,,{6349=100},1,60,60,60,1
497,21401,2,,{6349=100},1,60,60,60,1
498,21402,2,,{6349=100},1,60,60,60,1
499,21403,2,,{6349=100},1,60,60,60,1
500,21404,2,,{6349=100},1,60,60,60,1
501,21405,2,,{6349=100},1,60,60,60,1
502,21501,2,,{6349=100},1,60,60,60,1
503,21502,2,,{6349=100},1,60,60,60,1
504,21503,2,,{6349=100},1,60,60,60,1
505,21504,2,,{6349=100},1,60,60,60,1
506,21505,2,,{6349=100},1,60,60,60,1
507,21601,2,,{6349=100},1,60,60,60,1
508,21602,2,,{6349=100},1,60,60,60,1
509,21603,2,,{6349=100},1,60,60,60,1
510,21604,2,,{6349=100},1,60,60,60,1
511,21605,2,,{6349=100},1,60,60,60,1
512,21701,2,,{6349=100},1,60,60,60,1
513,21702,2,,{6349=100},1,60,60,60,1
514,21703,2,,{6349=100},1,60,60,60,1
515,21704,2,,{6349=100},1,60,60,60,1
516,21705,2,,{6349=100},1,60,60,60,1
517,21801,2,,{6349=100},1,60,60,60,1
518,21802,2,,{6349=100},1,60,60,60,1
519,21803,2,,{6349=100},1,60,60,60,1
520,21804,2,,{6349=100},1,60,60,60,1
521,21805,2,,{6349=100},1,60,60,60,1
522,21901,2,,{6349=100},1,60,60,60,1
523,21902,2,,{6349=100},1,60,60,60,1
524,21903,2,,{6349=100},1,60,60,60,1
525,21904,2,,{6349=100},1,60,60,60,1
526,21905,2,,{6349=100},1,60,60,60,1
527,22001,2,,{6349=100},1,60,60,60,1
528,22002,2,,{6349=100},1,60,60,60,1
529,22003,2,,{6349=100},1,60,60,60,1
530,22004,2,,{6349=100},1,60,60,60,1
531,22005,2,,{6349=100},1,60,60,60,1
532,22101,2,,{6349=100},1,60,60,60,1
533,22102,2,,{6349=100},1,60,60,60,1
534,22103,2,,{6349=100},1,60,60,60,1
535,22104,2,,{6349=100},1,60,60,60,1
536,22105,2,,{6349=100},1,60,60,60,1
537,22201,2,,{6349=100},1,60,60,60,1
538,22202,2,,{6349=100},1,60,60,60,1
539,22203,2,,{6349=100},1,60,60,60,1
540,22204,2,,{6349=100},1,60,60,60,1
541,22205,2,,{6349=100},1,60,60,60,1
542,22301,2,,{6349=100},1,60,60,60,1
543,22302,2,,{6349=100},1,60,60,60,1
544,22303,2,,{6349=100},1,60,60,60,1
545,22304,2,,{6349=100},1,60,60,60,1
546,22305,2,,{6349=100},1,60,60,60,1
547,22401,2,,{6349=100},1,60,60,60,1
548,22402,2,,{6349=100},1,60,60,60,1
549,22403,2,,{6349=100},1,60,60,60,1
550,22404,2,,{6349=100},1,60,60,60,1
551,22405,2,,{6349=100},1,60,60,60,1
552,22501,2,,{6349=100},1,60,60,60,1
553,22502,2,,{6349=100},1,60,60,60,1
554,22503,2,,{6349=100},1,60,60,60,1
555,22504,2,,{6349=100},1,60,60,60,1
556,22505,2,,{6349=100},1,60,60,60,1
557,22601,2,,{6349=100},1,60,60,60,1
558,22602,2,,{6349=100},1,60,60,60,1
559,22603,2,,{6349=100},1,60,60,60,1
560,22604,2,,{6349=100},1,60,60,60,1
561,22605,2,,{6349=100},1,60,60,60,1
562,22701,2,,{6349=100},1,60,60,60,1
563,22702,2,,{6349=100},1,60,60,60,1
564,22703,2,,{6349=100},1,60,60,60,1
565,22704,2,,{6349=100},1,60,60,60,1
566,22705,2,,{6349=100},1,60,60,60,1
567,22801,2,,{6349=100},1,60,60,60,1
568,22802,2,,{6349=100},1,60,60,60,1
569,22803,2,,{6349=100},1,60,60,60,1
570,22804,2,,{6349=100},1,60,60,60,1
571,22805,2,,{6349=100},1,60,60,60,1
572,22901,2,,{6349=100},1,60,60,60,1
573,22902,2,,{6349=100},1,60,60,60,1
574,22903,2,,{6349=100},1,60,60,60,1
