变量名,_beizhu,npc,gymID,hardDegree,weight,deployType,deployNatureLimit,deployCardNumLimit,deployNum,lastJump,historyJump,_beizhu1,weatherDesc,weatherDesc_tw,weatherDesc_en,weatherDesc_vn,weatherDesc_kr,weatherDesc_pt,weatherDesc_th,palce,palce_tw,palce_en,palce_vn,palce_kr,palce_ar,palce_de,palce_fr,palce_it,palce_pt,palce_ru,palce_th,placeDesc,placeDesc_tw,placeDesc_en,placeDesc_vn,placeDesc_kr,placeDesc_ar,placeDesc_de,placeDesc_fr,placeDesc_it,placeDesc_pt,placeDesc_ru,placeDesc_th,specialEff,specialEffDesc,specialEffDesc_tw,specialEffDesc_en,specialEffDesc_vn,specialEffDesc_kr,specialEffDesc_pt,specialEffDesc_th
80013,嘎啦嘎啦,,1,2,1,1,,,,,,12,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),"[모래바람] (바위 타입 포켓몬 물리 방어력 증가, 땅 타입과 바위 타입 아닌 포켓몬 라운드 종료마다 일정 확률로 [실명] 상태로 된다)",[Tempestade de Areia] (Aumenta P.DEF de Pokémon do tipo Pedra. Todos os Pokémon não terrestres e de pedra têm chance de ficar [Cegados] no final de cada rodada),[พายุทราย] (เพิ่มพลังป้องกันกายภาพให้กับโปเกมอนประเภทหิน โปเกมอนที่ไม่ใช่ดินและหินทั้งหมดมีโอกาสที่จะ [ตาบอด] ในตอนท้ายของแต่ละรอบ),,,,,,,,,,,,,,,,,,,,,,,,,<<<9>;1;0;6%>;<<9>;7;0;10%>;<<9>;9;0;30%>>,,,,,,,
80014,,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80015,,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80016,,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80021,6岩柱子,,1,3,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<13>;1;0;7%>;<<13>;27;0;500>>,,,,,,,
80022,,,1,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80023,6岩斗士,,1,3,1,1,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<13>;24;0;10000>>,\n牛气冲天！！！,\n牛氣沖天！！！,\n Bullish! ！！,,,\n Otimista! ！！,\n หล่อจังเลย! ！！
80024,,,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80025,,,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80026,,,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80031,地面系主阵容,,1,4,1,1,,,,2,,1,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),"[모래바람] (바위 타입 포켓몬 물리 방어력 증가, 땅 타입과 바위 타입 아닌 포켓몬 라운드 종료마다 일정 확률로 [실명] 상태로 된다)",[Tempestade de Areia] (Aumenta P.DEF de Pokémon do tipo Pedra. Todos os Pokémon não terrestres e de pedra têm chance de ficar [Cegados] no final de cada rodada),[พายุทราย] (เพิ่มพลังป้องกันกายภาพให้กับโปเกมอนประเภทหิน โปเกมอนที่ไม่ใช่ดินและหินทั้งหมดมีโอกาสที่จะ [ตาบอด] ในตอนท้ายของแต่ละรอบ),,,,,,,,,,,,,,,,,,,,,,,,,<<<9;13>;1;0;8%>;<<9;13>;14;0;500>>,,,,,,,
80032,可多拉+犀牛,,1,4,1,1,,,,2,,6,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),"[모래바람] (바위 타입 포켓몬 물리 방어력 증가, 땅 타입과 바위 타입 아닌 포켓몬 라운드 종료마다 일정 확률로 [실명] 상태로 된다)",[Tempestade de Areia] (Aumenta P.DEF de Pokémon do tipo Pedra. Todos os Pokémon não terrestres e de pedra têm chance de ficar [Cegados] no final de cada rodada),[พายุทราย] (เพิ่มพลังป้องกันกายภาพให้กับโปเกมอนประเภทหิน โปเกมอนที่ไม่ใช่ดินและหินทั้งหมดมีโอกาสที่จะ [ตาบอด] ในตอนท้ายของแต่ละรอบ),,,,,,,,,,,,,,,,,,,,,,,,,<<<13>;1;0;8%>;<<13>;9;0;20%>>,,,,,,,
80033,6大钢蛇,,1,4,1,1,,,,2,,5,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),"[모래바람] (바위 타입 포켓몬 물리 방어력 증가, 땅 타입과 바위 타입 아닌 포켓몬 라운드 종료마다 일정 확률로 [실명] 상태로 된다)",[Tempestade de Areia] (Aumenta P.DEF de Pokémon do tipo Pedra. Todos os Pokémon não terrestres e de pedra têm chance de ficar [Cegados] no final de cada rodada),[พายุทราย] (เพิ่มพลังป้องกันกายภาพให้กับโปเกมอนประเภทหิน โปเกมอนที่ไม่ใช่ดินและหินทั้งหมดมีโอกาสที่จะ [ตาบอด] ในตอนท้ายของแต่ละรอบ),,,,,,,,,,,,,,,,,,,,,,,,,<<<13;9>;1;0;8%>;<<13;9>;17;0;1000>>,,,,,,,
80034,,,1,4,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80035,,,1,4,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80036,,,1,4,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80041,班基拉+固拉多,,1,5,1,1,,,,3,2,1,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),"[모래바람] (바위 타입 포켓몬 물리 방어력 증가, 땅 타입과 바위 타입 아닌 포켓몬 라운드 종료마다 일정 확률로 [실명] 상태로 된다)",[Tempestade de Areia] (Aumenta P.DEF de Pokémon do tipo Pedra. Todos os Pokémon não terrestres e de pedra têm chance de ficar [Cegados] no final de cada rodada),[พายุทราย] (เพิ่มพลังป้องกันกายภาพให้กับโปเกมอนประเภทหิน โปเกมอนที่ไม่ใช่ดินและหินทั้งหมดมีโอกาสที่จะ [ตาบอด] ในตอนท้ายของแต่ละรอบ),,,,,,,,,,,,,,,,,,,,,,,,,<<<9;13>;1;0;10%>;<<9>;23;0;1000>;<<10>;22;0;6000>>,,,,,,,
80042,固拉多,,1,5,2,1,,,,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,固拉多特别仇视飞行系精灵！\n固拉多特别仇视飞行系精灵！！\n固拉多特别仇视飞行系精灵！！！,固拉多特別仇視飛行系精靈！\n固拉多特別仇視飛行系精靈！！\n固拉多特別仇視飛行系精靈！！！,Groudon hates Flying type Pokémon in particular! \nGroudon hates Flying type Pokémon in particular! ! \nGroudon hates Flying type Pokémon in particular! ！！,404,그란돈은 비행 타입 포켓몬이 싫다!\n그란돈은 비행 타입 포켓몬이 아주 싫다!!\n그란돈은 비행 타입 포켓몬이 아주 아주 싫다!!!,Groudon odeia Pokémon do tipo Voador em particular! \nGroudon odeia Pokémon do tipo Voador em particular! ! \nGroudon odeia Pokémon do tipo Voador em particular! ！！,Groudon เกลียดโปเกมอนประเภทบินโดยเฉพาะ! \nGroudon เกลียดโปเกมอนประเภทบินโดยเฉพาะ! ! \nGroudon เกลียดโปเกมอนประเภทบินโดยเฉพาะ! ！！
80043,水晶大岩蛇,,1,5,1,1,,,,3,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<13;9>;1;0;10%>;<<13;9>;17;0;10000>;>,水晶大岩蛇免疫控制、负面效果和水属性伤害，且任何友方受到攻击水晶大岩蛇都会进行反击\n庞岩怪开场石化10回合，抵御强度提升60%\n小提示：水晶大岩蛇不怕水，那怕什么呢？,水晶大巖蛇免疫控制、負面效果和水屬性傷害，且任何友方受到攻擊水晶大巖蛇都會進行反擊\n龐巖怪開場石化10回合，抵禦強度提升60%\n小提示：水晶大巖蛇不怕水，那怕什麽呢？,"The Crystal Onix is immune to control, negative effects and water type damage, and any attack to Crystal Onix’s ally will leads to a counterattack.\nGigalith Petrify itself for 10 rounds at start, and its Block Power is increased by 60%.\nSmall tip: The Crystal Onix is not afraid of water , then what is it afraid of?",404,"크리스털 롱스톤은 제어, 디버프 효과와 물 타입 피해에 면역된다. 어군 포켓몬이 공격받으면 크리스털 롱스톤은 반격한다\n기가이어스는 전투 시작 후 1턴 간 석화 상태로 되어 저항 강도 6% 증가한다\n팁: 크리스털 롱스톤은 물을 무서워하지 않는데 무엇을 무서워할 수 있을까?","O Crystal Onix é imune a controle, efeitos negativos e danos do tipo água, e qualquer ataque ao aliado do Crystal Onix levará a um contra-ataque.\nGigalith se petrifica por 10 rodadas no início, e seu Poder de Bloqueio é aumentado em 60%.\nPequena dica: O Crystal Onix não tem medo de água, então do que ele tem medo?",Crystal Onix นั้นไม่สามารถรับผลกระทบจากการควบคุม ผลกระทบเชิงลบ และความเสียหายประเภทน้ำได้ และการโจมตีใดๆ ต่อพันธมิตรของ Crystal Onix จะส่งผลให้เกิดการโจมตีสวนกลับ\nGigalith จะทำให้ตัวมันกลายเป็นหินเป็นเวลา 10 รอบในตอนเริ่มต้น และพลังการบล็อกจะเพิ่มขึ้น 60%\nเคล็ดลับเล็กๆ น้อยๆ: Crystal Onix ไม่กลัวน้ำ แล้วมันจะกลัวอะไรล่ะ?
80044,哥斯拉大战金刚,,1,5,1,1,,,,3,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L10#哥斯拉大战金刚#L0#\n\n在究极巨兽面前，人类是多么的渺小,#L10#哥斯拉大戰金剛#L0#\n\n在究極巨獸面前，人類是多麽的渺小,#L10#Godzilla vs. Kong#L0#\n\nHow small are human beings are in front of the ultimate monster,404,#L10#고질라와 금강의 대결#L0#\n\n큰 몬스터 앞에서 인간은 얼마나 작을까,#L10#Godzilla vs. Kong#L0#\n\nQuão pequenos são os seres humanos diante do monstro supremo,#L10#Godzilla vs. Kong#L0#\n\nมนุษย์ตัวเล็กแค่ไหนเมื่ออยู่ต่อหน้าสัตว์ประหลาดตัวใหญ่
80045,,,1,5,0,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80046,,,1,5,0,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80051,岩地馆主,TRUE,1,,100,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80101,水系送分,,2,11,1,1,,,,,,1,【雨天】（水系精灵速度提升，火系精灵伤害降低，每个大回合结束时驱散全体精灵一部分负面效果）,【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)","[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)","[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다)","[Rainy] (Aumenta a velocidade dos Pokémon do tipo água, reduz o dano dos Pokémon do tipo fogo. No final de cada rodada, parte dos efeitos negativos em todos os Pokémon são dissipados)",[ฝนตก] (เพิ่มความเร็วของโปเกมอนประเภทน้ำ ลดความเสียหายของโปเกมอนประเภทไฟ ในตอนท้ายของแต่ละรอบ เอฟเฟกต์เชิงลบบางส่วนบนโปเกมอนทั้งหมดจะถูกลบออกไป),,,,,,,,,,,,,,,,,,,,,,,,,<<<3>;1;0;5%>;<<2>;22;1;2000>>,,,,,,,
80102,冰系送分,,2,11,1,1,,,,,,2,【雪天】（冰系精灵双防提升，所有非冰系精灵每大回合结束时受到一定冰元素伤害，并有几率被【冰冻】）,【雪天】（冰系精靈雙防提升，所有非冰系精靈每大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다),"[Neve] (Aumenta a DEF P. e Sp. do tipo Gelo do Pokémon, todos os Pokémon que não sejam do tipo Gelo sofrem uma certa quantidade de dano de gelo no final de cada rodada e têm chance de serem [Congelados])",[หิมะ] (เพิ่มพลังป้องกัน P. & Sp. DEF ของโปเกมอนประเภทน้ำแข็ง โปเกมอนที่ไม่ใช่ประเภทน้ำแข็งทั้งหมดจะได้รับความเสียหายจากน้ำแข็งจำนวนหนึ่งเมื่อจบแต่ละรอบ และมีโอกาสที่จะถูก [แช่แข็ง]),,,,,,,,,,,,,,,,,,,,,,,,,<<<6>;1;0;5%>>,,,,,,,
80103,水冰送分,,2,11,1,1,,,,,,7,【雨天】（水系精灵速度提升，火系精灵伤害降低，每个大回合结束时驱散全体精灵一部分负面效果）\n【雪天】（冰系精灵双防提升，所有非冰系精灵每个大回合结束时受到一定冰元素伤害，并有几率被【冰冻】）,【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）\n【雪天】（冰系精靈雙防提升，所有非冰系精靈每個大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다) \n[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다)","[Chuvoso] (Aumenta a velocidade de Pokémon do tipo água, reduz o dano de Pokémon do tipo fogo. No final de cada rodada, parte dos efeitos negativos em todos os Pokémon são dissipados) \n[Neve] (Aumenta a DEF P. e Sp. do Pokémon do tipo gelo, todos os Pokémon do tipo não gelo sofrem uma certa quantidade de dano de gelo no final de cada rodada e têm chance de serem [Congelados])",[ฝน] (เพิ่มความเร็วของโปเกมอนประเภทน้ำ ลดความเสียหายของโปเกมอนประเภทไฟ ในตอนท้ายของแต่ละรอบ เอฟเฟกต์เชิงลบบางส่วนบนโปเกมอนทั้งหมดจะถูกลบล้าง) \n[หิมะ] (เพิ่มพลังป้องกัน P. & Sp. ของโปเกมอนประเภทน้ำแข็ง โปเกมอนที่ไม่ใช่ประเภทน้ำแข็งทั้งหมดได้รับความเสียหายจากน้ำแข็งจำนวนหนึ่งในตอนท้ายของแต่ละรอบ และมีโอกาสที่จะถูก [แช่แข็ง]),,,,,,,,,,,,,,,,,,,,,,,,,<<<3;6>;1;0;5%>>,,,,,,,
80104,,,2,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80105,,,2,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80106,,,2,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80111,水系御三家,,2,12,1,1,,,,,,1,【雨天】（水系精灵速度提升，火系精灵伤害降低，每个大回合结束时驱散全体精灵一部分负面效果）,【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)","[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)","[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다)","[Rainy] (Aumenta a velocidade dos Pokémon do tipo água, reduz o dano dos Pokémon do tipo fogo. No final de cada rodada, parte dos efeitos negativos em todos os Pokémon são dissipados)",[ฝนตก] (เพิ่มความเร็วของโปเกมอนประเภทน้ำ ลดความเสียหายของโปเกมอนประเภทไฟ ในตอนท้ายของแต่ละรอบ เอฟเฟกต์เชิงลบบางส่วนบนโปเกมอนทั้งหมดจะถูกลบออกไป),,,,,,,,,,,,,,,,,,,,,,,,,<<<3>;1;0;6%>>,\n进化の奥义,\n進化の奧義,\n Ultimate Evolution,404,\n진화의 오의,\n Evolução Definitiva,\n วิวัฒนาการขั้นสุดยอด
