变量名,levelExp,staminaMax,staminaGive,rmbGoldGive,featureUnlock,featureUnlock_tw,featureUnlock_en,featureUnlock_vn,benchUnlock,lianJinGold,cardLevelMax,equipAdvanceMax,runeUnlock,unionTrainingFix,explorePointMax,skillPointMax,languages
36,780,115,60,0,,,,,-1,37200,36,36,0,18,20,35,
37,820,116,60,0,,,,,-1,37600,37,37,0,18,20,35,
38,860,117,60,0,,,,,-1,38000,38,38,3,18,20,35,
39,890,118,60,0,,,,,-1,38400,39,39,0,18,20,35,
40,920,119,60,0,,,,,-1,38800,40,40,0,18,20,40,
41,1020,120,70,0,,,,,-1,39200,41,41,0,26,20,40,
42,1120,121,70,0,,,,,-1,39600,42,42,0,26,20,40,
43,1220,122,70,0,,,,,-1,40000,43,43,4,26,20,40,
44,1320,123,70,0,,,,,-1,40400,44,44,0,26,20,40,
45,1420,124,70,0,,,,,-1,40800,45,45,0,26,20,40,
46,1520,125,70,0,,,,,-1,41200,46,46,0,34,20,40,
47,1620,126,70,0,,,,,-1,41600,47,47,0,34,20,40,
48,1720,127,70,0,,,,,-1,42000,48,48,0,34,20,40,
49,1820,128,70,0,,,,,-1,42400,49,49,0,34,20,40,
50,1920,129,70,0,,,,,-1,42800,50,50,0,34,20,45,
51,1960,130,80,0,,,,,-1,43200,51,51,0,42,20,45,
52,2160,131,80,0,,,,,-1,43600,52,52,0,42,20,45,
53,2360,132,80,0,,,,,-1,44000,53,53,0,42,20,45,
54,2560,133,80,0,,,,,-1,44400,54,54,0,42,20,45,
55,2760,134,80,0,,,,,-1,44800,55,55,0,42,20,45,
56,3060,135,80,0,,,,,-1,45200,56,56,0,50,20,45,
57,3360,136,80,0,,,,,-1,45600,57,57,0,50,20,45,
58,3660,137,80,0,,,,,-1,46000,58,58,0,50,20,45,
59,3960,138,80,0,,,,,-1,46400,59,59,0,50,20,45,
60,4260,139,80,0,,,,,-1,46800,60,60,0,50,20,50,
61,4600,140,90,0,,,,,-1,47200,61,61,0,60,20,50,
62,4940,141,90,0,,,,,-1,47600,62,62,0,60,20,50,
63,5280,142,90,0,,,,,-1,48000,63,63,0,60,20,50,
64,5620,143,90,0,,,,,-1,48400,64,64,0,60,20,50,
65,5960,144,90,0,,,,,-1,48800,65,65,0,60,20,50,
66,6760,145,90,0,,,,,-1,49200,66,66,0,70,20,50,
67,7560,146,90,0,,,,,-1,49600,67,67,0,70,20,50,
68,8360,147,90,0,,,,,-1,50000,68,68,0,70,20,50,
69,9160,148,90,0,,,,,-1,50400,69,69,0,70,20,50,
70,9960,149,90,0,,,,,-1,50800,70,70,0,70,20,55,
71,10800,150,90,0,,,,,-1,51200,71,71,0,80,20,55,
72,11640,151,100,0,,,,,-1,51600,72,72,0,80,20,55,
73,12480,152,100,0,,,,,-1,52000,73,73,0,80,20,55,
74,13320,153,100,0,,,,,-1,52400,74,74,0,80,20,55,
75,14160,154,100,0,,,,,-1,52800,75,75,0,80,20,55,
76,15000,155,100,0,,,,,-1,53200,76,76,0,90,20,55,
77,15840,156,100,0,,,,,-1,53600,77,77,0,90,20,55,
78,16680,157,100,0,,,,,-1,54000,78,78,0,90,20,55,
79,17520,158,100,0,,,,,-1,54400,79,79,0,90,20,55,
80,18360,159,100,0,,,,,-1,54800,80,80,0,90,20,60,
81,18840,160,110,0,,,,,-1,55200,81,81,0,100,20,60,
82,19320,161,110,0,,,,,-1,55600,82,82,0,100,20,60,
83,19800,162,110,0,,,,,-1,56000,83,83,0,100,20,60,
84,20280,163,110,0,,,,,-1,56400,84,84,0,100,20,60,
85,20760,164,110,0,,,,,-1,56800,85,85,0,100,20,60,
86,21240,165,110,0,,,,,-1,57200,86,86,0,120,20,60,
87,21720,166,110,0,,,,,-1,57600,87,87,0,120,20,60,
88,22200,167,110,0,,,,,-1,58000,88,88,0,120,20,60,
89,22680,168,110,0,,,,,-1,58400,89,89,0,120,20,60,
90,23160,169,110,0,,,,,-1,58800,90,90,0,120,20,65,
91,23700,170,120,0,,,,,-1,59200,91,91,0,150,20,65,
92,24240,171,120,0,,,,,-1,59600,92,92,0,150,20,65,
93,24780,172,120,0,,,,,-1,60000,93,93,0,150,20,65,
94,25320,173,120,0,,,,,-1,60400,94,94,0,150,20,65,
95,26070,174,120,0,,,,,-1,60800,95,95,0,150,20,65,
96,26820,175,120,0,,,,,-1,61200,96,96,0,180,20,65,
97,27570,176,120,0,,,,,-1,61600,97,97,0,180,20,65,
98,28320,177,120,0,,,,,-1,62000,98,98,0,180,20,65,
99,29070,178,120,0,,,,,-1,62400,99,99,0,180,20,65,
100,30270,179,130,0,,,,,-1,62800,100,100,0,180,20,65,
101,31170,180,130,0,,,,,-1,63200,101,101,0,200,20,70,
102,32070,181,130,0,,,,,-1,63600,102,102,0,200,20,70,
103,32970,182,130,0,,,,,-1,64000,103,103,0,200,20,70,
104,33870,183,130,0,,,,,-1,64400,104,104,0,200,20,70,
105,34717,184,130,0,,,,,-1,64800,105,105,0,200,20,70,
106,35585,185,130,0,,,,,-1,65200,106,106,0,220,20,75,
107,36474,186,130,0,,,,,-1,65600,107,107,0,220,20,75,
108,37386,187,130,0,,,,,-1,66000,108,108,0,220,20,75,
109,38321,188,130,0,,,,,-1,66400,109,109,0,220,20,75,
110,39279,189,130,0,,,,,-1,66800,110,110,0,220,20,75,
111,40261,190,140,0,,,,,-1,67200,111,111,0,250,20,80,
112,41267,191,140,0,,,,,-1,67600,112,112,0,250,20,80,
113,42299,192,140,0,,,,,-1,68000,113,113,0,250,20,80,
114,43356,193,140,0,,,,,-1,68400,114,114,0,250,20,80,
115,44440,194,140,0,,,,,-1,68800,115,115,0,250,20,80,
116,45551,195,140,0,,,,,-1,69200,116,116,0,280,20,85,
117,46690,196,140,0,,,,,-1,69600,117,117,0,280,20,85,
118,47857,197,140,0,,,,,-1,70000,118,118,0,280,20,85,
119,49054,198,140,0,,,,,-1,70400,119,119,0,280,20,85,
120,50280,199,140,0,,,,,-1,70800,120,120,0,280,20,85,
121,51537,200,150,0,,,,,-1,71200,121,121,0,300,20,90,
122,52826,201,150,0,,,,,-1,71600,122,122,0,300,20,90,
123,54146,202,150,0,,,,,-1,72000,123,123,0,300,20,90,
124,55500,203,150,0,,,,,-1,72400,124,124,0,300,20,90,
,56887,204,150,0,,,,,-1,72800,125,125,0,300,20,90,
,58310,205,150,0,,,,,-1,73200,126,126,0,320,20,95,
,59767,206,150,0,,,,,-1,73600,127,127,0,320,20,95,
,61262,207,150,0,,,,,-1,74000,128,128,0,320,20,95,
,62793,208,150,0,,,,,-1,74400,129,129,0,320,20,95,
,64363,209,150,0,,,,,-1,74800,130,130,0,320,20,95,
,65972,210,160,0,,,,,-1,75200,131,131,0,350,20,100,
,67621,211,160,0,,,,,-1,75600,132,132,0,350,20,100,
,69312,212,160,0,,,,,-1,76000,133,133,0,350,20,100,
,71045,213,160,0,,,,,-1,76400,134,134,0,350,20,100,
,72821,214,160,0,,,,,-1,76800,135,135,0,350,20,100,
,74641,215,160,0,,,,,-1,77200,136,136,0,380,20,105,
,76507,216,160,0,,,,,-1,77600,137,137,0,380,20,105,
,78420,217,160,0,,,,,-1,78000,138,138,0,380,20,105,
,80380,218,160,0,,,,,-1,78400,139,139,0,380,20,105,
,82390,219,160,0,,,,,-1,78800,140,140,0,380,20,105,
,84450,220,170,0,,,,,-1,79200,141,141,0,400,20,110,
,86561,221,170,0,,,,,-1,79600,142,142,0,400,20,110,
,88725,222,170,0,,,,,-1,80000,143,143,0,400,20,110,
,90943,223,170,0,,,,,-1,80400,144,144,0,400,20,110,
,93217,224,170,0,,,,,-1,80800,145,145,0,400,20,110,
,95547,225,170,0,,,,,-1,81200,146,146,0,420,20,115,
,97936,226,170,0,,,,,-1,81600,147,147,0,420,20,115,
,100384,227,170,0,,,,,-1,82000,148,148,0,420,20,115,
,102894,228,170,0,,,,,-1,82400,149,149,0,420,20,115,
,105466,229,170,0,,,,,-1,82800,150,150,0,420,20,115,
,110739,230,180,0,,,,,-1,83200,151,151,0,450,20,120,
,116276,231,180,0,,,,,-1,83600,152,152,0,450,20,120,
,122090,232,180,0,,,,,-1,84000,153,153,0,450,20,120,
,128195,233,180,0,,,,,-1,84400,154,154,0,450,20,120,
,134604,234,180,0,,,,,-1,84800,155,155,0,450,20,120,
,141335,235,180,0,,,,,-1,85200,156,156,0,480,20,125,
,148401,236,180,0,,,,,-1,85600,157,157,0,480,20,125,
,155821,237,180,0,,,,,-1,86000,158,158,0,480,20,125,
,163612,238,180,0,,,,,-1,86400,159,159,0,480,20,125,
,171793,239,180,0,,,,,-1,86800,160,160,0,480,20,125,
,180383,240,190,0,,,,,-1,87200,161,161,0,500,20,130,
,189402,241,190,0,,,,,-1,87600,162,162,0,500,20,130,
,198872,242,190,0,,,,,-1,88000,163,163,0,500,20,130,
,208815,243,190,0,,,,,-1,88400,164,164,0,500,20,130,
,219256,244,190,0,,,,,-1,88800,165,165,0,500,20,130,
,230219,245,190,0,,,,,-1,89200,166,166,0,520,20,135,
,241730,246,190,0,,,,,-1,89600,167,167,0,520,20,135,
,253817,247,190,0,,,,,-1,90000,168,168,0,520,20,135,
,266507,248,190,0,,,,,-1,90400,169,169,0,520,20,135,
,279833,249,190,0,,,,,-1,90800,170,170,0,520,20,135,
,293824,250,200,0,,,,,-1,91200,171,171,0,550,20,140,
,308516,251,200,0,,,,,-1,91600,172,172,0,550,20,140,
,323941,252,200,0,,,,,-1,92000,173,173,0,550,20,140,
,340138,253,200,0,,,,,-1,92400,174,174,0,550,20,140,
,357145,254,200,0,,,,,-1,92800,175,175,0,550,20,140,
,375003,255,200,0,,,,,-1,93200,176,176,0,580,20,145,
,393753,256,200,0,,,,,-1,93600,177,177,0,580,20,145,
,413440,257,200,0,,,,,-1,94000,178,178,0,580,20,145,
,434112,258,200,0,,,,,-1,94400,179,179,0,580,20,145,
,455818,259,200,0,,,,,-1,94800,180,180,0,580,20,145,
