变量名,equip_id,stage,costGold,costItemMap
10043,11001,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
10051,11002,1,5000,{100=1}
10052,11002,2,10000,{100=1}
10053,11002,3,15000,{100=1}
10054,11002,4,20000,{5005=4;5004=4;5006=4;100=1}
10055,11002,5,25000,{5009=4;5007=4;5008=4;100=1}
10056,11002,6,30000,{5010=6;5012=6;5011=6;100=1}
10057,11002,7,35000,{5010=8;5012=8;5011=8;100=2}
10058,11002,8,40000,{5014=10;5015=10;5013=10;100=2}
10059,11002,9,50000,{5014=12;5015=12;5013=12;100=4}
10060,11002,10,60000,{5016=16;5017=16;5018=16;100=4}
10061,11002,11,80000,{5016=20;5017=20;5018=20;100=6}
10062,11002,12,100000,{5021=32;5020=32;5019=32;100=6}
10063,11002,13,120000,{5021=48;5020=48;5019=48;100=9}
10064,11002,14,140000,{5024=72;5023=72;5022=72;100=12}
10065,11002,15,160000,{5024=108;5023=108;5022=108;100=18}
10066,11002,16,180000,{5025=144;5026=144;5027=144;100=24}
10067,11002,17,200000,{5028=200;5030=200;5029=200;100=30}
10068,11002,18,220000,{5032=300;5031=300;5033=300;100=36}
10069,11002,19,240000,{5034=400;5035=400;5036=400;100=42}
10070,11002,20,260000,{5037=440;5039=440;5038=440;100=48}
10071,11002,21,300000,{5040=480;5042=480;5041=480;100=54}
10072,11002,22,350000,{5043=520;5045=520;5044=520;100=60}
10073,11002,23,400000,{5048=560;5047=560;5046=560;100=66}
10074,11002,24,450000,{5049=600;5050=600;5051=600;100=72}
10075,11002,25,500000,{5053=640;5054=640;5052=640;100=78}
10076,11002,26,550000,{5055=680;5057=680;100=84;5056=680}
10077,11002,27,600000,{5058=720;5059=720;100=90;5060=720}
10078,11002,28,650000,{5061=760;5063=760;100=96;5062=760}
10079,11002,29,700000,{5064=800;5065=800;100=102;5066=800}
10080,11002,30,750000,{5064=840;5065=840;100=108;5066=840}
10081,11002,31,800000,{5070=880;5072=880;100=114;5071=880}
10082,11002,32,850000,{5075=920;100=120;5073=920;5074=920}
10083,11002,33,900000,{5077=960;5078=960;100=126;5076=960}
10084,11002,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
10085,11002,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
10086,11002,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
10087,11002,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
10088,11002,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
10089,11002,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
10090,11002,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
10091,11002,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
10092,11002,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
10093,11002,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
10101,11003,1,5000,{100=1}
10102,11003,2,10000,{100=1}
10103,11003,3,15000,{100=1}
10104,11003,4,20000,{5005=4;5004=4;5006=4;100=1}
10105,11003,5,25000,{5009=4;5007=4;5008=4;100=1}
10106,11003,6,30000,{5010=6;5012=6;5011=6;100=1}
10107,11003,7,35000,{5010=8;5012=8;5011=8;100=2}
10108,11003,8,40000,{5014=10;5015=10;5013=10;100=2}
10109,11003,9,50000,{5014=12;5015=12;5013=12;100=4}
10110,11003,10,60000,{5016=16;5017=16;5018=16;100=4}
10111,11003,11,80000,{5016=20;5017=20;5018=20;100=6}
10112,11003,12,100000,{5021=32;5020=32;5019=32;100=6}
10113,11003,13,120000,{5021=48;5020=48;5019=48;100=9}
10114,11003,14,140000,{5024=72;5023=72;5022=72;100=12}
10115,11003,15,160000,{5024=108;5023=108;5022=108;100=18}
10116,11003,16,180000,{5025=144;5026=144;5027=144;100=24}
10117,11003,17,200000,{5028=200;5030=200;5029=200;100=30}
10118,11003,18,220000,{5032=300;5031=300;5033=300;100=36}
10119,11003,19,240000,{5034=400;5035=400;5036=400;100=42}
10120,11003,20,260000,{5037=440;5039=440;5038=440;100=48}
10121,11003,21,300000,{5040=480;5042=480;5041=480;100=54}
10122,11003,22,350000,{5043=520;5045=520;5044=520;100=60}
10123,11003,23,400000,{5048=560;5047=560;5046=560;100=66}
10124,11003,24,450000,{5049=600;5050=600;5051=600;100=72}
10125,11003,25,500000,{5053=640;5054=640;5052=640;100=78}
10126,11003,26,550000,{5055=680;5057=680;100=84;5056=680}
10127,11003,27,600000,{5058=720;5059=720;100=90;5060=720}
10128,11003,28,650000,{5061=760;5063=760;100=96;5062=760}
10129,11003,29,700000,{5064=800;5065=800;100=102;5066=800}
10130,11003,30,750000,{5064=840;5065=840;100=108;5066=840}
10131,11003,31,800000,{5070=880;5072=880;100=114;5071=880}
10132,11003,32,850000,{5075=920;100=120;5073=920;5074=920}
10133,11003,33,900000,{5077=960;5078=960;100=126;5076=960}
10134,11003,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
10135,11003,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
10136,11003,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
10137,11003,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
10138,11003,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
10139,11003,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
10140,11003,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
10141,11003,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
10142,11003,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
10143,11003,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
10151,11004,1,5000,{100=1}
10152,11004,2,10000,{100=1}
10153,11004,3,15000,{100=1}
10154,11004,4,20000,{5005=4;5004=4;5006=4;100=1}
10155,11004,5,25000,{5009=4;5007=4;5008=4;100=1}
10156,11004,6,30000,{5010=6;5012=6;5011=6;100=1}
10157,11004,7,35000,{5010=8;5012=8;5011=8;100=2}
10158,11004,8,40000,{5014=10;5015=10;5013=10;100=2}
10159,11004,9,50000,{5014=12;5015=12;5013=12;100=4}
10160,11004,10,60000,{5016=16;5017=16;5018=16;100=4}
10161,11004,11,80000,{5016=20;5017=20;5018=20;100=6}
10162,11004,12,100000,{5021=32;5020=32;5019=32;100=6}
10163,11004,13,120000,{5021=48;5020=48;5019=48;100=9}
10164,11004,14,140000,{5024=72;5023=72;5022=72;100=12}
10165,11004,15,160000,{5024=108;5023=108;5022=108;100=18}
10166,11004,16,180000,{5025=144;5026=144;5027=144;100=24}
10167,11004,17,200000,{5028=200;5030=200;5029=200;100=30}
10168,11004,18,220000,{5032=300;5031=300;5033=300;100=36}
10169,11004,19,240000,{5034=400;5035=400;5036=400;100=42}
10170,11004,20,260000,{5037=440;5039=440;5038=440;100=48}
10171,11004,21,300000,{5040=480;5042=480;5041=480;100=54}
10172,11004,22,350000,{5043=520;5045=520;5044=520;100=60}
10173,11004,23,400000,{5048=560;5047=560;5046=560;100=66}
10174,11004,24,450000,{5049=600;5050=600;5051=600;100=72}
10175,11004,25,500000,{5053=640;5054=640;5052=640;100=78}
10176,11004,26,550000,{5055=680;5057=680;100=84;5056=680}
10177,11004,27,600000,{5058=720;5059=720;100=90;5060=720}
10178,11004,28,650000,{5061=760;5063=760;100=96;5062=760}
10179,11004,29,700000,{5064=800;5065=800;100=102;5066=800}
10180,11004,30,750000,{5064=840;5065=840;100=108;5066=840}
10181,11004,31,800000,{5070=880;5072=880;100=114;5071=880}
10182,11004,32,850000,{5075=920;100=120;5073=920;5074=920}
10183,11004,33,900000,{5077=960;5078=960;100=126;5076=960}
10184,11004,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
10185,11004,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
10186,11004,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
10187,11004,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
10188,11004,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
10189,11004,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
10190,11004,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
10191,11004,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
10192,11004,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
10193,11004,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
10501,11011,1,5000,{100=1}
10502,11011,2,10000,{100=1}
10503,11011,3,15000,{100=1}
10504,11011,4,20000,{5005=4;5004=4;5006=4;100=1}
10505,11011,5,25000,{5009=4;5007=4;5008=4;100=1}
10506,11011,6,30000,{5010=6;5012=6;5011=6;100=1}
10507,11011,7,35000,{5010=8;5012=8;5011=8;100=2}
10508,11011,8,40000,{5014=10;5015=10;5013=10;100=2}
10509,11011,9,50000,{5014=12;5015=12;5013=12;100=4}
10510,11011,10,60000,{5016=16;5017=16;5018=16;100=4}
10511,11011,11,80000,{5016=20;5017=20;5018=20;100=6}
10512,11011,12,100000,{5021=32;5020=32;5019=32;100=6}
10513,11011,13,120000,{5021=48;5020=48;5019=48;100=9}
10514,11011,14,140000,{5024=72;5023=72;5022=72;100=12}
10515,11011,15,160000,{5024=108;5023=108;5022=108;100=18}
10516,11011,16,180000,{5025=144;5026=144;5027=144;100=24}
10517,11011,17,200000,{5028=200;5030=200;5029=200;100=30}
10518,11011,18,220000,{5032=300;5031=300;5033=300;100=36}
10519,11011,19,240000,{5034=400;5035=400;5036=400;100=42}
10520,11011,20,260000,{5037=440;5039=440;5038=440;100=48}
10521,11011,21,300000,{5040=480;5042=480;5041=480;100=54}
10522,11011,22,350000,{5043=520;5045=520;5044=520;100=60}
10523,11011,23,400000,{5048=560;5047=560;5046=560;100=66}
10524,11011,24,450000,{5049=600;5050=600;5051=600;100=72}
10525,11011,25,500000,{5053=640;5054=640;5052=640;100=78}
10526,11011,26,550000,{5055=680;5057=680;100=84;5056=680}
10527,11011,27,600000,{5058=720;5059=720;100=90;5060=720}
10528,11011,28,650000,{5061=760;5063=760;100=96;5062=760}
10529,11011,29,700000,{5064=800;5065=800;100=102;5066=800}
10530,11011,30,750000,{5064=840;5065=840;100=108;5066=840}
10531,11011,31,800000,{5070=880;5072=880;100=114;5071=880}
10532,11011,32,850000,{5075=920;100=120;5073=920;5074=920}
10533,11011,33,900000,{5077=960;5078=960;100=126;5076=960}
10534,11011,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
10535,11011,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
10536,11011,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
10537,11011,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
10538,11011,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
10539,11011,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
10540,11011,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
10541,11011,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
10542,11011,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
10543,11011,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
10551,11012,1,5000,{100=1}
10552,11012,2,10000,{100=1}
10553,11012,3,15000,{100=1}
10554,11012,4,20000,{5005=4;5004=4;5006=4;100=1}
10555,11012,5,25000,{5009=4;5007=4;5008=4;100=1}
10556,11012,6,30000,{5010=6;5012=6;5011=6;100=1}
10557,11012,7,35000,{5010=8;5012=8;5011=8;100=2}
10558,11012,8,40000,{5014=10;5015=10;5013=10;100=2}
10559,11012,9,50000,{5014=12;5015=12;5013=12;100=4}
10560,11012,10,60000,{5016=16;5017=16;5018=16;100=4}
10561,11012,11,80000,{5016=20;5017=20;5018=20;100=6}
10562,11012,12,100000,{5021=32;5020=32;5019=32;100=6}
10563,11012,13,120000,{5021=48;5020=48;5019=48;100=9}
10564,11012,14,140000,{5024=72;5023=72;5022=72;100=12}
10565,11012,15,160000,{5024=108;5023=108;5022=108;100=18}
10566,11012,16,180000,{5025=144;5026=144;5027=144;100=24}
10567,11012,17,200000,{5028=200;5030=200;5029=200;100=30}
10568,11012,18,220000,{5032=300;5031=300;5033=300;100=36}
10569,11012,19,240000,{5034=400;5035=400;5036=400;100=42}
10570,11012,20,260000,{5037=440;5039=440;5038=440;100=48}
10571,11012,21,300000,{5040=480;5042=480;5041=480;100=54}
10572,11012,22,350000,{5043=520;5045=520;5044=520;100=60}
10573,11012,23,400000,{5048=560;5047=560;5046=560;100=66}
10574,11012,24,450000,{5049=600;5050=600;5051=600;100=72}
10575,11012,25,500000,{5053=640;5054=640;5052=640;100=78}
10576,11012,26,550000,{5055=680;5057=680;100=84;5056=680}
10577,11012,27,600000,{5058=720;5059=720;100=90;5060=720}
10578,11012,28,650000,{5061=760;5063=760;100=96;5062=760}
10579,11012,29,700000,{5064=800;5065=800;100=102;5066=800}
10580,11012,30,750000,{5064=840;5065=840;100=108;5066=840}
10581,11012,31,800000,{5070=880;5072=880;100=114;5071=880}
10582,11012,32,850000,{5075=920;100=120;5073=920;5074=920}
10583,11012,33,900000,{5077=960;5078=960;100=126;5076=960}
10584,11012,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
10585,11012,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
10586,11012,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
10587,11012,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
10588,11012,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
10589,11012,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
10590,11012,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
10591,11012,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
10592,11012,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
10593,11012,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
10601,11013,1,5000,{100=1}
10602,11013,2,10000,{100=1}
10603,11013,3,15000,{100=1}
10604,11013,4,20000,{5005=4;5004=4;5006=4;100=1}
10605,11013,5,25000,{5009=4;5007=4;5008=4;100=1}
10606,11013,6,30000,{5010=6;5012=6;5011=6;100=1}
10607,11013,7,35000,{5010=8;5012=8;5011=8;100=2}
10608,11013,8,40000,{5014=10;5015=10;5013=10;100=2}
10609,11013,9,50000,{5014=12;5015=12;5013=12;100=4}
10610,11013,10,60000,{5016=16;5017=16;5018=16;100=4}
10611,11013,11,80000,{5016=20;5017=20;5018=20;100=6}
10612,11013,12,100000,{5021=32;5020=32;5019=32;100=6}
10613,11013,13,120000,{5021=48;5020=48;5019=48;100=9}
10614,11013,14,140000,{5024=72;5023=72;5022=72;100=12}
10615,11013,15,160000,{5024=108;5023=108;5022=108;100=18}
10616,11013,16,180000,{5025=144;5026=144;5027=144;100=24}
10617,11013,17,200000,{5028=200;5030=200;5029=200;100=30}
10618,11013,18,220000,{5032=300;5031=300;5033=300;100=36}
10619,11013,19,240000,{5034=400;5035=400;5036=400;100=42}
10620,11013,20,260000,{5037=440;5039=440;5038=440;100=48}
10621,11013,21,300000,{5040=480;5042=480;5041=480;100=54}
10622,11013,22,350000,{5043=520;5045=520;5044=520;100=60}
10623,11013,23,400000,{5048=560;5047=560;5046=560;100=66}
10624,11013,24,450000,{5049=600;5050=600;5051=600;100=72}
10625,11013,25,500000,{5053=640;5054=640;5052=640;100=78}
10626,11013,26,550000,{5055=680;5057=680;100=84;5056=680}
10627,11013,27,600000,{5058=720;5059=720;100=90;5060=720}
10628,11013,28,650000,{5061=760;5063=760;100=96;5062=760}
10629,11013,29,700000,{5064=800;5065=800;100=102;5066=800}
10630,11013,30,750000,{5064=840;5065=840;100=108;5066=840}
10631,11013,31,800000,{5070=880;5072=880;100=114;5071=880}
10632,11013,32,850000,{5075=920;100=120;5073=920;5074=920}
10633,11013,33,900000,{5077=960;5078=960;100=126;5076=960}
10634,11013,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
10635,11013,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
10636,11013,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
10637,11013,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
10638,11013,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
10639,11013,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
10640,11013,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
10641,11013,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
10642,11013,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
10643,11013,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
10651,11014,1,5000,{100=1}
10652,11014,2,10000,{100=1}
10653,11014,3,15000,{100=1}
10654,11014,4,20000,{5005=4;5004=4;5006=4;100=1}
10655,11014,5,25000,{5009=4;5007=4;5008=4;100=1}
10656,11014,6,30000,{5010=6;5012=6;5011=6;100=1}
10657,11014,7,35000,{5010=8;5012=8;5011=8;100=2}
10658,11014,8,40000,{5014=10;5015=10;5013=10;100=2}
10659,11014,9,50000,{5014=12;5015=12;5013=12;100=4}
10660,11014,10,60000,{5016=16;5017=16;5018=16;100=4}
10661,11014,11,80000,{5016=20;5017=20;5018=20;100=6}
10662,11014,12,100000,{5021=32;5020=32;5019=32;100=6}
10663,11014,13,120000,{5021=48;5020=48;5019=48;100=9}
10664,11014,14,140000,{5024=72;5023=72;5022=72;100=12}
10665,11014,15,160000,{5024=108;5023=108;5022=108;100=18}
10666,11014,16,180000,{5025=144;5026=144;5027=144;100=24}
10667,11014,17,200000,{5028=200;5030=200;5029=200;100=30}
10668,11014,18,220000,{5032=300;5031=300;5033=300;100=36}
10669,11014,19,240000,{5034=400;5035=400;5036=400;100=42}
10670,11014,20,260000,{5037=440;5039=440;5038=440;100=48}
10671,11014,21,300000,{5040=480;5042=480;5041=480;100=54}
10672,11014,22,350000,{5043=520;5045=520;5044=520;100=60}
10673,11014,23,400000,{5048=560;5047=560;5046=560;100=66}
10674,11014,24,450000,{5049=600;5050=600;5051=600;100=72}
10675,11014,25,500000,{5053=640;5054=640;5052=640;100=78}
10676,11014,26,550000,{5055=680;5057=680;100=84;5056=680}
10677,11014,27,600000,{5058=720;5059=720;100=90;5060=720}
10678,11014,28,650000,{5061=760;5063=760;100=96;5062=760}
10679,11014,29,700000,{5064=800;5065=800;100=102;5066=800}
10680,11014,30,750000,{5064=840;5065=840;100=108;5066=840}
10681,11014,31,800000,{5070=880;5072=880;100=114;5071=880}
10682,11014,32,850000,{5075=920;100=120;5073=920;5074=920}
10683,11014,33,900000,{5077=960;5078=960;100=126;5076=960}
10684,11014,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
10685,11014,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
10686,11014,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
10687,11014,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
10688,11014,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
10689,11014,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
10690,11014,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
10691,11014,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
10692,11014,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
10693,11014,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
11001,11021,1,5000,{100=1}
11002,11021,2,10000,{100=1}
11003,11021,3,15000,{100=1}
11004,11021,4,20000,{5005=4;5004=4;5006=4;100=1}
11005,11021,5,25000,{5009=4;5007=4;5008=4;100=1}
11006,11021,6,30000,{5010=6;5012=6;5011=6;100=1}
11007,11021,7,35000,{5010=8;5012=8;5011=8;100=2}
11008,11021,8,40000,{5014=10;5015=10;5013=10;100=2}
11009,11021,9,50000,{5014=12;5015=12;5013=12;100=4}
11010,11021,10,60000,{5016=16;5017=16;5018=16;100=4}
11011,11021,11,80000,{5016=20;5017=20;5018=20;100=6}
11012,11021,12,100000,{5021=32;5020=32;5019=32;100=6}
11013,11021,13,120000,{5021=48;5020=48;5019=48;100=9}
11014,11021,14,140000,{5024=72;5023=72;5022=72;100=12}
11015,11021,15,160000,{5024=108;5023=108;5022=108;100=18}
11016,11021,16,180000,{5025=144;5026=144;5027=144;100=24}
11017,11021,17,200000,{5028=200;5030=200;5029=200;100=30}
11018,11021,18,220000,{5032=300;5031=300;5033=300;100=36}
11019,11021,19,240000,{5034=400;5035=400;5036=400;100=42}
11020,11021,20,260000,{5037=440;5039=440;5038=440;100=48}
11021,11021,21,300000,{5040=480;5042=480;5041=480;100=54}
11022,11021,22,350000,{5043=520;5045=520;5044=520;100=60}
11023,11021,23,400000,{5048=560;5047=560;5046=560;100=66}
11024,11021,24,450000,{5049=600;5050=600;5051=600;100=72}
11025,11021,25,500000,{5053=640;5054=640;5052=640;100=78}
11026,11021,26,550000,{5055=680;5057=680;100=84;5056=680}
11027,11021,27,600000,{5058=720;5059=720;100=90;5060=720}
11028,11021,28,650000,{5061=760;5063=760;100=96;5062=760}
11029,11021,29,700000,{5064=800;5065=800;100=102;5066=800}
11030,11021,30,750000,{5064=840;5065=840;100=108;5066=840}
11031,11021,31,800000,{5070=880;5072=880;100=114;5071=880}
11032,11021,32,850000,{5075=920;100=120;5073=920;5074=920}
11033,11021,33,900000,{5077=960;5078=960;100=126;5076=960}
11034,11021,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
11035,11021,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
11036,11021,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
11037,11021,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
11038,11021,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
11039,11021,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
11040,11021,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
11041,11021,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
11042,11021,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
11043,11021,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
11051,11022,1,5000,{100=1}
11052,11022,2,10000,{100=1}
11053,11022,3,15000,{100=1}
11054,11022,4,20000,{5005=4;5004=4;5006=4;100=1}
11055,11022,5,25000,{5009=4;5007=4;5008=4;100=1}
11056,11022,6,30000,{5010=6;5012=6;5011=6;100=1}
11057,11022,7,35000,{5010=8;5012=8;5011=8;100=2}
11058,11022,8,40000,{5014=10;5015=10;5013=10;100=2}
11059,11022,9,50000,{5014=12;5015=12;5013=12;100=4}
11060,11022,10,60000,{5016=16;5017=16;5018=16;100=4}
11061,11022,11,80000,{5016=20;5017=20;5018=20;100=6}
11062,11022,12,100000,{5021=32;5020=32;5019=32;100=6}
11063,11022,13,120000,{5021=48;5020=48;5019=48;100=9}
11064,11022,14,140000,{5024=72;5023=72;5022=72;100=12}
11065,11022,15,160000,{5024=108;5023=108;5022=108;100=18}
11066,11022,16,180000,{5025=144;5026=144;5027=144;100=24}
11067,11022,17,200000,{5028=200;5030=200;5029=200;100=30}
11068,11022,18,220000,{5032=300;5031=300;5033=300;100=36}
11069,11022,19,240000,{5034=400;5035=400;5036=400;100=42}
11070,11022,20,260000,{5037=440;5039=440;5038=440;100=48}
11071,11022,21,300000,{5040=480;5042=480;5041=480;100=54}
11072,11022,22,350000,{5043=520;5045=520;5044=520;100=60}
11073,11022,23,400000,{5048=560;5047=560;5046=560;100=66}
11074,11022,24,450000,{5049=600;5050=600;5051=600;100=72}
11075,11022,25,500000,{5053=640;5054=640;5052=640;100=78}
11076,11022,26,550000,{5055=680;5057=680;100=84;5056=680}
11077,11022,27,600000,{5058=720;5059=720;100=90;5060=720}
11078,11022,28,650000,{5061=760;5063=760;100=96;5062=760}
11079,11022,29,700000,{5064=800;5065=800;100=102;5066=800}
11080,11022,30,750000,{5064=840;5065=840;100=108;5066=840}
11081,11022,31,800000,{5070=880;5072=880;100=114;5071=880}
11082,11022,32,850000,{5075=920;100=120;5073=920;5074=920}
11083,11022,33,900000,{5077=960;5078=960;100=126;5076=960}
11084,11022,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
11085,11022,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
11086,11022,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
11087,11022,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
11088,11022,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
11089,11022,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
11090,11022,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
11091,11022,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
11092,11022,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
11093,11022,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
11101,11023,1,5000,{100=1}
11102,11023,2,10000,{100=1}
11103,11023,3,15000,{100=1}
11104,11023,4,20000,{5005=4;5004=4;5006=4;100=1}
11105,11023,5,25000,{5009=4;5007=4;5008=4;100=1}
11106,11023,6,30000,{5010=6;5012=6;5011=6;100=1}
11107,11023,7,35000,{5010=8;5012=8;5011=8;100=2}
11108,11023,8,40000,{5014=10;5015=10;5013=10;100=2}
