变量名,levelExp1,levelExp2,levelExp3,levelExp4,levelExp5
92,2640000,3080000,3960000,5280000,7040000
93,2760000,3220000,4140000,5520000,7360000
94,2640000,3080000,3960000,5280000,7040000
95,2670000,3115000,4005000,5340000,7120000
96,2700000,3150000,4050000,5400000,7200000
97,2730000,3185000,4095000,5460000,7280000
98,2760000,3220000,4140000,5520000,7360000
99,2790000,3255000,4185000,5580000,7440000
100,2850000,3325000,4275000,5700000,7600000
101,2970000,3465000,4455000,5940000,7920000
102,3090000,3605000,4635000,6180000,8240000
103,3210000,3745000,4815000,6420000,8560000
104,3330000,3885000,4995000,6660000,8880000
105,4800000,5600000,7200000,9600000,12800000
106,4890000,5705000,7335000,9780000,13040000
107,4980000,5810000,7470000,9960000,13280000
108,5070000,5915000,7605000,10140000,13520000
109,5160000,6020000,7740000,10320000,13760000
110,5250000,6125000,7875000,10500000,14000000
111,6000000,7000000,9000000,12000000,16000000
112,6135000,7157500,9202500,12270000,16360000
113,6270000,7315000,9405000,12540000,16720000
114,6405000,7472500,9607500,12810000,17080000
115,6533100,7621950,9799650,13066200,17421600
116,6663762,7774389,9995643,13327524,17770032
117,6797037,7929877,10195556,13594074,18125433
118,6932978,8088474,10399467,13865956,18487941
119,7071638,8250244,10607456,14143275,18857700
120,7213070,8415249,10819605,14426141,19234854
121,7357332,8583554,11035998,14714663,19619551
122,7504478,8755225,11256718,15008957,20011942
123,7654568,8930329,11481852,15309136,20412181
124,7807659,9108936,11711489,15615319,20820425
,7963812,9291115,11945719,15927625,21236833
,8123089,9476937,12184633,16246177,21661570
,8285550,9666476,12428326,16571101,22094801
,8451261,9859805,12676892,16902523,22536697
,8620287,10057001,12930430,17240573,22987431
,8792692,10258141,13189039,17585385,23447180
,8968546,10463304,13452819,17937093,23916123
,9147917,10672570,13721876,18295834,24394446
,9330876,10886021,13996313,18661751,24882335
,9517493,11103742,14276240,19034986,25379982
,9707843,11325817,14561764,19415686,25887581
,9902000,11552333,14853000,19804000,26405333
,10100040,11783380,15150060,20200080,26933439
,10302041,12019047,15453061,20604081,27472108
,10508081,12259428,15762122,21016163,28021550
,10718243,12504617,16077365,21436486,28581981
,10932608,12754709,16398912,21865216,29153621
,11151260,13009803,16726890,22302520,29736693
,11374285,13269999,17061428,22748570,30331427
,11601771,13535399,17402656,23203542,30938056
,11833806,13806107,17750710,23667613,31556817
,12070482,14082230,18105724,24140965,32187953
,12311892,14363874,18467838,24623784,32831712
,12558130,14651152,18837195,25116260,33488347
,12809293,14944175,19213939,25618585,34158114
,13065478,15243058,19598218,26130957,34841276
,13326788,15547919,19990182,26653576,35538101
,13593324,15858878,20389986,27186648,36248863
,13865190,16176055,20797785,27730380,36973841
,14142494,16499576,21213741,28284988,37713317
,14425344,16829568,21638016,28850688,38467584
,14713851,17166159,22070776,29427702,39236935
,15008128,17509482,22512192,30016256,40021674
,15308290,17859672,22962436,30616581,40822108
,15614456,18216866,23421684,31228912,41638550
,15926745,18581203,23890118,31853491,42471321
,16245280,18952827,24367920,32490560,43320747
,16570186,19331883,24855279,33140372,44187162
,16901590,19718521,25352384,33803179,45070905
,17239621,20112892,25859432,34479243,45972324
,17584414,20515149,26376621,35168828,46891770
,17936102,20925452,26904153,35872204,47829605
,18294824,21343961,27442236,36589648,48786198
,18660721,21770841,27991081,37321441,49761921
,19033935,22206257,28550902,38067870,50757160
,19414614,22650383,29121920,38829227,51772303
,19802906,23103390,29704359,39605812,52807749
,20198964,23565458,30298446,40397928,53863904
,20602943,24036767,30904415,41205887,54941182
,21015002,24517503,31522503,42030004,56040006
,21435302,25007853,32152953,42870604,57160806
,21864008,25508010,32796012,43728017,58304022
,22301288,26018170,33451933,44602577,59470103
,22747314,26538533,34120971,45494628,60659505
,23202261,27069304,34803391,46404521,61872695
,23666306,27610690,35499459,47332611,63110149
,24139632,28162904,36209448,48279264,64372352
,24622424,28726162,36933637,49244849,65659799
,25114873,29300685,37672309,50229746,66972995
,25617170,29886699,38425756,51234341,68312454
,26129514,30484433,39194271,52259028,69678704
,26652104,31094121,39978156,53304208,71072278
,27185146,31716004,40777719,54370292,72493723
,27728849,32350324,41593274,55457698,73943598
,28283426,32997330,42425139,56566852,75422470
,28849095,33657277,43273642,57698189,76930919
,29426077,34330423,44139115,58852153,78469537
,30014598,35017031,45021897,60029196,80038928
,30614890,35717372,45922335,61229780,81639707
,31227188,36431719,46840782,62454376,83272501
,31851732,37160353,47777597,63703463,84937951
,32488766,37903561,48733149,64977532,86636710
,33138542,38661632,49707812,66277083,88369444
,33801312,39434864,50701969,67602625,90136833
,34477339,40223562,51716008,68954677,91939570
,35166885,41028033,52750328,70333771,93778361
,36925229,43079435,55387844,73850460,98467279
,38771491,45233406,58157237,77542983,103390643
,40710065,47495077,61065098,81420132,108560175
,42745569,49869831,64118353,85491138,113988184
,44882847,52363322,67324271,89765695,119687593
,47126989,54981488,70690485,94253980,125671973
,49483339,57730563,74225009,98966679,131955571
,51957506,60617091,77936259,103915013,138553350
,54555381,63647945,81833072,109110763,145481017
,57283150,66830343,85924726,114566302,152755068
,60147308,70171860,90220962,120294617,160392822
,63154673,73680453,94732010,126309348,168412463
,66312407,77364475,99468611,132624815,176833086
,69628027,81232699,104442041,139256056,185674740
,73109428,85294334,109664143,146218858,194958477
,76764900,89559051,115147351,153529801,204706401
,80603145,94037003,120904718,161206291,214941721
,84633302,98738853,126949954,169266606,225688807
,88864967,103675796,133297452,177729936,236973248
,93308215,108859586,139962324,186616433,248821910
,97973626,114302565,146960440,195947255,261263006
,102872307,120017693,154308462,205744618,274326156
,108015923,126018578,162023886,216031848,288042464
,113416719,132319507,170125080,226833441,302444587
,119087555,138935482,178631334,238175113,317566816
,125041933,145882256,187562901,250083869,333445157
,131294029,153176369,196941046,262588062,350117415
,137858731,160835188,206788098,275717465,367623286
,144751667,168876947,217127503,289503338,386004450
,151989250,177320794,227983878,303978505,405304672
,159588713,186186834,239383072,319177431,425569906
,167568149,195496176,251352225,335136302,446848401
,175946556,205270985,263919837,351893117,469190821
,184743884,215534534,277115828,369487773,492650362
,193981078,226311261,290971620,387962162,517282880
,203680132,237626824,305520201,407360270,543147024
,213864139,249508165,320796211,427728283,570304376
,224557346,261983573,336836021,449114697,598819594
,235785213,275082752,353677823,471570432,628760574
,247574473,288836889,371361714,495148954,660198603
,259953197,303278734,389929799,519906402,693208533
,272950857,318442670,409426289,545901722,727868960
,286598400,334364804,429897604,573196808,764262408
,300928320,351083044,451392484,601856648,802475528
,315974736,368637196,473962108,631949481,842599304
,331773473,387069056,497660214,663546955,884729270
,348362146,406422509,522543224,696724302,928965733
,365780254,426743634,548670385,731560517,975414020
,384069266,448080816,576103905,768138543,1024184721
,403272730,470484857,604909100,806545470,1075393957
