变量名,huodongID,_beizhu,rank,award,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th
203,1003,潜能,3,{850=250;gold=160000;14=20;rmb=1300},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
204,1003,潜能,6,{850=200;gold=140000;14=15;rmb=1250},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
205,1003,潜能,10,{850=100;gold=120000;14=12},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
206,1003,潜能,30,{850=80;gold=100000;14=10},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
207,1003,潜能,999,{850=80;gold=90000;14=8},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,
301,1004,努力币,1,{452=60;gold=250000;14=30;rmb=1800},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
302,1004,努力币,2,{452=55;gold=200000;14=25;rmb=1500},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
303,1004,努力币,3,{452=40;gold=160000;14=20;rmb=1300},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
304,1004,努力币,6,{452=35;gold=140000;14=15;rmb=1250},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
305,1004,努力币,10,{452=25;gold=120000;14=12},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
306,1004,努力币,30,{452=20;gold=100000;14=10},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
307,1004,努力币,999,{452=20;gold=90000;14=8},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,
401,1005,天赋点,1,{talent_point=10;gold=250000;14=30;rmb=1800},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
402,1005,天赋点,2,{talent_point=8;gold=200000;14=25;rmb=1500},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
403,1005,天赋点,3,{talent_point=6;gold=160000;14=20;rmb=1300},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
404,1005,天赋点,6,{talent_point=5;gold=140000;14=15;rmb=1250},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
405,1005,天赋点,10,{talent_point=4;gold=120000;14=12},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
406,1005,天赋点,30,{talent_point=3;gold=100000;14=10},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
407,1005,天赋点,999,{talent_point=2;gold=90000;14=8},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,
501,1006,携带,1,{2103=20;gold=250000;14=30;rmb=1800},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
502,1006,携带,2,{2103=18;gold=200000;14=25;rmb=1500},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
503,1006,携带,3,{2103=15;gold=160000;14=20;rmb=1300},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
504,1006,携带,6,{2103=10;gold=140000;14=15;rmb=1250},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
505,1006,携带,10,{2103=5;gold=120000;14=12},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
506,1006,携带,30,{2103=4;gold=100000;14=10},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
507,1006,携带,999,{2103=4;gold=90000;14=8},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,
601,1007,潜能,1,{850=360;gold=250000;14=30;rmb=1800},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
602,1007,潜能,2,{850=300;gold=200000;14=25;rmb=1500},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
603,1007,潜能,3,{850=250;gold=160000;14=20;rmb=1300},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
604,1007,潜能,6,{850=200;gold=140000;14=15;rmb=1250},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
605,1007,潜能,10,{850=100;gold=120000;14=12},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
606,1007,潜能,30,{850=80;gold=100000;14=10},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
607,1007,潜能,999,{850=80;gold=90000;14=8},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,
701,1008,努力币,1,{452=60;gold=250000;14=30;rmb=1800},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
702,1008,努力币,2,{452=55;gold=200000;14=25;rmb=1500},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
703,1008,努力币,3,{452=40;gold=160000;14=20;rmb=1300},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
704,1008,努力币,6,{452=35;gold=140000;14=15;rmb=1250},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
705,1008,努力币,10,{452=25;gold=120000;14=12},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
706,1008,努力币,30,{452=20;gold=100000;14=10},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
707,1008,努力币,999,{452=20;gold=90000;14=8},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,
801,1009,天赋点,1,{talent_point=10;gold=250000;14=30;rmb=1800},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
802,1009,天赋点,2,{talent_point=8;gold=200000;14=25;rmb=1500},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
803,1009,天赋点,3,{talent_point=6;gold=160000;14=20;rmb=1300},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
804,1009,天赋点,6,{talent_point=5;gold=140000;14=15;rmb=1250},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
805,1009,天赋点,10,{talent_point=4;gold=120000;14=12},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
806,1009,天赋点,30,{talent_point=3;gold=100000;14=10},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
807,1009,天赋点,999,{talent_point=2;gold=90000;14=8},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,
901,1010,携带,1,{2103=20;gold=250000;14=30;rmb=1800},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
902,1010,携带,2,{2103=18;gold=200000;14=25;rmb=1500},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
903,1010,携带,3,{2103=15;gold=160000;14=20;rmb=1300},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
904,1010,携带,6,{2103=10;gold=140000;14=15;rmb=1250},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
905,1010,携带,10,{2103=5;gold=120000;14=12},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
906,1010,携带,30,{2103=4;gold=100000;14=10},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
907,1010,携带,999,{2103=4;gold=90000;14=8},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,
1001,1011,潜能,1,{850=360;gold=250000;14=30;rmb=1800},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1002,1011,潜能,2,{850=300;gold=200000;14=25;rmb=1500},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1003,1011,潜能,3,{850=250;gold=160000;14=20;rmb=1300},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1004,1011,潜能,6,{850=200;gold=140000;14=15;rmb=1250},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1005,1011,潜能,10,{850=100;gold=120000;14=12},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1006,1011,潜能,30,{850=80;gold=100000;14=10},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1007,1011,潜能,999,{850=80;gold=90000;14=8},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,
1101,1012,努力币,1,{452=60;gold=250000;14=30;rmb=1800},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1102,1012,努力币,2,{452=55;gold=200000;14=25;rmb=1500},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1103,1012,努力币,3,{452=40;gold=160000;14=20;rmb=1300},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1104,1012,努力币,6,{452=35;gold=140000;14=15;rmb=1250},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1105,1012,努力币,10,{452=25;gold=120000;14=12},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1106,1012,努力币,30,{452=20;gold=100000;14=10},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1107,1012,努力币,999,{452=20;gold=90000;14=8},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
