变量名,huodongID,_beizhu,rank,award,desc,_desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th
901,1010,携带,1,{930=80;521=8;500=5;rmb=1888;2103=20},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
902,1010,,2,{930=65;521=7;500=5;rmb=1588;2103=15},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
903,1010,,3,{930=60;521=6;500=4;rmb=1288;2103=10},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
904,1010,,6,{930=55;521=5;500=3;rmb=888;2103=8},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
905,1010,,10,{930=45;521=4;500=2;rmb=688;2103=7},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
906,1010,,30,{930=30;2103=5;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
907,1010,,60,{930=25;2103=4;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
908,1010,,100,{930=20;2103=3;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
909,1010,,300,{930=18;2103=2;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
910,1010,,600,{930=16;2103=2;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
911,1010,,1000,{930=14;2103=1;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
912,1010,,99999,{930=12;2103=1;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,,
1001,1011,潜能,1,{5000=80;521=8;500=5;rmb=1888;805=400},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1002,1011,,2,{5000=65;521=7;500=5;rmb=1588;805=380},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1003,1011,,3,{5000=60;521=6;500=4;rmb=1288;805=320},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1004,1011,,6,{5000=55;521=5;500=3;rmb=888;805=300},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1005,1011,,10,{5000=45;521=4;500=2;rmb=688;805=250},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1006,1011,,30,{5000=30;805=200;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1007,1011,,60,{5000=25;805=190;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1008,1011,,100,{5000=20;805=180;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1009,1011,,300,{5000=18;805=170;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1010,1011,,600,{5000=16;805=160;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1011,1011,,1000,{5000=14;805=150;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1012,1011,,99999,{5000=12;805=100;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,,
1101,1012,努力,1,{930=80;521=8;500=5;rmb=1888;452=120},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1102,1012,,2,{930=65;521=7;500=5;rmb=1588;452=95},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1103,1012,,3,{930=60;521=6;500=4;rmb=1288;452=85},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1104,1012,,6,{930=55;521=5;500=3;rmb=888;452=70},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1105,1012,,10,{930=45;521=4;500=2;rmb=688;452=65},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1106,1012,,30,{930=30;452=50;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1107,1012,,60,{930=25;452=50;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1108,1012,,100,{930=20;452=45;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1109,1012,,300,{930=18;452=40;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1110,1012,,600,{930=16;452=35;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1111,1012,,1000,{930=14;452=30;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1112,1012,,99999,{930=12;452=20;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
