变量名,gemQualitySeqID,qualityNum,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
57,2,1500,1,3%,13,3%,7,3%,9,3%,8,3%,10,3%
58,2,1650,1,4%,0,,0,,0,,0,,0,
59,2,1800,7,4%,8,4%,0,,0,,0,,0,
60,2,1950,1,4%,13,4%,7,4%,9,4%,8,4%,10,4%
61,2,2200,1,5%,0,,0,,0,,0,,0,
62,2,2450,7,5%,8,5%,0,,0,,0,,0,
63,2,2700,1,5%,13,5%,7,5%,9,5%,8,5%,10,5%
64,2,2950,1,5%,0,,0,,0,,0,,0,
65,2,3200,7,5%,8,5%,0,,0,,0,,0,
66,2,3450,1,6%,0,,0,,0,,0,,0,
67,2,3700,7,6%,8,6%,0,,0,,0,,0,
68,2,3950,1,6%,13,6%,7,6%,9,6%,8,6%,10,6%
69,2,4200,1,6%,0,,0,,0,,0,,0,
70,2,4450,7,6%,8,6%,0,,0,,0,,0,
71,2,4700,1,7%,0,,0,,0,,0,,0,
72,2,4950,7,7%,8,7%,0,,0,,0,,0,
73,2,5200,1,7%,13,7%,7,7%,9,7%,8,7%,10,7%
74,2,5450,1,7%,0,,0,,0,,0,,0,
75,2,5700,7,7%,8,7%,0,,0,,0,,0,
76,2,5950,1,8%,0,,0,,0,,0,,0,
77,2,6200,7,8%,8,8%,0,,0,,0,,0,
78,2,6450,1,8%,13,8%,7,8%,9,8%,8,8%,10,8%
79,2,6700,1,8%,0,,0,,0,,0,,0,
80,2,6950,7,8%,8,8%,0,,0,,0,,0,
81,2,7200,1,9%,0,,0,,0,,0,,0,
82,2,7450,7,9%,8,9%,0,,0,,0,,0,
83,2,7700,1,9%,13,9%,7,9%,9,9%,8,9%,10,9%
84,2,7950,1,9%,0,,0,,0,,0,,0,
85,2,8200,7,9%,8,9%,0,,0,,0,,0,
86,2,8450,1,10%,0,,0,,0,,0,,0,
87,2,8700,7,10%,8,10%,0,,0,,0,,0,
88,2,8950,1,10%,13,10%,7,10%,9,10%,8,10%,10,10%
89,2,9200,1,10%,0,,0,,0,,0,,0,
90,2,9450,7,10%,8,10%,0,,0,,0,,0,
91,3,100,1,1%,0,,0,,0,,0,,0,
92,3,200,7,1%,8,1%,0,,0,,0,,0,
93,3,300,1,1%,13,1%,7,1%,9,1%,8,1%,10,1%
94,3,400,1,2%,0,,0,,0,,0,,0,
95,3,500,7,2%,8,2%,0,,0,,0,,0,
96,3,600,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
97,3,750,1,2%,0,,0,,0,,0,,0,
98,3,900,7,2%,8,2%,0,,0,,0,,0,
99,3,1050,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
100,3,1200,1,3%,0,,0,,0,,0,,0,
101,3,1350,7,3%,8,3%,0,,0,,0,,0,
102,3,1500,1,3%,13,3%,7,3%,9,3%,8,3%,10,3%
103,3,1650,1,4%,0,,0,,0,,0,,0,
104,3,1800,7,4%,8,4%,0,,0,,0,,0,
105,3,1950,1,4%,13,4%,7,4%,9,4%,8,4%,10,4%
106,3,2200,1,5%,0,,0,,0,,0,,0,
107,3,2450,7,5%,8,5%,0,,0,,0,,0,
108,3,2700,1,5%,13,5%,7,5%,9,5%,8,5%,10,5%
109,3,2950,1,5%,0,,0,,0,,0,,0,
110,3,3200,7,5%,8,5%,0,,0,,0,,0,
111,3,3450,1,6%,0,,0,,0,,0,,0,
112,3,3700,7,6%,8,6%,0,,0,,0,,0,
113,3,3950,1,6%,13,6%,7,6%,9,6%,8,6%,10,6%
114,3,4200,1,6%,0,,0,,0,,0,,0,
115,3,4450,7,6%,8,6%,0,,0,,0,,0,
116,3,4700,1,7%,0,,0,,0,,0,,0,
117,3,4950,7,7%,8,7%,0,,0,,0,,0,
118,3,5200,1,7%,13,7%,7,7%,9,7%,8,7%,10,7%
119,3,5450,1,7%,0,,0,,0,,0,,0,
120,3,5700,7,7%,8,7%,0,,0,,0,,0,
121,3,5950,1,8%,0,,0,,0,,0,,0,
122,3,6200,7,8%,8,8%,0,,0,,0,,0,
123,3,6450,1,8%,13,8%,7,8%,9,8%,8,8%,10,8%
124,3,6700,1,8%,0,,0,,0,,0,,0,
125,3,6950,7,8%,8,8%,0,,0,,0,,0,
126,3,7200,1,9%,0,,0,,0,,0,,0,
127,3,7450,7,9%,8,9%,0,,0,,0,,0,
128,3,7700,1,9%,13,9%,7,9%,9,9%,8,9%,10,9%
129,3,7950,1,9%,0,,0,,0,,0,,0,
130,3,8200,7,9%,8,9%,0,,0,,0,,0,
131,3,8450,1,10%,0,,0,,0,,0,,0,
132,3,8700,7,10%,8,10%,0,,0,,0,,0,
133,3,8950,1,10%,13,10%,7,10%,9,10%,8,10%,10,10%
134,3,9200,1,10%,0,,0,,0,,0,,0,
135,3,9450,7,10%,8,10%,0,,0,,0,,0,
136,4,100,1,1%,0,,0,,0,,0,,0,
137,4,200,7,1%,8,1%,0,,0,,0,,0,
138,4,300,1,1%,13,1%,7,1%,9,1%,8,1%,10,1%
139,4,400,1,2%,0,,0,,0,,0,,0,
140,4,500,7,2%,8,2%,0,,0,,0,,0,
141,4,600,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
142,4,750,1,2%,0,,0,,0,,0,,0,
143,4,900,7,2%,8,2%,0,,0,,0,,0,
144,4,1050,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
145,4,1200,1,3%,0,,0,,0,,0,,0,
146,4,1350,7,3%,8,3%,0,,0,,0,,0,
147,4,1500,1,3%,13,3%,7,3%,9,3%,8,3%,10,3%
148,4,1650,1,4%,0,,0,,0,,0,,0,
149,4,1800,7,4%,8,4%,0,,0,,0,,0,
150,4,1950,1,4%,13,4%,7,4%,9,4%,8,4%,10,4%
151,4,2200,1,5%,0,,0,,0,,0,,0,
152,4,2450,7,5%,8,5%,0,,0,,0,,0,
153,4,2700,1,5%,13,5%,7,5%,9,5%,8,5%,10,5%
154,4,2950,1,5%,0,,0,,0,,0,,0,
155,4,3200,7,5%,8,5%,0,,0,,0,,0,
156,4,3450,1,6%,0,,0,,0,,0,,0,
157,4,3700,7,6%,8,6%,0,,0,,0,,0,
158,4,3950,1,6%,13,6%,7,6%,9,6%,8,6%,10,6%
159,4,4200,1,6%,0,,0,,0,,0,,0,
160,4,4450,7,6%,8,6%,0,,0,,0,,0,
161,4,4700,1,7%,0,,0,,0,,0,,0,
162,4,4950,7,7%,8,7%,0,,0,,0,,0,
163,4,5200,1,7%,13,7%,7,7%,9,7%,8,7%,10,7%
164,4,5450,1,7%,0,,0,,0,,0,,0,
165,4,5700,7,7%,8,7%,0,,0,,0,,0,
166,4,5950,1,8%,0,,0,,0,,0,,0,
167,4,6200,7,8%,8,8%,0,,0,,0,,0,
168,4,6450,1,8%,13,8%,7,8%,9,8%,8,8%,10,8%
169,4,6700,1,8%,0,,0,,0,,0,,0,
170,4,6950,7,8%,8,8%,0,,0,,0,,0,
171,4,7200,1,9%,0,,0,,0,,0,,0,
172,4,7450,7,9%,8,9%,0,,0,,0,,0,
173,4,7700,1,9%,13,9%,7,9%,9,9%,8,9%,10,9%
174,4,7950,1,9%,0,,0,,0,,0,,0,
175,4,8200,7,9%,8,9%,0,,0,,0,,0,
176,4,8450,1,10%,0,,0,,0,,0,,0,
177,4,8700,7,10%,8,10%,0,,0,,0,,0,
178,4,8950,1,10%,13,10%,7,10%,9,10%,8,10%,10,10%
179,4,9200,1,10%,0,,0,,0,,0,,0,
180,4,9450,7,10%,8,10%,0,,0,,0,,0,
181,5,100,1,1%,0,,0,,0,,0,,0,
182,5,200,7,1%,8,1%,0,,0,,0,,0,
183,5,300,1,1%,13,1%,7,1%,9,1%,8,1%,10,1%
184,5,400,1,2%,0,,0,,0,,0,,0,
185,5,500,7,2%,8,2%,0,,0,,0,,0,
186,5,600,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
187,5,750,1,2%,0,,0,,0,,0,,0,
188,5,900,7,2%,8,2%,0,,0,,0,,0,
189,5,1050,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
190,5,1200,1,3%,0,,0,,0,,0,,0,
191,5,1350,7,3%,8,3%,0,,0,,0,,0,
192,5,1500,1,3%,13,3%,7,3%,9,3%,8,3%,10,3%
193,5,1650,1,4%,0,,0,,0,,0,,0,
194,5,1800,7,4%,8,4%,0,,0,,0,,0,
195,5,1950,1,4%,13,4%,7,4%,9,4%,8,4%,10,4%
196,5,2200,1,5%,0,,0,,0,,0,,0,
197,5,2450,7,5%,8,5%,0,,0,,0,,0,
198,5,2700,1,5%,13,5%,7,5%,9,5%,8,5%,10,5%
199,5,2950,1,5%,0,,0,,0,,0,,0,
200,5,3200,7,5%,8,5%,0,,0,,0,,0,
201,5,3450,1,6%,0,,0,,0,,0,,0,
202,5,3700,7,6%,8,6%,0,,0,,0,,0,
203,5,3950,1,6%,13,6%,7,6%,9,6%,8,6%,10,6%
204,5,4200,1,6%,0,,0,,0,,0,,0,
205,5,4450,7,6%,8,6%,0,,0,,0,,0,
206,5,4700,1,7%,0,,0,,0,,0,,0,
207,5,4950,7,7%,8,7%,0,,0,,0,,0,
208,5,5200,1,7%,13,7%,7,7%,9,7%,8,7%,10,7%
209,5,5450,1,7%,0,,0,,0,,0,,0,
210,5,5700,7,7%,8,7%,0,,0,,0,,0,
211,5,5950,1,8%,0,,0,,0,,0,,0,
212,5,6200,7,8%,8,8%,0,,0,,0,,0,
213,5,6450,1,8%,13,8%,7,8%,9,8%,8,8%,10,8%
214,5,6700,1,8%,0,,0,,0,,0,,0,
215,5,6950,7,8%,8,8%,0,,0,,0,,0,
216,5,7200,1,9%,0,,0,,0,,0,,0,
217,5,7450,7,9%,8,9%,0,,0,,0,,0,
218,5,7700,1,9%,13,9%,7,9%,9,9%,8,9%,10,9%
219,5,7950,1,9%,0,,0,,0,,0,,0,
220,5,8200,7,9%,8,9%,0,,0,,0,,0,
221,5,8450,1,10%,0,,0,,0,,0,,0,
222,5,8700,7,10%,8,10%,0,,0,,0,,0,
223,5,8950,1,10%,13,10%,7,10%,9,10%,8,10%,10,10%
224,5,9200,1,10%,0,,0,,0,,0,,0,
225,5,9450,7,10%,8,10%,0,,0,,0,,0,
