变量名,typeID,stage,quality,itemMap,gold,hpGrow,speedGrow,damageGrow,defenceGrow,specialDamageGrow,specialDefenceGrow,hpC,speedC,damageC,defenceC,specialDamageC,specialDefenceC,levelDec
默认值,,1,1,{101=5;102=10;103=15;104=20},0,0,0,0,0,0,0,1,0,1,1,1,1,0
203,2,3,2,{5005=6;5004=3;5000=15;5006=3},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,0
204,2,4,2,{5005=12;5004=4;5000=20;5006=4},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,0
205,2,5,3,{5009=6;5000=30;5008=18;5007=6},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,0
206,2,6,3,{5012=8;5000=40;5011=24;5010=8},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,0
207,2,7,3,{5012=10;5000=60;5011=30;5010=10},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,0
208,2,8,3,{5014=45;5000=90;5015=15;5013=15},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,0
209,2,9,4,{5014=60;5000=120;5015=20;5013=20},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,0
210,2,10,4,{5016=32;5000=200;5017=96;5018=32},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,0
211,2,11,4,{5016=48;5000=320;5017=144;5018=48},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,0
212,2,12,4,{5020=192;5000=400;5019=64;5021=64},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,0
213,2,13,4,{5020=288;5000=600;5019=96;5021=96},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,0
214,2,14,5,{5024=128;5023=384;5000=800;5022=128},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,0
215,2,15,5,{5024=200;5023=600;5000=1250;5022=200},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,0
216,2,16,5,{5025=300;5000=1600;5026=900;5027=300},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,0
217,2,17,5,{5028=400;5000=2000;5030=400;5029=1200},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,0
218,2,18,5,{5032=1350;5000=2500;5031=450;5033=450},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,0
219,2,19,5,{5036=450;5000=2500;5035=1350;5034=450},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,0
220,2,20,6,{5037=630;5000=3500;5039=630;5038=1890},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,0
221,2,21,6,{5040=750;5000=4000;5042=750;5041=2250},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,0
222,2,22,6,{5044=2400;5000=4500;5045=800;5043=800},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,0
223,2,23,6,{5048=800;5000=4500;5047=2400;5046=800},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,0
224,2,24,6,{5049=850;5000=5000;5050=2550;5051=850},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,0
225,2,25,6,{5053=2550;5000=5000;5054=850;5052=850},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,0
226,2,26,7,{5055=900;5000=5500;5056=2700;5057=900},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,0
227,2,27,7,{5000=5500;5058=900;5059=2700;5060=900},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,0
228,2,28,7,{5000=6000;5061=950;5063=950;5062=2850},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,0
229,2,29,7,{5000=6000;5064=950;5065=2850;5066=950},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,0
230,2,30,7,{5000=6500;5067=1000;5069=1000;5068=3000},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,0
231,2,31,7,{5000=6500;5071=3000;5072=1000;5070=1000},900000,262.678,6.3,56.07,22.47,56.07,22.47,48783,1170,10414,4174,10414,4174,0
232,2,32,7,{5000=8000;5075=1800;5073=1800;5074=1800},950000,270.183,6.48,57.672,23.112,57.672,23.112,50659,1215,10815,4335,10815,4335,0
233,2,33,7,{5000=10000;5077=1850;5078=1850;5076=1850},1000000,278.288,6.67,59.402,23.805,59.402,23.805,52179,1251,11139,4465,11139,4465,0
234,2,34,7,{5000=12000;5080=1900;5079=1900;5081=1900},1050000,286.637,6.87,61.184,24.52,61.184,24.52,53744,1289,11474,4599,11474,4599,0
235,2,35,7,{5000=14000;5084=1950;5083=1950;5082=1950},1100000,295.236,7.08,63.02,25.255,63.02,25.255,55356,1328,11818,4737,11818,4737,0
236,2,36,7,{5000=16000;5085=2000;5087=2000;5086=2000},1150000,304.093,7.29,64.91,26.013,64.91,26.013,57017,1367,12172,4879,12172,4879,0
237,2,37,7,{5000=18000;5090=2100;5089=2100;5088=2100},1200000,313.216,7.51,66.858,26.793,66.858,26.793,58728,1409,12538,5025,12538,5025,0
238,2,38,7,{5000=20000;5091=2100;5092=2100;5093=2100},1250000,322.613,7.74,68.863,27.597,68.863,27.597,60489,1451,12914,5176,12914,5176,0
239,2,39,7,{5000=25000;5095=2100;5094=2100;5096=2100},1300000,332.291,7.97,70.929,28.425,70.929,28.425,62304,1494,13301,5332,13301,5332,0
240,2,40,7,{5000=30000;5098=2100;5099=2100;5097=2100},1350000,342.26,8.21,73.057,29.278,73.057,29.278,64173,1539,13700,5491,13700,5491,0
241,2,41,7,{5000=35000;5102=2100;5100=2100;5101=2100},1400000,352.528,8.45,75.249,30.156,75.249,30.156,66099,1585,14111,5656,14111,5656,0
242,2,42,7,{5000=40000;5105=2100;5103=2100;5104=2100},1450000,363.103,8.71,77.506,31.061,77.506,31.061,68081,1633,14534,5826,14534,5826,0
243,2,43,7,{5000=50000;5107=2100;5108=2100;5106=2100},1500000,373.996,8.97,79.832,31.992,79.832,31.992,70124,1682,14970,6001,14970,6001,0
301,3,1,1,{5001=1;5000=1;5003=1;5002=1},5000,0,0,0,0,0,0,0,0,0,0,0,0,0
302,3,2,2,{5001=2;5000=10;5003=2;5002=2},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,0
303,3,3,2,{5005=3;5004=3;5000=15;5006=6},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,0
304,3,4,2,{5005=4;5004=4;5000=20;5006=12},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,0
305,3,5,3,{5009=18;5000=30;5008=6;5007=6},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,0
306,3,6,3,{5012=24;5000=40;5011=8;5010=8},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,0
307,3,7,3,{5012=30;5000=60;5011=10;5010=10},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,0
308,3,8,3,{5014=15;5000=90;5015=45;5013=15},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,0
309,3,9,4,{5014=20;5000=120;5015=60;5013=20},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,0
310,3,10,4,{5016=32;5000=200;5017=32;5018=96},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,0
311,3,11,4,{5016=48;5000=320;5017=48;5018=144},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,0
312,3,12,4,{5020=64;5000=400;5019=64;5021=192},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,0
313,3,13,4,{5020=96;5000=600;5019=96;5021=288},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,0
314,3,14,5,{5024=384;5023=128;5000=800;5022=128},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,0
315,3,15,5,{5024=600;5023=200;5000=1250;5022=200},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,0
316,3,16,5,{5025=300;5000=1600;5026=300;5027=900},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,0
317,3,17,5,{5028=400;5000=2000;5030=1200;5029=400},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,0
318,3,18,5,{5032=450;5000=2500;5031=450;5033=1350},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,0
319,3,19,5,{5036=1350;5000=2500;5035=450;5034=450},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,0
320,3,20,6,{5037=630;5000=3500;5039=1890;5038=630},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,0
321,3,21,6,{5040=750;5000=4000;5042=2250;5041=750},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,0
322,3,22,6,{5044=800;5000=4500;5045=2400;5043=800},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,0
323,3,23,6,{5048=2400;5000=4500;5047=800;5046=800},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,0
324,3,24,6,{5049=850;5000=5000;5050=850;5051=2550},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,0
325,3,25,6,{5053=850;5000=5000;5054=2550;5052=850},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,0
326,3,26,7,{5055=900;5000=5500;5056=900;5057=2700},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,0
327,3,27,7,{5000=5500;5058=900;5059=900;5060=2700},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,0
328,3,28,7,{5000=6000;5061=950;5063=2850;5062=950},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,0
329,3,29,7,{5000=6000;5064=950;5065=950;5066=2850},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,0
330,3,30,7,{5000=6500;5067=1000;5069=3000;5068=1000},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,0
331,3,31,7,{5000=6500;5071=1000;5072=3000;5070=1000},900000,262.678,6.3,56.07,22.47,56.07,22.47,48783,1170,10414,4174,10414,4174,0
332,3,32,7,{5000=8000;5075=1800;5073=1800;5074=1800},950000,270.183,6.48,57.672,23.112,57.672,23.112,50659,1215,10815,4335,10815,4335,0
333,3,33,7,{5000=10000;5077=1850;5078=1850;5076=1850},1000000,278.288,6.67,59.402,23.805,59.402,23.805,52179,1251,11139,4465,11139,4465,0
334,3,34,7,{5000=12000;5080=1900;5079=1900;5081=1900},1050000,286.637,6.87,61.184,24.52,61.184,24.52,53744,1289,11474,4599,11474,4599,0
335,3,35,7,{5000=14000;5084=1950;5083=1950;5082=1950},1100000,295.236,7.08,63.02,25.255,63.02,25.255,55356,1328,11818,4737,11818,4737,0
336,3,36,7,{5000=16000;5085=2000;5087=2000;5086=2000},1150000,304.093,7.29,64.91,26.013,64.91,26.013,57017,1367,12172,4879,12172,4879,0
337,3,37,7,{5000=18000;5090=2100;5089=2100;5088=2100},1200000,313.216,7.51,66.858,26.793,66.858,26.793,58728,1409,12538,5025,12538,5025,0
338,3,38,7,{5000=20000;5091=2100;5092=2100;5093=2100},1250000,322.613,7.74,68.863,27.597,68.863,27.597,60489,1451,12914,5176,12914,5176,0
339,3,39,7,{5000=25000;5095=2100;5094=2100;5096=2100},1300000,332.291,7.97,70.929,28.425,70.929,28.425,62304,1494,13301,5332,13301,5332,0
340,3,40,7,{5000=30000;5098=2100;5099=2100;5097=2100},1350000,342.26,8.21,73.057,29.278,73.057,29.278,64173,1539,13700,5491,13700,5491,0
341,3,41,7,{5000=35000;5102=2100;5100=2100;5101=2100},1400000,352.528,8.45,75.249,30.156,75.249,30.156,66099,1585,14111,5656,14111,5656,0
342,3,42,7,{5000=40000;5105=2100;5103=2100;5104=2100},1450000,363.103,8.71,77.506,31.061,77.506,31.061,68081,1633,14534,5826,14534,5826,0
343,3,43,7,{5000=50000;5107=2100;5108=2100;5106=2100},1500000,373.996,8.97,79.832,31.992,79.832,31.992,70124,1682,14970,6001,14970,6001,0
1101,11,1,1,{5001=1;5000=1;5003=1;5002=1},5000,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,11,2,2,{5001=3;5000=14;5003=3;5002=3},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,0
1103,11,3,2,{5005=5;5004=5;5000=21;5006=5},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,0
1104,11,4,2,{5005=10;5004=10;5000=28;5006=10},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,0
1105,11,5,3,{5009=14;5000=42;5008=14;5007=14},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,0
1106,11,6,3,{5012=19;5000=56;5011=19;5010=19},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,0
1107,11,7,3,{5012=23;5000=84;5011=23;5010=23},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,0
1108,11,8,3,{5014=35;5000=126;5015=35;5013=35},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,0
1109,11,9,4,{5014=47;5000=168;5015=47;5013=47},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,0
1110,11,10,4,{5016=75;5000=280;5017=75;5018=75},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,0
1111,11,11,4,{5016=112;5000=448;5017=112;5018=112},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,0
1112,11,12,4,{5020=150;5000=560;5019=150;5021=150},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,0
1113,11,13,4,{5020=224;5000=840;5019=224;5021=224},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,0
1114,11,14,5,{5024=299;5023=299;5000=1120;5022=299},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,0
1115,11,15,5,{5024=467;5023=467;5000=1750;5022=467},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,0
1116,11,16,5,{5025=700;5000=2240;5026=700;5027=700},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,0
1117,11,17,5,{5028=933;5000=2800;5030=933;5029=933},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,0
1118,11,18,5,{5032=1050;5000=3500;5031=1050;5033=1050},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,0
1119,11,19,5,{5036=900;5000=3000;5035=900;5034=900},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,0
1120,11,20,6,{5037=1050;5000=3500;5039=1050;5038=1050},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,0
1121,11,21,6,{5040=1250;5000=4000;5042=1250;5041=1250},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,0
1122,11,22,6,{5044=1333;5000=4500;5045=1333;5043=1333},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,0
1123,11,23,6,{5048=1333;5000=4500;5047=1333;5046=1333},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,0
1124,11,24,6,{5049=1417;5000=5000;5050=1417;5051=1417},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,0
1125,11,25,6,{5053=1417;5000=5000;5054=1417;5052=1417},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,0
1126,11,26,7,{5055=1500;5000=5500;5056=1500;5057=1500},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,0
1127,11,27,7,{5000=5500;5058=1500;5059=1500;5060=1500},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,0
1128,11,28,7,{5000=6000;5061=1583;5063=1583;5062=1583},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,0
1129,11,29,7,{5000=6000;5064=1583;5065=1583;5066=1583},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,0
1130,11,30,7,{5000=6500;5067=1667;5069=1667;5068=1667},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,0
1131,11,31,7,{5000=6500;5071=1667;5072=1667;5070=1667},900000,262.678,6.3,56.07,22.47,56.07,22.47,48783,1170,10414,4174,10414,4174,0
1132,11,32,7,{5000=8000;5075=1800;5073=1800;5074=1800},950000,270.183,6.48,57.672,23.112,57.672,23.112,50659,1215,10815,4335,10815,4335,0
1133,11,33,7,{5000=10000;5077=1850;5078=1850;5076=1850},1000000,278.288,6.67,59.402,23.805,59.402,23.805,52179,1251,11139,4465,11139,4465,0
1134,11,34,7,{5000=12000;5080=1900;5079=1900;5081=1900},1050000,286.637,6.87,61.184,24.52,61.184,24.52,53744,1289,11474,4599,11474,4599,0
1135,11,35,7,{5000=14000;5084=1950;5083=1950;5082=1950},1100000,295.236,7.08,63.02,25.255,63.02,25.255,55356,1328,11818,4737,11818,4737,0
1136,11,36,7,{5000=16000;5085=2000;5087=2000;5086=2000},1150000,304.093,7.29,64.91,26.013,64.91,26.013,57017,1367,12172,4879,12172,4879,0
1137,11,37,7,{5000=18000;5090=2100;5089=2100;5088=2100},1200000,313.216,7.51,66.858,26.793,66.858,26.793,58728,1409,12538,5025,12538,5025,0
1138,11,38,7,{5000=20000;5091=2100;5092=2100;5093=2100},1250000,322.613,7.74,68.863,27.597,68.863,27.597,60489,1451,12914,5176,12914,5176,0
1139,11,39,7,{5000=25000;5095=2100;5094=2100;5096=2100},1300000,332.291,7.97,70.929,28.425,70.929,28.425,62304,1494,13301,5332,13301,5332,0
1140,11,40,7,{5000=30000;5098=2100;5099=2100;5097=2100},1350000,342.26,8.21,73.057,29.278,73.057,29.278,64173,1539,13700,5491,13700,5491,0
1141,11,41,7,{5000=35000;5102=2100;5100=2100;5101=2100},1400000,352.528,8.45,75.249,30.156,75.249,30.156,66099,1585,14111,5656,14111,5656,0
1142,11,42,7,{5000=40000;5105=2100;5103=2100;5104=2100},1450000,363.103,8.71,77.506,31.061,77.506,31.061,68081,1633,14534,5826,14534,5826,0
1143,11,43,7,{5000=50000;5107=2100;5108=2100;5106=2100},1500000,373.996,8.97,79.832,31.992,79.832,31.992,70124,1682,14970,6001,14970,6001,0
1201,12,1,1,{5001=1;5000=1;5003=1;5002=1},5000,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,12,2,2,{5001=3;5000=14;5003=3;5002=3},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,0
1203,12,3,2,{5005=8;5004=4;5000=21;5006=4},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,0
1204,12,4,2,{5005=17;5004=6;5000=28;5006=6},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,0
1205,12,5,3,{5009=8;5000=42;5008=25;5007=8},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,0
