变量名,zawakeID,_beizhu,awakeSeqID,pos,scale,awakeDes1,awakeDes1_tw,awakeDes1_en,awakeDes1_vn,awakeDes1_kr,awakeDes1_pt,awakeDes1_th,isOpen,unlockType1,unlockLimit1,unlockType2,unlockLimit2
10201,2,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
10202,2,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
10203,2,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=160;zawakeStage=208;advance=15},-1,{}
10204,2,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=9;zawakeStage=308;nvalueSum=140},-1,{}
10205,2,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=220;zawakeStage=408;advance=16},-1,{}
10206,2,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=12;equipAwakeSum=4},-1,{}
10207,2,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=300;zawakeStage=608;advance=17},-1,{}
10208,2,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=15;zawakeStage=708;nvalueSum=140},-1,{}
11101,11,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
11102,11,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
11103,11,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=150;zawakeStage=208;advance=14},-1,{}
11104,11,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=8;zawakeStage=308;nvalueSum=140},-1,{}
11105,11,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=200;zawakeStage=408;advance=15},-1,{}
11106,11,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=10;equipAwakeSum=4},-1,{}
11107,11,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=250;zawakeStage=608;advance=16},-1,{}
11108,11,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=12;zawakeStage=708;nvalueSum=140},-1,{}
11201,12,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
11202,12,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
11203,12,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=160;zawakeStage=208;advance=15},-1,{}
11204,12,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=9;zawakeStage=308;nvalueSum=140},-1,{}
11205,12,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=220;zawakeStage=408;advance=16},-1,{}
11206,12,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=12;equipAwakeSum=4},-1,{}
11207,12,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=300;zawakeStage=608;advance=17},-1,{}
11208,12,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=15;zawakeStage=708;nvalueSum=140},-1,{}
11301,13,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
11302,13,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
11303,13,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=160;zawakeStage=208;advance=15},-1,{}
11304,13,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=9;zawakeStage=308;nvalueSum=140},-1,{}
11305,13,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=220;zawakeStage=408;advance=16},-1,{}
11306,13,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=12;equipAwakeSum=4},-1,{}
11307,13,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=300;zawakeStage=608;advance=17},-1,{}
11308,13,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=15;zawakeStage=708;nvalueSum=140},-1,{}
12101,21,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
12102,21,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
12103,21,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=150;zawakeStage=208;advance=14},-1,{}
12104,21,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=8;zawakeStage=308;nvalueSum=140},-1,{}
12105,21,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=200;zawakeStage=408;advance=15},-1,{}
12106,21,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=10;equipAwakeSum=4},-1,{}
12107,21,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=250;zawakeStage=608;advance=16},-1,{}
12108,21,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=12;zawakeStage=708;nvalueSum=140},-1,{}
12201,22,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
12202,22,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
12203,22,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=160;zawakeStage=208;advance=15},-1,{}
12204,22,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=9;zawakeStage=308;nvalueSum=140},-1,{}
12205,22,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=220;zawakeStage=408;advance=16},-1,{}
12206,22,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=12;equipAwakeSum=4},-1,{}
12207,22,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=300;zawakeStage=608;advance=17},-1,{}
12208,22,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=15;zawakeStage=708;nvalueSum=140},-1,{}
13101,31,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
13102,31,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
13103,31,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=150;zawakeStage=208;advance=14},-1,{}
13104,31,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=8;zawakeStage=308;nvalueSum=140},-1,{}
13105,31,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=200;zawakeStage=408;advance=15},-1,{}
13106,31,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=10;equipAwakeSum=4},-1,{}
13107,31,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=250;zawakeStage=608;advance=16},-1,{}
13108,31,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=12;zawakeStage=708;nvalueSum=140},-1,{}
14101,41,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
14102,41,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
14103,41,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=150;zawakeStage=208;advance=14},-1,{}
14104,41,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=8;zawakeStage=308;nvalueSum=140},-1,{}
14105,41,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=200;zawakeStage=408;advance=15},-1,{}
14106,41,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=10;equipAwakeSum=4},-1,{}
14107,41,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=250;zawakeStage=608;advance=16},-1,{}
14108,41,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=12;zawakeStage=708;nvalueSum=140},-1,{}
14201,42,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
14202,42,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
14203,42,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=150;zawakeStage=208;advance=14},-1,{}
14204,42,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=8;zawakeStage=308;nvalueSum=140},-1,{}
14205,42,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=200;zawakeStage=408;advance=15},-1,{}
14206,42,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=10;equipAwakeSum=4},-1,{}
14207,42,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=250;zawakeStage=608;advance=16},-1,{}
14208,42,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=12;zawakeStage=708;nvalueSum=140},-1,{}
15101,51,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
15102,51,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
15103,51,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=150;zawakeStage=208;advance=14},-1,{}
15104,51,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=8;zawakeStage=308;nvalueSum=140},-1,{}
