变量名,zawakeID,awakeSeqID,level,costItemMap,exp,attrAddType,natureType,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,extraScene,extraAttrs,skillID,viceHeldItem,activeReq
101406,1,4,6,{50001=10;gold=680000;59001=10;501=1},80,1,0,1,998,7,198,8,198,9,139,10,139,<0>,{91=300},0,FALSE,{}
101407,1,4,7,{50001=11;gold=750000;59001=11;501=1},80,1,0,1,1007,7,200,8,200,9,141,10,141,<>,{},0,FALSE,{}
101408,1,4,8,{50001=11;gold=810000;230=1;501=1;59001=11},80,1,0,1,1017,7,202,8,202,9,142,10,142,<>,{},79004,FALSE,{effort=9;equipStarSum=8;zawakeStage=308;nvalueSum=140}
101501,1,5,1,{59001=9;50001=9;gold=530000},100,1,0,1,1023,7,203,8,203,9,143,10,143,<>,{},0,FALSE,{}
101502,1,5,2,{59001=9;50001=9;gold=620000},100,1,0,1,1034,7,205,8,205,9,144,10,144,<>,{},0,FALSE,{}
101503,1,5,3,{59001=10;50001=10;gold=720000},100,1,0,1,1044,7,207,8,207,9,146,10,146,<>,{},0,FALSE,{}
101504,1,5,4,{59001=10;50001=10;gold=810000},100,1,0,1,1054,7,209,8,209,9,147,10,147,<6;10>,{14=500;16=500},0,FALSE,{}
101505,1,5,5,{502=1;50001=11;gold=930000;501=1;59001=11},100,1,0,1,1064,7,211,8,211,9,149,10,149,<>,{},0,FALSE,{}
101506,1,5,6,{502=1;50001=11;gold=1020000;501=1;59001=11},100,1,0,1,1075,7,213,8,213,9,150,10,150,<>,{},0,FALSE,{}
101507,1,5,7,{502=1;50001=12;gold=1130000;501=1;59001=12},100,1,0,1,1085,7,215,8,215,9,151,10,151,<>,{},0,FALSE,{}
101508,1,5,8,{502=1;200=1;gold=1220000;50001=12;59001=12;501=1},100,1,0,1,1095,7,217,8,217,9,153,10,153,<0>,{23=300;22=300},0,FALSE,{}
101601,1,6,1,{59001=10;50001=10;gold=800000},125,1,0,1,1097,7,218,8,218,9,153,10,153,<>,{},0,FALSE,{}
101602,1,6,2,{59001=10;50001=10;gold=930000},125,1,0,1,1107,7,220,8,220,9,155,10,155,<>,{},0,FALSE,{}
101603,1,6,3,{502=1;50001=11;gold=1080000;501=1;59001=11},125,1,0,1,1118,7,222,8,222,9,156,10,156,<>,{},0,FALSE,{}
101604,1,6,4,{502=1;50001=11;gold=1220000;501=1;59001=11},125,1,0,1,1129,7,224,8,224,9,158,10,158,<13>,{23=800;22=800},0,FALSE,{}
101605,1,6,5,{502=1;50001=12;gold=1400000;501=1;59001=12},125,1,0,1,1140,7,226,8,226,9,159,10,159,<>,{},0,FALSE,{}
101606,1,6,6,{502=1;50001=12;gold=1530000;501=1;59001=12},125,1,0,1,1151,7,228,8,228,9,161,10,161,<0>,{13=3%},0,FALSE,{}
101607,1,6,7,{502=2;200=1;gold=1700000;50001=13;59001=13;501=2},125,1,0,1,1162,7,231,8,231,9,162,10,162,<>,{},0,FALSE,{}
101608,1,6,8,{502=2;50001=13;gold=1830000;501=2;59001=13;2152=1},125,1,0,1,1173,7,233,8,233,9,164,10,164,<>,{},79003,FALSE,{effort=11;zawakeStage=508;equipStarSum=10;equipAwakeSum=4}
101701,1,7,1,{59001=11;50001=11;gold=1200000},150,1,0,1,1170,7,232,8,232,9,163,10,163,<>,{},0,FALSE,{}
101702,1,7,2,{59001=11;50001=11;gold=1400000},150,1,0,1,1181,7,234,8,234,9,165,10,165,<>,{},0,FALSE,{}
101703,1,7,3,{59001=12;50001=12;gold=1620000},150,1,0,1,1193,7,237,8,237,9,166,10,166,<>,{},0,FALSE,{}
101704,1,7,4,{59001=12;50001=12;gold=1830000},150,1,0,1,1205,7,239,8,239,9,168,10,168,<0>,{25=300;24=300},0,FALSE,{}
101705,1,7,5,{59001=13;50001=13;gold=2100000},150,1,0,1,1216,7,241,8,241,9,170,10,170,<>,{},0,FALSE,{}
101706,1,7,6,{59001=13;50001=13;gold=2300000},150,1,0,1,1228,7,244,8,244,9,171,10,171,<>,{},0,FALSE,{}
101707,1,7,7,{59001=14;50001=14;gold=2550000},150,1,0,1,1240,7,246,8,246,9,173,10,173,<>,{},0,FALSE,{}
101708,1,7,8,{59001=14;50001=14;gold=2750000},150,1,0,1,1251,7,248,8,248,9,175,10,175,<0>,{23=500;22=500},0,FALSE,{}
101801,1,8,1,{59001=12;50001=12;gold=1800000},200,1,0,1,1243,7,247,8,247,9,173,10,173,<>,{},0,FALSE,{}
101802,1,8,2,{59001=12;50001=12;gold=2100000},200,1,0,1,1255,7,249,8,249,9,175,10,175,<>,{},0,FALSE,{}
101803,1,8,3,{59001=13;50001=13;gold=2430000},200,1,0,1,1268,7,251,8,251,9,177,10,177,<>,{},0,FALSE,{}
101804,1,8,4,{59001=13;50001=13;gold=2750000},200,1,0,1,1280,7,254,8,254,9,179,10,179,<0>,{14=300;15=300},0,FALSE,{}
101805,1,8,5,{59001=14;50001=14;gold=3150000},200,1,0,1,1292,7,256,8,256,9,180,10,180,<>,{},0,FALSE,{}
101806,1,8,6,{59001=14;50001=14;gold=3450000},200,1,0,1,1305,7,259,8,259,9,182,10,182,<>,{},0,FALSE,{}
101807,1,8,7,{59001=15;50001=15;gold=3830000},200,1,0,1,1317,7,261,8,261,9,184,10,184,<>,{},0,FALSE,{}
101808,1,8,8,{59001=15;50001=15;gold=4130000},200,1,0,1,1330,7,264,8,264,9,186,10,186,<0>,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},0,FALSE,{}
102101,2,1,1,{gold=150000;50001=4;59002=4},75,1,0,1,853,7,169,8,169,9,119,10,119,<>,{},0,FALSE,{}
102102,2,1,2,{gold=180000;50001=4;59002=4},75,1,0,1,862,7,171,8,171,9,120,10,120,<>,{},0,FALSE,{}
102103,2,1,3,{gold=210000;50001=5;59002=5},75,1,0,1,870,7,172,8,172,9,121,10,121,<>,{},0,FALSE,{}
102104,2,1,4,{gold=240000;50001=5;59002=5},75,1,0,1,879,7,174,8,174,9,123,10,123,<0>,{1=3%},0,FALSE,{}
102105,2,1,5,{gold=270000;50001=6;59002=6},75,1,0,1,887,7,176,8,176,9,124,10,124,<>,{},0,FALSE,{}
102106,2,1,6,{gold=300000;50001=6;59002=6},75,1,0,1,896,7,177,8,177,9,125,10,125,<>,{},0,FALSE,{}
102107,2,1,7,{50001=7;gold=330000;501=1;59002=7},75,1,0,1,904,7,179,8,179,9,126,10,126,<>,{},0,FALSE,{}
102108,2,1,8,{50001=7;gold=360000;501=1;59002=7},75,1,0,1,913,7,181,8,181,9,127,10,127,<0>,{25=300;24=300},0,FALSE,{}
102201,2,2,1,{gold=230000;50001=6;59002=6},90,1,0,1,938,7,186,8,186,9,131,10,131,<>,{},0,FALSE,{}
102202,2,2,2,{gold=270000;50001=6;59002=6},90,1,0,1,948,7,188,8,188,9,132,10,132,<>,{},0,FALSE,{}
102203,2,2,3,{gold=320000;50001=7;59002=7},90,1,0,1,957,7,190,8,190,9,134,10,134,<>,{},0,FALSE,{}
102204,2,2,4,{gold=360000;50001=7;59002=7},90,1,0,1,966,7,191,8,191,9,135,10,135,<0>,{7=3%;8=3%},0,FALSE,{}
102205,2,2,5,{50001=8;gold=410000;501=1;59002=8},90,1,0,1,976,7,193,8,193,9,136,10,136,<>,{},0,FALSE,{}
102206,2,2,6,{50001=8;gold=450000;501=1;59002=8},90,1,0,1,985,7,195,8,195,9,137,10,137,<>,{},0,FALSE,{}
102207,2,2,7,{50001=9;gold=500000;501=1;59002=9},90,1,0,1,995,7,197,8,197,9,139,10,139,<>,{},0,FALSE,{}
102208,2,2,8,{50001=9;gold=540000;501=1;59002=9},90,1,0,1,1004,7,199,8,199,9,140,10,140,<>,{},79001,FALSE,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2}
102301,2,3,1,{gold=350000;50001=7;59002=7},105,1,0,1,1024,7,203,8,203,9,143,10,143,<>,{},0,FALSE,{}
102302,2,3,2,{gold=410000;50001=7;59002=7},105,1,0,1,1034,7,205,8,205,9,144,10,144,<>,{},0,FALSE,{}
102303,2,3,3,{50001=8;gold=480000;501=1;59002=8},105,1,0,1,1044,7,207,8,207,9,146,10,146,<>,{},0,FALSE,{}
102304,2,3,4,{50001=8;gold=540000;501=1;59002=8},105,1,0,1,1054,7,209,8,209,9,147,10,147,<2;12>,{25=500;24=500},0,FALSE,{}
102305,2,3,5,{50001=9;gold=620000;501=1;59002=9},105,1,0,1,1065,7,211,8,211,9,149,10,149,<>,{},0,FALSE,{}
102306,2,3,6,{50001=9;gold=680000;501=1;59002=9},105,1,0,1,1075,7,213,8,213,9,150,10,150,<>,{},0,FALSE,{}
102307,2,3,7,{50001=10;gold=750000;501=1;59002=10},105,1,0,1,1085,7,215,8,215,9,151,10,151,<>,{},0,FALSE,{}
102308,2,3,8,{220=1;50001=10;gold=810000;501=1;59002=10},105,1,0,1,1095,7,217,8,217,9,153,10,153,<>,{},79002,FALSE,{star=9;goodFeel=160;zawakeStage=208;advance=15}
102401,2,4,1,{gold=530000;50001=9;59002=9},120,1,0,1,1109,7,220,8,220,9,155,10,155,<>,{},0,FALSE,{}
102402,2,4,2,{gold=620000;50001=9;59002=9},120,1,0,1,1120,7,222,8,222,9,156,10,156,<>,{},0,FALSE,{}
102403,2,4,3,{50001=10;gold=720000;501=1;59002=10},120,1,0,1,1131,7,224,8,224,9,158,10,158,<>,{},0,FALSE,{}
102404,2,4,4,{50001=10;gold=810000;501=1;59002=10},120,1,0,1,1142,7,226,8,226,9,159,10,159,<0>,{14=300;16=300},0,FALSE,{}
102405,2,4,5,{50001=11;gold=930000;501=2;59002=11},120,1,0,1,1153,7,228,8,228,9,161,10,161,<>,{},0,FALSE,{}
102406,2,4,6,{50001=11;gold=1020000;501=2;59002=11},120,1,0,1,1164,7,231,8,231,9,162,10,162,<0>,{91=300},0,FALSE,{}
102407,2,4,7,{50001=12;gold=1130000;230=1;501=2;59002=12},120,1,0,1,1175,7,233,8,233,9,164,10,164,<>,{},0,FALSE,{}
102408,2,4,8,{50001=12;gold=1220000;501=2;2152=1;59002=12},120,1,0,1,1187,7,235,8,235,9,166,10,166,<>,{},79004,FALSE,{effort=9;equipStarSum=9;zawakeStage=308;nvalueSum=140}
102501,2,5,1,{502=2;50001=10;gold=800000;59002=10},150,1,0,1,1194,7,237,8,237,9,167,10,167,<>,{},0,FALSE,{}
102502,2,5,2,{502=2;50001=10;gold=930000;59002=10},150,1,0,1,1206,7,239,8,239,9,168,10,168,<>,{},0,FALSE,{}
102503,2,5,3,{502=2;50001=11;gold=1080000;501=1;59002=11},150,1,0,1,1218,7,241,8,241,9,170,10,170,<>,{},0,FALSE,{}
102504,2,5,4,{502=2;50001=11;gold=1220000;501=2;59002=11},150,1,0,1,1230,7,244,8,244,9,172,10,172,<6;10>,{14=500;16=500},0,FALSE,{}
102505,2,5,5,{502=2;50001=12;gold=1400000;501=2;59002=12},150,1,0,1,1242,7,246,8,246,9,173,10,173,<>,{},0,FALSE,{}
102506,2,5,6,{502=3;50001=12;gold=1530000;501=2;59002=12},150,1,0,1,1254,7,248,8,248,9,175,10,175,<>,{},0,FALSE,{}
102507,2,5,7,{502=3;50001=13;gold=1700000;501=2;59002=13},150,1,0,1,1266,7,251,8,251,9,177,10,177,<>,{},0,FALSE,{}
102508,2,5,8,{50001=13;gold=1830000;200=1;210=1;59002=13},150,1,0,1,1278,7,253,8,253,9,178,10,178,<0>,{23=300;22=300},0,FALSE,{}
102601,2,6,1,{502=2;50001=11;gold=1200000;59002=11},188,1,0,1,1280,7,254,8,254,9,179,10,179,<>,{},0,FALSE,{}
102602,2,6,2,{502=2;50001=11;gold=1400000;59002=11},188,1,0,1,1292,7,256,8,256,9,180,10,180,<>,{},0,FALSE,{}
102603,2,6,3,{502=3;50001=12;gold=1620000;501=2;59002=12},188,1,0,1,1305,7,259,8,259,9,182,10,182,<>,{},0,FALSE,{}
102604,2,6,4,{502=3;50001=12;gold=1830000;501=2;59002=12},188,1,0,1,1318,7,261,8,261,9,184,10,184,<13>,{23=800;22=800},0,FALSE,{}
102605,2,6,5,{502=3;50001=13;gold=2100000;501=3;59002=13},188,1,0,1,1331,7,264,8,264,9,186,10,186,<>,{},0,FALSE,{}
102606,2,6,6,{502=3;50001=13;gold=2300000;501=3;59002=13},188,1,0,1,1343,7,266,8,266,9,187,10,187,<0>,{13=3%},0,FALSE,{}
102607,2,6,7,{502=4;50001=14;gold=2550000;501=3;2152=1;59002=14},188,1,0,1,1356,7,269,8,269,9,189,10,189,<>,{},0,FALSE,{}
102608,2,6,8,{502=4;50001=14;gold=2750000;501=3;2152=1;59002=14},188,1,0,1,1369,7,271,8,271,9,191,10,191,<>,{},79003,FALSE,{effort=11;zawakeStage=508;equipStarSum=12;equipAwakeSum=4}
102701,2,7,1,{gold=1800000;50001=12;59002=12},225,1,0,1,1365,7,270,8,270,9,190,10,190,<>,{},0,FALSE,{}
102702,2,7,2,{gold=2100000;50001=12;59002=12},225,1,0,1,1378,7,273,8,273,9,192,10,192,<>,{},0,FALSE,{}
102703,2,7,3,{gold=2430000;50001=13;59002=13},225,1,0,1,1392,7,276,8,276,9,194,10,194,<>,{},0,FALSE,{}
102704,2,7,4,{gold=2750000;50001=13;59002=13},225,1,0,1,1406,7,279,8,279,9,196,10,196,<0>,{25=300;24=300},0,FALSE,{}
102705,2,7,5,{gold=3150000;50001=14;59002=14},225,1,0,1,1419,7,281,8,281,9,198,10,198,<>,{},0,FALSE,{}
102706,2,7,6,{gold=3450000;50001=14;59002=14},225,1,0,1,1433,7,284,8,284,9,200,10,200,<>,{},0,FALSE,{}
102707,2,7,7,{gold=3830000;50001=15;59002=15},225,1,0,1,1447,7,287,8,287,9,202,10,202,<>,{},0,FALSE,{}
102708,2,7,8,{gold=4130000;50001=15;59002=15},225,1,0,1,1460,7,289,8,289,9,204,10,204,<0>,{23=500;22=500},0,FALSE,{}
102801,2,8,1,{gold=2700000;50001=13;59002=13},300,1,0,1,1450,7,287,8,287,9,202,10,202,<>,{},0,FALSE,{}
102802,2,8,2,{gold=3150000;50001=13;59002=13},300,1,0,1,1465,7,290,8,290,9,204,10,204,<>,{},0,FALSE,{}
102803,2,8,3,{gold=3650000;50001=14;59002=14},300,1,0,1,1479,7,293,8,293,9,206,10,206,<>,{},0,FALSE,{}
102804,2,8,4,{gold=4130000;50001=14;59002=14},300,1,0,1,1494,7,296,8,296,9,208,10,208,<0>,{14=300;15=300},0,FALSE,{}
102805,2,8,5,{gold=4730000;50001=15;59002=15},300,1,0,1,1508,7,299,8,299,9,210,10,210,<>,{},0,FALSE,{}
102806,2,8,6,{gold=5180000;50001=15;59002=15},300,1,0,1,1523,7,302,8,302,9,212,10,212,<>,{},0,FALSE,{}
102807,2,8,7,{gold=5750000;50001=16;59002=16},300,1,0,1,1537,7,305,8,305,9,214,10,214,<>,{},0,FALSE,{}
102808,2,8,8,{gold=6200000;50001=16;59002=16},300,1,0,1,1552,7,307,8,307,9,216,10,216,<0>,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},0,FALSE,{}
111101,11,1,1,{59001=3;50011=3;gold=100000},50,1,0,1,731,7,145,8,145,9,102,10,102,<>,{},0,FALSE,{}
111102,11,1,2,{59001=3;50011=3;gold=120000},50,1,0,1,738,7,146,8,146,9,103,10,103,<>,{},0,FALSE,{}
111103,11,1,3,{59001=4;50011=4;gold=140000},50,1,0,1,746,7,148,8,148,9,104,10,104,<>,{},0,FALSE,{}
111104,11,1,4,{59001=4;50011=4;gold=160000},50,1,0,1,753,7,149,8,149,9,105,10,105,<0>,{1=3%},0,FALSE,{}
111105,11,1,5,{59001=5;50011=5;gold=180000},50,1,0,1,760,7,151,8,151,9,106,10,106,<>,{},0,FALSE,{}
111106,11,1,6,{59001=5;50011=5;gold=200000},50,1,0,1,768,7,152,8,152,9,107,10,107,<>,{},0,FALSE,{}
111107,11,1,7,{59001=6;50011=6;gold=220000},50,1,0,1,775,7,154,8,154,9,108,10,108,<>,{},0,FALSE,{}
111108,11,1,8,{gold=240000;501=1;59001=6;50011=6},50,1,0,1,782,7,155,8,155,9,109,10,109,<0>,{25=300;24=300},0,FALSE,{}
111201,11,2,1,{59001=5;50011=5;gold=150000},60,1,0,1,804,7,160,8,160,9,112,10,112,<>,{},0,FALSE,{}
111202,11,2,2,{59001=5;50011=5;gold=180000},60,1,0,1,812,7,161,8,161,9,113,10,113,<>,{},0,FALSE,{}
111203,11,2,3,{59001=6;50011=6;gold=210000},60,1,0,1,820,7,163,8,163,9,114,10,114,<>,{},0,FALSE,{}
111204,11,2,4,{59001=6;50011=6;gold=240000},60,1,0,1,828,7,164,8,164,9,116,10,116,<0>,{7=3%;8=3%},0,FALSE,{}
111205,11,2,5,{59001=7;50011=7;gold=270000},60,1,0,1,836,7,166,8,166,9,117,10,117,<>,{},0,FALSE,{}
111206,11,2,6,{59001=7;50011=7;gold=300000},60,1,0,1,844,7,167,8,167,9,118,10,118,<>,{},0,FALSE,{}
111207,11,2,7,{gold=330000;501=1;59001=8;50011=8},60,1,0,1,852,7,169,8,169,9,119,10,119,<>,{},0,FALSE,{}
111208,11,2,8,{gold=360000;501=1;59001=8;50011=8},60,1,0,1,860,7,171,8,171,9,120,10,120,<>,{},79001,FALSE,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2}
111301,11,3,1,{59001=6;50011=6;gold=230000},70,1,0,1,877,7,174,8,174,9,122,10,122,<>,{},0,FALSE,{}
111302,11,3,2,{59001=6;50011=6;gold=270000},70,1,0,1,886,7,176,8,176,9,124,10,124,<>,{},0,FALSE,{}
111303,11,3,3,{59001=7;50011=7;gold=320000},70,1,0,1,895,7,177,8,177,9,125,10,125,<>,{},0,FALSE,{}
111304,11,3,4,{59001=7;50011=7;gold=360000},70,1,0,1,904,7,179,8,179,9,126,10,126,<2;12>,{25=500;24=500},0,FALSE,{}
111305,11,3,5,{59001=8;50011=8;gold=410000},70,1,0,1,912,7,181,8,181,9,127,10,127,<>,{},0,FALSE,{}
111306,11,3,6,{gold=450000;501=1;59001=8;50011=8},70,1,0,1,921,7,183,8,183,9,129,10,129,<>,{},0,FALSE,{}
111307,11,3,7,{gold=500000;501=1;59001=9;50011=9},70,1,0,1,930,7,184,8,184,9,130,10,130,<>,{},0,FALSE,{}
111308,11,3,8,{501=1;gold=540000;223=1;59001=9;50011=9},70,1,0,1,939,7,186,8,186,9,131,10,131,<>,{},79002,FALSE,{star=9;goodFeel=150;zawakeStage=208;advance=14}
111401,11,4,1,{59001=8;50011=8;gold=350000},80,1,0,1,950,7,189,8,189,9,133,10,133,<>,{},0,FALSE,{}
111402,11,4,2,{59001=8;50011=8;gold=410000},80,1,0,1,960,7,190,8,190,9,134,10,134,<>,{},0,FALSE,{}
111403,11,4,3,{59001=9;50011=9;gold=480000},80,1,0,1,969,7,192,8,192,9,135,10,135,<>,{},0,FALSE,{}
111404,11,4,4,{59001=9;50011=9;gold=540000},80,1,0,1,979,7,194,8,194,9,137,10,137,<0>,{14=300;16=300},0,FALSE,{}
111405,11,4,5,{59001=10;50011=10;gold=620000},80,1,0,1,988,7,196,8,196,9,138,10,138,<>,{},0,FALSE,{}
111406,11,4,6,{gold=680000;501=1;59001=10;50011=10},80,1,0,1,998,7,198,8,198,9,139,10,139,<0>,{91=300},0,FALSE,{}
111407,11,4,7,{gold=750000;501=1;59001=11;50011=11},80,1,0,1,1007,7,200,8,200,9,141,10,141,<>,{},0,FALSE,{}
111408,11,4,8,{59001=11;gold=810000;233=1;501=1;50011=11},80,1,0,1,1017,7,202,8,202,9,142,10,142,<>,{},79004,FALSE,{effort=9;equipStarSum=8;zawakeStage=308;nvalueSum=140}
111501,11,5,1,{59001=9;50011=9;gold=530000},100,1,0,1,1023,7,203,8,203,9,143,10,143,<>,{},0,FALSE,{}
111502,11,5,2,{59001=9;50011=9;gold=620000},100,1,0,1,1034,7,205,8,205,9,144,10,144,<>,{},0,FALSE,{}
111503,11,5,3,{59001=10;50011=10;gold=720000},100,1,0,1,1044,7,207,8,207,9,146,10,146,<>,{},0,FALSE,{}
111504,11,5,4,{59001=10;50011=10;gold=810000},100,1,0,1,1054,7,209,8,209,9,147,10,147,<6;10>,{14=500;16=500},0,FALSE,{}
111505,11,5,5,{502=1;gold=930000;501=1;59001=11;50011=11},100,1,0,1,1064,7,211,8,211,9,149,10,149,<>,{},0,FALSE,{}
111506,11,5,6,{502=1;gold=1020000;501=1;59001=11;50011=11},100,1,0,1,1075,7,213,8,213,9,150,10,150,<>,{},0,FALSE,{}
111507,11,5,7,{502=1;gold=1130000;501=1;59001=12;50011=12},100,1,0,1,1085,7,215,8,215,9,151,10,151,<>,{},0,FALSE,{}
111508,11,5,8,{502=1;203=1;gold=1220000;501=1;59001=12;50011=12},100,1,0,1,1095,7,217,8,217,9,153,10,153,<0>,{23=300;22=300},0,FALSE,{}
111601,11,6,1,{59001=10;50011=10;gold=800000},125,1,0,1,1097,7,218,8,218,9,153,10,153,<>,{},0,FALSE,{}
111602,11,6,2,{59001=10;50011=10;gold=930000},125,1,0,1,1107,7,220,8,220,9,155,10,155,<>,{},0,FALSE,{}
111603,11,6,3,{502=1;gold=1080000;501=1;59001=11;50011=11},125,1,0,1,1118,7,222,8,222,9,156,10,156,<>,{},0,FALSE,{}
111604,11,6,4,{502=1;gold=1220000;501=1;59001=11;50011=11},125,1,0,1,1129,7,224,8,224,9,158,10,158,<13>,{23=800;22=800},0,FALSE,{}
111605,11,6,5,{502=1;gold=1400000;501=1;59001=12;50011=12},125,1,0,1,1140,7,226,8,226,9,159,10,159,<>,{},0,FALSE,{}
111606,11,6,6,{502=1;gold=1530000;501=1;59001=12;50011=12},125,1,0,1,1151,7,228,8,228,9,161,10,161,<0>,{13=3%},0,FALSE,{}
111607,11,6,7,{502=2;203=1;gold=1700000;501=2;59001=13;50011=13},125,1,0,1,1162,7,231,8,231,9,162,10,162,<>,{},0,FALSE,{}
