变量名,name,name_tw,name_en,name_vn,name_kr,type,classify,attrAdd,stackMax,theme,icon,res,startResScale,attr,interactivityAttr,roleActionDatas,size,touchSize,relSize,startPos,position,quality,currentNum,languages
51004,湛蓝墙纸,湛藍牆紙,Azure Wallpaper,Giấy dán tường xanh đậm,짙푸른 벽지,2,-1,{1=2430},1,3,city/homeland/home/icon/wall/qm400.png,home/wall2030.tmx,1,{},{},{},{width=12;height=5},{off={offHeight=0;offWidth=0};width=1;height=1},{off={offHeight=0;offWidth=0};width=1;height=1},{x2=0;x=0;y=0;y2=0},4,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
51005,圣诞墙纸,聖誕牆紙,Christmas Wallpaper,Giấy Tường Noel,크리스마스 벽지,2,-1,{8=115},1,4,city/homeland/home/icon/wall/theme4.png,home/wall2040.tmx,1,{},{},{},{width=12;height=5},{off={offHeight=0;offWidth=0};width=1;height=1},{off={offHeight=0;offWidth=0};width=1;height=1},{x2=0;x=0;y=0;y2=0},3,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52001,双人床,雙人床,Double Bed,Giường đôi,2인용 침대,3,0,{1=6385},1,2,city/homeland/home/icon/furniture/bed.png,city/homeland/home/item/furniture/bed.png,0.8,{interactivityTime=300;flip=true;interactivity=true},{interactivityName=sleep_loop;off={y=70;x=-15}},{},{width=4;height=3},{off={offHeight=1;offWidth=2};width=4;height=3},{off={offHeight=1;offWidth=2};width=4;height=3},{y=25;x=-300},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52002,冰箱,冰箱,Refrigerator,Tủ lạnh,냉장고,3,1,{8=275},1,2,city/homeland/home/icon/furniture/bingxiang.png,city/homeland/home/item/furniture/bingxiang.png,1,{flip=true},{},{},{width=2;height=2},{off={offHeight=3;offWidth=3};width=2;height=2},{off={offHeight=3;offWidth=3};width=2;height=2},{y=14;x=-125},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52003,搬家纸箱,搬家紙箱,Carton,Hộp giấy chuyển nhà,이삿짐 박스,3,0,{1=2335},3,2,city/homeland/home/icon/furniture/box.png,city/homeland/home/item/furniture/box.png,1,{flip=true},{},{},{width=2;height=1},{off={offHeight=2;offWidth=2};width=2;height=1},{off={offHeight=2;offWidth=2};width=2;height=1},{y=0;x=-160},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52004,立式地灯,立式地燈,Vertical Floor Lamp,Đèn cây,스텐드 등,3,1,{1=1645},4,1,city/homeland/home/icon/furniture/deng.png,city/homeland/home/item/furniture/deng.png,1,{flip=true},{},{},{width=1;height=1},{off={offHeight=2;offWidth=2};width=1;height=1},{off={offHeight=2;offWidth=2};width=1;height=1},{y=20;x=-40},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52005,可爱隔断,可愛隔斷,Cute Partition,Vách ngăn dễ thương,귀여운 가로막,3,2,{8=185},2,1,city/homeland/home/icon/furniture/geduan.png,city/homeland/home/item/furniture/geduan.png,1,{flip=true},{},{},{width=1;height=3},{off={offHeight=2;offWidth=2};width=2;height=3},{off={offHeight=2;offWidth=2};width=2;height=3},{y=12;x=-55},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52006,滑板,滑板,Skateboard,Ván trượt,보드,3,2,{1=2225},3,2,city/homeland/home/icon/furniture/huaban.png,city/homeland/home/item/furniture/huaban.png,1,{flip=true},{},{},{width=1;height=2},{off={offHeight=0;offWidth=0};width=1;height=2},{off={offHeight=0;offWidth=0};width=1;height=2},{y=17;x=-55},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52007,全身镜,全身鏡,Full-Length Mirror,Gương toàn thân,전신 거울,3,0,{7=295},2,2,city/homeland/home/icon/furniture/mirror.png,city/homeland/home/item/furniture/mirror.png,1,{flip=true},{},{},{width=1;height=1},{off={offHeight=3;offWidth=2};width=1;height=1},{off={offHeight=3;offWidth=2};width=1;height=1},{y=0;x=-50},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52008,音响,音響,Acoustics,Âm thanh,음향,3,0,{7=255},4,2,city/homeland/home/icon/furniture/yinxiang.png,city/homeland/home/item/furniture/yinxiang.png,1.1,{flip=true},{},{},{width=1;height=1},{off={offHeight=0;offWidth=0};width=1;height=1},{off={offHeight=0;offWidth=0};width=1;height=1},{y=10;x=-45},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52009,转杯,轉杯,Rotating Cup,Cốc xoay,컵,3,0,{1=7980},1,2,city/homeland/home/icon/furniture/zhuanbei.png,home/zhuanbei/zhuanbei.json,1,{flip=true},{},{},{width=5;height=5},{off={offHeight=0;offWidth=0};width=5;height=5},{off={offHeight=0;offWidth=0};width=5;height=5},{y=250;x=-5},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52010,写字台,寫字臺,Desk,Bàn làm việc,책상,3,1,{7=800},1,2,city/homeland/home/icon/furniture/shuzhuo.png,city/homeland/home/item/furniture/shuzhuo.png,0.9,{flip=true},{},{},{width=2;height=4},{off={offHeight=1;offWidth=1};width=2;height=4},{off={offHeight=1;offWidth=1};width=2;height=4},{y=30;x=-145},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52011,天蓝沙发,天藍沙發,Sky Blue Sofa,Sofa xanh,파란색 소파,3,2,{7=495},2,2,city/homeland/home/icon/furniture/sofa.png,city/homeland/home/item/furniture/sofa.png,1,{interactivityTime=300;flip=true;interactivity=true},{interactivityName=sleep_loop;off={y=50;x=-25}},{},{width=2;height=3},{off={offHeight=-0.5;offWidth=1};width=2;height=3},{off={offHeight=-0.5;offWidth=1};width=2;height=3},{y=5;x=-130},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52012,D牌电视,D牌電視,D Brand Tv,TV hãng D,D브랜드 TV,3,1,{7=1000},1,2,city/homeland/home/icon/furniture/tv.png,home/tv/tv.json,1,{flip=true},{},{},{width=2;height=1},{off={offHeight=2;offWidth=2};width=2;height=1},{off={offHeight=2;offWidth=2};width=2;height=1},{y=60;x=-35},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52013,熊仔地毯,熊仔地毯,Bear Doll Carpet,Thảm hình gấu,곰 인형 카펫,3,0,{7=380},2,2,city/homeland/home/icon/furniture/tanzi.png,city/homeland/home/item/furniture/tanzi.png,1,{walk=true;flip=true},{},{},{width=3;height=3},{off={offHeight=0;offWidth=0};width=3;height=3},{off={offHeight=0;offWidth=0};width=3;height=3},{y=20;x=-185},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52014,熊仔玩偶,熊仔玩偶,Bear Doll,Gấu bông,공인형 장난감,3,1,{7=650},1,2,city/homeland/home/icon/furniture/wanou.png,city/homeland/home/item/furniture/xiong.png,1,{flip=true},{},{},{width=1;height=2},{off={offHeight=1;offWidth=1};width=1;height=2},{off={offHeight=1;offWidth=1};width=1;height=2},{y=10;x=-50},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52015,矮式餐桌,矮式餐桌,Lowe Dining Table,Bàn ăn thấp,낮은 식탁,3,2,{7=400},2,1,city/homeland/home/icon/furniture/zhuozi.png,city/homeland/home/item/furniture/zhuozi.png,1,{flip=true},{},{},{width=2;height=2},{off={offHeight=0;offWidth=0};width=2;height=2},{off={offHeight=0;offWidth=0};width=2;height=2},{y=0;x=-130},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52016,跷跷板,蹺蹺板,Seesaw,Bập bênh,시소,3,2,{8=360},1,2,city/homeland/home/icon/furniture/qiaoqiaoban.png,home/qiaoqiaoban/qiaoqiaoban.json,1,{interactivityTime=300;interactivity=true},{off={y=-15;x=70};roleActionName=jump;interactivityName=standby_loop;interactFurnName=qiaoqiaoban_loop},{count=1;endPos={y=70;x=-210};time=0.9;height=60},{width=3;height=3},{off={offHeight=0;offWidth=0};width=3;height=3},{off={offHeight=0;offWidth=0};width=3;height=3},{y=120;x=5},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52017,君子兰,君子蘭,Kaffir Lily,Lan quân tử,군자란,3,1,{7=175},4,1,city/homeland/home/icon/furniture/zhiwu.png,city/homeland/home/item/furniture/zhiwu.png,0.85,{flip=true},{},{},{width=1;height=1},{off={offHeight=2;offWidth=2};width=1;height=1},{off={offHeight=2;offWidth=2};width=1;height=1},{y=5;x=-70},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52018,帐篷,帳篷,Tent,Lều,텐트,3,0,{8=300},1,2,city/homeland/home/icon/furniture/zhangpeng.png,city/homeland/home/item/furniture/zhangpeng.png,1,{flip=true},{},{},{width=2;height=2},{off={offHeight=1;offWidth=1};width=2;height=2},{off={offHeight=1;offWidth=1};width=2;height=2},{y=5;x=-130},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52019,秋千,秋千,Swing,Xích đu,그네,3,0,{8=380},1,2,city/homeland/home/icon/furniture/qiuqian.png,home/qiuqian/qiuqian.json,0.9,{interactivityTime=15;interactivity=true},{off={y=105;x=100};roleActionName=sway;interactivityName=standby_loop;interactFurnName=qiuqian_loop},{spine=home/qiuqian/qiuqian.json;effectName=qiuqian2_loop},{width=3;height=3},{off={offHeight=4;offWidth=4};width=3;height=3},{off={offHeight=4;offWidth=4};width=3;height=3},{y=120;x=0},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52020,卷轴矮桌,卷軸矮桌,Reel Low Table,Bàn cuộn,족자 탁자,3,0,{7=295},2,1,city/homeland/home/icon/furniture/zhuozijuanzhou.png,city/homeland/home/item/furniture/zhuozijuanzhou.png,1,{flip=true},{},{},{width=2;height=1},{off={offHeight=1;offWidth=0};width=2;height=1},{off={offHeight=1;offWidth=0};width=2;height=1},{y=25;x=-120},5,5,TRUE,<cn;tw;en;en_zd;vn;kr;th>
52021,日式桌毯,日式桌毯,Japanese Table Blanket,Khăn trải bàn Nhật,일식 탁자포,3,1,{1=5775},1,1,city/homeland/home/icon/furniture/ditanhecha.png,city/homeland/home/item/furniture/ditanhecha.png,0.75,{interactivityTime=300;flip=true;interactivity=true},{interactivityName=sleep_loop;off={y=115;x=160}},{},{width=3;height=6},{off={offHeight=0;offWidth=0};width=3;height=6},{off={offHeight=0;offWidth=0};width=3;height=6},{y=20;x=-218},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52022,榻榻米,榻榻米,Tatami,Chiếu Tatami,다다미,3,2,{1=6080},1,1,city/homeland/home/icon/furniture/tatami.png,city/homeland/home/item/furniture/tatami.png,0.635,{interactivityTime=300;flip=true;interactivity=true},{interactivityName=sleep_loop;off={y=50;x=-35}},{},{width=2;height=3},{off={offHeight=0;offWidth=0};width=2;height=3},{off={offHeight=0;offWidth=0};width=2;height=3},{y=7;x=-160},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52023,蜡烛灯,蠟燭燈,Candle Light,Đèn hình nến,촛등,3,0,{8=85},4,1,city/homeland/home/icon/furniture/lazhudeng.png,city/homeland/home/item/furniture/lazhudeng.png,1,{flip=true},{},{},{width=1;height=1},{off={offHeight=3;offWidth=3};width=1;height=1},{off={offHeight=3;offWidth=3};width=1;height=1},{y=20;x=-50},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52024,浮绘地毯,浮繪地毯,Floating Carpet,Thảm hoa nổi,그림체 카펫,3,1,{7=325},2,1,city/homeland/home/icon/furniture/tanzi2.png,city/homeland/home/item/furniture/tanzi2.png,1,{walk=true;flip=true},{},{},{width=4;height=2},{off={offHeight=0;offWidth=0};width=3;height=2},{off={offHeight=0;offWidth=0};width=3;height=2},{y=0;x=-318},5,5,TRUE,<cn;tw;en;en_zd;vn;kr;th>
52025,桃花枝,桃花枝,Peach Branch,Cành hoa đào,복숭아꽃 가지,3,1,{8=80},4,1,city/homeland/home/icon/furniture/zhiwu1.png,city/homeland/home/item/furniture/zhiwu1.png,1.1,{flip=true},{},{},{width=1;height=1},{off={offHeight=0.2;offWidth=0};width=1;height=1},{off={offHeight=0.2;offWidth=0};width=1;height=1},{y=20;x=-40},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52026,风信子,風信子,Hyacinth,Hoa dạ lan,히아신스,3,2,{7=165},4,1,city/homeland/home/icon/furniture/zhiwu2.png,city/homeland/home/item/furniture/zhiwu2.png,1,{flip=true},{},{},{width=1;height=1},{off={offHeight=0;offWidth=0};width=1;height=1},{off={offHeight=0;offWidth=0};width=1;height=1},{y=20;x=-40},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52027,帖纸隔断,帖紙隔斷,Paper Partition,Vách ngăn giấy,스티커 가로막,3,2,{7=310},2,1,city/homeland/home/icon/furniture/geduan1.png,city/homeland/home/item/furniture/geduan1.png,1,{flip=true},{},{},{width=2;height=1},{off={offHeight=3;offWidth=3};width=2;height=1},{off={offHeight=3;offWidth=3};width=2;height=1},{y=10;x=-140},5,5,TRUE,<cn;tw;en;en_zd;vn;kr;th>
52028,风铃隔断,風鈴隔斷,Wind Chime Partition,Vách ngăn chuông gió,풍령 가로막,3,0,{8=125},2,1,city/homeland/home/icon/furniture/geduan2.png,city/homeland/home/item/furniture/geduan2.png,1,{flip=true},{},{},{width=3;height=1},{off={offHeight=2.5;offWidth=3};width=3;height=1},{off={offHeight=2.5;offWidth=3};width=3;height=1},{y=10;x=-210},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52029,原木书桌,原木書桌,Wooden Desk,Bàn gỗ,원목 책상,3,2,{8=235},1,1,city/homeland/home/icon/furniture/shuzhuo1.png,city/homeland/home/item/furniture/shuzhuo1.png,1,{flip=true},{},{},{width=3;height=2},{off={offHeight=1;offWidth=0};width=3;height=2},{off={offHeight=1;offWidth=0};width=3;height=2},{y=35;x=-240},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52030,茶桌,茶桌,Tea Table,Bàn nước,차 테이블,3,0,{8=300},1,1,city/homeland/home/icon/furniture/fanzhuo.png,city/homeland/home/item/furniture/fanzhuo.png,1,{flip=true},{},{},{width=3;height=3},{off={offHeight=0;offWidth=0};width=3;height=3},{off={offHeight=0;offWidth=0};width=3;height=3},{y=35;x=-175},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52031,浴衣桌,浴衣桌,Bathrobe Table,Bàn áo tắm,가운 테이블,3,0,{1=2595},2,1,city/homeland/home/icon/furniture/yifutaizi.png,city/homeland/home/item/furniture/yifutaizi.png,1,{flip=true},{},{},{width=1;height=3},{off={offHeight=0;offWidth=1};width=1;height=3},{off={offHeight=0;offWidth=1};width=1;height=3},{y=15;x=-60},5,5,TRUE,<cn;tw;en;en_zd;vn;kr;th>
52032,浴缸,浴缸,Bathtub,Bồn tắm,욕조,3,1,{1=7220},1,1,city/homeland/home/icon/furniture/yugang.png,home/bathtub/mutong.json,1,{interactivityTime=300;flip=true;interactivity=true},{off={y=70;x=-35};interactivityName=standby_loop;clip=true;interactFurnName=kaiqi_loop},{},{width=3;height=2},{off={offHeight=1;offWidth=1};width=3;height=2},{off={offHeight=1;offWidth=1};width=3;height=2},{y=60;x=-90},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52033,懒人椅,懶人椅,Lazy Chair,Ghế lười,안락의자,3,1,{1=2345},2,1,city/homeland/home/icon/furniture/yizi.png,city/homeland/home/item/furniture/yizi.png,1,{interactivityTime=300;flip=true;interactivity=true},{interactivityName=sleep_loop;off={y=22;x=-5}},{},{width=1;height=1},{off={offHeight=1;offWidth=1};width=1;height=1},{off={offHeight=1;offWidth=1};width=1;height=1},{y=10;x=-55},5,5,TRUE,<cn;tw;en;en_zd;vn;kr;th>
52034,灯笼,燈籠,Lantern,Đèn lồng,등롱,3,0,{1=1815},4,1,city/homeland/home/icon/furniture/denglong.png,city/homeland/home/item/furniture/denglong.png,1,{flip=true},{},{},{width=1;height=1},{off={offHeight=1;offWidth=1};width=1;height=1},{off={offHeight=1;offWidth=1};width=1;height=1},{y=10;x=-50},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52035,爱心椅,愛心椅,Love Chair,Ghế trái tim,하트 의자,3,1,{8=75},3,2,city/homeland/home/icon/furniture/chair.png,city/homeland/home/item/furniture/chair.png,1,{interactivityTime=300;flip=true;interactivity=true},{interactivityName=standby_loop;off={y=100;x=5}},{},{width=1;height=1},{off={offHeight=1;offWidth=1};width=1;height=1},{off={offHeight=1;offWidth=1};width=1;height=1},{y=25;x=-60},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52036,普通电视,普通電視,Normal Tv,TV thường,일반 TV,3,2,{8=80},2,1,city/homeland/home/icon/furniture/dianshi.png,city/homeland/home/item/furniture/dianshi.png,1,{flip=true},{},{},{width=1;height=2},{off={offHeight=1;offWidth=1};width=1;height=2},{off={offHeight=1;offWidth=1};width=1;height=2},{y=15;x=-55},5,5,TRUE,<cn;tw;en;en_zd;vn;kr;th>
52037,玫红冲浪板,玫紅衝浪板,Rose Red Surfboard,Ván lướt sóng đỏ,붉은 장미 서핑보드,3,2,{8=150},2,3,city/homeland/home/icon/furniture/img_3chonglangb01.png,city/homeland/home/item/furniture/img_3chonglangb01.png,1.2,{flip=true},{},{},{width=1;height=1},{off={offHeight=4;offWidth=4};width=1;height=2},{off={offHeight=1;offWidth=1};width=1;height=2},{y=12;x=-32},4,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52038,西瓜冲浪板,西瓜衝浪板,Watermelon Surfboard,Ván lướt sóng dưa hấu,수박 서핑보드,3,1,{7=520},2,3,city/homeland/home/icon/furniture/img_3chonglangb02.png,city/homeland/home/item/furniture/img_3chonglangb02.png,1.2,{flip=true},{},{},{width=1;height=1},{off={offHeight=4;offWidth=4};width=1;height=2},{off={offHeight=1;offWidth=1};width=1;height=2},{y=12;x=-32},4,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52039,海蓝双人床,海藍雙人床,Sea Blue Double Bed,Giường đôi xanh,2인용 사파이어 침대,3,2,{7=950},1,3,city/homeland/home/icon/furniture/img_3chuang01.png,city/homeland/home/item/furniture/img_3chuang01.png,0.9,{interactivityTime=300;flip=true;interactivity=true},{interactivityName=sleep_loop;off={y=70;x=0}},{},{width=4;height=3},{off={offHeight=1;offWidth=2};width=4;height=3},{off={offHeight=0;offWidth=0};width=4;height=3},{y=20;x=-295},4,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52040,儿童板凳,兒童板凳,Children'S Bench,Ghế trẻ ẻm,어린이 의자,3,0,{8=85},4,3,city/homeland/home/icon/furniture/img_3dengzi01.png,city/homeland/home/item/furniture/img_3dengzi01.png,1,{interactivityTime=300;flip=true;interactivity=true},{interactivityName=sleep_loop;off={y=50;x=-15}},{},{width=1;height=1},{off={offHeight=0;offWidth=0.5};width=1;height=1},{off={offHeight=0;offWidth=0.5};width=1;height=1},{y=10;x=-42},4,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52041,海星地毯,海星地毯,Starfish Carpet,Thảm sao biển,불가사리 카펫,3,0,{7=720},1,3,city/homeland/home/icon/furniture/img_3ditan01.png,city/homeland/home/item/furniture/img_3ditan01.png,1,{walk=true;flip=true},{},{},{width=3;height=3},{off={offHeight=0;offWidth=0};width=3;height=3},{off={offHeight=0;offWidth=0};width=3;height=3},{y=35;x=-145},4,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52042,救生高椅,救生高椅,Lifesaving Chair,Ghế cứu hộ,구명 의자,3,2,{1=4940},2,3,city/homeland/home/icon/furniture/img_3gaoyi.png,city/homeland/home/item/furniture/img_3gaoyi.png,1.1,{flip=true},{},{},{width=2;height=2},{off={offHeight=2;offWidth=4};width=2;height=3},{off={offHeight=2;offWidth=4};width=2;height=3},{y=15;x=-125},4,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52043,琼花,瓊花,Viburnum,Hoa Quỳnh,눈송이,3,1,{1=1645},4,3,city/homeland/home/icon/furniture/img_3huapen01.png,city/homeland/home/item/furniture/img_3huapen01.png,1,{flip=true},{},{},{width=1;height=1},{off={offHeight=1;offWidth=1};width=1;height=1},{off={offHeight=1;offWidth=1};width=1;height=1},{y=15;x=-43},4,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52044,海滩手包,海灘手包,Beach Handbag,Túi đi biển,해변가 핸드백,3,2,{8=150},2,3,city/homeland/home/icon/furniture/img_3lanzi01.png,city/homeland/home/item/furniture/img_3lanzi01.png,1,{flip=true},{},{},{width=2;height=1},{off={offHeight=1;offWidth=1};width=2;height=1},{off={offHeight=1;offWidth=1};width=2;height=1},{y=25;x=-105},4,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52045,明黄水球,明黃水球,Spry Water Polo,Bóng nước vàng,노란색 물공,3,0,{1=3370},2,3,city/homeland/home/icon/furniture/img_3qiu01.png,city/homeland/home/item/furniture/img_3qiu01.png,1.5,{flip=true},{},{},{width=1;height=1},{off={offHeight=1;offWidth=1};width=1;height=1},{off={offHeight=1;offWidth=1};width=1;height=1},{y=15;x=-48},4,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52046,天蓝水球,天藍水球,Celest Water Polo,Bóng nước xanh,파란색 물공,3,1,{8=145},2,3,city/homeland/home/icon/furniture/img_3qiu02.png,city/homeland/home/item/furniture/img_3qiu02.png,1.5,{flip=true},{},{},{width=1;height=1},{off={offHeight=1;offWidth=1};width=1;height=1},{off={offHeight=1;offWidth=1};width=1;height=1},{y=15;x=-48},4,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52047,湛蓝水球,湛藍水球,Azure Water Polo,Bóng nước xanh đậm,짙푸른 물공,3,0,{8=160},2,3,city/homeland/home/icon/furniture/img_3qiu03.png,city/homeland/home/item/furniture/img_3qiu03.png,1.5,{flip=true},{},{},{width=1;height=1},{off={offHeight=1;offWidth=1};width=1;height=1},{off={offHeight=1;offWidth=1};width=1;height=1},{y=15;x=-48},4,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
52048,沙堡,沙堡,Sandcastle,Lâu đài cát,모래성,3,0,{7=905},1,3,city/homeland/home/icon/furniture/img_3shabao.png,city/homeland/home/item/furniture/img_3shabao.png,1.2,{flip=true},{},{},{width=2;height=2},{off={offHeight=1;offWidth=2};width=2;height=2},{off={offHeight=1;offWidth=2};width=2;height=2},{y=40;x=-134},4,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
