变量名,_beizhu,bossID,gateID,baseHP,battleAward,killAward,battleScoreAward,rankAwardVersion,duration,serverKillPoint,buffAdd,buffTime,buffIcon,buffName,buffName_tw,buffName_en,buffName_vn,buffName_kr,buffName_pt,buffName_th,buffDesc,buffDesc_tw,buffDesc_en,buffDesc_vn,buffDesc_kr,buffDesc_pt,buffDesc_th,bossFigure
12,小boss1,<42001;42002>,71001,<45000000;45000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,60,25000,{2=0.15},120,"""city/pvp/cross_mine/buff/icon_buff2.png""",产出增加,產出增加,Product increase,Tăng Sản Lượng,생산 증가,Aumento do produto,เพิ่มผลิตภัณฑ์,击杀者所在服务器玩家的资源生产速度加成+15%,擊殺者所在伺服器玩家的資源生產速度加成+15%,Players on the killer's server gain a +15% bonus to resource production speed,Người chơi trên máy chủ của người hạ gục nhận thưởng +15% tốc độ sản xuất tài nguyên,격살자 소속 서버에 있는 모든 유저는 자원 생산 속도 버프 15% 증가.,Jogadores no servidor do autor da eliminação ganham um bônus de +15% na velocidade de produção de recursos,ผู้เล่นในเซิร์ฟเวอร์ของผู้ที่สังหารได้รับโบนัสความเร็วการผลิตทรัพยากร +15%,<2>
13,小boss1,<42001;42002>,71001,<45000000;45000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,60,25000,{3=0.15},120,"""city/pvp/cross_mine/buff/icon_buff3.png""",抢夺增加,搶奪增加,Plunder increase,Tăng Cướp Đoạt,강탈 증가,Aumento da pilhagem,เพิ่มการปล้น,击杀者所在服务器玩家在竞标对战中抢夺加成+15%，被抢夺损失-15%,擊殺者所在伺服器玩家在競標對戰中搶奪加成+15%，被搶奪損失-15%,Players on the killer's server gain a +15% plunder bonus and -15% loss when plundered in Bidding Battles,Người chơi trên máy chủ của người hạ gục nhận thưởng cướp đoạt +15% và giảm tổn thất khi bị cướp -15% trong Đấu Giá Chiến,"격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 강탈 버프 15% 증가, 피탈 손실 15% 감소.",Jogadores no servidor do autor da eliminação ganham um bônus de saque de +15% e -15% de perdas ao serem saqueados nas Batalhas de Licitação,ผู้เล่นในเซิร์ฟเวอร์ของผู้ที่สังหารได้รับโบนัสการปล้น +15% และการสูญเสียเมื่อถูกปล้น -15% ในการต่อสู้ประมูล,<2>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,小boss1,<42003;42004>,71002,<30000000;30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,60,25000,{1=0.15},120,"""city/pvp/cross_mine/buff/icon_buff1.png""",属性增强,屬性增強,Status enhancement,Cường Hóa Trạng Thái,속성 강화,Melhoria de status,เพิ่มสถานะ,击杀者所在服务器玩家在竞标对战中全属性加成+15%,擊殺者所在伺服器玩家在競標對戰中全屬性加成+15%,Players on the killer's server gain a +15% bonus to all stats in Bidding Battles,Người chơi trên máy chủ của người hạ gục nhận thưởng +15% tất cả thuộc tính trong Đấu Giá Chiến,격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 전 속성 버프 15% 증가.,Jogadores no servidor do autor da eliminação ganham um bônus de +15% em todos os atributos nas Batalhas de Licitação,ผู้เล่นในเซิร์ฟเวอร์ของผู้ที่สังหารได้รับโบนัสคุณสมบัติทั้งหมด +15% ในการต่อสู้ประมูล,<2>
22,小boss1,<42003;42004>,71002,<30000000;30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,60,25000,{2=0.15},120,"""city/pvp/cross_mine/buff/icon_buff2.png""",产出增加,產出增加,Product increase,Tăng Sản Lượng,생산 증가,Aumento do produto,เพิ่มผลิตภัณฑ์,击杀者所在服务器玩家的资源生产速度加成+15%,擊殺者所在伺服器玩家的資源生產速度加成+15%,Players on the killer's server gain a +15% bonus to resource production speed,Người chơi trên máy chủ của người hạ gục nhận thưởng +15% tốc độ sản xuất tài nguyên,격살자 소속 서버에 있는 모든 유저는 자원 생산 속도 버프 15% 증가.,Jogadores no servidor do autor da eliminação ganham um bônus de +15% na velocidade de produção de recursos,ผู้เล่นในเซิร์ฟเวอร์ของผู้ที่สังหารได้รับโบนัสความเร็วการผลิตทรัพยากร +15%,<2>
23,小boss1,<42003;42004>,71002,<30000000;30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,60,25000,{3=0.15},120,"""city/pvp/cross_mine/buff/icon_buff3.png""",抢夺增加,搶奪增加,Plunder increase,Tăng Cướp Đoạt,강탈 증가,Aumento da pilhagem,เพิ่มการปล้น,击杀者所在服务器玩家在竞标对战中抢夺加成+15%，被抢夺损失-15%,擊殺者所在伺服器玩家在競標對戰中搶奪加成+15%，被搶奪損失-15%,Players on the killer's server gain a +15% plunder bonus and -15% loss when plundered in Bidding Battles,Người chơi trên máy chủ của người hạ gục nhận thưởng cướp đoạt +15% và giảm tổn thất khi bị cướp -15% trong Đấu Giá Chiến,"격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 강탈 버프 15% 증가, 피탈 손실 15% 감소.",Jogadores no servidor do autor da eliminação ganham um bônus de saque de +15% e -15% de perdas ao serem saqueados nas Batalhas de Licitação,ผู้เล่นในเซิร์ฟเวอร์ของผู้ที่สังหารได้รับโบนัสการปล้น +15% และการสูญเสียเมื่อถูกปล้น -15% ในการต่อสู้ประมูล,<2>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,中boss1,<42005;42006>,71003,<54000000;54000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,2,60,50000,{1=0.3},180,"""city/pvp/cross_mine/buff/icon_buff4.png""",属性增强,屬性增強,Status enhancement,Cường Hóa Trạng Thái,속성 강화,Melhoria de status,เพิ่มสถานะ,击杀者所在服务器玩家在竞标对战中全属性加成+30%,擊殺者所在伺服器玩家在競標對戰中全屬性加成+30%,Players on the killer's server gain a +30% bonus to all stats in Bidding Battles,Người chơi trên máy chủ của người hạ gục nhận thưởng +30% tất cả thuộc tính trong Đấu Giá Chiến,격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 전 속성 버프 30% 증가.,Jogadores no servidor do autor da eliminação ganham um bônus de +30% em todos os atributos nas Batalhas de Licitação,ผู้เล่นในเซิร์ฟเวอร์ของผู้ที่สังหารได้รับโบนัสคุณสมบัติทั้งหมด +30% ในการต่อสู้ประมูล,<3>
32,中boss1,<42005;42006>,71003,<54000000;54000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,2,60,50000,{2=0.3},180,"""city/pvp/cross_mine/buff/icon_buff5.png""",产出增加,產出增加,Product increase,Tăng Sản Lượng,생산 증가,Aumento do produto,เพิ่มผลิตภัณฑ์,击杀者所在服务器玩家的资源生产速度加成+30%,擊殺者所在伺服器玩家的資源生產速度加成+30%,Players on the killer's server gain a +30% bonus to resource production speed,Người chơi trên máy chủ của người hạ gục nhận thưởng +30% tốc độ sản xuất tài nguyên,격살자 소속 서버에 있는 모든 유저는 자원 생산 속도 버프 30% 증가.,Jogadores no servidor do autor da eliminação ganham um bônus de +30% na velocidade de produção de recursos,ผู้เล่นในเซิร์ฟเวอร์ของผู้ที่สังหารได้รับโบนัสความเร็วการผลิตทรัพยากร +30%,<3>
33,中boss1,<42005;42006>,71003,<54000000;54000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,2,60,50000,{3=0.3},180,"""city/pvp/cross_mine/buff/icon_buff6.png""",抢夺增加,搶奪增加,Plunder increase,Tăng Cướp Đoạt,강탈 증가,Aumento da pilhagem,เพิ่มการปล้น,击杀者所在服务器玩家在竞标对战中抢夺加成+30%，被抢夺损失-30%,擊殺者所在伺服器玩家在競標對戰中搶奪加成+30%，被搶奪損失-30%,Players on the killer's server gain a +30% plunder bonus and -30% loss when plundered in Bidding Battles,Người chơi trên máy chủ của người hạ gục nhận thưởng cướp đoạt +30% và giảm tổn thất khi bị cướp -30% trong Đấu Giá Chiến,"격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 강탈 버프 30% 증가, 피탈 손실 30% 감소.",Jogadores no servidor do autor da eliminação ganham um bônus de saque de +30% e -30% de perdas ao serem saqueados nas Batalhas de Licitação,ผู้เล่นในเซิร์ฟเวอร์ของผู้ที่สังหารได้รับโบนัสการปล้น +30% และการสูญเสียเมื่อถูกปล้น -30% ในการต่อสู้ประมูล,<3>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,大boss1,<42007;42008;42009>,71004,<63000000;63000000;63000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,3,60,100000,{1=0.3;2=0.3;3=0.3},300,"""city/pvp/cross_mine/buff/icon_buff4.png""",终极BUFF,終極BUFF,Ultimate BUFF,BUFF Tối Thượng,최종 버프,BUFÃO final,บัฟขั้นสูงสุด,"击杀者所在服务器玩家在竞标对战中全属性加成+30%,抢夺加成+30%,被抢夺损失-30%,资源生产速度加成+30%","擊殺者所在伺服器玩家在競標對戰中全屬性加成+30%,搶奪加成+30%,被搶奪損失-30%,資源生產速度加成+30%","Players on the killer's server gain a +30% bonus to all stats, +30% plunder bonus, -30% loss when plundered, and +30% resource production speed in Bidding Battles","Người chơi trên máy chủ của người hạ gục nhận thưởng +30% tất cả thuộc tính, thưởng cướp đoạt +30%, giảm tổn thất khi bị cướp -30%, và thưởng tốc độ sản xuất tài nguyên +30% trong Đấu Giá Chiến","격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 전 속성 버프 30% 증가, 강탈 버프 30% 증가, 피탈 손실 30% 감소, 자원 생산 속도 버프 30% 증가.","Jogadores no servidor do autor da eliminação ganham um bônus de +30% em todos os atributos, bônus de saque de +30%, -30% de perdas ao serem saqueados, e bônus de velocidade de produção de recursos de +30% nas Batalhas de Licitação","ผู้เล่นในเซิร์ฟเวอร์ของผู้ที่สังหารได้รับโบนัสคุณสมบัติทั้งหมด +30%, โบนัสการปล้น +30%, การสูญเสียเมื่อถูกปล้น -30%, และโบนัสความเร็วการผลิตทรัพยากร +30% ในการต่อสู้ประมูล",<1>
42,大boss1,<42007;42008;42009>,71004,<63000000;63000000;63000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,3,60,100000,{1=0.3;2=0.3;3=0.3},300,"""city/pvp/cross_mine/buff/icon_buff5.png""",终极BUFF,終極BUFF,Ultimate BUFF,BUFF Tối Thượng,최종 버프,BUFÃO final,บัฟขั้นสูงสุด,"击杀者所在服务器玩家在竞标对战中全属性加成+30%,抢夺加成+30%,被抢夺损失-30%,资源生产速度加成+30%","擊殺者所在伺服器玩家在競標對戰中全屬性加成+30%,搶奪加成+30%,被搶奪損失-30%,資源生產速度加成+30%","Players on the killer's server gain a +30% bonus to all stats, +30% plunder bonus, -30% loss when plundered, and +30% resource production speed in Bidding Battles","Người chơi trên máy chủ của người hạ gục nhận thưởng +30% tất cả thuộc tính, thưởng cướp đoạt +30%, giảm tổn thất khi bị cướp -30%, và thưởng tốc độ sản xuất tài nguyên +30% trong Đấu Giá Chiến","격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 전 속성 버프 30% 증가, 강탈 버프 30% 증가, 피탈 손실 30% 감소, 자원 생산 속도 버프 30% 증가.","Jogadores no servidor do autor da eliminação ganham um bônus de +30% em todos os atributos, bônus de saque de +30%, -30% de perdas ao serem saqueados, e bônus de velocidade de produção de recursos de +30% nas Batalhas de Licitação","ผู้เล่นในเซิร์ฟเวอร์ของผู้ที่สังหารได้รับโบนัสคุณสมบัติทั้งหมด +30%, โบนัสการปล้น +30%, การสูญเสียเมื่อถูกปล้น -30%, และโบนัสความเร็วการผลิตทรัพยากร +30% ในการต่อสู้ประมูล",<1>
43,大boss1,<42007;42008;42009>,71004,<63000000;63000000;63000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,3,60,100000,{1=0.3;2=0.3;3=0.3},300,"""city/pvp/cross_mine/buff/icon_buff6.png""",终极BUFF,終極BUFF,Ultimate BUFF,BUFF Tối Thượng,최종 버프,BUFÃO final,บัฟขั้นสูงสุด,"击杀者所在服务器玩家在竞标对战中全属性加成+30%,抢夺加成+30%,被抢夺损失-30%,资源生产速度加成+30%","擊殺者所在伺服器玩家在競標對戰中全屬性加成+30%,搶奪加成+30%,被搶奪損失-30%,資源生產速度加成+30%","Players on the killer's server gain a +30% bonus to all stats, +30% plunder bonus, -30% loss when plundered, and +30% resource production speed in Bidding Battles","Người chơi trên máy chủ của người hạ gục nhận thưởng +30% tất cả thuộc tính, thưởng cướp đoạt +30%, giảm tổn thất khi bị cướp -30%, và thưởng tốc độ sản xuất tài nguyên +30% trong Đấu Giá Chiến","격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 전 속성 버프 30% 증가, 강탈 버프 30% 증가, 피탈 손실 30% 감소, 자원 생산 속도 버프 30% 증가.","Jogadores no servidor do autor da eliminação ganham um bônus de +30% em todos os atributos, bônus de saque de +30%, -30% de perdas ao serem saqueados, e bônus de velocidade de produção de recursos de +30% nas Batalhas de Licitação","ผู้เล่นในเซิร์ฟเวอร์ของผู้ที่สังหารได้รับโบนัสคุณสมบัติทั้งหมด +30%, โบนัสการปล้น +30%, การสูญเสียเมื่อถูกปล้น -30%, และโบนัสความเร็วการผลิตทรัพยากร +30% ในการต่อสู้ประมูล",<1>
