变量名,itemID,coordinate,componentPosID,componentLine,componentsize,attrTarget,attrNumType1,attrNum1,attrNumType2,attrNum2,attrNumType3,attrNum3,attrNumType4,attrNum4,strengthCostSeq
9,4033,{y=440;x=1483},3,{y=460;flip=1;x=1313},215,<>,1,<173;310;448;606;764;945;1126;1334;1541;1778;2015;2287;2558;2869;3180;3536;3892;4299;4706;5173;5690;6259;6885;7574;8331;9164;10081;11089;12198;13417;14759;16235;17859;19644;21609;23770;26147;28761;31638;34801;38281;42110;46321;50953;56048;61653;67818;74600;82060;90266>,9,<23;41;60;81;101;125;150;177;205;236;267;302;338;380;421;468;515;569;623;685;754;829;912;1003;1103;1214;1335;1468;1615;1777;1954;2150;2365;2601;2861;3148;3462;3809;4189;4608;5069;5576;6134;6747;7422;8164;8980;9878;10866>,10,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507;558;613;675;742;817;898;988;1087;1195;1315;1447;1591;1750;1925;2118;2330;2563;2819;3101;3411;3752;4127;4540;4994;5493;6043;6647;7311;8043;8847>,0,<>,9
10,4041,{y=540;x=135},1,{y=507;flip=4;x=401},400,<>,7,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861;2047;2252;2477;2725;2997;3297;3627;3989;4388;4827;5310;5841;6425;7067;7774;8551;9406;10347;11382;12520;13772;15149;16664;18330;20163;22180;24398;26837;29521;32473>,9,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507;558;613;675;742;817;898;988;1087;1195;1315;1447;1591;1750;1925;2118;2330;2563;2819;3101;3411;3752;4127;4540;4994;5493;6043;6647;7311;8043>,13,<5;8;10;13;15;18;20;23;26;28;31;33;36;38;41;43;46;48;51;54;59;65;72;79;87;96;105;116;127;140;154;169;186;205;226;248;273;300;330;363;400;440;484;532;585;644;708;779;857;942>,0,<>,11
11,4042,{y=318;x=131},2,{y=294;flip=4;x=330},260,<>,8,<46;82;119;161;202;251;299;354;410;473;536;608;680;762;845;939;1034;1142;1251;1375;1513;1664;1830;2013;2214;2436;2679;2947;3242;3566;3923;4315;4747;5222;5744;6318;6950;7645;8409;9250;10175;11193;12312;13543;14898;16387;18026;19829;21812;23993>,10,<23;41;60;81;101;125;150;177;205;236;267;302;338;380;421;468;515;569;623;685;754;829;912;1003;1103;1214;1335;1468;1615;1777;1954;2150;2365;2601;2861;3148;3462;3809;4189;4608;5069;5576;6134;6747;7422;8164;8980;9878;10866>,13,<5;8;10;13;15;18;20;23;26;28;31;33;36;38;41;43;46;48;51;54;59;65;72;79;87;96;105;116;127;140;154;169;186;205;226;248;273;300;330;363;400;440;484;532;585;644;708;779;857;942>,0,<>,12
12,4043,{y=601;x=1539},3,{y=615;flip=1;x=1345},250,<>,7,<46;82;119;161;202;251;299;354;410;473;536;608;680;762;845;939;1034;1142;1251;1375;1513;1664;1830;2013;2214;2436;2679;2947;3242;3566;3923;4315;4747;5222;5744;6318;6950;7645;8409;9250;10175;11193;12312;13543;14898;16387;18026;19829;21812;23993>,8,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861;2047;2252;2477;2725;2997;3297;3627;3989;4388;4827;5310;5841;6425;7067;7774;8551;9406;10347;11382;12520;13772;15149;16664;18330;20163;22180;24398;26837;29521>,13,<5;8;10;13;15;18;20;23;26;28;31;33;36;38;41;43;46;48;51;54;59;65;72;79;87;96;105;116;127;140;154;169;186;205;226;248;273;300;330;363;400;440;484;532;585;644;708;779;857;942>,0,<>,13
13,4051,{y=802;x=1474},1,{y=761;flip=3;x=1158},520,<>,1,<173;310;448;606;764;945;1126;1334;1541;1778;2015;2287;2558;2869;3180;3536;3892;4299;4706;5173;5690;6259;6885;7574;8331;9164;10081;11089;12198;13417;14759;16235;17859;19644;21609;23770;26147;28761;31638;34801;38281;42110;46321;50953;56048;61653;67818;74600;82060;90266>,7,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861;2047;2252;2477;2725;2997;3297;3627;3989;4388;4827;5310;5841;6425;7067;7774;8551;9406;10347;11382;12520;13772;15149;16664;18330;20163;22180;24398;26837;29521>,8,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861;2047;2252;2477;2725;2997;3297;3627;3989;4388;4827;5310;5841;6425;7067;7774;8551;9406;10347;11382;12520;13772;15149;16664;18330;20163;22180;24398;26837;29521;32473>,0,<>,15
14,4052,{y=247;x=1475},2,{y=269;flip=1;x=1278},270,<>,1,<233;420;606;820;1034;1279;1524;1804;2085;2406;2727;3094;3460;3881;4302;4784;5266;5817;6368;6999;7699;8469;9316;10247;11272;12399;13639;15003;16503;18154;19969;21966;24162;26579;29237;32160;35376;38914;42805;47086;51794;56974;62671;68938;75832;83415;91757;100933;111026;122128>,7,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861;2047;2252;2477;2725;2997;3297;3627;3989;4388;4827;5310;5841;6425;7067;7774;8551;9406;10347;11382;12520;13772;15149;16664;18330;20163;22180;24398;26837;29521>,9,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507;558;613;675;742;817;898;988;1087;1195;1315;1447;1591;1750;1925;2118;2330;2563;2819;3101;3411;3752;4127;4540;4994;5493;6043;6647;7311;8043;8847>,0,<>,16
15,4053,{y=701;x=198},3,{y=661;flip=4;x=466},420,<>,8,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861;2047;2252;2477;2725;2997;3297;3627;3989;4388;4827;5310;5841;6425;7067;7774;8551;9406;10347;11382;12520;13772;15149;16664;18330;20163;22180;24398;26837;29521;32473>,10,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507;558;613;675;742;817;898;988;1087;1195;1315;1447;1591;1750;1925;2118;2330;2563;2819;3101;3411;3752;4127;4540;4994;5493;6043;6647;7311;8043>,13,<5;8;10;13;15;18;20;23;26;28;31;33;36;38;41;43;46;48;51;54;59;65;72;79;87;96;105;116;127;140;154;169;186;205;226;248;273;300;330;363;400;440;484;532;585;644;708;779;857;942>,0,<>,17
16,4061,{y=750;x=200},1,{y=711;flip=4;x=377},410,<>,9,<41;74;107;145;183;226;269;318;367;423;479;544;609;683;757;842;927;1024;1121;1232;1355;1491;1640;1804;1984;2183;2401;2641;2905;3195;3515;3867;4253;4679;5146;5661;6227;6850;7535;8288;9117;10029;11032;12135;13348;14683;16152;17767;19543;21498>,10,<41;74;107;145;183;226;269;318;367;423;479;544;609;683;757;842;927;1024;1121;1232;1355;1491;1640;1804;1984;2183;2401;2641;2905;3195;3515;3867;4253;4679;5146;5661;6227;6850;7535;8288;9117;10029;11032;12135;13348;14683;16152;17767;19543>,13,<9;14;20;25;30;35;40;45;50;55;60;65;71;76;81;86;91;96;101;106;117;128;141;155;171;188;207;227;250;275;302;333;366;403;443;487;536;589;648;713;784;863;949;1044;1148;1263;1390;1529;1681;1850>,0,<>,19
17,4062,{y=219;x=200},2,{y=232;flip=2;x=520},550,<>,8,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724;4096;4506;4957;5452;5998;6597;7257;7983;8781;9659;10625;11688;12856;14142;15556;17112;18823;20705;22776;25053;27559;30314;33346;36680;40348;44383;48822;53704;59074;64982>,7,<108;194;280;379;478;591;704;834;964;1112;1260;1430;1600;1795;1990;2213;2436;2691;2946;3238;3562;3918;4310;4741;5215;5736;6310;6941;7635;8399;9238;10162;11178;12296;13526;14879;16366;18003;19803;21784;23962;26358;28994;31893;35083;38591;42450;46695;51365>,13,<9;14;20;25;30;35;40;45;50;55;60;65;71;76;81;86;91;96;101;106;117;128;141;155;171;188;207;227;250;275;302;333;366;403;443;487;536;589;648;713;784;863;949;1044;1148;1263;1390;1529;1681;1850>,0,<>,20
18,4063,{y=703;x=1503},3,{y=668;flip=3;x=1300},270,<>,8,<108;194;280;379;478;591;704;834;964;1112;1260;1430;1600;1795;1990;2213;2436;2691;2946;3238;3562;3918;4310;4741;5215;5736;6310;6941;7635;8399;9238;10162;11178;12296;13526;14879;16366;18003;19803;21784;23962;26358;28994;31893;35083;38591;42450;46695;51365;56501>,10,<41;74;107;145;183;226;269;318;367;423;479;544;609;683;757;842;927;1024;1121;1232;1355;1491;1640;1804;1984;2183;2401;2641;2905;3195;3515;3867;4253;4679;5146;5661;6227;6850;7535;8288;9117;10029;11032;12135;13348;14683;16152;17767;19543>,13,<9;14;20;25;30;35;40;45;50;55;60;65;71;76;81;86;91;96;101;106;117;128;141;155;171;188;207;227;250;275;302;333;366;403;443;487;536;589;648;713;784;863;949;1044;1148;1263;1390;1529;1681;1850>,0,<>,21
19,4064,{y=234;x=1503},4,{y=268;flip=1;x=1309},260,<>,1,<405;729;1053;1424;1795;2220;2645;3131;3617;4174;4731;5368;6005;6735;7465;8300;9135;10092;11049;12144;13358;14694;16164;17780;19558;21514;23665;26032;28635;31498;34648;38113;41924;46117;50729;55801;61381;67520;74272;81699;89869;98855;108741;119615;131577;144734;159208;175129;192641;211906>,7,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724;4096;4506;4957;5452;5998;6597;7257;7983;8781;9659;10625;11688;12856;14142;15556;17112;18823;20705;22776;25053;27559;30314;33346;36680;40348;44383;48822;53704;59074>,8,<92;165;238;322;406;502;598;709;819;945;1071;1216;1360;1526;1692;1881;2071;2287;2504;2752;3027;3330;3663;4029;4432;4875;5363;5899;6489;7138;7852;8637;9501;10451;11496;12645;13910;15301;16831;18514;20365;22402;24642;27106;29817;32799;36079;39687;43655;48021>,0,<>,22
20,4071,{y=709;x=199},1,{y=681;flip=4;x=377},220,<>,7,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724;4096;4506;4957;5452;5998;6597;7257;7983;8781;9659;10625;11688;12856;14142;15556;17112;18823;20705;22776;25053;27559;30314;33346;36680;40348;44383;48822;53704;59074;64982>,9,<41;74;107;145;183;226;269;318;367;423;479;544;609;683;757;842;927;1024;1121;1232;1355;1491;1640;1804;1984;2183;2401;2641;2905;3195;3515;3867;4253;4679;5146;5661;6227;6850;7535;8288;9117;10029;11032;12135;13348;14683;16152;17767;19543>,10,<35;63;91;123;156;192;229;270;312;360;407;462;518;581;643;716;788;870;953;1047;1152;1267;1394;1533;1686;1855;2040;2244;2469;2716;2987;3286;3615;3976;4374;4811;5292;5821;6403;7044;7748;8523;9375;10313;11344;12478;13726;15099;16609;18270>,0,<>,24
21,4072,{y=324;x=210},2,{y=350;flip=2;x=470},400,<>,1,<344;620;895;1210;1526;1887;2248;2661;3074;3548;4021;4563;5104;5725;6345;7055;7765;8578;9392;10322;11354;12490;13739;15112;16624;18286;20115;22126;24339;26773;29450;32395;35634;39198;43118;47429;52172;57389;63128;69441;76385;84024;92426;101669;111836;123019;135321;148853;163739;180113>,7,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724;4096;4506;4957;5452;5998;6597;7257;7983;8781;9659;10625;11688;12856;14142;15556;17112;18823;20705;22776;25053;27559;30314;33346;36680;40348;44383;48822;53704;59074>,8,<108;194;280;379;478;591;704;834;964;1112;1260;1430;1600;1795;1990;2213;2436;2691;2946;3238;3562;3918;4310;4741;5215;5736;6310;6941;7635;8399;9238;10162;11178;12296;13526;14879;16366;18003;19803;21784;23962;26358;28994;31893;35083;38591;42450;46695;51365;56501>,0,<>,25
22,4073,{y=549;x=1492},3,{y=573;flip=1;x=1294},300,<>,7,<108;194;280;379;478;591;704;834;964;1112;1260;1430;1600;1795;1990;2213;2436;2691;2946;3238;3562;3918;4310;4741;5215;5736;6310;6941;7635;8399;9238;10162;11178;12296;13526;14879;16366;18003;19803;21784;23962;26358;28994;31893;35083;38591;42450;46695;51365;56501>,8,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724;4096;4506;4957;5452;5998;6597;7257;7983;8781;9659;10625;11688;12856;14142;15556;17112;18823;20705;22776;25053;27559;30314;33346;36680;40348;44383;48822;53704;59074>,13,<9;14;20;25;30;35;40;45;50;55;60;65;71;76;81;86;91;96;101;106;117;128;141;155;171;188;207;227;250;275;302;333;366;403;443;487;536;589;648;713;784;863;949;1044;1148;1263;1390;1529;1681;1850>,0,<>,26
23,4074,{y=236;x=1486},4,{y=253;flip=1;x=1213},420,<>,1,<466;838;1211;1638;2064;2553;3042;3601;4160;4800;5441;6173;6906;7745;8585;9545;10505;11606;12706;13966;15363;16899;18589;20448;22492;24742;27216;29937;32931;36224;39847;43831;48214;53036;58339;64173;70591;77650;85415;93956;103352;113687;125056;137561;151318;166449;183094;201404;221544;243698>,8,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724;4096;4506;4957;5452;5998;6597;7257;7983;8781;9659;10625;11688;12856;14142;15556;17112;18823;20705;22776;25053;27559;30314;33346;36680;40348;44383;48822;53704;59074>,10,<35;63;91;123;156;192;229;270;312;360;407;462;518;581;643;716;788;870;953;1047;1152;1267;1394;1533;1686;1855;2040;2244;2469;2716;2987;3286;3615;3976;4374;4811;5292;5821;6403;7044;7748;8523;9375;10313;11344;12478;13726;15099;16609;18270>,0,<>,27
24,4081,{y=567;x=52},1,{y=590;flip=2;x=261},275,<>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004;8804;9685;10653;11719;12891;14180;15598;17157;18873;20760;22836;25120;27632;30395;33435;36778;40456;44502;48952;53847;59232;65155;71670;78837;86721;95393;104932;115426;126968;139665>,10,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478;3826;4208;4629;5092;5601;6161;6778;7455;8201;9021;9923;10915;12007;13208;14528;15981;17579;19337;21271;23398;25738;28312;31143;34257;37683;41451;45597;50156;55172>,13,<19;29;39;49;59;69;79;89;99;109;119;129;139;149;159;169;179;189;199;209;230;253;278;306;337;370;407;448;493;542;596;656;722;794;873;960;1056;1162;1278;1406;1547;1701;1871;2059;2264;2491;2740;3014;3315;3647>,0,<>,29
25,4082,{y=318;x=132},2,{y=310;flip=2;x=297},200,<>,1,<776;1708;2639;3705;4771;5993;7214;8612;10011;11612;13212;15044;16876;18974;21071;23474;25876;28626;31375;34524;37976;41774;45951;50547;55601;61161;67278;74005;81406;89546;98501;108351;119186;131105;144215;158637;174501;191951;211146;232260;255486;281035;309138;340052;374057;411463;452609;497870;547657;602423>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178;196;215;237;261;287;315;347;382;420;462;508;559;615;676;744;818;900;990;1089;1197;1317;1449;1594;1753;1929;2121;2334;2567;2824>,7,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004;8804;9685;10653;11719;12891;14180;15598;17157;18873;20760;22836;25120;27632;30395;33435;36778;40456;44502;48952;53847;59232;65155;71670;78837;86721;95393;104932;115426;126968;139665>,9,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024;3326;3659;4025;4427;4870;5357;5893;6482;7130;7843;8628;9491;10440;11484;12632;13895;15285;16813;18495;20344;22378;24616;27078;29786;32764;36041;39645;43609;47970;52767>,30
26,4083,{y=785;x=1417},3,{y=731;flip=3;x=1252},220,<>,1,<675;1485;2295;3222;4149;5211;6273;7489;8705;10097;11489;13082;14675;16499;18323;20412;22501;24892;27283;30021;33023;36325;39958;43954;48349;53184;58502;64353;70788;77867;85653;94219;103641;114005;125405;137946;151740;166914;183606;201966;222163;244379;268817;295699;325269;357796;393575;432933;476226;523849>,13,<19;29;39;49;59;69;79;89;99;109;119;129;139;149;159;169;179;189;199;209;230;253;278;306;337;370;407;448;493;542;596;656;722;794;873;960;1056;1162;1278;1406;1547;1701;1871;2059;2264;2491;2740;3014;3315>,8,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205;10126;11138;12252;13477;14825;16307;17938;19732;21705;23875;26263;28889;31778;34956;38452;42297;46526;51179;56297;61927;68119;74931;82424;90667;99733;109707;120677;132745;146020;160622>,10,<58;128;197;276;355;446;537;641;745;864;983;1119;1256;1413;1569;1748;1926;2131;2336;2570;2827;3110;3421;3763;4139;4553;5008;5509;6060;6666;7333;8066;8872;9760;10736;11809;12990;14289;15718;17290;19019;20921;23013;25314;27845;30630;33693;37062;40768;44845>,31
27,4084,{y=503;x=1578},4,{y=522;flip=1;x=1392},240,<>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178;196;215;237;261;287;315;347;382;420;462;508;559;615;676;744;818;900;990;1089;1197;1317;1449;1594;1753;1929;2121;2334;2567;2824;3106>,7,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205;10126;11138;12252;13477;14825;16307;17938;19732;21705;23875;26263;28889;31778;34956;38452;42297;46526;51179;56297;61927;68119;74931;82424;90667;99733;109707;120677;132745;146020>,9,<58;128;197;276;355;446;537;641;745;864;983;1119;1256;1413;1569;1748;1926;2131;2336;2570;2827;3110;3421;3763;4139;4553;5008;5509;6060;6666;7333;8066;8872;9760;10736;11809;12990;14289;15718;17290;19019;20921;23013;25314;27845;30630;33693;37062;40768;44845>,8,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205;10126;11138;12252;13477;14825;16307;17938;19732;21705;23875;26263;28889;31778;34956;38452;42297;46526;51179;56297;61927;68119;74931;82424;90667;99733;109707;120677;132745;146020;160622>,32
28,4085,{y=232;x=1417},5,{y=269;flip=1;x=1242},230,<>,1,<574;1262;1951;2739;3527;4429;5332;6366;7399;8582;9766;11120;12474;14024;15575;17350;19126;21158;23191;25518;28070;30877;33964;37361;41097;45207;49727;54700;60170;66187;72806;80086;88095;96905;106595;117255;128980;141878;156066;171672;188840;207724;228496;251345;276480;304128;334541;367995;404794;445274>,8,<153;337;520;730;940;1181;1421;1697;1972;2287;2603;2964;3325;3738;4151;4625;5098;5641;6183;6803;7483;8232;9055;9960;10956;12052;13257;14583;16041;17645;19410;21351;23486;25834;28418;31260;34386;37824;41607;45767;50344;55378;60916;67008;73709;81079;89187;98106;107917>,9,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478;3826;4208;4629;5092;5601;6161;6778;7455;8201;9021;9923;10915;12007;13208;14528;15981;17579;19337;21271;23398;25738;28312;31143;34257;37683;41451;45597;50156;55172;60689>,10,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478;3826;4208;4629;5092;5601;6161;6778;7455;8201;9021;9923;10915;12007;13208;14528;15981;17579;19337;21271;23398;25738;28312;31143;34257;37683;41451;45597;50156;55172;60689>,33
29,4092,{y=521;x=68},1,{y=490;flip=4;x=410},560,<>,1,<574;1262;1951;2739;3527;4429;5332;6366;7399;8582;9766;11120;12474;14024;15575;17350;19126;21158;23191;25518;28070;30877;33964;37361;41097;45207;49727;54700;60170;66187;72806;80086;88095;96905;106595;117255;128980;141878;156066;171672;188840;207724;228496;251345;276480;304128;334541;367995;404794;445274>,8,<153;337;520;730;940;1181;1421;1697;1972;2287;2603;2964;3325;3738;4151;4625;5098;5641;6183;6803;7483;8232;9055;9960;10956;12052;13257;14583;16041;17645;19410;21351;23486;25834;28418;31260;34386;37824;41607;45767;50344;55378;60916;67008;73709;81079;89187;98106;107917>,9,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478;3826;4208;4629;5092;5601;6161;6778;7455;8201;9021;9923;10915;12007;13208;14528;15981;17579;19337;21271;23398;25738;28312;31143;34257;37683;41451;45597;50156;55172;60689>,10,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478;3826;4208;4629;5092;5601;6161;6778;7455;8201;9021;9923;10915;12007;13208;14528;15981;17579;19337;21271;23398;25738;28312;31143;34257;37683;41451;45597;50156;55172;60689>,36
30,4093,{y=306;x=251},2,{y=275;flip=4;x=425},220,<>,1,<675;1485;2295;3222;4149;5211;6273;7489;8705;10097;11489;13082;14675;16499;18323;20412;22501;24892;27283;30021;33023;36325;39958;43954;48349;53184;58502;64353;70788;77867;85653;94219;103641;114005;125405;137946;151740;166914;183606;201966;222163;244379;268817;295699;325269;357796;393575;432933;476226;523849>,7,<153;337;520;730;940;1181;1421;1697;1972;2287;2603;2964;3325;3738;4151;4625;5098;5641;6183;6803;7483;8232;9055;9960;10956;12052;13257;14583;16041;17645;19410;21351;23486;25834;28418;31260;34386;37824;41607;45767;50344;55378;60916;67008;73709;81079;89187;98106;107917>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004;8804;9685;10653;11719;12891;14180;15598;17157;18873;20760;22836;25120;27632;30395;33435;36778;40456;44502;48952;53847;59232;65155;71670;78837;86721;95393;104932;115426;126968;139665>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178;196;215;237;261;287;315;347;382;420;462;508;559;615;676;744;818;900;990;1089;1197;1317;1449;1594;1753;1929;2121;2334;2567;2824;3106>,37
