14,{4011=5;4000=335},{4012=5;4000=335},{4013=5;4000=335},{4021=5;4000=335},{4022=5;4000=335},{4023=5;4000=335},{4000=670;4031=5},{4000=670;4032=5},{4000=670;4033=5},{4000=670;4034=5},{4041=5;4000=670},{4042=5;4000=670},{4043=5;4000=670},{4044=5;4000=670},{4051=5;4000=670},{4052=5;4000=670},{4053=5;4000=670},{4054=5;4000=670},{4000=1175;4061=5},{4000=1175;4062=5},{4000=1175;4063=5},{4000=1175;4064=5},{4000=1175;4065=5},{4000=1175;4071=5},{4072=5;4000=1175},{4073=5;4000=1175},{4074=5;4000=1175},{4075=5;4000=1175},{4081=3;4000=2010},{4082=3;4000=2010},{4083=3;4000=2010},{4084=3;4000=2010},{4085=3;4000=2010},{4086=3;4000=2010},{4000=2010;4091=3},{4000=2010;4092=3},{4000=2010;4093=3},{4000=2010;4094=3},{4000=2010;4095=3},{4096=3;4000=2010}
15,{4011=5;4000=395},{4012=5;4000=395},{4013=5;4000=395},{4021=5;4000=395},{4022=5;4000=395},{4023=5;4000=395},{4000=790;4031=5},{4000=790;4032=5},{4000=790;4033=5},{4000=790;4034=5},{4041=5;4000=790},{4042=5;4000=790},{4043=5;4000=790},{4044=5;4000=790},{4051=5;4000=790},{4052=5;4000=790},{4053=5;4000=790},{4054=5;4000=790},{4000=1385;4061=5},{4000=1385;4062=5},{4000=1385;4063=5},{4000=1385;4064=5},{4000=1385;4065=5},{4000=1385;4071=5},{4072=5;4000=1385},{4073=5;4000=1385},{4074=5;4000=1385},{4075=5;4000=1385},{4081=3;4000=2370},{4082=3;4000=2370},{4083=3;4000=2370},{4084=3;4000=2370},{4085=3;4000=2370},{4086=3;4000=2370},{4000=2370;4091=3},{4000=2370;4092=3},{4000=2370;4093=3},{4000=2370;4094=3},{4000=2370;4095=3},{4096=3;4000=2370}
16,{4011=6;4000=460},{4012=6;4000=460},{4013=6;4000=460},{4021=6;4000=460},{4022=6;4000=460},{4023=6;4000=460},{4000=920;4031=6},{4000=920;4032=6},{4000=920;4033=6},{4000=920;4034=6},{4041=6;4000=920},{4042=6;4000=920},{4043=6;4000=920},{4044=6;4000=920},{4051=6;4000=920},{4052=6;4000=920},{4053=6;4000=920},{4054=6;4000=920},{4000=1610;4061=6},{4000=1610;4062=6},{4000=1610;4063=6},{4000=1610;4064=6},{4000=1610;4065=6},{4000=1610;4071=6},{4072=6;4000=1610},{4073=6;4000=1610},{4074=6;4000=1610},{4075=6;4000=1610},{4081=4;4000=2760},{4082=4;4000=2760},{4083=4;4000=2760},{4084=4;4000=2760},{4085=4;4000=2760},{4086=4;4000=2760},{4000=2760;4091=4},{4000=2760;4092=4},{4000=2760;4093=4},{4000=2760;4094=4},{4000=2760;4095=4},{4096=4;4000=2760}
17,{4011=6;4000=530},{4012=6;4000=530},{4013=6;4000=530},{4021=6;4000=530},{4022=6;4000=530},{4023=6;4000=530},{4000=1060;4031=6},{4000=1060;4032=6},{4000=1060;4033=6},{4000=1060;4034=6},{4041=6;4000=1060},{4042=6;4000=1060},{4043=6;4000=1060},{4044=6;4000=1060},{4051=6;4000=1060},{4052=6;4000=1060},{4053=6;4000=1060},{4054=6;4000=1060},{4000=1855;4061=6},{4000=1855;4062=6},{4000=1855;4063=6},{4000=1855;4064=6},{4000=1855;4065=6},{4000=1855;4071=6},{4072=6;4000=1855},{4073=6;4000=1855},{4074=6;4000=1855},{4075=6;4000=1855},{4081=4;4000=3180},{4082=4;4000=3180},{4083=4;4000=3180},{4084=4;4000=3180},{4085=4;4000=3180},{4086=4;4000=3180},{4000=3180;4091=4},{4000=3180;4092=4},{4000=3180;4093=4},{4000=3180;4094=4},{4000=3180;4095=4},{4096=4;4000=3180}
18,{4011=7;4000=605},{4012=7;4000=605},{4013=7;4000=605},{4021=7;4000=605},{4022=7;4000=605},{4023=7;4000=605},{4000=1210;4031=7},{4000=1210;4032=7},{4000=1210;4033=7},{4000=1210;4034=7},{4041=7;4000=1210},{4042=7;4000=1210},{4043=7;4000=1210},{4044=7;4000=1210},{4051=7;4000=1210},{4052=7;4000=1210},{4053=7;4000=1210},{4054=7;4000=1210},{4000=2120;4061=6},{4000=2120;4062=6},{4000=2120;4063=6},{4000=2120;4064=6},{4000=2120;4065=6},{4000=2120;4071=6},{4072=6;4000=2120},{4073=6;4000=2120},{4074=6;4000=2120},{4075=6;4000=2120},{4081=4;4000=3630},{4082=4;4000=3630},{4083=4;4000=3630},{4084=4;4000=3630},{4085=4;4000=3630},{4086=4;4000=3630},{4000=3630;4091=4},{4000=3630;4092=4},{4000=3630;4093=4},{4000=3630;4094=4},{4000=3630;4095=4},{4096=4;4000=3630}
19,{4011=7;4000=685},{4012=7;4000=685},{4013=7;4000=685},{4021=7;4000=685},{4022=7;4000=685},{4023=7;4000=685},{4000=1370;4031=7},{4000=1370;4032=7},{4000=1370;4033=7},{4000=1370;4034=7},{4041=7;4000=1370},{4042=7;4000=1370},{4043=7;4000=1370},{4044=7;4000=1370},{4051=7;4000=1370},{4052=7;4000=1370},{4053=7;4000=1370},{4054=7;4000=1370},{4000=2400;4061=6},{4000=2400;4062=6},{4000=2400;4063=6},{4000=2400;4064=6},{4000=2400;4065=6},{4000=2400;4071=6},{4072=6;4000=2400},{4073=6;4000=2400},{4074=6;4000=2400},{4075=6;4000=2400},{4081=4;4000=4110},{4082=4;4000=4110},{4083=4;4000=4110},{4084=4;4000=4110},{4085=4;4000=4110},{4086=4;4000=4110},{4000=4110;4091=4},{4000=4110;4092=4},{4000=4110;4093=4},{4000=4110;4094=4},{4000=4110;4095=4},{4096=4;4000=4110}
20,{4011=8;4000=770},{4012=8;4000=770},{4013=8;4000=770},{4021=8;4000=770},{4022=8;4000=770},{4023=8;4000=770},{4000=1540;4031=7},{4000=1540;4032=7},{4000=1540;4033=7},{4000=1540;4034=7},{4041=7;4000=1540},{4042=7;4000=1540},{4043=7;4000=1540},{4044=7;4000=1540},{4051=7;4000=1540},{4052=7;4000=1540},{4053=7;4000=1540},{4054=7;4000=1540},{4000=2695;4061=6},{4000=2695;4062=6},{4000=2695;4063=6},{4000=2695;4064=6},{4000=2695;4065=6},{4000=2695;4071=6},{4072=6;4000=2695},{4073=6;4000=2695},{4074=6;4000=2695},{4075=6;4000=2695},{4081=4;4000=4620},{4082=4;4000=4620},{4083=4;4000=4620},{4084=4;4000=4620},{4085=4;4000=4620},{4086=4;4000=4620},{4000=4620;4091=4},{4000=4620;4092=4},{4000=4620;4093=4},{4000=4620;4094=4},{4000=4620;4095=4},{4096=4;4000=4620}
21,{4011=9;4000=847},{4012=9;4000=847},{4013=9;4000=847},{4021=9;4000=847},{4022=9;4000=847},{4023=9;4000=847},{4000=1694;4031=8},{4000=1694;4032=8},{4000=1694;4033=8},{4000=1694;4034=8},{4041=8;4000=1694},{4042=8;4000=1694},{4043=8;4000=1694},{4044=8;4000=1694},{4051=8;4000=1694},{4052=8;4000=1694},{4053=8;4000=1694},{4054=8;4000=1694},{4000=2965;4061=7},{4000=2965;4062=7},{4000=2965;4063=7},{4000=2965;4064=7},{4000=2965;4065=7},{4000=2965;4071=7},{4072=7;4000=2965},{4073=7;4000=2965},{4074=7;4000=2965},{4075=7;4000=2965},{4081=5;4000=5082},{4082=5;4000=5082},{4083=5;4000=5082},{4084=5;4000=5082},{4085=5;4000=5082},{4086=5;4000=5082},{4000=5082;4091=5},{4000=5082;4092=5},{4000=5082;4093=5},{4000=5082;4094=5},{4000=5082;4095=5},{4096=5;4000=5082}
22,{4011=10;4000=932},{4012=10;4000=932},{4013=10;4000=932},{4021=10;4000=932},{4022=10;4000=932},{4023=10;4000=932},{4000=1863;4031=9},{4000=1863;4032=9},{4000=1863;4033=9},{4000=1863;4034=9},{4041=9;4000=1863},{4042=9;4000=1863},{4043=9;4000=1863},{4044=9;4000=1863},{4051=9;4000=1863},{4052=9;4000=1863},{4053=9;4000=1863},{4054=9;4000=1863},{4000=3262;4061=8},{4000=3262;4062=8},{4000=3262;4063=8},{4000=3262;4064=8},{4000=3262;4065=8},{4000=3262;4071=8},{4072=8;4000=3262},{4073=8;4000=3262},{4074=8;4000=3262},{4075=8;4000=3262},{4081=6;4000=5590},{4082=6;4000=5590},{4083=6;4000=5590},{4084=6;4000=5590},{4085=6;4000=5590},{4086=6;4000=5590},{4000=5590;4091=6},{4000=5590;4092=6},{4000=5590;4093=6},{4000=5590;4094=6},{4000=5590;4095=6},{4096=6;4000=5590}
23,{4011=11;4000=1025},{4012=11;4000=1025},{4013=11;4000=1025},{4021=11;4000=1025},{4022=11;4000=1025},{4023=11;4000=1025},{4000=2049;4031=10},{4000=2049;4032=10},{4000=2049;4033=10},{4000=2049;4034=10},{4041=10;4000=2049},{4042=10;4000=2049},{4043=10;4000=2049},{4044=10;4000=2049},{4051=10;4000=2049},{4052=10;4000=2049},{4053=10;4000=2049},{4054=10;4000=2049},{4000=3588;4061=9},{4000=3588;4062=9},{4000=3588;4063=9},{4000=3588;4064=9},{4000=3588;4065=9},{4000=3588;4071=9},{4072=9;4000=3588},{4073=9;4000=3588},{4074=9;4000=3588},{4075=9;4000=3588},{4081=7;4000=6149},{4082=7;4000=6149},{4083=7;4000=6149},{4084=7;4000=6149},{4085=7;4000=6149},{4086=7;4000=6149},{4000=6149;4091=7},{4000=6149;4092=7},{4000=6149;4093=7},{4000=6149;4094=7},{4000=6149;4095=7},{4096=7;4000=6149}
24,{4011=12;4000=1128},{4012=12;4000=1128},{4013=12;4000=1128},{4021=12;4000=1128},{4022=12;4000=1128},{4023=12;4000=1128},{4000=2254;4031=11},{4000=2254;4032=11},{4000=2254;4033=11},{4000=2254;4034=11},{4041=11;4000=2254},{4042=11;4000=2254},{4043=11;4000=2254},{4044=11;4000=2254},{4051=11;4000=2254},{4052=11;4000=2254},{4053=11;4000=2254},{4054=11;4000=2254},{4000=3947;4061=10},{4000=3947;4062=10},{4000=3947;4063=10},{4000=3947;4064=10},{4000=3947;4065=10},{4000=3947;4071=10},{4072=10;4000=3947},{4073=10;4000=3947},{4074=10;4000=3947},{4075=10;4000=3947},{4081=8;4000=6764},{4082=8;4000=6764},{4083=8;4000=6764},{4084=8;4000=6764},{4085=8;4000=6764},{4086=8;4000=6764},{4000=6764;4091=8},{4000=6764;4092=8},{4000=6764;4093=8},{4000=6764;4094=8},{4000=6764;4095=8},{4096=8;4000=6764}
25,{4011=13;4000=1241},{4012=13;4000=1241},{4013=13;4000=1241},{4021=13;4000=1241},{4022=13;4000=1241},{4023=13;4000=1241},{4000=2479;4031=12},{4000=2479;4032=12},{4000=2479;4033=12},{4000=2479;4034=12},{4041=12;4000=2479},{4042=12;4000=2479},{4043=12;4000=2479},{4044=12;4000=2479},{4051=12;4000=2479},{4052=12;4000=2479},{4053=12;4000=2479},{4054=12;4000=2479},{4000=4342;4061=11},{4000=4342;4062=11},{4000=4342;4063=11},{4000=4342;4064=11},{4000=4342;4065=11},{4000=4342;4071=11},{4072=11;4000=4342},{4073=11;4000=4342},{4074=11;4000=4342},{4075=11;4000=4342},{4081=9;4000=7440},{4082=9;4000=7440},{4083=9;4000=7440},{4084=9;4000=7440},{4085=9;4000=7440},{4086=9;4000=7440},{4000=7440;4091=9},{4000=7440;4092=9},{4000=7440;4093=9},{4000=7440;4094=9},{4000=7440;4095=9},{4096=9;4000=7440}
26,{4011=14;4000=1365},{4012=14;4000=1365},{4013=14;4000=1365},{4021=14;4000=1365},{4022=14;4000=1365},{4023=14;4000=1365},{4000=2727;4031=13},{4000=2727;4032=13},{4000=2727;4033=13},{4000=2727;4034=13},{4041=13;4000=2727},{4042=13;4000=2727},{4043=13;4000=2727},{4044=13;4000=2727},{4051=13;4000=2727},{4052=13;4000=2727},{4053=13;4000=2727},{4054=13;4000=2727},{4000=4776;4061=12},{4000=4776;4062=12},{4000=4776;4063=12},{4000=4776;4064=12},{4000=4776;4065=12},{4000=4776;4071=12},{4072=12;4000=4776},{4073=12;4000=4776},{4074=12;4000=4776},{4075=12;4000=4776},{4081=10;4000=8184},{4082=10;4000=8184},{4083=10;4000=8184},{4084=10;4000=8184},{4085=10;4000=8184},{4086=10;4000=8184},{4000=8184;4091=10},{4000=8184;4092=10},{4000=8184;4093=10},{4000=8184;4094=10},{4000=8184;4095=10},{4096=10;4000=8184}
27,{4011=15;4000=1502},{4012=15;4000=1502},{4013=15;4000=1502},{4021=15;4000=1502},{4022=15;4000=1502},{4023=15;4000=1502},{4000=3000;4031=14},{4000=3000;4032=14},{4000=3000;4033=14},{4000=3000;4034=14},{4041=14;4000=3000},{4042=14;4000=3000},{4043=14;4000=3000},{4044=14;4000=3000},{4051=14;4000=3000},{4052=14;4000=3000},{4053=14;4000=3000},{4054=14;4000=3000},{4000=5254;4061=13},{4000=5254;4062=13},{4000=5254;4063=13},{4000=5254;4064=13},{4000=5254;4065=13},{4000=5254;4071=13},{4072=13;4000=5254},{4073=13;4000=5254},{4074=13;4000=5254},{4075=13;4000=5254},{4081=11;4000=9002},{4082=11;4000=9002},{4083=11;4000=9002},{4084=11;4000=9002},{4085=11;4000=9002},{4086=11;4000=9002},{4000=9002;4091=11},{4000=9002;4092=11},{4000=9002;4093=11},{4000=9002;4094=11},{4000=9002;4095=11},{4096=11;4000=9002}
28,{4011=16;4000=1652},{4012=16;4000=1652},{4013=16;4000=1652},{4021=16;4000=1652},{4022=16;4000=1652},{4023=16;4000=1652},{4000=3300;4031=15},{4000=3300;4032=15},{4000=3300;4033=15},{4000=3300;4034=15},{4041=15;4000=3300},{4042=15;4000=3300},{4043=15;4000=3300},{4044=15;4000=3300},{4051=15;4000=3300},{4052=15;4000=3300},{4053=15;4000=3300},{4054=15;4000=3300},{4000=5779;4061=14},{4000=5779;4062=14},{4000=5779;4063=14},{4000=5779;4064=14},{4000=5779;4065=14},{4000=5779;4071=14},{4072=14;4000=5779},{4073=14;4000=5779},{4074=14;4000=5779},{4075=14;4000=5779},{4081=12;4000=9902},{4082=12;4000=9902},{4083=12;4000=9902},{4084=12;4000=9902},{4085=12;4000=9902},{4086=12;4000=9902},{4000=9902;4091=12},{4000=9902;4092=12},{4000=9902;4093=12},{4000=9902;4094=12},{4000=9902;4095=12},{4096=12;4000=9902}
29,{4011=17;4000=1817},{4012=17;4000=1817},{4013=17;4000=1817},{4021=17;4000=1817},{4022=17;4000=1817},{4023=17;4000=1817},{4000=3630;4031=16},{4000=3630;4032=16},{4000=3630;4033=16},{4000=3630;4034=16},{4041=16;4000=3630},{4042=16;4000=3630},{4043=16;4000=3630},{4044=16;4000=3630},{4051=16;4000=3630},{4052=16;4000=3630},{4053=16;4000=3630},{4054=16;4000=3630},{4000=6357;4061=15},{4000=6357;4062=15},{4000=6357;4063=15},{4000=6357;4064=15},{4000=6357;4065=15},{4000=6357;4071=15},{4072=15;4000=6357},{4073=15;4000=6357},{4074=15;4000=6357},{4075=15;4000=6357},{4081=13;4000=10892},{4082=13;4000=10892},{4083=13;4000=10892},{4084=13;4000=10892},{4085=13;4000=10892},{4086=13;4000=10892},{4000=10892;4091=13},{4000=10892;4092=13},{4000=10892;4093=13},{4000=10892;4094=13},{4000=10892;4095=13},{4096=13;4000=10892}
