±äÁ¿Ãû,level,randomWeight,card1,skillMap1,card2,skillMap2,card3,skillMap3,card4,skillMap4,card5,skillMap5,card6,skillMap6
25,8,100,{id=11},{112=3;111=3;113=3},{star=1;id=171},{1712=3;1713=3;1711=3},{star=1;id=81},{813=3;812=3;811=3},{star=1;id=131},{1311=3;1313=3;1312=3},{},{},{},{}
26,8,100,{id=131},{1311=3;1313=3;1312=3},{star=1;id=31},{311=3;313=3;312=3},{star=1;id=461},{4612=3;4611=3;4613=3},{star=1;id=41},{411=3;412=3;413=3},{},{},{},{}
27,8,100,{id=111},{1113=3;1111=3;1112=3},{star=1;id=1},{11=3;13=3;12=3},{star=1;id=781},{7811=3;7812=3;7813=3},{star=1;id=351},{3512=3;3513=3;3511=3},{},{},{},{}
28,8,100,{id=171},{1712=3;1713=3;1711=3},{star=1;id=111},{1113=3;1111=3;1112=3},{star=1;id=121},{1213=3;1211=3;1212=3},{star=1;id=1351},{13511=3;13513=3;13512=3},{},{},{},{}
29,8,100,{id=461},{4612=3;4611=3;4613=3},{star=1;id=81},{813=3;812=3;811=3},{star=1;id=351},{3512=3;3513=3;3511=3},{star=1;id=891},{8911=3;8912=3;8913=3},{},{},{},{}
30,8,100,{id=461},{4612=3;4611=3;4613=3},{star=1;id=171},{1712=3;1713=3;1711=3},{star=1;id=1611},{16113=3;16111=3;16112=3},{star=1;id=111},{1113=3;1111=3;1112=3},{},{},{},{}
31,8,100,{id=891},{8911=3;8912=3;8913=3},{star=1;id=171},{1712=3;1713=3;1711=3},{star=1;id=131},{1311=3;1313=3;1312=3},{star=1;id=121},{1213=3;1211=3;1212=3},{},{},{},{}
32,8,100,{id=471},{4713=3;4711=3;4712=3},{star=1;id=891},{8911=3;8912=3;8913=3},{star=1;id=1351},{13511=3;13513=3;13512=3},{star=1;id=351},{3512=3;3513=3;3511=3},{},{},{},{}
33,8,100,{id=891},{8911=3;8912=3;8913=3},{star=1;id=41},{411=3;412=3;413=3},{star=1;id=2011},{20112=3;20111=3;20113=3},{star=1;id=51},{512=3;513=3;511=3},{},{},{},{}
34,8,100,{id=171},{1712=3;1713=3;1711=3},{star=1;id=301},{3013=3;3012=3;3011=3},{star=1;id=61},{613=3;612=3;611=3},{star=1;id=3561},{35613=3;35611=3;35612=3},{},{},{},{}
35,8,100,{id=61},{613=3;612=3;611=3},{star=1;id=171},{1712=3;1713=3;1711=3},{star=1;id=461},{4612=3;4611=3;4613=3},{star=1;id=541},{5413=3;5411=3;5412=3},{},{},{},{}
36,8,100,{id=11},{112=3;111=3;113=3},{star=1;id=1},{11=3;13=3;12=3},{star=1;id=61},{613=3;612=3;611=3},{star=1;id=121},{1213=3;1211=3;1212=3},{},{},{},{}
37,8,100,{id=101},{1013=3;1011=3;1012=3},{star=1;id=171},{1712=3;1713=3;1711=3},{star=1;id=71},{712=3;711=3;713=3},{star=1;id=351},{3512=3;3513=3;3511=3},{},{},{},{}
38,8,100,{id=451},{4512=3;4511=3;4513=3},{star=1;id=541},{5413=3;5411=3;5412=3},{star=1;id=461},{4612=3;4611=3;4613=3},{star=1;id=51},{512=3;513=3;511=3},{},{},{},{}
39,8,100,{id=111},{1113=3;1111=3;1112=3},{star=1;id=81},{813=3;812=3;811=3},{star=1;id=171},{1712=3;1713=3;1711=3},{star=1;id=51},{512=3;513=3;511=3},{},{},{},{}
40,8,100,{id=541},{5413=3;5411=3;5412=3},{star=1;id=171},{1712=3;1713=3;1711=3},{star=1;id=3561},{35613=3;35611=3;35612=3},{star=1;id=131},{1311=3;1313=3;1312=3},{},{},{},{}
41,8,100,{id=131},{1311=5;1313=5;1312=5},{star=1;id=301},{3013=5;3012=5;3011=5},{star=1;id=231},{2313=5;2312=5;2311=5},{star=1;id=3561},{35613=5;35611=5;35612=5},{},{},{},{}
42,8,100,{id=111},{1113=5;1111=5;1112=5},{star=1;id=171},{1712=5;1713=5;1711=5},{star=1;id=2011},{20112=5;20111=5;20113=5},{star=1;id=891},{8911=5;8912=5;8913=5},{},{},{},{}
43,8,100,{id=541},{5413=5;5411=5;5412=5},{star=1;id=1351},{13511=5;13513=5;13512=5},{star=1;id=171},{1712=5;1713=5;1711=5},{star=1;id=2891},{28912=5;28911=5;28913=5},{},{},{},{}
44,8,100,{id=121},{1213=5;1211=5;1212=5},{star=1;id=231},{2313=5;2312=5;2311=5},{star=1;id=541},{5413=5;5411=5;5412=5},{star=1;id=461},{4612=5;4611=5;4613=5},{},{},{},{}
45,8,100,{id=1351},{13511=5;13513=5;13512=5},{star=1;id=81},{813=5;812=5;811=5},{star=1;id=891},{8911=5;8912=5;8913=5},{star=1;id=51},{512=5;513=5;511=5},{},{},{},{}
46,8,100,{id=171},{1712=5;1713=5;1711=5},{star=1;id=1351},{13511=5;13513=5;13512=5},{star=1;id=451},{4512=5;4511=5;4513=5},{star=1;id=191},{1911=5;1912=5;1913=5},{},{},{},{}
47,8,100,{id=41},{411=5;412=5;413=5},{star=1;id=171},{1712=5;1713=5;1711=5},{star=1;id=31},{311=5;313=5;312=5},{star=1;id=1351},{13511=5;13513=5;13512=5},{},{},{},{}
48,8,100,{id=191},{1911=5;1912=5;1913=5},{star=1;id=301},{3013=5;3012=5;3011=5},{star=1;id=3561},{35613=5;35611=5;35612=5},{star=1;id=131},{1311=5;1313=5;1312=5},{},{},{},{}
49,8,100,{id=71},{712=5;711=5;713=5},{star=1;id=111},{1113=5;1111=5;1112=5},{star=1;id=121},{1213=5;1211=5;1212=5},{star=1;id=191},{1911=5;1912=5;1913=5},{},{},{},{}
50,8,100,{id=11},{112=5;111=5;113=5},{star=1;id=461},{4612=5;4611=5;4613=5},{star=1;id=781},{7811=5;7812=5;7813=5},{star=1;id=1351},{13511=5;13513=5;13512=5},{},{},{},{}
51,8,100,{id=801},{8011=5;8013=5;8012=5},{star=1;id=461},{4612=5;4611=5;4613=5},{star=1;id=41},{411=5;412=5;413=5},{star=1;id=61},{613=5;612=5;611=5},{},{},{},{}
52,8,100,{id=71},{712=5;711=5;713=5},{star=1;id=541},{5413=5;5411=5;5412=5},{star=1;id=1351},{13511=5;13513=5;13512=5},{star=1;id=171},{1712=5;1713=5;1711=5},{},{},{},{}
53,8,100,{id=121},{1213=5;1211=5;1212=5},{star=1;id=541},{5413=5;5411=5;5412=5},{star=1;id=101},{1013=5;1011=5;1012=5},{star=1;id=461},{4612=5;4611=5;4613=5},{},{},{},{}
54,8,100,{id=3561},{35613=5;35611=5;35612=5},{star=1;id=101},{1013=5;1011=5;1012=5},{star=1;id=1611},{16113=5;16111=5;16112=5},{star=1;id=541},{5413=5;5411=5;5412=5},{},{},{},{}
55,8,100,{id=231},{2313=5;2312=5;2311=5},{star=1;id=71},{712=5;711=5;713=5},{star=1;id=121},{1213=5;1211=5;1212=5},{star=1;id=891},{8911=5;8912=5;8913=5},{},{},{},{}
56,8,100,{id=451},{4512=5;4511=5;4513=5},{star=1;id=111},{1113=5;1111=5;1112=5},{star=1;id=231},{2313=5;2312=5;2311=5},{star=1;id=3561},{35613=5;35611=5;35612=5},{},{},{},{}
57,8,100,{id=451},{4512=5;4511=5;4513=5},{star=1;id=3561},{35613=5;35611=5;35612=5},{star=1;id=101},{1013=5;1011=5;1012=5},{star=1;id=71},{712=5;711=5;713=5},{},{},{},{}
58,8,100,{id=451},{4512=5;4511=5;4513=5},{star=1;id=301},{3013=5;3012=5;3011=5},{star=1;id=191},{1911=5;1912=5;1913=5},{star=1;id=2891},{28912=5;28911=5;28913=5},{},{},{},{}
59,8,100,{id=891},{8911=5;8912=5;8913=5},{star=1;id=3561},{35613=5;35611=5;35612=5},{star=1;id=81},{813=5;812=5;811=5},{star=1;id=71},{712=5;711=5;713=5},{},{},{},{}
60,8,100,{id=81},{813=5;812=5;811=5},{star=1;id=61},{613=5;612=5;611=5},{star=1;id=71},{712=5;711=5;713=5},{star=1;id=451},{4512=5;4511=5;4513=5},{},{},{},{}
61,15,100,{id=541},{5413=7;5411=7;5412=7},{star=2;id=131},{1311=7;1313=7;1312=7},{star=2;id=451},{4512=7;4511=7;4513=7},{star=2;id=1351},{13511=7;13513=7;13512=7},{},{},{},{}
62,15,100,{id=551},{5512=7;5511=7;5513=7},{star=2;id=301},{3013=7;3012=7;3011=7},{star=2;id=541},{5413=7;5411=7;5412=7},{star=2;id=891},{8911=7;8912=7;8913=7},{},{},{},{}
63,15,100,{id=3561},{35613=7;35611=7;35612=7},{star=2;id=111},{1113=7;1111=7;1112=7},{star=2;id=2891},{28912=7;28911=7;28913=7},{star=2;id=81},{813=7;812=7;811=7},{},{},{},{}
64,15,100,{id=131},{1311=7;1313=7;1312=7},{star=2;id=101},{1013=7;1011=7;1012=7},{star=2;id=41},{411=7;412=7;413=7},{star=2;id=451},{4512=7;4511=7;4513=7},{},{},{},{}
65,15,100,{id=111},{1113=7;1111=7;1112=7},{star=2;id=61},{613=7;612=7;611=7},{star=2;id=121},{1213=7;1211=7;1212=7},{star=2;id=101},{1013=7;1011=7;1012=7},{},{},{},{}
66,15,100,{id=11},{112=7;111=7;113=7},{star=2;id=2891},{28912=7;28911=7;28913=7},{star=2;id=1351},{13511=7;13513=7;13512=7},{star=2;id=171},{1712=7;1713=7;1711=7},{},{},{},{}
67,15,100,{id=71},{712=7;711=7;713=7},{star=2;id=81},{813=7;812=7;811=7},{star=2;id=1351},{13511=7;13513=7;13512=7},{star=2;id=461},{4612=7;4611=7;4613=7},{},{},{},{}
68,15,100,{id=451},{4512=7;4511=7;4513=7},{star=2;id=31},{311=7;313=7;312=7},{star=2;id=101},{1013=7;1011=7;1012=7},{star=2;id=131},{1311=7;1313=7;1312=7},{},{},{},{}
69,15,100,{id=351},{3512=7;3513=7;3511=7},{star=2;id=3561},{35613=7;35611=7;35612=7},{star=2;id=131},{1311=7;1313=7;1312=7},{star=2;id=121},{1213=7;1211=7;1212=7},{},{},{},{}
70,15,100,{id=231},{2313=7;2312=7;2311=7},{star=2;id=101},{1013=7;1011=7;1012=7},{star=2;id=191},{1911=7;1912=7;1913=7},{star=2;id=111},{1113=7;1111=7;1112=7},{},{},{},{}
71,15,100,{id=1351},{13511=7;13513=7;13512=7},{star=2;id=111},{1113=7;1111=7;1112=7},{star=2;id=2011},{20112=7;20111=7;20113=7},{star=2;id=461},{4612=7;4611=7;4613=7},{},{},{},{}
72,15,100,{id=451},{4512=7;4511=7;4513=7},{star=2;id=71},{712=7;711=7;713=7},{star=2;id=541},{5413=7;5411=7;5412=7},{star=2;id=81},{813=7;812=7;811=7},{},{},{},{}
73,15,100,{id=3561},{35613=7;35611=7;35612=7},{star=2;id=301},{3013=7;3012=7;3011=7},{star=2;id=2011},{20112=7;20111=7;20113=7},{star=2;id=41},{411=7;412=7;413=7},{},{},{},{}
74,15,100,{id=91},{912=7;911=7;913=7},{star=2;id=301},{3013=7;3012=7;3011=7},{star=2;id=121},{1213=7;1211=7;1212=7},{star=2;id=41},{411=7;412=7;413=7},{},{},{},{}
75,15,100,{id=231},{2313=7;2312=7;2311=7},{star=2;id=121},{1213=7;1211=7;1212=7},{star=2;id=541},{5413=7;5411=7;5412=7},{star=2;id=171},{1712=7;1713=7;1711=7},{},{},{},{}
76,15,100,{id=451},{4512=7;4511=7;4513=7},{star=2;id=111},{1113=7;1111=7;1112=7},{star=2;id=231},{2313=7;2312=7;2311=7},{star=2;id=41},{411=7;412=7;413=7},{},{},{},{}
77,15,100,{id=171},{1712=7;1713=7;1711=7},{star=2;id=451},{4512=7;4511=7;4513=7},{star=2;id=1351},{13511=7;13513=7;13512=7},{star=2;id=2071},{20712=7;20713=7;20711=7},{},{},{},{}
78,15,100,{id=891},{8911=7;8912=7;8913=7},{star=2;id=111},{1113=7;1111=7;1112=7},{star=2;id=191},{1911=7;1912=7;1913=7},{star=2;id=231},{2313=7;2312=7;2311=7},{},{},{},{}
79,15,100,{id=11},{112=7;111=7;113=7},{star=2;id=451},{4512=7;4511=7;4513=7},{star=2;id=461},{4612=7;4611=7;4613=7},{star=2;id=131},{1311=7;1313=7;1312=7},{},{},{},{}
80,15,100,{id=61},{613=7;612=7;611=7},{star=2;id=81},{813=7;812=7;811=7},{star=2;id=111},{1113=7;1111=7;1112=7},{star=2;id=1351},{13511=7;13513=7;13512=7},{},{},{},{}
81,15,100,{id=191},{1911=9;1912=9;1913=9},{star=2;id=81},{813=9;812=9;811=9},{star=2;id=351},{3512=9;3513=9;3511=9},{star=2;id=1351},{13511=9;13513=9;13512=9},{},{},{},{}
82,15,100,{id=31},{311=9;313=9;312=9},{star=2;id=301},{3013=9;3012=9;3011=9},{star=2;id=101},{1013=9;1011=9;1012=9},{star=2;id=51},{512=9;513=9;511=9},{},{},{},{}
83,15,100,{id=11},{112=9;111=9;113=9},{star=2;id=891},{8911=9;8912=9;8913=9},{star=2;id=3561},{35613=9;35611=9;35612=9},{star=2;id=171},{1712=9;1713=9;1711=9},{},{},{},{}
84,15,100,{id=781},{7811=9;7812=9;7813=9},{star=2;id=61},{613=9;612=9;611=9},{star=2;id=101},{1013=9;1011=9;1012=9},{star=2;id=131},{1311=9;1313=9;1312=9},{},{},{},{}
85,15,100,{id=81},{813=9;812=9;811=9},{star=2;id=351},{3512=9;3513=9;3511=9},{star=2;id=1611},{16113=9;16111=9;16112=9},{star=2;id=111},{1113=9;1111=9;1112=9},{},{},{},{}
86,15,100,{id=11},{112=9;111=9;113=9},{star=2;id=31},{311=9;313=9;312=9},{star=2;id=121},{1213=9;1211=9;1212=9},{star=2;id=191},{1911=9;1912=9;1913=9},{},{},{},{}
87,15,100,{id=351},{3512=9;3513=9;3511=9},{star=2;id=2891},{28912=9;28911=9;28913=9},{star=2;id=191},{1911=9;1912=9;1913=9},{star=2;id=3561},{35613=9;35611=9;35612=9},{},{},{},{}
88,15,100,{id=2481},{24813=9;24811=9;24812=9},{star=2;id=3561},{35613=9;35611=9;35612=9},{star=2;id=191},{1911=9;1912=9;1913=9},{star=2;id=2891},{28912=9;28911=9;28913=9},{},{},{},{}
89,15,100,{id=11},{112=9;111=9;113=9},{star=2;id=121},{1213=9;1211=9;1212=9},{star=2;id=231},{2313=9;2312=9;2311=9},{star=2;id=461},{4612=9;4611=9;4613=9},{},{},{},{}
90,15,100,{id=171},{1712=9;1713=9;1711=9},{star=2;id=301},{3013=9;3012=9;3011=9},{star=2;id=111},{1113=9;1111=9;1112=9},{star=2;id=31},{311=9;313=9;312=9},{},{},{},{}
91,15,100,{id=1351},{13511=9;13513=9;13512=9},{star=2;id=3561},{35613=9;35611=9;35612=9},{star=2;id=111},{1113=9;1111=9;1112=9},{star=2;id=891},{8911=9;8912=9;8913=9},{},{},{},{}
92,15,100,{id=171},{1712=9;1713=9;1711=9},{star=2;id=61},{613=9;612=9;611=9},{star=2;id=1611},{16113=9;16111=9;16112=9},{star=2;id=541},{5413=9;5411=9;5412=9},{},{},{},{}
93,15,100,{id=191},{1911=9;1912=9;1913=9},{star=2;id=171},{1712=9;1713=9;1711=9},{star=2;id=81},{813=9;812=9;811=9},{star=2;id=1351},{13511=9;13513=9;13512=9},{},{},{},{}
94,15,100,{id=11},{112=9;111=9;113=9},{star=2;id=891},{8911=9;8912=9;8913=9},{star=2;id=2011},{20112=9;20111=9;20113=9},{star=2;id=171},{1712=9;1713=9;1711=9},{},{},{},{}
95,15,100,{id=11},{112=9;111=9;113=9},{star=2;id=171},{1712=9;1713=9;1711=9},{star=2;id=781},{7811=9;7812=9;7813=9},{star=2;id=71},{712=9;711=9;713=9},{},{},{},{}
96,15,100,{id=11},{112=9;111=9;113=9},{star=2;id=351},{3512=9;3513=9;3511=9},{star=2;id=171},{1712=9;1713=9;1711=9},{star=2;id=81},{813=9;812=9;811=9},{},{},{},{}
97,15,100,{id=801},{8011=9;8013=9;8012=9},{star=2;id=391},{3912=9;3913=9;3911=9},{star=2;id=61},{613=9;612=9;611=9},{star=2;id=131},{1311=9;1313=9;1312=9},{},{},{},{}
98,15,100,{id=11},{112=9;111=9;113=9},{star=2;id=891},{8911=9;8912=9;8913=9},{star=2;id=2011},{20112=9;20111=9;20113=9},{star=2;id=171},{1712=9;1713=9;1711=9},{},{},{},{}
99,15,100,{id=81},{813=9;812=9;811=9},{star=2;id=1351},{13511=9;13513=9;13512=9},{star=2;id=1611},{16113=9;16111=9;16112=9},{star=2;id=171},{1712=9;1713=9;1711=9},{},{},{},{}
100,15,100,{id=131},{1311=9;1313=9;1312=9},{star=2;id=111},{1113=9;1111=9;1112=9},{star=2;id=31},{311=9;313=9;312=9},{star=2;id=461},{4612=9;4611=9;4613=9},{},{},{},{}
101,15,100,{id=3561},{35613=11;35611=11;35612=11},{star=2;id=451},{4512=11;4511=11;4513=11},{star=2;id=31},{311=11;313=11;312=11},{star=2;id=351},{3512=11;3513=11;3511=11},{},{},{},{}
102,15,100,{id=31},{311=11;313=11;312=11},{star=2;id=101},{1013=11;1011=11;1012=11},{star=2;id=461},{4612=11;4611=11;4613=11},{star=2;id=1351},{13511=11;13513=11;13512=11},{},{},{},{}
103,15,100,{id=2071},{20712=11;20713=11;20711=11},{star=2;id=301},{3013=11;3012=11;3011=11},{star=2;id=451},{4512=11;4511=11;4513=11},{star=2;id=121},{1213=11;1211=11;1212=11},{},{},{},{}
104,15,100,{id=2631},{26312=11;26311=11;26313=11},{star=2;id=891},{8911=11;8912=11;8913=11},{star=2;id=171},{1712=11;1713=11;1711=11},{star=2;id=81},{813=11;812=11;811=11},{},{},{},{}
105,15,100,{id=121},{1213=11;1211=11;1212=11},{star=2;id=171},{1712=11;1713=11;1711=11},{star=2;id=1611},{16113=11;16111=11;16112=11},{star=2;id=111},{1113=11;1111=11;1112=11},{},{},{},{}
106,15,100,{id=121},{1213=11;1211=11;1212=11},{star=2;id=301},{3013=11;3012=11;3011=11},{star=2;id=101},{1013=11;1011=11;1012=11},{star=2;id=31},{311=11;313=11;312=11},{},{},{},{}
107,15,100,{id=351},{3512=11;3513=11;3511=11},{star=2;id=231},{2313=11;2312=11;2311=11},{star=2;id=3561},{35613=11;35611=11;35612=11},{star=2;id=891},{8911=11;8912=11;8913=11},{},{},{},{}
108,15,100,{id=81},{813=11;812=11;811=11},{star=2;id=451},{4512=11;4511=11;4513=11},{star=2;id=231},{2313=11;2312=11;2311=11},{star=2;id=51},{512=11;513=11;511=11},{},{},{},{}
109,15,100,{id=451},{4512=11;4511=11;4513=11},{star=2;id=231},{2313=11;2312=11;2311=11},{star=2;id=2011},{20112=11;20111=11;20113=11},{star=2;id=171},{1712=11;1713=11;1711=11},{},{},{},{}
110,15,100,{id=121},{1213=11;1211=11;1212=11},{star=2;id=1351},{13511=11;13513=11;13512=11},{star=2;id=2011},{20112=11;20111=11;20113=11},{star=2;id=2891},{28912=11;28911=11;28913=11},{},{},{},{}
111,15,100,{id=131},{1311=11;1313=11;1312=11},{star=2;id=1},{11=11;13=11;12=11},{star=2;id=31},{311=11;313=11;312=11},{star=2;id=3561},{35613=11;35611=11;35612=11},{},{},{},{}
112,15,100,{id=461},{4612=11;4611=11;4613=11},{star=2;id=301},{3013=11;3012=11;3011=11},{star=2;id=351},{3512=11;3513=11;3511=11},{star=2;id=71},{712=11;711=11;713=11},{},{},{},{}
113,15,100,{id=3011},{30113=11;30111=11;30112=11},{star=2;id=31},{311=11;313=11;312=11},{star=2;id=231},{2313=11;2312=11;2311=11},{star=2;id=191},{1911=11;1912=11;1913=11},{},{},{},{}
114,15,100,{id=111},{1113=11;1111=11;1112=11},{star=2;id=2891},{28912=11;28911=11;28913=11},{star=2;id=101},{1013=11;1011=11;1012=11},{star=2;id=451},{4512=11;4511=11;4513=11},{},{},{},{}
115,15,100,{id=351},{3512=11;3513=11;3511=11},{star=2;id=131},{1311=11;1313=11;1312=11},{star=2;id=81},{813=11;812=11;811=11},{star=2;id=2071},{20712=11;20713=11;20711=11},{},{},{},{}
116,15,100,{id=61},{613=11;612=11;611=11},{star=2;id=111},{1113=11;1111=11;1112=11},{star=2;id=891},{8911=11;8912=11;8913=11},{star=2;id=121},{1213=11;1211=11;1212=11},{},{},{},{}
117,15,100,{id=3431},{34312=11;34313=11;34311=11},{star=2;id=121},{1213=11;1211=11;1212=11},{star=2;id=351},{3512=11;3513=11;3511=11},{star=2;id=461},{4612=11;4611=11;4613=11},{},{},{},{}
118,15,100,{id=891},{8911=11;8912=11;8913=11},{star=2;id=171},{1712=11;1713=11;1711=11},{star=2;id=1351},{13511=11;13513=11;13512=11},{star=2;id=461},{4612=11;4611=11;4613=11},{},{},{},{}
119,15,100,{id=11},{112=11;111=11;113=11},{star=2;id=541},{5413=11;5411=11;5412=11},{star=2;id=111},{1113=11;1111=11;1112=11},{star=2;id=171},{1712=11;1713=11;1711=11},{},{},{},{}
120,15,100,{id=891},{8911=11;8912=11;8913=11},{star=2;id=71},{712=11;711=11;713=11},{star=2;id=1351},{13511=11;13513=11;13512=11},{star=2;id=171},{1712=11;1713=11;1711=11},{},{},{},{}
121,20,100,{id=3291},{32912=13;32911=13;32913=13},{star=3;id=371},{3712=13;3711=13;3713=13},{star=3;id=2301},{23012=13;23011=13;23013=13},{star=3;id=2071},{20712=13;20713=13;20711=13},{star=3;id=491},{4913=13;4911=13;4912=13},{},{}
122,20,100,{id=781},{7811=13;7812=13;7813=13},{star=3;id=3281},{32812=13;32811=13;32813=13},{star=3;id=461},{4612=13;4611=13;4613=13},{star=3;id=21},{212=13;211=13;213=13},{star=3;id=11},{112=13;111=13;113=13},{},{}
123,20,100,{id=781},{7811=13;7812=13;7813=13},{star=3;id=1861},{18612=13;18611=13;18613=13},{star=3;id=2481},{24813=13;24811=13;24812=13},{star=3;id=2961},{29612=13;29611=13;29613=13},{star=3;id=1},{11=13;13=13;12=13},{},{}
