变量名,effectType,target,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,effectDesc,effectDesc_tw,effectDesc_en,effectDesc_vn,effectDesc_kr,effectDesc_pt,effectDesc_th
9,1,<>,,1,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+21时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +9: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +9: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
10,1,<>,,1,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+24时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +12: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +12: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
11,1,<>,,1,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+27时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +3: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +3: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
12,1,<>,,1,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+30时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +6: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +6: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
13,1,<>,,1,<2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+35时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +9: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +9: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
14,1,<>,,1,<3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+40时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +9: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +9: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
15,1,<>,,7,<2.4%;2.8%;3.2%;3.6%;4%;4.4%;4.8%;5.2%;5.6%;6%;6.4%;6.8%;7.2%;7.6%;8%;8.4%;8.8%;9.2%;9.6%;10%;10.4%;10.8%;11.2%;11.6%;12%;12.4%;12.8%;13.2%;13.6%;14%;14.4%;14.8%;15.2%;15.6%;16%;16.4%;16.8%;17.2%;17.6%;18%;18.4%;18.8%;19.2%;19.6%;20%;21.4%;21.8%;22.2%;22.6%;23%>,8,<2.4%;2.8%;3.2%;3.6%;4%;4.4%;4.8%;5.2%;5.6%;6%;6.4%;6.8%;7.2%;7.6%;8%;8.4%;8.8%;9.2%;9.6%;10%;10.4%;10.8%;11.2%;11.6%;12%;12.4%;12.8%;13.2%;13.6%;14%;14.4%;14.8%;15.2%;15.6%;16%;16.4%;16.8%;17.2%;17.6%;18%;18.4%;18.8%;19.2%;19.6%;20%;21.4%;21.8%;22.2%;22.6%;23%>,,<>,,<>,,<>,,<>,"#C0x5B545B##F40#全体精灵%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#%s of all Pokémons increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s","#C0x5B545B##F40# Toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가","#C0x5B545B##F40#%s de todos os Pokémons aumenta em #F50##C0x5C9970#%s#C0x5B545B##F40#, %s aumenta em #F50##C0x5C9970#%s","#C0x5B545B##F40#%s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s#C0x5B545B##F40#, %s เพิ่มขึ้น #F50##C0x5C9970#%s"
16,1,<>,,1,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;2.1%;2.2%;2.3%;2.4%;2.5%;2.6%;2.7%;2.8%;2.9%;3%;3.1%;3.2%;3.3%;3.4%;3.5%;3.6%;3.7%;3.8%;3.9%;4%;4.1%;4.2%;4.3%;4.4%;4.5%;4.6%;4.7%;4.8%;4.9%;5%>,13,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;2.1%;2.2%;2.3%;2.4%;2.5%;2.6%;2.7%;2.8%;2.9%;3%;3.1%;3.2%;3.3%;3.4%;3.5%;3.6%;3.7%;3.8%;3.9%;4%;4.1%;4.2%;4.3%;4.4%;4.5%;4.6%;4.7%;4.8%;4.9%;5%>,7,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;2.1%;2.2%;2.3%;2.4%;2.5%;2.6%;2.7%;2.8%;2.9%;3%;3.1%;3.2%;3.3%;3.4%;3.5%;3.6%;3.7%;3.8%;3.9%;4%;4.1%;4.2%;4.3%;4.4%;4.5%;4.6%;4.7%;4.8%;4.9%;5%>,8,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;2.1%;2.2%;2.3%;2.4%;2.5%;2.6%;2.7%;2.8%;2.9%;3%;3.1%;3.2%;3.3%;3.4%;3.5%;3.6%;3.7%;3.8%;3.9%;4%;4.1%;4.2%;4.3%;4.4%;4.5%;4.6%;4.7%;4.8%;4.9%;5%>,9,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;2.1%;2.2%;2.3%;2.4%;2.5%;2.6%;2.7%;2.8%;2.9%;3%;3.1%;3.2%;3.3%;3.4%;3.5%;3.6%;3.7%;3.8%;3.9%;4%;4.1%;4.2%;4.3%;4.4%;4.5%;4.6%;4.7%;4.8%;4.9%;5%>,10,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;2.1%;2.2%;2.3%;2.4%;2.5%;2.6%;2.7%;2.8%;2.9%;3%;3.1%;3.2%;3.3%;3.4%;3.5%;3.6%;3.7%;3.8%;3.9%;4%;4.1%;4.2%;4.3%;4.4%;4.5%;4.6%;4.7%;4.8%;4.9%;5%>,#C0x5B545B##F40#全体精灵基础属性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈基礎屬性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Thuộc tính cơ bản toàn bộ Pokémon tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 기본 스탯 #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40#Atributos base de todos os Pokémons aumentam em #F50##C0x5C9970#%s,#C0x5B545B##F40#ค่าสถานะพื้นฐานของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
17,1,<>,,7,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,8,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,<>,,<>,,<>,,<>,"#C0x5B545B##F40#+3时激活: 全体精灵%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+3:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가","#C0x5B545B##F40# Ativar em +3: %s aumenta em #F50##C0x5C9970#%s#C0x5B545B##F40#, %s aumenta em #F50##C0x5C9970#%s para todos os Pokémons","#C0x5B545B##F40# เปิดใช้งานที่ +3: %s เพิ่มขึ้น #F50##C0x5C9970#%s#C0x5B545B##F40#, %s เพิ่มขึ้น #F50##C0x5C9970#%s สำหรับโปเกมอนทั้งหมด"
18,1,<>,,7,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,8,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,<>,,<>,,<>,,<>,"#C0x5B545B##F40#+6时激活: 全体精灵%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+6:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가","#C0x5B545B##F40# Ativar em +6: %s aumenta em #F50##C0x5C9970#%s#C0x5B545B##F40#, %s aumenta em #F50##C0x5C9970#%s para todos os Pokémons","#C0x5B545B##F40# เปิดใช้งานที่ +6: %s เพิ่มขึ้น #F50##C0x5C9970#%s#C0x5B545B##F40#, %s เพิ่มขึ้น #F50##C0x5C9970#%s สำหรับโปเกมอนทั้งหมด"
19,1,<>,,7,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,8,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,<>,,<>,,<>,,<>,"#C0x5B545B##F40#+9时激活: 全体精灵%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+9:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가","#C0x5B545B##F40# Ativar em +9: %s aumenta em #F50##C0x5C9970#%s#C0x5B545B##F40#, %s aumenta em #F50##C0x5C9970#%s para todos os Pokémons","#C0x5B545B##F40# เปิดใช้งานที่ +9: %s เพิ่มขึ้น #F50##C0x5C9970#%s#C0x5B545B##F40#, %s เพิ่มขึ้น #F50##C0x5C9970#%s สำหรับโปเกมอนทั้งหมด"
20,1,<>,,7,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,8,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,<>,,<>,,<>,,<>,"#C0x5B545B##F40#+12时激活: 全体精灵%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+12:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가","#C0x5B545B##F40# Ativar em +12: %s aumenta em #F50##C0x5C9970#%s#C0x5B545B##F40#, %s aumenta em #F50##C0x5C9970#%s para todos os Pokémons","#C0x5B545B##F40# เปิดใช้งานที่ +12: %s เพิ่มขึ้น #F50##C0x5C9970#%s#C0x5B545B##F40#, %s เพิ่มขึ้น #F50##C0x5C9970#%s สำหรับโปเกมอนทั้งหมด"
21,1,<>,,7,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,8,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,<>,,<>,,<>,,<>,"#C0x5B545B##F40#+15时激活: 全体精灵%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+3:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가","#C0x5B545B##F40# Ativar em +3: %s aumenta em #F50##C0x5C9970#%s#C0x5B545B##F40#, %s aumenta em #F50##C0x5C9970#%s para todos os Pokémons","#C0x5B545B##F40# เปิดใช้งานที่ +3: %s เพิ่มขึ้น #F50##C0x5C9970#%s#C0x5B545B##F40#, %s เพิ่มขึ้น #F50##C0x5C9970#%s สำหรับโปเกมอนทั้งหมด"
22,1,<>,,7,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,8,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,<>,,<>,,<>,,<>,"#C0x5B545B##F40#+18时激活: 全体精灵%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+6:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가","#C0x5B545B##F40# Ativar em +6: %s aumenta em #F50##C0x5C9970#%s#C0x5B545B##F40#, %s aumenta em #F50##C0x5C9970#%s para todos os Pokémons","#C0x5B545B##F40# เปิดใช้งานที่ +6: %s เพิ่มขึ้น #F50##C0x5C9970#%s#C0x5B545B##F40#, %s เพิ่มขึ้น #F50##C0x5C9970#%s สำหรับโปเกมอนทั้งหมด"
23,1,<>,,7,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,8,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,<>,,<>,,<>,,<>,"#C0x5B545B##F40#+21时激活: 全体精灵%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+9:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가","#C0x5B545B##F40# Ativar em +9: %s aumenta em #F50##C0x5C9970#%s#C0x5B545B##F40#, %s aumenta em #F50##C0x5C9970#%s para todos os Pokémons","#C0x5B545B##F40# เปิดใช้งานที่ +9: %s เพิ่มขึ้น #F50##C0x5C9970#%s#C0x5B545B##F40#, %s เพิ่มขึ้น #F50##C0x5C9970#%s สำหรับโปเกมอนทั้งหมด"
24,1,<>,,7,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,8,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,<>,,<>,,<>,,<>,"#C0x5B545B##F40#+24时激活: 全体精灵%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+12:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가","#C0x5B545B##F40# Ativar em +12: %s aumenta em #F50##C0x5C9970#%s#C0x5B545B##F40#, %s aumenta em #F50##C0x5C9970#%s para todos os Pokémons","#C0x5B545B##F40# เปิดใช้งานที่ +12: %s เพิ่มขึ้น #F50##C0x5C9970#%s#C0x5B545B##F40#, %s เพิ่มขึ้น #F50##C0x5C9970#%s สำหรับโปเกมอนทั้งหมด"
