变量名,_beizhu,cardID,unitID,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,rarity,level,star,advance,skillLevels,skills,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,hp,damage,specialDamage,defence,specialDefence,speed,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub,controlPer,immuneControl,suckBlood,rebound,languages
默认值,,0,0,"""""","""""","""""","""""","""""","""""","""""",1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;speed=31;damage=31;defence=31;specialDamage=31;specialDefence=31},TRUE,16,5,90,5,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<cn;tw;en;vn;kr;pt;th>
ID,备注,卡牌ID,形象ID,描述,描述,描述,描述,描述,描述,描述,稀有度,等级,星级,突破阶数,技能等级,技能({skillID=skillLevel;...}),潜能等级,个体值,羁绊,饰品阶数,饰品星级,饰品等级,饰品觉醒等级,血量,物攻,特攻,物防,特防,速度,暴击等级,暴击伤害,暴击抗性,格挡等级,破格挡等级,格挡强度,伤害加成,伤害减免,大招伤害加成,大招伤害抗性,控制率,免控率,吸血率,反弹率,语言
22,,22,22,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
23,,23,23,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
24,,24,24,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,3,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
31,,31,31,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
33,,33,33,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
41,,41,43,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
44,,44,44,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
51,,51,51,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
52,,52,52,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
53,,53,53,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
61,,61,61,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
62,,62,62,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
71,,71,71,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
72,,72,72,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
81,,81,81,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
82,,82,82,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
91,,91,91,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
92,,92,92,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
93,,93,93,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
101,,101,101,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
102,,102,102,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
111,,111,111,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
112,,112,112,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
113,,113,113,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
121,,121,121,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
122,,122,122,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
123,,123,123,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
131,,131,131,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
132,,132,132,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
133,,133,133,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
151,,151,151,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
152,,152,152,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
153,,153,153,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
161,,161,161,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,3,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
162,,162,162,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,3,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
163,,163,163,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,3,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
171,,171,171,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
172,,172,172,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
173,,173,173,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
191,,191,191,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
192,,192,192,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
221,,221,221,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
222,,222,222,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
231,,231,231,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
232,,232,232,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
241,,241,241,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,3,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
242,,242,242,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,3,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
261,,261,261,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,3,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
262,,262,262,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,3,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
263,,263,263,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,3,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
264,,264,264,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,3,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
271,,271,271,备用卡牌,備用卡牌,Spare Card,Thẻ Dự Phòng,예비 카드,Carta Reserva,การ์ดสำรอง,2,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{defence=31;specialDefence=31;speed=31;hp=31;damage=31;specialDamage=31},TRUE,16,5,90,5,,,,,,,,,,,,,,,,,,,,,
