变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,suitID,quality,pos,mainAttr,startNum,startLib,acquiredLimit,acquiredLib,maxLevel,strengthSeq,acquiredLevels,strengthLevels,recastLib,recastCostSeq,exp,effect
60134,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_2.png,1,3,4,10,1,30004,1,30004,100,3,<10>,<5;15;20;30;40>,30004,2,150,
60135,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_2.png,1,3,5,11,1,30005,1,30005,100,3,<10>,<5;15;20;30;40>,30005,2,150,
60136,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_2.png,1,3,6,12,1,30006,1,30006,100,3,<10>,<5;15;20;30;40>,30006,2,150,
60141,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_3.png,1,4,1,13,2,40001,1,40001,100,4,<10>,<5;15;20;30;40;50>,40001,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60142,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_3.png,1,4,2,14,2,40002,1,40002,100,4,<10>,<5;15;20;30;40;50>,40002,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60143,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_3.png,1,4,3,15,2,40003,1,40003,100,4,<10>,<5;15;20;30;40;50>,40003,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60144,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_3.png,1,4,4,16,2,40004,1,40004,100,4,<10>,<5;15;20;30;40;50>,40004,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60145,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_3.png,1,4,5,17,2,40005,1,40005,100,4,<10>,<5;15;20;30;40;50>,40005,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60146,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_3.png,1,4,6,18,2,40006,1,40006,100,4,<10>,<5;15;20;30;40;50>,40006,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60151,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_4.png,1,5,1,19,2,50001,1,50001,100,5,<10>,<5;15;20;30;40;50>,50001,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60152,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_4.png,1,5,2,20,2,50002,1,50002,100,5,<10>,<5;15;20;30;40;50>,50002,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60153,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_4.png,1,5,3,21,2,50003,1,50003,100,5,<10>,<5;15;20;30;40;50>,50003,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60154,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_4.png,1,5,4,22,2,50004,1,50004,100,5,<10>,<5;15;20;30;40;50>,50004,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60155,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_4.png,1,5,5,23,2,50005,1,50005,100,5,<10>,<5;15;20;30;40;50>,50005,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60156,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_4.png,1,5,6,24,2,50006,1,50006,100,5,<10>,<5;15;20;30;40;50>,50006,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60161,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_5.png,1,6,1,25,2,60001,2,60001,100,6,<10;30>,<5;15;20;30;40;50;60>,60001,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60162,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_5.png,1,6,2,26,2,60002,2,60002,100,6,<10;30>,<5;15;20;30;40;50;60>,60002,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60163,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_5.png,1,6,3,27,2,60003,2,60003,100,6,<10;30>,<5;15;20;30;40;50;60>,60003,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60164,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_5.png,1,6,4,28,2,60004,2,60004,100,6,<10;30>,<5;15;20;30;40;50;60>,60004,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60165,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_5.png,1,6,5,29,2,60005,2,60005,100,6,<10;30>,<5;15;20;30;40;50;60>,60005,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60166,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_5.png,1,6,6,30,2,60006,2,60006,100,6,<10;30>,<5;15;20;30;40;50;60>,60006,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60221,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_1.png,2,2,1,1,1,20001,1,20001,100,2,<10>,<5;15;20;30;40>,20001,1,75,
60222,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_1.png,2,2,2,2,1,20002,1,20002,100,2,<10>,<5;15;20;30;40>,20002,1,75,
60223,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_1.png,2,2,3,3,1,20003,1,20003,100,2,<10>,<5;15;20;30;40>,20003,1,75,
60224,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_1.png,2,2,4,4,1,20004,1,20004,100,2,<10>,<5;15;20;30;40>,20004,1,75,
60225,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_1.png,2,2,5,5,1,20005,1,20005,100,2,<10>,<5;15;20;30;40>,20005,1,75,
60226,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_1.png,2,2,6,6,1,20006,1,20006,100,2,<10>,<5;15;20;30;40>,20006,1,75,
60231,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_2.png,2,3,1,7,1,30001,1,30001,100,3,<10>,<5;15;20;30;40>,30001,2,150,
60232,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_2.png,2,3,2,8,1,30002,1,30002,100,3,<10>,<5;15;20;30;40>,30002,2,150,
60233,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_2.png,2,3,3,9,1,30003,1,30003,100,3,<10>,<5;15;20;30;40>,30003,2,150,
60234,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_2.png,2,3,4,10,1,30004,1,30004,100,3,<10>,<5;15;20;30;40>,30004,2,150,
60235,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_2.png,2,3,5,11,1,30005,1,30005,100,3,<10>,<5;15;20;30;40>,30005,2,150,
60236,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_2.png,2,3,6,12,1,30006,1,30006,100,3,<10>,<5;15;20;30;40>,30006,2,150,
60241,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_3.png,2,4,1,13,2,40001,1,40001,100,4,<10>,<5;15;20;30;40;50>,40001,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60242,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_3.png,2,4,2,14,2,40002,1,40002,100,4,<10>,<5;15;20;30;40;50>,40002,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60243,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_3.png,2,4,3,15,2,40003,1,40003,100,4,<10>,<5;15;20;30;40;50>,40003,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60244,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_3.png,2,4,4,16,2,40004,1,40004,100,4,<10>,<5;15;20;30;40;50>,40004,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60245,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_3.png,2,4,5,17,2,40005,1,40005,100,4,<10>,<5;15;20;30;40;50>,40005,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60246,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_3.png,2,4,6,18,2,40006,1,40006,100,4,<10>,<5;15;20;30;40;50>,40006,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60251,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_4.png,2,5,1,19,2,50001,1,50001,100,5,<10>,<5;15;20;30;40;50>,50001,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60252,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_4.png,2,5,2,20,2,50002,1,50002,100,5,<10>,<5;15;20;30;40;50>,50002,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60253,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_4.png,2,5,3,21,2,50003,1,50003,100,5,<10>,<5;15;20;30;40;50>,50003,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60254,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_4.png,2,5,4,22,2,50004,1,50004,100,5,<10>,<5;15;20;30;40;50>,50004,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60255,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_4.png,2,5,5,23,2,50005,1,50005,100,5,<10>,<5;15;20;30;40;50>,50005,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60256,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_4.png,2,5,6,24,2,50006,1,50006,100,5,<10>,<5;15;20;30;40;50>,50006,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60261,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_5.png,2,6,1,25,2,60001,2,60001,100,6,<10;30>,<5;15;20;30;40;50;60>,60001,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60262,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_5.png,2,6,2,26,2,60002,2,60002,100,6,<10;30>,<5;15;20;30;40;50;60>,60002,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60263,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_5.png,2,6,3,27,2,60003,2,60003,100,6,<10;30>,<5;15;20;30;40;50;60>,60003,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60264,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_5.png,2,6,4,28,2,60004,2,60004,100,6,<10;30>,<5;15;20;30;40;50;60>,60004,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60265,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_5.png,2,6,5,29,2,60005,2,60005,100,6,<10;30>,<5;15;20;30;40;50;60>,60005,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60266,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/icon_gj_2_5.png,2,6,6,30,2,60006,2,60006,100,6,<10;30>,<5;15;20;30;40;50;60>,60006,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60321,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_1.png,3,2,1,1,1,20001,1,20001,100,2,<10>,<5;15;20;30;40>,20001,1,75,
60322,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_1.png,3,2,2,2,1,20002,1,20002,100,2,<10>,<5;15;20;30;40>,20002,1,75,
60323,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_1.png,3,2,3,3,1,20003,1,20003,100,2,<10>,<5;15;20;30;40>,20003,1,75,
60324,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_1.png,3,2,4,4,1,20004,1,20004,100,2,<10>,<5;15;20;30;40>,20004,1,75,
60325,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_1.png,3,2,5,5,1,20005,1,20005,100,2,<10>,<5;15;20;30;40>,20005,1,75,
60326,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_1.png,3,2,6,6,1,20006,1,20006,100,2,<10>,<5;15;20;30;40>,20006,1,75,
60331,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_2.png,3,3,1,7,1,30001,1,30001,100,3,<10>,<5;15;20;30;40>,30001,2,150,
60332,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_2.png,3,3,2,8,1,30002,1,30002,100,3,<10>,<5;15;20;30;40>,30002,2,150,
60333,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_2.png,3,3,3,9,1,30003,1,30003,100,3,<10>,<5;15;20;30;40>,30003,2,150,
60334,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_2.png,3,3,4,10,1,30004,1,30004,100,3,<10>,<5;15;20;30;40>,30004,2,150,
60335,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_2.png,3,3,5,11,1,30005,1,30005,100,3,<10>,<5;15;20;30;40>,30005,2,150,
60336,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_2.png,3,3,6,12,1,30006,1,30006,100,3,<10>,<5;15;20;30;40>,30006,2,150,
60341,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_3.png,3,4,1,13,2,40001,1,40001,100,4,<10>,<5;15;20;30;40;50>,40001,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60342,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_3.png,3,4,2,14,2,40002,1,40002,100,4,<10>,<5;15;20;30;40;50>,40002,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60343,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_3.png,3,4,3,15,2,40003,1,40003,100,4,<10>,<5;15;20;30;40;50>,40003,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60344,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_3.png,3,4,4,16,2,40004,1,40004,100,4,<10>,<5;15;20;30;40;50>,40004,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60345,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_3.png,3,4,5,17,2,40005,1,40005,100,4,<10>,<5;15;20;30;40;50>,40005,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60346,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_3.png,3,4,6,18,2,40006,1,40006,100,4,<10>,<5;15;20;30;40;50>,40006,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60351,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_4.png,3,5,1,19,2,50001,1,50001,100,5,<10>,<5;15;20;30;40;50>,50001,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60352,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_4.png,3,5,2,20,2,50002,1,50002,100,5,<10>,<5;15;20;30;40;50>,50002,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60353,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_4.png,3,5,3,21,2,50003,1,50003,100,5,<10>,<5;15;20;30;40;50>,50003,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60354,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_4.png,3,5,4,22,2,50004,1,50004,100,5,<10>,<5;15;20;30;40;50>,50004,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60355,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_4.png,3,5,5,23,2,50005,1,50005,100,5,<10>,<5;15;20;30;40;50>,50005,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60356,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_4.png,3,5,6,24,2,50006,1,50006,100,5,<10>,<5;15;20;30;40;50>,50006,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60361,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_5.png,3,6,1,25,2,60001,2,60001,100,6,<10;30>,<5;15;20;30;40;50;60>,60001,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60362,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_5.png,3,6,2,26,2,60002,2,60002,100,6,<10;30>,<5;15;20;30;40;50;60>,60002,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60363,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_5.png,3,6,3,27,2,60003,2,60003,100,6,<10;30>,<5;15;20;30;40;50;60>,60003,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60364,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_5.png,3,6,4,28,2,60004,2,60004,100,6,<10;30>,<5;15;20;30;40;50;60>,60004,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60365,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_5.png,3,6,5,29,2,60005,2,60005,100,6,<10;30>,<5;15;20;30;40;50;60>,60005,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60366,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/icon_gj_3_5.png,3,6,6,30,2,60006,2,60006,100,6,<10;30>,<5;15;20;30;40;50;60>,60006,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60421,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/icon_fy_1_1.png,4,2,1,1,1,20001,1,20001,100,2,<10>,<5;15;20;30;40>,20001,1,75,
60422,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/icon_fy_1_1.png,4,2,2,2,1,20002,1,20002,100,2,<10>,<5;15;20;30;40>,20002,1,75,
60423,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/icon_fy_1_1.png,4,2,3,3,1,20003,1,20003,100,2,<10>,<5;15;20;30;40>,20003,1,75,
60424,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/icon_fy_1_1.png,4,2,4,4,1,20004,1,20004,100,2,<10>,<5;15;20;30;40>,20004,1,75,
60425,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/icon_fy_1_1.png,4,2,5,5,1,20005,1,20005,100,2,<10>,<5;15;20;30;40>,20005,1,75,
60426,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/icon_fy_1_1.png,4,2,6,6,1,20006,1,20006,100,2,<10>,<5;15;20;30;40>,20006,1,75,
