变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20,costItemMap21,costItemMap22,costItemMap23,costItemMap24,costItemMap25,costItemMap26,costItemMap27,costItemMap28,costItemMap29,costItemMap30,costItemMap31,costItemMap32,costItemMap33,costItemMap34,costItemMap35,costItemMap36,costItemMap37,costItemMap38,costItemMap39,costItemMap40,costItemMap41,costItemMap42,costItemMap43,costItemMap44,costItemMap45,costItemMap46,costItemMap47,costItemMap48
8,{200=2},{201=2},{202=2},{203=2},{204=2},{205=2},{210=2},{211=2},{212=2},{213=2},{214=2},{215=2},{220=2},{221=2},{222=2},{223=2},{224=2},{225=2},{230=2},{231=2},{232=2},{233=2},{234=2},{235=2},{200=3},{201=3},{202=3},{203=3},{204=3},{205=3},{210=3},{211=3},{212=3},{213=3},{214=3},{215=3},{220=3},{221=3},{222=3},{223=3},{224=3},{225=3},{230=3},{231=3},{232=3},{233=3},{234=3},{235=3}
9,{200=2},{201=2},{202=2},{203=2},{204=2},{205=2},{210=2},{211=2},{212=2},{213=2},{214=2},{215=2},{220=2},{221=2},{222=2},{223=2},{224=2},{225=2},{230=2},{231=2},{232=2},{233=2},{234=2},{235=2},{200=3},{201=3},{202=3},{203=3},{204=3},{205=3},{210=3},{211=3},{212=3},{213=3},{214=3},{215=3},{220=3},{221=3},{222=3},{223=3},{224=3},{225=3},{230=3},{231=3},{232=3},{233=3},{234=3},{235=3}
10,{200=4},{201=4},{202=4},{203=4},{204=4},{205=4},{210=4},{211=4},{212=4},{213=4},{214=4},{215=4},{220=4},{221=4},{222=4},{223=4},{224=4},{225=4},{230=4},{231=4},{232=4},{233=4},{234=4},{235=4},{200=5},{201=5},{202=5},{203=5},{204=5},{205=5},{210=5},{211=5},{212=5},{213=5},{214=5},{215=5},{220=5},{221=5},{222=5},{223=5},{224=5},{225=5},{230=5},{231=5},{232=5},{233=5},{234=5},{235=5}
11,{200=4},{201=4},{202=4},{203=4},{204=4},{205=4},{210=4},{211=4},{212=4},{213=4},{214=4},{215=4},{220=4},{221=4},{222=4},{223=4},{224=4},{225=4},{230=4},{231=4},{232=4},{233=4},{234=4},{235=4},{200=5},{201=5},{202=5},{203=5},{204=5},{205=5},{210=5},{211=5},{212=5},{213=5},{214=5},{215=5},{220=5},{221=5},{222=5},{223=5},{224=5},{225=5},{230=5},{231=5},{232=5},{233=5},{234=5},{235=5}
12,{200=4},{201=4},{202=4},{203=4},{204=4},{205=4},{210=4},{211=4},{212=4},{213=4},{214=4},{215=4},{220=4},{221=4},{222=4},{223=4},{224=4},{225=4},{230=4},{231=4},{232=4},{233=4},{234=4},{235=4},{200=5},{201=5},{202=5},{203=5},{204=5},{205=5},{210=5},{211=5},{212=5},{213=5},{214=5},{215=5},{220=5},{221=5},{222=5},{223=5},{224=5},{225=5},{230=5},{231=5},{232=5},{233=5},{234=5},{235=5}
13,{200=4},{201=4},{202=4},{203=4},{204=4},{205=4},{210=4},{211=4},{212=4},{213=4},{214=4},{215=4},{220=4},{221=4},{222=4},{223=4},{224=4},{225=4},{230=4},{231=4},{232=4},{233=4},{234=4},{235=4},{200=5},{201=5},{202=5},{203=5},{204=5},{205=5},{210=5},{211=5},{212=5},{213=5},{214=5},{215=5},{220=5},{221=5},{222=5},{223=5},{224=5},{225=5},{230=5},{231=5},{232=5},{233=5},{234=5},{235=5}
14,{200=4},{201=4},{202=4},{203=4},{204=4},{205=4},{210=4},{211=4},{212=4},{213=4},{214=4},{215=4},{220=4},{221=4},{222=4},{223=4},{224=4},{225=4},{230=4},{231=4},{232=4},{233=4},{234=4},{235=4},{200=5},{201=5},{202=5},{203=5},{204=5},{205=5},{210=5},{211=5},{212=5},{213=5},{214=5},{215=5},{220=5},{221=5},{222=5},{223=5},{224=5},{225=5},{230=5},{231=5},{232=5},{233=5},{234=5},{235=5}
15,{200=4},{201=4},{202=4},{203=4},{204=4},{205=4},{210=4},{211=4},{212=4},{213=4},{214=4},{215=4},{220=4},{221=4},{222=4},{223=4},{224=4},{225=4},{230=4},{231=4},{232=4},{233=4},{234=4},{235=4},{200=7},{201=7},{202=7},{203=7},{204=7},{205=7},{210=7},{211=7},{212=7},{213=7},{214=7},{215=7},{220=7},{221=7},{222=7},{223=7},{224=7},{225=7},{230=7},{231=7},{232=7},{233=7},{234=7},{235=7}
16,{200=6},{201=6},{202=6},{203=6},{204=6},{205=6},{210=6},{211=6},{212=6},{213=6},{214=6},{215=6},{220=6},{221=6},{222=6},{223=6},{224=6},{225=6},{230=6},{231=6},{232=6},{233=6},{234=6},{235=6},{200=7},{201=7},{202=7},{203=7},{204=7},{205=7},{210=7},{211=7},{212=7},{213=7},{214=7},{215=7},{220=7},{221=7},{222=7},{223=7},{224=7},{225=7},{230=7},{231=7},{232=7},{233=7},{234=7},{235=7}
17,{200=6},{201=6},{202=6},{203=6},{204=6},{205=6},{210=6},{211=6},{212=6},{213=6},{214=6},{215=6},{220=6},{221=6},{222=6},{223=6},{224=6},{225=6},{230=6},{231=6},{232=6},{233=6},{234=6},{235=6},{200=7},{201=7},{202=7},{203=7},{204=7},{205=7},{210=7},{211=7},{212=7},{213=7},{214=7},{215=7},{220=7},{221=7},{222=7},{223=7},{224=7},{225=7},{230=7},{231=7},{232=7},{233=7},{234=7},{235=7}
18,{200=6},{201=6},{202=6},{203=6},{204=6},{205=6},{210=6},{211=6},{212=6},{213=6},{214=6},{215=6},{220=6},{221=6},{222=6},{223=6},{224=6},{225=6},{230=6},{231=6},{232=6},{233=6},{234=6},{235=6},{200=7},{201=7},{202=7},{203=7},{204=7},{205=7},{210=7},{211=7},{212=7},{213=7},{214=7},{215=7},{220=7},{221=7},{222=7},{223=7},{224=7},{225=7},{230=7},{231=7},{232=7},{233=7},{234=7},{235=7}
19,{200=6},{201=6},{202=6},{203=6},{204=6},{205=6},{210=6},{211=6},{212=6},{213=6},{214=6},{215=6},{220=6},{221=6},{222=6},{223=6},{224=6},{225=6},{230=6},{231=6},{232=6},{233=6},{234=6},{235=6},{200=7},{201=7},{202=7},{203=7},{204=7},{205=7},{210=7},{211=7},{212=7},{213=7},{214=7},{215=7},{220=7},{221=7},{222=7},{223=7},{224=7},{225=7},{230=7},{231=7},{232=7},{233=7},{234=7},{235=7}
20,{200=6},{201=6},{202=6},{203=6},{204=6},{205=6},{210=6},{211=6},{212=6},{213=6},{214=6},{215=6},{220=6},{221=6},{222=6},{223=6},{224=6},{225=6},{230=6},{231=6},{232=6},{233=6},{234=6},{235=6},{200=7},{201=7},{202=7},{203=7},{204=7},{205=7},{210=7},{211=7},{212=7},{213=7},{214=7},{215=7},{220=7},{221=7},{222=7},{223=7},{224=7},{225=7},{230=7},{231=7},{232=7},{233=7},{234=7},{235=7}
21,{200=8},{201=8},{202=8},{203=8},{204=8},{205=8},{210=8},{211=8},{212=8},{213=8},{214=8},{215=8},{220=8},{221=8},{222=8},{223=8},{224=8},{225=8},{230=8},{231=8},{232=8},{233=8},{234=8},{235=8},{200=9},{201=9},{202=9},{203=9},{204=9},{205=9},{210=9},{211=9},{212=9},{213=9},{214=9},{215=9},{220=9},{221=9},{222=9},{223=9},{224=9},{225=9},{230=9},{231=9},{232=9},{233=9},{234=9},{235=9}
22,{200=8},{201=8},{202=8},{203=8},{204=8},{205=8},{210=8},{211=8},{212=8},{213=8},{214=8},{215=8},{220=8},{221=8},{222=8},{223=8},{224=8},{225=8},{230=8},{231=8},{232=8},{233=8},{234=8},{235=8},{200=9},{201=9},{202=9},{203=9},{204=9},{205=9},{210=9},{211=9},{212=9},{213=9},{214=9},{215=9},{220=9},{221=9},{222=9},{223=9},{224=9},{225=9},{230=9},{231=9},{232=9},{233=9},{234=9},{235=9}
23,{200=8},{201=8},{202=8},{203=8},{204=8},{205=8},{210=8},{211=8},{212=8},{213=8},{214=8},{215=8},{220=8},{221=8},{222=8},{223=8},{224=8},{225=8},{230=8},{231=8},{232=8},{233=8},{234=8},{235=8},{200=9},{201=9},{202=9},{203=9},{204=9},{205=9},{210=9},{211=9},{212=9},{213=9},{214=9},{215=9},{220=9},{221=9},{222=9},{223=9},{224=9},{225=9},{230=9},{231=9},{232=9},{233=9},{234=9},{235=9}
24,{200=8},{201=8},{202=8},{203=8},{204=8},{205=8},{210=8},{211=8},{212=8},{213=8},{214=8},{215=8},{220=8},{221=8},{222=8},{223=8},{224=8},{225=8},{230=8},{231=8},{232=8},{233=8},{234=8},{235=8},{200=9},{201=9},{202=9},{203=9},{204=9},{205=9},{210=9},{211=9},{212=9},{213=9},{214=9},{215=9},{220=9},{221=9},{222=9},{223=9},{224=9},{225=9},{230=9},{231=9},{232=9},{233=9},{234=9},{235=9}
25,{200=8},{201=8},{202=8},{203=8},{204=8},{205=8},{210=8},{211=8},{212=8},{213=8},{214=8},{215=8},{220=8},{221=8},{222=8},{223=8},{224=8},{225=8},{230=8},{231=8},{232=8},{233=8},{234=8},{235=8},{200=9},{201=9},{202=9},{203=9},{204=9},{205=9},{210=9},{211=9},{212=9},{213=9},{214=9},{215=9},{220=9},{221=9},{222=9},{223=9},{224=9},{225=9},{230=9},{231=9},{232=9},{233=9},{234=9},{235=9}
26,{200=10},{201=10},{202=10},{203=10},{204=10},{205=10},{210=10},{211=10},{212=10},{213=10},{214=10},{215=10},{220=10},{221=10},{222=10},{223=10},{224=10},{225=10},{230=10},{231=10},{232=10},{233=10},{234=10},{235=10},{200=11},{201=11},{202=11},{203=11},{204=11},{205=11},{210=11},{211=11},{212=11},{213=11},{214=11},{215=11},{220=11},{221=11},{222=11},{223=11},{224=11},{225=11},{230=11},{231=11},{232=11},{233=11},{234=11},{235=11}
27,{200=10},{201=10},{202=10},{203=10},{204=10},{205=10},{210=10},{211=10},{212=10},{213=10},{214=10},{215=10},{220=10},{221=10},{222=10},{223=10},{224=10},{225=10},{230=10},{231=10},{232=10},{233=10},{234=10},{235=10},{200=11},{201=11},{202=11},{203=11},{204=11},{205=11},{210=11},{211=11},{212=11},{213=11},{214=11},{215=11},{220=11},{221=11},{222=11},{223=11},{224=11},{225=11},{230=11},{231=11},{232=11},{233=11},{234=11},{235=11}
28,{200=10},{201=10},{202=10},{203=10},{204=10},{205=10},{210=10},{211=10},{212=10},{213=10},{214=10},{215=10},{220=10},{221=10},{222=10},{223=10},{224=10},{225=10},{230=10},{231=10},{232=10},{233=10},{234=10},{235=10},{200=11},{201=11},{202=11},{203=11},{204=11},{205=11},{210=11},{211=11},{212=11},{213=11},{214=11},{215=11},{220=11},{221=11},{222=11},{223=11},{224=11},{225=11},{230=11},{231=11},{232=11},{233=11},{234=11},{235=11}
29,{200=10},{201=10},{202=10},{203=10},{204=10},{205=10},{210=10},{211=10},{212=10},{213=10},{214=10},{215=10},{220=10},{221=10},{222=10},{223=10},{224=10},{225=10},{230=10},{231=10},{232=10},{233=10},{234=10},{235=10},{200=11},{201=11},{202=11},{203=11},{204=11},{205=11},{210=11},{211=11},{212=11},{213=11},{214=11},{215=11},{220=11},{221=11},{222=11},{223=11},{224=11},{225=11},{230=11},{231=11},{232=11},{233=11},{234=11},{235=11}
30,{200=10},{201=10},{202=10},{203=10},{204=10},{205=10},{210=10},{211=10},{212=10},{213=10},{214=10},{215=10},{220=10},{221=10},{222=10},{223=10},{224=10},{225=10},{230=10},{231=10},{232=10},{233=10},{234=10},{235=10},{200=11},{201=11},{202=11},{203=11},{204=11},{205=11},{210=11},{211=11},{212=11},{213=11},{214=11},{215=11},{220=11},{221=11},{222=11},{223=11},{224=11},{225=11},{230=11},{231=11},{232=11},{233=11},{234=11},{235=11}
31,{200=12},{201=12},{202=12},{203=12},{204=12},{205=12},{210=12},{211=12},{212=12},{213=12},{214=12},{215=12},{220=12},{221=12},{222=12},{223=12},{224=12},{225=12},{230=12},{231=12},{232=12},{233=12},{234=12},{235=12},{200=13},{201=13},{202=13},{203=13},{204=13},{205=13},{210=13},{211=13},{212=13},{213=13},{214=13},{215=13},{220=13},{221=13},{222=13},{223=13},{224=13},{225=13},{230=13},{231=13},{232=13},{233=13},{234=13},{235=13}
32,{200=12},{201=12},{202=12},{203=12},{204=12},{205=12},{210=12},{211=12},{212=12},{213=12},{214=12},{215=12},{220=12},{221=12},{222=12},{223=12},{224=12},{225=12},{230=12},{231=12},{232=12},{233=12},{234=12},{235=12},{200=13},{201=13},{202=13},{203=13},{204=13},{205=13},{210=13},{211=13},{212=13},{213=13},{214=13},{215=13},{220=13},{221=13},{222=13},{223=13},{224=13},{225=13},{230=13},{231=13},{232=13},{233=13},{234=13},{235=13}
33,{200=12},{201=12},{202=12},{203=12},{204=12},{205=12},{210=12},{211=12},{212=12},{213=12},{214=12},{215=12},{220=12},{221=12},{222=12},{223=12},{224=12},{225=12},{230=12},{231=12},{232=12},{233=12},{234=12},{235=12},{200=13},{201=13},{202=13},{203=13},{204=13},{205=13},{210=13},{211=13},{212=13},{213=13},{214=13},{215=13},{220=13},{221=13},{222=13},{223=13},{224=13},{225=13},{230=13},{231=13},{232=13},{233=13},{234=13},{235=13}
34,{200=12},{201=12},{202=12},{203=12},{204=12},{205=12},{210=12},{211=12},{212=12},{213=12},{214=12},{215=12},{220=12},{221=12},{222=12},{223=12},{224=12},{225=12},{230=12},{231=12},{232=12},{233=12},{234=12},{235=12},{200=13},{201=13},{202=13},{203=13},{204=13},{205=13},{210=13},{211=13},{212=13},{213=13},{214=13},{215=13},{220=13},{221=13},{222=13},{223=13},{224=13},{225=13},{230=13},{231=13},{232=13},{233=13},{234=13},{235=13}
35,{200=12},{201=12},{202=12},{203=12},{204=12},{205=12},{210=12},{211=12},{212=12},{213=12},{214=12},{215=12},{220=12},{221=12},{222=12},{223=12},{224=12},{225=12},{230=12},{231=12},{232=12},{233=12},{234=12},{235=12},{200=13},{201=13},{202=13},{203=13},{204=13},{205=13},{210=13},{211=13},{212=13},{213=13},{214=13},{215=13},{220=13},{221=13},{222=13},{223=13},{224=13},{225=13},{230=13},{231=13},{232=13},{233=13},{234=13},{235=13}
36,{200=14},{201=14},{202=14},{203=14},{204=14},{205=14},{210=14},{211=14},{212=14},{213=14},{214=14},{215=14},{220=14},{221=14},{222=14},{223=14},{224=14},{225=14},{230=14},{231=14},{232=14},{233=14},{234=14},{235=14},{200=15},{201=15},{202=15},{203=15},{204=15},{205=15},{210=15},{211=15},{212=15},{213=15},{214=15},{215=15},{220=15},{221=15},{222=15},{223=15},{224=15},{225=15},{230=15},{231=15},{232=15},{233=15},{234=15},{235=15}
37,{200=14},{201=14},{202=14},{203=14},{204=14},{205=14},{210=14},{211=14},{212=14},{213=14},{214=14},{215=14},{220=14},{221=14},{222=14},{223=14},{224=14},{225=14},{230=14},{231=14},{232=14},{233=14},{234=14},{235=14},{200=15},{201=15},{202=15},{203=15},{204=15},{205=15},{210=15},{211=15},{212=15},{213=15},{214=15},{215=15},{220=15},{221=15},{222=15},{223=15},{224=15},{225=15},{230=15},{231=15},{232=15},{233=15},{234=15},{235=15}
38,{200=14},{201=14},{202=14},{203=14},{204=14},{205=14},{210=14},{211=14},{212=14},{213=14},{214=14},{215=14},{220=14},{221=14},{222=14},{223=14},{224=14},{225=14},{230=14},{231=14},{232=14},{233=14},{234=14},{235=14},{200=15},{201=15},{202=15},{203=15},{204=15},{205=15},{210=15},{211=15},{212=15},{213=15},{214=15},{215=15},{220=15},{221=15},{222=15},{223=15},{224=15},{225=15},{230=15},{231=15},{232=15},{233=15},{234=15},{235=15}
39,{200=14},{201=14},{202=14},{203=14},{204=14},{205=14},{210=14},{211=14},{212=14},{213=14},{214=14},{215=14},{220=14},{221=14},{222=14},{223=14},{224=14},{225=14},{230=14},{231=14},{232=14},{233=14},{234=14},{235=14},{200=15},{201=15},{202=15},{203=15},{204=15},{205=15},{210=15},{211=15},{212=15},{213=15},{214=15},{215=15},{220=15},{221=15},{222=15},{223=15},{224=15},{225=15},{230=15},{231=15},{232=15},{233=15},{234=15},{235=15}
40,{200=14},{201=14},{202=14},{203=14},{204=14},{205=14},{210=14},{211=14},{212=14},{213=14},{214=14},{215=14},{220=14},{221=14},{222=14},{223=14},{224=14},{225=14},{230=14},{231=14},{232=14},{233=14},{234=14},{235=14},{200=15},{201=15},{202=15},{203=15},{204=15},{205=15},{210=15},{211=15},{212=15},{213=15},{214=15},{215=15},{220=15},{221=15},{222=15},{223=15},{224=15},{225=15},{230=15},{231=15},{232=15},{233=15},{234=15},{235=15}
41,{200=16},{201=16},{202=16},{203=16},{204=16},{205=16},{210=16},{211=16},{212=16},{213=16},{214=16},{215=16},{220=16},{221=16},{222=16},{223=16},{224=16},{225=16},{230=16},{231=16},{232=16},{233=16},{234=16},{235=16},{200=17},{201=17},{202=17},{203=17},{204=17},{205=17},{210=17},{211=17},{212=17},{213=17},{214=17},{215=17},{220=17},{221=17},{222=17},{223=17},{224=17},{225=17},{230=17},{231=17},{232=17},{233=17},{234=17},{235=17}
42,{200=16},{201=16},{202=16},{203=16},{204=16},{205=16},{210=16},{211=16},{212=16},{213=16},{214=16},{215=16},{220=16},{221=16},{222=16},{223=16},{224=16},{225=16},{230=16},{231=16},{232=16},{233=16},{234=16},{235=16},{200=17},{201=17},{202=17},{203=17},{204=17},{205=17},{210=17},{211=17},{212=17},{213=17},{214=17},{215=17},{220=17},{221=17},{222=17},{223=17},{224=17},{225=17},{230=17},{231=17},{232=17},{233=17},{234=17},{235=17}
43,{200=16},{201=16},{202=16},{203=16},{204=16},{205=16},{210=16},{211=16},{212=16},{213=16},{214=16},{215=16},{220=16},{221=16},{222=16},{223=16},{224=16},{225=16},{230=16},{231=16},{232=16},{233=16},{234=16},{235=16},{200=17},{201=17},{202=17},{203=17},{204=17},{205=17},{210=17},{211=17},{212=17},{213=17},{214=17},{215=17},{220=17},{221=17},{222=17},{223=17},{224=17},{225=17},{230=17},{231=17},{232=17},{233=17},{234=17},{235=17}
44,{200=16},{201=16},{202=16},{203=16},{204=16},{205=16},{210=16},{211=16},{212=16},{213=16},{214=16},{215=16},{220=16},{221=16},{222=16},{223=16},{224=16},{225=16},{230=16},{231=16},{232=16},{233=16},{234=16},{235=16},{200=17},{201=17},{202=17},{203=17},{204=17},{205=17},{210=17},{211=17},{212=17},{213=17},{214=17},{215=17},{220=17},{221=17},{222=17},{223=17},{224=17},{225=17},{230=17},{231=17},{232=17},{233=17},{234=17},{235=17}
45,{200=16},{201=16},{202=16},{203=16},{204=16},{205=16},{210=16},{211=16},{212=16},{213=16},{214=16},{215=16},{220=16},{221=16},{222=16},{223=16},{224=16},{225=16},{230=16},{231=16},{232=16},{233=16},{234=16},{235=16},{200=17},{201=17},{202=17},{203=17},{204=17},{205=17},{210=17},{211=17},{212=17},{213=17},{214=17},{215=17},{220=17},{221=17},{222=17},{223=17},{224=17},{225=17},{230=17},{231=17},{232=17},{233=17},{234=17},{235=17}
46,{200=18},{201=18},{202=18},{203=18},{204=18},{205=18},{210=18},{211=18},{212=18},{213=18},{214=18},{215=18},{220=18},{221=18},{222=18},{223=18},{224=18},{225=18},{230=18},{231=18},{232=18},{233=18},{234=18},{235=18},{200=19},{201=19},{202=19},{203=19},{204=19},{205=19},{210=19},{211=19},{212=19},{213=19},{214=19},{215=19},{220=19},{221=19},{222=19},{223=19},{224=19},{225=19},{230=19},{231=19},{232=19},{233=19},{234=19},{235=19}
47,{200=18},{201=18},{202=18},{203=18},{204=18},{205=18},{210=18},{211=18},{212=18},{213=18},{214=18},{215=18},{220=18},{221=18},{222=18},{223=18},{224=18},{225=18},{230=18},{231=18},{232=18},{233=18},{234=18},{235=18},{200=19},{201=19},{202=19},{203=19},{204=19},{205=19},{210=19},{211=19},{212=19},{213=19},{214=19},{215=19},{220=19},{221=19},{222=19},{223=19},{224=19},{225=19},{230=19},{231=19},{232=19},{233=19},{234=19},{235=19}
48,{200=18},{201=18},{202=18},{203=18},{204=18},{205=18},{210=18},{211=18},{212=18},{213=18},{214=18},{215=18},{220=18},{221=18},{222=18},{223=18},{224=18},{225=18},{230=18},{231=18},{232=18},{233=18},{234=18},{235=18},{200=19},{201=19},{202=19},{203=19},{204=19},{205=19},{210=19},{211=19},{212=19},{213=19},{214=19},{215=19},{220=19},{221=19},{222=19},{223=19},{224=19},{225=19},{230=19},{231=19},{232=19},{233=19},{234=19},{235=19}
49,{200=18},{201=18},{202=18},{203=18},{204=18},{205=18},{210=18},{211=18},{212=18},{213=18},{214=18},{215=18},{220=18},{221=18},{222=18},{223=18},{224=18},{225=18},{230=18},{231=18},{232=18},{233=18},{234=18},{235=18},{200=19},{201=19},{202=19},{203=19},{204=19},{205=19},{210=19},{211=19},{212=19},{213=19},{214=19},{215=19},{220=19},{221=19},{222=19},{223=19},{224=19},{225=19},{230=19},{231=19},{232=19},{233=19},{234=19},{235=19}
50,{200=18},{201=18},{202=18},{203=18},{204=18},{205=18},{210=18},{211=18},{212=18},{213=18},{214=18},{215=18},{220=18},{221=18},{222=18},{223=18},{224=18},{225=18},{230=18},{231=18},{232=18},{233=18},{234=18},{235=18},{200=19},{201=19},{202=19},{203=19},{204=19},{205=19},{210=19},{211=19},{212=19},{213=19},{214=19},{215=19},{220=19},{221=19},{222=19},{223=19},{224=19},{225=19},{230=19},{231=19},{232=19},{233=19},{234=19},{235=19}
51,{200=20},{201=20},{202=20},{203=20},{204=20},{205=20},{210=20},{211=20},{212=20},{213=20},{214=20},{215=20},{220=20},{221=20},{222=20},{223=20},{224=20},{225=20},{230=20},{231=20},{232=20},{233=20},{234=20},{235=20},{200=21},{201=21},{202=21},{203=21},{204=21},{205=21},{210=21},{211=21},{212=21},{213=21},{214=21},{215=21},{220=21},{221=21},{222=21},{223=21},{224=21},{225=21},{230=21},{231=21},{232=21},{233=21},{234=21},{235=21}
