变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5
默认值,{},{},{},{},{}
等级,道具消耗序列1,道具消耗序列2,道具消耗序列3,道具消耗序列4,道具消耗序列5
67,{501=71;gold=170026},{501=117;gold=170026},{501=117;gold=170026},{501=149;gold=170026},{501=149;gold=170026}
68,{501=75;gold=187029},{501=123;gold=187029},{501=123;gold=187029},{501=156;gold=187029},{501=156;gold=187029}
69,{501=79;gold=205732},{501=129;gold=205732},{501=129;gold=205732},{501=164;gold=205732},{501=164;gold=205732}
70,{501=83;gold=226305},{501=135;gold=226305},{501=135;gold=226305},{501=172;gold=226305},{501=172;gold=226305}
71,{501=87;gold=248936},{501=142;gold=248936},{501=142;gold=248936},{501=181;gold=248936},{501=181;gold=248936}
72,{501=91;gold=273830},{501=149;gold=273830},{501=149;gold=273830},{501=190;gold=273830},{501=190;gold=273830}
73,{501=96;gold=301213},{501=156;gold=301213},{501=156;gold=301213},{501=200;gold=301213},{501=200;gold=301213}
74,{501=101;gold=331334},{501=164;gold=331334},{501=164;gold=331334},{501=210;gold=331334},{501=210;gold=331334}
75,{501=106;gold=364467},{501=172;gold=364467},{501=172;gold=364467},{501=221;gold=364467},{501=221;gold=364467}
76,{501=111;gold=400914},{501=181;gold=400914},{501=181;gold=400914},{501=232;gold=400914},{501=232;gold=400914}
77,{501=117;gold=441005},{501=190;gold=441005},{501=190;gold=441005},{501=244;gold=441005},{501=244;gold=441005}
78,{501=123;gold=485106},{501=200;gold=485106},{501=200;gold=485106},{501=256;gold=485106},{501=256;gold=485106}
79,{501=129;gold=533617},{501=210;gold=533617},{501=210;gold=533617},{501=269;gold=533617},{501=269;gold=533617}
80,{501=135;gold=586979},{501=221;gold=586979},{501=221;gold=586979},{501=282;gold=586979},{501=282;gold=586979}
81,{501=142;gold=645677},{501=232;gold=645677},{501=232;gold=645677},{501=296;gold=645677},{501=296;gold=645677}
82,{501=149;gold=710245},{501=244;gold=710245},{501=244;gold=710245},{501=311;gold=710245},{501=311;gold=710245}
83,{501=156;gold=781270},{501=256;gold=781270},{501=256;gold=781270},{501=327;gold=781270},{501=327;gold=781270}
84,{501=164;gold=859397},{501=269;gold=859397},{501=269;gold=859397},{501=343;gold=859397},{501=343;gold=859397}
85,{501=172;gold=945337},{501=282;gold=945337},{501=282;gold=945337},{501=360;gold=945337},{501=360;gold=945337}
86,{501=181;gold=1039871},{501=296;gold=1039871},{501=296;gold=1039871},{501=378;gold=1039871},{501=378;gold=1039871}
87,{501=190;gold=1143858},{501=311;gold=1143858},{501=311;gold=1143858},{501=397;gold=1143858},{501=397;gold=1143858}
88,{501=200;gold=1258244},{501=327;gold=1258244},{501=327;gold=1258244},{501=417;gold=1258244},{501=417;gold=1258244}
89,{501=210;gold=1384068},{501=343;gold=1384068},{501=343;gold=1384068},{501=438;gold=1384068},{501=438;gold=1384068}
90,{501=221;gold=1522475},{501=360;gold=1522475},{501=360;gold=1522475},{501=460;gold=1522475},{501=460;gold=1522475}
91,{501=232;gold=1674723},{501=378;gold=1674723},{501=378;gold=1674723},{501=483;gold=1674723},{501=483;gold=1674723}
92,{501=244;gold=1842195},{501=397;gold=1842195},{501=397;gold=1842195},{501=507;gold=1842195},{501=507;gold=1842195}
93,{501=256;gold=2026415},{501=417;gold=2026415},{501=417;gold=2026415},{501=532;gold=2026415},{501=532;gold=2026415}
94,{501=269;gold=2229057},{501=438;gold=2229057},{501=438;gold=2229057},{501=559;gold=2229057},{501=559;gold=2229057}
95,{501=282;gold=2451963},{501=460;gold=2451963},{501=460;gold=2451963},{501=587;gold=2451963},{501=587;gold=2451963}
96,{501=296;gold=2697159},{501=483;gold=2697159},{501=483;gold=2697159},{501=616;gold=2697159},{501=616;gold=2697159}
97,{501=311;gold=2966875},{501=507;gold=2966875},{501=507;gold=2966875},{501=647;gold=2966875},{501=647;gold=2966875}
98,{501=327;gold=3263563},{501=532;gold=3263563},{501=532;gold=3263563},{501=679;gold=3263563},{501=679;gold=3263563}
99,{501=343;gold=3589919},{501=559;gold=3589919},{501=559;gold=3589919},{501=713;gold=3589919},{501=713;gold=3589919}
100,{501=360;gold=3948911},{501=587;gold=3948911},{501=587;gold=3948911},{501=749;gold=3948911},{501=749;gold=3948911}
