变量名,group,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,weight,icon,iconBg,buffColor,buffType,attrNatureType1,attrType1,attrNum1,attrType2,attrNum2,attrNatureType3,attrType3,attrNum3,supplyType,supplyTarget,supplyNum,pointType,pointValue,passiveSkill,effectTimes,skillgroup,onlyOne,limit,changeLib,belongLib,condition
9,3,我方精灵物攻和特攻+15%,我方精靈物攻和特攻+15%,P. ATK and SP.ATK of allied Pokémons +15%,Công vật lý và Công đặc biệt của Pokémon đồng minh +15%,아군 포켓몬 물리&특수 공격+15%,P.ATK e SP.ATK dos Pokémons aliados +15%,P.ATK และ SP.ATK ของโปเกมอนฝ่ายเรา +15%,150,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,0,8,15%,7,15%,0,0,,0,0,0,0,0,0,0,<>,FALSE,2,0,0,0
10,1,我方精灵伤害加成+5%,我方精靈傷害加成+5%,Allied Pokémons damage bonus +5%,Thưởng sát thương của Pokémon đồng minh +5%,아군 포켓몬 피해 보너스+5%,Bônus de dano dos Pokémons aliados +5%,โบนัสความเสียหายของโปเกมอนฝ่ายเรา +5%,100,city/develop/talent/icon_shjc.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,0,22,500,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
11,2,我方精灵伤害加成+10%,我方精靈傷害加成+10%,Allied Pokémons damage bonus +10%,Thưởng sát thương của Pokémon đồng minh +10%,아군 포켓몬 피해 보너스+10%,Bônus de dano dos Pokémons aliados +10%,โบนัสความเสียหายของโปเกมอนฝ่ายเรา +10%,120,city/develop/talent/icon_shjc.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,0,22,1000,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,3,0,0,0
12,3,我方精灵伤害加成+15%,我方精靈傷害加成+15%,Allied Pokémons damage bonus +15%,Thưởng sát thương của Pokémon đồng minh +15%,아군 포켓몬 피해 보너스+15%,Bônus de dano dos Pokémons aliados +15%,โบนัสความเสียหายของโปเกมอนฝ่ายเรา +15%,150,city/develop/talent/icon_shjc.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,0,22,1500,0,,0,0,,0,0,0,0,0,0,0,<>,TRUE,1,0,0,0
13,1,我方精灵暴击率+5%,我方精靈暴擊率+5%,Critical hit rate of allied Pokémons +5%,Tỷ lệ Bạo kích của Pokémon đồng minh +5%,아군 포켓몬 치명타율+5%,Taxa de acerto crítico dos Pokémons aliados +5%,อัตราคริติคอลของโปเกมอนฝ่ายเรา +5%,100,city/develop/talent/icon_bj.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,0,14,500,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
14,2,我方精灵暴击率+10%,我方精靈暴擊率+10%,Critical hit rate of allied Pokémons +10%,Tỷ lệ Bạo kích của Pokémon đồng minh +10%,아군 포켓몬 치명타율+10%,Taxa de acerto crítico dos Pokémons aliados +10%,อัตราคริติคอลของโปเกมอนฝ่ายเรา +10%,120,city/develop/talent/icon_bj.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,0,14,1000,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,3,0,0,0
15,3,我方精灵暴击率+15%,我方精靈暴擊率+15%,Critical hit rate of allied Pokémons +15%,Tỷ lệ Bạo kích của Pokémon đồng minh +15%,아군 포켓몬 치명타율+15%,Taxa de acerto crítico dos Pokémons aliados +15%,อัตราคริติคอลของโปเกมอนฝ่ายเรา +15%,150,city/develop/talent/icon_bj.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,0,14,1500,0,,0,0,,0,0,0,0,0,0,0,<>,TRUE,1,0,0,0
16,1,我方精灵暴击伤害+10%,我方精靈暴擊傷害+10%,Critical hit damage of allied Pokémons +10%,Sát thương Bạo kích của Pokémon đồng minh +10%,아군 포켓몬 치명타 피해+10%,Dano de acerto crítico dos Pokémons aliados +10%,ความเสียหายคริติคอลของโปเกมอนฝ่ายเรา +10%,50,city/develop/talent/icon_bjsh.png,city/adventure/random_tower/icon/box_orange.png,effect,1,0,15,1000,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
17,2,我方精灵暴击伤害+15%,我方精靈暴擊傷害+15%,Critical hit damage of allied Pokémons +15%,Sát thương Bạo kích của Pokémon đồng minh +15%,아군 포켓몬 치명타 피해+15%,Dano de acerto crítico dos Pokémons aliados +15%,ความเสียหายคริติคอลของโปเกมอนฝ่ายเรา +15%,50,city/develop/talent/icon_bjsh.png,city/adventure/random_tower/icon/box_orange.png,effect,1,0,15,1500,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,3,0,0,0
18,3,我方精灵暴击伤害+20%,我方精靈暴擊傷害+20%,Critical hit damage of allied Pokémons +20%,Sát thương Bạo kích của Pokémon đồng minh +20%,아군 포켓몬 치명타 피해+20%,Dano de acerto crítico dos Pokémons aliados +20%,ความเสียหายคริติคอลของโปเกมอนฝ่ายเรา +20%,50,city/develop/talent/icon_bjsh.png,city/adventure/random_tower/icon/box_orange.png,effect,1,0,15,2000,0,,0,0,,0,0,0,0,0,0,0,<>,TRUE,1,0,0,0
19,1111,我方精灵物理防御力+15%,我方精靈物理防禦力+15%,Allied Pokémons P.DEF +15%,Thủ vật lý của Pokémon đồng minh +15%,아군 포켓몬 물리 방어력+15%,P.DEF dos Pokémons aliados +15%,P.DEF ของโปเกมอนฝ่ายเรา +15%,20,city/develop/talent/icon_wf.png,city/adventure/random_tower/icon/box_green.png,effect_lan,1,0,9,15%,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
20,1111,我方精灵物理防御力+20%,我方精靈物理防禦力+20%,Allied Pokémons P.DEF +20%,Thủ vật lý của Pokémon đồng minh +20%,아군 포켓몬 물리 방어력+20%,P.DEF dos Pokémons aliados +20%,P.DEF ของโปเกมอนฝ่ายเรา +20%,50,city/develop/talent/icon_wf.png,city/adventure/random_tower/icon/box_green.png,effect_lan,1,0,9,20%,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,3,0,0,0
21,1111,我方精灵物理防御力+25%,我方精靈物理防禦力+25%,Allied Pokémons P.DEF +25%,Thủ vật lý của Pokémon đồng minh +25%,아군 포켓몬 물리 방어력+25%,P.DEF dos Pokémons aliados +25%,P.DEF ของโปเกมอนฝ่ายเรา +25%,10,city/develop/talent/icon_wf.png,city/adventure/random_tower/icon/box_green.png,effect_lan,1,0,9,25%,0,,0,0,,0,0,0,0,0,0,0,<>,TRUE,1,0,0,0
22,1111,我方精灵特殊防御力+15%,我方精靈特殊防禦力+15%,Allied Pokémons SP.DEF +15%,Thủ đặc biệt của Pokémon đồng minh +15%,아군 포켓몬 특수 방어력+15%,SP.DEF dos Pokémons aliados +15%,SP.DEF ของโปเกมอนฝ่ายเรา +15%,20,city/develop/talent/icon_tf.png,city/adventure/random_tower/icon/box_purple.png,effect_lan,1,0,10,15%,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
23,1111,我方精灵特殊防御力+20%,我方精靈特殊防禦力+20%,Allied Pokémons SP.DEF +20%,Thủ đặc biệt của Pokémon đồng minh +20%,아군 포켓몬 특수 방어력+20%,SP.DEF dos Pokémons aliados +20%,SP.DEF ของโปเกมอนฝ่ายเรา +20%,50,city/develop/talent/icon_tf.png,city/adventure/random_tower/icon/box_purple.png,effect_lan,1,0,10,20%,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,3,0,0,0
24,1111,我方精灵特殊防御力+25%,我方精靈特殊防禦力+25%,Allied Pokémons SP.DEF +25%,Thủ đặc biệt của Pokémon đồng minh +25%,아군 포켓몬 특수 방어력+25%,SP.DEF dos Pokémons aliados +25%,SP.DEF ของโปเกมอนฝ่ายเรา +25%,10,city/develop/talent/icon_tf.png,city/adventure/random_tower/icon/box_purple.png,effect_lan,1,0,10,25%,0,,0,0,,0,0,0,0,0,0,0,<>,TRUE,1,0,0,0
25,1,我方精灵物理和特殊防御力+10%,我方精靈物理和特殊防禦力+10%,Allied Pokémons P.DEF and SP.DEF +10%,Thủ vật lý và Thủ đặc biệt của Pokémon đồng minh +10%,아군 포켓몬 물리와 특수 방어력+10%,P.DEF e SP.DEF dos Pokémons aliados +10%,P.DEF และ SP.DEF ของโปเกมอนฝ่ายเรา +10%,200,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,0,10,10%,9,10%,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
26,2,我方精灵物理和特殊防御力+15%,我方精靈物理和特殊防禦力+15%,Allied Pokémons P.DEF and SP.DEF +15%,Thủ vật lý và Thủ đặc biệt của Pokémon đồng minh +15%,아군 포켓몬 물리와 특수 방어력+15%,P.DEF e SP.DEF dos Pokémons aliados +15%,P.DEF และ SP.DEF ของโปเกมอนฝ่ายเรา +15%,200,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,0,10,15%,9,15%,0,0,,0,0,0,0,0,0,0,<>,FALSE,3,0,0,0
27,3,我方精灵物理和特殊防御力+20%,我方精靈物理和特殊防禦力+20%,Allied Pokémons P.DEF and SP.DEF +20%,Thủ vật lý và Thủ đặc biệt của Pokémon đồng minh +20%,아군 포켓몬 물리와 특수 방어력+20%,P.DEF e SP.DEF dos Pokémons aliados +20%,P.DEF และ SP.DEF ของโปเกมอนฝ่ายเรา +20%,200,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,0,10,20%,9,20%,0,0,,0,0,0,0,0,0,0,<>,FALSE,2,0,0,0
28,1,我方精灵伤害减免+5%,我方精靈傷害減免+5%,Allied Pokémons damage reduction +5%,Giảm sát thương của Pokémon đồng minh +5%,아군 포켓몬 피해 감소+5%,Redução de dano dos Pokémons aliados +5%,การลดความเสียหายของโปเกมอนฝ่ายเรา +5%,100,city/develop/talent/icon_shjm.png,city/adventure/random_tower/icon/box_yellow.png,effect_lan,1,0,23,500,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
29,2,我方精灵伤害减免+10%,我方精靈傷害減免+10%,Allied Pokémons damage reduction +10%,Giảm sát thương của Pokémon đồng minh +10%,아군 포켓몬 피해 감소+10%,Redução de dano dos Pokémons aliados +10%,การลดความเสียหายของโปเกมอนฝ่ายเรา +10%,100,city/develop/talent/icon_shjm.png,city/adventure/random_tower/icon/box_yellow.png,effect_lan,1,0,23,1000,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,3,0,0,0
30,3,我方精灵伤害减免+15%,我方精靈傷害減免+15%,Allied Pokémons damage reduction +15%,Giảm sát thương của Pokémon đồng minh +15%,아군 포켓몬 피해 감소+15%,Redução de dano dos Pokémons aliados +15%,การลดความเสียหายของโปเกมอนฝ่ายเรา +15%,50,city/develop/talent/icon_shjm.png,city/adventure/random_tower/icon/box_yellow.png,effect_lan,1,0,23,1500,0,,0,0,,0,0,0,0,0,0,0,<>,TRUE,1,0,0,0
31,1,我方精灵抵御+10%,我方精靈抵禦+10%,Allied Pokémons DEF +10%,Phòng thủ của Pokémon đồng minh +10%,아군 포켓몬 저항+10%,DEF dos Pokémons aliados +10%,DEF ของโปเกมอนฝ่ายเรา +10%,50,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,0,17,1000,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
32,2,我方精灵抵御+15%,我方精靈抵禦+15%,Allied Pokémons DEF +15%,Phòng thủ của Pokémon đồng minh +15%,아군 포켓몬 저항+15%,DEF dos Pokémons aliados +15%,DEF ของโปเกมอนฝ่ายเรา +15%,50,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,0,17,1500,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
33,3,我方精灵抵御+20%,我方精靈抵禦+20%,Allied Pokémons DEF +20%,Phòng thủ của Pokémon đồng minh +20%,아군 포켓몬 저항+20%,DEF dos Pokémons aliados +20%,DEF ของโปเกมอนฝ่ายเรา +20%,50,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,0,17,2000,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
34,1,我方精灵吸血+4%,我方精靈吸血+4%,Allied Pokémons life steal +4%,Hút máu của Pokémon đồng minh +4%,아군 포켓몬 흡혈+4%,Roubo de vida dos Pokémons aliados +4%,การดูดเลือดของโปเกมอนฝ่ายเรา +4%,50,city/adventure/random_tower/icon/icon_xx.png,city/adventure/random_tower/icon/box_pink.png,effect_lan,1,0,26,400,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
35,2,我方精灵吸血+8%,我方精靈吸血+8%,Allied Pokémons life steal +8%,Hút máu của Pokémon đồng minh +8%,아군 포켓몬 흡혈+8%,Roubo de vida dos Pokémons aliados +8%,การดูดเลือดของโปเกมอนฝ่ายเรา +8%,40,city/adventure/random_tower/icon/icon_xx.png,city/adventure/random_tower/icon/box_pink.png,effect_lan,1,0,26,800,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
36,3,我方精灵吸血+10%,我方精靈吸血+10%,Allied Pokémons life steal +10%,Hút máu của Pokémon đồng minh +10%,아군 포켓몬 흡혈+10%,Roubo de vida dos Pokémons aliados +10%,การดูดเลือดของโปเกมอนฝ่ายเรา +10%,30,city/adventure/random_tower/icon/icon_xx.png,city/adventure/random_tower/icon/box_pink.png,effect_lan,1,0,26,1000,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
37,4,回复一只精灵25%生命值,回復一隻精靈25%生命值,Recover 25% HP for 1 Pokémon,Hồi phục 25% HP cho 1 Pokémon,포켓몬 1마리의 HP를 25% 회복한다,Recupera 25% de HP para 1 Pokémon,ฟื้นฟู HP 25% ให้กับโปเกมอน 1 ตัว,20,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,0,0,,0,,0,0,,1,1,25,0,0,0,0,<>,FALSE,99,0,0,1
38,5,回复一只精灵50%生命值,回復一隻精靈50%生命值,Recover 50% HP for 1 Pokémon,Hồi phục 50% HP cho 1 Pokémon,포켓몬 1마리의 HP를 50% 회복한다,Recupera 50% de HP para 1 Pokémon,ฟื้นฟู HP 50% ให้กับโปเกมอน 1 ตัว,50,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,0,0,,0,,0,0,,1,1,50,0,0,0,0,<>,FALSE,99,0,0,1
39,5,回复一只精灵100%生命值,回復一隻精靈100%生命值,Recover 100% HP for 1 Pokémon,Hồi phục 100% HP cho 1 Pokémon,포켓몬 1마리의 HP를 100% 회복한다,Recupera 100% de HP para 1 Pokémon,ฟื้นฟู HP 100% ให้กับโปเกมอน 1 ตัว,10,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,0,0,,0,,0,0,,1,1,100,0,0,0,0,<>,FALSE,99,0,0,1
40,4,回复一只精灵25%生命值,回復一隻精靈25%生命值,Recover 25% HP for 1 Pokémon,Hồi phục 25% HP cho 1 Pokémon,포켓몬 1마리의 HP를 25% 회복한다,Recupera 25% de HP para 1 Pokémon,ฟื้นฟู HP 25% ให้กับโปเกมอน 1 ตัว,1,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,0,0,,0,,0,0,,1,1,25,0,0,0,0,<>,FALSE,99,0,0,1
41,4,回复一只精灵200怒气值,回復一隻精靈200怒氣值,Recover 200 rage points for 1 Pokémon,Hồi phục 200 điểm nộ khí cho 1 Pokémon,포켓몬 1마리의 분노치를 200 회복한다,Recupera 200 pontos de fúria para 1 Pokémon,ฟื้นฟู 200 แต้มความโกรธให้กับโปเกมอน 1 ตัว,20,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,0,0,,0,,0,0,,2,1,25,0,0,0,0,<>,FALSE,99,0,0,2
42,5,回复一只精灵500怒气值,回復一隻精靈500怒氣值,Recover 500 rage points for 1 Pokémon,Hồi phục 500 điểm nộ khí cho 1 Pokémon,포켓몬 1마리의 분노치를 500 회복한다,Recupera 500 pontos de fúria para 1 Pokémon,ฟื้นฟู 500 แต้มความโกรธให้กับโปเกมอน 1 ตัว,50,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,0,0,,0,,0,0,,2,1,50,0,0,0,0,<>,FALSE,99,0,0,2
43,5,回复一只精灵1000怒气值,回復一隻精靈1000怒氣值,Recover 1000 rage points for 1 Pokémon,Hồi phục 1000 điểm nộ khí cho 1 Pokémon,포켓몬 1마리의 분노치를 1000 회복한다,Recupera 1000 pontos de fúria para 1 Pokémon,ฟื้นฟู 1000 แต้มความโกรธให้กับโปเกมอน 1 ตัว,10,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,0,0,,0,,0,0,,2,1,100,0,0,0,0,<>,FALSE,99,0,0,2
44,5,回复一只精灵1000怒气值,回復一隻精靈1000怒氣值,Recover 1000 rage points for 1 Pokémon,Hồi phục 1000 điểm nộ khí cho 1 Pokémon,포켓몬 1마리의 분노치를 1000 회복한다,Recupera 1000 pontos de fúria para 1 Pokémon,ฟื้นฟู 1000 แต้มความโกรธให้กับโปเกมอน 1 ตัว,1,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,0,0,,0,,0,0,,2,1,100,0,0,0,0,<>,FALSE,99,0,0,2
45,4,复活一只精灵,復活一隻精靈,Revive one Pokémon,Hồi sinh một Pokémon,포켓몬을 1마리 부활시킨다,Ressuscita um Pokémon,ชุบชีวิตโปเกมอนหนึ่งตัว,20,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,0,0,,0,,0,0,,3,1,0,0,0,0,0,<>,FALSE,99,0,0,3
46,5,复活一只精灵,復活一隻精靈,Revive one Pokémon,Hồi sinh một Pokémon,포켓몬을 1마리 부활시킨다,Ressuscita um Pokémon,ชุบชีวิตโปเกมอนหนึ่งตัว,20,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,0,0,,0,,0,0,,3,1,0,0,0,0,0,<>,FALSE,99,0,0,3
47,4,复活一只精灵,復活一隻精靈,Revive one Pokémon,Hồi sinh một Pokémon,포켓몬을 1마리 부활시킨다,Ressuscita um Pokémon,ชุบชีวิตโปเกมอนหนึ่งตัว,1,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,0,0,,0,,0,0,,3,1,0,0,0,0,0,<>,FALSE,99,0,0,3
48,5,复活一只精灵,復活一隻精靈,Revive one Pokémon,Hồi sinh một Pokémon,포켓몬을 1마리 부활시킨다,Ressuscita um Pokémon,ชุบชีวิตโปเกมอนหนึ่งตัว,1,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,0,0,,0,,0,0,,3,1,0,0,0,0,0,<>,FALSE,99,0,0,3
49,6,上阵精灵血量全回复,上陣精靈血量全回復,HP of allied Pokémons fully recovers,HP của Pokémon đồng minh hồi phục hoàn toàn,포켓몬의 HP를 전부 회복한다,HP dos Pokémons aliados recupera totalmente,HP ของโปเกมอนฝ่ายเราฟื้นฟูเต็ม,20,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,0,0,,0,,0,0,,1,2,100,0,0,0,0,<>,FALSE,99,0,0,1
50,6,上阵精灵怒气全回复,上陣精靈怒氣全回復,Rage of all Pokémons in battle fully recovers,Nộ khí của tất cả Pokémon trong trận đấu hồi phục hoàn toàn,포켓몬의 분노치를 전부 회복한다,Fúria de todos os Pokémons na batalha recupera totalmente,ความโกรธของโปเกมอนทั้งหมดในการต่อสู้ฟื้นฟูเต็ม,20,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,0,0,,0,,0,0,,2,2,100,0,0,0,0,<>,FALSE,99,0,0,2
51,6,复活一只精灵,復活一隻精靈,Revive one Pokémon,Hồi sinh một Pokémon,포켓몬을 1마리 부활시킨다,Ressuscita um Pokémon,ชุบชีวิตโปเกมอนหนึ่งตัว,1,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,0,0,,0,,0,0,,3,1,0,0,0,0,0,<>,FALSE,99,0,0,3
52,99,战斗结束时可以额外获得剩余回合数*2的积分,戰鬥結束時可以額外獲得剩餘回合數*2的積分,"At the end of the battle, you can get an additional points of remaining rounds x2","Khi kết thúc trận đấu, bạn có thể nhận thêm điểm bằng số hiệp còn lại x2",전투 종료 시 추가로 남은 턴*2의 포인트를 획득한다,"No final da batalha, você pode obter pontos adicionais das rodadas restantes x2",เมื่อจบการต่อสู้ คุณจะได้รับคะแนนเพิ่มเติมจากรอบที่เหลือ x2,999,city/adventure/random_tower/icon_jf.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,3,0,0,,0,,0,0,,0,0,0,1,2,0,0,<>,TRUE,99,0,0,0
53,99,战斗结束时可以额外获得存活精灵数*1的积分,戰鬥結束時可以額外獲得存活精靈數*1的積分,"At the end of the battle, you can get an additional ponits of surviving Pokémons x1","Khi kết thúc trận đấu, bạn có thể nhận thêm điểm bằng số Pokémon sống sót x1",전투 종료 시 추가로 존재한 포켓몬*1의 포인트를 획득한다,"No final da batalha, você pode obter pontos adicionais dos Pokémons sobreviventes x1",เมื่อจบการต่อสู้ คุณจะได้รับคะแนนเพิ่มเติมจากโปเกมอนที่รอดชีวิต x1,10,city/adventure/random_tower/icon_jf.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,3,0,0,,0,,0,0,,0,0,0,2,1,0,0,<>,TRUE,99,0,0,0
54,99,战斗结束时可以额外获得存活精灵数*2的积分,戰鬥結束時可以額外獲得存活精靈數*2的積分,"At the end of the battle, you can get an additional ponits of surviving Pokémons x2","Khi kết thúc trận đấu, bạn có thể nhận thêm điểm bằng số Pokémon sống sót x2",전투 종료 시 추가로 존재한 포켓몬*2의 포인트를 획득한다,"No final da batalha, você pode obter pontos adicionais dos Pokémons sobreviventes x2",เมื่อจบการต่อสู้ คุณจะได้รับคะแนนเพิ่มเติมจากโปเกมอนที่รอดชีวิต x2,999,city/adventure/random_tower/icon_jf.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,3,0,0,,0,,0,0,,0,0,0,2,2,0,0,<>,TRUE,99,0,0,0
