变量名,attrNum1,attrRate1,attrNum2,attrRate2,attrNum3,attrRate3,attrNum4,attrRate4,attrNum5,attrRate5,attrNum6,attrRate6,attrNum7,attrRate7
默认值,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>
进阶阶段,属性加成值1,百分比系数1,属性加成值2,百分比系数2,属性加成值3,百分比系数3,属性加成值4,百分比系数4,属性加成值5,百分比系数5,属性加成值6,百分比系数6,属性加成值7,百分比系数7
10,<4950;99;990;396;990;396>,<1.65;1.65;1.65;1.65;1.65;1.65>,<4950;99;990;396;990;396>,<1.65;1.65;1.65;1.65;1.65;1.65>,<6600;132;1320;528;1320;528>,<1.87;1.87;1.87;1.87;1.87;1.87>,<9900;198;1980;792;1980;792>,<1.87;1.87;1.87;1.87;1.87;1.87>,<13200;264;2640;1056;2640;1056>,<2.2;2.2;2.2;2.2;2.2;2.2>,<18480;369.6;3696;1478.4;3696;1478.4>,<3.08;3.08;3.08;3.08;3.08;3.08>,<18480;369.6;3696;1478.4;3696;1478.4>,<3.08;3.08;3.08;3.08;3.08;3.08>
11,<5445;108.9;1089;435.6;1089;435.6>,<1.82;1.82;1.82;1.82;1.82;1.82>,<5445;108.9;1089;435.6;1089;435.6>,<1.82;1.82;1.82;1.82;1.82;1.82>,<7260;145.2;1452;580.8;1452;580.8>,<2.06;2.06;2.06;2.06;2.06;2.06>,<10890;217.8;2178;871.2;2178;871.2>,<2.06;2.06;2.06;2.06;2.06;2.06>,<14520;290.4;2904;1161.6;2904;1161.6>,<2.42;2.42;2.42;2.42;2.42;2.42>,<20328;406.56;4065.6;1626.24;4065.6;1626.24>,<3.39;3.39;3.39;3.39;3.39;3.39>,<20328;406.56;4065.6;1626.24;4065.6;1626.24>,<3.39;3.39;3.39;3.39;3.39;3.39>
12,<5989.5;119.79;1197.9;479.16;1197.9;479.16>,<2;2;2;2;2;2>,<5989.5;119.79;1197.9;479.16;1197.9;479.16>,<2;2;2;2;2;2>,<7986;159.72;1597.2;638.88;1597.2;638.88>,<2.27;2.27;2.27;2.27;2.27;2.27>,<11979;239.58;2395.8;958.32;2395.8;958.32>,<2.27;2.27;2.27;2.27;2.27;2.27>,<15972;319.44;3194.4;1277.76;3194.4;1277.76>,<2.66;2.66;2.66;2.66;2.66;2.66>,<22360.8;447.22;4472.16;1788.86;4472.16;1788.86>,<3.73;3.73;3.73;3.73;3.73;3.73>,<22360.8;447.22;4472.16;1788.86;4472.16;1788.86>,<3.73;3.73;3.73;3.73;3.73;3.73>
13,<6588.45;131.77;1317.69;527.08;1317.69;527.08>,<2.2;2.2;2.2;2.2;2.2;2.2>,<6588.45;131.77;1317.69;527.08;1317.69;527.08>,<2.2;2.2;2.2;2.2;2.2;2.2>,<8784.6;175.69;1756.92;702.77;1756.92;702.77>,<2.5;2.5;2.5;2.5;2.5;2.5>,<13176.9;263.54;2635.38;1054.15;2635.38;1054.15>,<2.5;2.5;2.5;2.5;2.5;2.5>,<17569.2;351.38;3513.84;1405.54;3513.84;1405.54>,<2.93;2.93;2.93;2.93;2.93;2.93>,<24596.88;491.94;4919.38;1967.75;4919.38;1967.75>,<4.1;4.1;4.1;4.1;4.1;4.1>,<24596.88;491.94;4919.38;1967.75;4919.38;1967.75>,<4.1;4.1;4.1;4.1;4.1;4.1>
,<7247.3;144.95;1449.46;579.79;1449.46;579.79>,<2.42;2.42;2.42;2.42;2.42;2.42>,<7247.3;144.95;1449.46;579.79;1449.46;579.79>,<2.42;2.42;2.42;2.42;2.42;2.42>,<9663.06;193.26;1932.61;773.05;1932.61;773.05>,<2.75;2.75;2.75;2.75;2.75;2.75>,<14494.59;289.89;2898.92;1159.57;2898.92;1159.57>,<2.75;2.75;2.75;2.75;2.75;2.75>,<19326.12;386.52;3865.22;1546.09;3865.22;1546.09>,<3.22;3.22;3.22;3.22;3.22;3.22>,<27056.57;541.13;5411.32;2164.53;5411.32;2164.53>,<4.51;4.51;4.51;4.51;4.51;4.51>,<27056.57;541.13;5411.32;2164.53;5411.32;2164.53>,<4.51;4.51;4.51;4.51;4.51;4.51>
,<7972.03;159.45;1594.41;637.77;1594.41;637.77>,<2.66;2.66;2.66;2.66;2.66;2.66>,<7972.03;159.45;1594.41;637.77;1594.41;637.77>,<2.66;2.66;2.66;2.66;2.66;2.66>,<10629.37;212.59;2125.87;850.36;2125.87;850.36>,<3.03;3.03;3.03;3.03;3.03;3.03>,<15944.05;318.88;3188.81;1275.53;3188.81;1275.53>,<3.03;3.03;3.03;3.03;3.03;3.03>,<21258.73;425.17;4251.74;1700.7;4251.74;1700.7>,<3.54;3.54;3.54;3.54;3.54;3.54>,<29762.23;595.24;5952.45;2380.98;5952.45;2380.98>,<4.96;4.96;4.96;4.96;4.96;4.96>,<29762.23;595.24;5952.45;2380.98;5952.45;2380.98>,<4.96;4.96;4.96;4.96;4.96;4.96>
,<8769.23;175.4;1753.85;701.55;1753.85;701.55>,<2.93;2.93;2.93;2.93;2.93;2.93>,<8769.23;175.4;1753.85;701.55;1753.85;701.55>,<2.93;2.93;2.93;2.93;2.93;2.93>,<11692.31;233.85;2338.46;935.4;2338.46;935.4>,<3.33;3.33;3.33;3.33;3.33;3.33>,<17538.46;350.77;3507.69;1403.08;3507.69;1403.08>,<3.33;3.33;3.33;3.33;3.33;3.33>,<23384.6;467.69;4676.91;1870.77;4676.91;1870.77>,<3.89;3.89;3.89;3.89;3.89;3.89>,<32738.45;654.76;6547.7;2619.08;6547.7;2619.08>,<5.46;5.46;5.46;5.46;5.46;5.46>,<32738.45;654.76;6547.7;2619.08;6547.7;2619.08>,<5.46;5.46;5.46;5.46;5.46;5.46>
,<9646.15;192.94;1929.24;771.71;1929.24;771.71>,<3.22;3.22;3.22;3.22;3.22;3.22>,<9646.15;192.94;1929.24;771.71;1929.24;771.71>,<3.22;3.22;3.22;3.22;3.22;3.22>,<12861.54;257.24;2572.31;1028.94;2572.31;1028.94>,<3.66;3.66;3.66;3.66;3.66;3.66>,<19292.31;385.85;3858.46;1543.39;3858.46;1543.39>,<3.66;3.66;3.66;3.66;3.66;3.66>,<25723.06;514.46;5144.6;2057.85;5144.6;2057.85>,<4.28;4.28;4.28;4.28;4.28;4.28>,<36012.3;720.24;7202.47;2880.99;7202.47;2880.99>,<6.01;6.01;6.01;6.01;6.01;6.01>,<36012.3;720.24;7202.47;2880.99;7202.47;2880.99>,<6.01;6.01;6.01;6.01;6.01;6.01>
,<10610.77;212.23;2122.16;848.88;2122.16;848.88>,<3.54;3.54;3.54;3.54;3.54;3.54>,<10610.77;212.23;2122.16;848.88;2122.16;848.88>,<3.54;3.54;3.54;3.54;3.54;3.54>,<14147.69;282.96;2829.54;1131.83;2829.54;1131.83>,<4.03;4.03;4.03;4.03;4.03;4.03>,<21221.54;424.44;4244.31;1697.73;4244.31;1697.73>,<4.03;4.03;4.03;4.03;4.03;4.03>,<28295.37;565.91;5659.06;2263.64;5659.06;2263.64>,<4.71;4.71;4.71;4.71;4.71;4.71>,<39613.53;792.26;7922.72;3169.09;7922.72;3169.09>,<6.61;6.61;6.61;6.61;6.61;6.61>,<39613.53;792.26;7922.72;3169.09;7922.72;3169.09>,<6.61;6.61;6.61;6.61;6.61;6.61>
,<11671.85;233.45;2334.38;933.77;2334.38;933.77>,<3.89;3.89;3.89;3.89;3.89;3.89>,<11671.85;233.45;2334.38;933.77;2334.38;933.77>,<3.89;3.89;3.89;3.89;3.89;3.89>,<15562.46;311.26;3112.49;1245.01;3112.49;1245.01>,<4.43;4.43;4.43;4.43;4.43;4.43>,<23343.69;466.88;4668.74;1867.5;4668.74;1867.5>,<4.43;4.43;4.43;4.43;4.43;4.43>,<31124.91;622.5;6224.97;2490;6224.97;2490>,<5.18;5.18;5.18;5.18;5.18;5.18>,<43574.88;871.49;8714.99;3486;8714.99;3486>,<7.27;7.27;7.27;7.27;7.27;7.27>,<43574.88;871.49;8714.99;3486;8714.99;3486>,<7.27;7.27;7.27;7.27;7.27;7.27>
,<12839.04;256.8;2567.82;1027.15;2567.82;1027.15>,<4.28;4.28;4.28;4.28;4.28;4.28>,<12839.04;256.8;2567.82;1027.15;2567.82;1027.15>,<4.28;4.28;4.28;4.28;4.28;4.28>,<17118.71;342.39;3423.74;1369.51;3423.74;1369.51>,<4.87;4.87;4.87;4.87;4.87;4.87>,<25678.06;513.57;5135.61;2054.25;5135.61;2054.25>,<4.87;4.87;4.87;4.87;4.87;4.87>,<34237.4;684.75;6847.47;2739;6847.47;2739>,<5.7;5.7;5.7;5.7;5.7;5.7>,<47932.37;958.64;9586.49;3834.6;9586.49;3834.6>,<8;8;8;8;8;8>,<47932.37;958.64;9586.49;3834.6;9586.49;3834.6>,<8;8;8;8;8;8>
,<14122.94;282.48;2824.6;1129.87;2824.6;1129.87>,<4.71;4.71;4.71;4.71;4.71;4.71>,<14122.94;282.48;2824.6;1129.87;2824.6;1129.87>,<4.71;4.71;4.71;4.71;4.71;4.71>,<18830.58;376.63;3766.11;1506.46;3766.11;1506.46>,<5.36;5.36;5.36;5.36;5.36;5.36>,<28245.87;564.93;5649.17;2259.68;5649.17;2259.68>,<5.36;5.36;5.36;5.36;5.36;5.36>,<37661.14;753.23;7532.22;3012.9;7532.22;3012.9>,<6.27;6.27;6.27;6.27;6.27;6.27>,<52725.61;1054.5;10545.14;4218.06;10545.14;4218.06>,<8.8;8.8;8.8;8.8;8.8;8.8>,<52725.61;1054.5;10545.14;4218.06;10545.14;4218.06>,<8.8;8.8;8.8;8.8;8.8;8.8>
,<15535.23;310.73;3107.06;1242.86;3107.06;1242.86>,<5.18;5.18;5.18;5.18;5.18;5.18>,<15535.23;310.73;3107.06;1242.86;3107.06;1242.86>,<5.18;5.18;5.18;5.18;5.18;5.18>,<20713.64;414.29;4142.72;1657.11;4142.72;1657.11>,<5.9;5.9;5.9;5.9;5.9;5.9>,<31070.46;621.42;6214.09;2485.65;6214.09;2485.65>,<5.9;5.9;5.9;5.9;5.9;5.9>,<41427.25;828.55;8285.44;3314.19;8285.44;3314.19>,<6.9;6.9;6.9;6.9;6.9;6.9>,<57998.17;1159.95;11599.65;4639.87;11599.65;4639.87>,<9.68;9.68;9.68;9.68;9.68;9.68>,<57998.17;1159.95;11599.65;4639.87;11599.65;4639.87>,<9.68;9.68;9.68;9.68;9.68;9.68>
,<17088.75;341.8;3417.77;1367.15;3417.77;1367.15>,<5.7;5.7;5.7;5.7;5.7;5.7>,<17088.75;341.8;3417.77;1367.15;3417.77;1367.15>,<5.7;5.7;5.7;5.7;5.7;5.7>,<22785;455.72;4556.99;1822.82;4556.99;1822.82>,<6.49;6.49;6.49;6.49;6.49;6.49>,<34177.51;683.56;6835.5;2734.22;6835.5;2734.22>,<6.49;6.49;6.49;6.49;6.49;6.49>,<45569.98;911.41;9113.98;3645.61;9113.98;3645.61>,<7.59;7.59;7.59;7.59;7.59;7.59>,<63797.99;1275.95;12759.62;5103.86;12759.62;5103.86>,<10.65;10.65;10.65;10.65;10.65;10.65>,<63797.99;1275.95;12759.62;5103.86;12759.62;5103.86>,<10.65;10.65;10.65;10.65;10.65;10.65>
,<18797.63;375.98;3759.55;1503.87;3759.55;1503.87>,<6.27;6.27;6.27;6.27;6.27;6.27>,<18797.63;375.98;3759.55;1503.87;3759.55;1503.87>,<6.27;6.27;6.27;6.27;6.27;6.27>,<25063.5;501.29;5012.69;2005.1;5012.69;2005.1>,<7.14;7.14;7.14;7.14;7.14;7.14>,<37595.26;751.92;7519.05;3007.64;7519.05;3007.64>,<7.14;7.14;7.14;7.14;7.14;7.14>,<50126.98;1002.55;10025.38;4010.17;10025.38;4010.17>,<8.35;8.35;8.35;8.35;8.35;8.35>,<70177.79;1403.55;14035.58;5614.25;14035.58;5614.25>,<11.72;11.72;11.72;11.72;11.72;11.72>,<70177.79;1403.55;14035.58;5614.25;14035.58;5614.25>,<11.72;11.72;11.72;11.72;11.72;11.72>
,<20677.39;413.58;4135.51;1654.26;4135.51;1654.26>,<6.9;6.9;6.9;6.9;6.9;6.9>,<20677.39;413.58;4135.51;1654.26;4135.51;1654.26>,<6.9;6.9;6.9;6.9;6.9;6.9>,<27569.85;551.42;5513.96;2205.61;5513.96;2205.61>,<7.85;7.85;7.85;7.85;7.85;7.85>,<41354.79;827.11;8270.96;3308.4;8270.96;3308.4>,<7.85;7.85;7.85;7.85;7.85;7.85>,<55139.68;1102.81;11027.92;4411.19;11027.92;4411.19>,<9.19;9.19;9.19;9.19;9.19;9.19>,<77195.57;1543.91;15439.14;6175.68;15439.14;6175.68>,<12.89;12.89;12.89;12.89;12.89;12.89>,<77195.57;1543.91;15439.14;6175.68;15439.14;6175.68>,<12.89;12.89;12.89;12.89;12.89;12.89>
,<22745.13;454.94;4549.06;1819.69;4549.06;1819.69>,<7.59;7.59;7.59;7.59;7.59;7.59>,<22745.13;454.94;4549.06;1819.69;4549.06;1819.69>,<7.59;7.59;7.59;7.59;7.59;7.59>,<30326.84;606.56;6065.36;2426.17;6065.36;2426.17>,<8.64;8.64;8.64;8.64;8.64;8.64>,<45490.27;909.82;9098.06;3639.24;9098.06;3639.24>,<8.64;8.64;8.64;8.64;8.64;8.64>,<60653.65;1213.09;12130.71;4852.31;12130.71;4852.31>,<10.11;10.11;10.11;10.11;10.11;10.11>,<84915.13;1698.3;16983.05;6793.25;16983.05;6793.25>,<14.18;14.18;14.18;14.18;14.18;14.18>,<84915.13;1698.3;16983.05;6793.25;16983.05;6793.25>,<14.18;14.18;14.18;14.18;14.18;14.18>
,<25019.64;500.43;5003.97;2001.66;5003.97;2001.66>,<8.35;8.35;8.35;8.35;8.35;8.35>,<25019.64;500.43;5003.97;2001.66;5003.97;2001.66>,<8.35;8.35;8.35;8.35;8.35;8.35>,<33359.52;667.22;6671.9;2668.79;6671.9;2668.79>,<9.5;9.5;9.5;9.5;9.5;9.5>,<50039.3;1000.8;10007.87;4003.16;10007.87;4003.16>,<9.5;9.5;9.5;9.5;9.5;9.5>,<66719.02;1334.4;13343.78;5337.54;13343.78;5337.54>,<11.12;11.12;11.12;11.12;11.12;11.12>,<93406.64;1868.13;18681.36;7472.58;18681.36;7472.58>,<15.6;15.6;15.6;15.6;15.6;15.6>,<93406.64;1868.13;18681.36;7472.58;18681.36;7472.58>,<15.6;15.6;15.6;15.6;15.6;15.6>
,<27521.6;550.47;5504.37;2201.83;5504.37;2201.83>,<9.19;9.19;9.19;9.19;9.19;9.19>,<27521.6;550.47;5504.37;2201.83;5504.37;2201.83>,<9.19;9.19;9.19;9.19;9.19;9.19>,<36695.47;733.94;7339.09;2935.67;7339.09;2935.67>,<10.45;10.45;10.45;10.45;10.45;10.45>,<55043.23;1100.88;11008.66;4403.48;11008.66;4403.48>,<10.45;10.45;10.45;10.45;10.45;10.45>,<73390.92;1467.84;14678.16;5871.29;14678.16;5871.29>,<12.23;12.23;12.23;12.23;12.23;12.23>,<102747.3;2054.94;20549.5;8219.84;20549.5;8219.84>,<17.16;17.16;17.16;17.16;17.16;17.16>,<102747.3;2054.94;20549.5;8219.84;20549.5;8219.84>,<17.16;17.16;17.16;17.16;17.16;17.16>
,<30273.76;605.52;6054.81;2422.01;6054.81;2422.01>,<10.11;10.11;10.11;10.11;10.11;10.11>,<30273.76;605.52;6054.81;2422.01;6054.81;2422.01>,<10.11;10.11;10.11;10.11;10.11;10.11>,<40365.02;807.33;8073;3229.24;8073;3229.24>,<11.5;11.5;11.5;11.5;11.5;11.5>,<60547.55;1210.97;12109.53;4843.83;12109.53;4843.83>,<11.5;11.5;11.5;11.5;11.5;11.5>,<80730.01;1614.62;16145.98;6458.42;16145.98;6458.42>,<13.45;13.45;13.45;13.45;13.45;13.45>,<113022.03;2260.43;22604.45;9041.82;22604.45;9041.82>,<18.88;18.88;18.88;18.88;18.88;18.88>,<113022.03;2260.43;22604.45;9041.82;22604.45;9041.82>,<18.88;18.88;18.88;18.88;18.88;18.88>
,<33301.14;666.07;6660.29;2664.21;6660.29;2664.21>,<11.12;11.12;11.12;11.12;11.12;11.12>,<33301.14;666.07;6660.29;2664.21;6660.29;2664.21>,<11.12;11.12;11.12;11.12;11.12;11.12>,<44401.52;888.06;8880.3;3552.16;8880.3;3552.16>,<12.65;12.65;12.65;12.65;12.65;12.65>,<66602.31;1332.07;13320.48;5328.21;13320.48;5328.21>,<12.65;12.65;12.65;12.65;12.65;12.65>,<88803.01;1776.08;17760.58;7104.26;17760.58;7104.26>,<14.8;14.8;14.8;14.8;14.8;14.8>,<124324.23;2486.47;24864.9;9946;24864.9;9946>,<20.77;20.77;20.77;20.77;20.77;20.77>,<124324.23;2486.47;24864.9;9946;24864.9;9946>,<20.77;20.77;20.77;20.77;20.77;20.77>
