变量名,_name,targetType,skillTarget,input,process,targetFormula,specialChoose,targetLimit,fixPos,buffList,buffLifeRound,buffProb,buffLevel,buffValue1,effectEventID,extraArgs
76234,,,,enemyForce|nodead,rowback|targetColumn,,,,,<762116>,<1>,<(self:hasBuff(762638) and (not self:curSkill():getDamageState('block')) and self:flagZ1()) and 1 or 0>,,<self:sTDmg()*0.5>,,
76235,,1,14,,,,,,,<762301;762624>,<1;999>,<1;to10(self:flagZ2())>,,<1;1>,,
76241,,,,selected,ignoreReplaceTarget(list(3013)),,,,,<762411>,<1>,<1>,,<1>,,{prophetPrecalc=1}
76242,,,,enemyForce|nodead,useOtherProcess(76241),,,,,,,,,,76245,
76243,,,,enemyForce|nodead,useOtherProcess(76241),,,,,,,,,,76246,
76244,,1,14,,,,,,,<762412;762612>,<20;999>,<1;1>,,<1;<list(7624);2;1>>,,
76261,,1,14,,,,,,,<762628;762611;762612;762621;762622;762623;762631>,<999;999;999;999;999;999;999>,<1;1;1;1;1;1;1>,,<1;<list(7623);2;1>;<list(7624);2;1>;1;1;1;1>,,
76262,,1,14,,,,,,,<762710;762681;762686;762691>,<999;999;999;999>,<1;1;1;1>,,<1;1;1;1>,,
76263,,1,14,,,,,,,<762695;762701;762709>,<999;999;999>,"<moreE(self:star(),6) and 1 or 0;moreE(self:star(),7) and 1 or 0;moreE(self:star(),8) and 1 or 0>",,<1;1;1>,,
76271,,,,,,,,,,,,,,,76271,
76272,,1,14,,,,,,,<762111;762112>,<1;1>,<1;1>,,<self:Bdamage()*0.15;3000>,,
76273,,1,14,,,,,,,<762113>,<1>,<1>,,<1500>,,
76281,,,,,,,,,,,,,,,76281,
76282,,1,14,,,,,,,<762111;762112>,<1;1>,<1;1>,,<self:Bdamage()*0.15;3000>,,
76283,,1,14,,,,,,,<762113;762117>,<1;1>,<1;1>,,<1500;1000>,,
76291,,,,,,,,,,,,,,,76291,
76292,,1,14,,,,,,,<762111;762112>,<1;1>,<1;1>,,<self:Bdamage()*0.15;3000>,,
76293,,1,14,,,,,,,<762113;762117>,<1;1>,<1;1>,,<1500;1000>,,
76294,,,,enemyForce|nodead,rowback|targetColumn,,,,,<762116>,<1>,<(not self:curSkill():getDamageState('block')) and 1 or 0>,,<self:sTDmg()*0.5>,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
76301,幻影,1,14,,,,,,,<3001001>,<999>,<1>,,<1>,,
,,,,,,,,,,,,,,,,
2500000,召唤专用,1,14,,,,,,,<7041000>,<999>,<1>,,<1>,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
75911,超梦x皮肤,,,,,,,,,,,,,,75911,
75912,,1,14,,,,,,,<762111;762112>,<1;1>,<1;1>,,<self:Bdamage()*0.15;3000>,,
75921,,,,,,,,,,,,,,,75921,
75922,,1,14,,,,,,,<762111;762112>,<1;1>,<1;1>,,<self:Bdamage()*0.15;3000>,,
75923,,1,14,,,,,,,<762113;762117>,<1;1>,<self:hasBuff(762636) and 1 or 0;self:hasBuff(762637) and 1 or 0>,,<1500;1000>,,
75924,,,,enemyForce|nodead,rowback|targetColumn,,,,,<762116>,<1>,<self:hasBuff(762638) and 1 or 0>,,<self:sTDmg()*0.5>,,
75925,,1,14,,,,,,,<762201;762624>,<1;999>,<1;to10(self:flagZ2())>,,<1;1>,,
75931,,,,,,,,,,,,,,,75931,
75932,,1,14,,,,,,,<762111;762112>,<1;1>,<1;1>,,<self:Bdamage()*0.15;3000>,,
75933,,1,14,,,,,,,<762113;762117>,<1;1>,<self:hasBuff(762636) and 1 or 0;self:hasBuff(762637) and 1 or 0>,,<1500;1000>,,
75934,,,,enemyForce|nodead,rowback|targetColumn,,,,,<762116>,<1>,<self:hasBuff(762638) and 1 or 0>,,<self:sTDmg()*0.5>,,
75935,,1,14,,,,,,,<762301;762624>,<1;999>,<1;to10(self:flagZ2())>,,<1;1>,,
75941,,,,selected,ignoreReplaceTarget(list(3013)),,,,,<762411>,<1>,<1>,,<1>,,{prophetPrecalc=1}
75942,,,,enemyForce|nodead,useOtherProcess(75941),,,,,,,,,,75945,
75943,,,,enemyForce|nodead,useOtherProcess(75941),,,,,,,,,,75946,
75944,,1,14,,,,,,,<762412;762612>,<20;999>,<1;1>,,<1;<list(7594);2;1>>,,
75961,,1,14,,,,,,,<759111;762628;762611;762612;762621;762622;762623;762631>,<999;999;999;999;999;999;999;999>,<1;1;1;1;1;1;1;1>,,<1;1;<list(7593);2;1>;<list(7594);2;1>;1;1;1;1>,,
75962,,1,14,,,,,,,<762710;762681;762686;762691>,<999;999;999;999>,<1;1;1;1>,,<1;1;1;1>,,
75963,,1,14,,,,,,,<762695;762701;762709>,<999;999;999>,"<moreE(self:star(),6) and 1 or 0;moreE(self:star(),7) and 1 or 0;moreE(self:star(),8) and 1 or 0>",,<1;1;1>,,
75971,,,,,,,,,,,,,,,75971,
75972,,1,14,,,,,,,<762111;762112>,<1;1>,<1;1>,,<self:Bdamage()*0.15;3000>,,
75973,,1,14,,,,,,,<762113;762117>,<1;1>,<1;1>,,<1500;1000>,,
75981,,,,,,,,,,,,,,,75981,
75982,,1,14,,,,,,,<762111;762112>,<1;1>,<1;1>,,<self:Bdamage()*0.15;3000>,,
75983,,1,14,,,,,,,<762113;762117>,<1;1>,<1;1>,,<1500;1000>,,
75991,,,,,,,,,,,,,,,75991,
75992,,1,14,,,,,,,<762111;762112>,<1;1>,<1;1>,,<self:Bdamage()*0.15;3000>,,
75993,,1,14,,,,,,,<762113;762117>,<1;1>,<1;1>,,<1500;1000>,,
75994,,,,enemyForce|nodead,rowback|targetColumn,,,,,<762116>,<1>,<1>,,<self:sTDmg()*0.5>,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
76411,超梦Y,,,,,,,,,,,,,,76411,
76412,,1,14,,,,,,,<764111;764112;764113>,<2;2;2>,<1;0;1>,,<self:BspecialDamage()*(self:flagZ1() and 0.15 or 0.1);<1;99;1>;self:Bspeed()*0.06>,,
76413,,1,14,,,,,,,<764121>,<1>,<self:flagZ1() and 1 or 0>,,<1000>,,
76421,,,4,,,,,,,,,,,,76421,
76422,,,4,,,,,,,<764211>,<1>,<1>,,<<self:flagZ2() and 80 or 60;1>>,,
76423,,1,14,,,,,,,<764231;764011>,<1;1>,<1;0>,,<0;0>,,
76431,,,11,,,,,,,,,,,,76431,
76432,,,,,,,,,,<764311>,<1>,<1>,,<0>,,
76433,,,,enemyForce | nodead,otherProcessExcept(76432)|random(1),,,,,<764321>,<8>,"<self:flagZ2() and (less(self:getBuffOverlayCount(764324),2) and 1 or 0) or 0>",,<0>,,
76434,,1,14,,,,,,,<764021>,<999>,<self:hasBuff(764683) and 0 or 1>,,<0>,,
76441,,,11,,,,,,,,,,,,76441,
76442,,,11,,,,,,,,,,,,76442,
76443,,,11,,,,,,,<764411>,<1>,<1>,,<0>,,
76444,,1,14,,,,,,,<764420;764011>,<self:hasBuff(764632) and 2 or 1;6>,<1;1>,,<0;0>,,
76445,,1,14,,,,,,,<764431;764441>,<2;self:hasBuff(764632) and 2 or 1>,"<moreE(self:star(),11) and 1 or 0;self:flagZ3() and (less(self:getBuffOverlayCount(764444),2) and 1 or 0) or 0>",,<0;0>,,
76451,,,,,,,,,,,,,,,,
76461,,1,14,,,,,,,<764611;764621;764631;764641>,<999;999;999;999>,"<1;moreE(self:star(),6) and 1 or 0;moreE(self:star(),7) and 1 or 0;1>",,<0;0;0;0>,,
76462,,1,14,,,,,,,<764021;764622>,<999;999>,<1;1>,,<0;self:hpMax()>,,
76463,,1,14,,,,,,,<764681>,<999>,"<moreE(self:star(),8) and 1 or 0>",,<<99;1;0;0;-2>>,,
76471,,,11,,,,,,,,,,,,76471,{needUpdateTarget=True}
76472,,1,14,,,,,,,<764434;764437>,<1;1>,<1;1>,,<0;<list();list();list(c.zhangaiwuflag_oc())>>,,
,,,,,,,,,,,,,,,,
76711,超梦Y皮肤,,,,,,,,,,,,,,76711,
76712,,1,14,,,,,,,<764111;764112;764113>,<2;2;2>,<1;0;1>,,<self:BspecialDamage()*(self:flagZ1() and 0.15 or 0.1);<1;99;1>;self:Bspeed()*0.06>,,
76713,,1,14,,,,,,,<764121>,<1>,<self:flagZ1() and 1 or 0>,,<1000>,,
76721,,,4,,,,,,,,,,,,76721,
76722,,,4,,,,,,,<764211>,<1>,<1>,,<<self:flagZ2() and 80 or 60;1>>,,
76723,,1,14,,,,,,,<764231;764011>,<1;1>,<1;0>,,<0;0>,,
76731,,,11,,,,,,,,,,,,76731,
76732,,,,,,,,,,<764311>,<1>,<1>,,<0>,,
76733,,,,enemyForce | nodead,otherProcessExcept(76732)|random(1),,,,,<764321>,<8>,"<self:flagZ2() and (less(self:getBuffOverlayCount(764324),2) and 1 or 0) or 0>",,<0>,,
76734,,1,14,,,,,,,<764021>,<999>,<self:hasBuff(764683) and 0 or 1>,,<0>,,
76741,,,11,,,,,,,,,,,,76741,
76742,,,11,,,,,,,,,,,,76742,
76743,,,11,,,,,,,<764411>,<1>,<1>,,<0>,,
76744,,1,14,,,,,,,<764420;764011>,<self:hasBuff(764632) and 2 or 1;6>,<1;1>,,<0;0>,,
76745,,1,14,,,,,,,<764431;764441>,<2;self:hasBuff(764632) and 2 or 1>,"<moreE(self:star(),11) and 1 or 0;self:flagZ3() and (less(self:getBuffOverlayCount(764444),2) and 1 or 0) or 0>",,<0;0>,,
76751,,,,,,,,,,,,,,,,
76761,,1,14,,,,,,,<764611;764621;764631;764641>,<999;999;999;999>,"<1;moreE(self:star(),6) and 1 or 0;moreE(self:star(),7) and 1 or 0;1>",,<0;0;0;0>,,
76762,,1,14,,,,,,,<764021;764622>,<999;999>,<1;1>,,<0;self:hpMax()>,,
76763,,1,14,,,,,,,<764681>,<999>,"<moreE(self:star(),8) and 1 or 0>",,<<99;1;0;0;-2>>,,
76771,,,11,,,,,,,,,,,,76771,{needUpdateTarget=True}
76772,,1,14,,,,,,,<764434;764437>,<1;1>,<1;1>,,<0;<list();list();list(c.zhangaiwuflag_oc())>>,,
,,,,,,,,,,,,,,,,
196100,盖欧卡,1,14,,,,,,,<1961001>,<9999>,<1>,,<0>,,
196111,,,,,,,,,,,,,,,196111,
196112,,,,selfForce|nodead,"buffDiffer('groupFilter',{{beDispel=10},{c.groupdebuffs2_oc()}})|random(1)",,,,,,,,,,,
196113,,1,14,,,,,,,<1961201>,<2>,<1>,,<2000+1000*(self:flagZ1() and 1 or 0)>,,
196121,,,,,,,,,,,,,,,196121,
196122,,1,14,,,,,,,<1962971>,<1>,<1>,,<1>,,
196123,,,,selfForce|nodead,"buffDiffer('groupFilter',{{beDispel=10},{c.groupdebuffs2_oc()}})|random(1)",,,,,<1962969>,<1>,<1>,,<1>,,
196124,,,,,,,,,,<1961171>,<1>,<self:flagZ2() and 1 or 0>,,<self:specialDamage()*0.4>,,
196131,,,,,,,,,,<1962991;1962999>,<1;1>,"<moreEqualThan(self:star(),11) and 1 or 0;moreEqualThan(self:star(),11) and 0.5 or 0>",,<1;1>,196131,
196132,,,,enemyForce|nodead,otherProcessExcept(196131)|random(1),,,,,<1962991;1962999>,<1;1>,"<moreEqualThan(self:star(),11) and 1 or 0;moreEqualThan(self:star(),11) and 0.5 or 0>",,<1;1>,196132,"{prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0);needUpdateTarget=True}"
196133,,,,enemyForce|nodead,otherProcessExcept(196132)|random(1),,,,,<1962991;1962999>,<1;1>,"<moreEqualThan(self:star(),11) and 1 or 0;moreEqualThan(self:star(),11) and 0.5 or 0>",,<1;1>,196133,"{prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0);needUpdateTarget=True}"
196134,,,,enemyForce|nodead,otherProcessExcept(196133)|random(1),,,,,<1962991;1962999>,<1;1>,"<moreEqualThan(self:star(),11) and 1 or 0;moreEqualThan(self:star(),11) and 0.5 or 0>",,<1;1>,196134,"{prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0);needUpdateTarget=True}"
196135,,,,enemyForce|nodead,otherProcessExcept(196134)|random(1),,,,,<1962991;1962999>,<1;1>,"<moreEqualThan(self:star(),11) and 1 or 0;moreEqualThan(self:star(),11) and 0.5 or 0>",,<1;1>,196135,"{prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0);needUpdateTarget=True}"
196136,,,,enemyForce|nodead,otherProcessExcept(196135)|random(1),,,,,<1962991;1962999>,<1;1>,"<moreEqualThan(self:star(),11) and 1 or 0;moreEqualThan(self:star(),11) and 0.5 or 0>",,<1;1>,196136,"{prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0);needUpdateTarget=True}"
196137,,,,enemyForce|nodead,"useOtherProcess(196131,196132,196133,196134,196135,196136)",,,,,,,,,,196137,{needUpdateTarget=True}
196138,,,11,,,,,,,,,,,,196138,
196139,,,,selfForce|nodead,"attrDiffer(""natureType"", {3})|",,,,,<1962994>,<1>,<1>,,<1>,,
196140,,1,14,,,,,,,<1962992;1962999;1963000;1961181>,<1;1;1;1>,<1;1;1;1>,,"<1;1;1;<list(1,0,0);1;1>>",,
196161,,1,14,,,,,,,<1961611>,<999>,<1>,,<<0>>,,
196162,,1,14,,,,,,,<1961621>,<999>,"<moreE(self:star(),6) and 1 or 0>",,<0>,,
196163,,1,14,,,,,,,<1961631>,<999>,"<moreE(self:star(),8) and 1 or 0>",,<0>,,
196164,,,,,,,,,,,,,,,,
196165,,,,,,,,,,,,,,,,
196166,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
196200,原始盖欧卡,1,14,,,,,,,<1962001>,<9999>,<1>,,<0>,,
196211,,,,,,,,,,,,,,,196211,
196212,,,,selfForce|nodead,"buffDiffer('groupFilter',{{beDispel=10},{c.groupdebuffs2_oc()}})|random(1)",,,,,<1962969>,<1>,<1>,,<1>,,
196213,,1,14,,,,,,,<1962968>,<2>,<1>,,<1500>,,
196214,,,,enemyForce|nodead,otherProcessExcept(196211)|random(1),,,,,,,,,,196212,"{needUpdateTarget=True;prob=((more(countForceFilterNum(target:force(),owner,c.filterLevel1()),1) and self:flagZ1()) and 1 or 0)}"
196221,,,,,,,,,,,,,,,196221,
196222,,1,14,,,,,,,<1962971;1962981>,<3;2>,<1;1>,,<1;1>,,
196223,,,,selfForce|nodead,"exclude(list(csvSelf:id()))|attrDiffer(""natureType"", {3})",,,,,<1962983>,<2>,<self:flagZ2() and 1 or 0>,,<1>,,
196224,,,,enemyForce|nodead,otherProcessExcept(196221)|random(1),,,,,,,,,,196212,"{needUpdateTarget=True;prob=((more(countForceFilterNum(target:force(),owner,c.filterLevel1()),1) and self:flagZ2()) and 1 or 0)}"
196231,,,,,,,,,,<1962991;1962999>,<1;1>,<1;1>,,<1;1>,196231,
196232,,,,enemyForce|nodead,otherProcessExcept(196231)|random(1),,,,,<1962991;1962999>,<1;1>,<1;1>,,<1;1>,196232,"{needUpdateTarget=true;prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0)}"
196233,,,,enemyForce|nodead,otherProcessExcept(196232)|random(1),,,,,<1962991;1962999>,<1;1>,<1;1>,,<1;1>,196233,"{needUpdateTarget=true;prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0)}"
196234,,,,enemyForce|nodead,otherProcessExcept(196233)|random(1),,,,,<1962991;1962999>,<1;1>,<1;1>,,<1;1>,196234,"{needUpdateTarget=true;prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0)}"
196235,,,,enemyForce|nodead,otherProcessExcept(196234)|random(1),,,,,<1962991;1962999>,<1;1>,<1;1>,,<1;1>,196235,"{needUpdateTarget=true;prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0)}"
196236,,,,enemyForce|nodead,otherProcessExcept(196235)|random(1),,,,,<1962991;1962999>,<1;1>,<1;1>,,<1;1>,196236,"{needUpdateTarget=true;prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0)}"
196237,,,,enemyForce|nodead,"useOtherProcess(196231,196232,196233,196234,196235,196236)",,,,,,,,,,196237,{needUpdateTarget=True}
196238,,,11,,,,,,,,,,,,196238,
196239,,,,selfForce|nodead,"attrDiffer(""natureType"", {3})|",,,,,<1962994>,<1>,<1>,,<1>,,
196240,,1,14,,,,,,,<1962992;1962999;1963006;1963005>,<1;1;1;9999>,<1;1;1;1>,,<1;1;1;1>,,
196241,,1,14,,,,,,,,,,,,,
196251,,1,14,,,,,,,<1962930;1962940;1962950>,<999;999;999>,<1;1;1>,,<1;1;1>,,
196252,,1,11,,,,,,,,,,,,,
196261,,1,14,,,,,,,<1962600;1962601>,<999;3>,<1;1>,,<<0>;<0>>,,
196262,,1,14,,,,,,,<1963021>,<999>,<self:flagZ4() and 1 or 0>,,<0>,,
196263,,,,,,,,,,,,,,,,
196264,,,,,,,,,,,,,,,,
196271,,,,,,,,,,,,,,,196271,
196272,,,,enemyForce|nodead,otherProcessExcept(196271)|random(1),,,,,,,,,,196272,"{needUpdateTarget=true;prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0)}"
196281,,,4,,,,,,,,,,,,196281,
196282,,,4,,,,,,,,,,,,,
196283,,,4,,,,,,,<1961171>,<2>,<1>,,<self:specialDamage()*0.4>,,
196291,,1,14,,,,,,,<1962950>,<999>,<1>,,<1>,,
196292,,1,14,,,,,,,<1962953>,<999>,<1>,,<1>,,
,,,,,,,,,,,,,,,,
196311,原始盖欧卡皮肤,,,,,,,,,,,,,,196311,
196312,,,,selfForce|nodead,"buffDiffer('groupFilter',{{beDispel=10},{c.groupdebuffs2_oc()}})|random(1)",,,,,<1962969>,<1>,<1>,,<1>,,
196313,,1,14,,,,,,,<1962968>,<2>,<1>,,<1500>,,
196314,,,,enemyForce|nodead,otherProcessExcept(196311)|random(1),,,,,,,,,,196312,"{needUpdateTarget=True;prob=((more(countForceFilterNum(target:force(),owner,c.filterLevel1()),1) and self:flagZ1()) and 1 or 0)}"
196321,,,4,,,,,,,,,,,,196321,
196322,,1,14,,,,,,,<1962971;1962981>,<3;2>,<1;1>,,<1;1>,,
196323,,,,selfForce|nodead,"exclude(list(csvSelf:id()))|attrDiffer(""natureType"", {3})",,,,,<1962983>,<2>,<self:flagZ2() and 1 or 0>,,<1>,,
196324,,,,enemyForce|nodead,otherProcessExcept(196321)|random(1),,,,,,,,,,196312,"{needUpdateTarget=True;prob=((more(countForceFilterNum(target:force(),owner,c.filterLevel1()),1) and self:flagZ2()) and 1 or 0)}"
196331,,,,,,,,,,<1962991;1962999>,<1;1>,<1;1>,,<1;1>,196331,
196332,,,,enemyForce|nodead,otherProcessExcept(196331)|random(1),,,,,<1962991;1962999>,<1;1>,<1;1>,,<1;1>,196332,"{needUpdateTarget=true;prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0)}"
196333,,,,enemyForce|nodead,otherProcessExcept(196332)|random(1),,,,,<1962991;1962999>,<1;1>,<1;1>,,<1;1>,196333,"{needUpdateTarget=true;prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0)}"
196334,,,,enemyForce|nodead,otherProcessExcept(196333)|random(1),,,,,<1962991;1962999>,<1;1>,<1;1>,,<1;1>,196334,"{needUpdateTarget=true;prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0)}"
196335,,,,enemyForce|nodead,otherProcessExcept(196334)|random(1),,,,,<1962991;1962999>,<1;1>,<1;1>,,<1;1>,196335,"{needUpdateTarget=true;prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0)}"
196336,,,,enemyForce|nodead,otherProcessExcept(196335)|random(1),,,,,<1962991;1962999>,<1;1>,<1;1>,,<1;1>,196336,"{needUpdateTarget=true;prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0)}"
196337,,,,enemyForce|nodead,"useOtherProcess(196331,196332,196333,196334,196335,196336)",,,,,,,,,,196337,{needUpdateTarget=True}
196338,,,11,,,,,,,,,,,,196338,
196339,,,,selfForce|nodead,"attrDiffer(""natureType"", {3})|",,,,,<1962994>,<1>,<1>,,<1>,,
196340,,1,14,,,,,,,<1962992;1962999;1963006;1963005>,<1;1;1;9999>,<1;1;1;1>,,<1;1;1;1>,,
196341,,1,14,,,,,,,,,,,,,
196351,,1,14,,,,,,,<1962930;1962940;1962950>,<999;999;999>,<1;1;1>,,<1;1;1>,,
196352,,1,11,,,,,,,,,,,,,
196360,,1,14,,,,,,,<1963000>,<999>,<1>,,<0>,,
196361,,1,14,,,,,,,<1962600;1962601>,<999;3>,<1;1>,,<<0>;<0>>,,
196362,,1,14,,,,,,,<1963021>,<999>,<self:flagZ4() and 1 or 0>,,<0>,,
196363,,,,,,,,,,,,,,,,
196364,,,,,,,,,,,,,,,,
196371,,,,,,,,,,,,,,,196271,
196372,,,,enemyForce|nodead,otherProcessExcept(196371)|random(1),,,,,,,,,,196272,"{needUpdateTarget=true;prob=(countForceFilterNum(target:force(),owner,c.filterLevel1())>1 and 1 or 0)}"
196381,,,4,,,,,,,,,,,,196281,
196382,,,4,,,,,,,,,,,,,
196391,,1,14,,,,,,,<1962950>,<999>,<1>,,<1>,,
196392,,1,14,,,,,,,<1962953>,<999>,<1>,,<1>,,
,,,,,,,,,,,,,,,,
580011,自然属性触发不满足6人,1,14,,,,,,,<580011>,<999>,<((getGateType() == 2 or getGateType() == 9 or getGateType() == 17 or getGateType() == 21 or getGateType() == 29) and countForceNum(self:force())==6) and 1 or ((getGateType() ~= 2 and getGateType() ~= 9 and getGateType() ~= 17 and getGateType() ~= 21 and getGateType() ~= 29) and 1 or 0)>,,<0>,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
242111,玛纳霏,,,,,,,,,,,,,,242111,
242112,,,,enemyForce()|nodead,"buffDifferExclude('group',{c.fly_notbuff_oc()})|random(1)",,,,,<2421612>,<999>,<1>,,<1>,,
242121,,,,,,,,,,,,,,,242121,
242122,,,,selfForce | nodead,"buffDifferExclude('id',{2421211})|setSelectAttr({""damage"",""specialDamage""},""max"")|attr(""selectAttr"",""max"",1)",,,,,<2421210;2421209>,<999;999>,<self:flagZ2() and  0 or 1;self:flagZ2() and  1 or 0>,,<1;1>,,
242123,,,,selfForce | nodead,"attrDiffer(""natureType"", {3})",,,,,<2421212>,<999>,<1>,,"<<list(1,0,0);1;1>>",,
242131,,,11,,,,,,,,,,,,242131,
242132,,,11,,,,,,,,,,,,242132,
242133,,1,11,,,,,,,<2421311;2421312>,<1;2>,<(target:natureIntersection(list(3)) ) and 1 or 0;(target:natureIntersection(list(3)) ) and 1 or 0>,,<target:hpMax()*(0.05+skillLevel*0.001-0.001);1>,,
242134,,,,selfForceEx(list(c.shuixigensui_oc())),random(2),,,,,<2421311>,<1>,<1>,,<target:hpMax()*(0.05+skillLevel*0.001-0.001)>,,
242135,,,,,,,,,,<2421340>,<1>,<1>,,<1>,,
242136,,1,14,,,,,,,<2421331;2421310>,<2;1>,"<moreE(self:star(),11) and 1 or 0;1>",,<1;1>,,
242137,,1,14,,,,,,,<2421342;2421341>,<1;999>,"<(moreE(self:star(),11) and less(self:getBuffOverlayCount(2421341),3)) and 1 or 0;moreE(self:star(),11) and 1 or 0>",,<<24217>;1>,,
242138,,,,selfForce | nodead,"exclude(list(csvSelf:id()))|attrDiffer(""natureType"", {3})|setSelectAttr({""damage"",""specialDamage""},""max"")|attr(""selectAttr"",""max"",1)",,,,,<2421361;2421365>,<1;999>,<(self:flagZ3() and (not self:hasBuff(2421365))) and 1 or 0;self:flagZ3() and 1 or 0>,,<1;1>,,
242161,,1,14,,,,,,,<2421611;2421621;2421641>,<999;999;999>,<1;1;1>,,<1;1;1>,,
242162,,1,14,,,,,,,<2421661>,<999>,"<moreE(self:star(),6) and 1 or 0>",,<<0>>,,
242163,,1,14,,,,,,,<2421645>,<999>,"<moreE(self:star(),8) and 1 or 0>",,"<<1;99;0;list(0,0.3);16>>",,
242164,,1,14,,,,,,,<2421671>,<999>,<self:flagZ4() and 1 or 0>,,<1>,,
242171,,,,,,,,,,,,,,,242171,
242172,,,,,,,,,,<2421343>,<999>,<1>,,<2426>,,
242211,,,,,,,,,,,,,,,242211,
,,,,,,,,,,,,,,,,
242411,玛纳霏皮肤,,,,,,,,,,,,,,242411,
242412,,,,enemyForce()|nodead,"buffDifferExclude('group',{c.fly_notbuff_oc()})|random(1)",,,,,<2421612>,<999>,<1>,,<1>,,
242421,,,,,,,,,,,,,,,242421,
242422,,,,selfForce | nodead,"buffDifferExclude('id',{2421211})|setSelectAttr({""damage"",""specialDamage""},""max"")|attr(""selectAttr"",""max"",1)",,,,,<2424209;2424210>,<999;999>,<self:flagZ2() and  0 or 1;self:flagZ2() and  1 or 0>,,<1;1>,,
242423,,,,selfForce | nodead,"attrDiffer(""natureType"", {3})",,,,,<2421212>,<999>,<1>,,"<<list(1,0,0);1;1>>",,
242431,,,11,,,,,,,,,,,,242431,
242432,,,11,,,,,,,,,,,,242432,
242433,,1,11,,,,,,,<2421311;2421312>,<1;2>,<(target:natureIntersection(list(3)) ) and 1 or 0;(target:natureIntersection(list(3)) ) and 1 or 0>,,<target:hpMax()*(0.05+skillLevel*0.001-0.001);1>,,
242434,,,,selfForceEx(list(c.shuixigensui_oc())),random(2),,,,,<2421311>,<1>,<1>,,<target:hpMax()*(0.05+skillLevel*0.001-0.001)>,,
242435,,,,,,,,,,<2421340>,<1>,<1>,,<1>,,
242436,,1,14,,,,,,,<2421331>,<2>,"<moreE(self:star(),11) and 1 or 0>",,<1>,,
