变量名,name,_desc,_mark1,_mark2,easyEffectFunc,_effect,_easy,skillTimePos,group,groupPower,ignoreControlVal,immuneBuff,dispelBuff,dispelType,overlayType,overlayLimit,skin,isShow,iconResPath,isIconFrame,effectResPath,effectAniName,effectAniChoose,effectResDelay,effectPos,effectAssignLayer,effectOffsetPos,effectShowOnAttack,onceEffectResPath,onceEffectAniName,onceEffectDelay,onceEffectPos,onceEffectAssignLayer,onceEffectOffsetPos,onceEffectWait,linkEffect,effectOnEnd,holderActionType,textResPath,deepCorrect,triggerPriority,specialVal,specialTarget,ignoreHolder,ignoreCaster,triggerBehaviors,limitTimes,lifeRoundType,lifeTimeEnd,buffshader,waveInherit,craftTriggerLimit,gateLimit,noDelWhenFakeDeath,showExplorer,explorerID,showHeldItem,heldItemID,buffActionEffect,stageArgs,buffFlag,iconShowType,roundInherit,spineEffect,skinEffect,extraOverlayLimit,pointEffect,effectViewArgs,delRefreshMode,rayEffect
4121221,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;effectFuncs=<castBuff>;funcArgs=<<{bond=1;caster=2;prob=1;value=0;holder=1;cfgId=4121222;lifeRound=99}>>;triggerPoint=1};{nodeId=2;effectFuncs=<castBuff;castBuff>;funcArgs=<<{prob=1;caster=2;value=target2:getBuff(4121224):getValue()+self:getBuff(4121222):getRecordDataTab('buffRecord',target2);holder={input=enemyForce()|nodead;process=sortBuffRecord(4121222,more,6)};cfgId=4121224;lifeRound=99}>;<{prob=1;caster=2;value=target2:getBuff(4121224):getValue();holder={input=enemyForce()|nodead;process=buffDifferExclude('group',{c.fly_oc()})|sortBuffRecord(4121222,more,1)};cfgId=4121223;lifeRound=99}>>;triggerPoint=19}>",,3,0,,,,,1,,,,,,,,,,,,,,,,
4121222,,,,,buffRecord,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<trigger.obj;trigger.lostHp:get(1)>,,1,<1>,<{nodeId=0;triggerPoint=48}>,,,,,,,,1,,,,,,,,,,,,,,,,
4121223,,,,,,,,,,,,,,,1,1,,,battle/buff_icon/icon_jc.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_jc.png,,,,,1,<1>,"<{nodeId=1;effectFuncs=<castBuff>;funcArgs=<<{prob=1;caster=2;value=target2:getBuff(4121224):getValue();holder={input=enemyForce()|nodead;process=buffValue(4121224,'max',1)};cfgId=4121223;lifeRound=99}>>;triggerPoint=12};{nodeId=0;triggerPoint=1}>",,,,,,,,1,,,,,,,,<1;10>,,,,,,,,
4121224,,,,,,,,,,,,,,,1,1,,FALSE,battle/buff_icon/logo_bq.png,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,,,,,,,,,1,,,,,,,,,,,,,,,,
4121225,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;funcArgs=<<{prob=target2:hasBuff(4121223) and 1 or 0;caster=2;value=min(target2:getBuff(4121223):getValue()*1.2,self:Bdamage()*6);holder=8;cfgId=moreE(self:star(),8) and (self:hasBuff(4122000) and 4122227 or 4121227 ) or (self:hasBuff(4122000) and 4122226 or 4121226);lifeRound=1}>>;effectFuncs=<castBuff>;extraAttackTrigger=2;triggerPoint=8};{nodeId=0;triggerPoint=1}>",,,,,,,,,,,,,,,,,,,,,,,,
4121226,,,,,buffDamage,,,,,,,,,,1,1,,,,,,,,,,,,,koudai_maxiaduo/hero_maxiaduo.skel,jichou,,,,{'y'=0;'x'=20},TRUE,,,,,,,<{processId=15;damageType=2}>,,,,,,,,,,,,,,,,,,,<4021>,,,,,,,,,
4121227,,,,,buffDamage,,,,,,,,,,1,1,,,,,,,,,,,,,koudai_maxiaduo/hero_maxiaduo.skel,jichou,,,,{'y'=0;'x'=20},TRUE,,,,,,,<{processId=21}>,,,,,,,,,,,,,,,,,,,<4021>,,,,,,,,,
4121300,,,,,,,,,4100011,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,,,,,,,,,,,,,,,,,,,,,,,,,
4121301,,,,,,,,2,4100011,,,,<4121300>,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4121305,,,,,assistAttack,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"<{input=enemyForce|nodead;process=buffDifferExclude('group',{c.fly_yinshenplus_oc()})|buffDiffer('id',{4121300})|random(1)}>",,,,,,,,,,,,,,,,,,,,,,,,,,,
4121310,,,,,,,,2,,,,,<4121312>,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4121311,,,,,,,,,4100011,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;effectFuncs=<castBuff;castBuff;castBuff>;funcArgs=<<{prob=1;caster=2;value=0;holder=1;cfgId=4121300;lifeRound=2}>;<{bond=2;caster=2;value=<0;0;0;1;0;0>;lifeRound=5;prob=1;cfgId=4121312;holder=2}>;<{bond=2;caster=2;prob=1;value=self:damage()*1.2+skillLv(41216)*4*60;holder=1;cfgId=self:hasBuff(4122000) and 4122313 or 4121313;lifeRound=5}>>;triggerPoint=1};{nodeId=2;funcArgs=<<{prob=1;caster=2;value=0;holder=2;cfgId=4121310;lifeRound=1}>>;effectFuncs=<castBuff>;onSomeFlag=<isLastBattleRound()>;triggerPoint=42}>,,2,,,,,,,,,,,,,,,,,,,,,,
4121312,,,,,depart,,,,4201,,,,,,,1,,,battle/buff_icon/icon_qy1.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_qy1.png,,,,,,,<{nodeId=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{bond=1;caster=1;prob=1;value=0;holder=1;cfgId=4121316;lifeRound=99}>;<{prob=1;caster=1;value=0;holder=1;cfgId=self:hasBuff(4122000) and 4122312 or 4122311;lifeRound=1}>>;triggerPoint=1};{nodeId=0;triggerPoint=1}>,,3,,,,,,,,,,,,,,<1;10>,,{action={standby=kong_loop};unitRes=<koudai_maxiaduo/hero_maxiaduo.skel;koudai_maxiaduo_pifu/hero_maxiaduo_pifu.skel>},,,,,,
4121313,,,,,,,,,4100011,,,,,,1,1,,,battle/buff_icon/icon_qy2.png,,koudai_maxiaduo/hero_maxiaduo.skel,<qianyin_loop>,,800,2,,{'y'=-260;'x'=0},,,,,,,,,,,,battle/txt/txt_qy1.png,,,,,,,"<{nodeId=1;effectFuncs=<castBuff;castBuff;castBuff>;funcArgs=<<{bond=1;caster=2;prob=1;value=-5000;holder=1;cfgId=4121314;lifeRound=99}>;<{prob=1;caster=2;value=0;holder=1;cfgId=4121330;lifeRound=99}>;<{bond=1;caster=2;prob=1;value=-5000;holder=1;cfgId=4121319;lifeRound=99}>>;triggerPoint=1};{nodeId=2;effectFuncs=<castBuff;castBuff>;funcArgs=<<{prob=1;caster=2;value=buff:getValue();holder=1;cfgId=4121315;lifeRound=1}>;<{prob=1;caster=2;value=buff:getValue();holder=1;cfgId=4121315;lifeRound=1}>>;triggerPoint=5};{nodeId=3;funcArgs=<<{prob=1;caster=2;value=buff:getValue();holder=1;cfgId=4121315;lifeRound=1}>;<{prob=1;caster=2;value=buff:getValue();holder=1;cfgId=4121315;lifeRound=1}>>;effectFuncs=<castBuff;castBuff>;onSomeFlag=<trigger.skill:owner():nature(2) ==7 or trigger.skill:owner():nature(1) ==7 or trigger.skill:owner():nature(2) ==14 or trigger.skill:owner():nature(1) ==14>;triggerPoint=10};{nodeId=4;effectFuncs=<castBuff>;funcArgs=<<{caster=2;lifeRound=1;value=<list(0,0,1);1;1;list((self:flag(200) and 41229 or 41219))>;cfgId=4121337;holder=2}>>;triggerPoint=12};{nodeId=5;effectFuncs=<castBuff>;funcArgs=<<{caster=2;lifeRound=1;value=<list(0,0,1);1;1;list((self:flag(200) and 41229 or 41219))>;cfgId=4121337;holder=2}>>;triggerPoint=2};{nodeId=6;funcArgs=<<{prob=1;caster=2;value=getValueTab(trigger.resumeHp,normalValIdx);holder=2;cfgId=4121623;lifeRound=1}>>;effectFuncs=<castBuff>;onSomeFlag=<not (trigger.ignoreBeHealAddRate or trigger.ignoreHealAddRate )>;triggerPoint=27};{nodeId=7;effectFuncs=<castBuff>;funcArgs=<<{prob=ifElse(exitInTab(trigger.beAddBuff:getGroup(),list(c.fly_oc())),1,0);caster=2;value=0;holder=2;cfgId=4121310;lifeRound=1}>>;triggerPoint=29};{nodeId=0;triggerPoint=1}>",,,,,,,,,,,,,,,,<1;10>,,,,,,,,
4121314,,,,,mp1Recover,,,,,,,,,,1,1,,,battle/buff_icon/logo_nqhf_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqhfjd.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4121315,,,,,buffDamage,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{processId=22;damageType=0}>,,,,<{nodeId=1;effectFuncs=<castBuff>;funcArgs=<<{prob=1;caster=1;value=0;holder=1;cfgId=self:hasBuff(4122000) and 4122316 or 4122315;lifeRound=1}>>;triggerPoint=1};{nodeId=0;triggerPoint=1}>,,,,,,,,,,,,,,,<4021>,,,,,,,,,
4121316,,,,,stun,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4121317,,,,,buffDamage,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{processId=28;damageType=0}>,,,,<{nodeId=1;effectFuncs=<castBuff>;funcArgs=<<{prob=1;caster=1;value=0;holder=1;cfgId=self:hasBuff(4122000) and 4122316 or 4122315;lifeRound=1}>>;triggerPoint=1};{nodeId=0;triggerPoint=1}>,,,,,,,,,,,,,,,<4021>,,,,,,,,,
4121319,,,,,beHealAdd,,,2,1104,,,,,,1,1,,FALSE,battle/buff_icon/logo_jl1.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_jl1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4121320,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;effectFuncs=<castBuff;castBuff;castBuff;castBuff;castBuff;castBuff>;funcArgs=<<{bond=1;caster=2;prob=1;value=-min(self:hpMax()*0.4*((getGateType() == 10 or getGateType() == 14) and 0.5 or 1),target:hpMax()*(15+skillLv(41216)*0.15-0.15)*0.01);holder=1;cfgId=4121321;lifeRound=99}>;<{bond=1;caster=2;prob=1;value=-target:speed()*(15+skillLv(41216)*0.15-0.15)*0.01;holder=1;cfgId=4121322;lifeRound=99}>;<{bond=1;caster=2;prob=1;value=-target:damage()*(15+skillLv(41216)*0.15-0.15)*0.01;holder=1;cfgId=4121323;lifeRound=99}>;<{bond=1;caster=2;prob=1;value=-target:specialDamage()*(15+skillLv(41216)*0.15-0.15)*0.01;holder=1;cfgId=4121324;lifeRound=99}>;<{bond=1;caster=2;prob=1;value=-target:defence()*(15+skillLv(41216)*0.15-0.15)*0.01;holder=1;cfgId=4121325;lifeRound=99}>;<{bond=1;caster=2;prob=1;value=-target:specialDefence()*(15+skillLv(41216)*0.15-0.15)*0.01;holder=1;cfgId=4121326;lifeRound=99}>>;triggerPoint=1}>",,,,,,,,,,,,,,,,,,,,,,,,
4121321,,,,,addHpMax,,,,1082,102,,,,,1,1,,,battle/buff_icon/logo_smsx_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_smsxjd.png,,,<{effectHp=True}>,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
4121322,,,,,speed,,,,10081,302,,,,,1,1,,,battle/buff_icon/logo_sd_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_sdjd.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
4121323,,,,,damage,,,,10001,302,,,,,1,1,,,battle/buff_icon/logo_wg_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgjd.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
4121324,,,,,specialDamage,,,,10002,302,,,,,1,1,,,battle/buff_icon/logo_tg_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgjd.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
4121325,,,,,defence,,,,10021,302,,,,,1,1,,,battle/buff_icon/logo_wf_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wfjd.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
4121326,,,,,specialDefence,,,,10022,302,,,,,1,1,,,battle/buff_icon/logo_tf_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tfjd.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
4121330,,,,,,,,,10000,102,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{prob=1;caster=2;value=-min(self:damage()*0.4*((getGateType() == 10 or getGateType() == 14) and 0.5 or 1),target:damage()*0.25);holder=1;cfgId=4121331;lifeRound=99}>;<{prob=1;caster=2;value=-min(self:damage()*0.4*((getGateType() == 10 or getGateType() == 14) and 0.5 or 1),target:specialDamage()*0.25);holder=1;cfgId=4121332;lifeRound=99}>>;triggerPoint=1};{nodeId=0;triggerPoint=1}>",,,,,,,,1,,,,,,,,,,,,,,,,
4121331,,,,,damage,,,,10001,302,,,,,6,6,,,battle/buff_icon/logo_wg_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgjd.png,,,,,,,<{nodeId=1;effectFuncs=<castBuff>;funcArgs=<<{prob=1;caster=2;value=-buff:getValue();holder=2;cfgId=4121333;lifeRound=99}>>;triggerPoint=1};{nodeId=0;triggerPoint=1}>,,,,,,,,1,,,,,,,,<1;10>,,,,,,,,
4121332,,,,,specialDamage,,,,10002,302,,,,,6,6,,,battle/buff_icon/logo_tg_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgjd.png,,,,,,,<{nodeId=1;effectFuncs=<castBuff>;funcArgs=<<{prob=1;caster=2;value=-buff:getValue();holder=2;cfgId=4121334;lifeRound=99}>>;triggerPoint=1};{nodeId=0;triggerPoint=1}>,,,,,,,,1,,,,,,,,<1;10>,,,,,,,,
4121333,,,,,damage,,,,1001,102,,,,,6,6,,,battle/buff_icon/logo_wg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgtg.png,,,,,,,,,,,,,,,1,,,,,,,,<1;10>,,,,,,,,
4121334,,,,,specialDamage,,,,1002,102,,,,,6,6,,,battle/buff_icon/logo_tg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgtg.png,,,,,,,,,,,,,,,1,,,,,,,,<1;10>,,,,,,,,
4121337,,,,,assistAttack,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"<{input=enemyForce|nodead;process=buffDifferExclude('group',{c.fly_yinshenplus_oc()})|buffDiffer('id',{4121300})|random(1)}>",,,"<{nodeId=1;funcArgs=<<{prob=(self:frontOrBack()==2) and 1 or (lessE(countObjBy(self:force(),nil,{'back'},{}),0) and 1 or 0);caster=2;lifeRound=1;value=<list(1,0,0);1;1>;cfgId=4121305;holder=1}>>;effectFuncs=<castBuff>;extraAttackTrigger=3;triggerPoint=8};{nodeId=0;triggerPoint=1}>",,,,,,,,,,,,,,,,,,,,,,,,
4121351,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;effectFuncs=<castBuff>;funcArgs=<<{prob=1;caster=2;value=target:damage()*0.3;holder=2;cfgId=4121352;lifeRound=1}>>;triggerPoint=1};{nodeId=0;triggerPoint=1}>,,,,,,,,1,,,,,,,,,,,,,,,,
4121352,,,,,damage,,,,1001,103,,,,,6,6,,,battle/buff_icon/logo_wg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgtg.png,,,,,,,,,,,,,,,1,,,,,,,,<1;10>,,,,,,,,
4121353,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{prob=100;caster=2;value=0;holder=1;cfgId=4121354;lifeRound=1}>;<{prob=100;caster=2;value=0;holder=1;cfgId=4121357;lifeRound=1}>>;triggerPoint=1};{nodeId=0;triggerPoint=1}>,,,,,,,,1,,,,,,,,,,,,,,,,
4121354,,,,,stun,,,2,101,,,,,,1,1,,,battle/buff_icon/logo_xy.png,,buff/xuanyun/xuanyun.skel,<xuanyun_loop>,,,1,,{'y'=-320;'x'=0},,,,,,,,,,,,battle/txt/txt_xy.png,,,,,,,<{nodeId=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{prob=1;caster=2;value=-target2:defence()*0.5;holder=2;cfgId=4121355;lifeRound=1}>;<{prob=1;caster=2;value=-target2:specialDefence()*0.5;holder=2;cfgId=4121356;lifeRound=1}>>;triggerPoint=1};{nodeId=0;triggerPoint=1}>,,,,,,,,,,,,,,,,,,,,,,,,
4121355,,,,,defence,,,2,,,,,,,1,1,,,battle/buff_icon/logo_wf_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wfjd.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
4121356,,,,,specialDefence,,,2,,,,,,,1,1,,,battle/buff_icon/logo_tf_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tfjd.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
4121357,,,,,stun,,,2,101,,,,,,1,1,,,battle/buff_icon/logo_xy.png,,buff/xuanyun/xuanyun.skel,<xuanyun_loop>,,,1,,{'y'=-320;'x'=0},,,,,,,,,,,,battle/txt/txt_xy.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4121360,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_qlms.png,,,,,,,<{nodeId=1;effectFuncs=<castBuff>;funcArgs=<<{prob=1;caster=2;value=0;holder=2;cfgId=4121361;lifeRound=1}>>;triggerPoint=1};{nodeId=0;triggerPoint=1}>,,,,,,,,,,,,,,,,,,{skin=quanli;unitRes=<koudai_maxiaduo/hero_maxiaduo.skel;koudai_maxiaduo_pifu/hero_maxiaduo_pifu.skel>},,,,,,
4121361,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_qlms.png,,,,,,,"<{nodeId=1;funcArgs=<<{prob=self:flagZ3() and 1 or 0;caster=2;value=-min(target:BhpMax()*0.02,self:BhpMax()*0.02);holder=8;cfgId=4121362;lifeRound=99}>>;effectFuncs=<castBuff>;delSelfWhenTriggered=2;triggerPoint=36};{nodeId=0;triggerPoint=1}>",,,,,,,,,,,,,,,,,,{skin=quanli;unitRes=<koudai_maxiaduo/hero_maxiaduo.skel;koudai_maxiaduo_pifu/hero_maxiaduo_pifu.skel>},,,,,,
4121362,,,,,addHpMax,,,2,1082,102,,,,,8,99,,,battle/buff_icon/logo_smsx_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_smsxjd.png,,,<{effectHp=False}>,,,,<{nodeId=1;effectFuncs=<castBuff>;funcArgs=<<{caster=2;value=-buff:getValue();holder=2;cfgId=4121363;lifeRound=99}>>;triggerPoint=1};{nodeId=0;triggerPoint=1}>,,,,,,,,1,,,,,,,,<1;10>,{wave=0;gameEnd=0},,,,,,,
4121363,,,,,addHpMax,,,2,,,,,,,8,20,,,battle/buff_icon/logo_smsx_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_smsxtg.png,,,<{effectHp=False}>,,,,,,,,,,,,1,,,,,,,,<1;10>,{wave=0;gameEnd=0},,,,,,,
4121380,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,,,2,,,,,,,,,,,,,,,,,,,,,,
