变量名,fightingPointC,type,isBuff,buffType,drops,dropsView,hpC,damageC,specialDamageC,defenceC,specialDefenceC,speedC,backGround,recoverMp
101008,0.84,2,1,<301>,{libs=<22102;22107;22115;22116>;gold=50000;coin14=200},{7202=0;7201=0;122=0;gold=0;coin14=0;124=0;123=0},1.07,1.07,1.07,1.07,1.07,1,stage/green.csv,50
101011,0.46,2,1,<101;201>,{libs=<22101;22106;22115>;gold=50000;coin14=200},{7201=0;coin14=0;gold=0;122=0;123=0},1.1,1.1,1.1,1.1,1.1,1.05,stage/green.csv,50
101012,0.61,2,1,<101;201>,{libs=<22101;22106;22115;22115>;gold=50000;coin14=200},{7201=0;coin14=0;gold=0;122=0;123=0},1.1,1.1,1.1,1.1,1.1,1.05,stage/green.csv,50
101013,0.73,2,1,<201;301>,{libs=<22103;22107;22115;22116>;gold=75000;coin14=200},{7202=0;coin14=0;123=0;124=0;gold=0;7201=0;122=0;7203=0},1.05,1.05,1.05,1.05,1.05,1,stage/green.csv,50
101014,0.93,2,1,<301>,{libs=<22103;22107;22115;22116>;gold=50000;coin14=200},{7202=0;coin14=0;123=0;124=0;gold=0;7201=0;122=0;7203=0},1.07,1.07,1.07,1.07,1.07,1,stage/green.csv,50
101021,1.05,3,0,<>,{libs=<22103;22107;22116;22116>;gold=75000;coin14=350},{7202=0;coin14=0;123=0;124=0;gold=0;7201=0;122=0;7203=0},1.13,1.13,1.13,1.13,1.13,1.05,stage/green.csv,50
102001,0.44,1,1,<101;1101>,{gold=45000;coin14=150},{gold=0;coin14=0},1,1,1,1,1,1,stage/night.csv,50
102002,0.55,1,0,<>,{gold=45000;coin14=150},{gold=0;coin14=0},1,1,1,1,1,1,stage/night.csv,50
102003,0.66,1,0,<>,{gold=45000;coin14=150},{gold=0;coin14=0},1,1,1,1,1,1,stage/night.csv,50
102004,0.61,1,0,<>,{libs=<22102>;gold=45000;coin14=150},{7201=0;coin14=0;gold=0;7202=0},1,1,1,1,1,1,stage/night.csv,50
102005,0.72,1,0,<>,{gold=45000;coin14=150},{gold=0;coin14=0},1,1,1,1,1,1,stage/night.csv,50
102006,0.75,1,1,<201;1201;301;1301;1001>,{libs=<22104;22107;22116;22116>;gold=65000;coin14=300},{7202=0;coin14=0;123=0;7201=0;124=0;gold=0;122=0;7204=0;7203=0},1.07,1.07,1.07,1.07,1.07,1,stage/night.csv,50
102007,0.99,2,1,<301;1301;1001>,{libs=<22102;22106;22115;22116>;gold=65000;coin14=300},{7201=0;122=0;gold=0;7202=0;coin14=0;123=0},1.13,1.13,1.13,1.13,1.13,1.05,stage/night.csv,50
102011,0.61,2,1,<101;1101;201;1201;1001>,{libs=<22101;22106;22115;22115>;gold=65000;coin14=300},{7201=0;coin14=0;gold=0;122=0;123=0},1.07,1.07,1.07,1.07,1.07,1,stage/night.csv,50
102012,0.66,2,1,<101;1101;201;1201;1001>,{libs=<22102;22106;22115;22116>;gold=65000;coin14=300},{7201=0;122=0;gold=0;7202=0;coin14=0;123=0},1.07,1.07,1.07,1.07,1.07,1,stage/night.csv,50
102013,0.83,2,1,<201;1201;301;1301;1001>,{libs=<22104;22107;22116;22116>;gold=120000;coin14=500},{7202=0;coin14=0;123=0;7201=0;124=0;gold=0;122=0;7204=0;7203=0},1.13,1.13,1.13,1.13,1.13,1.05,stage/night.csv,50
102014,0.91,2,1,<201;1201;301;1301;1001>,{libs=<22103;22106;22115;22116>;gold=65000;coin14=300},{7203=0;122=0;gold=0;7201=0;coin14=0;7202=0},1.13,1.13,1.13,1.13,1.13,1.05,stage/night.csv,50
102021,1.07,2,1,<301;1301;1001>,{libs=<22104;22107;22116;22117>;gold=65000;coin14=300},{7202=0;coin14=0;123=0;7201=0;124=0;gold=0;122=0;7204=0;7203=0},1.15,1.15,1.15,1.15,1.15,1.05,stage/night.csv,50
102022,1.16,3,0,<>,{libs=<22104;22107;22117;22117>;gold=120000;coin14=500},{7202=0;coin14=0;123=0;7201=0;124=0;gold=0;122=0;7204=0;7203=0},1.18,1.18,1.18,1.18,1.18,1.1,stage/night.csv,50
