变量名,suitID,suitName,suitName_tw,suitName_en,suitName_vn,suitName_kr,suitName_pt,suitName_th,suitNum,suitQuality,attrType1,attrNum1,attrType2,attrNum2
44,5,盾甲,盾甲,Shield,Shield,실드,Escudo,โล่,6,3,16,400,,
45,5,盾甲,盾甲,Shield,Shield,실드,Escudo,โล่,3,4,1,8%,,
46,5,盾甲,盾甲,Shield,Shield,실드,Escudo,โล่,6,4,16,500,,
47,5,盾甲,盾甲,Shield,Shield,실드,Escudo,โล่,3,5,1,12%,,
48,5,盾甲,盾甲,Shield,Shield,실드,Escudo,โล่,6,5,16,700,,
49,5,盾甲,盾甲,Shield,Shield,실드,Escudo,โล่,3,6,1,16%,,
50,5,盾甲,盾甲,Shield,Shield,실드,Escudo,โล่,6,6,16,1000,,
51,6,金刚,金剛,King Kong,King Kong,금강,Rei Kong,คิงคอง,3,2,93,200,,
52,6,金刚,金剛,King Kong,King Kong,금강,Rei Kong,คิงคอง,6,2,23,200,,
53,6,金刚,金剛,King Kong,King Kong,금강,Rei Kong,คิงคอง,3,3,93,300,,
54,6,金刚,金剛,King Kong,King Kong,금강,Rei Kong,คิงคอง,6,3,23,300,,
55,6,金刚,金剛,King Kong,King Kong,금강,Rei Kong,คิงคอง,3,4,93,400,,
56,6,金刚,金剛,King Kong,King Kong,금강,Rei Kong,คิงคอง,6,4,23,400,,
57,6,金刚,金剛,King Kong,King Kong,금강,Rei Kong,คิงคอง,3,5,93,600,,
58,6,金刚,金剛,King Kong,King Kong,금강,Rei Kong,คิงคอง,6,5,23,600,,
59,6,金刚,金剛,King Kong,King Kong,금강,Rei Kong,คิงคอง,3,6,93,800,,
60,6,金刚,金剛,King Kong,King Kong,금강,Rei Kong,คิงคอง,6,6,23,800,,
61,7,庇护,庇護,Shelter,Shelter,비호,Abrigo,ที่หลบภัย,3,2,28,400,,
62,7,庇护,庇護,Shelter,Shelter,비호,Abrigo,ที่หลบภัย,3,3,28,500,,
63,7,庇护,庇護,Shelter,Shelter,비호,Abrigo,ที่หลบภัย,3,4,28,600,,
64,7,庇护,庇護,Shelter,Shelter,비호,Abrigo,ที่หลบภัย,3,5,28,900,,
65,7,庇护,庇護,Shelter,Shelter,비호,Abrigo,ที่หลบภัย,3,6,28,1200,,
66,8,闪耀,閃耀,Shine,Shine,반짝임,Brilhar,ส่องแสง,3,2,26,200,,
67,8,闪耀,閃耀,Shine,Shine,반짝임,Brilhar,ส่องแสง,3,3,26,300,,
68,8,闪耀,閃耀,Shine,Shine,반짝임,Brilhar,ส่องแสง,3,4,26,400,,
69,8,闪耀,閃耀,Shine,Shine,반짝임,Brilhar,ส่องแสง,3,5,26,600,,
70,8,闪耀,閃耀,Shine,Shine,반짝임,Brilhar,ส่องแสง,3,6,26,800,,
71,9,反制,反制,Counter,Counter,반격,Contador,เคาน์เตอร์,3,2,27,300,,
72,9,反制,反制,Counter,Counter,반격,Contador,เคาน์เตอร์,3,3,27,450,,
73,9,反制,反制,Counter,Counter,반격,Contador,เคาน์เตอร์,3,4,27,600,,
74,9,反制,反制,Counter,Counter,반격,Contador,เคาน์เตอร์,3,5,27,900,,
75,9,反制,反制,Counter,Counter,반격,Contador,เคาน์เตอร์,3,6,27,1200,,
