变量名,name,_desc,value,valueArray
96,megaCommonBuyAddTimes,钥石转化数量一次机会购买固定增加,5,<>
97,megaCommonBuyChanceLimit,钥石转化机会购买限制,2,<>
98,megaBuyAddTimes,进化石转化数量一次机会购买固定增加,5,<>
99,megaBuyChanceLimit,进化石转化机会购买限制,2,<>
100,megaCommonRecoveryFirst,钥石首次上线恢复固定数量,20,<>
101,megaRecoveryFirst,进化石首次上线恢复固定数量,20,<>
102,cardCommentWordCount,精灵评论字数,300,<>
103,cardSwitchBranchCostRMB,精灵切换进化分支固定消耗钻石,500,<>
104,cardCommentDailyMarkNum,精灵评论每日评论不同进化链数量,10,<>
105,cardCommentDailyMarkSendTimes,精灵评论每日同一进化链评论次数,5,<>
106,cardScoreDailyChangeTimes,精灵评分每日修改次数,1,<>
107,cardCommentHotNum,精灵评论热门数量,10,<>
108,gymPwCD,道馆挑战成功冷却时间（秒）,300,<>
109,gymRecoverFirst,道馆挑战加成初始点数,50,<>
110,gymTalentPointBuyCount,道馆挑战加成购买点数,10,<>
111,cloneCanKickTime,元素挑战房间内的玩家多久后可以被踢,180,<>
112,cloneCanKickFinishNum,元素挑战多少个玩家完成后可以踢人,3,<>
113,cloneDailyBeKickedMax,元素挑战每日被踢了多少次后不能再参与,3,<>
114,dropEquipAbilityNeedRmb,饰品降潜能消耗钻石,30,<>
115,dropEquipSignetNeedRmb,饰品降刻印消耗钻石,30,<>
116,seniorRoleLevel,资深训练家等级要求,55,<>
117,seniorRoleOffline,资深训练家离线天数要求,3,<>
118,seniorRoleFightingPoint,资深训练家战力要求,150000,<>
119,longBindCD,长绑定冷却时间,30,<>
120,shortBindCD,短绑定冷却时间,15,<>
121,reunionLoginDays,回归玩家累计登录天数限制,4,<>
122,gymFubenMaxDamageMultiple,道馆副本最大伤害倍数,100000000,<>
123,dailyStaminaCostMax,每日体力消耗上限,15000,<>
124,figureSkillLimit,形象技能栏位限制,3,<>
125,figureSkill2,二号技能解锁形象数量限制,8,<>
126,figureSkill3,三号技能解锁形象数量限制,16,<>
127,halloweenSpriteNum1,万圣节捣蛋怪数量,3,<>
128,halloweenSpriteNum2,万圣节游荡怪数量,2,<>
129,huoDongBossMaxDamageMultiple,活动Boss最大伤害倍数,100000000,<>
130,huodongBossCrossServerSize,活动Boss跨服组数量大小,5,<>
131,huodongBossCrossServerLimit,活动Boss跨服组数量临界值,8,<>
132,unionFubenDeadlyTimesLimit,公会副本击杀奖励次数限制,1,<>
133,talentResetAllCost,天赋页全部重置消耗,200,<>
134,gymLogLimit,道馆本周日志数量限制,500,<>
135,crossMineBossMaxDamageMultiple,跨服资源战boss战斗最大伤害倍数,100000000,<>
136,citySpriteTimesMax,主城精灵常规奖励周期内领取次数,3,<>
137,unionQABuyCost,公会问答购买消耗,50,<>
138,unionQABuyTimes,公会问答每日购买次数,1,<>
139,unionQATimes,公会问答每日答题次数,1,<>
140,crossMineBossAgentCheckDamageFix,跨服资源战boss战反作弊伤害浮动百分比,50,<>
141,crossMineBossMaxTime,跨服资源战boss战最大挑战时长单位秒,300,<>
142,redPacketCrossGroupSize,跨服红包分组区服数量,10,<>
143,skyscraperCrossGroupSize,叠高楼运营活动分组区服数量,20,<>
144,horseRaceBetCost,赛马押注消耗,50,<>
145,braveChallengeGroupSize,勇者挑战分组区服数量,50,<>
146,horseRaceGroupSize,赛马分组区服数量,20,<>
147,zawakeResetOneKeyCost,Z觉醒一键重置消耗,500,<>
148,zawakeResetOneKeyRatio,Z觉醒一键重置百分比,1,<>
149,zawakeResetAutoRatio,Z觉醒自动重置百分比,1,<>
150,drawChipCostPrice,芯片钻石单抽消耗,98,<>
151,draw10ChipCostPrice,芯片钻石十连消耗,880,<>
152,drawChipItemCostPrice,芯片道具单抽消耗,10,<>
153,draw10ChipItemCostPrice,芯片道具十连消耗,100,<>
154,chipUpLimit,芯片up数量上限,3,<>
155,chipExpNeedGold,学习芯片每点经验所需要金币,50,<>
156,chipResetCost,芯片重置花费的钻石,1000,<>
157,chipRebirthRMBCostLimit,芯片重生钻石消耗上限,100,<>
158,chipRebirthRMBCostMin,芯片重生钻石消耗下限,10,<>
159,chipRebirthRetrunProportion,芯片重生返回比例,1,<>
160,huntingMaxDamageMultiple,远征最大伤害倍数,100000000,<>
161,drawCardUpChangeLimit,自选限定抽卡切换次数限制,4,<>
162,drawCardUp1CostPrice,自选限定抽卡单抽消耗钻石,220,<>
163,drawCardUp10CostPrice,自选限定抽卡10连抽消耗钻石,2000,<>
164,volleyballGroupSize,沙滩排球分组区服数量,20,<>
165,endlessCheatSilentTimes,冒险之路作弊次数限制,3,<>
166,buildingCompletionInterval,小屋建筑快速完成功能计费间隔时间（分）,30,<>
167,buildingCompletionCost,小屋建筑快速完成功能每个间隔时间固定计费（rmb),25,<>
168,buildingHomeRenameCost,小屋建筑修改名字消耗（rmb),100,<>
169,townHomeEnergyRecovery,家园卡牌精力自然恢复,10,<>
170,crossMineDisablenBattleProtectBeforeOver,资源战结束前多少时间内取消战斗五分钟保护（单位分钟）,15,<>
5000,client_test,5000之前是客户端与服务器共用，客户端专用,0,<>
5001,slayAddMp,战斗击杀奖励怒气,300,<>
5002,lostOnePercentHpAddMp,战斗损血每百分之一奖励怒气,7,<>
5003,saodang50RoleLevel,扫荡50次需要的角色等级,60,<>
5004,cityBgStartTime,主城背景切换起始时间（分钟）,360,<>
5005,cityBgDayDuration,主城背景切换白天间隔（分钟）,720,<>
5006,cityBgNightDuration,主城背景切换黑夜间隔（分钟）,720,<>
5007,signinItemRate,签到瞩目物品显示倍率,4,<>
5008,signinCardRate,签到瞩目卡牌显示倍率,1.6,<>
5009,levelBoxDelayTime,关卡宝箱延迟出现时间,1.6,<>
5010,pvpBattleItemID,竞技场次数代币,517,<>
5011,pvpCardShowScale,竞技场卡牌立绘缩放,2.4,<>
5012,citySpecialTimeMin,主城角色特殊动作时间,60,<>
5013,showCardRarityMin,卡牌获得界面最低显示rarity,3,<>
5014,attrHp,努力值培养生命固定价值修正,0.4,<>
5015,attrDamage,努力值培养物攻固定价值修正,1,<>
5016,attrSpecialDamage,努力值培养特攻固定价值修正,1,<>
5017,attrDefence,努力值培养物防固定价值修正,3,<>
5018,attrSpecialDefence,努力值培养特防固定价值修正,3,<>
5019,attrSpeed,努力值培养速度固定价值修正,4.5,<>
5020,endlessTowerJumpCD,无尽塔的跳过冷却,30,<>
5021,randomTowerJumpCD,随机塔的跳过冷却,15,<>
5022,feedBackDayCount,单个玩家每日反馈的数量,10,<>
5023,randomTowerBattleHp,试炼塔战斗结束恢复的生命值(%),10,<>
5024,randomTowerBattleMp,试炼塔战斗结束恢复的怒气值,200,<>
5025,captureSprite,捕捉精灵中精灵的大小,1.5,<>
5026,rechargeVip,尊贵Vip经验值,15000,<>
5027,marqueeMax,跑马灯最大播放数量,3,<>
5028,personalSignShowLevel,查看他人个性签名的等级（大于配置等级显示）,27,<>
5029,worldBossJumpCD,世界boss的跳过CD,25,<>
5030,worldBossDamageLimitRate,世界boss单次buff伤害上限比例,0.6,<>
5031,preCheckFailAttrFix,战报不一致属性修正系数,1.2,<>
5032,craftHpRatioBorder,石英玩法中比较血量百分比的血限,0.9,<>
5033,onlineFightAwardLimit,实时匹配奖励领取限制,5,<>
5034,onlineFightFleeRoundLimit,实时匹配逃跑回合限制,5,<>
5035,onlineFightLateSpeedUpTime,实时匹配落后加速倍数,20,<>
5036,onlineFightLateFrameLimit,实时匹配落后加速时帧插值,3,<>
5037,gymMapScale,道馆地图缩放,0.8,<>
5038,crossMapScale,跨服道馆地图缩放,0.5,<>
5039,onlineFightWdfRecordRound,实时匹配精彩战报回合限制,4,<>
5040,onlineFightWdfRecordLimit,实时匹配精彩战报血量限制,0.5,<>
5041,gymGateJumpCD,道馆pve副本包括NPC跳过CD,0,<>
5042,huodongbossNewTimes,万圣节NEW标记判定,15,<>
5043,huodongbossMaxNumber,万圣节BOSS栏位处显示的最大数量,50,<>
5044,embattleReadyMax,最大预设队伍数量,5,<>
5045,loadingBgTotal,加载时背景图随机的总数,21,<1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;20;22;23;24;25>
5046,signinPassportTipDays,豪华登录提示显示时间,7,<>
5047,antiFraudPosterAppearsCD,防欺诈海报出现间隔（小时）,1,<>
5048,huntingJumpCD,远征战斗跳过倒计时,15,<>
5049,reboundFix,反伤修正,0.3,<>
5050,messageIsFull,邮件已满提示冷却（天）,7,<>
5051,crossUnionFight,跨服公会战横幅飘字速度,8.5,<>
5052,crossUnionBattleReportTime,跨服公会战战报倒计时,20,<>
