变量名,sceneName,sceneName_tw,sceneName_en,sceneName_vn,sceneName_kr,sceneName_pt,sceneName_th,_beizhu,languages,monsters,boss,icon,gateType,sceneType,roundLimit,backMusic,backGround,bg_boss,bg_boss_pos,openLevel,desc,sceneCount,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,limitType,limitArg,firstAward,firstAwardShow,saodangAward,saodangAwardShow,lowestFightingPoint,gateDesc,gateDesc_tw,gateDesc_en,gateDesc_vn,gateDesc_kr,gateDesc_pt,gateDesc_th
100009,第9关,第9關,Stage 9,Thứ 9 Quan,스테이지 9,Stage 9,Stage 9,,,<{unitId=230783;level=24;advance=2};{unitId=230783;level=24;advance=2};{unitId=230472;level=24;advance=2};{unitId=230472;level=24;advance=2}>,<{unitId=251009;level=24;advance=3}>,config/portrait/jinglingtouxiang1/img_463_dst@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_grass.jpg,,{y=70;x=0},1,,1,24,84,84,,,,5,<<27;0;5%>;<26;0;5%>>,{gold=25000;451=30;452=20},<<gold;25000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2100},<<gold;2100;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100010,第10关,第10關,Stage 10,Thứ 10 Quan,스테이지 10,Stage 10,Stage 10,,,<{unitId=231071;level=25;advance=2};{unitId=231423;level=25;advance=2};{unitId=223303;level=25;advance=2};{unitId=223303;level=25;advance=2}>,<{unitId=251010;level=25;advance=3}>,config/portrait/jinglingtouxiang1/img_257_hyj@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_night.jpg,,{y=70;x=0},1,,1,25,87,87,,,,5,<<1;1;20%>;<13;0;20%>>,{501=1;451=30;gold=25000},<<gold;25000;1>;<451;30;1>;<501;1;1>>,{libs=<110;111;112>;gold=2100;452=2},<<gold;2100;0>;<451;1;1>;<452;1;1>>,0,怪物全体双攻提升，光环单位中似乎蕴含着某种能力,所有怪物之P.ATK與SP.ATK提升，光環單位似乎蘊含某種能力。,All enemy P.ATK and SP.ATK increased.  The aura units seem to contain some kind of ability.,Tất cả kẻ thù tăng P.ATK và SP.ATK. Các đơn vị hào quang dường như chứa một loại năng lực nào đó.,모든 적의 P.ATK와 SP.ATK가 증가합니다. 오라 유닛에는 어떤 능력이 있는 것 같습니다.,Todo o ataque físico (P.ATK) e mágico (SP.ATK) do inimigo aumentado. As unidades de aura parecem conter algum tipo de habilidade.,ศัตรูทั้งหมดเพิ่มค่า P.ATK และ SP.ATK หน่วยที่มีออร่าดูเหมือนจะมีความสามารถบางอย่าง
100011,第11关,第11關,Stage 11,Thứ 11 Quan,스테이지 11,Stage 11,Stage 11,,,<{unitId=231172;level=26;advance=2};{unitId=233021;level=26;advance=2};{unitId=233293;level=26;advance=2};{unitId=233293;level=26;advance=2}>,<{unitId=251011;level=26;advance=3}>,config/portrait/jinglingtouxiang1/img_20_ld@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_sd.jpg,,{y=70;x=0},1,,1,26,90,90,,,,3,<<9;1;2%>;<10;1;2%>>,{gold=30000;451=30;452=20},<<gold;30000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2200},<<gold;2200;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100012,第12关,第12關,Stage 12,Thứ 12 Quan,스테이지 12,Stage 12,Stage 12,,,<{unitId=230783;level=27;advance=2};{unitId=233021;level=27;advance=2};{unitId=230242;level=27;advance=2};{unitId=230242;level=27;advance=2}>,<{unitId=251012;level=27;advance=3}>,config/portrait/jinglingtouxiang1/img_59_fsg@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_tower.jpg,,{y=70;x=0},1,,1,27,93,93,,,,4,<<9;0;2%>;<10;0;2%>;<17;0;2%>>,{502=1;451=30;gold=30000},<<gold;30000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=2200},<<gold;2200;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100013,第13关,第13關,Stage 13,Thứ 13 Quan,스테이지 13,Stage 13,Stage 13,,,<{unitId=231221;level=28;advance=2};{unitId=231221;level=28;advance=2};{unitId=230731;level=28;advance=2};{unitId=230731;level=28;advance=2}>,<{unitId=251013;level=28;advance=3}>,config/portrait/jinglingtouxiang1/img_243_lg@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_grass.jpg,,{y=70;x=0},1,,1,28,96,96,,,,5,<<9;0;5%>;<10;0;5%>>,{rmb=100;451=30;gold=30000},<<gold;30000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=2200},<<gold;2200;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100014,第14关,第14關,Stage 14,Thứ 14 Quan,스테이지 14,Stage 14,Stage 14,,,<{unitId=231313;level=29;advance=2};{unitId=231313;level=29;advance=2};{unitId=230072;level=29;advance=2};{unitId=230072;level=29;advance=2}>,<{unitId=251014;level=29;advance=3}>,config/portrait/jinglingtouxiang1/img_18_dbn@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_night.jpg,,{y=70;x=0},1,,1,29,99,99,,,,5,<<9;0;5%>;<10;0;5%>;<22;0;5%>>,{gold=30000;451=30;452=20},<<gold;30000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2200},<<gold;2200;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100015,第15关,第15關,Stage 15,Thứ 15 Quan,스테이지 15,Stage 15,Stage 15,,,<{unitId=230033;level=30;advance=2};{unitId=231313;level=30;advance=2};{unitId=220053;level=30;advance=2};{unitId=221241;level=30;advance=2}>,<{unitId=251015;level=30;advance=3}>,config/portrait/jinglingtouxiang1/img_658_jhrw@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_sd.jpg,,{y=70;x=0},1,,1,30,102,102,,,,5,<<9;1;10%>;<10;0;10%>;<13;0;10%>>,{gold=30000;451=30;519=1},<<gold;30000;1>;<451;30;1>;<519;1;1>>,{libs=<110;111;112>;gold=2200;452=1},<<gold;2200;0>;<451;1;1>;<452;1;1>>,0,怪物攻击时有几率降低一定速度,怪物攻擊時有幾率降低一定速度,Monsters have a chance to reduce speed when attacking.,Quái vật có xác suất làm giảm một lượng tốc độ khi tấn công.,몬스터가 공격할 때 일정 확률로 속도가 감소합니다.,Monstros têm uma chance de reduzir a velocidade ao atacar.,มอนสเตอร์มีโอกาสลดความเร็วเมื่อโจมตี
100016,第16关,第16關,Stage 16,Thứ 16 Quan,스테이지 16,Stage 16,Stage 16,,,<{unitId=231241;level=31;advance=2};{unitId=231241;level=31;advance=2};{unitId=220053;level=31;advance=2};{unitId=220053;level=31;advance=2}>,<{unitId=251016;level=31;advance=3}>,config/portrait/jinglingtouxiang1/img_22_dzq@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_tower.jpg,,{y=70;x=0},1,,1,31,105,105,,,,3,<<13;1;2%>>,{gold=35000;451=30;452=20},<<gold;35000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2300},<<gold;2300;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100017,第17关,第17關,Stage 17,Thứ 17 Quan,스테이지 17,Stage 17,Stage 17,,,<{unitId=231503;level=32;advance=2};{unitId=231503;level=32;advance=2};{unitId=230731;level=32;advance=2};{unitId=230883;level=32;advance=2}>,<{unitId=251017;level=32;advance=3}>,config/portrait/jinglingtouxiang1/img_466_djms@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_grass.jpg,,{y=70;x=0},1,,1,32,108,108,,,,4,<<13;0;2%>;<24;0;2%>>,{502=1;451=30;gold=35000},<<gold;35000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=2300},<<gold;2300;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100018,第18关,第18關,Stage 18,Thứ 18 Quan,스테이지 18,Stage 18,Stage 18,,,<{unitId=230493;level=33;advance=2};{unitId=231423;level=33;advance=2};{unitId=231221;level=33;advance=2};{unitId=231221;level=33;advance=2}>,<{unitId=251018;level=33;advance=3}>,config/portrait/jinglingtouxiang1/img_145_sdn@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_night.jpg,,{y=70;x=0},1,,1,33,111,111,,,,5,<<9;0;5%>;<10;0;5%>>,{rmb=100;451=30;gold=35000},<<gold;35000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=2300},<<gold;2300;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100019,第19关,第19關,Stage 19,Thứ 19 Quan,스테이지 19,Stage 19,Stage 19,,,<{unitId=230793;level=34;advance=2};{unitId=230793;level=34;advance=2};{unitId=222483;level=34;advance=2};{unitId=222483;level=34;advance=2}>,<{unitId=251019;level=34;advance=3}>,config/portrait/jinglingtouxiang1/img_6_phl@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_sd.jpg,,{y=70;x=0},1,,1,34,114,114,,,,5,<<9;0;5%>;<10;0;5%>;<22;0;5%>>,{gold=35000;451=30;452=20},<<gold;35000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2300},<<gold;2300;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100020,第20关,第20關,Stage 20,Thứ 20 Quan,스테이지 20,Stage 20,Stage 20,,,<{unitId=231813;level=35;advance=2};{unitId=233021;level=35;advance=2};{unitId=221393;level=35;advance=2};{unitId=220263;level=35;advance=2}>,<{unitId=251020;level=35;advance=3}>,config/portrait/jinglingtouxiang1/img_245_sj@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_tower.jpg,,{y=70;x=0},1,,1,35,117,117,,,,5,<<9;1;20%>;<10;0;20%>;<13;0;20%>>,{502=3;451=30;gold=35000},<<gold;35000;1>;<451;30;1>;<502;3;1>>,{libs=<110;111;112>;gold=2300;452=2},<<gold;2300;0>;<451;1;1>;<452;1;1>>,0,怪物全体控制几率提高，怪物身上的护盾具有解控的作用,怪物全體控制機率提升，怪物身上的護盾具有解控的作用,Increased chance of controlling all monsters; shields on monsters have a control-breaking effect.,"Tăng khả năng khống chế tất cả quái vật, khiên trên quái vật có tác dụng giải khống chế.","모든 몬스터 제어 확률 증가, 몬스터의 보호막은 제어 해제 효과를 가집니다.",A chance de controlar todos os monstros aumentada; os escudos nos monstros têm um efeito de quebra de controle.,อัตราการควบคุมมอนสเตอร์ทั้งหมดเพิ่มขึ้น โล่ของมอนสเตอร์มีผลในการปลดล็อกการควบคุม
100021,第21关,第21關,Stage 21,Thứ 21 Quan,스테이지 21,Stage 21,Stage 21,,,<{unitId=231172;level=36;advance=2};{unitId=231172;level=36;advance=2};{unitId=222683;level=36;advance=2};{unitId=222683;level=36;advance=2}>,<{unitId=251021;level=36;advance=3}>,config/portrait/jinglingtouxiang1/img_24_abg@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_grass.jpg,,{y=70;x=0},1,,1,36,121,121,,,,3,<<1;1;2%>>,{gold=40000;451=30;452=20},<<gold;40000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2400},<<gold;2400;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100022,第22关,第22關,Stage 22,Thứ 22 Quan,스테이지 22,Stage 22,Stage 22,,,<{unitId=230333;level=37;advance=2};{unitId=230333;level=37;advance=2};{unitId=231271;level=37;advance=2};{unitId=231271;level=37;advance=2}>,<{unitId=251022;level=37;advance=3}>,config/portrait/jinglingtouxiang1/img_462_zbcg@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_night.jpg,,{y=70;x=0},1,,1,37,125,125,,,,4,<<1;0;2%>;<28;0;2%>>,{502=1;451=30;gold=40000},<<gold;40000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=2400},<<gold;2400;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100023,第23关,第23關,Stage 23,Thứ 23 Quan,스테이지 23,Stage 23,Stage 23,,,<{unitId=230883;level=38;advance=2};{unitId=221903;level=38;advance=2};{unitId=230883;level=38;advance=2};{unitId=232891;level=38;advance=2};{unitId=232891;level=38;advance=2}>,<{unitId=251023;level=38;advance=3}>,config/portrait/jinglingtouxiang1/img_181_dl@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_sd.jpg,,{y=70;x=0},1,,1,38,129,129,,,,5,<<7;0;5%>;<8;0;5%>>,{rmb=100;451=30;gold=40000},<<gold;40000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=2400},<<gold;2400;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100024,第24关,第24關,Stage 24,Thứ 24 Quan,스테이지 24,Stage 24,Stage 24,,,<{unitId=230793;level=39;advance=2};{unitId=220303;level=39;advance=2};{unitId=230793;level=39;advance=2};{unitId=232483;level=39;advance=2};{unitId=232483;level=39;advance=2}>,<{unitId=251024;level=39;advance=3}>,config/portrait/jinglingtouxiang1/img_157_hbs@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_tower.jpg,,{y=70;x=0},1,,1,39,133,133,,,,5,<<1;0;5%>;<22;0;5%>>,{gold=40000;451=30;452=20},<<gold;40000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2400},<<gold;2400;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100025,第25关,第25關,Stage 25,Thứ 25 Quan,스테이지 25,Stage 25,Stage 25,,,<{unitId=231221;level=40;advance=2};{unitId=220333;level=40;advance=2};{unitId=230593;level=40;advance=2};{unitId=230883;level=40;advance=2};{unitId=230883;level=40;advance=2}>,<{unitId=251025;level=40;advance=3}>,config/portrait/jinglingtouxiang1/img_145_sdn@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_grass.jpg,,{y=70;x=0},1,,1,40,137,137,,,,5,<<1;1;10%>;<7;0;10%>;<8;0;10%>>,{gold=40000;451=30;519=1},<<gold;40000;1>;<451;30;1>;<519;1;1>>,{libs=<110;111;112>;gold=2400;452=1},<<gold;2400;0>;<451;1;1>;<452;1;1>>,0,怪物攻击前会回复怒气，击杀光环单位会极大限制怒气恢复,怪物攻擊前會回復怒氣，擊殺光環單位會極大限制怒氣恢復,Monsters recover rage before attacking; killing aura units greatly restricts rage recovery.,Quái vật hồi phục nội năng trước khi tấn công; tiêu diệt các đơn vị hào quang sẽ hạn chế đáng kể việc hồi phục nội năng.,몬스터는 공격 전에 분노를 회복합니다. 오라 유닛을 처치하면 분노 회복이 크게 제한됩니다.,Monstros recuperam fúria antes de atacar; matar unidades de aura restringe muito a recuperação de fúria.,มอนสเตอร์ฟื้นฟูความโกรธก่อนโจมตี การสังหารหน่วยแสงออร่าจะจำกัดการฟื้นฟูความโกรธอย่างมาก
