变量名,_name,_preBehaviour,preBehaviour,damageHit,nature,damageAdd,damageDeepen,dmgDelta,natureDelta,gateDelta,reduce,strikeBlock,extraAdd,fatal,behead,damageByHpRate,finalSkillAdd,ultimateAdd,skillPower,buffAdd,randFix,limit,calcInternalDamageFinish,ignoreRoundDamage,stealth,leave,immuneAllDamage,immuneDamage,immunePhysicalDamage,immuneSpecialDamage,keepHpUnChanged,groupShield,delayDamage,damageAllocate,damageLink,protection,shield,freeze,finalRate,lockHp,rebound,suckblood,result
9,,,,,,,,,,,,,,,,,,,,,,,run,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,run
10,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,jump,run,run,run,run,jump,run,run,run,run,run,run
11,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,run,run,run,run,run,run,run,run,run,jump,run,run,run,run,jump,run,run,run,run,run,run
12,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,jump,run,jump,jump,jump,jump,jump,run,run,run,run,run
13,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,jump,run,jump,jump,jump,jump,jump,run,run,run,run,run
14,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,multiply,,,,,,,,,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
15,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
16,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,jump,run,run,run,run,run
17,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
18,,,,multiply,multiply,,,,,,,multiply,,,,,,,,,,,run,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump
19,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
20,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
21,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,jump,run,run,jump,run,run,run,run,run,run
22,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(less(target:mp1(),target:mp1Max()),attacker:specialDefenceIgnore()*10000+4000,attacker:specialDefenceIgnore()*10000)))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(less(target:mp1(),target:mp1Max()),attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652)+2000,attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652))))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,,,,,,,,,,10000,run,run,run,run,run,run,run,run,run,run,run,jump,run,run,jump,run,run,run,run,run,run
23,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+2000+(attacker:skillLv(33046) or 0)*10,attacker:specialDefenceIgnore()*10000)))>;buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:speed(),target:speed()),attacker:damageRateAdd()+(moreThan(div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*3,1) and 1 or div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*3),attacker:damageRateAdd())))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(more(attacker:speed(),target:speed()),attacker:ignoreDamageSub()*10000+2,attacker:ignoreDamageSub()*10000)))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
24,,,"{reduce=<setValue(list(""defenceIgnore""),list(attacker:defenceIgnore()*10000+5000))>;damageAdd=<setValue(list(""damageSub""),list(target:damageSub()*5000))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,,,,,,,,,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
25,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,run,run,run,run,run,run,jump,jump,run,run,run,run,run,run,run,run,run,run,run,run,run
26,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,run,run,run,run,run,run,jump,jump,run,run,run,run,run,run,jump,run,run,run,run,run,run
27,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,,,,,,,,,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
28,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(less(target:mp1(),target:mp1Max()),attacker:specialDefenceIgnore()*10000+4000,attacker:specialDefenceIgnore()*10000)))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(less(target:mp1(),target:mp1Max()),attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652)+2000,attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652))))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,,,,,,,,,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
29,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,jump,jump,jump,jump,jump,run,jump,jump,run,run,run,run
30,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(1+0.05*attacker:getBuffOverlayCount(4101131))))>;damageAdd=<setValue(list(""damageSub""),list(target:damageSub()*10000-5000))>;reduce=<setValue(list(""specialDefenceIgnore""),list(attacker:specialDefenceIgnore()*10000+5000))>;finalRate=<setValue(list(""finalDamageSub""),list(target:finalDamageSub()*10000-5000))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,run,run,run,run,run,run,run,run,run,jump,run,jump,run,run,run,run,run,run,run,run,run
101,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
111,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()*10000+2000+(attacker:skillLv(116,126,136) or 0)*10-10,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
112,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
141,,,"{reduce=<setValue(list(""defenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(1500,1510,1520),attacker:defenceIgnore()*10000+2000,attacker:defenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
142,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
151,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse( target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()*10000+2000+(attacker:skillLv(156) or 0)*10-10,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
152,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
201,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,jump,run,run,run,run,run,run,run,run,run,run,run
301,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,run,run,run,run
1003,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
1005,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
1015,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
2001,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,jump,run,run,run,run
2003,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,,,,,,,,,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3001,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3002,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3003,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3004,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3005,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3006,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3007,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3008,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3009,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3010,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3011,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3012,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3013,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3014,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3015,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3016,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3017,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3018,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
5411,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
5412,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
7611,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+2000,attacker:specialDefenceIgnore()*10000 )))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(more(attacker:star(),7) and more(attacker:speed(),target:speed()),attacker:ignoreDamageSub()*10000+1000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
7612,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
8011,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(target:hasBuffGroup(1301,1311,1321),attacker:damageRateAdd()+0.3,attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
8012,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
9999,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
10000,,,,,multiply,,,,,,,,multiply|0.05,,,,,,,multiply,,,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
10001,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+3500,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
10002,,,"{shield=<setValue(list(""shieldHp""),list(ifElse( more(attacker:star() , 10),0,target:shieldHp() )))>}",,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
13011,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()*10000+2000,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
13012,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
13041,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()*10000+2000,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
13042,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
13043,,,"{strike=setValue(list(""strikeDamage""),list((target:hasBuffGroup(c.zhuoshao_oc()) and attacker:strikeDamage()*10000+8000 or attacker:strikeDamage()*10000)));reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(c.zhuoshao_oc()),attacker:specialDefenceIgnore()*10000+2000,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
13044,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
13961,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
13962,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
19414,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,jump,jump,run
19415,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,jump,jump,run
19611,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
19612,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(moreE(attacker:sumBuffOverlayByGroup(1961132),6) and 0.8*0.8*0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),5) and 0.8*0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),4) and 0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),3) and 0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),2) and 0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),1) and 1 or 1))))))))>}",,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
19621,,,"{buffAdd=<setValue(list(""damageRateAdd""),list((arg.natureFlag==""strong"" and attacker:damageRateAdd()+(0.6) or attacker:damageRateAdd() )))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
19622,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(moreE(attacker:sumBuffOverlayByGroup(1961132),6) and 1*1*1*1*1 or (moreE(attacker:sumBuffOverlayByGroup(1961132),5) and 1*1*1*1 or (moreE(attacker:sumBuffOverlayByGroup(1961132),4) and 1*1*1 or (moreE(attacker:sumBuffOverlayByGroup(1961132),3) and 1*1 or (moreE(attacker:sumBuffOverlayByGroup(1961132),2) and 1 or (moreE(attacker:sumBuffOverlayByGroup(1961132),1) and 1 or 1))))))))>}",,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
19623,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,jump,run,run,run,run,run
19631,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
19632,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
19641,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
19642,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
19811,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
19812,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,jump,run,run,run,run,run,run,run,run,run,run,run,run,run
19911,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
22411,,,"{buffAdd=<setValue(list(""damageRateAdd""),list((arg.natureFlag==""strong"" and attacker:damageRateAdd()+(0.2+(attacker:skillLv(22416,22426) or 0)*0.0015-0.0015) or attacker:damageRateAdd() )))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
22412,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
22421,,,"{strike=<setValue(list(""strike""),list((arg.natureFlag==""strong"" and attacker:strike()*10000+2000 or attacker:strike()*10000)))>;buffAdd=<setValue(list(""damageRateAdd""),list((arg.natureFlag==""strong"" and attacker:damageRateAdd()+(0.2+(attacker:skillLv(22416,22426) or 0)*0.0015-0.0015) or attacker:damageRateAdd() )))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
22422,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
23511,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(target:specialDefence(),target:defence()),attacker:specialDefenceIgnore()*10000+300+attacker:level()*3-3,attacker:specialDefenceIgnore()*10000 )))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
23512,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
