变量名,sceneName,sceneName_tw,sceneName_en,sceneName_vn,sceneName_kr,sceneName_pt,sceneName_th,_beizhu,monsters,boss,icon,gateType,sceneType,sceneCount,roundLimit,deployType,deployCardNumLimit,deployNum,deployNatureLimit,backMusic,backGround,bg_boss,bg_boss_pos,ownerId,onlyClassify,openLevel,preGateID,stars,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,dayChallengeMax,staminaCost,cardExp,roleExp,dropIds,gold,desc,desc_tw,desc_en,desc_vn,desc_kr,sandangAward,worldLevelSaodangAward,forbidMarkID,winAward,star3Award,kssdFlag,chestAward,pos,awardPos,frontWay,monsterRange,finishPoint,isWheel,isQuickSweep,tag
14,跨服石英大会,跨服石英大會,Global Indigo Plateau Conference,Indigo Plateau Conference Liên Server,글로벌 석영 대회,Conferência do Planalto Índigo Inter-servidor,การประชุมที่ราบสูงอินดิโกข้ามเซิร์ฟเวอร์,,<>,<>,,14,1,5,10,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_jjc.jpg,,{y=70;x=0},,,1,,<>,99,1,1,,,,9999,1,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{ceCorrectTakeEffect=true;pvpAttrTakeEffect=true}
17,跨服竞技场关卡,跨服競技場關卡,Cross-server Arena Stage,Giai đoạn Đấu trường Liên server,크로스 서버 아레나 스테이지,Estágio da Arena Inter-servidor,ด่านอารีน่าข้ามเซิร์ฟเวอร์,,<>,<>,,17,1,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_kfjjc.png,,{y=70;x=0},,,1,,<>,99,1,1,,,,9999,0,0,0,{},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{ceCorrectTakeEffect=true;pvpAttrTakeEffect=true}
19,道馆馆主,道館館主,Gym Leader,Thủ lĩnh Nhà thi đấu,체육관 관장,Líder de Ginásio,ยิมลีดเดอร์,,<>,<>,,19,1,1,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_jjc.jpg,,{y=70;x=0},,,1,,<>,99,1,1,,,,9999,0,0,0,{},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{ceCorrectTakeEffect=true;pvpAttrTakeEffect=true}
20,跨服道馆,跨服道館,Cross-server Gym,Nhà thi đấu Liên server,크로스 서버 체육관,Ginásio Inter-servidor,ยิมข้ามเซิร์ฟเวอร์,,<>,<>,,20,1,1,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_jjc.jpg,,{y=70;x=0},,,1,,<>,99,1,1,,,,9999,0,0,0,{},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{ceCorrectTakeEffect=true;pvpAttrTakeEffect=true}
21,跨服实时对战,跨服即時對戰,Cross-server Real-time Battle,Giao đấu Thời gian thực Liên server,크로스 서버 실시간 대전,Batalha em Tempo Real Inter-servidor,การต่อสู้เรียลไทม์ข้ามเซิร์ฟเวอร์,,<>,<>,,21,1,1,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_dzjjc.png,,{y=70;x=0},,,1,,<>,99,1,1,,,,9999,0,0,0,{},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{ceCorrectTakeEffect=true;pvpAttrTakeEffect=true}
22,活动Boss,活動Boss,Event Boss,Boss Sự kiện,이벤트 보스,Chefe de Evento,บอสกิจกรรม,,<>,<>,,22,22,1,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_city.jpg,,{y=70;x=0},,,1,,<>,99,1,1,,,,9999,1,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
23,跨服资源战pvp,跨服資源戰PVP,Cross-server Resource War PvP,PvP Chiến tranh Tài nguyên Liên server,크로스 서버 자원전 PvP,Guerra de Recursos PvP Inter-servidor,PvP สงครามทรัพยากรข้ามเซิร์ฟเวอร์,,<>,<>,,23,17,3,10,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_jjc.jpg,,{y=70;x=0},,,1,,<>,99,1,1,,,,9999,1,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{ceCorrectTakeEffect=true;pvpAttrTakeEffect=true}
25,周年庆副本,週年慶副本,Anniversary Dungeon,Phó bản Kỷ niệm,주년 기념 던전,Masmorra de Aniversário,ดันเจี้ยนฉลองครบรอบ,,<>,<>,,25,25,1,10,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_city.jpg,,{y=70;x=0},,,1,,<>,99,1,1,,,,9999,1,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
26,远征玩法,遠征玩法,Expedition Mode,Chế độ Viễn chinh,원정 모드,Modo Expedição,โหมดสำรวจ,,<>,<>,,26,26,1,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_city.jpg,,{y=70;x=0},,,1,,<>,99,1,1,,,,9999,1,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
27,夏日挑战,夏日挑戰,Summer Challenge,Thử thách Mùa hè,여름 챌린지,Desafio de Verão,การท้าทายฤดูร้อน,,<>,<>,,27,27,1,10,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_city.jpg,,{y=70;x=0},,,1,,<>,99,1,1,,,,9999,1,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
28,跨服公会战,跨服公會戰,Cross-server Guild War,Chiến tranh Bang hội Liên server,크로스 서버 길드전,Guerra de Guildas Inter-servidor,สงครามกิลด์ข้ามเซิร์ฟเวอร์,,<>,<>,,28,28,1,10,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_city.jpg,,{y=70;x=0},,,1,,<>,99,1,1,,,,9999,1,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{ceCorrectTakeEffect=true;pvpAttrTakeEffect=true}
29,世界锦标赛,世界錦標賽,World Championship,Giải Vô địch Thế giới,월드 챔피언십,Campeonato Mundial,การแข่งขันชิงแชมป์โลก,,<>,<>,,29,29,1,10,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_city.jpg,,{y=70;x=0},,,1,,<>,99,1,1,,,,9999,1,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{ceCorrectTakeEffect=true;pvpAttrTakeEffect=true}
1000,妙蛙花,妙蛙花,Venusaur,Venusaur,이상해꽃,Venusaur,ฟุชิกิบานะ,,<>,<>,config/portrait/jinglingtouxiang1/img_3_mwh@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_grass.jpg,config/big_hero/normal/img_3_mwh@.png,{y=0;x=0},,,1,,<>,20,100,100,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1001,喷火龙,噴火龍,Charizard,Charizard,리자몽,Charizard,ลิซาร์ดอน,,<>,<>,config/portrait/jinglingtouxiang1/img_6_phl@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_night.jpg,config/big_hero/normal/img_6_phl@.png,{y=0;x=0},,,1,1000,<>,30,150,150,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1002,水箭龟,水箭龜,Blastoise,Blastoise,거북왕,Blastoise,คาเม็กซ์,,<>,<>,config/portrait/jinglingtouxiang1/img_9_sjg@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_tower.jpg,config/big_hero/normal/img_9_sjg@.png,{y=0;x=0},,,1,1001,<>,40,200,200,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1003,胡地,胡地,Alakazam,Alakazam,후딘,Alakazam,ฟูดิน,,<>,<>,config/portrait/jinglingtouxiang1/img_65_hd@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_sd.jpg,config/big_hero/normal/img_65_hd@.png,{y=0;x=0},,,1,1002,<>,50,250,250,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1004,妖火红狐,妖火紅狐,Delphox,Delphox,마폭시,Delphox,มาฟ็อกซี,,<>,<>,config/portrait/jinglingtouxiang1/img_655_yhhh@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_red.jpg,config/big_hero/normal/img_655_yhhh@.png,{y=0;x=0},,,1,1003,<>,60,300,300,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1005,甲贺忍蛙,甲賀忍蛙,Greninja,Greninja,개굴닌자,Greninja,เก็คโคกะ,,<>,<>,config/portrait/jinglingtouxiang1/img_658_jhrw@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_grass.jpg,config/big_hero/normal/img_658_jhrw@.png,{y=0;x=0},,,1,1004,<>,70,350,350,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1006,电击魔兽,電擊魔獸,Electivire,Electivire,에레키블,Electivire,เอเลคิเบิล,,<>,<>,config/portrait/jinglingtouxiang1/img_466_djms@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_night.jpg,config/big_hero/normal/img_466_djms@.png,{y=0;x=0},,,1,1005,<>,80,400,400,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1007,耿鬼,耿鬼,Gengar,Gengar,팬텀,Gengar,เก็งการ์,,<>,<>,config/portrait/jinglingtouxiang1/img_94_gg@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_tower.jpg,config/big_hero/normal/img_94_gg@.png,{y=0;x=0},,,1,1006,<>,90,450,450,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1008,暴鲤龙,暴鯉龍,Gyarados,Gyarados,갸라도스,Gyarados,เกียราดอส,,<>,<>,config/portrait/jinglingtouxiang1/img_130_bll@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_sd.jpg,config/big_hero/normal/img_130_bll@.png,{y=0;x=0},,,1,1007,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1009,快龙,快龍,Dragonite,Dragonite,망나뇽,Dragonite,ไคริว,,<>,<>,config/portrait/jinglingtouxiang1/img_149_kl@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_red.jpg,config/big_hero/normal/img_149_kl@.png,{y=0;x=0},,,1,1008,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1010,急冻鸟,急凍鳥,Articuno,Articuno,프리져,Articuno,ฟรีเซอร์,,<>,<>,config/portrait/jinglingtouxiang1/img_144_jdn@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_grass.jpg,config/big_hero/normal/img_144_jdn@.png,{y=0;x=0},,,1,1009,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1011,闪电鸟,閃電鳥,Zapdos,Zapdos,썬더,Zapdos,ธันเดอร์,,<>,<>,config/portrait/jinglingtouxiang1/img_145_sdn@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_night.jpg,config/big_hero/normal/img_145_sdn@.png,{y=0;x=0},,,1,1010,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1012,火焰鸟,火焰鳥,Moltres,Moltres,파이어,Moltres,ไฟเยอร์,,<>,<>,config/portrait/jinglingtouxiang1/img_146_hyn@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_tower.jpg,config/big_hero/normal/img_146_hyn@.png,{y=0;x=0},,,1,1011,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1013,蜥蜴王,蜥蜴王,Sceptile,Sceptile,나무킹,Sceptile,จูไคน์,,<>,<>,config/portrait/jinglingtouxiang1/img_254_xyw@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_sd.jpg,config/big_hero/normal/img_254_xyw@.png,{y=0;x=0},,,1,1012,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1014,请假王,請假王,Slaking,Slaking,게을킹,Slaking,เค็คคิง,,<>,<>,config/portrait/jinglingtouxiang1/img_289_qjw@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_red.jpg,config/big_hero/normal/img_289_qjw@.png,{y=0;x=0},,,1,1013,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1015,炎武王,炎武王,Emboar,Emboar,염무왕,Emboar,เอ็นบุโอ,,<>,<>,config/portrait/jinglingtouxiang1/img_500_yww@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_grass.jpg,config/big_hero/normal/img_500_yww@.png,{y=0;x=0},,,1,1014,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1016,雷公,雷公,Raikou,Raikou,라이코,Raikou,ไรโค,,<>,<>,config/portrait/jinglingtouxiang1/img_243_lg@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_night.jpg,config/big_hero/normal/img_243_lg@.png,{y=0;x=0},,,1,1015,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1017,炎帝,炎帝,Entei,Entei,앤테이,Entei,เอ็นเต้,,<>,<>,config/portrait/jinglingtouxiang1/img_244_yd@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_tower.jpg,config/big_hero/normal/img_244_yd@.png,{y=0;x=0},,,1,1016,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1018,水君,水君,Suicune,Suicune,스이쿤,Suicune,ซุยคูน,,<>,<>,config/portrait/jinglingtouxiang1/img_245_sj@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_sd.jpg,config/big_hero/normal/img_245_sj@.png,{y=0;x=0},,,1,1017,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1019,梦幻,夢幻,Mew,Mew,뮤,Mew,มิว,,<>,<>,config/portrait/jinglingtouxiang1/img_151_mh@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_red.jpg,config/big_hero/normal/img_151_mh@.png,{y=0;x=0},,,1,1018,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1020,超梦,超夢,Mewtwo,Mewtwo,뮤츠,Mewtwo,มิวทู,,<>,<>,config/portrait/jinglingtouxiang1/img_150_cm@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_night.jpg,config/big_hero/normal/img_150_cm@.png,{y=0;x=0},,,1,1019,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1021,自爆磁怪,自爆磁怪,Magnezone,Magnezone,자포코일,Magnezone,จิบะคอยล์,,<>,<>,config/portrait/jinglingtouxiang1/img_462_zbcg@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_tower.jpg,config/big_hero/normal/img_462_zbcg@.png,{y=0;x=0},,,1,1020,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1022,超甲狂犀,超甲狂犀,Rhyperior,Rhyperior,거대코뿌리,Rhyperior,โดไซดอน,,<>,<>,config/portrait/jinglingtouxiang1/img_464_cjkx@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_sd.jpg,config/big_hero/normal/img_464_cjkx@.png,{y=0;x=0},,,1,1021,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1023,巨钳螳螂,巨鉗螳螂,Scizor,Scizor,핫삼,Scizor,ฮัสซัม,,<>,<>,config/portrait/jinglingtouxiang1/img_212_jqtl@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_red.jpg,config/big_hero/normal/img_212_jqtl@.png,{y=0;x=0},,,1,1022,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1024,鸭嘴炎兽,鴨嘴炎獸,Magmortar,Magmortar,마그마번,Magmortar,บูเบิร์น,,<>,<>,config/portrait/jinglingtouxiang1/img_467_yzys@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_night.jpg,config/big_hero/normal/img_467_yzys@.png,{y=0;x=0},,,1,1023,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1025,电龙,電龍,Ampharos,Ampharos,전룡,Ampharos,เด็นริว,,<>,<>,config/portrait/jinglingtouxiang1/img_181_dl@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_tower.jpg,config/big_hero/normal/img_181_dl@.png,{y=0;x=0},,,1,1024,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1026,赫拉克罗斯,赫拉克羅斯,Heracross,Heracross,헤라크로스,Heracross,เฮราครอส,,<>,<>,config/portrait/jinglingtouxiang1/img_214_hlkls@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_sd.jpg,config/big_hero/normal/img_214_hlkls@.png,{y=0;x=0},,,1,1025,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1027,玛狃拉,瑪狃拉,Weavile,Weavile,포푸니라,Weavile,มานิวลา,,<>,<>,config/portrait/jinglingtouxiang1/img_461_mnl@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_red.jpg,config/big_hero/normal/img_461_mnl@.png,{y=0;x=0},,,1,1026,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
1028,黑鲁加,黑魯加,Houndoom,Houndoom,헬가,Houndoom,เฮลการ์,,<>,<>,config/portrait/jinglingtouxiang1/img_229_hlj@.png,6,21,1,5,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_night.jpg,config/big_hero/normal/img_229_hlj@.png,{y=0;x=0},,,1,1027,<>,100,500,500,,,,3,0,0,0,{510=0;gold=iconNumLittle=0;511=0},0,,,,,,{},{},,{},{},0,{},{y=0;x=0},,,{},,FALSE,0,{}
