变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20,costItemMap21,costItemMap22,costItemMap23,costItemMap24
默认值,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
ID,强化消耗序列1,强化消耗序列2,强化消耗序列3,强化消耗序列4,强化消耗序列5,强化消耗序列6,强化消耗序列7,强化消耗序列8,强化消耗序列9,强化消耗序列10,强化消耗序列11,强化消耗序列12,强化消耗序列13,强化消耗序列14,强化消耗序列15,强化消耗序列16,强化消耗序列17,强化消耗序列18,强化消耗序列19,强化消耗序列20,强化消耗序列21,强化消耗序列22,强化消耗序列23,强化消耗序列24
1,{850=36;gold=7200},{850=36;gold=7200},{850=54;gold=10800},{851=27;gold=6000},{851=33;gold=9000},{851=41;gold=10800},{850=44;gold=8640},{850=44;gold=8640},{850=65;gold=12960},{851=33;gold=7200},{851=39;gold=10800},{851=49;gold=12960},{850=22;gold=4320},{850=22;gold=4320},{850=33;gold=6480},{851=17;gold=3600},{851=20;gold=5400},{851=25;gold=6480},{850=29;gold=5760},{850=29;gold=5760},{850=44;gold=8640},{851=22;gold=4800},{851=26;gold=7200},{851=33;gold=8640}
17,{850=228;gold=312000},{850=228;gold=312000},{850=342;gold=468000},{851=171;gold=260000},{851=206;gold=390000},{851=257;gold=468000},{850=274;gold=374400},{850=274;gold=374400},{850=411;gold=561600},{851=206;gold=312000},{851=247;gold=468000},{851=308;gold=561600},{850=137;gold=187200},{850=137;gold=187200},{850=206;gold=280800},{851=103;gold=156000},{851=124;gold=234000},{851=154;gold=280800},{850=183;gold=249600},{850=183;gold=249600},{850=274;gold=374400},{851=137;gold=208000},{851=165;gold=312000},{851=206;gold=374400}
18,{850=252;gold=360000},{850=252;gold=360000},{850=378;gold=540000},{851=189;gold=300000},{851=227;gold=450000},{851=284;gold=540000},{850=303;gold=432000},{850=303;gold=432000},{850=454;gold=648000},{851=227;gold=360000},{851=273;gold=540000},{851=341;gold=648000},{850=152;gold=216000},{850=152;gold=216000},{850=227;gold=324000},{851=114;gold=180000},{851=137;gold=270000},{851=171;gold=324000},{850=202;gold=288000},{850=202;gold=288000},{850=303;gold=432000},{851=152;gold=240000},{851=182;gold=360000},{851=227;gold=432000}
19,{850=276;gold=420000},{850=276;gold=420000},{850=414;gold=630000},{851=207;gold=350000},{851=249;gold=525000},{851=311;gold=630000},{850=332;gold=504000},{850=332;gold=504000},{850=497;gold=756000},{851=249;gold=420000},{851=299;gold=630000},{851=373;gold=756000},{850=166;gold=252000},{850=166;gold=252000},{850=249;gold=378000},{851=125;gold=210000},{851=150;gold=315000},{851=187;gold=378000},{850=221;gold=336000},{850=221;gold=336000},{850=332;gold=504000},{851=166;gold=280000},{851=199;gold=420000},{851=249;gold=504000}
20,{850=300;gold=480000},{850=300;gold=480000},{850=450;gold=720000},{851=225;gold=400000},{851=270;gold=600000},{851=338;gold=720000},{850=360;gold=576000},{850=360;gold=576000},{850=540;gold=864000},{851=270;gold=480000},{851=324;gold=720000},{851=405;gold=864000},{850=180;gold=288000},{850=180;gold=288000},{850=270;gold=432000},{851=135;gold=240000},{851=162;gold=360000},{851=203;gold=432000},{850=240;gold=384000},{850=240;gold=384000},{850=360;gold=576000},{851=180;gold=320000},{851=216;gold=480000},{851=270;gold=576000}
21,{850=330;gold=528000},{850=330;gold=528000},{850=495;gold=792000},{851=248;gold=440000},{851=297;gold=660000},{851=372;gold=792000},{850=396;gold=633600},{850=396;gold=633600},{850=594;gold=950400},{851=297;gold=528000},{851=356;gold=792000},{851=446;gold=950400},{850=198;gold=316800},{850=198;gold=316800},{850=297;gold=475200},{851=149;gold=264000},{851=178;gold=396000},{851=223;gold=475200},{850=264;gold=422400},{850=264;gold=422400},{850=396;gold=633600},{851=198;gold=352000},{851=238;gold=528000},{851=297;gold=633600}
22,{850=363;gold=580800},{850=363;gold=580800},{850=545;gold=871200},{851=273;gold=484000},{851=327;gold=726000},{851=409;gold=871200},{850=436;gold=696960},{850=436;gold=696960},{850=653;gold=1045440},{851=327;gold=580800},{851=392;gold=871200},{851=491;gold=1045440},{850=218;gold=348480},{850=218;gold=348480},{850=327;gold=522720},{851=164;gold=290400},{851=196;gold=435600},{851=245;gold=522720},{850=290;gold=464640},{850=290;gold=464640},{850=436;gold=696960},{851=218;gold=387200},{851=262;gold=580800},{851=327;gold=696960}
23,{850=399;gold=638880},{850=399;gold=638880},{850=600;gold=958320},{851=300;gold=532400},{851=360;gold=798600},{851=450;gold=958320},{850=480;gold=766656},{850=480;gold=766656},{850=718;gold=1149984},{851=360;gold=638880},{851=431;gold=958320},{851=540;gold=1149984},{850=240;gold=383328},{850=240;gold=383328},{850=360;gold=574992},{851=180;gold=319440},{851=216;gold=479160},{851=270;gold=574992},{850=319;gold=511104},{850=319;gold=511104},{850=480;gold=766656},{851=240;gold=425920},{851=288;gold=638880},{851=360;gold=766656}
24,{850=439;gold=702768},{850=439;gold=702768},{850=660;gold=1054152},{851=330;gold=585640},{851=396;gold=878460},{851=495;gold=1054152},{850=528;gold=843322},{850=528;gold=843322},{850=790;gold=1264982},{851=396;gold=702768},{851=474;gold=1054152},{851=594;gold=1264982},{850=264;gold=421661},{850=264;gold=421661},{850=396;gold=632491},{851=198;gold=351384},{851=238;gold=527076},{851=297;gold=632491},{850=351;gold=562214},{850=351;gold=562214},{850=528;gold=843322},{851=264;gold=468512},{851=317;gold=702768},{851=396;gold=843322}
25,{850=483;gold=773045},{850=483;gold=773045},{850=726;gold=1159567},{851=363;gold=644204},{851=436;gold=966306},{851=545;gold=1159567},{850=581;gold=927654},{850=581;gold=927654},{850=869;gold=1391480},{851=436;gold=773045},{851=521;gold=1159567},{851=653;gold=1391480},{850=290;gold=463827},{850=290;gold=463827},{850=436;gold=695740},{851=218;gold=386522},{851=262;gold=579784},{851=327;gold=695740},{850=386;gold=618435},{850=386;gold=618435},{850=581;gold=927654},{851=290;gold=515363},{851=349;gold=773045},{851=436;gold=927654}
26,{850=531;gold=850350},{850=531;gold=850350},{850=799;gold=1275524},{851=399;gold=708624},{851=480;gold=1062937},{851=600;gold=1275524},{850=639;gold=1020419},{850=639;gold=1020419},{850=956;gold=1530628},{851=480;gold=850350},{851=573;gold=1275524},{851=718;gold=1530628},{850=319;gold=510210},{850=319;gold=510210},{850=480;gold=765314},{851=240;gold=425174},{851=288;gold=637762},{851=360;gold=765314},{850=425;gold=680279},{850=425;gold=680279},{850=639;gold=1020419},{851=319;gold=566899},{851=384;gold=850350},{851=480;gold=1020419}
27,{850=584;gold=935385},{850=584;gold=935385},{850=879;gold=1403076},{851=439;gold=779486},{851=528;gold=1169231},{851=660;gold=1403076},{850=703;gold=1122461},{850=703;gold=1122461},{850=1052;gold=1683691},{851=528;gold=935385},{851=630;gold=1403076},{851=790;gold=1683691},{850=351;gold=561231},{850=351;gold=561231},{850=528;gold=841845},{851=264;gold=467691},{851=317;gold=701538},{851=396;gold=841845},{850=468;gold=748307},{850=468;gold=748307},{850=703;gold=1122461},{851=351;gold=623589},{851=422;gold=935385},{851=528;gold=1122461}
28,{850=642;gold=1028924},{850=642;gold=1028924},{850=967;gold=1543384},{851=483;gold=857435},{851=581;gold=1286154},{851=726;gold=1543384},{850=773;gold=1234707},{850=773;gold=1234707},{850=1157;gold=1852060},{851=581;gold=1028924},{851=693;gold=1543384},{851=869;gold=1852060},{850=386;gold=617354},{850=386;gold=617354},{850=581;gold=926030},{851=290;gold=514460},{851=349;gold=771692},{851=436;gold=926030},{850=515;gold=823138},{850=515;gold=823138},{850=773;gold=1234707},{851=386;gold=685948},{851=464;gold=1028924},{851=581;gold=1234707}
29,{850=706;gold=1131816},{850=706;gold=1131816},{850=1064;gold=1697722},{851=531;gold=943179},{851=639;gold=1414769},{851=799;gold=1697722},{850=850;gold=1358178},{850=850;gold=1358178},{850=1273;gold=2037266},{851=639;gold=1131816},{851=762;gold=1697722},{851=956;gold=2037266},{850=425;gold=679089},{850=425;gold=679089},{850=639;gold=1018633},{851=319;gold=565906},{851=384;gold=848861},{851=480;gold=1018633},{850=567;gold=905452},{850=567;gold=905452},{850=850;gold=1358178},{851=425;gold=754543},{851=510;gold=1131816},{851=639;gold=1358178}
30,{850=777;gold=1244998},{850=777;gold=1244998},{850=1170;gold=1867494},{851=584;gold=1037497},{851=703;gold=1556246},{851=879;gold=1867494},{850=935;gold=1493996},{850=935;gold=1493996},{850=1400;gold=2240993},{851=703;gold=1244998},{851=838;gold=1867494},{851=1052;gold=2240993},{850=468;gold=746998},{850=468;gold=746998},{850=703;gold=1120496},{851=351;gold=622497},{851=422;gold=933747},{851=528;gold=1120496},{850=624;gold=995997},{850=624;gold=995997},{850=935;gold=1493996},{851=468;gold=829997},{851=561;gold=1244998},{851=703;gold=1493996}
31,{850=855;gold=1369498},{850=855;gold=1369498},{850=1287;gold=2054243},{851=642;gold=1141247},{851=773;gold=1711871},{851=967;gold=2054243},{850=1029;gold=1643396},{850=1029;gold=1643396},{850=1540;gold=2465092},{851=773;gold=1369498},{851=922;gold=2054243},{851=1157;gold=2465092},{850=515;gold=821698},{850=515;gold=821698},{850=773;gold=1232546},{851=386;gold=684747},{851=464;gold=1027122},{851=581;gold=1232546},{850=686;gold=1095597},{850=686;gold=1095597},{850=1029;gold=1643396},{851=515;gold=912997},{851=617;gold=1369498},{851=773;gold=1643396}
32,{850=941;gold=1506448},{850=941;gold=1506448},{850=1416;gold=2259667},{851=706;gold=1255372},{851=850;gold=1883058},{851=1064;gold=2259667},{850=1132;gold=1807736},{850=1132;gold=1807736},{850=1694;gold=2711601},{851=850;gold=1506448},{851=1014;gold=2259667},{851=1273;gold=2711601},{850=567;gold=903868},{850=567;gold=903868},{850=850;gold=1355801},{851=425;gold=753222},{851=510;gold=1129834},{851=639;gold=1355801},{850=755;gold=1205157},{850=755;gold=1205157},{850=1132;gold=1807736},{851=567;gold=1004297},{851=679;gold=1506448},{851=850;gold=1807736}
33,{850=1035;gold=1657093},{850=1035;gold=1657093},{850=1558;gold=2485634},{851=777;gold=1380909},{851=935;gold=2071364},{851=1170;gold=2485634},{850=1245;gold=1988510},{850=1245;gold=1988510},{850=1863;gold=2982761},{851=935;gold=1657093},{851=1115;gold=2485634},{851=1400;gold=2982761},{850=624;gold=994255},{850=624;gold=994255},{850=935;gold=1491381},{851=468;gold=828544},{851=561;gold=1242817},{851=703;gold=1491381},{850=831;gold=1325673},{850=831;gold=1325673},{850=1245;gold=1988510},{851=624;gold=1104727},{851=747;gold=1657093},{851=935;gold=1988510}
34,{850=1139;gold=1822802},{850=1139;gold=1822802},{850=1714;gold=2734197},{851=855;gold=1519000},{851=1029;gold=2278500},{851=1287;gold=2734197},{850=1370;gold=2187361},{850=1370;gold=2187361},{850=2049;gold=3281037},{851=1029;gold=1822802},{851=1227;gold=2734197},{851=1540;gold=3281037},{850=686;gold=1093681},{850=686;gold=1093681},{850=1029;gold=1640519},{851=515;gold=911398},{851=617;gold=1367099},{851=773;gold=1640519},{850=914;gold=1458240},{850=914;gold=1458240},{850=1370;gold=2187361},{851=686;gold=1215200},{851=822;gold=1822802},{851=1029;gold=2187361}
35,{850=1253;gold=2005082},{850=1253;gold=2005082},{850=1885;gold=3007617},{851=941;gold=1670900},{851=1132;gold=2506350},{851=1416;gold=3007617},{850=1507;gold=2406097},{850=1507;gold=2406097},{850=2254;gold=3609141},{851=1132;gold=2005082},{851=1350;gold=3007617},{851=1694;gold=3609141},{850=755;gold=1203049},{850=755;gold=1203049},{850=1132;gold=1804571},{851=567;gold=1002538},{851=679;gold=1503809},{851=850;gold=1804571},{850=1005;gold=1604064},{850=1005;gold=1604064},{850=1507;gold=2406097},{851=755;gold=1336720},{851=904;gold=2005082},{851=1132;gold=2406097}
36,{850=1378;gold=2205590},{850=1378;gold=2205590},{850=2074;gold=3308379},{851=1035;gold=1837990},{851=1245;gold=2756985},{851=1558;gold=3308379},{850=1658;gold=2646707},{850=1658;gold=2646707},{850=2479;gold=3970055},{851=1245;gold=2205590},{851=1485;gold=3308379},{851=1863;gold=3970055},{850=831;gold=1323354},{850=831;gold=1323354},{850=1245;gold=1985028},{851=624;gold=1102792},{851=747;gold=1654190},{851=935;gold=1985028},{850=1106;gold=1764470},{850=1106;gold=1764470},{850=1658;gold=2646707},{851=831;gold=1470392},{851=994;gold=2205590},{851=1245;gold=2646707}
37,{850=1516;gold=2426149},{850=1516;gold=2426149},{850=2281;gold=3639217},{851=1139;gold=2021789},{851=1370;gold=3032684},{851=1714;gold=3639217},{850=1824;gold=2911378},{850=1824;gold=2911378},{850=2727;gold=4367061},{851=1370;gold=2426149},{851=1634;gold=3639217},{851=2049;gold=4367061},{850=914;gold=1455689},{850=914;gold=1455689},{850=1370;gold=2183531},{851=686;gold=1213071},{851=822;gold=1819609},{851=1029;gold=2183531},{850=1217;gold=1940917},{850=1217;gold=1940917},{850=1824;gold=2911378},{851=914;gold=1617431},{851=1093;gold=2426149},{851=1370;gold=2911378}
38,{850=1668;gold=2668764},{850=1668;gold=2668764},{850=2509;gold=4003139},{851=1253;gold=2223968},{851=1507;gold=3335952},{851=1885;gold=4003139},{850=2006;gold=3202516},{850=2006;gold=3202516},{850=3000;gold=4803767},{851=1507;gold=2668764},{851=1797;gold=4003139},{851=2254;gold=4803767},{850=1005;gold=1601258},{850=1005;gold=1601258},{850=1507;gold=2401884},{851=755;gold=1334378},{851=904;gold=2001570},{851=1132;gold=2401884},{850=1339;gold=2135009},{850=1339;gold=2135009},{850=2006;gold=3202516},{851=1005;gold=1779174},{851=1202;gold=2668764},{851=1507;gold=3202516}
39,{850=1835;gold=2935640},{850=1835;gold=2935640},{850=2760;gold=4403453},{851=1378;gold=2446365},{851=1658;gold=3669547},{851=2074;gold=4403453},{850=2207;gold=3522768},{850=2207;gold=3522768},{850=3300;gold=5284144},{851=1658;gold=2935640},{851=1977;gold=4403453},{851=2479;gold=5284144},{850=1106;gold=1761384},{850=1106;gold=1761384},{850=1658;gold=2642072},{851=831;gold=1467816},{851=994;gold=2201727},{851=1245;gold=2642072},{850=1473;gold=2348510},{850=1473;gold=2348510},{850=2207;gold=3522768},{851=1106;gold=1957091},{851=1322;gold=2935640},{851=1658;gold=3522768}
40,{850=2019;gold=3229204},{850=2019;gold=3229204},{850=3036;gold=4843798},{851=1516;gold=2691002},{851=1824;gold=4036502},{851=2281;gold=4843798},{850=2428;gold=3875045},{850=2428;gold=3875045},{850=3630;gold=5812558},{851=1824;gold=3229204},{851=2175;gold=4843798},{851=2727;gold=5812558},{850=1217;gold=1937522},{850=1217;gold=1937522},{850=1824;gold=2906279},{851=914;gold=1614598},{851=1093;gold=2421900},{851=1370;gold=2906279},{850=1620;gold=2583361},{850=1620;gold=2583361},{850=2428;gold=3875045},{851=1217;gold=2152800},{851=1454;gold=3229204},{851=1824;gold=3875045}
41,{850=2221;gold=3552124},{850=2221;gold=3552124},{850=3340;gold=5328178},{851=1668;gold=2960102},{851=2006;gold=4440152},{851=2509;gold=5328178},{850=2671;gold=4262550},{850=2671;gold=4262550},{850=3993;gold=6393814},{851=2006;gold=3552124},{851=2393;gold=5328178},{851=3000;gold=6393814},{850=1339;gold=2131274},{850=1339;gold=2131274},{850=2006;gold=3196907},{851=1005;gold=1776058},{851=1202;gold=2664090},{851=1507;gold=3196907},{850=1782;gold=2841697},{850=1782;gold=2841697},{850=2671;gold=4262550},{851=1339;gold=2368080},{851=1599;gold=3552124},{851=2006;gold=4262550}
42,{850=2443;gold=3907336},{850=2443;gold=3907336},{850=3674;gold=5860996},{851=1835;gold=3256112},{851=2207;gold=4884167},{851=2760;gold=5860996},{850=2938;gold=4688805},{850=2938;gold=4688805},{850=4392;gold=7033195},{851=2207;gold=3907336},{851=2632;gold=5860996},{851=3300;gold=7033195},{850=1473;gold=2344401},{850=1473;gold=2344401},{850=2207;gold=3516598},{851=1106;gold=1953664},{851=1322;gold=2930499},{851=1658;gold=3516598},{850=1960;gold=3125867},{850=1960;gold=3125867},{850=2938;gold=4688805},{851=1473;gold=2604888},{851=1759;gold=3907336},{851=2207;gold=4688805}
43,{850=2687;gold=4298070},{850=2687;gold=4298070},{850=4041;gold=6447096},{851=2019;gold=3581723},{851=2428;gold=5372584},{851=3036;gold=6447096},{850=3232;gold=5157686},{850=3232;gold=5157686},{850=4831;gold=7736515},{851=2428;gold=4298070},{851=2895;gold=6447096},{851=3630;gold=7736515},{850=1620;gold=2578841},{850=1620;gold=2578841},{850=2428;gold=3868258},{851=1217;gold=2149030},{851=1454;gold=3223549},{851=1824;gold=3868258},{850=2156;gold=3438454},{850=2156;gold=3438454},{850=3232;gold=5157686},{851=1620;gold=2865377},{851=1935;gold=4298070},{851=2428;gold=5157686}
44,{850=2956;gold=4727877},{850=2956;gold=4727877},{850=4445;gold=7091806},{851=2221;gold=3939895},{851=2671;gold=5909842},{851=3340;gold=7091806},{850=3555;gold=5673455},{850=3555;gold=5673455},{850=5314;gold=8510167},{851=2671;gold=4727877},{851=3185;gold=7091806},{851=3993;gold=8510167},{850=1782;gold=2836725},{850=1782;gold=2836725},{850=2671;gold=4255084},{851=1339;gold=2363933},{851=1599;gold=3545904},{851=2006;gold=4255084},{850=2372;gold=3782299},{850=2372;gold=3782299},{850=3555;gold=5673455},{851=1782;gold=3151915},{851=2129;gold=4727877},{851=2671;gold=5673455}
45,{850=3252;gold=5200665},{850=3252;gold=5200665},{850=4890;gold=7800987},{851=2443;gold=4333885},{851=2938;gold=6500826},{851=3674;gold=7800987},{850=3911;gold=6240801},{850=3911;gold=6240801},{850=5845;gold=9361184},{851=2938;gold=5200665},{851=3504;gold=7800987},{851=4392;gold=9361184},{850=1960;gold=3120398},{850=1960;gold=3120398},{850=2938;gold=4680592},{851=1473;gold=2600326},{851=1759;gold=3900494},{851=2207;gold=4680592},{850=2609;gold=4160529},{850=2609;gold=4160529},{850=3911;gold=6240801},{851=1960;gold=3467107},{851=2342;gold=5200665},{851=2938;gold=6240801}
