变量名,_beizhu,weight,type,group,res,position,position_tw,position_en,position_vn,position_kr,zOrder,touchSize,scale,action,randLib,unfreezeAward,shape_shifter,baibianRandLib,chattext1,chattext1_tw,chattext1_en,chattext1_vn,chattext1_kr,chattext1_pt,chattext1_th,chattext2,chattext2_tw,chattext2_en,chattext2_vn,chattext2_kr,chattext3,chattext3_tw,chattext3_en,chattext3_vn,chattext3_kr,offPos,overture,activityIds,activityPosition,activityScale,active
9,,10,4,41,zhuchangjing/zjm_mmx.skel,{y=390;x=2190},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,咿呀~！~,(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,{y=40;x=-140},FALSE,<>,{y=0;x=0},2,FALSE
10,,10,4,41,zhuchangjing/zjm_pqlz.skel,{y=235;x=2350},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,略略略~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,{y=0;x=80},TRUE,<100105>,{y=372;x=3617},4,FALSE
11,,10,5,51,zhuchangjing/zjm_dds.skel,{y=300;x=5145},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},12,,2,TRUE,130,{},TRUE,131,呜哇~~~~~~,emmm,emmm,emmm,emmm,emmm,emmm,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,{y=0;x=0},FALSE,<>,{y=0;x=0},2,FALSE
12,,10,6,61,zhuchangjing/zjm_scg.skel,{y=355;x=930},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},12,,2,TRUE,130,{},TRUE,131,wuso！！~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,{y=50;x=-130},FALSE,<>,{y=0;x=0},2,FALSE
13,,10,6,61,zhuchangjing/zjm_trq.skel,{y=580;x=1060},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,(＠_＠;),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,{y=-100;x=-100},FALSE,<>,{y=0;x=0},2,FALSE
14,,10,6,61,zhuchangjing/zjm_xbb.skel,{y=365;x=760},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,(≥﹃≤),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,{y=0;x=-100},FALSE,<>,{y=0;x=0},2,FALSE
15,,10,7,71,zhuchangjing/bitixiong.skel,{y=280;x=776},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},15,{width=80;height=100},2,TRUE,130,{},TRUE,131,噗---,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,{y=60;x=-90},FALSE,<2485>,{y=230;x=2266},2,FALSE
16,,10,8,81,zhuchangjing/bojiaman.skel,{y=272;x=2117},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,{width=90;height=100},2,TRUE,130,{libs=<136>},TRUE,131,BoJia！,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,{y=80;x=80},TRUE,<>,{y=0;x=0},2,FALSE
17,,10,9,91,zhuchangjing/chuanzhuoxiong.skel,{y=470;x=190},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},10,{width=160;height=150},2,TRUE,130,{},TRUE,131,wuso！！~,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,{y=80;x=240},TRUE,<>,{y=0;x=0},2,FALSE
18,,10,10,101,zhuchangjing/daidaishou.skel,{y=340;x=3456},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},11,{width=70;height=80},2.4,TRUE,130,{libs=<136>},TRUE,131,呜哇~~~~~~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,{y=40;x=130},TRUE,<>,{y=0;x=0},2,FALSE
19,,10,8,81,zhuchangjing/haibaoqiu.skel,{y=260;x=1945},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},14,{width=70;height=70},2,TRUE,130,{libs=<136>},TRUE,131,OwOw,(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),{y=40;x=126},TRUE,<>,{y=0;x=0},2,FALSE
20,,10,8,81,zhuchangjing/kabishou2.skel,{y=264;x=1773},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,{width=80;height=120},2,TRUE,130,{libs=<136>},TRUE,131,emmm,(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),{y=30;x=170},TRUE,<>,{y=0;x=0},2,FALSE
21,,10,10,101,zhuchangjing/kedaya.skel,{y=360;x=3276},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},12,{width=70;height=80},2.4,TRUE,130,{libs=<136>},TRUE,131,呱？~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,{y=60;x=-74},FALSE,<>,{y=0;x=0},2,FALSE
22,,10,7,71,zhuchangjing/minibing.skel,{y=531;x=813},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,{width=60;height=60},2,TRUE,130,{},TRUE,131,(≥﹃≤),OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,{y=44;x=-82},FALSE,<2485>,{y=481;x=2303},2,FALSE
23,,10,7,71,zhuchangjing/moqiangrenou.skel,{y=283;x=1180},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},14,{width=100;height=170},2,TRUE,130,{},TRUE,131,(＠_＠;),Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,{y=144;x=56},TRUE,<2485>,{y=233;x=2670},2,FALSE
24,,10,7,71,zhuchangjing/suannaixian.skel,{y=293;x=945},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,{width=100;height=130},2,TRUE,130,{},TRUE,131,咿呀~！~,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,{y=120;x=-90},FALSE,<2485>,{y=243;x=2435},2,FALSE
25,,10,11,111,zhuchangjing/pikaqiu.skel,{y=280;x=3036},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,{width=80;height=120},2,TRUE,130,{},TRUE,131,牛年大吉,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),{y=-20;x=-154},FALSE,<>,{y=0;x=0},2,FALSE
26,,10,11,111,zhuchangjing/miaomiao.skel,{y=283;x=3390},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,{width=80;height=120},2,TRUE,130,{},TRUE,131,阖家欢乐,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),{y=-40;x=-74},FALSE,<>,{y=0;x=0},2,FALSE
27,,10,12,121,zhuchangjingpokmon/wsjzh.skel,{y=300;x=130},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},10,{width=200;height=200},2,TRUE,130,{},FALSE,0,糖果拿来~~,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,{y=0;x=0},FALSE,<>,{y=0;x=0},2,FALSE
28,,10,13,131,zhuchangjing/yiji/pokemon/zhengfupaipai.skel,{y=300;x=160},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},10,{width=200;height=200},2,TRUE,130,{},FALSE,0,bilibili！~,emmm,emmm,emmm,emmm,emmm,emmm,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,{y=0;x=0},FALSE,<>,{y=0;x=0},2,TRUE
29,,10,14,141,zhuchangjing/yiji/pokemon/miaomiao.skel,{y=475;x=560},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,{width=200;height=200},2,TRUE,130,{},FALSE,0,喵~~喵~~！,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,{y=0;x=0},FALSE,<>,{y=0;x=0},2,TRUE
30,,10,15,151,zhuchangjing/yiji/pokemon/mushougong.skel,{y=290;x=1115},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,mus,(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,{y=0;x=-100},FALSE,<>,{y=0;x=0},2,TRUE
31,,10,15,151,zhuchangjing/yiji/pokemon/tengju.skel,{y=270;x=1275},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,{y=0;x=-100},FALSE,<>,{y=0;x=0},2,TRUE
32,,10,15,151,zhuchangjing/yiji/pokemon/shuiyueyu.skel,{y=750;x=1080},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,{width=200;height=200},2,TRUE,130,{},FALSE,0,呀~!~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,{y=0;x=0},FALSE,<>,{y=0;x=0},2,TRUE
33,,10,16,161,zhuchangjing/yiji/pokemon/yiji_leiyanxi.skel,{y=230;x=1640},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,咻~~咻,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,{y=0;x=-100},FALSE,<>,{y=0;x=0},2,TRUE
34,,10,16,161,zhuchangjing/yiji/pokemon/yiji_yantuer.skel,{y=225;x=1840},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,(≥﹃≤),Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,{y=0;x=-100},FALSE,<>,{y=0;x=0},2,TRUE
35,,10,16,161,zhuchangjing/yiji/pokemon/yj_qyh.skel,{y=980;x=1820},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,口袋觉醒~~,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,Happy New Year！,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,{y=0;x=-100},FALSE,<>,{y=0;x=0},2,TRUE
36,,10,17,171,zhuchangjing/yiji/pokemon/butubo.skel,{y=750;x=3850},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,OwOw,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,{y=0;x=-100},FALSE,<>,{y=0;x=0},2,TRUE
37,,10,17,171,zhuchangjing/yiji/pokemon/zcyj_qyh2.skel,{y=275;x=3640},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,口袋觉醒~~,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,Gimme Candy!,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,{y=0;x=-100},FALSE,<>,{y=0;x=0},2,TRUE
38,,10,18,181,zhuchangjing/yiji/pokemon/rsy.skel,{y=265;x=4645},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,口袋觉醒~~,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,{y=0;x=-100},FALSE,<>,{y=0;x=0},2,TRUE
39,,10,18,181,zhuchangjing/yiji/pokemon/dhe.skel,{y=285;x=4815},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,口袋觉醒~~,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,{y=0;x=-100},FALSE,<>,{y=0;x=0},2,TRUE
40,,10,18,181,zhuchangjing/yiji/pokemon/xym.skel,{y=285;x=4955},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,口袋觉醒~~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),{y=0;x=-100},FALSE,<>,{y=0;x=0},2,TRUE
41,,10,19,191,zhuchangjing/yiji/pokemon/yijilioulu.skel,{y=390;x=5585},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,口袋觉醒~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),{y=0;x=-100},FALSE,<>,{y=0;x=0},2,TRUE
42,,10,19,191,zhuchangjing/yiji/pokemon/lukaliou.skel,{y=390;x=5685},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,口袋觉醒~~,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,{y=0;x=-100},FALSE,<>,{y=0;x=0},2,TRUE
43,,10,20,201,zhuchangjing/yiji/pokemon/yijinuannuanzhu.skel,{y=500;x=6045},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,{width=200;height=200},2,TRUE,130,{},FALSE,0,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmmm,emmmm,emmmm,emmmm,emmmm,emmmm,emmmm,emmmm,emmmm,emmmm,{y=0;x=0},FALSE,<>,{y=0;x=0},2,TRUE
1000,,10,1000,10001,zhuchangjing/zjm_mnq1.skel,{y=570;x=1280},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},2,{width=120;height=80},2,FALSE,132,{},TRUE,0,emmm,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,{y=0;x=0},FALSE,<2320>,{y=551;x=463},2,TRUE
1001,,10,1000,10002,zhuchangjing/zjm_mnq2.skel,{y=1150;x=690},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},2,{width=120;height=120},2,FALSE,132,{},TRUE,0,emmm,(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),{y=0;x=0},FALSE,<>,{y=0;x=0},2,TRUE
1002,,0,1000,10003,zhuchangjing/zjm_mnq3.skel,{y=707;x=3881},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},2,{width=120;height=120},2,FALSE,132,{},TRUE,0,emmm,(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),{y=0;x=0},FALSE,<>,{y=0;x=0},2,TRUE
1003,,10,1000,10004,zhuchangjing/zjm_mnq3.skel,{y=1195;x=1000},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},2,{width=100;height=200},2,FALSE,132,{},TRUE,0,emmm,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,{y=0;x=0},FALSE,<>,{y=0;x=0},2,TRUE
