变量名,treeID,depth,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,iconRate,preTalentIDs,preLevel,costID,levelUp,effectType,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th
108,1,4,输出加成,輸出加成,Damage bonus,Tăng sát thương,공격력 버프,Bônus de dano,โบนัสความเสียหาย,config/card_ability/icon_gj2.png,,<104;105>,3,4,5,1,,18,<3000;4000;5000;6000;8000>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s破抵御率,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s破抵禦率,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase Block Break rate by %s","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s tỷ lệ Phá Chặn",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 저항 무시율 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentam a taxa de Block Break em %s",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มอัตราการบล็อคเบรกเป็น %s
109,1,4,输出加成,輸出加成,Damage bonus,Tăng sát thương,공격력 버프,Bônus de dano,โบนัสความเสียหาย,config/card_ability/icon_gj3.png,,<105;106>,3,4,5,1,,11,<10%;16%;22%;28%;34%>,12,<10%;16%;22%;28%;34%>,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s双防忽视,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s雙防忽視,"In the battle between non-players in this server gym, all the Pokémon on the battlefield increase P. &Sp. DEF ignorance by %s","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s xuyên Phòng thủ vật lý & đặc biệt",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 물리&특수 방어력 무시 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentam a ignorância de P. &Sp. DEF em %s",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มค่าความไม่รู้ P. &Sp. DEF เป็น %s
110,1,4,输出加成,輸出加成,Damage bonus,Tăng sát thương,공격력 버프,Bônus de dano,โบนัสความเสียหาย,config/card_ability/icon_gj4.png,,<106>,3,4,5,1,,29,<2000;2500;3000;3500;5000>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s属性克制,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s屬性克制,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased %s type restraint","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s khắc chế hệ",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 타입 상성 피해 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentaram a restrição do tipo %s",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะมีข้อจำกัดประเภทเพิ่มขึ้น %s
111,1,5,输出加成,輸出加成,Damage bonus,Tăng sát thương,공격력 버프,Bônus de dano,โบนัสความเสียหาย,config/card_ability/icon_gj.png,,<107;108>,3,5,5,2,63001,,,,,,,首次必杀技必然暴击，暴击伤害临时提升$(20+skilllevel*4)$%,首次必殺技必然暴擊，暴擊傷害臨時提升$(20+skilllevel*4)$%,"The first Ultimate Skill must be a critical attack, and Crit damage increase by $(20+skilllevel*4)$% temporarily","Kỹ Năng Cuối đầu tiên chắc chắn là đòn bạo kích, và sát thương Bạo kích tạm thời tăng $(20+skilllevel*4)$%","첫 필살기 발동시 반드시 치명타, 치명타 피해량 잠시 $(20+skilllevel*4)$% 증가","primeira habilidade final deve ser um ataque crítico, e o dano crítico deve aumentar em $(20+nível de habilidade*4)$% temporariamente",ทักษะขั้นสูงสุดแรกจะต้องเป็นการโจมตีคริติคอล และความเสียหายคริติคอลจะเพิ่มขึ้น $(20+ระดับทักษะ*4)$% ชั่วคราว
112,1,5,输出加成,輸出加成,Damage bonus,Tăng sát thương,공격력 버프,Bônus de dano,โบนัสความเสียหาย,config/card_ability/icon_gj.png,,<108;109>,3,5,5,2,63002,,,,,,,战斗首回合开始，额外获得$(250+skilllevel*70)$点怒气,戰鬥首回合開始，額外獲得$(250+skilllevel*70)$點怒氣,"At the first round of the battle, get an extra $(250+skilllevel*70)$ anger","Trong hiệp đầu của trận đấu, nhận thêm $(250+skilllevel*70)$ nộ khí",전투 시작 시 분노치 $(250+skilllevel*70)$ 추가로 획득,"Na primeira rodada da batalha, ganhe $(250+nível de habilidade*70)$ de raiva extra",ในรอบแรกของการต่อสู้ รับความโกรธพิเศษ $(250+ระดับทักษะ*70)$
113,1,5,输出加成,輸出加成,Damage bonus,Tăng sát thương,공격력 버프,Bônus de dano,โบนัสความเสียหาย,config/card_ability/icon_gj.png,,<109;110>,3,5,5,2,63003,,,,,,,每次攻击伤害永久提升$(5+skilllevel*2)$%，可叠加15层,每次攻擊傷害永久提升$(5+skilllevel*2)$%，可疊加15層,"Damage increased by $(5+skilllevel*2)$% for each attack permanently , which can be stacked for 15 times","Sát thương tăng vĩnh viễn $(5+skilllevel*2)$% cho mỗi lần tấn công, có thể cộng dồn 15 lần",공격할 때마다 $(5+skilllevel*2)$%씩 증가한다. 최대 중첩 수: 15,"Dano aumentado em $(5+nível de habilidade*2)$% para cada ataque permanentemente, que pode ser acumulado 15 vezes",ความเสียหายเพิ่มขึ้น $(5+ระดับทักษะ*2)$% สำหรับการโจมตีแต่ละครั้งอย่างถาวร ซึ่งสามารถซ้อนกันได้ 15 ครั้ง
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2,1,防守加成,防守加成,Defense bonus,Tăng phòng thủ,방어력 버프,Bônus de defesa,โบนัสการป้องกัน,config/card_ability/icon_fy_1.png,,,,1,5,1,,9,<4%;8%;12%;16%;20%>,10,<4%;8%;12%;16%;20%>,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s双防,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s雙防,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased %s P. & Sp.DEF","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s Phòng thủ vật lý & đặc biệt",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 물리&특수 방어력 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentaram %s P. & Sp.DEF",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะมีค่า P. & Sp.DEF เพิ่มขึ้น %s
202,2,2,防守加成,防守加成,Defense bonus,Tăng phòng thủ,방어력 버프,Bônus de defesa,โบนัสการป้องกัน,config/card_ability/icon_fy1.png,,<201>,2,2,5,1,,1,<3%;6%;9%;12%;15%>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s生命值上限,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s生命值上限,"In the battle between non-players in this service hall, all Pokémon on the battlefield increase the HP upper limit by %s","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s giới hạn HP tối đa",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 최대 HP %s 증가,"Na batalha entre não jogadores neste salão de serviço, todos os Pokémon no campo de batalha aumentam o limite superior de HP em %s",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในห้องบริการนี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มขีดจำกัด HP สูงสุดเป็น %s
203,2,2,防守加成,防守加成,Defense bonus,Tăng phòng thủ,방어력 버프,Bônus de defesa,โบนัสการป้องกัน,config/card_ability/icon_fy2.png,,<201>,2,2,5,1,,23,<300;600;900;1200;1500>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s伤害减免,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s傷害減免,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase %s damage reduction","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s giảm sát thương",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 피해 감소 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentam %s de redução de dano",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มการลดความเสียหาย %s
204,2,3,防守加成,防守加成,Defense bonus,Tăng phòng thủ,방어력 버프,Bônus de defesa,โบนัสการป้องกัน,config/card_ability/icon_fy1.png,,<202>,2,3,5,1,,17,<400;800;1200;1600;2000>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s抵御率,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s抵禦率,"In the battle between non-playersin this server gym, all Pokémon on the battlefield increase their Block rate by %s","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s tỷ lệ Chặn đòn",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 저항률 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentam sua taxa de bloqueio em %s",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มอัตราบล็อคเป็น %s
205,2,3,防守加成,防守加成,Defense bonus,Tăng phòng thủ,방어력 버프,Bônus de defesa,โบนัสการป้องกัน,config/card_ability/icon_fy2.png,,<202;203>,2,3,5,1,,27,<400;800;1200;1600;2000>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s反弹率,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s反彈率,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their DMG reflection rate by %s","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s tỷ lệ phản đòn sát thương",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 반사율 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentam sua taxa de reflexão de DMG em %s",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มอัตราการสะท้อน DMG เป็น %s
206,2,3,防守加成,防守加成,Defense bonus,Tăng phòng thủ,방어력 버프,Bônus de defesa,โบนัสการป้องกัน,config/card_ability/icon_fy3.png,,<203>,2,3,5,1,,25,<400;800;1200;1600;2000>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s必杀伤害抗性,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s必殺傷害抗性,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase the Ult Skill DMG resistance by %s.","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s Kháng sát thương Kỹ Năng Cuối.",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 필사기 피해 저항 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentam a resistência a DANO da Habilidade Suprema em %s.",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มความต้านทานความเสียหายจากทักษะอัลติเมทเป็น %s
207,2,4,防守加成,防守加成,Defense bonus,Tăng phòng thủ,방어력 버프,Bônus de defesa,โบนัสการป้องกัน,config/card_ability/icon_fy1.png,,<204>,3,4,5,1,,17,<800;1400;2000;2600;3200>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s抵御强度,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s抵禦強度,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their Block Intensity by %s","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s Cường độ Chặn đòn",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 저항 강도 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentam sua Intensidade de Bloqueio em %s",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มความเข้มข้นของการบล็อกเป็น %s
208,2,4,防守加成,防守加成,Defense bonus,Tăng phòng thủ,방어력 버프,Bônus de defesa,โบนัสการป้องกัน,config/card_ability/icon_fy2.png,,<204;205>,3,4,5,1,,9,<8%;14%;20%;26%;32%>,10,<8%;14%;20%;26%;32%>,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s双防,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s雙防,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased %s P. & Sp.DEF","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s Phòng thủ vật lý & đặc biệt",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 물리&특수 방어력 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentaram %s P. & Sp.DEF",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะมีค่า P. & Sp.DEF เพิ่มขึ้น %s
209,2,4,防守加成,防守加成,Defense bonus,Tăng phòng thủ,방어력 버프,Bônus de defesa,โบนัสการป้องกัน,config/card_ability/icon_fy3.png,,<205;206>,3,4,5,1,,1,<6%;10%;14%;18%;22%>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s生命值上限,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s生命值上限,"In the battle between non-players in this service hall, all Pokémon on the battlefield increase the HP upper limit by %s","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s giới hạn HP tối đa",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 최대 HP %s 증가,"Na batalha entre não jogadores neste salão de serviço, todos os Pokémon no campo de batalha aumentam o limite superior de HP em %s",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในห้องบริการนี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มขีดจำกัด HP สูงสุดเป็น %s
210,2,4,防守加成,防守加成,Defense bonus,Tăng phòng thủ,방어력 버프,Bônus de defesa,โบนัสการป้องกัน,config/card_ability/icon_fy1.png,,<206>,3,4,5,1,,16,<1000;1600;2200;2800;3400>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s暴击抗性,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s暴擊抗性,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased their Crit resistance by %s","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s Kháng Bạo kích",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 치명타 내성 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentaram sua resistência a Crítico em %s",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะมีค่าต้านทานคริติคอลเพิ่มขึ้น %s
211,2,5,防守加成,防守加成,Defense bonus,Tăng phòng thủ,방어력 버프,Bônus de defesa,โบนัสการป้องกัน,config/card_ability/icon_fy.png,,<207;208>,3,5,5,2,63011,,,,,,,开局获得血量上限$(30+skilllevel*5)$%护盾2回合,開局獲得血量上限$(30+skilllevel*5)$%護盾2回合,Get a shield at the start of battle for the amount of  $(30+skilllevel*5)$% HP limit for 2 rounds,"Khi bắt đầu trận đấu, nhận một khiên có giá trị bằng $(30+skilllevel*5)$% giới hạn HP, kéo dài 2 lượt","전투 시작 시 최대 HP $(30+skilllevel*5)$% 획득, 실드 지속 시간: 2턴",Obtenha um escudo no início da batalha pela quantidade deLimite de HP de $(30+nível de habilidade*5)$% para 2 rodadas,รับโล่ในช่วงเริ่มต้นการต่อสู้เป็นจำนวน(30+ระดับทักษะ*5) ขีดจำกัด HP $% เป็นเวลา 2 รอบ
212,2,5,防守加成,防守加成,Defense bonus,Tăng phòng thủ,방어력 버프,Bônus de defesa,โบนัสการป้องกัน,config/card_ability/icon_fy.png,,<208;209>,3,5,5,2,63012,,,,,,,每个大回合结束恢复己方全体已损失生命值$(15+skilllevel*3)$%生命,每個大回合結束恢復己方全體已損失生命值$(15+skilllevel*3)$%生命,"At the end of each big round, heal all allies by $(15+skilllevel*3)$% of lost HP","Cuối mỗi lượt lớn, hồi máu cho tất cả đồng minh bằng $(15+skilllevel*3)$% HP đã mất",라운드 종료마다 아군 전체가 손실한 HP의 HP$(15+skilllevel*3)$%를 회복한다,"No final de cada rodada grande, cure todos os aliados em $(15+nível de habilidade*3)$% de HP perdido",เมื่อสิ้นสุดแต่ละรอบใหญ่ รักษาพันธมิตรทั้งหมดด้วย $(15+ระดับทักษะ*3)$% ของ HP ที่สูญเสียไป
213,2,5,防守加成,防守加成,Defense bonus,Tăng phòng thủ,방어력 버프,Bônus de defesa,โบนัสการป้องกัน,config/card_ability/icon_fy.png,,<209;210>,3,5,5,2,63013,,,,,,,每次受到攻击额外恢复自身$(30+skilllevel*6)$点怒气,每次受到攻擊額外恢復自身$(30+skilllevel*6)$點怒氣,"Each time being attacked, restores an additional $(30+skilllevel*6)$ anger","Mỗi khi bị tấn công, hồi thêm $(30+skilllevel*6)$ nộ khí",공격을 받을 따마다 분노치 $(30+skilllevel*6)$를 추가로 회복한다,"Cada vez que for atacado, restaura $(30+nível de habilidade*6)$ de raiva adicional",ทุกครั้งที่ถูกโจมตี จะฟื้นฟูความโกรธเพิ่มเติม $(30+ระดับทักษะ*6)$
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,3,1,技巧加成,技巧加成,Skill bonus,Tăng kỹ năng,기술 버프,Bônus de habilidade,โบนัสทักษะ,config/card_ability/icon_ty.png,,,,1,5,1,,5,<300;600;900;1200;1500>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s回怒速度,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s回怒速度,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their rage recovery speed by %s","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s tốc độ hồi nộ khí",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 분노 회복 속도 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentam sua velocidade de recuperação de raiva em %s",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มความเร็วในการฟื้นตัวจากความโกรธเป็น %s
