变量名,_beizhu,fragID,cardID,languages
9001,,29001,9001,
9002,,29002,9002,
9003,,29003,9003,
9011,,29011,9011,
9012,,29011,9011,
9013,,29013,9013,
9014,,29013,9011,
9021,,29021,9021,
9041,,29072,9041,
9051,,29073,9051,
9061,,29074,9061,
9071,,29075,9071,
9081,,29076,9081,
9091,,29077,9091,
9101,,29078,9101,
9111,,29079,9111,
9121,,29080,9121,
9131,,29081,9131,
9141,,29082,9141,
9151,,29083,9151,
9161,,29084,9161,
9171,,29085,9171,
9181,,29086,9181,
9191,,29087,9191,
9201,,29088,9201,
9211,,29089,9211,
9221,,29090,9221,
9231,,29091,9231,
