变量名,costTalent1,costGold1,costTalent2,costGold2,costTalent3,costGold3,costTalent4,costGold4,costTalent5,costGold5,costTalent6,costGold6,costTalent7,costGold7,costTalent8,costGold8,costTalent9,costGold9,costTalent10,costGold10,costTalent11,costGold11,costTalent12,costGold12
18,14,900000,14,1350000,15,1350000,24,1350000,15,2700000,24,2700000,25,2700000,34,2700000,24,5000000,25,5000000,34,5000000,25,16960000
19,15,1000000,15,1500000,16,1500000,26,1500000,16,3000000,26,3000000,27,3000000,37,3000000,26,5500000,27,5500000,37,5500000,27,18960000
20,16,1100000,16,1650000,17,1650000,28,1650000,17,3300000,28,3300000,29,3300000,40,3300000,28,6000000,29,6000000,40,6000000,29,20960000
21,17,1200000,17,1800000,18,1800000,30,1800000,18,3600000,30,3600000,31,3600000,43,3600000,30,6500000,31,6500000,43,6500000,31,22960000
22,18,1300000,18,1950000,19,1950000,32,1950000,19,3900000,32,3900000,33,3900000,46,3900000,32,7000000,33,7000000,46,7000000,33,24960000
23,19,1400000,19,2100000,20,2100000,34,2100000,20,4200000,34,4200000,35,4200000,49,4200000,34,7500000,35,7500000,49,7500000,35,26960000
24,20,1500000,20,2250000,21,2250000,36,2250000,21,4500000,36,4500000,37,4500000,52,4500000,36,8000000,37,8000000,52,8000000,37,28960000
25,21,1600000,21,2400000,22,2400000,38,2400000,22,4800000,38,4800000,39,4800000,55,4800000,38,8500000,39,8500000,55,8500000,39,30960000
26,22,1700000,22,2550000,23,2550000,40,2550000,23,5100000,40,5100000,41,5100000,58,5100000,40,9000000,41,9000000,58,9000000,41,32960000
27,23,1800000,23,2700000,24,2700000,42,2700000,24,5400000,42,5400000,43,5400000,61,5400000,42,9500000,43,9500000,61,9500000,43,34960000
28,24,1900000,24,2850000,25,2850000,44,2850000,25,5700000,44,5700000,45,5700000,64,5700000,44,10000000,45,10000000,64,10000000,45,36960000
29,25,2000000,25,3000000,26,3000000,46,3000000,26,6000000,46,6000000,47,6000000,67,6000000,46,10500000,47,10500000,67,10500000,47,38960000
30,26,2100000,26,3150000,27,3150000,48,3150000,27,6300000,48,6300000,49,6300000,70,6300000,48,11000000,49,11000000,70,11000000,49,40960000
31,27,2200000,27,3300000,28,3300000,50,3300000,28,6600000,50,6600000,51,6600000,73,6600000,50,11500000,51,11500000,73,11500000,51,42960000
32,28,2300000,28,3450000,29,3450000,52,3450000,29,6900000,52,6900000,53,6900000,76,6900000,52,12000000,53,12000000,76,12000000,53,44960000
33,29,2400000,29,3600000,30,3600000,54,3600000,30,7200000,54,7200000,55,7200000,79,7200000,54,12500000,55,12500000,79,12500000,55,46960000
34,30,2500000,30,3750000,31,3750000,56,3750000,31,7500000,56,7500000,57,7500000,82,7500000,56,13000000,57,13000000,82,13000000,57,48960000
35,31,2600000,31,3900000,32,3900000,58,3900000,32,7800000,58,7800000,59,7800000,85,7800000,58,13500000,59,13500000,85,13500000,59,50960000
36,32,2700000,32,4050000,33,4050000,60,4050000,33,8100000,60,8100000,61,8100000,88,8100000,60,14000000,61,14000000,88,14000000,61,52960000
37,33,2800000,33,4200000,34,4200000,62,4200000,34,8400000,62,8400000,63,8400000,91,8400000,62,14500000,63,14500000,91,14500000,63,54960000
38,34,2900000,34,4350000,35,4350000,64,4350000,35,8700000,64,8700000,65,8700000,94,8700000,64,15000000,65,15000000,94,15000000,65,56960000
39,35,3000000,35,4500000,36,4500000,66,4500000,36,9000000,66,9000000,67,9000000,97,9000000,66,15500000,67,15500000,97,15500000,67,58960000
40,36,3100000,36,4650000,37,4650000,68,4650000,37,9300000,68,9300000,69,9300000,100,9300000,68,16000000,69,16000000,100,16000000,69,60960000
41,37,3200000,37,4800000,38,4800000,70,4800000,38,9600000,70,9600000,71,9600000,103,9600000,70,16500000,71,16500000,103,16500000,71,62960000
42,38,3300000,38,4950000,39,4950000,72,4950000,39,9900000,72,9900000,73,9900000,106,9900000,72,17000000,73,17000000,106,17000000,73,64960000
43,39,3400000,39,5100000,40,5100000,74,5100000,40,10200000,74,10200000,75,10200000,109,10200000,74,17500000,75,17500000,109,17500000,75,66960000
44,40,3500000,40,5250000,41,5250000,76,5250000,41,10500000,76,10500000,77,10500000,112,10500000,76,18000000,77,18000000,112,18000000,77,68960000
45,41,3600000,41,5400000,42,5400000,78,5400000,42,10800000,78,10800000,79,10800000,115,10800000,78,18500000,79,18500000,115,18500000,79,70960000
46,42,3700000,42,5550000,43,5550000,80,5550000,43,11100000,80,11100000,81,11100000,118,11100000,80,19000000,81,19000000,118,19000000,81,72960000
47,43,3800000,43,5700000,44,5700000,82,5700000,44,11400000,82,11400000,83,11400000,121,11400000,82,19500000,83,19500000,121,19500000,83,74960000
48,44,3900000,44,5850000,45,5850000,84,5850000,45,11700000,84,11700000,85,11700000,124,11700000,84,20000000,85,20000000,124,20000000,85,76960000
49,45,4000000,45,6000000,46,6000000,86,6000000,46,12000000,86,12000000,87,12000000,127,12000000,86,20500000,87,20500000,127,20500000,87,78960000
50,46,4100000,46,6150000,47,6150000,88,6150000,47,12300000,88,12300000,89,12300000,130,12300000,88,21000000,89,21000000,130,21000000,89,80960000
51,47,4200000,47,6300000,48,6300000,90,6300000,48,12600000,90,12600000,91,12600000,133,12600000,90,21500000,91,21500000,133,21500000,91,82960000
52,48,4300000,48,6450000,49,6450000,92,6450000,49,12900000,92,12900000,93,12900000,136,12900000,92,22000000,93,22000000,136,22000000,93,84960000
53,49,4400000,49,6600000,50,6600000,94,6600000,50,13200000,94,13200000,95,13200000,139,13200000,94,22500000,95,22500000,139,22500000,95,86960000
54,50,4500000,50,6750000,51,6750000,96,6750000,51,13500000,96,13500000,97,13500000,142,13500000,96,23000000,97,23000000,142,23000000,97,88960000
55,51,4600000,51,6900000,52,6900000,98,6900000,52,13800000,98,13800000,99,13800000,145,13800000,98,23500000,99,23500000,145,23500000,99,90960000
56,52,4700000,52,7050000,53,7050000,100,7050000,53,14100000,100,14100000,101,14100000,148,14100000,100,24000000,101,24000000,148,24000000,101,92960000
57,53,4800000,53,7200000,54,7200000,102,7200000,54,14400000,102,14400000,103,14400000,151,14400000,102,24500000,103,24500000,151,24500000,103,94960000
58,54,4900000,54,7350000,55,7350000,104,7350000,55,14700000,104,14700000,105,14700000,154,14700000,104,25000000,105,25000000,154,25000000,105,96960000
59,55,5000000,55,7500000,56,7500000,106,7500000,56,15000000,106,15000000,107,15000000,157,15000000,106,25500000,107,25500000,157,25500000,107,98960000
60,56,5100000,56,7650000,57,7650000,108,7650000,57,15300000,108,15300000,109,15300000,160,15300000,108,26000000,109,26000000,160,26000000,109,100960000
61,57,5200000,57,7800000,58,7800000,110,7800000,58,15600000,110,15600000,111,15600000,163,15600000,110,26500000,111,26500000,163,26500000,111,102960000
62,58,5300000,58,7950000,59,7950000,112,7950000,59,15900000,112,15900000,113,15900000,166,15900000,112,27000000,113,27000000,166,27000000,113,104960000
63,59,5400000,59,8100000,60,8100000,114,8100000,60,16200000,114,16200000,115,16200000,169,16200000,114,27500000,115,27500000,169,27500000,115,106960000
64,60,5500000,60,8250000,61,8250000,116,8250000,61,16500000,116,16500000,117,16500000,172,16500000,116,28000000,117,28000000,172,28000000,117,108960000
65,61,5600000,61,8400000,62,8400000,118,8400000,62,16800000,118,16800000,119,16800000,175,16800000,118,28500000,119,28500000,175,28500000,119,110960000
66,62,5700000,62,8550000,63,8550000,120,8550000,63,17100000,120,17100000,121,17100000,178,17100000,120,29000000,121,29000000,178,29000000,121,112960000
67,63,5800000,63,8700000,64,8700000,122,8700000,64,17400000,122,17400000,123,17400000,181,17400000,122,29500000,123,29500000,181,29500000,123,114960000
68,64,5900000,64,8850000,65,8850000,124,8850000,65,17700000,124,17700000,125,17700000,184,17700000,124,30000000,125,30000000,184,30000000,125,116960000
69,65,6000000,65,9000000,66,9000000,126,9000000,66,18000000,126,18000000,127,18000000,187,18000000,126,30500000,127,30500000,187,30500000,127,118960000
70,66,6100000,66,9150000,67,9150000,128,9150000,67,18300000,128,18300000,129,18300000,190,18300000,128,31000000,129,31000000,190,31000000,129,120960000
71,67,6200000,67,9300000,68,9300000,130,9300000,68,18600000,130,18600000,131,18600000,193,18600000,130,31500000,131,31500000,193,31500000,131,122960000
72,68,6300000,68,9450000,69,9450000,132,9450000,69,18900000,132,18900000,133,18900000,196,18900000,132,32000000,133,32000000,196,32000000,133,124960000
73,69,6400000,69,9600000,70,9600000,134,9600000,70,19200000,134,19200000,135,19200000,199,19200000,134,32500000,135,32500000,199,32500000,135,126960000
74,70,6500000,70,9750000,71,9750000,136,9750000,71,19500000,136,19500000,137,19500000,202,19500000,136,33000000,137,33000000,202,33000000,137,128960000
75,71,6600000,71,9900000,72,9900000,138,9900000,72,19800000,138,19800000,139,19800000,205,19800000,138,33500000,139,33500000,205,33500000,139,130960000
76,72,6700000,72,10050000,73,10050000,140,10050000,73,20100000,140,20100000,141,20100000,208,20100000,140,34000000,141,34000000,208,34000000,141,132960000
77,73,6800000,73,10200000,74,10200000,142,10200000,74,20400000,142,20400000,143,20400000,211,20400000,142,34500000,143,34500000,211,34500000,143,134960000
78,74,6900000,74,10350000,75,10350000,144,10350000,75,20700000,144,20700000,145,20700000,214,20700000,144,35000000,145,35000000,214,35000000,145,136960000
79,75,7000000,75,10500000,76,10500000,146,10500000,76,21000000,146,21000000,147,21000000,217,21000000,146,35500000,147,35500000,217,35500000,147,138960000
80,76,7100000,76,10650000,77,10650000,148,10650000,77,21300000,148,21300000,149,21300000,220,21300000,148,36000000,149,36000000,220,36000000,149,140960000
81,77,7200000,77,10800000,78,10800000,150,10800000,78,21600000,150,21600000,151,21600000,223,21600000,150,36500000,151,36500000,223,36500000,151,142960000
82,78,7300000,78,10950000,79,10950000,152,10950000,79,21900000,152,21900000,153,21900000,226,21900000,152,37000000,153,37000000,226,37000000,153,144960000
83,79,7400000,79,11100000,80,11100000,154,11100000,80,22200000,154,22200000,155,22200000,229,22200000,154,37500000,155,37500000,229,37500000,155,146960000
84,80,7500000,80,11250000,81,11250000,156,11250000,81,22500000,156,22500000,157,22500000,232,22500000,156,38000000,157,38000000,232,38000000,157,148960000
85,81,7600000,81,11400000,82,11400000,158,11400000,82,22800000,158,22800000,159,22800000,235,22800000,158,38500000,159,38500000,235,38500000,159,150960000
86,82,7700000,82,11550000,83,11550000,160,11550000,83,23100000,160,23100000,161,23100000,238,23100000,160,39000000,161,39000000,238,39000000,161,152960000
87,83,7800000,83,11700000,84,11700000,162,11700000,84,23400000,162,23400000,163,23400000,241,23400000,162,39500000,163,39500000,241,39500000,163,154960000
88,84,7900000,84,11850000,85,11850000,164,11850000,85,23700000,164,23700000,165,23700000,244,23700000,164,40000000,165,40000000,244,40000000,165,156960000
89,85,8000000,85,12000000,86,12000000,166,12000000,86,24000000,166,24000000,167,24000000,247,24000000,166,40500000,167,40500000,247,40500000,167,158960000
90,86,8100000,86,12150000,87,12150000,168,12150000,87,24300000,168,24300000,169,24300000,250,24300000,168,41000000,169,41000000,250,41000000,169,160960000
91,87,8200000,87,12300000,88,12300000,170,12300000,88,24600000,170,24600000,171,24600000,253,24600000,170,41500000,171,41500000,253,41500000,171,162960000
92,88,8300000,88,12450000,89,12450000,172,12450000,89,24900000,172,24900000,173,24900000,256,24900000,172,42000000,173,42000000,256,42000000,173,164960000
93,89,8400000,89,12600000,90,12600000,174,12600000,90,25200000,174,25200000,175,25200000,259,25200000,174,42500000,175,42500000,259,42500000,175,166960000
94,90,8500000,90,12750000,91,12750000,176,12750000,91,25500000,176,25500000,177,25500000,262,25500000,176,43000000,177,43000000,262,43000000,177,168960000
95,91,8600000,91,12900000,92,12900000,178,12900000,92,25800000,178,25800000,179,25800000,265,25800000,178,43500000,179,43500000,265,43500000,179,170960000
96,92,8700000,92,13050000,93,13050000,180,13050000,93,26100000,180,26100000,181,26100000,268,26100000,180,44000000,181,44000000,268,44000000,181,172960000
97,93,8800000,93,13200000,94,13200000,182,13200000,94,26400000,182,26400000,183,26400000,271,26400000,182,44500000,183,44500000,271,44500000,183,174960000
98,94,8900000,94,13350000,95,13350000,184,13350000,95,26700000,184,26700000,185,26700000,274,26700000,184,45000000,185,45000000,274,45000000,185,176960000
99,95,9000000,95,13500000,96,13500000,186,13500000,96,27000000,186,27000000,187,27000000,277,27000000,186,45500000,187,45500000,277,45500000,187,178960000
100,96,9100000,96,13650000,97,13650000,188,13650000,97,27300000,188,27300000,189,27300000,280,27300000,188,46000000,189,46000000,280,46000000,189,180960000
