变量名,_beizhu,attrType,advance,randomRange1,cost1,randomRange2,cost2
47,,13,15,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
48,,13,16,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
49,,13,17,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
50,,13,18,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
51,,13,19,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
52,,13,20,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
53,,13,21,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
54,,13,22,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
55,,13,23,<<<-3;-1>;60>;<<0;1>;40>>,{451=20},<<<0;2>;85>;<<3;3>;15>>,{452=10}
56,,13,24,<<<-3;-1>;60>;<<0;1>;40>>,{451=20},<<<0;2>;85>;<<3;3>;15>>,{452=10}
57,,13,25,<<<-3;-1>;60>;<<0;1>;40>>,{451=20},<<<0;2>;85>;<<3;3>;15>>,{452=10}
58,,13,26,<<<-3;-1>;60>;<<0;1>;40>>,{451=20},<<<0;2>;85>;<<3;3>;15>>,{452=10}
59,,13,27,<<<-3;-1>;60>;<<0;1>;40>>,{451=20},<<<0;2>;85>;<<3;3>;15>>,{452=10}
60,,13,28,<<<-3;-1>;60>;<<0;1>;40>>,{451=20},<<<0;2>;85>;<<3;3>;15>>,{452=10}
61,,13,29,<<<-3;-1>;60>;<<0;1>;40>>,{451=20},<<<0;2>;85>;<<3;3>;15>>,{452=10}
62,,13,30,<<<-3;-1>;60>;<<0;1>;40>>,{451=20},<<<0;2>;85>;<<3;3>;15>>,{452=10}
63,,13,31,<<<-3;-1>;60>;<<0;1>;40>>,{451=20},<<<0;2>;85>;<<3;3>;15>>,{452=10}
64,,13,32,<<<-3;-1>;60>;<<0;1>;40>>,{451=20},<<<0;2>;85>;<<3;3>;15>>,{452=10}
65,,7,1,<<<-2;13>;100>>,{451=6},<<<3;19>;100>>,{452=3}
66,,7,2,<<<-2;13>;100>>,{451=6},<<<3;19>;100>>,{452=3}
67,,7,3,<<<-4;13>;100>>,{451=6},<<<2;19>;100>>,{452=3}
68,,7,4,<<<-4;13>;100>>,{451=6},<<<2;19>;100>>,{452=3}
69,,7,5,<<<-7;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
70,,7,6,<<<-7;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
71,,7,7,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
72,,7,8,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
73,,7,9,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
74,,7,10,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
75,,7,11,<<<-13;8>;100>>,{451=6},<<<0;19>;100>>,{452=3}
76,,7,12,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
77,,7,13,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
78,,7,14,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
79,,7,15,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
80,,7,16,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
81,,7,17,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
82,,7,18,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
83,,7,19,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
84,,7,20,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
85,,7,21,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
86,,7,22,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
87,,7,23,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
88,,7,24,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
89,,7,25,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
90,,7,26,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
91,,7,27,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
92,,7,28,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
93,,7,29,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
94,,7,30,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
95,,7,31,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
96,,7,32,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
97,,9,1,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
98,,9,2,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
99,,9,3,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
100,,9,4,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
101,,9,5,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
102,,9,6,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
103,,9,7,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
104,,9,8,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
105,,9,9,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
106,,9,10,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
107,,9,11,<<<-5;3>;100>>,{451=6},<<<0;8>;100>>,{452=3}
108,,9,12,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
109,,9,13,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
110,,9,14,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
111,,9,15,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
112,,9,16,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
113,,9,17,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
114,,9,18,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
115,,9,19,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
116,,9,20,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
117,,9,21,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
118,,9,22,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
119,,9,23,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
120,,9,24,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
121,,9,25,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
122,,9,26,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
123,,9,27,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
124,,9,28,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
125,,9,29,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
126,,9,30,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
127,,9,31,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
128,,9,32,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
129,,8,1,<<<-2;13>;100>>,{451=6},<<<3;19>;100>>,{452=3}
130,,8,2,<<<-2;13>;100>>,{451=6},<<<3;19>;100>>,{452=3}
131,,8,3,<<<-4;13>;100>>,{451=6},<<<2;19>;100>>,{452=3}
132,,8,4,<<<-4;13>;100>>,{451=6},<<<2;19>;100>>,{452=3}
133,,8,5,<<<-7;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
134,,8,6,<<<-7;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
135,,8,7,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
136,,8,8,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
137,,8,9,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
138,,8,10,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
139,,8,11,<<<-13;8>;100>>,{451=6},<<<0;19>;100>>,{452=3}
140,,8,12,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
141,,8,13,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
142,,8,14,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
143,,8,15,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
144,,8,16,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
145,,8,17,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
146,,8,18,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
147,,8,19,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
148,,8,20,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
149,,8,21,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
150,,8,22,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
151,,8,23,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
152,,8,24,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
153,,8,25,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
154,,8,26,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
155,,8,27,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
156,,8,28,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
157,,8,29,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
158,,8,30,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
159,,8,31,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
160,,8,32,<<<-13;7>;100>>,{451=20},<<<0;14>;85>;<<15;19>;15>>,{452=10}
161,,10,1,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
162,,10,2,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
163,,10,3,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
164,,10,4,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
165,,10,5,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
166,,10,6,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
167,,10,7,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
168,,10,8,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
169,,10,9,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
170,,10,10,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
171,,10,11,<<<-5;3>;100>>,{451=6},<<<0;8>;100>>,{452=3}
172,,10,12,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
173,,10,13,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
174,,10,14,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
175,,10,15,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
176,,10,16,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
177,,10,17,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
178,,10,18,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
179,,10,19,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
180,,10,20,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
181,,10,21,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
182,,10,22,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
183,,10,23,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
184,,10,24,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
185,,10,25,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
186,,10,26,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
187,,10,27,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
188,,10,28,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
189,,10,29,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
190,,10,30,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
191,,10,31,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
192,,10,32,<<<-5;-1>;60>;<<0;3>;40>>,{451=20},<<<0;5>;75>;<<6;8>;25>>,{452=10}
