变量名,name,_desc,_mark1,_mark2,easyEffectFunc,_effect,_easy,skillTimePos,group,groupPower,ignoreControlVal,immuneBuff,dispelBuff,dispelType,overlayType,overlayLimit,skin,isShow,iconResPath,isIconFrame,effectResPath,effectAniName,effectAniChoose,effectResDelay,effectPos,effectAssignLayer,effectOffsetPos,effectShowOnAttack,onceEffectResPath,onceEffectAniName,onceEffectDelay,onceEffectPos,onceEffectAssignLayer,onceEffectOffsetPos,onceEffectWait,linkEffect,effectOnEnd,holderActionType,textResPath,deepCorrect,triggerPriority,specialVal,specialTarget,ignoreHolder,ignoreCaster,triggerBehaviors,limitTimes,lifeRoundType,lifeTimeEnd,buffshader,waveInherit,craftTriggerLimit,gateLimit,noDelWhenFakeDeath,showExplorer,explorerID,showHeldItem,heldItemID,buffActionEffect,stageArgs,na
14,小火龙,,,,defence,,,2,1303,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_wf_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wfjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
15,小火龙,,,,specialDefence,,,2,1303,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_tf_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tfjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
21,杰尼龟,,,,shield,,,2,11,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_hd.png,1,buff/hudun/hudun.skel,<hudun_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_hd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
22,杰尼龟,,,,defence,,,2,1203,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_wf_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wftg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
23,杰尼龟,,,,specialDefence,,,2,1203,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_tf_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tftg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
24,杰尼龟,,,,defence,,,2,1203,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_wf_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wfjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
25,杰尼龟,,,,specialDefence,,,2,1303,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_tf_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tfjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
26,杰尼龟,,,,specialDefence,,,1,1203,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_tf_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tftg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
391,鬼斯睡眠,,,,sleepy,,,2,22,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_sm.png,0,buff/shuimian/shuimian.skel,<shuimian_loop>,{type=0},0,1,1,{y=-300;x=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_sm.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
392,减特防,,,,specialDefence,,,1,1313,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_tf_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tfjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
393,减特攻,,,,specialDamage,,,1,1312,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_tg_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tgjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
394,降低治疗率,,,,cure,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_jl1.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_jl1.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
395,持续掉血,,,,buffDamage,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,<{damageType=2;processId=15}>,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
396,特攻提升,,,,specialDamage,,,1,1212,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_tg_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tgtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
481,特防降低,,,,specialDefence,,,2,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_tf_down.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tfjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
482,损失血量,,,,buffDamage,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,<{damageType=2;processId=15}>,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
483,减命中,,,,damageHit,,,2,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_mz_down.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_mzdjjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
484,生命恢复,,,,addHP,,,2,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,buff/zhiliao/zhiliao.skel,zhiliao_lv,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_hf.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
485,加特防,,,,specialDefence,,,2,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_tf_up.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tftg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
486,减暴击率,,,,strike,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_bjl_down.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_bjljd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
491,暴击等级提升,,,,strike,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_bjl_up.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_bjltg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
492,忽视物防,,,,defenceIgnore,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
591,加怒,,,,addMp1,,,2,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_nqtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
592,减怒,,,,addMp1,,,2,109,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_nqjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
593,忽视物防,,,,specialDefenceIgnore,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
594,清除忽略物,,,,buff1,,,2,0,101,0,<>,<594>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
595,加暴击伤害,,,,strikeDamage,,,1,0,101,0,<>,<>,<>,2,3,,TRUE,battle/buff_icon/logo_bjsh_up.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_bjshtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1171,灼烧,,,,buffDamage,,,2,1500,101,0,<>,<>,<>,2,5,,TRUE,battle/buff_icon/logo_zs.png,0,buff/zhuoshao/zhuoshao.skel,<zhuoshao_loop_top>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_zs1.png,12,,<{damageType=2;processId=15}>,,0,0,<{triggerPoint=5;nodeId=0}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1172,伤害加成,,,,damageAdd,,,2,1202,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_shjc_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_shtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1173,暴击等级提升,,,,strike,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_bjl_up.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_bjltg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1174,降疗（无特效）,,,,cure,,,2,1103,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_jl1.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_jl1.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1175,加暴击伤害,,,,strikeDamage,,,1,0,101,0,<>,<>,<>,2,3,,TRUE,battle/buff_icon/logo_bjsh_up.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_bjshtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1221,妙蛙种子,,,,buffDamage,,,2,1501,101,0,<>,<>,<>,2,5,,TRUE,battle/buff_icon/logo_zd.png,0,buff/zhongdu/zhongdu.skel,<zhongdu_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_zd.png,12,,<{damageType=2;processId=15}>,,0,0,<{triggerPoint=5;nodeId=0}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1222,妙蛙种子,,,,addHP,,,2,0,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,buff/zhiliao/zhiliao.skel,zhiliao_lv,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_hf.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1223,妙蛙种子,,,,addHP,,,2,1401,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_cxzl.png,0,buff/zhiliao/zhiliao.skel,<chixuzhiliao_loop>,{type=0},0,2,1,{'x'=0;'y'=0},FALSE,,zhiliao_lv,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{triggerPoint=5;nodeId=0}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1224,妙蛙种子,,,,buff1,,,2,0,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{effectFuncs=<castBuff>;triggerPoint=10;funcArgs=<<{caster=2;value=self:specialDamage()*(0.15+(fromSkillLevel*0.0015-0.0015));lifeRound=1;holder=1;cfgId=1222}>>;nodeId=1}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1225,妙蛙种子,,,,cure,,,1,1013,102,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_zll_up.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_zlltg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1311,妙蛙种子,,,,stun,,,2,21,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_xy.png,0,buff/xuanyun/xuanyun.skel,<xuanyun_loop>,{type=0},0,1,1,{y=-320;x=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_xy.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1312,妙蛙种子,,,,buff1,,,2,0,101,0,<>,<>,<>,1,1,,FALSE,battle/buff_icon/logo_cxzl.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{effectFuncs=<castBuff>;triggerPoint=5;funcArgs=<<{caster=2;value=self:specialDamage()*(0.15+(fromSkillLevel*0.001-0.001));lifeRound=3;holder=3;cfgId=1313}>>;nodeId=1}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1313,妙蛙种子,,,,addHP,,,2,1401,101,0,<>,<>,<>,2,3,,TRUE,battle/buff_icon/logo_jszz.png,0,buff/zhiliao/zhiliao.skel,<chixuzhiliao_loop>,{type=0},0,2,1,{'x'=0;'y'=0},FALSE,,zhiliao_lv,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_jszz.png,12,,,,0,0,<{triggerPoint=5;nodeId=0}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1314,妙蛙种子,,,,addHP,,,2,1401,101,0,<>,<>,<>,2,3,,TRUE,battle/buff_icon/logo_jszz.png,0,buff/zhiliao/zhiliao.skel,<chixuzhiliao_loop>,{type=0},0,2,1,{'x'=0;'y'=0},FALSE,,zhiliao_lv,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_jszz.png,12,,,,0,0,<{triggerPoint=5;nodeId=0}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1315,妙蛙种子,,,,buff1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{effectFuncs=<castBuff;castBuff>;triggerPoint=5;funcArgs=<<{caster=2;value=self:specialDamage()*(0.3+(fromSkillLevel*0.002-0.002));lifeRound=3;holder=3;cfgId=1313}>;<{prob=self:flagZ4() and 1 or 0;caster=2;value=self:specialDamage()*(0.3+(fromSkillLevel*0.002-0.002));lifeRound=3;holder=2;cfgId=1313}>>;nodeId=1}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1316,妙蛙种子,,,,addHP,,,2,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,buff/zhiliao/zhiliao.skel,zhiliao_lv,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_hf.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1321,超级妙蛙花,,,,buff1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,"<{effectFuncs=<castBuff>;triggerPoint=1;funcArgs=<<{caster=2;value=min(target:hp()*0.05,self:specialDamage()*3);lifeRound=3;holder=1;cfgId=1322}>>;nodeId=1}>",,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1322,超级妙蛙花,,,,buffDamage,,,2,1501,101,0,<>,<>,<>,2,5,,TRUE,battle/buff_icon/logo_zd.png,0,buff/zhongdu/zhongdu.skel,<zhongdu_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_zd.png,12,,<{damageType=2;processId=15}>,,0,0,<{triggerPoint=5;nodeId=0};{effectFuncs=<castBuff>;triggerPoint=5;funcArgs=<<{prob=0;caster=2;value=0;lifeRound=1;holder=1;cfgId=1323}>>;nodeId=1}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1323,超级妙蛙花,,,,stun,,,1,21,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_xy.png,0,buff/xuanyun/xuanyun.skel,<xuanyun_loop>,{type=0},0,1,1,{y=-320;x=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_xy.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1324,超级妙蛙花,,,,buff1,,,2,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,"<{effectFuncs=<castBuff>;triggerPoint=10;funcArgs=<<{prob=0;caster=2;value=min(target:hp()*0.05,self:specialDamage()*3);lifeRound=1;holder=7;cfgId=1321}>>;nodeId=1}>",,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
