变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,headIcon,treeID,attrDesc,attrDesc_tw,attrDesc_en,attrDesc_vn,attrDesc_kr,attrDesc_pt,attrDesc_th,attrAddDesc1,attrAddDesc1_tw,attrAddDesc1_en,attrAddDesc1_vn,attrAddDesc1_kr,attrAddDesc1_pt,attrAddDesc1_th,attrAddDesc2,attrAddDesc2_tw,attrAddDesc2_en,attrAddDesc2_vn,attrAddDesc2_kr,attrAddDesc2_pt,attrAddDesc2_th,levelUp,preTalentID,preTalentLevel,roleLevel,costID,addType1,natureType1,damageRelation1,attrType1,attrNum1,addType2,natureType2,damageRelation2,attrType2,attrNum2
201,进阶天赋,進階天賦,Upgrade talent,Thiên phú Cơ bản,진급 특성,Talento Avançado,พรสวรรค์ขั้นสูง,city/develop/talent/icon_wf.png,,2,提升所有精灵的基础物防百分比,提升所有精靈的基礎物防百分比,Increase base P.DEF % of all Pokémons,Tăng % P.DEF cơ bản của tất cả Pokémon,모든 포켓몬의 기본 방어 퍼센티지를 증가시킨다,Aumenta o % de P.DEF base de todos os Pokémons,เพิ่ม % P.DEF พื้นฐานของโปเกมอนทั้งหมด,物防增加,物防增加,P.DEF increases,Tăng P.DEF,방어 증가,P.DEF aumenta,เพิ่ม P.DEF,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,200,7,45,2,3,,<>,9,0.50%,,,<>,,
202,进阶天赋,進階天賦,Upgrade talent,Thiên phú Cơ bản,진급 특성,Talento Avançado,พรสวรรค์ขั้นสูง,city/develop/talent/icon_tf.png,,2,提升所有精灵的基础特防百分比,提升所有精靈的基礎特防百分比,Increase base SP.DEF % of all Pokémons,Tăng % SP.DEF cơ bản của tất cả Pokémon,모든 포켓몬의 기본 특수 방어 퍼센티지를 증가시킨다,Aumenta o % de SP.DEF base de todos os Pokémons,เพิ่ม % SP.DEF พื้นฐานของโปเกมอนทั้งหมด,特防增加,特防增加,SP.DEF increases,Tăng SP.DEF,특수 방어 증가,SP.DEF aumenta,เพิ่ม SP.DEF,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,201,7,45,3,3,,<>,10,0.50%,,,<>,,
203,进阶天赋,進階天賦,Upgrade talent,Thiên phú Cơ bản,진급 특성,Talento Avançado,พรสวรรค์ขั้นสูง,city/develop/talent/icon_bjkx.png,,2,提升所有精灵的基础暴击抗性百分比,提升所有精靈的基礎暴擊抗性百分比,Increase base critical hit resistance % of all Pokémons,Tăng % kháng chí mạng cơ bản của tất cả Pokémon,모든 포켓몬의 기본 치명타 내성 퍼센티지를 증가시킨다,Aumenta o % de resistência a acerto crítico base de todos os Pokémons,เพิ่ม % ความต้านทานคริติคอลพื้นฐานของโปเกมอนทั้งหมด,暴击抗性增加,暴擊抗性增加,Critical hit resistance increases,Tăng kháng chí mạng,치명타 내성 증가,Resistência a acerto crítico aumenta,เพิ่มความต้านทานคริติคอล,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,202,7,45,4,3,,<>,16,50,,,<>,,
204,进阶天赋,進階天賦,Upgrade talent,Thiên phú Cơ bản,진급 특성,Talento Avançado,พรสวรรค์ขั้นสูง,city/develop/talent/icon_wg.png,,2,提升所有精灵的基础物攻百分比,提升所有精靈的基礎物攻百分比,Increase base P.ATK % of all Pokémons,Tăng % P.ATK cơ bản của tất cả Pokémon,모든 포켓몬의 기본 공격 퍼센티지를 증가시킨다,Aumenta o % de P.ATK base de todos os Pokémons,เพิ่ม % P.ATK พื้นฐานของโปเกมอนทั้งหมด,物攻增加,物攻增加,P.ATK increase,Tăng P.ATK,공격 증가,Aumento de P.ATK,เพิ่ม P.ATK,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,200,7,45,2,3,,<>,7,0.50%,,,<>,,
205,进阶天赋,進階天賦,Upgrade talent,Thiên phú Cơ bản,진급 특성,Talento Avançado,พรสวรรค์ขั้นสูง,city/develop/talent/icon_tg.png,,2,提升所有精灵的基础特攻百分比,提升所有精靈的基礎特攻百分比,Increase base SP.ATK % of all Pokémons,Tăng % SP.ATK cơ bản của tất cả Pokémon,모든 포켓몬의 기본 특수 공격 퍼센티지를 증가시킨다,Aumenta o % de SP.ATK base de todos os Pokémons,เพิ่ม % SP.ATK พื้นฐานของโปเกมอนทั้งหมด,特攻增加,特攻增加,SP.ATK increases,Tăng SP.ATK,특수 공격 증가,SP.ATK aumenta,เพิ่ม SP.ATK,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,204,7,45,3,3,,<>,8,0.50%,,,<>,,
206,进阶天赋,進階天賦,Upgrade talent,Thiên phú Cơ bản,진급 특성,Talento Avançado,พรสวรรค์ขั้นสูง,city/develop/talent/icon_bj.png,,2,提升所有精灵的基础暴击百分比,提升所有精靈的基礎暴擊百分比,Increase base critical hit % of all Pokémons,Tăng % chí mạng cơ bản của tất cả Pokémon,모든 포켓몬의 기본 치명타 퍼센티지를 증가시킨다,Aumenta o % de acerto crítico base de todos os Pokémons,เพิ่ม % โอกาสคริติคอลพื้นฐานของโปเกมอนทั้งหมด,暴击增加,暴擊增加,Critical hit increase s,Tăng chí mạng,치명타 증가,Acerto crítico aumenta,เพิ่มโอกาสคริติคอล,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,205,7,45,4,3,,<>,14,50,,,<>,,
207,进阶天赋,進階天賦,Upgrade talent,Thiên phú Cơ bản,진급 특성,Talento Avançado,พรสวรรค์ขั้นสูง,city/develop/talent/icon_shjm.png,,2,提升所有精灵的基础伤害减免百分比,提升所有精靈的基礎傷害減免百分比,Increase base damage reduction % of all Pokémons,Tăng % giảm sát thương cơ bản của tất cả Pokémon,모든 포켓몬의 기본 피해 감소 퍼센티지를 증가시킨다,Aumenta o % de redução de dano base de todos os Pokémons,เพิ่ม % การลดความเสียหายพื้นฐานของโปเกมอนทั้งหมด,伤害减免增加,傷害減免增加,Damage reduction increases,Tăng giảm sát thương,피해 감소 증가,Redução de dano aumenta,เพิ่มการลดความเสียหาย,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,200,7,45,2,3,,<>,23,50,,,<>,,
208,进阶天赋,進階天賦,Upgrade talent,Thiên phú Cơ bản,진급 특성,Talento Avançado,พรสวรรค์ขั้นสูง,city/develop/talent/icon_shjc.png,,2,提升所有精灵的基础伤害加成百分比,提升所有精靈的基礎傷害加成百分比,Increase base damage bonus % of all Pokémons,Tăng % thưởng sát thương cơ bản của tất cả Pokémon,모든 포켓몬의 기본 피해 보너스 퍼센티지를 증가시킨다,Aumenta o % de bônus de dano base de todos os Pokémons,เพิ่ม % โบนัสความเสียหายพื้นฐานของโปเกมอนทั้งหมด,伤害加成增加,傷害加成增加,Damage bonus increases,Tăng thưởng sát thương,피해 보너스 증가,Bônus de dano aumenta,เพิ่มโบนัสความเสียหาย,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,207,7,45,3,3,,<>,22,50,,,<>,,
209,进阶天赋,進階天賦,Upgrade talent,Thiên phú Cơ bản,진급 특성,Talento Avançado,พรสวรรค์ขั้นสูง,city/develop/talent/icon_sd.png,,2,提升所有精灵的基础速度百分比,提升所有精靈的基礎速度百分比,Increase base Speed % of all Pokémons,Tăng % Tốc độ cơ bản của tất cả Pokémon,모든 포켓몬의 기본 스피드 퍼센티지를 증가시킨다,Aumenta o % de Velocidade base de todos os Pokémons,เพิ่ม % ความเร็วพื้นฐานของโปเกมอนทั้งหมด,速度增加,速度增加,Speed increases,Tăng Tốc độ,스피드 증가,Velocidade aumenta,เพิ่มความเร็ว,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,208,7,45,4,3,,<>,13,0.50%,,,<>,,
300,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_yb.png,3,提升所有一般系精灵的生命,提升所有一般系精靈的生命,Increase HP of all Normal-type Pokémons,Tăng HP của tất cả Pokémon hệ Thường,모든 노말 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Normal,เพิ่ม HP ของโปเกมอนประเภทปกติทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,1,<>,1,0.50%,,,<>,,
301,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_yb.png,3,提升所有精灵一般系技能伤害加成,提升所有精靈一般系技能傷害加成,Boosts the damage bonus of Normal-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Thường của tất cả Pokémon,모든 포켓몬의 노말 타입 스킬의 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Normal de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทปกติของโปเกมอนทั้งหมด,一般系技能伤害加成增加,一般系技能傷害加成增加,Increases damage bonus of Normal-type moves,Tăng thưởng sát thương của các chiêu thức hệ Thường,노말 타입 스킬의 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Normal,เพิ่มโบนัสความเสียหายของท่าประเภทปกติ,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,300,7,65,6,3,,<>,36,100,,,<>,,
302,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_yb.png,3,提升所有精灵一般系技能伤害减免,提升所有精靈一般系技能傷害減免,Boosts the damage reduction of Normal-type moves of all Pokémons,Tăng giảm sát thương của các chiêu thức hệ Thường của tất cả Pokémon,모든 포켓몬의 노말 타입 스킬의 피해 감소를 증가시킨다,Aumenta a redução de dano dos movimentos do tipo Normal de todos os Pokémons,เพิ่มการลดความเสียหายของท่าประเภทปกติของโปเกมอนทั้งหมด,一般系技能伤害减免增加,一般系技能傷害減免增加,Normal-type damage reduction increases,Tăng giảm sát thương hệ Thường,노말 타입 스킬의 피해 감소 증가,Redução de dano do tipo Normal aumenta,เพิ่มการลดความเสียหายประเภทปกติ,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,301,7,65,7,3,,<>,54,100,,,<>,,
303,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_hx.png,3,提升所有火系精灵的生命,提升所有火系精靈的生命,Increase HP of all Fire-type Pokémons,Tăng HP của tất cả Pokémon hệ Lửa,모든 불꽃 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Fogo,เพิ่ม HP ของโปเกมอนประเภทไฟทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,2,<>,1,0.50%,,,<>,,
304,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_hx.png,3,提升所有精灵火系技能伤害加成,提升所有精靈火系技能傷害加成,Boosts the damage bonus of all Pokémons' Fire-type moves,Tăng thưởng sát thương của các chiêu thức hệ Lửa của tất cả Pokémon,모든 포켓몬의 불꽃 타입 스킬의 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Fogo de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทไฟของโปเกมอนทั้งหมด,火系技能伤害加成增加,火系技能傷害加成增加,Increases damage bonus of Fire-type moves,Tăng thưởng sát thương của các chiêu thức hệ Lửa,불꽃 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Fogo,เพิ่มโบนัสความเสียหายของท่าประเภทไฟ,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,303,7,65,6,3,,<>,37,100,,,<>,,
305,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_hx.png,3,提升所有精灵火系技能伤害减免,提升所有精靈火系技能傷害減免,Boosts the damage of Fire-type moves of all Pokémons,Tăng sát thương của các chiêu thức hệ Lửa của tất cả Pokémon,모든 포켓몬의 불꽃 타입 스킬의 피해 감소를 증가시킨다,Aumenta o dano dos movimentos do tipo Fogo de todos os Pokémons,เพิ่มความเสียหายของท่าประเภทไฟของโปเกมอนทั้งหมด,火系技能伤害减免增加,火系技能傷害減免增加,Fire-type damage reduction increases,Tăng giảm sát thương hệ Lửa,불꽃 타입 스킬 피해 감소 증가,Redução de dano do tipo Fogo aumenta,เพิ่มการลดความเสียหายประเภทไฟ,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,304,7,65,7,3,,<>,55,100,,,<>,,
306,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_sx.png,3,提升所有水系精灵的生命,提升所有水系精靈的生命,Increase HP of all Water-type Pokémons,Tăng HP của tất cả Pokémon hệ Nước,모든 물 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Água,เพิ่ม HP ของโปเกมอนประเภทน้ำทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,3,<>,1,0.50%,,,<>,,
307,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_sx.png,3,提升所有精灵水系技能伤害加成,提升所有精靈水系技能傷害加成,Boosts the damage bonus of Water-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Nước của tất cả Pokémon,모든 포켓몬의 물 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Água de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทน้ำของโปเกมอนทั้งหมด,水系技能伤害加成增加,水系技能傷害加成增加,Increases damage bonus of Water-type moves,Tăng thưởng sát thương của các chiêu thức hệ Nước,물 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Água,เพิ่มโบนัสความเสียหายของท่าประเภทน้ำ,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,306,7,65,6,3,,<>,38,100,,,<>,,
308,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_sx.png,3,提升所有精灵水系技能伤害减免,提升所有精靈水系技能傷害減免,Boosts the damage of Water-type moves of all Pokémons,Tăng sát thương của các chiêu thức hệ Nước của tất cả Pokémon,모든 포켓몬의 물 타입 스킬 피해 감소를 증가시킨다,Aumenta o dano dos movimentos do tipo Água de todos os Pokémons,เพิ่มความเสียหายของท่าประเภทน้ำของโปเกมอนทั้งหมด,水系技能伤害减免增加,水系技能傷害減免增加,Water-type damage reduction increases,Tăng giảm sát thương hệ Nước,물 타입 스킬 피해 감소 증가,Redução de dano do tipo Água aumenta,เพิ่มการลดความเสียหายประเภทน้ำ,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,307,7,65,7,3,,<>,56,100,,,<>,,
309,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_cx.png,3,提升所有草系精灵的生命,提升所有草系精靈的生命,Increase HP of all Grass-type Pokémons,Tăng HP của tất cả Pokémon hệ Cỏ,모든 풀 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Grama,เพิ่ม HP ของโปเกมอนประเภทพืชทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,4,<>,1,0.50%,,,<>,,
310,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_cx.png,3,提升所有精灵草系技能伤害加成,提升所有精靈草系技能傷害加成,Boosts the damage bonus of Grass-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Cỏ của tất cả Pokémon,모든 포켓몬의 풀 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Grama de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทพืชของโปเกมอนทั้งหมด,草系技能伤害加成增加,草系技能傷害加成增加,Increases damage bonus of Grass-type moves,Tăng thưởng sát thương của các chiêu thức hệ Cỏ,풀 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Grama,เพิ่มโบนัสความเสียหายของท่าประเภทพืช,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,309,7,65,6,3,,<>,39,100,,,<>,,
