变量名,gateID,_beizhu,itemMap,count,probability,itemCount
85,11008,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
86,11009,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
87,11010,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
88,11101,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
89,11102,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
90,11103,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
91,11104,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
92,11105,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
93,11106,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
94,11107,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
95,11108,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
96,11109,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
97,11110,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
98,11201,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
99,11202,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
100,11203,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
101,11204,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
102,11205,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
103,11206,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
104,11207,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
105,11208,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
106,11209,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
107,11210,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
108,11301,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
109,11302,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
110,11303,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
111,11304,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
112,11305,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
113,11306,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
114,11307,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
115,11308,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
116,11309,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
117,11310,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
118,11401,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
119,11402,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
120,11403,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
121,11404,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
122,11405,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
123,11406,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
124,11407,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
125,11408,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
126,11409,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
127,11410,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
128,11501,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
129,11502,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
130,11503,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
131,11504,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
132,11505,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
133,11506,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
134,11507,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
135,11508,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
136,11509,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
137,11510,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
138,11601,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
139,11602,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
140,11603,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
141,11604,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
142,11605,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
143,11606,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
144,11607,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
145,11608,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
146,11609,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
147,11610,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
148,11701,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
149,11702,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
150,11703,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
151,11704,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
152,11705,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
153,11706,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
154,11707,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
155,11708,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
156,11709,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
157,11710,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
158,11801,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
159,11802,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
160,11803,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
161,11804,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
162,11805,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
163,11806,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
164,11807,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
165,11808,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
166,11809,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
167,11810,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
168,11901,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
169,11902,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
170,11903,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
171,11904,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
172,11905,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
173,11906,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
174,11907,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
175,11908,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
176,11909,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
177,11910,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
178,12001,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
179,12002,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
180,12003,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
181,12004,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
182,12005,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
183,12006,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
184,12007,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
185,12008,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
186,12009,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
187,12010,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
188,12101,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
189,12102,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
190,12103,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
191,12104,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
192,12105,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
193,12106,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
194,12107,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
195,12108,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
196,12109,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
197,12110,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
198,12201,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
199,12202,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
200,12203,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
201,12204,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
202,12205,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
203,12206,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
204,12207,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
205,12208,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
206,12209,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
207,12210,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
208,12301,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
209,12302,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
210,12303,,{510=29.7398;513=0.7435;12=7.4349;11=29.7398;14=0.7435;13=1.8587;5000=11.1524;512=3.7175;511=14.8699},5,53.8,1
