变量名,name,name_tw,name_vn,name_en,name_kr,name_pt,name_th,languages,logo,res,resAct,resSpine,crossMineResSpine,qFigureres,qRoleSpine,zOrder,resBack,type,showIdx,pos,actPos,desc,desc_tw,desc_vn,desc_en,desc_kr,desc_pt,desc_th,unlock,unlockDesc,unlockDesc_tw,unlockDesc_vn,unlockDesc_en,unlockDesc_kr,unlockDesc_pt,unlockDesc_th,unavalibleDesc,activeCost,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3,skills,activeLevel,hide,hide_tw,hide_en,hide_vn,hide_kr,overture,offPos,chattext1,chattext1_tw,chattext1_en,chattext1_vn,chattext1_kr,chattext1_pt,chattext1_th,chattext2,chattext2_tw,chattext2_en,chattext2_vn,chattext2_kr,chattext2_pt,chattext2_th,chattext3,chattext3_tw,chattext3_en,chattext3_vn,chattext3_kr,chattext3_pt,chattext3_th,crossArenaPos
18,露夕华,露夕華,Evelyn,Evelyn,르수아르,Evelyn,เอเวลิน,,config/portrait/toptouxiang/img_role_18@.png,config/big_role/show/img_role_18@.png,config/big_role/act/img_role_18@.png,figure/luxihua/hero_luxihua.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_18@.png,townqrole/luxihua.skel,12,personal/img_bjt.png,2,260,{y=436;x=1750},{y=0;x=-160},对战宅第的对战女城主之一，四姊妹中的三女,對戰宅第的對戰女城主之一，四姊妹中的三女,"Một trong những thủ lĩnh của Battle Maison, chị ba trong số các Battle Chatelaine.","One of the leaders of the Battle Maison, the third eldest of the Battle Chatelaine.","배틀하우스의 배틀샤틀레느 중 한 명, 4자매의 삼녀.","Uma das líderes da Battle Maison, a terceira mais velha da Battle Chatelaine.",หนึ่งในผู้นำของ Battle Maison ผู้อาวุโสลำดับที่สามของ Battle Chatelaine,{1=1},对战竞技场内获得,對戰競技場內獲得,Obtain in Battle Arena,Obtain in Battle Arena,대전 경기장 상점에서 획득 가능,Obtenha na Arena de Batalha,รับใน Battle Arena,,{2218=1},0,10,1%,0,0,,0,0,,<70017>,<1>,0,0,0,0,0,TRUE,{y=-50;x=160},听说有人用小帕奇赢了冠军赛，你知道详情么,我聽說有人用帕奇利斯贏得了決賽，你知道嗎？,"I heard that some won the final with Pachirisu, did you know that?","tôi nghe nói có người thắng chung kết bằng pachirisu, bạn có biết không?","어떤 사람이 파치리스로 결승에서 이겼다고 들었어, 알고 있었어?","ouvi dizer que alguns venceram a final com pachirisu, você sabia?",ได้ยินมาว่าบางคนชนะรอบสุดท้ายด้วยปาจิริสุ รู้ไหม?,小帕奇那么可爱，怎么会被叫成恶魔嘛,怎麼會有人說派奇露獸是惡魔，明明它那麼可愛,How could people call Pachirusu demon since it was so cute,Sao người ta lại gọi Pachirusu là quỷ được khi nó dễ thương vậy chứ,"파치루수가 귀신이라고 부르다니, 너무 귀여운데 어떻게 그런 말을 해",Como podem chamar Pachirusu de demônio sendo tão fofo?,ใครจะไปเรียกปาชิรุสุว่าอสูรกายได้ ในเมื่อมันน่ารักขนาดนี้,交流的事情还是交给姐姐们吧,通訊交給姐妹們。,Leave the communication to the sisters,để các chị em lo phần liên lạc.,통신은 자매들에게 맡겨.,Deixe a comunicação para as irmãs.,ปล่อยให้พี่น้องจัดการการสื่อสาร,{y=50;x=-40}
19,兰妞夜,蘭妞夜,Nita,Nita,라뉴이,Nita,นิต้า,,config/portrait/toptouxiang/img_role_19@.png,config/big_role/show/img_role_19@.png,config/big_role/act/img_role_19@.png,figure/lanniuye/lanniuye.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_19@.png,townqrole/q_lanniuye.skel,12,personal/img_bjt.png,2,710,{y=436;x=1750},{y=0;x=-150},对战宅第的对战女城主之一，四姊妹中的幺女。,對戰宅第的對戰女城主之一，四姊妹中的么女。,"Một trong những thủ lĩnh của Battle Maison, em út trong số các Battle Chatelaine.","One of the leaders of the Battle Maison, the youngest of the Battle Chatelaine.","배틀하우스의 배틀샤틀레느 중 한 명, 4자매의 막내.","Uma das líderes da Battle Maison, a mais nova da Battle Chatelaine.",หนึ่งในผู้นำของ Battle Maison ผู้เป็นน้องคนสุดท้องของ Battle Chatelaine,{1=1},特殊活动投放,特殊活動投放,Put in for Special Event,Put in for Special Event,특수 이벤트 지급,Coloque em evento especial,ใส่สำหรับกิจกรรมพิเศษ,,{2219=1},0,8,1%,0,0,,0,0,,<70021>,<1>,0,0,0,0,0,TRUE,{y=-50;x=160},那么接下来要让拉我的尽兴哟！做好觉悟吧！哈呀！！,戰鬥館的其中一位領導者，也是最年輕的戰鬥夫人之一。,"One of the leaders of the Battle Maison, the youngest of the Battle Chatelaine.","một trong những lãnh đạo Battle Maison, trẻ nhất trong nhóm Battle Chatelaine",배틀 메종의 리더 중 한 명이자 가장 어린 배틀 샤틀린이야.,"uma das líderes da batalha maison, a mais jovem das battle chatelaine.",หนึ่งในผู้นำของ Battle Maison และเป็น Battle Chatelaine ที่อายุน้อยที่สุด,诶 嘿,嘿！,Hey!,Này!,야!,Ei!,เฮ้!,我实力可不比姐姐们弱哦,我不比我的姐妹們弱。,I'm not weaker than my sisters.,tớ không yếu hơn các chị em đâu.,나는 내 자매들보다 약하지 않아.,Não sou mais fraco que minhas irmãs.,ฉันไม่อ่อนแอกว่าน้องสาวของฉัน,{y=50;x=60}
20,芦荟,蘆薈,Lenora,Lenora,알로에,Lenora,เลโนรา,,config/portrait/toptouxiang/img_role_20@.png,config/big_role/show/img_role_20@.png,config/big_role/act/img_role_20@.png,figure/luhui/luhui.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_20@.png,townqrole/luhui.skel,12,personal/img_bjt.png,2,650,{y=436;x=1750},{y=0;x=0},七宝道馆的道馆馆主。专长为一般属性宝可梦。,七寶道館的道館館主。專長為一般屬性寶可夢。,"Thủ lĩnh Gym Nacrene, chuyên về Pokémon hệ Thường.",Gym leader of Nacrene Gym. Specializes in Normal-type Pokémons.,"칠보체육관의 관장, 노말 타입의 포켓몬 전문이다.",Líder de Ginásio do Ginásio Nacrene. Especialista em Pokémon do tipo Normal.,หัวหน้ายิมของ Nacrene Gym เชี่ยวชาญด้านโปเกมอนประเภทปกติ,{79=5},冒险执照等级达到5级后可解锁,冒險執照等級達到5級後可解鎖,Unlocks at Adventure Pass level 5,Unlocks at Adventure Pass level 5,모험 허가증 5레벨 달성 시 개방 가능,Desbloqueia no nível 5 do Passe de Aventura,ปลดล็อคเมื่อถึงระดับ Adventure Pass 5,,{rmb=280},0,1,1200,0,10,60,0,0,,<70004>,<1>,0,0,0,0,0,TRUE,{y=-50;x=160},挑战者，我即将向你那里研究你在挑战中到底有多疼爱你的宝可梦！,挑戰者，我要在戰鬥中看看你有多愛你的寶可夢！,"Challenger, I'm going to find out how much you love your Pokémons in a battle!","thách đấu, tôi sẽ tìm hiểu xem bạn yêu pokémon đến mức nào qua trận đấu!","도전자, 배틀에서 네가 포켓몬을 얼마나 사랑하는지 알아낼 거야!","desafiante, vou descobrir o quanto você ama seus pokémons numa batalha!",ผู้ท้าชิง ฉันจะดูว่าคุณรักโปเกมอนของคุณมากแค่ไหนในการต่อสู้!,你的作战方式真是迷人！,你的戰鬥風格真有魅力！,You battle style is so charming!,Phong cách chiến đấu của bạn thật cuốn hút!,네 배틀 스타일 너무 매력적이야!,Seu estilo de batalha é tão charmoso!,สไตล์การต่อสู้ของคุณมีเสน่ห์มาก!,真是了不起，得好好表扬你才行啊！,太棒了，你值得被稱讚！,"Awesome, you deserve to be complimented!","tuyệt vời, cậu xứng đáng được khen ngợi!","대단해, 칭찬받을 만해!","Incrível, você merece ser elogiado!",เจ๋งมาก เธอสมควรได้รับคำชม!,{y=20;x=70}
21,斗子,斗子,Hilda,Hilda,투희,Hilda,ฮิลดา,,config/portrait/toptouxiang/img_role_21@.png,config/big_role/show/img_role_21@.png,config/big_role/act/img_role_21@.png,figure/douzi/douzi.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_21@.png,townqrole/q_douzi.skel,12,personal/img_bjt.png,2,800,{y=436;x=1750},{y=0;x=0},是《黑／白》的女性主角,是《黑／白》的女性主角,Nhân vật nữ chính trong Pokémon Black and White.,The female protagonist of Pokémon Black and White,<블랙/화이트>의 여자 주인공.,A protagonista feminina de Pokémon Black and White,ตัวเอกหญิงของโปเกมอนแบล็คแอนด์ไวท์,{5=7},VIP7级可解锁,VIP7級可解鎖,Unlocks at Vip 7,Unlocks at Vip 7,VIP 7레벨 개방 가능,Desbloqueia no Vip 7,ปลดล็อคที่ Vip 7,,{2221=1},0,7,1%,0,8,1%,0,0,,<70003>,<1>,0,0,0,0,0,TRUE,{y=-50;x=160},玩得好爽啊！下次我们再来一场哦！,真有趣！下次再來一場！,That was fun! Let's do it again next time!,thật vui! lần sau lại chơi tiếp nhé!,재밌었어! 다음에 또 하자!,foi divertido! vamos fazer isso de novo na próxima vez!,สนุกมาก! ครั้งหน้ามาสู้กันอีกนะ!,开始得晚不代表一定会弱哦！,晚開始不代表你會弱！,Starting late doesn't mean that you will be weak!,Bắt đầu muộn không có nghĩa là yếu!,늦게 시작한다고 약하단 뜻은 아니야!,Começar tarde não significa que você será fraco!,เริ่มช้าไม่ใช่ว่าคุณจะอ่อนแอ!,一起去成为英雄吧！,讓我們成為英雄！,Let's become a hero!,chúng ta hãy trở thành anh hùng!,영웅이 되자!,Vamos nos tornar heróis!,เรามาเป็นฮีโร่กันเถอะ!,{y=0;x=0}
22,芽衣,芽衣,Rosa,Rosa,명희,Rosa,โรซา,,config/portrait/toptouxiang/img_role_22@.png,config/big_role/act/img_role_22@.png,config/big_role/act/img_role_22@.png,figure/yayi/yayi.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_22@.png,,12,personal/img_bjt.png,2,500,{y=436;x=1750},{y=0;x=0},来自桧扇市的少女，在游戏的开始中会跟童年好友兼劲敌修一起从此开展旅程。,來自檜扇市的少女，在遊戲的開始中會跟童年好友兼勁敵修一起從此開展旅程。,"Cô gái trẻ sống ở Thành phố Aspertia, bắt đầu cuộc phiêu lưu cùng người bạn thời thơ ấu Hugh.",Young girl living in Aspertia City who begins the adventure with her childhood friend Hugh.,"부채시티에서 온 소녀, 소꿉친구이자 라이벌인 휴이와 함께 모험을 시작한다.",Jovem garota que mora em Aspertia City e começa a aventura com seu amigo de infância Hugh.,เด็กสาวที่อาศัยอยู่ในเมืองแอสเพอร์เทียซึ่งเริ่มต้นการผจญภัยกับฮิวจ์ เพื่อนในวัยเด็กของเธอ,{1=1},公会战内兑换获得,公會戰內兌換獲得,Exchange in the guild war to get,Exchange in the guild war to get,길드전 내 교환으로 획득,Troque na guerra de guildas para obter,แลกเปลี่ยนในสงครามกิลด์เพื่อรับ,,{2222=1},0,1,1%,0,0,,0,0,,<70008>,<1>,0,0,0,0,0,TRUE,{y=-50;x=160},咱们来成为无敌的组合吧！,讓我們組成無敵隊伍！,Let's form an invincible group!,hãy lập một đội bất bại!,무적 팀을 만들자!,vamos formar um grupo invencível!,มาสร้างทีมที่ไร้เทียบทานกันเถอะ!,对战真是个好棒的感觉哦！,戰鬥感覺真好！,It feels good to have a battle!,Chiến đấu thật sảng khoái!,배틀하니 기분 좋아!,É bom ter uma batalha!,รู้สึกดีที่ได้ต่อสู้!,我要变得更强，希望有一天跟别的训练家尽力战斗！,我想變強，未來和其他訓練家一起戰鬥！,I want to get stronger and fight alongside other trainers one day!,tớ muốn trở nên mạnh mẽ hơn và một ngày nào đó chiến đấu cùng các huấn luyện viên khác!,언젠가 다른 트레이너들과 함께 싸울 수 있도록 더 강해지고 싶어!,Quero ficar mais forte e lutar ao lado de outros treinadores um dia!,ฉันอยากแข็งแกร่งขึ้นและสู้เคียงข้างเทรนเนอร์คนอื่นสักวัน!,{y=30;x=60}
23,弥莉丝,彌莉絲,Millis,Millis,밀리스,Millis,มิลลิส,,config/portrait/toptouxiang/img_role_23@.png,config/big_role/act/img_role_23@.png,config/big_role/act/img_role_23@.png,figure/milisi/milisi.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_23@.png,,12,personal/img_bjt.png,2,705,{y=436;x=1750},{y=0;x=0},双人组大盗贼之一，企图抓蒂安希来获得到她的钻石；后改邪归正，开了一家巧克力店。,雙人組大盜賊之一，企圖抓蒂安希來獲得到她的鑽石；後改邪歸正，開了一家巧克力店。,Một trong hai người từng cố bắt Diancie để lấy kim cương nhưng sau đó hoàn lương và mở tiệm sô-cô-la.,One of the rogue duo who tried to catch Diancie and get her diamonds; turned over a new leaf subsequently and opened a chocolate shop.,"2인조 대도적 중 한 명, 디안시를 잡아 그녀의 보석을 손에 넣으려 했지만, 훗날 개과천선하고 초콜릿 가게를 차렸다.",Uma da dupla de vilões que tentou capturar Diancie e obter seus diamantes; virou uma nova página posteriormente e abriu uma loja de chocolates.,หนึ่งในคู่หูนอกกฎหมายที่พยายามจับเดียนซีและเอาเพชรของเธอไป แต่กลับพลิกผันอีกครั้งด้วยการเปิดร้านขายช็อกโกแลต,{1=1},特殊活动投放,特殊活動投放,Put in for Special Event,Put in for Special Event,특수 이벤트 지급,Coloque em evento especial,ใส่สำหรับกิจกรรมพิเศษ,,{2223=1},0,10,1%,0,0,,0,0,,<70022>,<1>,0,0,0,0,0,TRUE,{y=-50;x=160},火箭队，来一次正面的较量吧！,火箭隊，開始公平的戰鬥吧,"Team Rocket, let's begin an upright battle","team rocket, bắt đầu trận chiến công bằng nào","로켓단, 정정당당한 배틀 시작하자","time rocket, vamos começar uma batalha justa",ทีมร็อคเก็ต มาเริ่มการต่อสู้ที่ยุติธรรมกันเถอะ,布里卡隆似乎很喜欢我的披肩emmm,看起來護城龍很喜歡我的披風,Seems like Chesnaught like my cape,Có vẻ Chesnaught thích áo choàng của tôi,체스노트가 내 망토를 좋아하는 것 같아,Parece que Chesnaught gosta da minha capa,เหมือนเชสนอทชอบผ้าคลุมของฉัน,可惜 ，原来蒂安希是没有办法制造钻石的！,可惜菱石不能做鑽石。,Too bad that Diancie can't make diamonds,thật tiếc là diancie không thể tạo kim cương.,디안시는 다이아몬드를 만들 수 없다니 아쉽다.,Que pena que Diancie não pode fazer diamantes.,เสียดายที่เดียนซี่ทำเพชรไม่ได้,{y=0;x=40}
24,芙蓉,芙蓉,Phoebe,Phoebe,회연,Phoebe,ฟีบี้,,config/portrait/toptouxiang/img_role_24@.png,config/big_role/act/img_role_24@.png,config/big_role/act/img_role_24@.png,figure/furong/furong.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_24@.png,townqrole/q_furong.skel,12,personal/img_bjt.png,2,720,{y=436;x=1750},{y=0;x=-180},丰缘四天王的一员，也是幽灵属性专家,豐緣四天王的一員，也是幽靈屬性達人,"Một trong Tứ đại Thiên vương của vùng Hoenn, chuyên về Pokémon hệ Ma.","One of Hoenn's Elite Four, who specializes in Ghost-type Pokémons","호연 사천왕의 일원, 고스트 타입의 전문가.","Um dos Elite Four de Hoenn, especialista em Pokémon do tipo Fantasma",หนึ่งในสี่ยอดฝีมือของโฮเอ็น ผู้เชี่ยวชาญโปเกมอนประเภทผี,{1=10},特殊活动投放,特殊活動投放,Put in for Special Event,Put in for Special Event,특수 이벤트 지급,Coloque em evento especial,ใส่สำหรับกิจกรรมพิเศษ,,{2224=1},0,7,1%,0,0,,0,0,,<70010>,<1>,0,0,0,0,0,TRUE,{y=-50;x=160},你和你的精灵之间也会有著很强的牵绊吗？,你和你的寶可夢有很強的羈絆嗎？,Do you have strong bond between your Pokémon too?,bạn có mối liên kết mạnh mẽ với pokémon của mình không?,너도 네 포켓몬과 강한 유대감이 있니?,você também tem um forte vínculo com seus pokémons?,คุณก็มีสายสัมพันธ์ที่แข็งแกร่งกับโปเกมอนของคุณเหมือนกันไหม?,过去我在送神山修行时得到了能与幽灵宝系精灵亲密交流的能力。,我在焚焰山練習時獲得了與幽靈系寶可夢溝通的能力,I got the power of communicate with Ghost-Type Pokémon when I was practice in Mt. Pyre.,Tôi có khả năng giao tiếp với Pokémon loại Ma khi luyện tập ở Núi Pyre,나는 파이어 마운틴에서 연습할 때 고스트 타입 포켓몬과 소통하는 능력을 얻었어,Ganhei o poder de me comunicar com Pokémon do tipo Fantasma quando treinei no Mt. Pyre.,ฉันได้พลังสื่อสารกับโปเกมอนประเภทผีตอนฝึกฝนที่ภูเขาไฟไพร์,迷惑对手作战，干扰再干扰。,迷惑你的敵人，分散他們以獲勝。,"Confuse your enemu, distract them to win.","làm đối thủ bối rối, phân tâm họ để chiến thắng.",적을 혼란스럽게 하고 주의를 분산시켜 승리해라.,"Confunda seu inimigo, distraia-o para vencer.",ทำให้ศัตรูสับสน เบี่ยงเบนความสนใจเพื่อชนะ,{y=20;x=-100}
25,水莲,水蓮,Lana,Lana,수련,Lana,ลานา,,config/portrait/toptouxiang/img_role_25@.png,config/big_role/act/img_role_25@.png,config/big_role/act/img_role_25@.png,figure/shuilian/shuilian.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_25@.png,,12,personal/img_bjt.png,2,300,{y=436;x=1750},{y=0;x=0},阿罗拉地区中阿卡拉岛的队长，精通水属性,阿羅拉地區中阿卡拉島的隊長，精通水屬性,"Đội trưởng đảo Akala ở vùng Alola, thành thạo Pokémon hệ Nước.","Captain of Akala Island in the Alola region, who is proficient in Water-type Pokémons","알로라지방 아칼라섬의 캡틴 중 한 명, 물 타입 전문가.","Capitão da Ilha Akala na região de Alola, proficiente em Pokémon do tipo Água",กัปตันแห่งเกาะอาคาลาในภูมิภาคอโลลา ผู้เชี่ยวชาญโปเกมอนประเภทน้ำ,{1=1},钓鱼商店内兑换获得,釣魚商店內兌換獲得,Exchange in the Fishing Shop,Exchange in the Fishing Shop,낚시상점 내 교환으로 획득,Troca na Loja de Pesca,การแลกเปลี่ยนในร้านอุปกรณ์ตกปลา,,{2225=1},0,9,1%,0,0,,0,0,,<70011>,<1>,0,0,0,0,0,TRUE,{y=-50;x=160},只要是水里的精灵我都很喜欢哦,我喜歡所有水屬性寶可夢,I love all the Pokémons in water,tôi yêu tất cả pokémon hệ nước,나는 모든 물 타입 포켓몬을 사랑해,amo todos os pokémons da água,ฉันรักโปเกมอนทุกตัวที่เป็นธาตุน้ำ,有空一起去钓鱼吧,我們去釣魚吧,Let's go fishing,Đi câu cá thôi,낚시하러 가자,Vamos pescar,ไปตกปลาเถอะ,潮汐海岸能钓到盖欧卡哦（笑）,你可能會在潮汐海岸遇見蓋歐卡XD,You might encounter Kyogre at Tidal Coast XD,cậu có thể gặp kyogre ở bờ biển thủy triều XD,티달 코스트에서 카이오가를 만날 수도 있어 XD,Você pode encontrar Kyogre na Costa das Marés XD,เธออาจเจอคิวโอก์ที่ชายฝั่งไทดัล XD,{y=80;x=-100}
26,碧蓝,碧藍,Green,Green,블루,Verde,กรีน,,config/portrait/toptouxiang/img_role_26@.png,config/big_role/act/img_role_26@.png,config/big_role/act/img_role_26@.png,figure/bilan/bilan.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_26@.png,,12,personal/img_bjt.png,1,200,{y=436;x=1750},{y=0;x=0},《火红／叶绿》中的女性主角,《火紅／葉綠》中的女性主角,Nhân vật nữ chính trong Pokémon FireRed và LeafGreen.,The female protagonist of Pokémon FireRed and LeafGreen,<파이어레드/리프그린>의 여자 주인공.,Protagonista feminina de Pokémon FireRed e LeafGreen,ตัวเอกหญิงของโปเกมอนไฟร์เรดและลีฟกรีน,{1=75},等级到达75级后可解锁,等級到達75級後可解鎖,Attain level 75 to unlock,Attain level 75 to unlock,75레벨 달성 후 개방 가능,Alcance o nível 75 para desbloquear,บรรลุระดับ 75 เพื่อปลดล็อค,,{rmb=1080},0,9,1%,0,10,1%,0,0,,<>,<>,0,0,0,0,0,TRUE,{y=-50;x=160},算了算了！就让我再确认一次你的实力吧！,算了！讓我再看看你的實力！,Forget it! Let me take a look at your strength again!,quên đi! để tôi xem lại sức mạnh của bạn!,포기해! 네 실력을 다시 봐야겠어!,esquece! deixa eu ver sua força de novo!,ช่างมันเถอะ! ให้ฉันดูพลังของคุณอีกครั้ง!,真是的！怎么回事嘛……,唉！怎麼回事……,Sigh! What's going on......,Chao ôi! Sao vậy……,한숨! 무슨 일이야……,Suspiro! O que está acontecendo…,เฮ้อ! เกิดอะไรขึ้นเนี่ย……,我是不会放弃的！,我絕不放棄！,I'll never give up!,tớ sẽ không bao giờ từ bỏ!,절대 포기하지 않을 거야!,Eu nunca vou desistir!,ฉันจะไม่ยอมแพ้เด็ดขาด!,{y=60;x=0}
27,小刚,小剛,Brock,Brock,웅,Brock,บร็อค,,config/portrait/toptouxiang/img_role_27@.png,config/big_role/show/img_role_27@.png,config/big_role/show/img_role_27@.png,figure/xiaogang/xiaogang.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_27@.png,,12,personal/img_bjt.png,1,700,{y=436;x=1750},{y=0;x=0},尼比道馆道馆训练家，擅长岩石系精灵,尼比道館道館訓練家，擅長岩石系精靈,"Thủ lĩnh Gym Pewter, chuyên về Pokémon hệ Đá.","Gym Leader of Pewter Gym, specializes in Rock-type Pokémons","회색체육관의 관장, 바위 타입 포켓몬의 전문가.","Líder do Ginásio Pewter, especialista em Pokémon do tipo Pedra",ยิมลีดเดอร์ของ Pewter Gym เชี่ยวชาญด้านโปเกมอนประเภทหิน,{1=20},等级到达20级后可解锁,等級到達20級後可解鎖,Attain level 20 to unlock,Attain level 20 to unlock,20레벨 달성 후 개방 가능,Alcance o nível 20 para desbloquear,บรรลุระดับ 20 เพื่อปลดล็อค,,{gold=100000},0,7,100,0,9,48,0,0,,<>,<>,0,0,0,0,0,TRUE,{y=-50;x=160},我的意志坚如磐石！,我的意志像岩石一樣堅強！,My will is as strong as a rock!,ý chí tôi mạnh mẽ như đá!,내 의지는 바위처럼 강해!,minha vontade é forte como uma pedra!,ความตั้งใจของฉันแข็งแกร่งเหมือนหิน!,那边似乎有漂亮的大姐姐， 去打个招呼吧~,「那邊好像有位美麗的女士，去跟她打招呼吧！」,"There seems to be a beautiful lady there, go and say hi to her!","“Có vẻ có cô gái xinh đẹp ở đó, đi chào cô ấy đi!”","“저기 예쁜 아가씨가 있는 것 같아, 가서 인사해!”","“Parece que tem uma moça bonita ali, vai cumprimentá-la!”",“ดูเหมือนจะมีสาวสวยอยู่ตรงนั้น ไปทักทายเธอหน่อย!”,好！是时候履行我们的诺言了！,好啦！是時候實現我們的約定了！,Alright! It's time to fulfill our promise!,được rồi! đã đến lúc thực hiện lời hứa của chúng ta!,좋아! 약속을 지킬 시간이야!,Certo! É hora de cumprir nossa promessa!,โอเค! ถึงเวลาทำตามสัญญาแล้ว!,{y=0;x=0}
28,碧珂,碧珂,Wicke,Wicke,비케,Wicke,วิกก์,,config/portrait/toptouxiang/img_role_28@.png,config/big_role/show/img_role_28@.png,config/big_role/show/img_role_28@.png,figure/bike/bike.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_28@.png,townqrole/q_bike.skel,12,personal/img_bjt1.png,2,350,{y=436;x=1750},{y=0;x=0},以太乐园的副分部长。性格非常体贴的缘故，被员工们仰慕着。,乙太樂園的副分部長。性格非常體貼的緣故，被員工們仰慕著。,Trưởng chi nhánh của Aether Paradise. Được nhiều nhân viên ngưỡng mộ vì sự chu đáo.,"Branch Chief of Aether Paradise . As some very considerate, he is admired by the employees.","에테르파라다이스의 부지부장, 성격이 매우 자상해 직원들이 좋아한다.","Chefe de Filial do Aether Paradise. Como alguns muito atenciosos, ele é admirado pelos funcionários.",หัวหน้าสาขาของ Aether Paradise เขาเป็นคนมีน้ำใจมาก เป็นที่ชื่นชมของพนักงาน,{1=1},以太乐园内兑换获得,乙太樂園內兌換獲得,Obtained by exchanging in Aether Paradise,Obtained by exchanging in Aether Paradise,에테르파라다이스 내 교환으로 획득,Obtido por troca no Aether Paradise,ได้รับจากการแลกเปลี่ยนที่ Aether Paradise,,{2228=1},0,9,1%,0,0,,0,0,,<70012>,<1>,0,0,0,0,0,TRUE,{y=-50;x=160},战斗数据不太理想的样子呢，看来还需要训练,戰鬥數據不理想，似乎需要更多訓練,"The combat data is not ideal, it seems that training is needed","dữ liệu chiến đấu không lý tưởng, có vẻ cần luyện tập thêm","전투 데이터가 이상적이지 않아, 훈련이 필요할 것 같아","os dados de combate não estão ideais, parece que preciso de treinamento",ข้อมูลการต่อสู้ไม่ค่อยดี ดูเหมือนต้องฝึกฝนอีกหน่อย,如果你以后想加入研究所，可以来找我哦,如果你將來想加入學院，可以來找我,"If you want to join the Institute in the future, you can come to me","Nếu bạn muốn tham gia Viện trong tương lai, có thể đến gặp tôi",미래에 연구소에 들어가고 싶으면 나한테 와,"Se quiser entrar no Instituto no futuro, pode vir falar comigo",ถ้าอยากเข้ามหาวิทยาลัยในอนาคต มาเจอฉันได้นะ,比起对战，我更喜欢研究呢,我比較喜歡研究而不是戰鬥。,I prefer research to battle,tớ thích nghiên cứu hơn là chiến đấu.,나는 전투보다 연구를 선호해.,Eu prefiro pesquisa a batalhas.,ฉันชอบวิจัยมากกว่าสู้รบ,{y=0;x=-40}
29,达帕,達帕,Tupp,Tupp,터퍼,Tupp,ทัปป์,,config/portrait/toptouxiang/img_role_29@.png,config/big_role/show/img_role_29@.png,config/big_role/act/img_role_29@.png,figure/dapa/dapa.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_29@.png,,12,personal/img_bjt1.png,1,400,{y=436;x=1750},{y=0;x=0},"骷髅队手下,常跟同伴吉普和拉普出现","骷髏隊手下,常跟同伴吉普和拉普出現","Thành viên của Team Skull, thường xuất hiện cùng Zipp và Rapp.","Member of Team Skull, often appears with Zipp and Rapp","스컬단의 수하, 동료인 지프, 랩과 함께 나타난다.","Membro da Equipe Skull, frequentemente aparece com Zipp e Rapp",สมาชิกทีม Skull มักปรากฏตัวพร้อมกับ Zipp และ Rapp,{1=55},等级到达55级后可解锁,等級到達55級後可解鎖,Attain level 55 to unlock,Attain level 55 to unlock,55레벨 달성 후 개방 가능,Alcance o nível 55 para desbloquear,บรรลุระดับ 55 เพื่อปลดล็อค,,{rmb=380},0,7,580,0,8,580,0,0,,<>,<>,0,0,0,0,0,TRUE,{y=-50;x=160},我就大发慈悲地告诉你...…哦，不好意思，看我也错台词了,高尚的回答是我們都……哎呀，我想那不是我的台詞,"Noble answers are what we're all ...... oops, I think that's not my line","câu trả lời cao quý là điều chúng ta đều… ồ, hình như không phải câu của tôi","고상한 대답은 우리가 모두…… 어, 그건 내 대사가 아닌 것 같아","respostas nobres são o que todos nós… opa, acho que essa não é minha fala",คำตอบที่สง่างามคือสิ่งที่เราทุกคน… โอ๊ะ นี่ไม่ใช่ประโยคของฉันนี่นา,我才不想去做诸岛巡礼这种麻烦的事情呢~,我才不會做什麼麻煩的環島跳躍呢！,I'm not gonna do something so troublesome like island hopping!,Tôi không làm những chuyện phiền toái như nhảy đảo đâu!,나는 번거로운 섬 뛰어넘기 같은 건 안 할 거야!,Não vou fazer algo tão trabalhoso como pular de ilha em ilha!,ฉันไม่ทำอะไรยุ่งยากอย่างการเกาะเกาะหรอก!,即便实力不足，只要气势够，就足够了~,「即使你不夠強，只要你有自信，就足夠了！」,"Even if you are not strong enough, as long as you are confident, that's enough!","“ngay cả khi cậu không đủ mạnh, chỉ cần tự tin, thế là đủ!”","“충분히 강하지 않아도, 자신감만 있으면 충분해!”","“Mesmo que você não seja forte o suficiente, desde que tenha confiança, isso é suficiente!”",“ถึงแม้เธอจะไม่แข็งแกร่งพอ แต่ถ้าเธอมั่นใจ ก็เพียงพอแล้ว!”,{y=0;x=0}
