变量名,vipDouble,months,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
22,9999,<>,{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000}
23,11,<>,{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10}
24,9999,<>,{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20}
25,12,<1;2;3;4;5;6;7;8;9;10;11;12>,{22391=30},{22351=30},{23252=30},{24023=30},{21271=30},{21261=30},{22361=30},{23301=30},{23211=30},{23221=30},{21961=30},{21971=30}
26,13,<>,{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000}
27,9999,<>,{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000},{rmb=1000}
28,14,<>,{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10}
29,9999,<>,{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20}
30,15,<1;2;3;4;5;6;7;8;9;10;11;12>,{22391=50},{22351=50},{23252=50},{24023=50},{21271=50},{21261=50},{22361=50},{23301=50},{23211=50},{23221=50},{21961=50},{21971=50}
31,15,<>,{502=100},{502=100},{502=100},{502=100},{502=100},{502=100},{502=100},{502=100},{502=100},{502=100},{502=100},{502=100}
101,9999,<>,{502=50;19=20},{502=50;19=20},{502=50;19=20},{502=50;19=20},{502=50;19=20},{502=50;19=20},{502=50;19=20},{502=50;19=20},{502=50;19=20},{502=50;19=20},{502=50;19=20},{502=50;19=20}
102,9999,<>,{521=10;rmb=3000},{521=10;rmb=3000},{521=10;rmb=3000},{521=10;rmb=3000},{521=10;rmb=3000},{521=10;rmb=3000},{521=10;rmb=3000},{521=10;rmb=3000},{521=10;rmb=3000},{521=10;rmb=3000},{521=10;rmb=3000},{521=10;rmb=3000}
103,9999,<>,{501=10;521=30;526=50},{501=10;521=30;526=50},{501=10;521=30;526=50},{501=10;521=30;526=50},{501=10;521=30;526=50},{501=10;521=30;526=50},{501=10;521=30;526=50},{501=10;521=30;526=50},{501=10;521=30;526=50},{501=10;521=30;526=50},{501=10;521=30;526=50},{501=10;521=30;526=50}
1000,9999,<>,{card=2391},{card=2351},{card=3252},{card=4023},{card=1271},{card=1261},{card=2361},{card=3304},{card=3211},{card=3221},{card=1961},{card=1971}
