变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
53,,{607=100;619=100;616=100;622=100;613=100;610=100},10,{gold=100000},0,100,0,20990101,4,<1;250>,0,0,FALSE
54,,{607=100;619=100;616=100;622=100;613=100;610=100},10,{rmb=100},0,100,0,20990101,4,<1;250>,0,0,FALSE
61,,{524=100},1,{rmb=60},0,100,0,20990101,5,<1;250>,0,0,FALSE
62,,{24181=100},2,{rmb=30000},0,100,0,20990101,5,<1;250>,4,25,FALSE
101,,{5001=100;5003=100;5002=100},3,{gold=75000},0,100,0,20990101,6,<1;27>,0,0,FALSE
102,,{5001=100;5003=100;5002=100},1,{gold=37500},0,100,0,20990101,6,<1;27>,0,0,FALSE
103,,{5004=100;5006=100;5005=100},3,{gold=75000},0,100,0,20990101,6,<1;39>,0,0,FALSE
104,,{5004=100;5006=100;5005=100},1,{gold=37500},0,100,0,20990101,6,<1;39>,0,0,FALSE
105,,{5008=100;5009=100;5007=100},3,{gold=75000},0,100,0,20990101,6,<1;49>,0,0,FALSE
106,,{5008=100;5009=100;5007=100},1,{gold=37500},0,100,0,20990101,6,<1;49>,0,0,FALSE
107,,{5012=100;5010=100;5011=100},3,{gold=90000},0,100,0,20990101,6,<28;59>,0,0,FALSE
108,,{5012=100;5010=100;5011=100},1,{gold=45000},0,100,0,20990101,6,<28;59>,0,0,FALSE
109,,{5015=100;5013=100;5014=100},3,{gold=105000},0,100,0,20990101,6,<40;69>,0,0,FALSE
110,,{5015=100;5013=100;5014=100},1,{gold=52500},0,100,0,20990101,6,<40;69>,0,0,FALSE
111,,{5017=100;5018=100;5016=100},3,{gold=120000},0,100,0,20990101,6,<50;79>,0,0,FALSE
112,,{5017=100;5018=100;5016=100},1,{gold=60000},0,100,0,20990101,6,<50;79>,0,0,FALSE
113,,{5020=100;5021=100;5019=100},8,{gold=405000},0,100,0,20990101,6,<60;84>,0,0,FALSE
114,,{5020=100;5021=100;5019=100},8,{gold=405000},0,100,0,20990101,6,<60;84>,0,0,FALSE
115,,{5023=100;5024=100;5022=100},12,{gold=600000},0,100,0,20990101,6,<70;99>,0,0,FALSE
116,,{5023=100;5024=100;5022=100},6,{gold=300000},0,100,0,20990101,6,<70;99>,0,0,FALSE
117,,{5026=100;5025=100;5027=100},12,{gold=825000},0,100,0,20990101,6,<80;99>,0,0,FALSE
118,,{5026=100;5025=100;5027=100},12,{gold=825000},0,100,0,20990101,6,<80;99>,0,0,FALSE
119,,{5030=100;5029=100;5028=100},18,{gold=1200000},0,100,0,20990101,6,<85;104>,0,0,FALSE
120,,{5030=100;5029=100;5028=100},8,{gold=600000},0,100,0,20990101,6,<85;104>,0,0,FALSE
121,,{5031=100;5032=100;5033=100},12,{gold=1100000},0,100,0,20990101,6,<90;119>,0,0,FALSE
122,,{5031=100;5032=100;5033=100},6,{gold=550000},0,100,0,20990101,6,<90;119>,0,0,FALSE
123,,{5035=100;5036=100;5034=100},12,{gold=1380000},0,100,0,20990101,6,<95;119>,0,0,FALSE
124,,{5035=100;5036=100;5034=100},8,{gold=690000},0,100,0,20990101,6,<95;119>,0,0,FALSE
125,,{5039=100;5037=100;5038=100},12,{gold=1400000},0,100,0,20990101,6,<100;119>,0,0,FALSE
126,,{5039=100;5037=100;5038=100},8,{gold=700000},0,100,0,20990101,6,<100;119>,0,0,FALSE
127,,{5041=100;5042=100;5040=100},12,{gold=1440000},0,100,0,20990101,6,<105;124>,0,0,FALSE
128,,{5041=100;5042=100;5040=100},8,{gold=720000},0,100,0,20990101,6,<105;124>,0,0,FALSE
129,,{5044=100;5045=100;5043=100},5,{gold=1500000},0,100,0,20990101,6,<110;129>,0,0,FALSE
130,,{5044=100;5045=100;5043=100},8,{gold=750000},0,100,0,20990101,6,<110;129>,0,0,FALSE
131,,{5046=100;5047=100;5048=100},12,{gold=1580000},0,100,0,20990101,6,<115;134>,0,0,FALSE
132,,{5046=100;5047=100;5048=100},8,{gold=790000},0,100,0,20990101,6,<115;134>,0,0,FALSE
133,,{5051=100;5050=100;5049=100},12,{gold=1680000},0,100,0,20990101,6,<120;139>,0,0,FALSE
134,,{5051=100;5050=100;5049=100},8,{gold=840000},0,100,0,20990101,6,<120;139>,0,0,FALSE
135,,{930=100},5,{gold=1680000},0,100,0,20990101,6,<124;200>,0,0,FALSE
136,,{930=100},10,{gold=840000},0,100,0,20990101,6,<124;200>,0,0,FALSE
201,,{5001=100;5003=100;5002=100},3,{gold=75000},0,100,0,20990101,7,<1;27>,0,0,FALSE
202,,{5001=100;5003=100;5002=100},1,{gold=37500},0,100,0,20990101,7,<1;27>,0,0,FALSE
203,,{5004=100;5006=100;5005=100},3,{gold=75000},0,100,0,20990101,7,<1;39>,0,0,FALSE
204,,{5004=100;5006=100;5005=100},1,{gold=37500},0,100,0,20990101,7,<1;39>,0,0,FALSE
205,,{5008=100;5009=100;5007=100},3,{gold=75000},0,100,0,20990101,7,<1;49>,0,0,FALSE
206,,{5008=100;5009=100;5007=100},1,{gold=37500},0,100,0,20990101,7,<1;49>,0,0,FALSE
207,,{5012=100;5010=100;5011=100},3,{gold=90000},0,100,0,20990101,7,<28;59>,0,0,FALSE
208,,{5012=100;5010=100;5011=100},1,{gold=45000},0,100,0,20990101,7,<28;59>,0,0,FALSE
209,,{5015=100;5013=100;5014=100},3,{gold=105000},0,100,0,20990101,7,<40;69>,0,0,FALSE
210,,{5015=100;5013=100;5014=100},1,{gold=52500},0,100,0,20990101,7,<40;69>,0,0,FALSE
211,,{5017=100;5018=100;5016=100},3,{gold=120000},0,100,0,20990101,7,<50;79>,0,0,FALSE
212,,{5017=100;5018=100;5016=100},1,{gold=60000},0,100,0,20990101,7,<50;79>,0,0,FALSE
213,,{5020=100;5021=100;5019=100},8,{gold=405000},0,100,0,20990101,7,<60;84>,0,0,FALSE
214,,{5020=100;5021=100;5019=100},8,{gold=405000},0,100,0,20990101,7,<60;84>,0,0,FALSE
215,,{5023=100;5024=100;5022=100},12,{gold=600000},0,100,0,20990101,7,<70;99>,0,0,FALSE
216,,{5023=100;5024=100;5022=100},6,{gold=300000},0,100,0,20990101,7,<70;99>,0,0,FALSE
217,,{5026=100;5025=100;5027=100},12,{gold=825000},0,100,0,20990101,7,<80;99>,0,0,FALSE
218,,{5026=100;5025=100;5027=100},12,{gold=825000},0,100,0,20990101,7,<80;99>,0,0,FALSE
219,,{5030=100;5029=100;5028=100},18,{gold=1200000},0,100,0,20990101,7,<85;104>,0,0,FALSE
220,,{5030=100;5029=100;5028=100},8,{gold=600000},0,100,0,20990101,7,<85;104>,0,0,FALSE
221,,{5031=100;5032=100;5033=100},12,{gold=1100000},0,100,0,20990101,7,<90;119>,0,0,FALSE
222,,{5031=100;5032=100;5033=100},6,{gold=550000},0,100,0,20990101,7,<90;119>,0,0,FALSE
223,,{5035=100;5036=100;5034=100},12,{gold=1380000},0,100,0,20990101,7,<95;119>,0,0,FALSE
224,,{5035=100;5036=100;5034=100},8,{gold=690000},0,100,0,20990101,7,<95;119>,0,0,FALSE
225,,{5039=100;5037=100;5038=100},12,{gold=1400000},0,100,0,20990101,7,<100;119>,0,0,FALSE
226,,{5039=100;5037=100;5038=100},8,{gold=700000},0,100,0,20990101,7,<100;119>,0,0,FALSE
227,,{5041=100;5042=100;5040=100},12,{gold=1440000},0,100,0,20990101,7,<105;124>,0,0,FALSE
228,,{5041=100;5042=100;5040=100},8,{gold=720000},0,100,0,20990101,7,<105;124>,0,0,FALSE
229,,{5044=100;5045=100;5043=100},5,{gold=1500000},0,100,0,20990101,7,<110;129>,0,0,FALSE
230,,{5044=100;5045=100;5043=100},8,{gold=750000},0,100,0,20990101,7,<110;129>,0,0,FALSE
231,,{5046=100;5047=100;5048=100},12,{gold=1580000},0,100,0,20990101,7,<115;134>,0,0,FALSE
232,,{5046=100;5047=100;5048=100},8,{gold=790000},0,100,0,20990101,7,<115;134>,0,0,FALSE
233,,{5051=100;5050=100;5049=100},12,{gold=1680000},0,100,0,20990101,7,<120;139>,0,0,FALSE
234,,{5051=100;5050=100;5049=100},8,{gold=840000},0,100,0,20990101,7,<120;139>,0,0,FALSE
235,,{930=100},5,{gold=1680000},0,100,0,20990101,7,<124;200>,0,0,FALSE
236,,{930=100},10,{gold=840000},0,100,0,20990101,7,<124;200>,0,0,FALSE
301,,{5001=100;5003=100;5002=100},3,{gold=75000},0,100,0,20990101,8,<1;27>,0,0,FALSE
302,,{5001=100;5003=100;5002=100},1,{gold=37500},0,100,0,20990101,8,<1;27>,0,0,FALSE
303,,{5004=100;5006=100;5005=100},3,{gold=75000},0,100,0,20990101,8,<1;39>,0,0,FALSE
304,,{5004=100;5006=100;5005=100},1,{gold=37500},0,100,0,20990101,8,<1;39>,0,0,FALSE
305,,{5008=100;5009=100;5007=100},3,{gold=75000},0,100,0,20990101,8,<1;49>,0,0,FALSE
306,,{5008=100;5009=100;5007=100},1,{gold=37500},0,100,0,20990101,8,<1;49>,0,0,FALSE
307,,{5012=100;5010=100;5011=100},3,{gold=90000},0,100,0,20990101,8,<28;59>,0,0,FALSE
308,,{5012=100;5010=100;5011=100},1,{gold=45000},0,100,0,20990101,8,<28;59>,0,0,FALSE
309,,{5015=100;5013=100;5014=100},3,{gold=105000},0,100,0,20990101,8,<40;69>,0,0,FALSE
310,,{5015=100;5013=100;5014=100},1,{gold=52500},0,100,0,20990101,8,<40;69>,0,0,FALSE
311,,{5017=100;5018=100;5016=100},3,{gold=120000},0,100,0,20990101,8,<50;79>,0,0,FALSE
312,,{5017=100;5018=100;5016=100},1,{gold=60000},0,100,0,20990101,8,<50;79>,0,0,FALSE
313,,{5020=100;5021=100;5019=100},8,{gold=405000},0,100,0,20990101,8,<60;84>,0,0,FALSE
314,,{5020=100;5021=100;5019=100},8,{gold=405000},0,100,0,20990101,8,<60;84>,0,0,FALSE
315,,{5023=100;5024=100;5022=100},12,{gold=600000},0,100,0,20990101,8,<70;99>,0,0,FALSE
316,,{5023=100;5024=100;5022=100},6,{gold=300000},0,100,0,20990101,8,<70;99>,0,0,FALSE
317,,{5026=100;5025=100;5027=100},12,{gold=825000},0,100,0,20990101,8,<80;99>,0,0,FALSE
318,,{5026=100;5025=100;5027=100},12,{gold=825000},0,100,0,20990101,8,<80;99>,0,0,FALSE
319,,{5030=100;5029=100;5028=100},18,{gold=1200000},0,100,0,20990101,8,<85;104>,0,0,FALSE
320,,{5030=100;5029=100;5028=100},8,{gold=600000},0,100,0,20990101,8,<85;104>,0,0,FALSE
321,,{5031=100;5032=100;5033=100},12,{gold=1100000},0,100,0,20990101,8,<90;119>,0,0,FALSE
322,,{5031=100;5032=100;5033=100},6,{gold=550000},0,100,0,20990101,8,<90;119>,0,0,FALSE
323,,{5035=100;5036=100;5034=100},12,{gold=1380000},0,100,0,20990101,8,<95;119>,0,0,FALSE
324,,{5035=100;5036=100;5034=100},8,{gold=690000},0,100,0,20990101,8,<95;119>,0,0,FALSE
325,,{5039=100;5037=100;5038=100},12,{gold=1400000},0,100,0,20990101,8,<100;119>,0,0,FALSE
326,,{5039=100;5037=100;5038=100},8,{gold=700000},0,100,0,20990101,8,<100;119>,0,0,FALSE
327,,{5041=100;5042=100;5040=100},12,{gold=1440000},0,100,0,20990101,8,<105;124>,0,0,FALSE
328,,{5041=100;5042=100;5040=100},8,{gold=720000},0,100,0,20990101,8,<105;124>,0,0,FALSE
329,,{5044=100;5045=100;5043=100},5,{gold=1500000},0,100,0,20990101,8,<110;129>,0,0,FALSE
330,,{5044=100;5045=100;5043=100},8,{gold=750000},0,100,0,20990101,8,<110;129>,0,0,FALSE
331,,{5046=100;5047=100;5048=100},12,{gold=1580000},0,100,0,20990101,8,<115;134>,0,0,FALSE
332,,{5046=100;5047=100;5048=100},8,{gold=790000},0,100,0,20990101,8,<115;134>,0,0,FALSE
333,,{5051=100;5050=100;5049=100},12,{gold=1680000},0,100,0,20990101,8,<120;139>,0,0,FALSE
334,,{5051=100;5050=100;5049=100},8,{gold=840000},0,100,0,20990101,8,<120;139>,0,0,FALSE
335,,{930=100},5,{gold=1680000},0,100,0,20990101,8,<124;200>,0,0,FALSE
336,,{930=100},10,{gold=840000},0,100,0,20990101,8,<124;200>,0,0,FALSE
401,,{5001=100;5003=100;5002=100},3,{gold=75000},0,100,0,20990101,9,<1;27>,0,0,FALSE
402,,{5001=100;5003=100;5002=100},1,{gold=37500},0,100,0,20990101,9,<1;27>,0,0,FALSE
403,,{5004=100;5006=100;5005=100},3,{gold=75000},0,100,0,20990101,9,<1;39>,0,0,FALSE
404,,{5004=100;5006=100;5005=100},1,{gold=37500},0,100,0,20990101,9,<1;39>,0,0,FALSE
405,,{5008=100;5009=100;5007=100},3,{gold=75000},0,100,0,20990101,9,<1;49>,0,0,FALSE
406,,{5008=100;5009=100;5007=100},1,{gold=37500},0,100,0,20990101,9,<1;49>,0,0,FALSE
407,,{5012=100;5010=100;5011=100},3,{gold=90000},0,100,0,20990101,9,<28;59>,0,0,FALSE
408,,{5012=100;5010=100;5011=100},1,{gold=45000},0,100,0,20990101,9,<28;59>,0,0,FALSE
409,,{5015=100;5013=100;5014=100},3,{gold=105000},0,100,0,20990101,9,<40;69>,0,0,FALSE
410,,{5015=100;5013=100;5014=100},1,{gold=52500},0,100,0,20990101,9,<40;69>,0,0,FALSE
411,,{5017=100;5018=100;5016=100},3,{gold=120000},0,100,0,20990101,9,<50;79>,0,0,FALSE
412,,{5017=100;5018=100;5016=100},1,{gold=60000},0,100,0,20990101,9,<50;79>,0,0,FALSE
413,,{5020=100;5021=100;5019=100},8,{gold=405000},0,100,0,20990101,9,<60;84>,0,0,FALSE
414,,{5020=100;5021=100;5019=100},8,{gold=405000},0,100,0,20990101,9,<60;84>,0,0,FALSE
415,,{5023=100;5024=100;5022=100},12,{gold=600000},0,100,0,20990101,9,<70;99>,0,0,FALSE
416,,{5023=100;5024=100;5022=100},6,{gold=300000},0,100,0,20990101,9,<70;99>,0,0,FALSE
417,,{5026=100;5025=100;5027=100},12,{gold=825000},0,100,0,20990101,9,<80;99>,0,0,FALSE
418,,{5026=100;5025=100;5027=100},12,{gold=825000},0,100,0,20990101,9,<80;99>,0,0,FALSE
419,,{5030=100;5029=100;5028=100},18,{gold=1200000},0,100,0,20990101,9,<85;104>,0,0,FALSE
420,,{5030=100;5029=100;5028=100},8,{gold=600000},0,100,0,20990101,9,<85;104>,0,0,FALSE
421,,{5031=100;5032=100;5033=100},12,{gold=1100000},0,100,0,20990101,9,<90;119>,0,0,FALSE
422,,{5031=100;5032=100;5033=100},6,{gold=550000},0,100,0,20990101,9,<90;119>,0,0,FALSE
423,,{5035=100;5036=100;5034=100},12,{gold=1380000},0,100,0,20990101,9,<95;119>,0,0,FALSE
424,,{5035=100;5036=100;5034=100},8,{gold=690000},0,100,0,20990101,9,<95;119>,0,0,FALSE
425,,{5039=100;5037=100;5038=100},12,{gold=1400000},0,100,0,20990101,9,<100;119>,0,0,FALSE
426,,{5039=100;5037=100;5038=100},8,{gold=700000},0,100,0,20990101,9,<100;119>,0,0,FALSE
427,,{5041=100;5042=100;5040=100},12,{gold=1440000},0,100,0,20990101,9,<105;124>,0,0,FALSE
428,,{5041=100;5042=100;5040=100},8,{gold=720000},0,100,0,20990101,9,<105;124>,0,0,FALSE
429,,{5044=100;5045=100;5043=100},5,{gold=1500000},0,100,0,20990101,9,<110;129>,0,0,FALSE
430,,{5044=100;5045=100;5043=100},8,{gold=750000},0,100,0,20990101,9,<110;129>,0,0,FALSE
431,,{5046=100;5047=100;5048=100},12,{gold=1580000},0,100,0,20990101,9,<115;134>,0,0,FALSE
432,,{5046=100;5047=100;5048=100},8,{gold=790000},0,100,0,20990101,9,<115;134>,0,0,FALSE
433,,{5051=100;5050=100;5049=100},12,{gold=1680000},0,100,0,20990101,9,<120;139>,0,0,FALSE
434,,{5051=100;5050=100;5049=100},8,{gold=840000},0,100,0,20990101,9,<120;139>,0,0,FALSE
435,,{930=100},5,{gold=1680000},0,100,0,20990101,9,<124;200>,0,0,FALSE
436,,{930=100},10,{gold=840000},0,100,0,20990101,9,<124;200>,0,0,FALSE
501,,{5001=100;5003=100;5002=100},3,{gold=75000},0,100,0,20990101,10,<1;21>,0,0,FALSE
502,,{5001=100;5003=100;5002=100},1,{gold=37500},0,100,0,20990101,10,<1;21>,0,0,FALSE
503,,{5004=100;5006=100;5005=100},3,{gold=75000},0,100,0,20990101,10,<1;34>,0,0,FALSE
504,,{5004=100;5006=100;5005=100},1,{gold=37500},0,100,0,20990101,10,<1;34>,0,0,FALSE
505,,{5008=100;5009=100;5007=100},3,{gold=75000},0,100,0,20990101,10,<1;44>,0,0,FALSE
506,,{5008=100;5009=100;5007=100},1,{gold=37500},0,100,0,20990101,10,<1;44>,0,0,FALSE
507,,{5012=100;5010=100;5011=100},3,{gold=90000},0,100,0,20990101,10,<22;54>,0,0,FALSE
508,,{5012=100;5010=100;5011=100},1,{gold=45000},0,100,0,20990101,10,<22;54>,0,0,FALSE
509,,{5015=100;5013=100;5014=100},3,{gold=105000},0,100,0,20990101,10,<35;64>,0,0,FALSE
510,,{5015=100;5013=100;5014=100},1,{gold=52500},0,100,0,20990101,10,<35;64>,0,0,FALSE
511,,{5017=100;5018=100;5016=100},3,{gold=120000},0,100,0,20990101,10,<45;74>,0,0,FALSE
512,,{5017=100;5018=100;5016=100},1,{gold=60000},0,100,0,20990101,10,<45;74>,0,0,FALSE
513,,{5020=100;5021=100;5019=100},8,{gold=405000},0,100,0,20990101,10,<55;79>,0,0,FALSE
514,,{5020=100;5021=100;5019=100},8,{gold=405000},0,100,0,20990101,10,<55;79>,0,0,FALSE
515,,{5023=100;5024=100;5022=100},12,{gold=600000},0,100,0,20990101,10,<65;99>,0,0,FALSE
516,,{5023=100;5024=100;5022=100},6,{gold=300000},0,100,0,20990101,10,<65;99>,0,0,FALSE
517,,{5026=100;5025=100;5027=100},12,{gold=825000},0,100,0,20990101,10,<75;99>,0,0,FALSE
518,,{5026=100;5025=100;5027=100},12,{gold=825000},0,100,0,20990101,10,<75;99>,0,0,FALSE
519,,{5030=100;5029=100;5028=100},18,{gold=1200000},0,100,0,20990101,10,<80;104>,0,0,FALSE
520,,{5030=100;5029=100;5028=100},8,{gold=600000},0,100,0,20990101,10,<80;104>,0,0,FALSE
521,,{5031=100;5032=100;5033=100},12,{gold=1100000},0,100,0,20990101,10,<85;114>,0,0,FALSE
522,,{5031=100;5032=100;5033=100},6,{gold=550000},0,100,0,20990101,10,<85;114>,0,0,FALSE
523,,{5035=100;5036=100;5034=100},12,{gold=1380000},0,100,0,20990101,10,<95;119>,0,0,FALSE
524,,{5035=100;5036=100;5034=100},8,{gold=690000},0,100,0,20990101,10,<95;119>,0,0,FALSE
525,,{5039=100;5037=100;5038=100},12,{gold=1400000},0,100,0,20990101,10,<100;119>,0,0,FALSE
526,,{5039=100;5037=100;5038=100},8,{gold=700000},0,100,0,20990101,10,<100;119>,0,0,FALSE
527,,{5041=100;5042=100;5040=100},12,{gold=1440000},0,100,0,20990101,10,<105;124>,0,0,FALSE
528,,{5041=100;5042=100;5040=100},8,{gold=720000},0,100,0,20990101,10,<105;124>,0,0,FALSE
529,,{5044=100;5045=100;5043=100},5,{gold=1500000},0,100,0,20990101,10,<110;129>,0,0,FALSE
530,,{5044=100;5045=100;5043=100},8,{gold=750000},0,100,0,20990101,10,<110;129>,0,0,FALSE
531,,{5046=100;5047=100;5048=100},12,{gold=1580000},0,100,0,20990101,10,<115;134>,0,0,FALSE
532,,{5046=100;5047=100;5048=100},8,{gold=790000},0,100,0,20990101,10,<115;134>,0,0,FALSE
533,,{5051=100;5050=100;5049=100},12,{gold=1680000},0,100,0,20990101,10,<120;139>,0,0,FALSE
534,,{5051=100;5050=100;5049=100},8,{gold=840000},0,100,0,20990101,10,<120;139>,0,0,FALSE
535,,{930=100},5,{gold=1680000},0,100,0,20990101,10,<124;200>,0,0,FALSE
536,,{930=100},10,{gold=840000},0,100,0,20990101,10,<124;200>,0,0,FALSE
601,,{5008=100;5009=100;5007=100},30,{gold=750000},0,60,0,20990101,11,<70;129>,0,0,FALSE
602,,{5008=100;5009=100;5007=100},10,{gold=375000},0,60,0,20990101,11,<70;129>,0,0,FALSE
603,,{5012=100;5010=100;5011=100},30,{gold=900000},0,60,0,20990101,11,<70;129>,0,0,FALSE
604,,{5012=100;5010=100;5011=100},10,{gold=450000},0,60,0,20990101,11,<70;129>,0,0,FALSE
605,,{5015=100;5013=100;5014=100},30,{gold=1050000},0,100,0,20990101,11,<70;129>,0,0,FALSE
606,,{5015=100;5013=100;5014=100},10,{gold=525000},0,100,0,20990101,11,<70;129>,0,0,FALSE
607,,{5017=100;5018=100;5016=100},30,{gold=1200000},0,100,0,20990101,11,<80;129>,0,0,FALSE
608,,{5017=100;5018=100;5016=100},10,{gold=600000},0,100,0,20990101,11,<80;129>,0,0,FALSE
609,,{5020=100;5021=100;5019=100},40,{gold=1620000},0,100,0,20990101,11,<85;129>,0,0,FALSE
610,,{5020=100;5021=100;5019=100},40,{gold=1620000},0,100,0,20990101,11,<85;129>,0,0,FALSE
