变量名,type,_yyId,card,helditem,item,desc
9,7,,<1271;1;11;21;41;51;61;71;81;91;101;131;261;271;301;331;1291;1351;1421;1611;2011;2271;2481;3281;3291;3301;3471;3541>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
10,7,,,,<14;15;870;603;604;606;609;612;615;618;621;502;401;402>,<>
11,7,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
12,8,,<1071;11;1171;1221;1231;1241;1251;1291;131;1391;1421;1441;1501;1611;1801;1811;1841;1861;2011;2071;21;2271;2301;2481;2631;271;281;2871;2921;2922;301;3011;3021;3141;3281;3291;331;3341;3351;341;3411;3431;3471;3501;3541;371;391;461;471;481;51;551;571;591;601;631;721;731;741;781;791;801;881;91;1;261>,,<6321;502;521;21971;21891>,<>
13,5,,,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;31201;31202;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<502;501;200;201;202;203;204;205;210;211;212;213;214;215;220;221;222;223;224;225;230;231;232;233;234;235;2101;2102;2103;451;452;19;850;851;gold>,<<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;0.8>;<normalItem;76.7>>
14,7,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
15,5,,,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;31201;31202;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<502;501;521;200;201;202;203;204;205;210;211;212;213;214;215;220;221;222;223;224;225;230;231;232;233;234;235;2101;2102;2103;451;452;19;850;851;gold>,<<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;0.8>;<normalItem;76.7>>
16,6,,<1971;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21971;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
17,7,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
18,7,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
19,5,,,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;31201;31202;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<502;501;521;200;201;202;203;204;205;210;211;212;213;214;215;220;221;222;223;224;225;230;231;232;233;234;235;2101;2102;2103;451;452;19;850;851;gold>,<<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;0.8>;<normalItem;76.7>>
20,6,,<1261;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21261;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
21,7,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
22,7,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
23,7,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
24,5,,,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;31201;31202;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<502;501;521;200;201;202;203;204;205;210;211;212;213;214;215;220;221;222;223;224;225;230;231;232;233;234;235;2101;2102;2103;451;452;19;850;851;gold>,<<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;0.8>;<normalItem;76.7>>
25,6,,<3631;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23631;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
26,7,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
27,9,,,,,<<rarityGem4;2>;<rarityGem3;25>;<rarityGem2;58>;<normalItem;15>>
28,10,,,,,<<rarityGem6;0.85>;<rarityGem5;2.5>;<rarityGem4;10>;<rarityGem3;35>;<rarityGem2;40>;<normalItem;11.65>>
29,7,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
30,6,,<1971;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21971;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
31,7,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
32,7,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
33,5,,,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;31201;31202;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<502;501;521;200;201;202;203;204;205;210;211;212;213;214;215;220;221;222;223;224;225;230;231;232;233;234;235;2101;2102;2103;451;452;19;850;851;gold>,<<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;0.8>;<normalItem;76.7>>
34,6,,<1261;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21261;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
35,7,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
36,7,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
37,6,,<1981;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21981;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
38,11,,,,<40121;40122;40123;40124;40125;40126;40131;40132;40133;40134;40135;40136;40141;40142;40143;40144;40145;40146;40151;40152;40153;40154;40155;40156;40161;40162;40163;40164;40165;40166;40321;40322;40323;40324;40325;40326;40331;40332;40333;40334;40335;40336;40341;40342;40343;40344;40345;40346;40351;40352;40353;40354;40355;40356;40361;40362;40363;40364;40365;40366;40821;40822;40823;40831;40832;40833;40841;40842;40843;40851;40852;40853;40861;40862;40863>,<<rarityGem6;0.85>;<rarityGem5;2.5>;<rarityGem4;10>;<rarityGem3;35>;<rarityGem2;40>;<normalItem;11.65>>
39,11,,,,<40221;40222;40223;40224;40225;40226;40231;40232;40233;40234;40235;40236;40241;40242;40243;40244;40245;40246;40251;40252;40253;40254;40255;40256;40261;40262;40263;40264;40265;40266;40521;40522;40523;40524;40525;40526;40531;40532;40533;40534;40535;40536;40541;40542;40543;40544;40545;40546;40551;40552;40553;40554;40555;40556;40561;40562;40563;40564;40565;40566;40721;40722;40723;40731;40732;40733;40741;40742;40743;40751;40752;40753;40761;40762;40763>,<<rarityGem6;0.85>;<rarityGem5;2.5>;<rarityGem4;10>;<rarityGem3;35>;<rarityGem2;40>;<normalItem;11.65>>
40,11,,,,<40421;40422;40423;40424;40425;40426;40431;40432;40433;40434;40435;40436;40441;40442;40443;40444;40445;40446;40451;40452;40453;40454;40455;40456;40461;40462;40463;40464;40465;40466;40621;40622;40623;40624;40625;40626;40631;40632;40633;40634;40635;40636;40641;40642;40643;40644;40645;40646;40651;40652;40653;40654;40655;40656;40661;40662;40663;40664;40665;40666;40921;40922;40923;40931;40932;40933;40941;40942;40943;40951;40952;40953;40961;40962;40963>,<<rarityGem6;0.85>;<rarityGem5;2.5>;<rarityGem4;10>;<rarityGem3;35>;<rarityGem2;40>;<normalItem;11.65>>
41,6,,<1961;1971;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21961;21971;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
42,6,,<2431;3631;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;22431;23631;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
43,6,,<2381;1261>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;22381;21261;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
44,6,,<2351;1981>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;22351;21981;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
45,6,,<2361;1961>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;22361;21961;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
46,6,,<1971;3631>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;21971;23631;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
47,6,,<2391;2431>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;22391;22431;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
