变量名,_name,targetType,skillTarget,input,process,targetFormula,specialChoose,targetLimit,fixPos,buffList,buffLifeRound,buffProb,buffLevel,buffValue1,effectEventID,extraArgs
333,,0,11,,,{},,99,,<1313;1316>,<3;1>,"<1;moreEqualThan(self:star(),11) and 1 or 0>",<>,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0));(self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0)))*(self:flagZ3() and 2 or 1)>",,
334,,0,11,,,{},,99,,<>,<>,<1>,<>,<>,,
361,,1,1,selfForce | nodead,random(1),{},,99,,<1313>,<3>,<1>,<>,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,
362,,0,14,,,{},,99,,<1313>,<3>,<self:flagZ4() and 0.3 or 0>,<>,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,
411,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,411,
412,,1,1,selfForce,hpRatioMin,{},,99,,<1313>,<3>,<1>,<>,"<self:specialDamage()*(0.3+(skillLv(46) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,
421,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,421,
422,,1,1,,,{},,99,,<1322>,<3>,<1>,<>,"<min(target:hp()*0.05,self:specialDamage()*3)>",,
423,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,,
431,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,431,
432,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,432,
433,,0,11,,,{},,99,,<1313;1316;1324>,<3;1;1>,"<1;1;moreE(self:star(),11) and 1 or 0>",<>,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0));self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0));0>",,
434,,0,11,,,{},,99,,<>,<>,<1>,<>,<>,,
441,,0,14,,,{},,99,,<1326>,<99>,<1>,<>,<0>,,
461,,1,1,selfForce,hpRatioMin,{},,99,,<1313;1315;1325>,<3;1;99>,"<target:hasBuff(1313) and 1 or 1;target:hasBuff(1313) and 0 or 0;moreE(self:star(),8) and 1 or 0>",<>,"<self:specialDamage()*(0.3+(skillLv(46) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0));0;2000>",,
1111,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,1111,
1112,,0,14,,,{},,99,,<11226>,<2>,<self:flagZ1() and 1 or 0>,<>,<self:specialDamage()*0.1>,,
1121,,1,1,,,{},,99,,<11228>,<2>,<self:flagZ2() and 0.5 or 0>,<>,<self:specialDamage()*0.3>,1121,
1122,,0,14,,,{},,99,,<>,<>,<1>,<>,<>,,
1123,,0,14,,,{},,99,,<11226;11227>,<2;2>,<1;1>,<>,<self:specialDamage()*0.1;self:speed()*0.1>,,
1131,,1,4,,,{},,99,,<>,<>,<1>,<>,<>,1131,
1132,,1,4,,,{},,99,,<>,<>,<1>,<>,<>,1132,
1133,,1,4,,,{},,99,,<11228;11228>,<2;2>,"<1;(moreEqualThan(self:star(),11) and 1 or 0)*(self:flagZ3() and 0 or 1)>",<>,<self:specialDamage()*0.3;self:specialDamage()*0.3>,,
1134,,1,11,,,{},,99,,<11228>,<2>,<self:flagZ3() and 1 or 0>,<>,<self:specialDamage()*0.3>,,
1161,,0,14,,,{},,99,,<11225>,<99>,<1>,<>,<0>,,
1211,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,1211,
1212,,0,14,,,{},,99,,<11226>,<2>,<self:flagZ1() and 1 or 0>,<>,<self:specialDamage()*0.1>,,
1221,,1,1,,,{},,99,,<11228>,<2>,<self:flagZ2() and 0.5 or 0>,<>,<self:specialDamage()*0.3>,1221,
1222,,0,14,,,{},,99,,<>,<>,<1>,<>,<>,,
1223,,0,14,,,{},,99,,<11226;11227>,<2;2>,<1;1>,<>,<self:specialDamage()*0.1;self:speed()*0.1>,,
1231,,1,4,,,{},,99,,<>,<>,<1>,<>,<>,1231,
1232,,1,4,,,{},,99,,<>,<>,<1>,<>,<>,1232,
1233,,1,4,,,{},,99,,<11228;11228>,<2;2>,"<1;(moreEqualThan(self:star(),11) and 1 or 0)*(self:flagZ3() and 0 or 1)>",<>,<self:specialDamage()*0.3;self:specialDamage()*0.3>,,
1234,,1,11,,,{},,99,,<11228>,<2>,<self:flagZ3() and 1 or 0>,<>,<self:specialDamage()*0.3>,,
1261,,0,14,,,{},,99,,<11225>,<99>,<1>,<>,<0>,,
1311,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,1311,
1312,,0,14,,,{},,99,,<11226>,<2>,<self:flagZ1() and 1 or 0>,<>,<self:specialDamage()*0.1>,,
1321,,1,1,,,{},,99,,<11228>,<2>,<self:flagZ2() and 0.5 or 0>,<>,<self:specialDamage()*0.3>,1321,
1322,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,1322,
1323,,0,14,,,{},,99,,<11226;11227>,<2;2>,<1;1>,<>,<self:specialDamage()*0.1;self:speed()*0.1>,,
1324,,1,4,,,{},,99,,<>,<>,<1>,<>,<>,,
1331,,1,4,,,{},,99,,<>,<>,<1>,<>,<>,1331,
1332,,1,4,,,{},,99,,<11228;11228>,<2;2>,"<1;(moreEqualThan(self:star(),11) and 1 or 0)*(self:flagZ3() and 0 or 1)>",<>,<self:specialDamage()*0.3;self:specialDamage()*0.3>,1332,
1333,,1,11,,,{},,99,,<11228>,<2>,<self:flagZ3() and 1 or 0>,<>,<self:specialDamage()*0.3>,,
1334,,0,14,,,{},,99,,<>,<>,<1>,<>,<>,,
1361,,0,14,,,{},,99,,<11225>,<99>,<1>,<>,<0>,,
1411,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,1411,
1412,,1,1,,,{},,99,,<11411>,<2>,<1>,<>,<self:damage()*0.3>,,
1421,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,1421,
1422,,0,14,,,{},,99,,<11412>,<2>,<1>,<>,<self:damage()*0.2>,,
1431,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,1431,
1432,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,1432,
1433,,0,14,,,{},,99,,<11417>,<1>,"<moreEqualThan(self:star(),11) and 1 or 0>",<>,<1000>,,
1434,,1,1,enemyForce,"buffDiffer('group',{1500,1510,1520})",{},,99,,<11413>,<1>,<1>,<>,<self:curSkill():getTotalDamage()*0.48>,,
1435,,1,1,enemyForce,"buffDiffer('group',{c.groupdebuff_oc()})",{},,99,,<11416>,<1>,"<moreEqualThan(self:star(),11) and 1 or 0>",<>,<self:curSkill():getTotalDamage()*0.28>,,
1461,,0,11,,,{},,99,,<11414>,<99>,<(target:nature(1) ==15 or target:nature(2) ==15)  and 1 or 0>,<>,<1>,,
1462,,0,11,,,{},,99,,<11414>,<99>,<(target:nature(1) ==2 or target:nature(2) ==2)  and 1 or 0>,<>,<1>,,
1463,,0,14,,,{},,99,,<11415>,<99>,<1>,<>,"<self:Bdamage()*(0.05+0.0005*skillLevel-0.0005)*countObjByBuff(self:force(),{11414})>",,
1511,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,1511,
1512,,0,14,,,{},,99,,<11512>,<2>,<1>,<>,<self:specialDamage()*0.3>,,
1521,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,1521,
1522,,0,14,,,{},,99,,<11513>,<2>,<1>,<>,<self:speed()*0.2>,,
1523,,1,1,,,{},,99,,<11511>,<2>,<1>,<>,<self:specialDamage()*0.3>,,
1531,,1,4,,,{},,99,,<>,<>,<1>,<>,<>,1531,
1532,,1,4,,,{},,99,,<>,<>,<1>,<>,<>,1532,
1533,,1,4,,,{},,99,,<11511;11511;11514;11511>,<2;2;2;2>,"<1;1;1;moreEqualThan(self:star(),11) and 1 or 0>",<>,<self:specialDamage()*0.3;self:specialDamage()*0.3;1;self:specialDamage()*0.3>,,
1534,,1,11,,,{},,99,,<>,<>,<1>,<>,<>,,
1561,,1,11,,,{},,99,,<11516>,<99>,<1>,<>,"<list(list(1500,1510,1520,1530),0.3+skillLevel*0.003-0.003,2)>",,
1562,,0,11,,,{},,99,,<11519>,<99>,<1>,<>,<1>,,
1563,,0,14,,,{},,99,,<11517>,<99>,"<moreEqualThan(self:star(),8) and 1 or 0>",<>,<1>,,
2111,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,2111,
2112,,0,14,,,{},,99,,<21230>,<2>,<self:flagZ1() and 1 or 0>,<>,<self:specialDefence()*0.2>,,
2121,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,2121,
2122,,0,14,,,{},,99,,<21221>,<2>,<1>,<>,<self:specialDefence()*2>,,
2123,,0,2,,,{},,99,,<21221>,<2>,<self:flagZ2() and 1 or 0>,<>,<self:specialDefence()*2>,,
2131,,1,2,,,{},,99,,<>,<>,<1>,<>,<>,2131,
2132,,1,2,,,{},,99,,<>,<>,<1>,<>,<>,2132,
2133,,0,11,,,{},,99,,<21222;21227>,<2;2>,"<1;moreEqualThan(self:star(),11) and (target:nature(1)==3 or target:nature(2)==3) and 1 or 0>",<>,<self:specialDefence()*1.6;self:flagZ3() and 3000 or 1000>,,
2161,,0,11,,,{},,99,,<21225;21226>,<99;99>,<1;1>,<>,<target:defence()*(0.08+skillLevel*0.0004);target:specialDefence()*(0.08+skillLevel*0.0004)>,,
2162,,0,14,,,{},,99,,<21228>,<99>,"<moreE(self:star(),8) and 1 or 0>",<>,<1>,,
2163,,0,11,,,{},,99,,<21228>,<99>,"<moreE(self:star(),8) and self:flagZ4() and 1 or 0>",<>,<1>,,
2211,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,2211,
2212,,0,14,,,{},,99,,<21230>,<2>,<self:flagZ1() and 1 or 0>,<>,<self:specialDefence()*0.2>,,
2221,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,2221,
2222,,0,14,,,{},,99,,<21221>,<2>,<1>,<>,<self:specialDefence()*2>,,
2223,,0,2,,,{},,99,,<21221>,<2>,<self:flagZ2() and 1 or 0>,<>,<self:specialDefence()*2>,,
2231,,1,2,,,{},,99,,<>,<>,<1>,<>,<>,2231,
2232,,1,2,,,{},,99,,<>,<>,<1>,<>,<>,2232,
2233,,0,11,,,{},,99,,<21222;21227>,<2;2>,"<1;moreEqualThan(self:star(),11) and (target:nature(1)==3 or target:nature(2)==3) and 1 or 0>",<>,<self:specialDefence()*1.6;self:flagZ3() and 3000 or 1000>,,
2261,,0,11,,,{},,99,,<21225;21226>,<99;99>,<1;1>,<>,<target:defence()*(0.08+skillLevel*0.0004);target:specialDefence()*(0.08+skillLevel*0.0004)>,,
2262,,0,14,,,{},,99,,<21228>,<99>,"<moreE(self:star(),8) and 1 or 0>",<>,<1>,,
2263,,0,11,,,{},,99,,<21228>,<99>,"<moreE(self:star(),8) and self:flagZ4() and 1 or 0>",<>,<1>,,
2311,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,2311,
2312,,0,14,,,{},,99,,<21230>,<2>,<self:flagZ1() and 1 or 0>,<>,<self:specialDefence()*0.2>,,
2321,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,2321,
2322,,0,14,,,{},,99,,<21221>,<2>,<1>,<>,<self:specialDefence()*2>,,
2323,,0,2,,,{},,99,,<21221>,<2>,<self:flagZ2() and 1 or 0>,<>,<self:specialDefence()*2>,,
2331,,1,2,,,{},,99,,<>,<>,<1>,<>,<>,2331,
2332,,1,2,,,{},,99,,<>,<>,<1>,<>,<>,2332,
2333,,0,11,,,{},,99,,<21222;21227>,<2;2>,"<1;moreEqualThan(self:star(),11) and (target:nature(1)==3 or target:nature(2)==3) and 1 or 0>",<>,<self:specialDefence()*1.6;self:flagZ3() and 3000 or 1000>,,
2361,,0,11,,,{},,99,,<21225;21226>,<99;99>,<1;1>,<>,<target:defence()*(0.08+skillLevel*0.0004);target:specialDefence()*(0.08+skillLevel*0.0004)>,,
2362,,0,14,,,{},,99,,<21228>,<99>,"<moreE(self:star(),8) and 1 or 0>",<>,<1>,,
2363,,0,11,,,{},,99,,<21228>,<99>,"<moreE(self:star(),8) and self:flagZ4() and 1 or 0>",<>,<1>,,
2411,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,2411,
2412,,0,14,,,{},,99,,<24121;24122>,<2;2>,<1;1>,<>,<self:defence()*0.2;self:specialDefence()*0.5>,,
2421,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,2421,
2422,,0,14,,,{},,99,,<24123>,<2>,<1>,<>,<self:specialDefence()*2>,,
2423,,1,1,selfForce|nodead,otherProcessExcept(2422)|hpRatioMin,{},,99,,<24123>,<2>,<1>,<>,<self:specialDefence()*2>,,
2431,,1,2,,,{},,99,,<>,<>,<1>,<>,<>,2431,
2432,,1,2,,,{},,99,,<>,<>,<1>,<>,<>,2432,
2433,,1,2,,,{},,99,,<24124>,<1>,<1>,<>,<0>,,
2434,,0,11,,,{},,99,,<24125>,<2>,<1>,<>,<self:specialDefence()*(target:frontOrBack()==1 and 3.6 or 2.4)>,,
2461,,0,11,,,{},,99,,<24128;24129>,<99;99>,<1;1>,<>,<self:Bdefence()*(0.18+skillLevel*0.002);self:BspecialDefence()*(0.18+skillLevel*0.002)>,,
2462,,0,14,,,{},,99,,<24130>,<99>,"<moreE(self:star(),8) and 1 or 0>",<>,<1>,,
3111,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,3111,
3121,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,3121,
3122,,1,1,,,{},,99,,<31221>,<1>,<1>,<>,<-target:speed()*0.6>,,
3131,,1,2,,,{},,99,,<>,<>,<1>,<>,<>,3131,
3132,,1,2,,,{},,99,,<>,<>,<1>,<>,<>,3132,
3133,,1,2,,,{},,99,,<31221>,<1>,<1>,<>,"<-target:speed()*(moreEqualThan(self:star(),11) and 1 or 0.4)>",,
3161,,0,14,,,{},,99,,<31222;31223>,<99;1>,<1;1>,<>,<self:speed()*(5+skillLevel*0.05-0.05)*0.01;self:speed()*0.3>,,
3311,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,3311,
3321,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,3321,
3322,,1,1,,,{},,99,,<31221>,<1>,<1>,<>,<-target:speed()*0.6>,,
3331,,1,2,,,{},,99,,<>,<>,<1>,<>,<>,3331,
3332,,1,2,,,{},,99,,<31221>,<1>,<1>,<>,"<-target:speed()*(moreEqualThan(self:star(),11) and 1 or 0.4)>",,
3361,,0,14,,,{},,99,,<31222;31223>,<99;1>,<1;1>,<>,<self:speed()*(5+skillLevel*0.05-0.05)*0.01;self:speed()*0.3>,,
4311,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,4311,
4321,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,4321,
4322,,1,1,,,{},,99,,<43221>,<2>,<0>,<>,<self:damage()*0.1>,,
4331,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,4331,
4332,,1,1,,,{},,99,,<43222>,<2>,<1>,<>,"<moreEqualThan(self:star(),11) and -6000 or -4000>",,
4361,,0,14,,,{},,99,,<43223>,<99>,<1>,<>,"<(10+skillLevel*0.1-0.1+(moreEqualThan(self:star(),8) and 0.1 or 0))*100>",,
4411,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,4411,
4412,,0,14,,,{},,99,,<44228>,<2>,<self:flagZ1() and 1 or 0>,<>,<self:damage()*0.1>,,
4421,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,4421,
4422,,1,1,,,{},,99,,<44221;44223>,<3;self:flagZ2() and 3 or 2>,<1;1>,<>,<self:damage()*0.2;-4000>,,
4431,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,4431,
4432,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,4432,
4433,,1,1,,,{},,99,,<44223>,<5>,<1>,<>,<-8000>,,
4434,,1,1,,,{},,99,,<44225>,<1>,<1>,<>,<1>,,
4461,,0,14,,,{},,99,,<44227>,<99>,<1>,<>,<1>,,
5111,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,5111,
5112,,0,14,,,{},,99,,<51225>,<2>,<self:flagZ1() and 1 or 0>,<>,<self:speed()*0.05>,,
5121,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,5121,
5122,,1,1,,,{},,99,,<51221>,<2>,<1>,<>,<-target:speed()*0.2>,,
5123,,1,1,,,{},,99,,<51226>,<2>,"<self:flagZ2() and less(self:speed(),target:speed()) and 1 or 0>",<>,<-target:speed()*0.2>,,
5131,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,5131,
5132,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,5132,
5133,,0,11,,,{},,99,,<51222>,<self:flagZ3() and 99 or 3>,<1>,<>,<target:speed()*((target:nature(1)==10 or target:nature(2)==10 ) and 0.2 or 0.1)>,,
5161,,0,14,,,{},,99,,<51223;51224>,<2;2>,"<1;moreEqualThan(self:star(),8) and 1 or 0>",<>,<self:speed()*(0.05+skillLevel*0.0005-0.0005);self:damage()*(0.05+skillLevel*0.0005-0.0005)>,,
5211,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,5211,
5212,,0,14,,,{},,99,,<51225>,<2>,<self:flagZ1() and 1 or 0>,<>,<self:speed()*0.05>,,
5221,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,5221,
5222,,1,1,,,{},,99,,<51221>,<2>,<1>,<>,<-target:speed()*0.2>,,
5223,,1,1,,,{},,99,,<51226>,<2>,"<self:flagZ2() and less(self:speed(),target:speed()) and 1 or 0>",<>,<-target:speed()*0.2>,,
5231,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,5231,
5232,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,5232,
5233,,0,11,,,{},,99,,<51222>,<self:flagZ3() and 99 or 3>,<1>,<>,<target:speed()*((target:nature(1)==10 or target:nature(2)==10 ) and 0.2 or 0.1)>,,
5261,,0,14,,,{},,99,,<51223;51224>,<2;2>,"<1;moreEqualThan(self:star(),8) and 1 or 0>",<>,<self:speed()*(0.05+skillLevel*0.0005-0.0005);self:damage()*(0.05+skillLevel*0.0005-0.0005)>,,
5311,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,5311,
5312,,0,14,,,{},,99,,<51225>,<2>,<self:flagZ1() and 1 or 0>,<>,<self:speed()*0.05>,,
5321,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,5321,
5322,,1,1,,,{},,99,,<51221>,<2>,<1>,<>,<-target:speed()*0.2>,,
5323,,1,1,,,{},,99,,<51226>,<2>,"<self:flagZ2() and less(self:speed(),target:speed()) and 1 or 0>",<>,<-target:speed()*0.2>,,
5331,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,5331,
5332,,0,11,,,{},,99,,<51222>,<self:flagZ3() and 99 or 3>,<1>,<>,<target:speed()*((target:nature(1)==10 or target:nature(2)==10 ) and 0.2 or 0.1)>,,
5361,,0,14,,,{},,99,,<51223;51224>,<2;2>,"<1;moreEqualThan(self:star(),8) and 1 or 0>",<>,<self:speed()*(0.05+skillLevel*0.0005-0.0005);self:damage()*(0.05+skillLevel*0.0005-0.0005)>,,
5411,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,5411,
5421,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,5421,
5431,,1,11,,,{},,99,,<>,<>,<1>,<>,<>,5431,
5461,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,,
6111,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,6111,
6121,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,6121,
6122,,1,1,,,{},,99,,<61221;61223>,<99;99>,<1;1>,<>,"<-min(target:defence()*0.05,self:defence()*0.4);-min(target:damage()*0.05,self:damage()*0.4)>",,
6131,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,6131,
6132,,0,14,,,{},,99,,<61225>,<1>,<1>,<>,<90000>,,
6133,,0,14,,,{},,99,,<61226>,<1>,<1>,<>,"<moreEqualThan(self:star(),11) and -2000 or -3000>",,
6161,,0,14,,,{},,99,,<61227>,<99>,<1>,<>,"<(5+skillLevel*0.15-0.15+(moreEqualThan(self:star(),8) and 0.05 or 0))*100>",,
6211,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,6211,
6221,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,6221,
6222,,1,1,,,{},,99,,<61221;61223>,<99;99>,<1;1>,<>,"<-min(target:defence()*0.05,self:defence()*0.4);-min(target:damage()*0.05,self:damage()*0.4)>",,
6231,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,6231,
6232,,0,14,,,{},,99,,<61225>,<1>,<1>,<>,<90000>,,
6233,,0,14,,,{},,99,,<61226>,<1>,<1>,<>,"<moreEqualThan(self:star(),11) and -2000 or -3000>",,
6261,,0,14,,,{},,99,,<61227>,<99>,<1>,<>,"<(5+skillLevel*0.15-0.15+(moreEqualThan(self:star(),8) and 0.05 or 0))*100>",,
7111,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,7111,
7121,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,7121,
7122,,0,14,,,{},,99,,<71221>,<2>,<1>,<>,<self:speed()*0.1>,,
7131,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,7131,
7132,,0,14,,,{},,99,,<71222;71223>,<1;1>,<1;1>,<>,"<-self:defence()*(moreEqualThan(self:star(),11) and 0.1 or 0.3);-self:specialDefence()*(moreEqualThan(self:star(),11) and 0.1 or 0.3)>",,
7161,,0,14,,,{},,99,,<71224>,<99>,<1>,<>,"<(20+skillLevel*0.1-0.1+(moreEqualThan(self:star(),8) and 0.1 or 0))*100>",,
7211,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,7211,
7221,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,7221,
7222,,0,14,,,{},,99,,<71221>,<2>,<1>,<>,<self:speed()*0.1>,,
7231,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,7231,
7232,,0,14,,,{},,99,,<71222;71223>,<1;1>,<1;1>,<>,"<-self:defence()*(moreEqualThan(self:star(),11) and 0.1 or 0.3);-self:specialDefence()*(moreEqualThan(self:star(),11) and 0.1 or 0.3)>",,
7261,,0,14,,,{},,99,,<71224>,<99>,<1>,<>,"<(20+skillLevel*0.1-0.1+(moreEqualThan(self:star(),8) and 0.1 or 0))*100>",,
8111,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,8111,
8121,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,8121,
8122,,1,1,,,{},,99,,<81221>,<2>,<1>,<>,<-target:damage()*0.1>,,
8131,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,8131,
8132,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,8132,
8133,,0,14,,,{},,99,,<81225>,<1>,"<moreEqualThan(self:star(),11) and 1 or 0>",<>,<self:damage()*0.2>,,
8134,,1,1,,,{},,99,,<81222>,<1>,"<moreThan(self:damage(),target:damage()) and 1 or 0>",<>,<0>,,
8161,,1,11,,,{},,99,,<81224>,<3>,"<moreThan(self:damage(),target:damage()) and 1 or 0>",<>,<-target:damage()*(8+skillLevel*0.12-0.12)*0.01>,,
