变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,languages,unlockDesc,unlockDesc_tw,unlockDesc_en,unlockDesc_vn,unlockDesc_kr,unlockDesc_pt,unlockDesc_th
253,艾岚超级喷火龙X,艾嵐 超級噴火龍X,Mega Charizard X của Alain,Alain's Mega Charizard X,알랭의 메가 리자몽X,Mega Charizard X de Alain,เมก้าริซาร์ดอน X ของอลัน,frame/penghuolong_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
254,蕾冠王·黑马,蕾冠王 (黑馬騎士),Calyrex (Hắc mã),Calyrex (Shadow Rider),버드렉스 (흑마 탄 모습),Calyrex (Cavaleiro Espectral),บัดเดร็กซ์ (ราชาอาชาดำ),frame/lgwhm_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
255,蕾冠王·白马,蕾冠王 (白馬騎士),Calyrex (Bạch mã),Calyrex (Ice Rider),버드렉스 (백마 탄 모습),Calyrex (Cavaleiro Glacial),บัดเดร็กซ์ (ราชาอาชาขาว),frame/lgwbm_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
256,假面超级火焰鸡,假面超級火焰雞,Mega Blaziken Mặt nạ,Masked Mega Blaziken,가면 메가 번치코,Mega Blaziken Mascarado,เมก้าบาชาโมสวมหน้ากาก,frame/jmhyj_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
257,闪光超级暴雪王,閃光超級暴雪王,Mega Abomasnow Shiny,Shiny Mega Abomasnow,색이 다른 메가 눈설왕,Mega Abomasnow Brilhante,เมก้ายูกิโนโอสีแตกต่าง,frame/sgcjbxw_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
258,闪光超级妙蛙花,閃光超級妙蛙花,Mega Venusaur Shiny,Shiny Mega Venusaur,색이 다른 메가 이상해꽃,Mega Venusaur Brilhante,เมก้าฟุชิกิบานะสีแตกต่าง,frame/miaowahua_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
259,闪光超级蜥蜴王,閃光超級蜥蜴王,Mega Sceptile Shiny,Shiny Mega Sceptile,색이 다른 메가 나무킹,Mega Sceptile Brilhante,เมก้าจูไคน์สีแตกต่าง,frame/touxiang_sgcjxyw.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
260,无极汰那,無極汰那,Eternatus,Eternatus,무한다이노,Eternatus,มุเก็นไดนา,frame/touxiang_wujitaina.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
261,密勒顿,密勒頓,Miraidon,Miraidon,미라이돈,Miraidon,มิไรดอน,frame/mld_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
262,小刚超级大刚蛇,小剛 超級大鋼蛇,Mega Steelix của Brock,Brock's Mega Steelix,웅의 메가 강철톤,Mega Steelix de Brock,เมก้าฮากาเนลของทาเคชิ,frame/cjdgs_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
263,冠军皮卡丘,冠軍皮卡丘,Pikachu Vô địch,Champion Pikachu,챔피언 피카츄,Pikachu Campeão,พิคาชูแชมป์เปี้ยน,frame/gjpkq_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
264,故勒顿,故勒頓,Koraidon,Koraidon,코라이돈,Koraidon,โคไรดอน,frame/guledun_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
265,希嘉娜超级暴飞龙,希嘉娜 超級暴飛龍,Mega Salamence của Zinnia,Zinnia's Mega Salamence,피아나의 메가 보만다,Mega Salamence de Zinnia,เมก้าโบมันเดอร์ของฮิกานะ,frame/cjbaofeilong_tou.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
266,暗黑酋雷姆,闇黑酋雷姆,Black Kyurem,Black Kyurem,블랙큐레무,Black Kyurem,แบล็คคิวเรม,frame/txk_ahqlm.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
267,黄昏之鬃,奈克洛茲瑪 (黃昏之鬃),Necrozma Bờm Hoàng Hôn,Dusk Mane Necrozma,네크로즈마 (황혼의 갈기),Necrozma Juba Crepuscular,เนครอสมา (แผงคอแห่งสนธยา),frame/hhzz_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
268,红色闪电超级巨钳螳螂,紅色閃電超級巨鉗螳螂,Mega Scizor Sét Đỏ,Red Lightning Mega Scizor,붉은 번개 메가 핫삼,Mega Scizor Relâmpago Vermelho,เมก้าฮัสซัมสายฟ้าสีแดง,frame/sgcjjqtl_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
269,帝牙卢卡·起源,帝牙盧卡 (起源形態),Dialga (Origin Forme),Dialga (Origin Forme),디아루가 (오리진폼),Dialga (Origin Forme),ดัลกา (ออริจินฟอร์ม),frame/dylkqy_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
300,圣诞,聖誕,Giáng sinh,Christmas,크리스마스,Natal,คริสต์มาส,config/portrait/frame/icon_sdtxk.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
301,爆竹声声,爆竹聲聲,Tiếng pháo nổ,Sounds of Firecrackers,폭죽 소리,Sons de Fogos de Artifício,เสียงประทัดดัง,config/portrait/frame/icon_cjtxk.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
302,劳动最光荣,勞動最光榮,Lao động là vinh quang nhất,Labor is Most Glorious,노동은 가장 영광스러운 것,O Trabalho é Mais Glorioso,แรงงานคือสิ่งรุ่งโรจน์ที่สุด,config/portrait/frame/icon_wytxk.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
303,童真童趣,童真童趣,Ngây thơ và Vui vẻ,Childlike Innocence and Fun,순수한 동심,Inocência e Diversão Infantil,ความไร้เดียงสาและความสนุกของเด็ก,config/portrait/frame/icon_ly.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
304,粽情端午,粽情端午,Tình cảm bánh chưng ngày Tết Đoan Ngọ,Zongzi Love for Dragon Boat Festival,쫑쯔와 함께하는 단오절,Amor de Zongzi no Festival do Barco-Dragão,เทศกาลไหว้บ๊ะจ่างแห่งความรัก,config/portrait/frame/icon_dwjtxk.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
305,中秋月兔,中秋月兔,Thỏ ngọc Trung thu,Mid-Autumn Moon Rabbit,추석 달토끼,Coelho da Lua do Meio do Outono,กระต่ายบนดวงจันทร์ในวันไหว้พระจันทร์,frame/zhongqiu.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
306,庆典,慶典,Lễ kỷ niệm,Celebration,축전,Celebração,การเฉลิมฉลอง,frame/qingdian.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
307,万圣的恶魔,萬聖的惡魔,Ác quỷ Halloween,Halloween's Demon,할로윈의 악마,Demônio do Halloween,ปีศาจแห่งฮาโลวีน,config/portrait/frame/icon_wsj.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
308,圣诞麋鹿2020,聖誕麋鹿2020,Tuần lộc Giáng sinh 2020,Christmas Reindeer 2020,크리스마스 순록 2020,Rena de Natal 2020,กวางเรนเดียร์คริสต์มาส 2020,config/portrait/frame/icon_2021sdtxk.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
309,舞狮庆元旦,舞獅慶元旦,Múa lân mừng Tết Nguyên Đán,Lion Dance Celebrates New Year's Day,사자춤과 함께하는 신년,Dança do Leão para Celebrar o Ano Novo,เชิดสิงโตฉลองวันปีใหม่,config/portrait/frame/icon_2021ydtxk.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
310,元宵贺岁,元宵賀歲,Tết Nguyên Tiêu chúc mừng năm mới,Lantern Festival Greetings,원소절 축하,Saudações do Festival das Lanternas,สุขสันต์เทศกาลโคมไฟ,config/portrait/frame/icon_yxjtxk.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
311,恭喜发大财,恭喜發大財,Cung hỷ phát tài,Wishing You Great Fortune,새해 복 많이 받으세요,Desejando-lhe Grande Fortuna,ขอให้ร่ำรวยมั่งคั่ง,config/portrait/frame/icon_nn2021.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
312,爱就在一起,愛就在一起,Yêu là ở bên nhau,Love is Being Together,사랑은 함께하는 것,Amor é Estar Junto,ความรักคือการอยู่ด้วยกัน,config/portrait/frame/touxiangkuang_qrj.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
313,1周年庆贺,1週年慶賀,Lễ kỷ niệm 1 năm,1st Anniversary Celebration,1주년 축하,Celebração de 1º Aniversário,การเฉลิมฉลองครบรอบ 1 ปี,frame/txk_zhounianqin.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
314,劳动节2021限定,勞動節2021限定,Giới hạn Ngày Quốc tế Lao động 2021,Labor Day 2021 Limited,2021년 노동절 한정,Limitado do Dia do Trabalho de 2021,ลิมิเต็ดวันแรงงาน 2021,config/portrait/frame/icon_wytxk1.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
315,欢乐六一,歡樂六一,Vui vẻ ngày 1/6,Happy Children's Day,즐거운 어린이날,Feliz Dia das Crianças,สุขสันต์วันเด็ก,config/portrait/frame/icon_lyetjj.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
316,粽游端午,粽遊端午,Du ngoạn Tết Đoan Ngọ cùng bánh chưng,Dragon Boat Festival Zongzi Tour,쫑쯔와 함께하는 단오 여행,Passeio de Zongzi no Festival do Barco-Dragão,เที่ยวเทศกาลไหว้บ๊ะจ่าง,frame/duantoutouxiangkuang.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
317,夏日乐游游,夏日樂悠遊,Du lịch vui vẻ mùa hè,Happy Summer Tour,즐거운 여름 나들이,Passeio de Verão Feliz,ทัวร์ฤดูร้อนแสนสุข,config/portrait/frame/icon_xrj@.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
318,团圆中秋,團圓中秋,Đoàn viên Trung thu,Reunion on Mid-Autumn,한가위 단란한 모임,Reunião no Meio do Outono,การรวมตัวในวันไหว้พระจันทร์,config/portrait/frame/icon_zqjtxk.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
319,狂欢节日,狂歡節日,Lễ hội hóa trang,Carnival Festival,광란의 축제,Festival de Carnaval,เทศกาลรื่นเริง,config/portrait/frame/icon_21gqtxk.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
