变量名,_beizhu,cardID,canDevelop,canDevelop2,heightAndWeight,isOpen,languages,attrType1,attrValue1,attrType2,attrValue2,pokedexs
默认值,"""""",0,FALSE,FALSE,<0;0>,TRUE,<cn;tw;en;vn;th;kr;pt>,,"""""",,"""""",""""""
ID,备注,卡牌id,图鉴默认激活开关,图鉴前置形态自动激活开关,身高体重,当前版本是否开放,语言区域,属性加成类型1,属性加成数值1,属性加成类型2,属性加成数值2,图鉴顺序
1,妙蛙种子,1,FALSE,FALSE,<0.7;6.9>,TRUE,,1,0.13%,,,1
151,宝宝丁,151,FALSE,FALSE,<0.3;1>,TRUE,,13,0.20%,,,42
152,胖丁,152,FALSE,FALSE,<0.5;5.5>,TRUE,,13,0.20%,,,43
153,胖可丁,153,FALSE,FALSE,<1;12>,TRUE,,13,0.20%,,,44
161,超音蝠,161,FALSE,FALSE,<0.8;7.5>,TRUE,,7,0.27%,,,45
162,大嘴蝠,162,FALSE,FALSE,<1.6;55>,TRUE,,7,0.27%,,,46
163,叉字蝠,163,FALSE,FALSE,<1.8;75>,TRUE,,7,0.27%,,,47
171,走路草,171,FALSE,FALSE,<0.5;5.4>,TRUE,,8,0.13%,,,48
172,臭臭花,172,FALSE,FALSE,<0.8;8.6>,TRUE,,8,0.13%,,,49
173,霸王花,173,FALSE,FALSE,<1.2;18.6>,TRUE,,8,0.13%,,,50
191,毛球,191,FALSE,FALSE,<1;30>,TRUE,,13,0.20%,,,51
192,摩鲁蛾,192,FALSE,FALSE,<1.5;12.5>,TRUE,,13,0.20%,,,52
211,喵喵,211,FALSE,FALSE,<0.4;4.2>,TRUE,,13,0.20%,,,53
212,猫老大,212,FALSE,FALSE,<1;32>,TRUE,,13,0.20%,,,54
221,可达鸭,221,FALSE,FALSE,<0.8;19.6>,TRUE,,8,0.30%,,,55
222,哥达鸭,222,FALSE,FALSE,<1.7;76.6>,TRUE,,8,0.30%,,,56
231,猴怪,231,FALSE,FALSE,<0.5;28>,TRUE,,9,0.20%,,,57
232,火暴猴,232,FALSE,FALSE,<1;32>,TRUE,,9,0.20%,,,58
241,卡蒂狗,241,FALSE,FALSE,<0.7;19>,TRUE,,7,0.40%,,,59
242,风速狗,242,FALSE,FALSE,<1.9;155>,TRUE,,7,0.40%,,,60
251,蚊香蝌蚪,251,FALSE,FALSE,<0.6;12.4>,TRUE,,1,0.18%,,,61
252,蚊香君,252,FALSE,FALSE,<1;20>,TRUE,,1,0.18%,,,62
253,蚊香泳士,253,FALSE,FALSE,<1.3;54>,TRUE,,1,0.18%,,,63
254,蚊香蛙皇,254,FALSE,FALSE,<1.1;33.9>,TRUE,,1,0.18%,,,64
261,凯西,261,FALSE,FALSE,<0.9;19.5>,TRUE,,1,0.18%,,,65
262,勇基拉,262,FALSE,FALSE,<1.3;56.5>,TRUE,,1,0.18%,,,66
263,胡地,263,FALSE,FALSE,<1.5;48>,TRUE,,1,0.18%,,,67
264,超级胡地,264,FALSE,FALSE,<1.5;48>,TRUE,,1,0.18%,,,68
271,腕力,271,FALSE,FALSE,<0.8;19.5>,TRUE,,7,0.20%,,,69
272,豪力,272,FALSE,FALSE,<1.5;70.5>,TRUE,,7,0.20%,,,70
273,怪力,273,FALSE,FALSE,<1.6;130>,TRUE,,7,0.20%,,,71
281,喇叭芽,281,FALSE,FALSE,<0.7;4>,TRUE,,8,0.20%,,,72
282,口呆花,282,FALSE,FALSE,<1;6.4>,TRUE,,8,0.20%,,,73
283,大食花,283,FALSE,FALSE,<1.7;15.5>,TRUE,,8,0.20%,,,74
301,小拳石,301,FALSE,FALSE,<0.4;20>,TRUE,,9,0.20%,,,75
302,隆隆石,302,FALSE,FALSE,<1;105>,TRUE,,9,0.20%,,,76
303,隆隆岩,303,FALSE,FALSE,<1.4;300>,TRUE,,9,0.20%,,,77
321,呆呆兽,321,FALSE,FALSE,<1.2;36>,TRUE,,10,0.27%,,,78
,呆壳兽,322,FALSE,FALSE,<1.2;36>,TRUE,,10,0.27%,,,79
323,呆呆王,323,FALSE,FALSE,<2;79.5>,TRUE,,10,0.27%,,,80
331,小磁怪,331,FALSE,FALSE,<0.3;6>,TRUE,,10,0.27%,,,81
332,三合一磁怪,332,FALSE,FALSE,<1;60>,TRUE,,10,0.27%,,,82
333,自爆磁怪,333,FALSE,FALSE,<1.2;180>,TRUE,,10,0.27%,,,83
341,大葱鸭,341,FALSE,FALSE,<0.8;15>,TRUE,,13,0.40%,,,84
351,嘟嘟,351,FALSE,FALSE,<1.4;39.2>,TRUE,,1,0.15%,,,85
352,嘟嘟利,352,FALSE,FALSE,<1.8;85.2>,TRUE,,1,0.15%,,,86
371,臭泥,371,FALSE,FALSE,<0.9;30>,TRUE,,9,0.30%,,,87
372,臭臭泥,372,FALSE,FALSE,<1.2;30>,TRUE,,9,0.30%,,,88
381,大舌贝,381,FALSE,FALSE,<0.3;4>,TRUE,,7,0.40%,,,89
382,刺甲贝,382,FALSE,FALSE,<1.5;132.5>,TRUE,,7,0.40%,,,90
391,鬼斯,391,FALSE,FALSE,<1.3;0.1>,TRUE,,13,0.27%,,,91
392,鬼斯通,392,FALSE,FALSE,<1.6;0.1>,TRUE,,13,0.27%,,,92
393,耿鬼,393,FALSE,FALSE,<1.5;40.5>,TRUE,,13,0.27%,,,93
394,超级耿鬼,394,FALSE,FALSE,<1.5;40.5>,TRUE,,13,0.27%,,,94
401,大岩蛇,401,FALSE,FALSE,<8.8;210>,TRUE,,9,0.40%,,,95
402,大钢蛇,402,FALSE,FALSE,<9.2;400>,TRUE,,9,0.40%,,,96
403,超级大钢蛇,403,FALSE,FALSE,<10.5;740>,TRUE,,9,0.40%,,,97
411,催眠貘,411,FALSE,FALSE,<1;32.4>,TRUE,,10,0.40%,,,98
412,引梦貘人,412,FALSE,FALSE,<1.6;75.6>,TRUE,,10,0.40%,,,99
431,霹雳电球,431,FALSE,FALSE,<0.5;10.4>,TRUE,,8,0.40%,,,100
432,顽皮雷弹,432,FALSE,FALSE,<1.2;66.6>,TRUE,,8,0.40%,,,101
441,蛋蛋,441,FALSE,FALSE,<0.4;2.5>,TRUE,,8,0.40%,,,102
442,椰蛋树,442,FALSE,FALSE,<2;120>,TRUE,,8,0.40%,,,103
451,卡拉卡拉,451,FALSE,FALSE,<0.4;6.5>,TRUE,,7,0.20%,,,104
452,嘎啦嘎啦,452,FALSE,FALSE,<1;45>,TRUE,,7,0.20%,,,105
461,无畏小子,461,FALSE,FALSE,<0.7;21>,TRUE,,7,0.15%,,,106
462,飞腿郎,462,FALSE,FALSE,<1.5;49.8>,TRUE,,7,0.15%,,,107
463,快拳郎,463,FALSE,FALSE,<1.4;50.2>,TRUE,,7,0.15%,,,108
464,战舞郎,464,FALSE,FALSE,<1.4;48>,TRUE,,7,0.15%,,,109
471,大舌头,471,FALSE,FALSE,<1.2;65.5>,TRUE,,10,0.30%,,,110
472,大舌舔,472,FALSE,FALSE,<1.7;140>,TRUE,,10,0.30%,,,111
481,瓦斯弹,481,FALSE,FALSE,<0.6;1>,TRUE,,8,0.30%,,,112
482,双弹瓦斯,482,FALSE,FALSE,<1.2;9.5>,TRUE,,8,0.30%,,,113
491,独角犀牛,491,FALSE,FALSE,<1;115>,TRUE,,9,0.27%,,,114
492,钻角犀兽,492,FALSE,FALSE,<1.9;120>,TRUE,,9,0.27%,,,115
493,超甲狂犀,493,FALSE,FALSE,<2.4;282.8>,TRUE,,9,0.27%,,,116
501,小福蛋,501,FALSE,FALSE,<0.6;24.4>,TRUE,,1,0.18%,,,117
502,吉利蛋,502,FALSE,FALSE,<1.1;34.6>,TRUE,,1,0.18%,,,118
503,幸福蛋,503,FALSE,FALSE,<1.5;46.8>,TRUE,,1,0.18%,,,119
541,角金鱼,541,FALSE,FALSE,<0.6;15>,TRUE,,1,0.15%,,,120
542,金鱼王,542,FALSE,FALSE,<1.3;39>,TRUE,,1,0.15%,,,121
551,海星星,551,FALSE,FALSE,<0.8;34.5>,TRUE,,8,0.30%,,,122
552,宝石海星,552,FALSE,FALSE,<1.1;80>,TRUE,,8,0.30%,,,123
561,魔尼尼,561,FALSE,FALSE,<0.6;13>,TRUE,,10,0.40%,,,124
562,魔墙人偶,562,FALSE,FALSE,<1.3;54.5>,TRUE,,10,0.40%,,,125
571,飞天螳螂,571,FALSE,FALSE,<1.5;56>,TRUE,,7,0.40%,,,126
572,巨钳螳螂,572,FALSE,FALSE,<1.8;118>,TRUE,,7,0.40%,,,127
574,超级巨钳螳螂,574,FALSE,FALSE,<2;125>,TRUE,,7,0.40%,,,128
591,电击怪,591,FALSE,FALSE,<0.6;23.5>,TRUE,,8,0.27%,,,129
592,电击兽,592,FALSE,FALSE,<1.1;30>,TRUE,,8,0.27%,,,130
593,电击魔兽,593,FALSE,FALSE,<1.8;138.6>,TRUE,,8,0.27%,,,131
601,鸭嘴宝宝,601,FALSE,FALSE,<0.7;21.4>,TRUE,,10,0.27%,,,132
602,鸭嘴火兽,602,FALSE,FALSE,<1.3;44.5>,TRUE,,10,0.27%,,,133
603,鸭嘴炎兽,603,FALSE,FALSE,<1.6;68>,TRUE,,10,0.27%,,,134
611,凯罗斯,611,FALSE,FALSE,<1.5;55>,TRUE,,7,0.80%,,,135
631,暴鲤龙,631,FALSE,FALSE,<6.5;235>,TRUE,,7,0.80%,,,136
632,超级暴鲤龙,632,FALSE,FALSE,<0.3;4>,TRUE,,13,1.00%,,,137
641,拉普拉斯,641,FALSE,FALSE,<2.5;220>,TRUE,,1,0.55%,,,138
691,化石盔,691,FALSE,FALSE,<0.5;11.5>,TRUE,,9,0.30%,,,139
692,镰刀盔,692,FALSE,FALSE,<1.3;40.5>,TRUE,,9,0.30%,,,140
701,化石翼龙,701,FALSE,FALSE,<1.8;59>,TRUE,,13,0.80%,,,141
702,超级化石翼龙,702,FALSE,FALSE,<1.8;59>,FALSE,,13,0.80%,,,142
711,小卡比兽,711,FALSE,FALSE,<0.6;105>,TRUE,,1,0.28%,,,143
712,卡比兽,712,FALSE,FALSE,<2.1;460>,TRUE,,1,0.28%,,,144
721,急冻鸟,721,FALSE,FALSE,<1.7;55.4>,TRUE,,13,0.80%,,,145
731,闪电鸟,731,FALSE,FALSE,<1.6;52.6>,TRUE,,8,0.80%,,,146
741,火焰鸟,741,FALSE,FALSE,<2;60>,TRUE,,8,0.80%,,,147
751,迷你龙,751,FALSE,FALSE,<1.8;3.3>,TRUE,,7,0.27%,,,148
752,哈克龙,752,FALSE,FALSE,<4;16.5>,TRUE,,7,0.27%,,,149
753,快龙,753,FALSE,TRUE,<2.2;210>,TRUE,,7,0.27%,,,150
761,超梦,761,FALSE,FALSE,<2;122>,TRUE,,8,1.00%,,,151
762,超级超梦X,762,FALSE,FALSE,<2.3;127>,TRUE,,8,1.00%,,,152
763,超级超梦Y,763,FALSE,FALSE,<1.5;33>,TRUE,,8,1.00%,,,153
771,梦幻,771,FALSE,FALSE,<0.4;4>,TRUE,,13,0.80%,,,154
781,菊草叶,781,FALSE,FALSE,<0.9;6.4>,TRUE,,1,0.13%,,,155
782,月桂叶,782,FALSE,FALSE,<1.2;15.8>,TRUE,,1,0.13%,,,156
783,大竺葵,783,FALSE,FALSE,<1.8;100.5>,TRUE,,1,0.13%,,,157
791,火球鼠,791,FALSE,FALSE,<0.5;7.9>,TRUE,,8,0.20%,,,158
792,火岩鼠,792,FALSE,FALSE,<0.9;19>,TRUE,,8,0.20%,,,159
793,火暴兽,793,FALSE,FALSE,<1.7;79.5>,TRUE,,8,0.20%,,,160
801,小锯鳄,801,FALSE,FALSE,<0.6;9.5>,TRUE,,7,0.20%,,,161
802,蓝鳄,802,FALSE,FALSE,<1.1;25>,TRUE,,7,0.20%,,,162
803,大力鳄,803,FALSE,FALSE,<2.3;88.8>,TRUE,,7,0.20%,,,163
861,波克比,861,FALSE,FALSE,<0.3;1.5>,TRUE,,10,0.27%,,,164
862,波克基古,862,FALSE,FALSE,<0.6;3.2>,TRUE,,10,0.27%,,,165
863,波克基斯,863,FALSE,FALSE,<1.5;38>,TRUE,,10,0.27%,,,166
881,咩利羊,881,FALSE,FALSE,<0.6;7.8>,TRUE,,10,0.27%,,,167
882,茸茸羊,882,FALSE,FALSE,<0.8;13.3>,TRUE,,10,0.27%,,,168
883,电龙,883,FALSE,FALSE,<1.4;61.5>,TRUE,,10,0.27%,,,169
884,超级电龙,884,FALSE,FALSE,<1.4;61.5>,TRUE,,10,0.27%,,,170
891,露力丽,891,FALSE,FALSE,<0.2;2>,TRUE,,8,0.13%,,,171
892,玛力露,892,FALSE,FALSE,<0.4;8.5>,TRUE,,8,0.13%,,,172
893,玛力露丽,893,FALSE,FALSE,<0.8;28.5>,TRUE,,8,0.13%,,,173
901,盆才怪,901,FALSE,FALSE,<0.5;15>,TRUE,,9,0.40%,,,174
902,树才怪,902,FALSE,FALSE,<1.2;38>,TRUE,,9,0.40%,,,175
971,梦妖,971,FALSE,FALSE,<0.7;1>,TRUE,,8,0.40%,,,176
972,梦妖魔,972,FALSE,FALSE,<0.9;4.4>,TRUE,,8,0.40%,,,177
1031,天蝎,1031,FALSE,FALSE,<1.1;64.8>,TRUE,,1,0.28%,,,178
1032,天蝎王,1032,FALSE,FALSE,<2;42.5>,TRUE,,1,0.28%,,,179
1071,赫拉克罗斯,1071,FALSE,FALSE,<1.5;54>,TRUE,,9,0.80%,,,180
1072,超级赫拉克罗斯,1072,FALSE,FALSE,<0.3;4>,TRUE,,13,1.00%,,,181
1081,狃拉,1081,FALSE,FALSE,<0.9;28>,TRUE,,8,0.40%,,,182
1082,玛狃拉,1082,FALSE,FALSE,<1.1;34>,TRUE,,8,0.40%,,,183
1171,戴鲁比,1171,FALSE,FALSE,<0.6;10.8>,TRUE,,1,0.28%,,,184
1172,黑鲁加,1172,FALSE,FALSE,<1.4;35>,TRUE,,1,0.28%,,,185
1173,超级黑鲁加,1173,FALSE,FALSE,<0.3;4>,TRUE,,13,1.00%,,,186
1221,雷公,1221,FALSE,FALSE,<1.9;178>,TRUE,,13,0.80%,,,187
1231,炎帝,1231,FALSE,FALSE,<2.1;198>,TRUE,,7,0.80%,,,188
1241,水君,1241,FALSE,FALSE,<2;187>,TRUE,,10,0.80%,,,189
1251,幼基拉斯,1251,FALSE,FALSE,<0.6;72>,TRUE,,9,0.27%,,,190
1252,沙基拉斯,1252,FALSE,FALSE,<1.2;152>,TRUE,,9,0.27%,,,191
1253,班基拉斯,1253,FALSE,FALSE,<2;202>,TRUE,,9,0.27%,,,192
1261,洛奇亚,1261,FALSE,FALSE,<5.2;216>,TRUE,,10,1.00%,,,193
1271,凤王,1271,FALSE,FALSE,<3.8;199>,TRUE,,7,1.00%,,,194
1281,时拉比,1281,FALSE,FALSE,<0.6;5>,TRUE,,1,0.70%,,,195
1291,木守宫,1291,FALSE,FALSE,<0.5;5>,TRUE,,8,0.27%,,,196
1292,森林蜥蜴,1292,FALSE,FALSE,<0.9;21.6>,TRUE,,8,0.27%,,,197
1293,蜥蜴王,1293,FALSE,FALSE,<1.7;52.2>,TRUE,,8,0.27%,,,198
1294,超级蜥蜴王,1294,FALSE,FALSE,<1.9;52.2>,TRUE,,8,0.27%,,,199
1301,火稚鸡,1301,FALSE,FALSE,<0.4;2.5>,TRUE,,7,0.27%,,,200
1302,力壮鸡,1302,FALSE,FALSE,<0.9;19.5>,TRUE,,7,0.27%,,,201
1303,火焰鸡,1303,FALSE,TRUE,<1.9;52>,TRUE,,7,0.27%,,,202
1304,超级火焰鸡,1304,FALSE,FALSE,<0.3;4>,TRUE,,13,1.00%,,,203
1311,水跃鱼,1311,FALSE,FALSE,<0.4;7.6>,TRUE,,1,0.18%,,,204
1312,沼跃鱼,1312,FALSE,FALSE,<0.7;28>,TRUE,,1,0.18%,,,205
1313,巨沼怪,1313,FALSE,FALSE,<1.5;81.9>,TRUE,,1,0.18%,,,206
1314,超级巨沼怪,1314,FALSE,FALSE,<1.5;81.9>,TRUE,,1,0.18%,,,207
1351,莲叶童子,1351,FALSE,FALSE,<0.5;2.6>,TRUE,,1,0.10%,,,208
1352,莲帽小童,1352,FALSE,FALSE,<1.2;32.5>,TRUE,,1,0.10%,,,209
1353,乐天河童,1353,FALSE,FALSE,<1.5;55>,TRUE,,1,0.10%,,,210
1391,拉鲁拉丝,1391,FALSE,FALSE,<0.4;6.6>,TRUE,,1,0.14%,,,211
1392,奇鲁莉安,1392,FALSE,FALSE,<0.8;20.2>,TRUE,,1,0.14%,,,212
1393,沙奈朵,1393,FALSE,FALSE,<1.6;48.4>,TRUE,,1,0.14%,,,213
1394,艾路雷朵,1394,FALSE,FALSE,<1.6;52>,TRUE,,1,0.14%,,,214
1396,超级沙奈朵,1396,FALSE,FALSE,<1.6;48.4>,TRUE,,1,0.14%,,,215
1397,超级艾路雷朵,1397,FALSE,FALSE,<1.6;56.4>,TRUE,,1,0.14%,,,216
1421,懒人獭,1421,FALSE,FALSE,<0.8;24>,TRUE,,7,0.27%,,,217
1422,过动猿,1422,FALSE,FALSE,<1.4;46.5>,TRUE,,7,0.27%,,,218
1423,请假王,1423,FALSE,FALSE,<2;130.5>,TRUE,,7,0.27%,,,219
1441,咕妞妞,1441,FALSE,FALSE,<0.6;16.3>,TRUE,,1,0.13%,,,220
1442,吼爆弹,1442,FALSE,FALSE,<1;40.5>,TRUE,,1,0.13%,,,221
1443,爆音怪,1443,FALSE,FALSE,<1.5;84>,TRUE,,1,0.13%,,,222
1481,勾魂眼,1481,FALSE,FALSE,<0.5;11>,TRUE,,9,0.60%,,,223
1501,可可多拉,1501,FALSE,FALSE,<0.4;60>,TRUE,,9,0.27%,,,224
1502,可多拉,1502,FALSE,FALSE,<0.9;120>,TRUE,,9,0.27%,,,225
1503,波士可多拉,1503,FALSE,FALSE,<2.1;360>,TRUE,,9,0.27%,,,226
1504,超级波士可多拉,1504,FALSE,FALSE,<2.2;395>,TRUE,,9,0.27%,,,227
1511,玛沙那,1511,FALSE,FALSE,<0.5;11>,FALSE,,7,0.30%,,,228
1512,恰雷姆,1512,FALSE,FALSE,<0.5;11>,FALSE,,7,0.30%,,,229
1611,呆火驼,1611,FALSE,FALSE,<0.7;24>,TRUE,,10,0.30%,,,230
1612,喷火驼,1612,FALSE,FALSE,<1.9;220>,TRUE,,10,0.30%,,,231
1641,晃晃斑,1641,FALSE,FALSE,<1.1;5>,FALSE,,9,0.20%,,,232
1671,青绵鸟,1671,FALSE,FALSE,<0.4;1.2>,TRUE,,10,0.40%,,,233
1672,七夕青鸟,1672,FALSE,FALSE,<1.1;20.6>,TRUE,,10,0.40%,,,234
1771,丑丑鱼,1771,FALSE,FALSE,<0.6;7.4>,TRUE,,10,0.27%,,,235
1772,美纳斯,1772,FALSE,FALSE,<6.2;162>,TRUE,,10,0.27%,,,236
1801,怨影娃娃,1801,FALSE,FALSE,<0.6;2.3>,TRUE,,13,0.30%,,,237
1802,诅咒娃娃,1802,FALSE,FALSE,<1.1;12.5>,TRUE,,13,0.30%,,,238
1803,超级诅咒娃娃,1803,FALSE,FALSE,<1.1;12.5>,TRUE,,13,1.00%,,,239
1811,夜巡灵,1811,FALSE,FALSE,<0.8;15>,TRUE,,1,0.18%,,,240
1812,彷徨夜灵,1812,FALSE,FALSE,<1.6;30.6>,TRUE,,1,0.18%,,,241
1813,黑夜魔灵,1813,FALSE,FALSE,<2.2;106>,TRUE,,1,0.18%,,,242
1841,阿勃梭鲁,1841,FALSE,FALSE,<1.2;47>,TRUE,,1,0.55%,,,243
1851,雪童子,1851,FALSE,FALSE,<0.7;16.8>,TRUE,,8,0.20%,,,244
1852,冰鬼护,1852,FALSE,FALSE,<1.5;256.5>,TRUE,,8,0.20%,,,245
1853,雪妖女,1853,FALSE,FALSE,<1.3;26.6>,TRUE,,8,0.20%,,,246
1861,海豹球,1861,FALSE,FALSE,<0.8;39.5>,TRUE,,10,0.20%,,,247
1862,海魔狮,1862,FALSE,FALSE,<1.1;87.6>,TRUE,,10,0.20%,,,248
1863,帝牙海狮,1863,FALSE,FALSE,<1.4;150.6>,TRUE,,10,0.20%,,,249
1891,宝贝龙,1891,FALSE,FALSE,<0.6;42.1>,TRUE,,8,0.27%,,,250
1892,甲壳龙,1892,FALSE,FALSE,<1.1;110.5>,TRUE,,8,0.27%,,,251
1893,暴飞龙,1893,FALSE,FALSE,<1.5;102.6>,TRUE,,8,0.27%,,,252
1901,铁哑铃,1901,FALSE,FALSE,<0.6;95.2>,TRUE,,9,0.27%,,,253
1902,金属怪,1902,FALSE,TRUE,<1.2;202.5>,TRUE,,9,0.27%,,,254
1903,巨金怪,1903,FALSE,TRUE,<1.6;550>,TRUE,,9,0.27%,,,255
1911,雷吉洛克,1911,FALSE,FALSE,<1.7;230>,TRUE,,9,0.80%,,,256
1921,雷吉艾斯,1921,FALSE,FALSE,<1.8;175>,TRUE,,10,0.80%,,,257
1931,雷吉斯奇鲁,1931,FALSE,FALSE,<1.9;205>,TRUE,,9,0.80%,,,258
1941,拉帝亚斯,1941,FALSE,FALSE,<1.4;40>,TRUE,,10,0.80%,,,259
1951,拉帝欧斯,1951,FALSE,FALSE,<2;60>,TRUE,,8,0.80%,,,260
1961,盖欧卡,1961,FALSE,FALSE,<4.5;352>,TRUE,,8,1.00%,,,261
1962,原始盖欧卡,1962,FALSE,FALSE,<0.3;4>,TRUE,,13,1.00%,,,262
1971,固拉多,1971,FALSE,FALSE,<3.5;950>,TRUE,,9,1.00%,,,263
1972,原始固拉多,1972,FALSE,FALSE,<5;999.7>,TRUE,,9,1.00%,,,264
1981,裂空座,1981,FALSE,FALSE,<7;206.5>,TRUE,,13,1.00%,,,265
1982,超级裂空座,1982,FALSE,FALSE,<7;206.5>,TRUE,,13,1.00%,,,266
1991,基拉祈,1991,FALSE,FALSE,<0.3;1.1>,TRUE,,13,1.00%,,,267
2011,草苗龟,2011,FALSE,FALSE,<0.4;10.2>,TRUE,,1,0.13%,,,268
2012,树林龟,2012,FALSE,FALSE,<1.1;97>,TRUE,,1,0.13%,,,269
2013,土台龟,2013,FALSE,FALSE,<2.2;310>,TRUE,,1,0.13%,,,270
2021,小火焰猴,2021,FALSE,FALSE,<0.5;6.2>,TRUE,,7,0.27%,,,271
2022,猛火猴,2022,FALSE,FALSE,<0.9;22>,TRUE,,7,0.27%,,,272
2023,烈焰猴,2023,FALSE,FALSE,<1.2;55>,TRUE,,7,0.27%,,,273
2031,波加曼,2031,FALSE,FALSE,<0.4;5.2>,TRUE,,8,0.27%,,,274
2032,波皇子,2032,FALSE,FALSE,<0.8;23>,TRUE,,8,0.27%,,,275
2033,帝王拿波,2033,FALSE,FALSE,<1.7;84.5>,TRUE,,8,0.27%,,,276
2041,姆克儿,2041,FALSE,FALSE,<0.3;2>,TRUE,,7,0.27%,,,277
2042,姆克鸟,2042,FALSE,FALSE,<0.6;15.5>,TRUE,,7,0.27%,,,278
2043,姆克鹰,2043,FALSE,FALSE,<1.2;24.9>,TRUE,,7,0.27%,,,279
2071,小猫怪,2071,FALSE,FALSE,<0.5;9.5>,TRUE,,7,0.20%,,,280
2072,勒克猫,2072,FALSE,FALSE,<0.9;30.5>,TRUE,,7,0.20%,,,281
2073,伦琴猫,2073,FALSE,FALSE,<1.4;42>,TRUE,,7,0.20%,,,282
2121,帕奇利兹,2121,FALSE,FALSE,<0.4;3.9>,TRUE,,9,0.60%,,,283
2131,泳圈鼬,2131,FALSE,FALSE,<0.7;29.5>,TRUE,,13,0.40%,,,284
2132,浮潜鼬,2132,FALSE,FALSE,<1.1;33.5>,TRUE,,13,0.40%,,,285
