变量名,name,name_tw,name_en,name_kr,name_vn,name_pt,name_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
16,收集12全体精灵,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,Collect 12 of all Pokémons,Collect 12 of all Pokémons,สะสมโปเกมอนทั้งหมด 12 ตัว,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈火系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Lửa tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 불꽃 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทไฟทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,12,2,0,37,100,
17,收集18全体精灵,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,Collect 18 of all Pokémons,Collect 18 of all Pokémons,สะสมโปเกมอนทั้งหมด 18 ตัว,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈火系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Lửa tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 불꽃 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทไฟทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,18,2,0,37,100,
18,收集5全体精灵,收集5全體精靈,Collect 5 of all Pokémons,전체 포켓몬 5마리 수집,Collect 5 of all Pokémons,Collect 5 of all Pokémons,สะสมโปเกมอนทั้งหมด 5 ตัว,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,5,3,0,38,100,
19,收集10全体精灵,收集10全體精靈,Collect 10 of all Pokémons,전체 포켓몬 10마리 수집,Collect 10 of all Pokémons,Collect 10 of all Pokémons,สะสมโปเกมอนทั้งหมด 10 ตัว,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,10,3,0,38,100,
20,收集20全体精灵,收集20全體精靈,Collect 20 of all Pokémons,전체 포켓몬 20마리 수집,Collect 20 of all Pokémons,Collect 20 of all Pokémons,สะสมโปเกมอนทั้งหมด 20 ตัว,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,20,3,0,38,100,
21,收集30全体精灵,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,Collect 30 of all Pokémons,Collect 30 of all Pokémons,สะสมโปเกมอนทั้งหมด 30 ตัว,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,30,3,0,38,100,
22,收集33全体精灵,收集33全體精靈,Collect 33 of all Pokémons,전체 포켓몬 33마리 수집,Collect 33 of all Pokémons,Collect 33 of all Pokémons,สะสมโปเกมอนทั้งหมด 33 ตัว,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,33,3,0,38,100,
23,收集36全体精灵,收集36全體精靈,Collect 36 of all Pokémons,전체 포켓몬 36마리 수집,Collect 36 of all Pokémons,Collect 36 of all Pokémons,สะสมโปเกมอนทั้งหมด 36 ตัว,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,36,3,0,38,100,
24,收集5全体精灵,收集5全體精靈,Collect 5 of all Pokémons,전체 포켓몬 5마리 수집,Collect 5 of all Pokémons,Collect 5 of all Pokémons,สะสมโปเกมอนทั้งหมด 5 ตัว,#C0xFF5B545B#全体精灵草系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈草系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Cỏ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 풀 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพืชทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,5,4,0,39,100,
25,收集10全体精灵,收集10全體精靈,Collect 10 of all Pokémons,전체 포켓몬 10마리 수집,Collect 10 of all Pokémons,Collect 10 of all Pokémons,สะสมโปเกมอนทั้งหมด 10 ตัว,#C0xFF5B545B#全体精灵草系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈草系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Cỏ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 풀 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพืชทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,10,4,0,39,100,
26,收集20全体精灵,收集20全體精靈,Collect 20 of all Pokémons,전체 포켓몬 20마리 수집,Collect 20 of all Pokémons,Collect 20 of all Pokémons,สะสมโปเกมอนทั้งหมด 20 ตัว,#C0xFF5B545B#全体精灵草系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈草系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Cỏ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 풀 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพืชทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,20,4,0,39,100,
27,收集3全体精灵,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,Collect 3 of all Pokémons,Collect 3 of all Pokémons,สะสมโปเกมอนทั้งหมด 3 ตัว,#C0xFF5B545B#全体精灵电系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈電系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Điện tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 전기 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทไฟฟ้าทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,3,5,0,40,100,
28,收集6全体精灵,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,Collect 6 of all Pokémons,Collect 6 of all Pokémons,สะสมโปเกมอนทั้งหมด 6 ตัว,#C0xFF5B545B#全体精灵电系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈電系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Điện tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 전기 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทไฟฟ้าทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,6,5,0,40,100,
29,收集12全体精灵,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,Collect 12 of all Pokémons,Collect 12 of all Pokémons,สะสมโปเกมอนทั้งหมด 12 ตัว,#C0xFF5B545B#全体精灵电系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈電系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Điện tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 전기 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทไฟฟ้าทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,12,5,0,40,100,
30,收集3全体精灵,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,Collect 3 of all Pokémons,Collect 3 of all Pokémons,สะสมโปเกมอนทั้งหมด 3 ตัว,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำแข็งทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,3,6,0,41,100,
31,收集6全体精灵,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,Collect 6 of all Pokémons,Collect 6 of all Pokémons,สะสมโปเกมอนทั้งหมด 6 ตัว,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำแข็งทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,6,6,0,41,100,
