变量名,_beizhu,type,needFrags,needSpecialFrags,costItemFrag,needCards,needSpecialCards,costItemCard,cardConvertNum
51771,,2,<>,<<21771;1>>,{gold=10000},<>,<1771;9001>,{gold=300000},30
51801,,2,<>,<<21801;1>>,{gold=10000},<>,<1801;9001>,{gold=300000},30
51811,,2,<>,<<21811;1>>,{gold=15000},<>,<1811;9002>,{gold=750000},50
51841,,2,<>,<<21841;1>>,{gold=15000},<>,<1841;9002>,{gold=750000},50
51851,,2,<>,<<21851;1>>,{gold=10000},<>,<1851;9001>,{gold=300000},30
51861,,2,<>,<<21861;1>>,{gold=10000},<>,<1861;9001>,{gold=300000},30
51891,,2,<>,<<21891;1>>,{gold=15000},<>,<1891;9002>,{gold=750000},50
51901,,2,<>,<<21901;1>>,{gold=15000},<>,<1901;9002>,{gold=750000},50
51911,,2,<>,<<21911;1>>,{gold=15000},<>,<1911;9002>,{gold=750000},50
51921,,2,<>,<<21921;1>>,{gold=15000},<>,<1921;9002>,{gold=750000},50
51931,,2,<>,<<21931;1>>,{gold=15000},<>,<1931;9002>,{gold=750000},50
51941,,2,<>,<<21941;1>>,{gold=15000},<>,<1941;9002>,{gold=750000},50
51951,,2,<>,<<21951;1>>,{gold=15000},<>,<1951;9002>,{gold=750000},50
51961,,2,<>,<<21961;1>>,{gold=20000},<>,<1961;9003>,{gold=1600000},80
51962,,2,<>,<<21961;1>>,{gold=15000},<>,<1961;9003>,{gold=750000},80
51971,,2,<>,<<21971;1>>,{gold=20000},<>,<1971;9003>,{gold=1600000},80
51972,,2,<>,<<21971;1>>,{gold=20000},<>,<1971;9003>,{gold=750000},80
51981,,2,<>,<<21981;1>>,{gold=20000},<>,<1981;9003>,{gold=1600000},80
51982,,2,<>,<<21981;1>>,{gold=20000},<>,<1981;9003>,{gold=750000},80
51991,,2,<>,<<21991;1>>,{gold=20000},<>,<1991;9003>,{gold=1600000},80
52011,,2,<>,<<22011;1>>,{gold=10000},<>,<2011;9001>,{gold=300000},30
52021,,2,<>,<<22021;1>>,{gold=10000},<>,<2021;9001>,{gold=300000},30
52031,,2,<>,<<22031;1>>,{gold=15000},<>,<2031;9002>,{gold=750000},50
52071,,2,<>,<<22071;1>>,{gold=10000},<>,<2071;9001>,{gold=300000},30
52231,,2,<>,<<22231;1>>,{gold=15000},<>,<2231;9002>,{gold=750000},50
52241,,2,<>,<<22241;1>>,{gold=15000},<>,<2241;9002>,{gold=750000},50
52243,,2,<>,<<22241;1>>,{gold=20000},<>,<2243;9002>,{gold=750000},50
52271,,2,<>,<<22271;1>>,{gold=10000},<>,<2271;9001>,{gold=300000},30
52301,,2,<>,<<22301;1>>,{gold=10000},<>,<2301;9001>,{gold=300000},30
52351,,2,<>,<<22351;1>>,{gold=20000},<>,<2351;9003>,{gold=1600000},80
52361,,2,<>,<<22361;1>>,{gold=20000},<>,<2361;9003>,{gold=1600000},80
52371,,2,<>,<<22371;1>>,{gold=15000},<>,<2371;9002>,{gold=750000},50
52381,,2,<>,<<22381;1>>,{gold=20000},<>,<2381;9003>,{gold=1600000},80
52391,,2,<>,<<22391;1>>,{gold=20000},<>,<2391;9003>,{gold=1600000},80
52401,,2,<>,<<22401;1>>,{gold=15000},<>,<2401;9002>,{gold=750000},50
52411,,2,<>,<<22411;1>>,{gold=20000},<>,<2411;9002>,{gold=750000},50
52421,,2,<>,<<22421;1>>,{gold=15000},<>,<2421;9002>,{gold=750000},50
52431,,2,<>,<<22431;1>>,{gold=20000},<>,<2431;9003>,{gold=1600000},80
52441,,2,<>,<<22441;1>>,{gold=20000},<>,<2441;9003>,{gold=1600000},80
52461,,2,<>,<<22461;1>>,{gold=20000},<>,<2461;9003>,{gold=750000},80
52471,,2,<>,<<22471;1>>,{gold=15000},<>,<2471;9002>,{gold=750000},50
52481,,2,<>,<<22481;1>>,{gold=10000},<>,<2481;9001>,{gold=300000},30
52591,,2,<>,<<22591;1>>,{gold=10000},<>,<2591;9001>,{gold=300000},30
52611,,2,<>,<<22611;1>>,{gold=10000},<>,<2611;9001>,{gold=300000},30
52631,,2,<>,<<22631;1>>,{gold=10000},<>,<2631;9001>,{gold=300000},30
52681,,2,<>,<<22681;1>>,{gold=10000},<>,<2681;9001>,{gold=300000},30
52721,,2,<>,<<22721;1>>,{gold=15000},<>,<2721;9002>,{gold=750000},50
52821,,2,<>,<<22821;1>>,{gold=15000},<>,<2821;9002>,{gold=750000},50
52831,,2,<>,<<22831;1>>,{gold=15000},<>,<2831;9002>,{gold=750000},50
52841,,2,<>,<<22841;1>>,{gold=10000},<>,<2841;9001>,{gold=300000},30
52871,,2,<>,<<22871;1>>,{gold=10000},<>,<2871;9001>,{gold=300000},30
52891,,2,<>,<<22891;1>>,{gold=10000},<>,<2891;9001>,{gold=300000},30
52921,,2,<>,<<22921;1>>,{gold=10000},<>,<2921;9001>,{gold=300000},30
52922,,2,<>,<<22922;1>>,{gold=10000},<>,<2922;9001>,{gold=300000},30
52961,,2,<>,<<22961;1>>,{gold=10000},<>,<2961;9001>,{gold=300000},30
52991,,2,<>,<<22991;1>>,{gold=15000},<>,<2991;9002>,{gold=750000},50
53001,,2,<>,<<23001;1>>,{gold=15000},<>,<3001;9002>,{gold=750000},50
53011,,2,<>,<<23011;1>>,{gold=10000},<>,<3011;9001>,{gold=300000},30
53021,,2,<>,<<23021;1>>,{gold=15000},<>,<3021;9002>,{gold=750000},50
53141,,2,<>,<<23141;1>>,{gold=15000},<>,<3141;9002>,{gold=750000},50
53151,,2,<>,<<23151;1>>,{gold=15000},<>,<3151;9002>,{gold=750000},50
53161,,2,<>,<<23161;1>>,{gold=15000},<>,<3161;9002>,{gold=750000},50
53171,,2,<>,<<23171;1>>,{gold=15000},<>,<3171;9002>,{gold=750000},50
53181,,2,<>,<<23181;1>>,{gold=15000},<>,<3181;9002>,{gold=750000},50
53191,,2,<>,<<23191;1>>,{gold=15000},<>,<3191;9002>,{gold=750000},50
53201,,2,<>,<<23201;1>>,{gold=15000},<>,<3201;9002>,{gold=750000},50
53211,,2,<>,<<23211;1>>,{gold=20000},<>,<3211;9003>,{gold=1600000},80
53221,,2,<>,<<23221;1>>,{gold=20000},<>,<3221;9003>,{gold=1600000},80
53231,,2,<>,<<23231;1>>,{gold=20000},<>,<3231;9003>,{gold=1600000},80
53241,,2,<>,<<23241;1>>,{gold=20000},<>,<3241;9003>,{gold=1600000},80
53244,,2,<>,<<23244;1>>,{gold=20000},<>,<3244;9003>,{gold=750000},80
53251,,2,<>,<<23251;1>>,{gold=15000},<>,<3251;9002>,{gold=750000},50
53252,,2,<>,<<23252;1>>,{gold=15000},<>,<3252;9003>,{gold=750000},80
53261,,2,<>,<<23261;1>>,{gold=20000},<>,<3261;9003>,{gold=1600000},80
53271,,2,<>,<<23271;1>>,{gold=20000},<>,<3271;9003>,{gold=1600000},80
53281,,2,<>,<<23281;1>>,{gold=10000},<>,<3281;9001>,{gold=300000},30
53291,,2,<>,<<23291;1>>,{gold=10000},<>,<3291;9001>,{gold=300000},30
53301,,2,<>,<<23301;1>>,{gold=15000},<>,<3301;9002>,{gold=750000},50
53304,,2,<>,<<23301;1>>,{gold=15000},<>,<3301;9002>,{gold=750000},50
53341,,2,<>,<<23341;1>>,{gold=10000},<>,<3341;9001>,{gold=300000},30
53351,,2,<>,<<23351;1>>,{gold=15000},<>,<3351;9002>,{gold=750000},50
53411,,2,<>,<<23411;1>>,{gold=15000},<>,<3411;9002>,{gold=750000},50
53431,,2,<>,<<23431;1>>,{gold=10000},<>,<3431;9001>,{gold=300000},30
53471,,2,<>,<<23471;1>>,{gold=10000},<>,<3471;9001>,{gold=300000},30
53501,,2,<>,<<23501;1>>,{gold=10000},<>,<3501;9001>,{gold=300000},30
53511,,2,<>,<<23511;1>>,{gold=10000},<>,<3511;9001>,{gold=300000},30
53541,,2,<>,<<23541;1>>,{gold=15000},<>,<3541;9002>,{gold=750000},50
53561,,2,<>,<<23561;1>>,{gold=10000},<>,<3561>,{gold=200000},20
53591,,2,<>,<<23591;1>>,{gold=15000},<>,<3591;9002>,{gold=750000},50
53601,,2,<>,<<23601;1>>,{gold=15000},<>,<3601;9003>,{gold=750000},80
53611,,2,<>,<<23611;1>>,{gold=20000},<>,<3611;9003>,{gold=1600000},80
53621,,2,<>,<<23621;1>>,{gold=20000},<>,<3621;9003>,{gold=750000},80
53631,,2,<>,<<23631;1>>,{gold=20000},<>,<3631;9003>,{gold=1600000},80
53632,,2,<>,<<23631;1>>,{gold=15000},<>,<3631;9003>,{gold=750000},80
53641,,2,<>,<<23641;1>>,{gold=20000},<>,<3641;9003>,{gold=1600000},80
53651,,2,<>,<<23651;1>>,{gold=20000},<>,<3651;9003>,{gold=750000},80
53661,,2,<>,<<23661;1>>,{gold=15000},<>,<3661;9002>,{gold=750000},50
53671,,2,<>,<<23671;1>>,{gold=15000},<>,<3671;9002>,{gold=750000},50
53681,,2,<>,<<23681;1>>,{gold=15000},<>,<3681;9002>,{gold=750000},50
53771,,2,<>,<<23771;1>>,{gold=15000},<>,<3771;9002>,{gold=750000},50
53841,,2,<>,<<23841;1>>,{gold=15000},<>,<3841;9002>,{gold=750000},50
53961,,2,<>,<<23961;1>>,{gold=20000},<>,<3961;9002>,{gold=750000},50
54023,,2,<>,<<24023;1>>,{gold=15000},<>,<4023;9003>,{gold=750000},80
54024,,2,<>,<<24024;1>>,{gold=15000},<>,<4024;9003>,{gold=750000},80
54025,,2,<>,<<24025;1>>,{gold=20000},<>,<4025;9003>,{gold=750000},80
54031,,2,<>,<<24031;1>>,{gold=20000},<>,<4031;9003>,{gold=750000},80
54051,,2,<>,<<24051;1>>,{gold=20000},<>,<4051;9003>,{gold=750000},80
54071,,2,<>,<<24071;1>>,{gold=15000},<>,<4071;9002>,{gold=750000},50
54081,,2,<>,<<24081;1>>,{gold=20000},<>,<4081;9002>,{gold=750000},50
54101,,2,<>,<<24101;1>>,{gold=20000},<>,<4101;9003>,{gold=750000},80
54111,,2,<>,<<24111;1>>,{gold=15000},<>,<4111;9003>,{gold=750000},80
54121,,2,<>,<<24121;1>>,{gold=20000},<>,<4121;9003>,{gold=750000},80
54131,,2,<>,<<24131;1>>,{gold=15000},<>,<4131;9002>,{gold=750000},50
54141,,2,<>,<<24141;1>>,{gold=15000},<>,<4141;9002>,{gold=750000},50
54151,,2,<>,<<24151;1>>,{gold=20000},<>,<4151;9002>,{gold=750000},50
54161,,2,<>,<<24161;1>>,{gold=20000},<>,<4161;9003>,{gold=750000},80
54171,,2,<>,<<24171;1>>,{gold=20000},<>,<4171;9003>,{gold=1600000},80
54181,,2,<>,<<24181;1>>,{gold=20000},<>,<4181;9002>,{gold=750000},50
57001,,2,<>,<<27001;1>>,{gold=15000},<>,<7001;9002>,{gold=750000},50
57021,,2,<>,<<27021;1>>,{gold=15000},<>,<7021;9003>,{gold=750000},80
57031,,2,<>,<<27031;1>>,{gold=20000},<>,<7031;9003>,{gold=750000},80
57041,,2,<>,<<27041;1>>,{gold=20000},<>,<7041;9003>,{gold=750000},80
57051,,2,<>,<<27051;1>>,{gold=20000},<>,<7051;9003>,{gold=750000},80
57061,,2,<>,<<27061;1>>,{gold=20000},<>,<7061;9003>,{gold=750000},80
57071,,2,<>,<<27071;1>>,{gold=20000},<>,<7071;9002>,{gold=750000},80
57081,,2,<>,<<27081;1>>,{gold=20000},<>,<7081;9003>,{gold=750000},80
57091,,2,<>,<<27091;1>>,{gold=20000},<>,<7091;9003>,{gold=750000},80
57101,,2,<>,<<27101;1>>,{gold=20000},<>,<7101;9003>,{gold=750000},80
57201,,2,<>,<<27102;1>>,{gold=20000},<>,<7102;9003>,{gold=750000},80
57301,,2,<>,<<27111;1>>,{gold=20000},<>,<7111;9003>,{gold=750000},80
58102,,2,<>,<<29071;1>>,{gold=20000},<>,<8102;9003>,{gold=750000},80
59001,,1,<<4;-1;1>>,<<29001;1>>,{gold=10000},<<2;-1>>,<9001>,{gold=300000},30
59002,,1,<<5;-1;1>>,<<29002;1>>,{gold=15000},<<3;-1>>,<9002>,{gold=750000},50
59003,,1,<<6;-1;1>>,<<29003;1>>,{gold=20000},<<4;-1>>,<9003>,{gold=1600000},80
59041,,2,<>,<<29072;1>>,{gold=20000},<>,<9041;9003>,{gold=750000},80
59051,,2,<>,<<29073;1>>,{gold=20000},<>,<9051;9003>,{gold=750000},80
59061,,2,<>,<<29074;1>>,{gold=20000},<>,<9061;9003>,{gold=750000},80
59071,,2,<>,<<29075;1>>,{gold=20000},<>,<9071;9003>,{gold=750000},80
59081,,2,<>,<<29076;1>>,{gold=20000},<>,<9081;9003>,{gold=750000},80
59091,,2,<>,<<29077;1>>,{gold=20000},<>,<9091;9003>,{gold=750000},80
59101,,2,<>,<<29078;1>>,{gold=20000},<>,<9101;9003>,{gold=750000},80
59111,,2,<>,<<29079;1>>,{gold=20000},<>,<9111;9003>,{gold=750000},80
59121,,2,<>,<<21301;1>>,{gold=20000},<>,<9121;9003>,{gold=750000},80
59131,,2,<>,<<29081;1>>,{gold=20000},<>,<9131;9003>,{gold=750000},80
59141,,2,<>,<<29082;1>>,{gold=20000},<>,<9141;9003>,{gold=750000},80
59151,,2,<>,<<29083;1>>,{gold=20000},<>,<9151;9003>,{gold=750000},80
59161,,2,<>,<<29084;1>>,{gold=20000},<>,<9161;9003>,{gold=750000},80
59171,,2,<>,<<29085;1>>,{gold=20000},<>,<9171;9003>,{gold=750000},80
59181,,2,<>,<<29086;1>>,{gold=20000},<>,<9181;9003>,{gold=750000},80
59191,,2,<>,<<29087;1>>,{gold=20000},<>,<9191;9003>,{gold=750000},80
59201,,2,<>,<<29088;1>>,{gold=20000},<>,<9201;9003>,{gold=750000},80
59211,,2,<>,<<29089;1>>,{gold=20000},<>,<9211;9003>,{gold=750000},80
59221,,2,<>,<<29090;1>>,{gold=20000},<>,<9221;9003>,{gold=750000},80
59231,,2,<>,<<29091;1>>,{gold=20000},<>,<9231;9003>,{gold=750000},80
