变量名,name,name_tw,name_en,name_vn,name_kr,languages,cardID,icon,desc,desc_tw,desc_en,desc_kr,desc1,desc1_tw,desc1_en,desc1_kr,quality,type,stackMax,effBtn,pageTag,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,effect,sortType,sortValue
50071,烈雀·Z觉醒碎片,烈雀Z招式碎片,Pidgey Z-Move Shard,Mảnh Z-Move của Pidgey,피죤 Z이벤트 조각,<cn;tw;en;vn;th;kr>,71,config/portrait/jinglingtouxiang/img_21_lq@.png,用于提升烈雀的Z觉醒养成,提升烈雀Z招式的培育,Raising a Pidgey's Z-Move,피죤투의 Z기술 육성,用于提升烈雀的Z觉醒养成,提升烈雀Z招式的培育,Raising a Pidgey's Z-Move,피죤투의 Z기술 육성,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在寶可夢Z招式中兌換獲得,Can be obtained by exchanging in Z-Move.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50081,阿柏蛇·Z觉醒碎片,阿柏蛇Z招式碎片,Arbok Z-Move Shard,Mảnh Z-Move của Arbok,아보크 Z기술 조각,<cn;tw;en;vn;th;kr>,81,config/portrait/jinglingtouxiang/img_23_abs@.png,用于提升阿柏蛇的Z觉醒养成,提升阿柏蛇Z招式的培育,Raising Arbok's Z-Move,아보크의 Z기술 육성,用于提升阿柏蛇的Z觉醒养成,提升阿柏蛇Z招式的培育,Raising Arbok's Z-Move,아보크의 Z기술 육성,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be obtained by exchanging in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50091,皮丘·Z觉醒碎片,皮丘．Z招式碎片,Pikachu Z-Move Shard,Mảnh Z-招式 của Pikachu,피카츄 Z이벤트 조각,<cn;tw;en;vn;th;kr>,91,config/portrait/jinglingtouxiang/img_172_pq@.png,用于提升皮丘的Z觉醒养成,提升皮丘Z招式的培育,Raising Pikachu's Z-Move,피카츄의 Z기술 육성,用于提升皮丘的Z觉醒养成,提升皮丘Z招式的培育,Raising Pikachu's Z-Move,피카츄의 Z 기술 육성,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be obtained by exchanging in a Z-Move.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50101,穿山鼠·Z觉醒碎片,穿山鼠 Z 覺醒碎片,Stufful Z-Move Shard,Mảnh Z-Move của Stufful,Stufful Z이벤트 조각,<cn;tw;en;vn;th;kr>,101,config/portrait/jinglingtouxiang/img_27_css@.png,用于提升穿山鼠的Z觉醒养成,提升穿山鼠Z招式的培育,Raising a Z-Move for a Pangoro,강챙이의 Z기술 육성,用于提升穿山鼠的Z觉醒养成,提升穿山鼠Z招式的培育,Raising a Z-Move for a Gliscor,글라이거의 Z 기술 육성,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be obtained by exchanging in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50111,尼多兰·Z觉醒碎片,尼多蘭·Z招式碎片,Nidoran Z-Move Shard,Mảnh Z-Move của Nidoran,니드란 Z이로치 조각,<cn;tw;en;vn;th;kr>,111,config/portrait/jinglingtouxiang/img_29_ndl@.png,用于提升尼多兰的Z觉醒养成,提升尼多蘭Z招式養成的工具,Item for raising Nidoran's Z-Move power,니드란의 Z 기술을 강화하는 아이템,用于提升尼多兰的Z觉醒养成,提升尼多蘭Z招式養成的工具,Item to raise Nidoran's Z-Move power.,니도란의 Z 기술을 강화하는 아이템,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50121,尼多朗·Z觉醒碎片,尼多朗·Z招式碎片,Nidoran Z-Move Shard,Mảnh Z-Move của Nidoran,니드란 Z기술 조각,<cn;tw;en;vn;th;kr>,121,config/portrait/jinglingtouxiang/img_32_ndl@.png,用于提升尼多朗的Z觉醒养成,提升尼多朗Z招式養成的工具,Item to power up Nidoran's Z-Move training,니도란의 Z기술 훈련을 강화하는 아이템,用于提升尼多朗的Z觉醒养成,提升尼多朗Z招式養成的工具,Item to boost Nidoran's Z-Move training,니드런의 Z 기술 훈련을 향상시키는 아이템,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50131,皮宝宝·Z觉醒碎片,皮寶寶·Z招式碎片,Pikachu Z-Move Shard,Mảnh Z-Move của Pikachu,피카츄 Z이벨탈 조각,<cn;tw;en;vn;th;kr>,131,config/portrait/jinglingtouxiang/img_173_pbb@.png,用于提升皮宝宝的Z觉醒养成,提升皮寶寶Z招式養成的工具,Tool for enhancing the Z-Move training of a Stufful,Stufful의 Z 기술 훈련을 향상시키는 도구,用于提升皮宝宝的Z觉醒养成,提升皮寶寶Z招式養成的工具,Tool for raising the Z-Move level of Stufful,Stufful의 Z기술 레벨을 올리는 도구,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50151,宝宝丁·Z觉醒碎片,寶寶丁·Z招式碎片,Rockruff Z-Move Shard,Mảnh Z-Move của Rockruff,루카리오 Z이벤트 조각,<cn;tw;en;vn;th;kr>,151,config/portrait/jinglingtouxiang/img_174_bbd@.png,用于提升宝宝丁的Z觉醒养成,提升寶寶丁Z招式養成的工具,Tool for raising a Popplio's Z-Move,포플리오의 Z기술 육성을 위한 도구,用于提升宝宝丁的Z觉醒养成,提升寶寶丁Z招式養成,Raising a Popplio with Z-Moves,포플리 Z 기술 육성,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50161,超音蝠·Z觉醒碎片,超音蝠Z招式碎片,Golbat Z-Move Shard,Mảnh Z-Move của Golbat,골뱃 Z 기술 조각,<cn;tw;en;vn;th;kr>,161,config/portrait/jinglingtouxiang/img_41_cyf@.png,用于提升超音蝠的Z觉醒养成,提升超音蝠Z招式的培育,Raising a Z-Move for Crobat,크로뱃의 Z기술 육성,用于提升超音蝠的Z觉醒养成,提升超音蝠Z招式的培育,Raising a Crobat with a Z-Move,Z 기술을 가진 크로뱃 육성,5,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50171,走路草·Z觉醒碎片,走路草Z招式碎片,Oddish Z-Move Shard,Mảnh Z-Move của Oddish,독파리 Z이동 조각,<cn;tw;en;vn;th;kr>,171,config/portrait/jinglingtouxiang/img_43_zlc@.png,用于提升走路草的Z觉醒养成,提升走路草Z招式的培育,Raising a Walking Wake's Z-Move,모부기의 Z기술 육성,用于提升走路草的Z觉醒养成,提升走路草Z招式的培育,Raising a Walking Wake's Z-Move,모코코의 Z기술 육성,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50191,毛球·Z觉醒碎片,毛球·Z招式碎片,Stufful Z-Move Shard,Mảnh Z-Move của Stufful,Stufful Z이벤트 조각,<cn;tw;en;vn;th;kr>,191,config/portrait/jinglingtouxiang/img_48_mq@.png,用于提升毛球的Z觉醒养成,用於提升毛球的Z招式培育,For raising the Z-Move power of Wooloo,울울의 Z기술 육성을 위한,用于提升毛球的Z觉醒养成,提升毛球Z招式養成的工具,Item to boost the Z-Move training of Wooloo,울머기의 Z기술 훈련을 향상시키는 아이템,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50221,可达鸭·Z觉醒碎片,妙蛙種子·Z招式碎片,Psyduck Z-Move Shard,Psyduck mảnh Z-Chiêu,푸린 Z기술 조각,<cn;tw;en;vn;th;kr>,221,config/portrait/jinglingtouxiang/img_54_kdy@.png,用于提升可达鸭的Z觉醒养成,提升快泳蛙Z招式養成的工具,Item to power up Psyduck's Z-Move,푸린의 Z기술을 강화하는 아이템,用于提升可达鸭的Z觉醒养成,提升快泳蛙Z招式養成的工具,Item to boost Psyduck's Z-Move training,고래왕자의 Z기술 연마를 향상시키는 아이템,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50231,猴怪·Z觉醒碎片,猴怪·Z招式碎片,Bewear Z-Move Shard,Mảnh Z-Move của Bewear,비워르 Z기술 조각,<cn;tw;en;vn;th;kr>,231,config/portrait/jinglingtouxiang/img_56_hg@.png,用于提升猴怪的Z觉醒养成,提升猴怪Z招式養成的工具,Tool for boosting the Monkey Pokémon's Z-Move training,포켓몬 꼬몽울의 Z기술 훈련을 향상시키는 도구,用于提升猴怪的Z觉醒养成,提升猴怪Z招式養成的工具,Tool for raising the Z-Move power of the Monkey Pokémon.,원숭이 포켓몬의 Z기술 육성을 위한 도구,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Pokémon Z-Moves.,포켓몬 Z기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50241,卡蒂狗·Z觉醒碎片,卡蒂狗·Z招式碎片,Growlithe Z-Move Shard,Mảnh Z-Move của Growlithe,꼬마돌 Z이동 조각,<cn;tw;en;vn;th;kr>,241,config/portrait/jinglingtouxiang/img_58_kdg@.png,用于提升卡蒂狗的Z觉醒养成,提升卡蒂狗Z招式的培育,Raising a Charmander's Z-Move,파이리의 Z 기술 육성,用于提升卡蒂狗的Z觉醒养成,提升卡蒂狗Z招式的培育,Raising a Stoutland with a Z-Move,Z 기술을 가진 강챙이 육성,5,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50251,蚊香蛙皇Z觉醒碎片,蚊香蛙皇Z招式碎片,Greninja Z-Move Shard,Mảnh Z-Move của Quỷ Vương Ếch,개굴닌자 Z이벤트 조각,<cn;tw;en;vn;th;kr>,251,config/portrait/jinglingtouxiang/img_186_wxwh@.png,用于提升蚊香蛙皇Z觉醒养成,用於提升蚊香蛙皇Z招式培養,For enhancing Kingdra's Z-Move cultivation.,킹드라의 Z기술 연마 향상을 위한,用于提升蚊香蛙皇Z觉醒养成,提升蚊香蛙皇Z招式養成,For enhancing the Kingdra Z-Move breeding,킹드라 Z기술 육성 향상을 위한,5,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Pokémon Z-Moves.,포켓몬 Z기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50261,凯西·Z觉醒碎片,凱西的Z招式碎片,Ralts Z-Move Shard,Mảnh Z-Move của Ralts,랄토스 Z기술 조각,<cn;tw;en;vn;th;kr>,261,config/portrait/jinglingtouxiang/img_63_kx@.png,用于提升凯西的Z觉醒养成,提升凱西Z招式的培育,Raising Keiki's Z-Move,케이시의 Z 기술 육성,用于提升凯西的Z觉醒养成,提升凱西Z招式養成,Raising a Kecleon's Z-Move,케킹의 Z기술 육성,5,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be obtained by exchanging in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50271,腕力·Z觉醒碎片,腕力Z招式碎片,Machamp Z-Move Shard,Mảnh Z-招式 của Hariyama,괴력몬 Z이로치 조각,<cn;tw;en;vn;th;kr>,271,config/portrait/jinglingtouxiang/img_66_wl@.png,用于提升腕力的Z觉醒养成,提升腕力的Z招式培育,Z-Move training to boost wrist strength,손목 힘을 향상시키는 Z기술 훈련,用于提升腕力的Z觉醒养成,提升腕力的Z招式培育,Z-Move training to boost wrist strength,손목 힘을 기르는 Z기술 훈련,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z覺醒中兌換獲得,Can be obtained by exchanging in Z-Move.,Z-Move에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50281,喇叭芽·Z觉醒碎片,喇叭芽·Z招式碎片,Bellsprout Z-Move Shard,Mảnh Z-Move của Bellsprout,벨스프라우트 Z이상한 기술 조각,<cn;tw;en;vn;th;kr>,281,config/portrait/jinglingtouxiang/img_69_lby@.png,用于提升喇叭芽的Z觉醒养成,提升喇叭芽Z招式的培育,Raising a Seedot's Z-Move,씨드라의 Z 기술 육성,用于提升喇叭芽的Z觉醒养成,提升喇叭芽Z招式的培育,Raising a Seedot's Z-Move,씨드라의 Z기술 육성,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50301,小拳石·Z觉醒碎片,小拳石Z招式碎片,Geodude Z-Move Shard,Mảnh Z-Move của Rhyhorn,꼬마돌 Z이벤트 조각,<cn;tw;en;vn;th;kr>,301,config/portrait/jinglingtouxiang/img_74_xqs@.png,用于提升小拳石的Z觉醒养成,提升小拳石Z招式的培育,Raising a Rockruff's Z-Move,단단이 Z기술 육성,用于提升小拳石的Z觉醒养成,提升小拳石Z招式養成的工具,Tool for raising the Z-Move level of Rockruff,고릴타의 Z기술 레벨을 올리는 도구,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be obtained by exchanging in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50321,呆呆王Z觉醒碎片,呆呆王Z招式碎片,Slowbro Z-Move Shard,Mảnh Z-Move của Slowbro,슬로우브로 Z이상의 조각,<cn;tw;en;vn;th;kr>,321,config/portrait/jinglingtouxiang/img_199_ddw@.png,用于提升呆呆王Z觉醒养成,提升呆呆王Z招式養成,Raising a Slowpoke's Z-Move,망나뇽의 Z 기술 육성,用于提升呆呆王Z觉醒养成,提升呆呆王Z招式養成,Used to enhance Slowbro's Z-Move cultivation,망나뇽의 Z 기술 육성에 사용됨,5,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在寶可夢Z招式中兌換獲得,Can be exchanged for in Pokémon Z-Moves.,포켓몬 Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50331,小磁怪·Z觉醒碎片,小磁怪Z招式碎片,Magnemite Z-Move Shard,Mảnh Z-Move của Magnemite,마그네마이트 Z이어짐 조각,<cn;tw;en;vn;th;kr>,331,config/portrait/jinglingtouxiang/img_81_xcg@.png,用于提升小磁怪的Z觉醒养成,提升小磁怪Z招式的培育,Raising a Magnemite's Z-Move,마그네마이트의 Z 기술 육성,用于提升小磁怪的Z觉醒养成,提升小磁怪Z招式的培育,Raising a Magnemite's Z-Move,마그네마이트의 Z 기술 육성,5,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be obtained by exchanging in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50341,大葱鸭·Z觉醒碎片,蔥鴨·Z招式碎片,Farfetch'd Z-Move Shard,Mảnh Z-Chiêu của Farfetch'd,파르셀 Z기술 조각,<cn;tw;en;vn;th;kr>,341,config/portrait/jinglingtouxiang/img_83_dcy@.png,用于提升大葱鸭的Z觉醒养成,提升大蔥鴨Z招式的培育,Raising a Ducky Z-Move,파르빗 Z이벨 육성,用于提升大葱鸭的Z觉醒养成,提升大蔥鴨Z招式養成的工具,Item for raising a Farfetch'd's Z-Move,파르셀의 Z기술 육성을 위한 아이템,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50351,嘟嘟·Z觉醒碎片,嘟嘟・Z招式碎片,Tototodile Z-Move Shard,Mảnh Z-Chiêu Tototodile,토토dile Z이동 조각,<cn;tw;en;vn;th;kr>,351,config/portrait/jinglingtouxiang/img_84_dd@.png,用于提升嘟嘟的Z觉醒养成,提升嘟嘟Z招式的培育,Raising a Toedscruel's Z-Move,토드루스의 Z기술 육성,用于提升嘟嘟的Z觉醒养成,提升嘟嘟Z招式的培育,Raising a Tototodile's Z-Move,토토dile의 Z 기술 육성,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Move.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50371,臭泥·Z觉醒碎片,臭泥Z招式碎片,Muk Z-Move Shard,Mảnh Z-Move của Muk,텅구리 Z이상한소리 조각,<cn;tw;en;vn;th;kr>,371,config/portrait/jinglingtouxiang/img_88_cn@.png,用于提升臭泥的Z觉醒养成,提升臭泥Z招式的培育,Raising Mudboy's Z-Move,망나뇽의 Z기술 육성,用于提升臭泥的Z觉醒养成,提升臭泥Z招式的培育,Raising Mudbray's Z-Move,머드래이의 Z기술 육성,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be obtained by exchanging in Z-Move.,Z-무브에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
