变量名,level,fightStart,fightEnd,advanceStart,advanceEnd,starStart,starEnd,skillLevel,hpC,damageC,defenceC,specialDamageC,specialDefenceC,speedC
71,91,960000,980000,17,18,10,11,91,1.1,1.3,1.3,1.3,1.3,1
72,92,980000,1000000,17,18,10,11,92,1.1,1.3,1.3,1.3,1.3,1
73,93,1000000,1020000,17,18,10,11,93,1.1,1.3,1.3,1.3,1.3,1
74,94,1020000,1040000,17,18,10,11,94,1.1,1.3,1.3,1.3,1.3,1
75,95,1040000,1060000,17,18,10,11,95,1.1,1.3,1.3,1.3,1.3,1
76,96,1060000,1080000,18,19,11,12,96,1.1,1.3,1.3,1.3,1.3,1
77,97,1080000,1100000,18,19,11,12,97,1.1,1.3,1.3,1.3,1.3,1
78,98,1100000,1120000,18,19,11,12,98,1.1,1.3,1.3,1.3,1.3,1
79,99,1120000,1140000,18,19,11,12,99,1.1,1.3,1.3,1.3,1.3,1
80,100,1140000,1160000,18,19,11,12,100,1.1,1.3,1.3,1.3,1.3,1
